Total,32021
maddi jane,20
nicki minaj,588
marina lima,8
bryan haller,2
geovane santos,1
patrick nuo,47
bow wow wow,23
josh rouse,70
crowded house,234
cine,1
mike posner,120
dubboy,4
tracy chapman,118
the saturdays,110
arthur melkey,6
cher lloyd,164
gabriel albuquerque,6
super junior,42
camila cabello,58
goldfrapp,93
new kids on the block,125
jay sean,258
gwenno,17
luc ivor,5
lady antebellum,122
alexandra savior,9
lu andrade,3
carly rae jepsen,105
duran duran,444
offcase,1
natalia damini,11
matthew morrison,38
jasmine villegas,62
pitbull,410
bruno bessa,14
claudia leitte,7
tove lo,88
belita,1
demi lovato,199
latino,3
ester campos,4
geri halliwell,64
christina aguilera,214
leona lewis,124
bella thorne,43
aly michalka,11
victoria pfeifer,1
iza,10
the chiffons,6
conor maynard,58
sara bareilles,117
kelly clarkson,237
saint etienne,186
christopher uckermann,12
oh land,39
mariana rios,2
2ne1,48
zabot,4
colbie caillat,128
marcella,2
leveckendz,1
geo,1
babi martinez,1
neil sedaka,96
off the king,4
dj guiih,2
jason derulo,250
genesis,211
lily allen,118
westlife,238
duffy,58
the ting tings,40
katy perry,188
jeferson montez,1
mietta,2
ana carolina,6
the ready set,80
charice,88
anitta,36
kevin rudolf,44
christina perri,87
erasure,225
joss stone,165
sean kingston,184
glee,712
pharrell williams,192
v factory,11
fabiano macieira,1
wonder girls,18
chay suede,1
jessie j,151
vanessa carlton,186
savannah outen,23
joe amaurot,4
jessica simpson,118
natasha bedingfield,98
rebecca black,14
mandy moore,133
rita ora,81
little nation,15
paolo meola,4
cassie,87
belinda,16
rbd,15
britney spears,309
ju ribeiro,5
nick carter,85
the ronettes,13
christopher cross,91
manu chao,16
maroon 5,350
ov7,3
fernando leite,6
china anne mcclain,35
david guetta,189
natalia kills,82
anggun,40
big time rush,114
selena gomez,173
micah elloh,2
joni mitchell,245
five,107
mitchel musso,49
tounoir,2
james blunt,234
nick jonas,212
the asteroids galaxy tour,39
joe jonas,27
outasight,33
klb,6
eric saade,58
paris hilton,35
frankie goes to hollywood,37
language of flowers,12
sonohra,17
guilherme arantes,1
cheryl,76
paulina rubio,24
tammin,12
aline francelino,1
seal,175
vanessa hudgens,72
leoana,3
janet jackson,255
meghan trainor,93
alphabeat,41
will b,1
cleo,5
samantha jade,52
laura pausini,38
kudai,2
cimorelli,131
cadu ferreira,4
cyndi lauper,254
spandau ballet,66
nicole scherzinger,248
babado novo,5
thalles roberto,1
supertramp,131
six pack,1
no secrets,26
cash cash,61
jennifer hudson,100
tiziano ferro,7
valdo oliveira,2
erthal,9
far east movement,188
lmfao,138
camp rock,90
karmin,150
ellie goulding,144
corbin bleu,37
marcos valle,3
mariah carey,289
dave august,3
slow club,37
christina grimmie,79
violetta,27
jarzo alves,1
tangina stone,5
daniel siwek,8
taio cruz,94
niall horan,21
victoria beckham,46
jax jones,6
sebah,1
cymia telleria,11
enrique iglesias,85
becky g,52
laura jansen,13
akon,638
jackson 5,239
pet shop boys,300
superheavy,12
hanson,256
jota quest,6
fifth harmony,146
woodmind,2
ria mae,1
lenylson luan,2
paula abdul,55
owl city,149
michael jackson,321
lene alexandra,4
ana elisa renault,7
drake bell,226
walk the moon,65
blake lewis,98
shakira,78
natalie la rose,3
nicola roberts,19
olly murs,127
rick springfield,22
one direction,149
thiago arancam,5
college 11,29
jennette mccurdy,54
cat stevens,185
melon,9
psy,7
dima bilan,20
xuxa,5
lindsey martinez,2
jennifer lopez,180
mariana bell,1
ricky martin,50
roupa nova,8
leighton meester,41
ashley tisdale,112
restart,1
september,62
hori,2
zendaya,66
adele,90
gus7avo diniz,5
art of noise,7
kerli,266
justin bieber,235
robyn,104
deee lite,47
the wanted,74
mika,102
spice girls,98
fiuk,4
nkotbsb,9
pink,190
eduardo leveck,28
shanell,198
huntr,3
jewel,263
caio dias,2
marina elali,13
beatz,1
billie the vision and the dancers,50
james arthur,111
robbie williams,299
jesse mccartney,125
bruno mars,144
kat graham,31
little mix,143
jaci velasquez,118
chungha,9
kel do nascimento,1
cody simpson,132
tiago iorc,37
wesley ignacio,14
us5,47
shania twain,136
kdrew,20
jordin sparks,103
cteste,1
pixie lott,122
tears for fears,115
etto,1
george michael,300
gil liima,1
kesha,218
miley cyrus,278
he is we,42
du rique,1
bridgit mendler,76
neon hitch,66
austin mahone,107
bread,124
reik,2
david archuleta,138
danni carlos,100
adam lambert,268
lady gaga,266
madonna,347
jordan knight,46
miss daja,2
k r aleatorio,1
take that,164
lorde,76
bruna rocha,1
wanessa camargo,35
brenno creezy,10
shawn mendes,94
cher,312
marjorie estiano,11
vanessa da mata,2
joan osborne,136
willow smith,160
gwen stefani,101
allstar weekend,42
dionne warwick,116
rihanna,534
don henley,86
thiago motta,6
nellyy chris,2
deborah campioni,7
jullie,3
jonas brothers,338
bruno maury,1
the corrs,148
sterling knight,10
kharlles,104
rick astley,123
roya,1
sia,197
prefab sprout,131
andy grammer,66
taylor swift,283
ivete sangalo,11
ariana grande,180
katy b,67
mavix,1
manu gavassi,2
jamie lynn spears,19
chantelle paige,14
hilary duff,126
madness,151
forever in your mind,31
julie ramos,2
jamiroquai,137
melanie c,161
girlicious,59
tina turner,168
roxette,422
abba,144
se7en,22
bee gees,574
carole king,168
mcfly,364
benny benassi,83
greyson chance,46
james biaggie,2
nelly furtado,248
jojo,164
miranda cosgrove,124
kelly key,3
nancy sinatra,65
the cardigans,104
sandy,13
blue,106
paulo ricardo,18
sugababes,153
pj morton,74
kid abelha,4
im5,31
cartho,11
