7 min freestyle,"Southside, Southside, Southside. Metro Boomin' want some more, nigga. Goyard duffle, yeah yeah. Got that Draco in it, yeah yeah. Whip a chicken, yeah yeah. Tryna break the pot, yeah yeah. And I got that Glock, yeah yeah. I got thirty shots, yeah yeah. Got your baby mama, yeah yeah. She bent over nigga, yeah yeah. Young Savage trappin', yeah yeah. And I'm fuckin' rappin', yeah yeah. I make lots of money, yeah yeah. And I throw it, throw it, yeah yeah. Ayy lil bitch you tryna blow it, yeah. Woah, chopper like a lawnmower, yeah. Woah, got that motherfuckin' dagger on me. Woah, stab a nigga and his lil homie, woah. And I'm ballin' like Nowitzki, woah. I get head like Lewinsky. Police tryna fingerprint me, woah. I'm runnin' out that motherfucker, nigga, woah. Get money like a motherfucker, nigga. Bags in, nigga gas in. Cash out, nigga cash in. I'm robbin', ski maskin'. You niggas know that I'm 'bout action. Fishtail with the traction. Fuck a fistfight, nigga I was blasting. Air that motherfucker out, we was smashin'. Got them Vvs's on me, nigga glass. Fuck school nigga, always skipped class. Fuck the other side, throwin' red rags. Slaughter Gang, Pde gon' do you bad nigga. Runnin' through this cash, through this cash nigga. And my bitch bad, bitch bad nigga. Yeah, and I got a bag, got a bag nigga. Why these niggas mad, why they sad nigga. 'Cause I'm poppin' ho, yeah I'm poppin' ho. Got your main bitch, pussy poppin' ho. We don't want that pussy, we just want that toppy ho. And I don't want it if the shit ain't sloppy ho. Yeah, gang gang, nigga gang gang. Ayy, niggas snitching in the chain gang, ayy. They must not know they go in the chain gang, ayy. Stab 'em up, nigga stab 'em up. I'm in a Bentley truck, you in a Acura. You niggas actin' like I ain't got racks or somethin'. You niggas actin' like I ain't in the trap or somethin'. Fuck you niggas thought, Savage was just rappin' huh. Hey, your main bitch, she gon' back it up. 21, that two-two-three gon' make you back it up. 21, that show money I just stack it up. 21, I'm real gangster, you just acting tough, woah. Niggas tryna put the feds on me, woah. My young niggas droppin' shells on 'em, woah. I know they scared now, scared now. Niggas broke, they can't even pay they bail now. Ayy, I get a brick and I bust it down, nigga. Put it in the pyrex and drown it, nigga. Water whip the dope, water whip it. Ho, water whip your ho, water whip 'em, yeah. Them Vvs's got her hypnotized, yeah. I used to walk around with two nines, woah. Then I hit a nigga for two nines, 21. That's a half a brick lil nigga, 21. You a fuckin' shrimp lil nigga, 21. I got somethin' for that lip lil nigga, 21. Have you with a limp lil nigga, 21. Cut you up, no temp lil nigga, yeah. I get money 'cause I'm rich nigga, yeah. I might fuck all on your bitch nigga, yeah. Got a drank in in the vip nigga, yeah. She want a gangster, not a wimp nigga, yeah. Burberry fur on me, shit, woah. Thirty, Steph Curry on me, shit, woah. Eating chicken curry in this bitch, woah. Good food, nigga good food, 21. I'm a gangster, you a good dude, 21. I won't text her 'til she send nudes, 21. She call my phone when the rent due, 21. I ain't got a dime for your stankin' ass, 21. Wash your behind with your stankin' ass, bitch. And your nigga broke, down bad, bitch. All my niggas havin' fuckin' bags, bitch. Rich niggas, rich niggas, rich, 21. Hit nigga, hit nigga, hit, 21. That stick nigga, stick nigga, stick, 21. Bricks nigga, licks nigga, hits, 21. Slaughter Gang, Pde the shit, 21. Got the rap game on lock fast, 21. Got the block game on lock fast, 21. I got that Glock aim on lock fast, 21. I drop cop and send shots fast, 21. You only gangster when the gangsters gone, 21. You just a pussy with a camera phone, 21. You just a bitch with an Instagram, 21. No trigger finger, I got a trigger hand, 21. All of 'em like to shoot nigga, 21. All of 'em like boot nigga, 21. All of 'em in your boot nigga, 21. Finger holes, nigga finger holes, 21. You just a pussy with some finger rolls, 21. I can't respect a nigga with cornrows, 21. Broke nigga with your brother's clothes, 21. Broke nigga fuckin' your brother's hoes, 21. Get your own nigga, get your own, 21. You ain't grown, nigga you ain't grown, 21. Your money brown and my money long, 21. My blunt green and my gas strong, 21. Your bitch bad and I got her number, 21. All her friends wanna throw a slumber, 21. I might fuck all on that bitch mama, 21. I might take that lil bitch out that Honda, 21. Put that lil bitch in a Benz, yeah, 21. I wish that bitch had a twin, yeah, 21. She want all my friends, yeah, 21. Man that bitch got on some Timbs, yeah, 21. But I put that bitch in Gucci Gucci, 21. Man I fuck that bitch like she Karruche, 21. I might lick that, do the oochie coochie, 21. Got a brown one like a nigga Boosie, 21. Nigga catch me all up in Bruce's, 21. And you know I pull up with that uzi, 21. I'ma shoot a nigga, make the news and, 21. Niggas umm, niggas niggas losin', 21. Yeah yeah, nigga yeah yeah, 21. Serve a nigga with no scale scale, 21. Come and help me wrap this bale, bale, 21. Fuck 12, no seatbelt, 21. Fuck 12, I don't need help, 21. 12 gauge, nigga that's my help, 21"
a lot (feat. j. cole),"I love you. Turn my headphone down a little bit, yeah. For so many reasons. Yeah, yeah, yeah, yeah, yeah, yeah (I do) , yeah, yeah yeah yeah. Yeah, yeah, ah, ah, whoa, whoa, whoa, yeah. How much money you got? (Straight up). How much money you got? (Straight up). How much money you got? (Straight up). How much money you got? (A lot). How much money you got? (A lot). How many problems you got? (A lot). How many people done doubted you? (A lot). Left you out to rot? (A lot). How many pray that you flop? (A lot). How many lawyers you got? (A lot). How many times you got shot? (A lot). How many niggas you shot? (A lot). How many times did you ride? (A lot). How many niggas done died? (A lot). How many times did you cheat? (A lot). How many times did you lie? (A lot). How many times did she leave? (A lot). How many times did she cry? (A lot). How many chances she done gave you?. Fuck around with these thots (A lot). Every day that I'm alive, I'ma ride with the stick. I'd rather be broke in jail than be dead and rich. Told my brothers take my breath if I turn to a snitch. But I'm 21 4L, ain't no way I'ma switch. Break it down, I break it down. I break it down, I break it down. I break it down, I break it down. I break it down, I break it down. Penitentiary chances just to make a couple bucks. My heart so cold I could put it in my cup. Gang vs. the world, me and my dawg, it was us. Then you went and wrote a statement. and that really fucked me up. My brother lost his life and it turned me to a beast. My brother got life and it turned me to the streets. I been through the storm and it turned me to a G. But the other side was sunny, I get paid to rap on beats. How much money you got? (A lot). How many problems you got? (A lot). How many people done doubted you? (A lot). Left you out to rot? (A lot). How many pray that you flop? (A lot). How many lawyers you got? (A lot). How many times you got shot? (A lot). How many niggas you shot? (A lot). How many times did you ride? (A lot). How many niggas done died? (A lot). How many times did you cheat? (A lot). How many times did you lie? (A lot). How many times did she leave? (A lot). How many times did she cry? (A lot). How many chances she done gave you?. Fuck around with these thots (A lot). Break it on down, I break it on down. I break it on down, I break it on down. Yeah, I just came from the A. I drove back home, six hour drive, six and a half. Before I left I stopped by to see my nigga 21 in the studio. He had two of his kids with him right in the studio. that's when I knew. You a stand up nigga, I love seein' shit like that. Question. How many faking they streams? (A lot). Getting they plays from machines (A lot). I can see behind the smoke and mirrors. Niggas ain't really big as they seem (Hmm). I never say anything (Nah) , everybody got they thing (True). Some niggas make millions, other niggas make memes (Hmm). I'm on a money routine. I don't want smoke, I want cream. I don't want no more comparisons. This is a marathon and I'm aware. I been playing the back from a lack of promotions. I never was one for the bragging and boasting. I guess I was hoping the music would speak for itself. But the people want everything else. OK, no problem, I'll show up on everyone album. You know what the outcome will be. I'm batting a thousand. It's got to the point that these rappers. don't even like rappin' with me. Fuck it 'cause my nigga 21 Savage just hit me. And told me he saved me a spot, on a new record he got. He call it ""a lot, "" I open my book and I jot. Pray for Tekashi, they want him to rot. I picture him inside a cell on a cot. 'Flectin' on how he made it to the top. Wondering if it was worth it or not. I pray for Markelle 'cause they fucked up his shot. Just want you to know that you got it, my nigga. Though I never met you, I know that you special. And that the Lord blessed you, don't doubt it, my nigga. Dennis Smith Jr. , stay solid, my nigga. I'm on a tangent, not how I planned it. I had some fans that hopped and abandoned ship. When they thought that I wasn't gon' pan out, I got a plan. They say that success is the greatest revenge. tell all your friends. Cole on a mission, cementin' the spot. as the greatest that did it. Before it all ends, nigga. How much money you got? (A lot). How many problems you got? (A lot). How many people done doubted you? (A lot). Left you out to rot? (A lot). How many pray that you flop? (A lot). How many lawyers you got? (A lot). How many times you got shot? (A lot). How many niggas you shot? (A lot). How many times did you ride? (A lot). How many niggas done died? (A lot). How many times did you cheat? (A lot). How many times did you lie? (A lot). How many times did she leave? (A lot). How many times did she cry? (A lot). How many chances she done gave you?. Fuck around with these thots (A lot). Break it on down, I break it on down. I break it on down, I break it on down. I break it down, I break it down. I break it down, I break it down. I break it on down, I break it down. I break it down, I break it down. I break it down, I break it down. I break it down, I break it down, I br"
bank account,"I buy a new car for the bitch (for real). I tear down the mall with the bitch (for real). You can't even talk to the bitch (no). She fucking with bosses and shit (on god). I pull up in 'rari's and shit (skrr). With choppers and harley's and shit (for real). I be gucci'd down-gucci-, you wearing lacoste and shit. (bitch). Yeah, moncler, yuh, fur came off a bear, yuh (yeah). Triple homicide, put me in a chair, yuh (in jail). Triple cross the plug, we do not play fair, yuh (on god). Got 'em tennis chains on and they real blingy (bling). Draco make you do the chicken head like chingy. (chingy). Walk in neiman marcus and I spend a light fifty (fifty). Please proceed with caution, shooters. They be right with me (21). Bad bitch, cute face and some nice titties. $7500 on a saint laurent jacket (yeah). Bitch, be careful when you dumpin' your ashes (bitch). I ain't no sucker, I ain't cuffin' no action (nah). The skreets raised me, I'm a whole bastard (wild). I bought a 'rari just so I can go faster (skrr). Niggas tryna copy me, they playin' catch up (21). I might pull up in a ghost, no casper (21). I been smoking gas and I got no asthma. I got 1-2-3-4-5-6-7-8 m's in my bank account, yeah. (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). I got 1-2-3-4-5-6-7-8 shooters. Ready to gun you down, yeah (fast). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Yeah, dog, huh-yeah-, nah for real, dog (21). Straight up out the 6, now got a house in the hills, dog. (21). Wanna see a body, nigga? get you killed, dog (wet). Wanna tweet about me, nigga? get you killed, dog (wet). Killed dog, I'm a real dog-21-, you a lil' dog (21). Be a dog, wanna be a dog, chasing mil's, dog (yeah). Dunk right in your bitch like o'neal, dog (wet). I shoot like, shoot like reggie mill', dog (21). Chopper sting you like a eel, dog (fast). I got 1-2-3-4-5-6-7-8 m's in my bank account, yeah. (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). I got 1-2-3-4-5-6-7-8 shooters. Ready to gun you down, yeah (fast). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ruler clip-umm-, sent a ruler hit. Pull up on yo' bitch, she say that I got that ruler dick. Spray your block down, we not really. With that ruh-rah shit. Glock cocked now. I don't really give no fuck 'bout who I hit. Yeah, yo' bitch, she get jiggy with me. Keep that siggy with me. Bitch, I'm mad max, you know I got ziggy with me. Keep a mad mag. In case a nigga wanna get busy with me. 'rari matte black and I got a bentley with me. I got 1-2-3-4-5-6-7-8 m's in my bank account, yeah. (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). In my bank account, yeah (on god). I got 1-2-3-4-5-6-7-8 shooters. Ready to gun you down, yeah (fast). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). Ready to gun you down, yeah (on god). $7500 on a saint laurent jacket. Bitch, be careful where you dumpin' your ashes. I ain't no sucker, I ain't cuffin' no action. The streets raised me, I'm a whole bastard"
break da law,"Southside on the track, yeah. Yeah. Cut the bullshit, I'm not with it. Call your main bitch, she let me hit it. Haha, ha. Metro Boomin want some more, nigga. Diamonds got dripped in a lake (a lake). I don't be goin' on dates (on dates). She got an ass, but it's fake (it's fake). He savin' hoes, need a cape (cape). Lil' mama's head supreme (straight up). But I'm still rockin' this Bape (on God). All I know is two guns, nigga. If you a plate, you get ate (brrat). Had to put a bitch on pause (pause). Me and my dawgs break laws (laws). 21 gang 'til I fall (fall). You could get hit in the jaw (jaw). The chopper can hit all of y'all (straight up). Your brother, your goldfish and dog (all). Most of my niggas just rob (wow). They cut off and hand you your balls (on God). Hit your Bff, I'm petty (21). Can't leave the streets, I ain't ready (21). Me and my hood got married (21). And my wedding ring was a machete (straight up). Need me a Keisha like Belly (straight up). Dissin' me, got a nigga's homeboys buried (on God). They don't come outside, they scary (scary). When we start spinnin' niggas' blocks, they telling (pussy). Got your baby mama in a yolk (yolk). I don't smoke weed, I sell dope (21). Ain't no back and forth, it's smoke (smoke). Pull up on you and your folks (your folks). Try to give me head, she choke (ugh). We call you a rat 'cause you spoke (bitch). All these tennis chains like I'm in a tennis game. Y'all niggas wearin' gold ropes (you're broke). Actin' Hollywood, I kicked her out on Wilshire (bye). Got a model and she tighter than a grill plier (fine). Sneak and steal my flow, lot of these rappers slick biters (21). I'm 4l gang for L, dawg, and we got big rifles (on God). Let me pop my shit (yeah). Keep a big Glock on my hip (yeah). One up top, my shit (on God). I don't like to cock my shit (straight up). Y'all niggas gossip and shit (on God). No more beef, we drop that shit (straight up). Y'all niggas talk that shit (straight up). Never had a payment, I bought that shit (straight up, straight up). Vs1 on my wrist (wrist). Can't put my tongue on no bitch (no bitch). 'Cause I still kiss my kids (I do). Ho, you need to fix your wig (you do). All my brothers did a bid (straight up). When they came home, we was rich (straight up). Fuck 40 acres and a mule. They got 50 racks and a brand new Sig (on God). Lil' boy, get up out the way (yeah). Lil' boy, we didn't come to play (yeah). And I got a partner named Dre (Dre). You can get beats by Dre (on God). You can get hit by K (K). K hit you, that's your last day (day). Glock 27, that's bae (21). Stick the 30 in it, had a baby (yeah). My strippers got S-Class 'Cedes (straight up). Ride me slow like you drivin' Miss Daisy. I ain't go to school 'cause I was too lazy. Had to cut her off 'cause she was too crazy. Moncler jacket, a letterman (letterman). I gotta keep a Beretta, man (Beretta, man). She screamin' and scratchin' and yellin', man (snd yellin', man). I got her in a falsetto, man (Falsetto, man). Had to put a bitch on pause (pause). Me and my dawgs break laws (laws). 21 gang 'til I fall (fall). Me and my dawgs break laws (laws). 21 gang 'til I fall (fall). Me and my dawgs break laws (laws). You could get hit in the jaw (your jaw). The chopper can hit all of y'all (straight up). Your brother, your goldfish and dog (all). Most of my niggas just rob (wow). They cut off and hand you your balls (on God)"
good day,"I think of murder, murder on me mind. Murder on the menu, murder on the timertoday was a good day, ain't have to spray the K. Today was a good day, pour some Actavis. Today was a good day, I woke up with your bitch. Today was a good day, cross her off the list. Today was a good day, ain't have to spray the K. Today was a good day, I sold a brick of yay. Today was a good day, my brother beat his case. Today was a good day, day. Murder with the. 45, murder with the nine. Murdering that bitch, put that dick up in her spine. Murder with the. 45, murder with the nine. Murdering that bitch, put that dick up in her spine (Uh, ooh). I don't do love, I don't do hate. I don't do gullible (Gullible, yeah). Dope in the pantry, serving up candy. Watch looking colorful (Colorful, bling). Got an extendo, it's a new thing, it got kick with it (Ayy, ayy). Got a new drum, that pa-rum-pum. I can't miss with it, uh. I'm in the four door (Four door). Driving it solo (Ayy, nyoom). Nigga, it's stolen, hope out and park 'em. Nigga, then walk home (Brrap). All of this gang talk, gang talk. Walk with me, red dot on your head turn green. Turn your Twitter fingers to a crime scene (Splat, splat, splat). Street sweep sweep sweep (Whoop, whoop). Wonder how I get the dope so cheap. Plug walk, get the bags off me (Whoop, whoop, whoop). Two for ten going in all week. Twin Glocks don't pretend round me, uh (Brrt). Hit the deck, going down 'round me ('Round me). Couple shots have a 'round 'round me (Ayy, ayy). One clip but it came twelve deep (Whoop, whoop, whoop). Today was a good day, ain't have to spray the K. Today was a good day, pour some Actavis. Today was a good day, I woke up with your bitch. Today was a good day, cross her off the list. Today was a good day, ain't have to spray the K. Today was a good day, I sold a brick of yay. Today was a good day, my brother beat his case. Today was a good day, day. Niggas they die, many die, die, dead niggas. I pull the trig-, pull the trig-, pull the trigger. Niggas they die, many die, die, dead niggas. I pull the trig-, pull the trig-, pull the trigger. Got the bull for 50 things, now he wanna kill me now. 50 drums, air his mammy house, do he feel me now?. Left his kinfolk full of leaks, in the street we play for keeps. Closed casket I aimed for his head, shot him in his teeth. Mud nigga, hood nigga, op killer, thot driller. Even Tennesse we got real hitters. Drug dealers, cop killer, gang spitters, sauce drippers. Pussy ass niggas, you need to bleed. Draco bury you like a seed. I know you niggas ain't liking me. Patta, all about that sack-uh. Ran up on me 45 blue Audis back-uh. Rack after rack-uh, you know I'm gone stack-uh. Treat this rap shit, man, like I'm hustling crack-uh, Patta. Today was a good day, ain't have to spray the K. Today was a good day, pour some Actavis. Today was a good day, I woke up with your bitch. Today was a good day, cross her off the list. Today was a good day, ain't have to spray the K. Today was a good day, I sold a brick of yay. Today was a good day, my brother beat his case. Today was a good day, day"
numb,"Grind hard, nigga, grind hard, I done grind hard. Late nights playin' b-ball with a decoy. I was on the corner with the robbers and the D-boys. Now I'm on the charts, man, this shit is unbelievable. Mama, it's a lot of secrets that I had to keep from you. Got in so much trouble. thought the teachers had beef with you. And it paid off 'cause we livin' like the Greeks and Jews. Used to leave your stove runnin', stove runnin'. Now it's Louis rags when my nose runnin'. Got it out the mud, I don't owe nothin'. You pussy-ass niggas ain't on nothin'. Wanna see me fucked up 'cause they poor hustlin'. The same niggas with me back when I was head itchin'. Man I'm having nightmares that the feds listenin'. You fake gangstas pump fakin' and they scared snitchin'. The coupe fast and it's fucking up the dash digital. Numb the pain with the money x15. It's a bag on his head, I'ma pick it up. It was money in the house, I used to stick it up. Got your main bitch chillin', splashin', tryna lick it up. Dick ridin', niggas always tryna flick it up. I ain't tryna take no bitches, bitch I'm rollin' Swishers. I count my back end then I jump out with that pistol. If you ain't suckin' dick you get a early dismissal. We got your wifey at the spot, she tryna lick a pickle. I just went and bought a Lamb and it cost a nickel. And I came from the bottom and it feel good. And I went platinum, still in the hood. And I take the gang with me everywhere I go. Why these niggas hatin' on me? Man I don't know. Ain't a place in the world that I can't go. And I got a hundred racks inside a Go-Go. And I get a hundred racks for a show, show. Wanna give a bitch my heart but I can't though. I can't fall in love with a stank ho. Lil' bitch I fell in love with the bank ho. And you know I love that good drank, ho. Numb the pain with the money x15. Numb the pain with the money. and ride 'round with that Tommy. And I put it in her stomach. and I made that lil' bitch ride me. You're my old school runner. you're my old school runner. But my new school runnin', it costs more than a hundred. You lil' niggas so bummy (21). Make a diss song, they gon' wrap you like a mummy. My young niggas geekin' on food like zombies. They hungry, up it on you then they tell you, ""Run it"". I stole cars, drove them like go-karts. Niggas actin' like bitches, they got both parts. And I came from the gutter, I don't got no heart. And I'm straight up out the gutter, I don't got no heart. Nigga when they killed my brother, I had to go hard. Put that chopper in his face and then I Bogart. Niggas tryna cross me, I don't understand it. I'm just tryna take care of the family. And I'm sippin' codeine, not brandy (21). And I'm sippin' codeine, I'm a addict. You go to jail, can't depend on a bad bitch. She fucked and sucked him. tryna keep up with the fashion. And I'm really, really rich and I ain't braggin'. Sometimes I really can't believe this shit happened. Who woulda thought I'd make it rappin'?. I almost lost my life when I was trappin'. Numb the pain with the money x15. If Young Metro don't trust you, I'm gon' shoot you"
out for the night,"Give her back shots. 'til her back hurt (back shots). Thumb through the money. 'til my hands hurt (cash out). Wanna go on a date?. you gotta dance first (yah, yah). Take it to the paint. I gotta slam first (yah, yah). She be actin' stiff with the booty (on god). Feelin' like I'm biggie rockin' coogi (on god). Draco make you put up that lil' uzi (on god). I don't want no features. niggas groupies (straight up). Pass her to the gang. quarterback sneak (quarterback sneak). I was in my feelings. now it's, fuck kiki (worried 'bout). Let lil' tip hit that bitch, on gp (straight up). Smokin' gas, nigga, I re-up at the bp. Five foot five (five). she my ride or die (die). Never tell a lie (lie). we like bonnie and clyde (clyde). Lookin' at her thigh (thigh). like: do it come with rice? (rice). She don't like facetime. she would rather skype. But I'm out for the night (straight up). Out for the night (straight up). Out for the night (straight up). Out for the night (straight up). Yeah, I'm out for the night (on god). Out for the night (on god). Out for the night (on god). Out for the night (on god). Yeah, you workin' hard (hard). And I see you (I do). And your bills late (late). And your rent due (yeah). And you never need a man to defend you. (straight up). You already pissed off, on your menstrual. (straight up). And you been through (yeah). 'cause he been through (yeah). You a star player (yeah). And he benched you (yeah). In your corner, I'd never go against you. (on god). Bought a foreign. now it's friends wanna text you (straight up). You got off late (late). And you worked out (worked). You ain't stunt his baby mama. 'cause she burnt out (burnt). You got rid of him. and made sure that we worked out (facts). So I put a hunnid racks in your purse now. (racks). Five foot five (five) , she my ride or die (die). Never tell a lie (lie). we like bonnie and clyde (clyde). Lookin' at her thigh (thigh). like: do it come with rice? (rice). She don't like facetime. she would rather skype. But I'm out for the night (straight up). Out for the night (straight up). Out for the night (straight up). Out for the night (straight up). Yeah, I'm out for the night (on god). Out for the night (on god). Out for the night (on god). Out for the night (on god)"
pad lock,"Yeah, yeah, dawg. This shit real, dawg. Niggas kill, dawg. Keep the steel, dawg. Or be a long-live dog. Straight up. I'm hangin' with killers, serial (straight up). Still in the hood eatin' cereal (straight up). I pray to these streets like they biblical (straight up). Jump off the rope, Rey Mysterio (straight up). Two ounces stashed in my stereo (on God). You can get killed for subliminals (on God). I'm a big dog, you a Cheerio (on God). I don't gotta talk loud, but you hear me though (straight up). Catch me now, I'm bad in traffic (21). Way before the deal, I was trappin' (21). Way before the deal, I was puttin'. That fye on niggas just to feed my family (on God). 21 gang, I'm a bandit (straight up). I ain't have a father, he abandoned (21). Me and mine, swear I went. And picked up a lil' bit of weed and a nine (yeah). Partner damn near did a dime (yeah). And he still got another nine (yeah). Sent my boy 100 racks in the chain gang, nigga. 'Cause money is time (on God). Lately, I been on my grind (straight up). 25 hundred on wine (facts). 50 thousand on a suit, it's a good investment. Yeah, 'cause the deal worth dyin' (21). Heart so cold, got a padlock, padlock. (Padlock, padlock, padlock, padlock, padlock). He ain't in the field, he a mascot, mascot. (Mascot, mascot, mascot, mascot, mascot). Chasin' this money, I can't stop, won't stop. (Can't stop, won't stop, can't stop, won't stop, won't stop). Chasin' this money, I can't stop, won't stop. (Can't stop, won't stop, can't stop, won't stop, won't stop). Heart so cold, got a padlock, padlock. (Padlock, padlock, padlock, padlock, padlock). He ain't in the field, he a mascot, mascot. (Mascot, mascot, mascot, mascot, mascot). Chasin' this money, I can't stop, won't stop. (Can't stop, won't stop, can't stop, won't stop, won't stop). Make more than a teacher, I'ma drop out, drop out. I got rich nigga problems (rich nigga). Tryna put a 50 in my joggers (won't fit nigga). Knew you was a rat when we was toddlers (you a snitch, nigga). You was always the cop, I was the robber (lil' bitch nigga). Born to be a leader, not follow (follow). Seventeen with a Monte Carlo (Carlo). Y'all was in the house playin' Mario (Mario). I was sellin' weed and went hollow (went hollow). That's just how we was raised (on Gwod). Before we came of age (straight up). Y'all niggas wanted some pets (21). My niggas wanted some Ks (on God). I had to sell a lil weed to hit the flea market. And buy some fake Ye's (straight up). That's where I bought my first grill (On God). That's where I bought my first J's (On God). 'Member when my mama was stressed (damn). Look at your son, now I'm paid (goddamn). She ain't really worry 'bout harm. She worry 'bout jail 'cause she know I don't play (yes, ma'am). She remember days, two-bedroom, Mini-14, and a Sk (21). I could leave today, she know that I'ma take a nigga with me. 'Cause she know I'm gon' spray (on God). Heart so cold, got a padlock, padlock. (Padlock, padlock, padlock, padlock, padlock). He ain't in the field, he a mascot, mascot. (Mascot, mascot, mascot, mascot, mascot). Chasin' this money, I can't stop, won't stop. (Can't stop, won't stop, can't stop, won't stop, won't stop). Chasin' this money, I can't stop, won't stop. (Can't stop, won't stop, can't stop, won't stop, won't stop). Heart so cold, got a padlock, padlock. (Padlock, padlock, padlock, padlock, padlock). He ain't in the field, he a mascot, mascot. (Mascot, mascot, mascot, mascot, mascot). Chasin' this money, I can't stop, won't stop. (Can't stop, won't stop, can't stop, won't stop, won't stop). Make more than a teacher, I'ma drop out, drop out"
real nigga,"Savage. 21 Savage, the one and only. How it feel to be a real nigga man. The same niggas doubted me. Now they tryna hang around a nigga. Ain't got none' but bullets for you nigga. I feel like a bully to you nigga. I ain't countin' none' but hundreds nigga. Ain't none' but mud in my stomach nigga. I kept it real with a lot of niggas. Ain't gotta deal with a lot of niggas. I ain't sign no deal, I can't lie to niggas. So they don't treat me. Like I'm poppin', nigga. I kept it trill with all the trill niggas. I get accepted by the real niggas. I was raised to be a real nigga. Every nigga 'round me like to kill niggas. Red bottoms on a real nigga. She tryna suck it through the hilfigers. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. Bronx niggas say I'm ill nigga. Auto came, had to let it go. Now it ain't no place I can't go. Watch me thumb through that bankroll. Ain't no ones in this bankroll. Ain't none' but blues in this bitch, nigga. On boulevard with the crips, nigga. She got an ass but her titties little. But I hope she brought her sister with her. Cause you know I got a gang with me. You know ain't a damn thang changed with me. Got them vvs's on me now. Got them vvs's on me now. Look at my watch, this shit done cost a house. You talkin' to a boss. Please watch your mouth. That boy came a long way, didn't he?. Yeah I came a long way, didn't he?. That boy came a long way, didn't he?. Now I'm ballin', hardaway, penny. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga. How it feel to be a real nigga"
who run it freestyle,"Straight up. 21. 223 Diamondback with the drum, nigga (straight up). Choppa like to crush a lot, Big Pun nigga (straight up). I've been taking money ever since I was young, nigga. (straight up). Sneak dissin', niggas cuttin' out your tongue, nigga. (straight up). Real street nigga, I ain't doin' no cappin', nigga. I ain't told no lies (21). I don't give a fuck if I got a hunnid' million. I'm keepin' my. 45 (on God). Walkin' up on ya nigga, point blank range. we ain't doin' no drive-by's (yeah). I still right here wit' hollows, nigga. and I got my Glock out (facts). She keep tryna watch Netflix, bitch. I'm pullin' my cock out (straight up). Hit her with the dick and I left that bitch cockeyed. (straight up, straight up). All these Vvs's, I made your bitch cockeyed (21, 21). Talkin' out your neck, you get your T-shirt tie-dyed. (on God). I'm on Percocet's, I think I'm finna skydive (yeah). You little pussycat, you must think you got nine lives (21). I'm so sick of all this fruity shit, you niggas on thin ice. That stick gon' cut you half-time. now these niggas wanna switch sides (straight up). I ain't really with that takin' shit, lil' nigga. I'm walkin' up (straight up). That. 30 like a tree lil' nigga. watch where you barkin' up (straight up). We got way too many shots. y'all lil' niggas can't dodge enough (on God). We can even challenge ya. 'cause y'all lil' niggas ain't charged enough (fast). Quarter million dollar for a walkthrough (straight up). Get the utmost respect when I walk through (straight up). I love the way you suck that dick, lil' bitch. don't forget who taught you (straight up). Way too much, can't stalk you (straight up). Bogeyman, nigga, I'll haunt you (on God). All these bullets 'round me, nigga. I ain't got time to punch you (21). Hit 'em wit' the 3-2, all y'all niggas see through (yeah). Broad day, I'll see food, had to hit a lick at Kiku. (yeah-yeah). Lil' bitch I don't need you (yeah-yeah). Hell Nah, I can't eat you (yeah-yeah). Let the whole gang G you. then I left that bitch at Jeju (yeah-yeah). You must be scared or some, nigga. let's bet the spread or some (21). That's your main bitch. but I bet that lil' bitch spread for some (on God). I got all these blues like I ain't bangin' red or somethin'. (trre). I bought all these cars like l ain't got no legs or somethin'. (yeah). Fuck that other side, pull up in ya hood switch it (21). Sex, money, murder, two guns, nigga, big B's (21). Every time I hit that bitch she come back like a frisbee. (yeah). I ain't got time to play with nobody kids, go watch Disney. (yeah). Skin made of concrete, nigga, you can never be me (21). My brother down the road with a touchscreen and a Fefe. (Bf). Candlelight gang, leave a nigga on the Tv (21). Fish fry gang, y'all can't even afford to die. Bitch, I'm way too real, I can't even afford to lie"
