"bump, bump, bump (feat. p. diddy)","[Intro: P. Diddy (B2K) ]. We sending this one out. to all the ladies all over the world. All those sexy mamas. Come on, come on, and come on now. As we proceed, to give you what you need. You know I like it when your body go. (Bump, bump, bump). Bad Boy, B2K. Yo, O, talk to 'em, playa. [Verse 1: Omarion (P. Diddy) ]. I like your little sexy style. Love it when you getting wild. Girl in the club with me. Girl, you need to be in magazines. Wear a crown on your head. cause you're a ghetto queen. Like bling bling bling. The way you shaking that sexy ass. Your body shaped like an hourglass. Baby we need to spend some time. I wanna get you to myself. Me and nobody else. And do the things we do. Baby there is something that I need from you. [Chorus: B2K (Omarion) ]. Baby turn around and let me see that sexy body go. Bump, bump, bump. (That is all I want to see. Baby show me, show me). Baby turn around. And let me see that sexy body go. Bump, bump, bump. (The way you're throwing that thing at me. I can't take it, baby). [Verse 2: Omarion (P. Diddy) ]. I love the way you're teasing me. Gonna have to stop pleasing me. While we're on this floor. You're kicking it round and round. I love the way you put it down. You're making me scream for more. Put your 2-way next to mine. Baby hit me anytime. You and me behind closed doors. You're about to be my main squeeze. Take trips, cop shiny things. Girl just come with me. Now, mama, go ahead do the damn thing. [Chorus: B2K (Omarion) ]. Baby turn around and let me see that sexy body go. Bump, bump, bump. (That is all I want to see. Baby show me, show me). Baby turn around. And let me see that sexy body go. Bump, bump, bump. (The way you're throwing that thing at me. I can't take it, baby). [Verse 3: P. Diddy]. Dance for nothing mami, plans to take her by me. Get on the floor, make it bump more, shake it, mami. Let's ride, I'm your Clyde. you can be my Bonnie. See you the type for me, mami, so right for me. Man she can move it. love when she dance to the music. Make me wanna stand like a pool stick. Hands is the smoothest. just a simple touch make me lose it. Girl, that's enough; stop movin'. Now bump that, I pump that. girl, bring it to me bump that. I want that girl to sing it wit me like. (La la-la la-la la la la, La la-la la-la la la la). So let's do it again, mami, you and a friend, mami. Money ain't a thing. look, what I gotta spend mami?. Put up your hands for me. that's how you dance for me. Shake it like you can honey, take it from your man, mami. [Chorus: B2K (Omarion) ]. Baby turn around and let me see that sexy body go. Bump, bump, bump. (That is all I want to see. Baby show me, show me). Baby turn around. And let me see that sexy body go. Bump, bump, bump. (The way you're throwing that thing at me. I can't take it, baby). [Chorus: B2K (Omarion) ]. Baby turn around and let me see that sexy body go. Bump, bump, bump. (That is all I want to see. Baby show me, show me). Baby turn around. And let me see that sexy body go. Bump, bump, bump. (The way you're throwing that thing at me. I can't take it, baby). [Outro: P. Diddy]. B2K, Bad Boy. They call me Diddy. Yea, Dave Mack, you got one now, baby. Don't stop now, hah!. I see you, Chris. C'mon, let's go. C'mon, let's go. And another one. Come on, it's Pandemonium, baby. Let's go, yeah"
girlfriend (pied piper remix) (feat. r. kelly),"[R. Kelly]. [I need a girlfriend in background]. I usually don't do this but ahh. ay yo yo dave mack. you know we had to go and do a remix. it just wouldn't be right baby. B2k flip it. [Omarion]. Just copped a bently and its parked in my garage. a 2 o clock appointment for my massage. and everywhere they go they know just who we are. there they go, its them ghetto superstars. [R Kelly]. The latest throw backs and the ones on my feet. so girl watch yourself cuz I'm tryin ta keep em clean. all of our girlies go from black to japenese. but yea there's still just one thing that I need. I need a girlfriend [x8]. coo coo coo coo......... I know ya'll out there in ya'll cars and jeeps. but what I want ya'll to do for me is get outta ur car right now and party in. the. streets. [Lil' Fizz Rap]. Chillin wit my homies. its about that time. shorty with a man I'm bout ta make her mine. She lookin at Fizz like a man that shine. oh it ain't no doubt we gonna bump and grind. I see this girl eyeing me cuz my body is shining. it's just a matter of time befo I(gasp) mine. don't eva chase her cuz I got so much paper. that dey all up on me. I got a faty excursion thats about a block long. and a fat Ass crib thats about a block long. these bunnies in the mirror just followin the chrome. yea they wanna get with the rapper that sings songs. I got the po po's. followin the limo. sure I'm somewhere in the van chillin with this hunnie. plus I got this thick chick feelin on me. and I'd sure love to see her hips roll for me. I need a girlfriend [x8]. coo coo coo coo......... B2k and pi-pi-pi-piper. B2k and pi__piper. B2k and pi-pi-pi-piper. B2k and pi-pi-pi-piper. I need a girlfriend [x8]. coo coo coo coo........"
girlfriend,"(Omarion talking). I've got everything I want in my life except a girlfriend. Just copped a Bently and it's parked in my garage. A two o'clock appointment for my massage. And everywhere we go they know just who we are. There they go it's them ghetto superstars. The lastest throw backs and the ones on my feet. Get off the Benz and them I'm off up in the Jeep. Take ya fix with chicks that look like Licia Keys. All of that I'm still missin' one thing. A Girlfriend, Girlfriend. I need a girlfriend, girlfriend. A girlfriend, girlfriend. Would you be my girlfriend, Girlfriend. We hit the mall buyin' up all the Nike suits. I'm being pampered while I'm chillin by the pool. From the show to the limo to the club. Hands in the air showin' nothin' but some love. Got plenty clothes, plenty ice plenty cash. A pretty swope plenty abs plenty shhh. I got every single thing that I need. Except for a main squeeze. A Girlfriend, Girlfriend. I need a girlfriend, girlfriend. A girlfriend, girlfriend. Would you be my girlfriend, Girlfriend. Alright Alright. We got B2K up in this peice. (Tell me who's gonna be my girlfriend). And we need all the ladies out there lookin' for a nice fella to get up out yo seat c'mon!. (And who I bet needs a real man). Put yall hand up Put yall hands up. (And who's gonna ride or die with me). Yeah who's gonna be that ride or die chick for me tonight. (Who's gonna give B2K what they need). I need a thick with big hips that's just my motivation. No more game preperation, This is pimperation. She must be ready and steady for a romance session. I'm talkin' willin' to learn, A Lil Fizz lesson. Now she playin' at it again and now we arguin'. Talkin' girls talk mess and tellin' all her. friends. When I seen this new chick tonight. and Imma make her my girlfriend,. my girlfriend. I need a girlfriend. A Girlfriend, Girlfriend. I need a girlfriend, girlfriend. A girlfriend, girlfriend. Would you be my girlfriend, Girlfriend"
i need a girlfriend,i got everything i want in my life except a girlfriend. just caught bentley and parked in my garage. at 2 o'clock i pull in for my massage. and everywhere that we go they know just who we are. there they go it's them ghetto superstars. the latest throwback and air 1's on my feet. all up in the jeep. takin pics with chicks that look alicia keys. all of that i'm still missing 1 thing. (Chorus). a girlfriend(girlfriend). i need a girlfriend(girlfriend). a girlfriend(girlfriend). would you be my girlfriend (girlfriend). we hit the mall and buy up all the nike suites. im bein pampered while im chillin by the pool. from the shore. to the limo. to the club. everywhere showin nothin but some love. got plenty cloths. plenty ice. plenty cash. im pretty swoll. pretty ass. plenty shhh. i got every single thing that i need. except for a main squeeze. (chorus). (alright alright we got b2k up in this beat). tell me who's gonna be my girlfriend.... (and we need all the ladies out there lookin for a nice fella to get up out there seat). and who out there needs a real man..... (put your hands up ya'll uh). and who's gonna ride or die with me.... (who's gonna be that ride or die chick for me tonight uh). who's gonna give me don't care what they need.... (LiL Fizz). i need a thing with big hips that just my motivation. no more game preperation. this is pimperation. she must be ready and steady for romance-session. i'm talkin willin to learn a LiL Fizz lesson. now she blamin it again and now we arguin. talkin girl talk lesson tellin all her friends. but i seen this new chick tonight. and imma make her my girlfriend. my girlfriend. (chorus 2x's)
alone,"Alone. Na na na na na. Alone. Na na na na na. I know (listen up). Questions cloud my head with why. Tears on my pillow as I cry. Makes no sense for us too say goodbye. Impossible to hide this pain inside. Thinking 'bout the times we shared. Makes me wonder if you even cared. Contemplating should I let you go. Girl why'd you leave me. (Chorus). Alone. I been seating here waiting. By the phone. Give anything to hear. Your tone. It was all my fault. I know. Now I just stand here. Alone. Still remember the day when everything. Went wrong. Try to think how it would be if you hadn't. Gone. Away, shoulda made you stay. Now I just stand. . Stormy nights and cloudy days. Can I fix it, what can I do, what can I say. Feels as if I'm stuck in a maze. With no way out I think I'm goin insane. So alone without you. Where'd you go I miss my baby boo. It's a shame cause I can't breath without you. Please come back girl. Cause I'm missing you. . (Chorus). Alone. I been seating here waiting. By the phone (by the phone). Give anything to hear. Your tone (yeah, ohh ohh). It was all my fault. I know (I know...I kno, kno, kno). Now I just stand here. Alone. Still remember the day when everything. Went wrong. Try to think how it would be if you hadn't. Gone. Away, shoulda made you stay. Now I just stand. (Bridge). Why, why, why. You leave out of my life. Need you right here by my side. Why, why, why. Why oh why. (Chorus 2x). Alone. I been seating here waiting. By the phone (by the phone). Give anything to hear. Your tone (give anything). It was all my fault. I know. Now I just stand here. Alone. Still remember the day when everything. Went wrong. Try to think how it would be if you hadn't. Gone. Away, shoulda made you stay. Now I just stand (stand). . . [C'AnN ]"
bada boom,"Yea, yea, yea. (It's B2K ya'll) It's B2K ya'll. Welcome ladies... and gentlemen. (Yes) To the U Got Served Soundtrack. (Yea) We about to do dis. You know how we get down. Oh Yea. You know dat. come on. Omarion hit em wit it. [Verse One: Omari]. Like whoa. You know. Girl you're the star of my show. In this club. Poppin bub. The way you shakin deservin some dubs. Turn around. Make it bounce. Shake it like you come from out of town. Whats yo name?. Whats yo sign?. Girl you leavin with me tonight. [Chorus 2x]. Mami shake it like you care for me. You know I like it when you do that little dance for me. Mami I'm just trynna get you in my room. And see that big badabing go badaboom. [Verse Two: Omari]. This one, I seen. Couldn't believe the ass in them jeans. To myself, had to think. 'Any room for me up in them jeans?'. Ghetto star. You are. Eat you up like a chocolate bar. What's yo name?. What's yo sign?. Damn you got me weeping inside. [Chorus 2x]. Mami shake it like you care for me. You know I like it when you do that little dance for me. Mami I'm just trynna get you in my room. And see that big badabing go badaboom. [Rap: Fabolous]. I wanna see ya 'badabing' go 'badaboom'. And my house got a wing, with a lotta rooms. I can do a lotta things, get you hot as June. I wanna watch ya body swing to the hottest grooves. I'm trynna slide behind it when you throw it 'round. So I can ride and grind it, when you slow it down. Bring it from the top, then take it to da bottom. I'm clingin to ya top, trynna make it to ya oh. The way you move is fab-u-losa. It makes me wanna grab you closa. You know I like it when ya bounce, bounce. Throw ya hands up and ya bounce, bounce. I don't back down, when I'm pressin ya. I'm finna lay the smack down like the wrestler. But nobody get it ta poppin like this man can. Have them girls get it to poppin on a handstand. ...Ghetto. [Chorus 4x]. Mami shake it like you care for me. You know I like it when you do that little dance for me. Mami I'm just trynna get you in my room. And see that big badabing go badaboom. la la la la la. [Talking]. B2K. Fab. T-Scott. Oh yea Chris Stoke I see you boy. And oh yea, Dave Mack. Let's do dis again. Yea [laughs]. TUG. (Hums). Mmmmmm Badaboom. [Music plays...and fades out..]"
uh huh,"Yeah. Hey yo trick. How you gonna come up w/ something like this man?. Yeah. When this come on. They'll be like ""uh-huh"". haha. Red Zone. Yo B2k. Yo, Where you at?. Girl you messed when you let me in. Told your best friend that you wanted me. then she called me up and hipped me to your steez. told me you were lookin for a guy like me. so I said hold on I don`t want. unless shorty really wanna have some fun. then she said that you told her I was what you want. when I call you don`t try to front. I'm the guy in your dreams. that you had last night. I'm the benz wit tha 20'z. that you wanna drive. I'm the thug in your life. that'll treat you right. got ya hooked cause I`m bringin everything you. like uh huh. I know that you wantin this (uh huh). tell me can you handle it (uh huh). show me how you work dem hips (uh huh). and maybe you can roll with it (uh huh). I know that you wantin this (uh huh). tell me can you handle it (uh huh). show me how you work dem hips (uh huh). and maybe you can roll with it (uh huh). Now we're all out in the open. Everybody knows about you and me. there's no more need for you and me to creep. I want you so bad I don`t care who sees. so girl hold on I got what you want. I know you ain`t scared to go have some fun. so let your girls know that you found someone. who be keepin you tight and crunk. I'm the guy in your dreams. that you had last night. I'm the benz wit tha 20'z. that you wanna drive. I'm the thug in your life. that'll treat you right. got ya hooked cause I`m bringin everything you like uh huh. I know that you wantin this (uh huh). tell me can you handle it (uh huh). show me how you work dem hips (uh huh). and maybe you can roll with it (uh huh). I know that you wantin this (uh huh). tell me can you handle it (uh huh). show me how you work dem hips (uh huh). and maybe you can roll with it (uh huh). Two months of conversation. man it`s a major. spit the game undercover. I'm lethal like Dannie Glover. got you runnin to your mother. makin plans for life. yo I`m only 15 what I need wit a wife. we can walk through the mall while I hold ya hips. or you can hang out the drop while I`m pushin the whip. take you on a ride that you'll never forget. runnin home tellin ya friends lil fizz is it. got ya hooked by the way that I lick my lips. and I got many dimes I ain`t sweatin a chick. yo I run these girls from coast to coast. droppin game so sick I got em doin the most. I know that you wantin this. tell me can you handle it. show me how you work dem hips. and maybe you can roll with it. I know that you wantin this. tell me can you handle it. show me how you work dem hips. and maybe you can roll with it. I know that you wantin this (uh huh). tell me can you handle it (uh huh). show me how you work dem hips (uh huh). and maybe you can roll with it (uh huh). I know that you wantin this (uh huh). tell me can you handle it (uh huh). show me how you work dem hips (uh huh). and maybe you can roll with it (uh huh)"
ante up,"[Lil Fame]. Take minks off! Take things off!. Take chains off! Take rings off!. Braclets is yapped, Fame came off!. [Ante Up!] Everything off!. Fool what you want, we stiflin fools. Fool what you want? Your life or your jewels?. The rules, [back 'em down], next thing [clap 'em down]. Respect mine we Brooklyn bound, [bound!] now, [now!]. [Billy Danze]. Brownsville, home of the brave. Put in work in the street like a slave. Keep a rugged dress code, always in this stress mode. [That shit will send you to your grave] So?!. You think I don't know that? [BLOW!]. Nigga hold that! [BLOW!] Nigga hold that! [BLOW!] Nigga hold that!. From the street cousin, you know the drill. I'm nine hundred and ninety nine thou short of a mil. [Chorus: M.O.P.]. Ante Up! Yap that fool!. Ante Up! Kidnap that fool!. It's the perfect timin, you see the man shinin. Get up off them god damn diamonds! Huh!. Ante Up! Oh! Yap that fool! Oh!. Ante Up! Oh! Kidnap that fool!. Get him (get him) get him! Hit him (hit him) hit him!. Yap him! (Zap him!) Yap him! (Zap him!). [Lil' Fame]. Them thugs you know, aint friendly. Them jewels you rock, make 'em envy. You thinkin it's all good, you creep through a small hood. Goons comin up outta a cut for your goods and they all should. Ante Up! Yap that fool!. You want big money, kidnap that fool!. If you up in the club, back out your pis-tal money. Catch them fools at the bar for that Cristal money. [Billy Danze]. The '87 stick up kids, [what you niggas sayin?]. Get the fuck up out that 740 shorty I ain't playin. It's flash that thang time, [bang] bang time. Ante Up! Nigga, it's game time. Hand over the ring, take over the chain. Gimme the fuckin watch before I pop one in your brain. Stop playin these childish games with me. Representin 1-7-1-8, dangerously, nigga!. [Chorus] with variations. [Lil' Fame]. I'ma, street regulator, true playa hater. Get back down, make your ass a mack spraya hater. Things that we need, money, clothes, weed indeed. Hats, food, booze, essentials, credentials. Code of the streets, owners who creep. Slow when you sleep, holdin the heat. Put holes in your jeep, respect the streets. It's the L-I L-F A-M, [M!] E, [E!]. [Billy Danze]. Yeah nigga Danze, gave you a chance. Cuz I blazed your man, I'm in the wrong. He said he was strong. I had reason to believe he had some shit up his sleeve all along. [So?] Fuck you Your Honor! Check my persona!. I'm strong enough for Old Gold and marijuana!. I'ma do what I wanna, quiet as kept. [Raise hell!] Til I was tired of stress, yes lord!. [Chorus] with variations. Ha, ha, ha, ha, ha, ha, ha, ha.... The fuck, the fuck, the fuck.... Nigga!. What the fuck, what the fuck, what the fuck.... Ha, what. First Family, First Family.... Brooklyn.... Yeah!"
everything,"EV-ERY-TH-ING x2. Verse 1:. When I'm out on the road goin from show to show. I told my homie Romeo how much I miss you so. I don't know how much longer It'll be. I'm missing, wantin you. And I really want to talk to you. (Oh No) I left my two way at home still sittin on the. charger. (Oh No) My batterys' dead on my cell phone and I. really wanna call ya. J-Boog let me use your phone gotta call my baby girl. back home and let her know what she means to me. cause we've gotta be. Chorus 2x:. You're my angel. You're my heart girl. (You're my everything) You're everything I want in a woman. (You're my everything) You're everything I need in a woman. Verse 2:. I got you on the phone. You sayin you wish I was home. But then you flip the script, to put me in the wrong. And you think I'm lyin when I been tryin all day to. talk you. Jugglin videos and photo shoots. Baby girl don't think that one minute goes by and I. don't really wanna call ya. Don't think that I'm screening my calls off checking. my caller ID tryna dodge you girl. Tryna be all I can be. A youngin in this industry. You mean the world to me. You are my everything. Chorus 2x. Girl I want you to know that nothing will come between. you and me. Girl I want you to know that you always be my. everything. Rap: (Lil Fizz). Baby girl I'm missin you. Can't wait to get home so I could hold you. Pain is love when it comes to you. Faithful and true is what I stay to you. You my homie when I chill wit you. Throw on some sweats wit some nike shoes. Or get sidity for me. Louie skirt wit the mini T. See times been hard for me. Bein on the road without my wifey. Lookin at my watch as time goes by. Lookin at the sky as the day goes by. Wishin on these days you could fly. To the next town and be by my side. For you I ride, for you I lie. Me and you go Bonnie and Clyde.. Chorus 2x"
b2k is hot,(B2k 2001 câ€™mon). B2K got the ladies jumpin'. Keep the party bumpin'. And everybodyâ€™s sayinâ€™. B2k is hot. The partyâ€™s rippin and. Aint nobody trippinâ€™. and all my fellas chillinâ€™ like. Repeat twice. . ~*Omarion*~. Step in the party lookin' tite tonight. Got all the ladies given eyes tonight. You know I drove my CL5 tonight. And so you know the ladies wanna ride tonight. So I proceeded to hit the dance floor. Got the ladies pullin' my clothes. Sayin' gimmie some more. I say it's gettin' kinda crazy. I'm sayin' take it slow. But she wouldn't stop trippin'. So I had to go. Repeat chorus twice. . ~*Omarion*~. Up in the place I'm on the move you see. Got all the ladies wanna grove with me. I see my fellas in the V.I.P. And so I say yall gotta come a party with me. So we proceeded to hit the dance floor. Got the ladies pullin' my clothes sayin' gimmie some. more. I say it's gettin' kinda crazy. I'm sayin take it slow. But they wouldn't stop trippin. So we have to say. Repeat chorus twice. ~*Lil Fizz*~. Hops out the CL5. To a standing ovation. It's me Lil Fizz. Top playa number 1 in your nation. Got chicks chasin' me. Half-Black and Asian. Get their number. Page em'. Game em'. Replace em'. With another dime. At the same time. They all wanna be with me. Screamin' my name we go. F~I~Z~Z. On the phone with they friends. Like how cool is he. Repeat chorus twice untill fade out. B2k instead of bringin the beat. We keep bringin the heat. We keep movin your feet. Like b2k B2K is hot. And we click. And we sick. Pop ya colla. And thatâ€™s it
