sabotage,"I can't stand it, I know you planned it. I'm a' set straight, this watergate. I can't stand rocking when I'm in here. 'Cause your crystal ball ain't so crystal clear. So while you sit back and wonder why. I got this fucking thorn in my side. Oh my god, it's a mirage. I'm tellin' y'all it's sabotage. So listen up 'cause you can't say nothin'. You'll shut me down with a push of your button. But I'm out and I'm gone. I'll tell you now I keep it on and on. 'Cause what you see you might not get. And we can bet so don't you get souped yet. You're scheming on a thing that's a mirage. I'm trying to tell you now it's sabotage. Why. Our backs are now against the wall. Listen all of y'all it's a sabotage (x4). I can't stand it, I know you planned it. I'm a' set straight this watergate. I can't stand rockin' when I'm in this place. Because I feel disgraced because you're all in my face. But make no mistakes and switch up my channel. I'm buddy rich when I fly off the handle. What could it be, it's a mirage. You're scheming on a thing, that's sabotage"
intergalactic,Intergalactic Planetary Planetary Intergalactic Another Dimension. Don't you tell me to smile. You stick around I'll make it worth your while. Got numbers beyond what you can dial. Maybe it's because I'm so versatile. Style profile I said. It always brings me back when I hear Ooh Child. From the Hudson River out to the Nile. I run the marathon 'til the very last mile. If you battle me I will revile. People always say my style is wild. You've got gall you've got guile. To step to me I'm a rapophile. If you want to battle you're in denial. Coming from Uranus to check my style. Go ahead put my rhymes on trial. Cast you off into exile. Intergalactic planetary. Planetary intergalactic. Jazz and Awol that's our team. Step inside the party disrupt the whole scene. When it comes to beats well I'm a fiend. I like my sugar with coffee and cream. Got to keep it going keep it going full steam. Too sweet to be sour too nice to be mean. On the tough guy style I'm not too keen. To try to change the world I will plot and scheme. Mario C likes to keep it clean. Gonna shine like a sunbeam. Keep on rapping cause that's my dream. Got an A from Moe Dee for sticking to themes. When it comes to envy y'all is green. Jealous of the rhyme and the rhyme routine. Another dimension new galaxy. Intergalactic planetary. Intergalactic planetary. Planetary intergalactic. From the family tree of old school hip hop. Kick off your shoes and relax your socks. The rhymes will spread just like a pox. Cause the music is live like an electric shock. I am known to do the Wop. Also known for the Flintstone Flop. Tammy D getting biz on the crop. Beastie Boys known to let the beat drop. When I wrote graffiti my name was Slop. If my rap's soup my beats is stock. Step from the tables as I start to chop. I'm a lumber jack Dj Adrock. If you try to knock me you'll get mocked. I'll stir fry you in my wok. Your knees'll start shaking and your fingers pop. Like a pinch on the neck of Mr. Spock. Intergalactic planetary. Planetary intergalactic. Another dimension do I
(you gotta) fight for your right (to party!),"Kick it!. [Verse 1]. You wake up late for school, man, you don't wanna go. You ask your mom please,. but she still says no. You missed two classes and no homework. But your teacher preaches class. like you're some kind of jerk. [Refrain]. You gotta fight for your right to party. [Verse 2]. Your pop caught you smoking, and he said: ""No way!"". That hypocrite smokes two packs a day. Man, living at home is such a drag. Now your mom threw away your best porno mag. (Busted!). [Refrain]. You gotta fight for your right to party. You gotta fight. [Verse 3]. Don't step out of this house. if that's the clothes you're gonna wear. I'll kick you out of my home. if you don't cut that hair. Your mom busted in and said, ""What's that noise?"". Aw, Mom, you're just jealous it's the Beastie Boys. [Refrain]. You gotta fight for your right to party. You gotta fight for your right to party. [Outro]. Parrrrrrty. Parrrrrrty. Yeah!"
sure shot,"You can't, you won't and you don't stop. Mike d come on and rock the sure shot. I've got the brand new doo-doo guaranteed. Like yoo hoo. I'm on like dr john, yea mr zu zu. I'm a newlywed, not a divorcee. And everything I do is funky like lee dorsey. Well, it's the taking fo pelham, one, two, three. If you want a doodoo rhyme then come see me. I've got the savoir faire with the unique rhyme. And. I keep it on and on, it's never quitting time and. Strictly hand held is the style I go. Never rock the mic with the panty hose. I strap on my ear goggles and I'm ready to go. 'couse at the boards is the man they call the. Mario. Pull up at the function and you know I kojak. To all the party people that are on my bozak. I've got more action than my man john woo. And I've got mad hits like I was rod crew. You can't, you won't and you don't stop. Ad rock come and rock the sure shot. Hurricane will cross fade on your ass and. Bust your ear drums. Listen everybody 'couse I'm shifting gears I'm. Fresh like dougie when I set my specs and. On the microphone I come correct. Timing like a clock when I'rock the hip hop. Top notch is my stock on the soap box. I've got more rhymes than I'v got grey hairs. And that's alot because I've got my share. I've got a hole in my head and there's no one. To fix it. Got to straighten my thoughts, I'm thinking too. Much sick shit. Everyone just takes and takes, takes, takes,. Takes. I've got to step back, I've got to contemplate. I'm like lee perry, I'm very. On rock the microphone and then I'm gone. I'm like vaughn bode, I'm a cheech wizard. Never quitting, so won't you listen. Oh yes indeed, it's fun time. 'cause you can't, you won't and you don't stop. Mca come and rock the sure shot. I want to say a little something that's long. Overdue. The disrespect to women has got to be through. To all the mothers and sisters a and ahe. Wives and friends. I want to offer my love and respect to the. End. Well you say I'm twenty something and should. Be slacking. But I'm working harder than ever and you could. Call it macking. So I'm supposed to sit upon my couch watching my. T.v.. I'm still iistening to wax, I'm not using the cd. I'm that kid in the corner. All fucked up and I wanna so I'm gonna. Take a piece of the pie, why not, I'm not quitting. Think I'm gonna change up my style just to fit in. I keep my underwear up with a piece of elastic. I use a bullshit mic that's made out of plastic. To send my rhymes out to all nations. Like ma bell, I've got the ill communications. . (chorus)"
no sleep 'till brooklyn,"(chorus) No sleep 'til - Brooklyn. . Foot on the pedal - never ever false metal. Engine running hotter than a boiling kettle. My job's ain't a job - it's a damn good time. City to city - I'm running my rhymes. On location - touring around the nation. Beastie Boys always on vacation. Itchy trigger finger but a stable turntable. I do what I do best because I'm illing and able. Ain't no faking - your money I'm taking. Going coast to coast - watching all the girlies shaking. While you're at the job working nine to five. The Beastie Boys at the Garden - cold kickin' it live. . (bridge) No sleep 'til -. . Another place - another train. Another bottle in the brain. Another girl - another fight. Another drive all night. Our manager's crazy - he always smokes dust. He's got his own room at the back of the bus. Tour around the world - you rock around the clock. Plane to hotel - girls on the jock. We're thrashing hotels like it's going out of style. Getting paid along the way cause it's worth your while. Four on the floor - Adrock's out the door. M.C.A.'s in the back because he's skeezin' with a whore. We got a safe in the trunk with money in a stack. With dice in the front and Brooklyn's in the back. . (repeat bridge). . (repeat chorus). . Ain't seen the light since we started this band. M.C.A. - get on the mic my man. Born and bred Brooklyn - U.S.A.. They all me Adam Yauch - but I'm M.C.A.. Like a lemon to a lime - a lime to a lemon. I sip the def ale with all the fly women. Got limos, arena, TV shows. Autograph pictures and classy hos. Step off homes - get out of my way. Taxing little girlies form here to L.A.. Waking up before I get to sleep. Cause I'll be rocking this party eight days a week. . (repeat chorus)."
so what'cha want,"To mario c. You just running on track. Well just plug me in just like i was eddie harris. You're eating crazy cheese like you would think i'm from paris huhaa. You know i get fly you think i get high. You know that i'm gone and i'ma' tell you all why. So tell me who are you dissin' maybe i'm missin'. The reason that you're smilin' or wildin' so listen. In my head i just want to take 'em down. Imagination set loose and i'm gonna' shake 'em down. Let it flow like a mud slide. When i get on i like to ride and glide. I've got depth of perception in my text y'all. I get props at my mention 'cause i vex y'all. So what'cha what'cha what'cha want what'cha want. You're so funny with my money that you flaunt you flaunt. I said where'd you get your information from huh. You think that you can front when revelation comes. ""yeah you can't front on that"". Well they call me mike d the ever loving man. I'm like spoonie gee well i'm the metropolitician. You scream and you holler about my chevy impala. But the sweat is getting wet around the ring around your collar. But like a dream i'm flowing without no stopping. Sweeter than a cherry pie with ready whip topping. Goin' from mic to mic kickin' it wall to wall. Well i'll be calling out you people like a casting call. Ah well it's wack when you're jacked in the back of a ride. With your know with your flow when you're out getting by. Believe me what you see is what you get. And you see me i'm coming off as you can bet. Well i think i'm losing my mind this time. This time i'm losing my mind that's right. I said i think i'm losing my mind this time. This time i'm losing my mind. ""yeah you can't front on that"". But little do you know about something that i talk. About i'm tired of driving it's due time that i walk haa. About but in the meantime, i'm wise to the demise. I've got eyes in the back of my head so i realize. Ah well i'm dr. Spock i'm here to rock y'all. I want you off the wall if you're playing the wall. I said what'cha what'cha what'cha want what'cha want. I said what'cha what'cha what'cha want what'cha want. Y'all suckers write me checks and then they bounce. So i reach into my pocket for the fresh amount. See i'm the long leaner victor the cleaner. I'm the illest motherfucker from here to gardena. Well i'm as cool as a cucumber in a bowl of hot sauce. You've got the rhyme and reason but got no cause. But if you're hot to trot you think you're slicker than grease. I've got news for you crews you'll be sucking like a leach. ""yeah you can't front on that"". So what'cha what'cha what'cha want what'cha want. So what'cha what'cha what'cha want so what'cha want. I said what'cha what'cha what'cha want what'cha want. I said what'cha what'cha what'cha want so what'cha want"
alive,"I have never been more ready in my entire life to do this right now. It’s all been leading up to this moment. All right now, right here. My whole life. We’ve got rhyme selection in a wide array. J’ai des bonbons pour vous, mangez. The party people scream “Oui oui c’est vrai!”. ‘cause I got a remote for my bidet. A.D.R.O.C.K.. I use the microphone like Picasso used clay. Down with freckles from around the bay. Peace to Bambaataa and Jazzy Jay. I rock on the mic from here to Bombay. I give it my best to say come what may. ‘Cause everybody’s got their dues to pay. I’m looking sideways like my man Pele. Getting’ on like Ali Boom ba yay. So fed up with racism today. Time to speak up and not turn away. Make the sun shine when it’s cloudy and gray. Dip dip dive, so-socialize. Open up your ears and clean out your eyes. If you learn to love you’re in for a surprise. It could be nice to be alive. I’m talking doody rhymes to a brand new height. I shine on the mic like UltraBite. Created a monster with these rhymes I write. Goatee metal rap please say goodnight. Now here’s a little song that you might not like. My DJ’s name is Mix Master Mike. It’s a real pity that you people gotta bite. But I can understand ‘cause he sounds so nice. Reading you the news ‘cause I’m Country Mike. Use a microphone like Shazaam uses tights. Try to keep clear of that hate and spite. So I keep my mind still like the still of night. Now who in the world do you want to fight. It’s against the system that we should unite. Homophobics ain’t alright. If you learn to love then you might love life. Dip dip dive, so-socialize. Open up your ears and clean out your eyes. If you learn to love you’re in for a surprise. It could be nice to be alive. Brining back that old New York Rap. Now you can shuffle numbers but facts is facts. So many billionaires while so many lack. So before the poor decides to react. Come on party people and share up your stack. Now, I’m a break it down to the brass tacks. Do the Biz Mark dance and the cabbage patch. You try to turn the key but you broke the latch. Sneak into my files for some rhymes to snatch. I’d like to have a say on the income tax. Don’t want to help build bombs and that’s the fact. No money for health care so what’s the catch. The man got you locked with no key to the latch. Mike and Adam have got my back. You bring the mic and we’ll bring the rap. Turn on the P.A. and rock your shack. Don’t smoke Cheeba, can’t stand crack. Dip dip dive, so-socialize. Open up your ears and clean out your eyes. If you learn to love you’re in for a surprise. It could be nice to be alive."
deal with it,Rob and Steal from the Health Food Store. The ideas you shout that are so hardcore. Screaming at the phone man collecting the change. Ideas discovered then rearranged. . I won't say that life's a bitch and then you die. Because I do my best to enjoy mine. You can't bring me down to a world of self pitty [sic]. Lot's of ways to deal with it. Deal with it. . You do unto others like they're pieces of shit. A rightous [sic] man who's flipping the script. There's plenty of room for everyone at the table. Check yourself before you check the label. . I won't live life being mad holding a grudge. It's not my place - sitting back playing judge. Not enough time to always stay mad. May as well be glad to Deal With It. Deal With It.
ch-check it out,"All you Trekkies and Tv addicts,. don't mean to dis don't mean to bring static.. All you Klingons in the fuckin' house. grab your backstreet friend and get loud.. Blowin' doors off hinges. I'll grab you with the pinchers,. and no I didn't retire.. I'll snatch you up with the needle nose pliers.. Like Mutual of Omaha,. got the ill boat you've never seen before.. Gliding in the glades, and like Lorne Greene you know I get paid.. Like caprese with the basil,. not goofy like Darren or Hazel,. I'm a mother fucking Nick at Night. with classics rerunning that you know all right.. Now remain calm no alarm cause my farm ain't fat, so what's up with that?. I've got friends and family that I respect when I think I'm too good they put me in check.. So believe when I say I'm no better than you,. except when I rap so I guess it ain't true.. Like that y'all and you just don't stop,. guaranteed to make your body rock.. Check-ch-check-check-check-ch-check it out. What-wha-what-what-what's it all about. Work-wa-work-work-work-wa-work it out. Let's turn this motherfuckin' party out. I said, ""Doc, what's the condition?. I'm a man that's on a mission."". He said, ""Son, you'd better listen!. Stuck In You'Re Ass Is An Electrician!"". Like a scientist, mmmm when I'm applying this. method of controlling my mind like Einstein and the Rappin' Duke combined.. Hey baby bubba now what the deal?. I didn't know you go for that mass appeal.. Some call it salugi, some hot potato. I stole your mic and you won't see it later,. cause I work magic like a magician. I add up like a mathematician.. I'm a bank cashier, engineer, I wear cotton but I don't wear sheer.. Shazam! and Abracadabra!. In the whip I'm gonna cruise past ya.. Yo money, don't chump yourself.. Put that shit back on the shelf.. Light rays blazin' you're out of phase and my crews amazin'.. We're working on the record yo so stay patient.. Check-ch-check-check-check-ch-check it out. What-wha-what-what-what's it all about. Work-wa-work-work-work-wa-work it out. Let's turn this motherfuckin' party out. I go by the name of The King Adrock.. I don't wear a cup nor a jock nor a thong.. I bring the shit that's beyond bizarre, like Miss Piggy. ""Who moi?"". I am the one with the Clientele.. You say, ""Adrock, God you rock so well."". I 've got class like Pink Champale.. Mca grab the mic before the mic goes stale.. Don't test me.. They can't arrest me.. I'll fake right cross-over and shoot lefty.. You look upset yo calm down.. You look Cable Guy dunked off of your crown.. I flow like smoke out a chimney.. You never been me.. You wanna rap but what you're making ain't hip hop B.. Get your clothes right out the dryer.. Put Armor All up on your tire.. Sport that fresh attire.. Tonight we goin' out set the town on fire.. Set the town ablaze.. Gonna stun and amaze.. Ready to throw a craze.. Make your granny shake her head and say, ""Those were the days."". Check-ch-check-check-check-ch-check it out. What-wha-what-what-what's it all about. Work-wa-work-work-work-wa-work it out. Let's turn this motherfuckin' party out"
brass monkey,"Brass Monkey, that funky Monkey. Brass Monkey junkie. That funky Monkey. Got this dance that's more than real. Drink Brass Monkey here's how you feel. Put your left leg down, your right leg up. Tilt your head back let's finish the cup. M.C.A. with the bottle. D. rocks the can. Adrock gets nice with Charlie Chan. We're offered Moet, we don't mind Chivas. Wherever we go with bring the Monkey with us. Adrock drinks three. Mike D. is D.. Double R. foots the bill most definitely. I drink Brass Monkey and I rock well. I got a catle in Brooklyn that's where I dwell. . Brass Monkey, that funky Monkey. Brass Monkey junkie. That funky Monkey. Cause I drink it anytime and anyplace. When it's time to get ill I pour it on my face. Monkey tastes def when you pour it on ice. Come on y'all it's time to get nice. Coolin' by the lockers getting kind of funky. Me and the crew, we're drinking Brass Monkey. This girl walked by she gave me the eye. I reached in the locker grabbed the Spanish Fly. I put it with the Monkey mixed it in the cup. Went over to the girl, ""Yo baby, what's up?"". I offered her a sip, the girl she gave me lip. It did begin the stuff wore in and now she's on my tip. Brass Monkey, that funky Monkey. Brass Monkey junkie. That funky Monkey. Step up to the bar put the girl down. She takes a big gulp and slaps it around. Take a sip, you can do it, you get right to it. We had a case in the place and we went right through it. You got a dry Martini thinking you're cool. I'll take your place at the bar, I smack you off your stool. I'll down a '40 dog"" in a single gulp. And if you got beef you'll get beat to a pulp. Monkey and parties and reelin' and rockin'. Def, def. Girls, girls. All y'all jockin'. The song and dance keeping you in a trance. If you don't buy my record I got my advance. I drink it. I think it. I see it. I be it. I love Brass Monkey but I won't give D. it. We got the bottle you got the cup. Come on everybody let's get ffffff. Brass Monkey, that funky Monkey. Brass Monkey junkie. That funky Monkey."
