100 million dollars,"[DJ Khaled(intro)]. This is 4 the hood. This is 4-tha ghetto. This 4 dem n**** gettin dat money (bird call). That Cash Money, that 100 million Dollar money. N**** we got money. We the best. [Rick Ross]. Rydin big, getting mine. 2 microwaves cook a brick at a time. Bandanna on the handle ready 4 the whip (whip it). When I wet it while it’s soft watch it disappear (boss). I disappear in the middle of the night. When I reappear bet the boss looks so bright (so bright). 4 life (4 life) dope boi (dope boi) mo strips (O boi). Rydin low, getting high. 80 round drums lets u know the time. When u c the maybach n***** know its mine. Rydin on two 4’s im ahead of my time (watch). 1 of a kind, another 1 on my mind. Phone bill 4 grand is you hoe on the line. In the hood hoe n***** act funny. Only real n***** can touch cash money. [Chorus]. I spent about 100million dollars, 100 million dollars, 100 million dollars. And I came from the ghetto, ghetto. And I came from the ghetto, ghetto. If your ghetto, throw your hood up. If your ghetto, throw your hood up. If your ghetto, throw your hood up. If your ghetto. [Birdman]. #1. Everyday a new whip homie. So you know I get my shine on. Flip after we flip homie. So you know I get my grind on (bird call). Birdman daddy, pullin up. In the brand new caddy. Got money living lavish. Got bitches shippin packages. Move them thangs, get then thangs. Switch that lane, get that chain. Flip them thang, get your money homie. homie do your thang (get your roll on). See I got like 10 times (bird call). Spent money got like 10 times (bird call). Flip that got it like 10 times (bird call). Got money like 10 mo times. [Chorus]. I spent about 100 million dollars. 100 million dollars, 100 million dollars. And I came from the ghetto, ghetto. And I came from the ghetto, ghetto. If your ghetto, throw your hood up. If your ghetto, throw your hood up. If your ghetto, throw your hood up. If your ghetto. [Jeezy]. I from the ghetto, bottom, tha hood, da slum. Its money out here what you trying to get sum. Cool like Dre, A like K. When you talk about me better watch what you u say. Don’t ever keep them thangs where you lay. Because them p***y as n**** sho the feds where u stay. You thought your dog said he was a G. Sound like another codefendant to me (Ha, Ha). Stop it I really don’t like him. Run and get everybody inedited. Saw da s**t coming. You thought I was psychic. F**k around and fight it. [Lil Wayne]. I all night it (all night it). I everyday it (everyday it). When it comes to my dudes. I over pay it (paid it). Rated hood b***h. Bitch im hood. I aint asshole but im on sum hood s**t. I wish I would switch. I don’t know how. Blood gang swarm like a red ant pile. Mean mug, like I can’t smile. Like my grill didn’t cost 100 thou. [Chorus]. I spent about 100 million dollars, 100 million dollars, 100 million dollars. And I came from the ghetto, ghetto. And I came from the ghetto, ghetto. If your ghetto, throw your hood up. If your ghetto, throw your hood up. If your ghetto, throw your hood up. If your ghetto. DJ khaled(outro). Cash money millionaires (bird call). Cash money billionaires. Cash money trillionaires (bird call). We rich, we never goin to stop never. We got money (bird call)"
1st key,[Chorus[X2]]. I bought my first key from my baby momma brotha. I bought my first key bought my bought my first key. I bought my first key from my baby momma brotha. I cooked it up myself and started passin out them hubbas. [Birdman]. Hustlin on my city streets tryna get a whole B. (I bought my first key my first key). In '93 and we was gettin em for like 25. columbian connec homie we was gettin fly. we on the grind our nuts got bigger. (Rock crack sho ain't good in the city streets). and everyday we in the motherf**kin hood our guns got bigger. (Rock crack sho ain't good in the city streets). stuntin on them niggas gettin money stayin fly every day a nigga spendin. (came in pi-piles). Ridin 25s and we blazin gettin high nigga showin off his ride. (came in pi-piles). cruisin through the beach nigga rollin in mednas them people pull me over hatin know they can't see us know I got the money. (now they won't leave me alone). now they acting funny cause they know a nigga strong money long and we comin. [Chorus[X2]]. [Lil Wayne]. (It's to the point where I don't see dope no more). I aint have to touch a piece a work since '94. I lost my dad in '96 and started making moves in '98. (I got a brand new lexus coupe). (Now them laws won't leave me alone). they pull me over locked me up I bail out on my own. I call my papa on the phone tell him cook up his own I leave the house with a pocket full of stones. (Rock crack sho ain't good in the city streets). Got them hoes slangin hidin packs in they titties. them small chest bitches gotta put it in they butt. (twentys and them big fat monkey nuts). I got so many hoes. (It's to the point where I don't see dope no more. now they won't leave me alone). Man I got so much dough. (It's to the point where I don't see dope no more. now they won't leave me alone). weezy baby dboy. [Chorus[X2]]. [Birdman]. (It's to the point where I don't see dope no more). and I aint touch a motherf**kin key since '04. and thats the word that we serve and look thats all we know. them niggas talking shit but we the niggas with the cash flow. (Still smoke that weed smoke that smoke that smoke that weed). and I'm back on the beach and we blowin out a whole P the AK mac 11 represent the 3 gangsta like a motherf**ka me and my homies. (first key). . [Lil Wayne]. Yeah my nigga rabbit was a OG my momma husband thats who showed me. (my first key). yup and you know I had to be a hustler I started sellin hubbas. (Rock crack sho ain't good in the city streets. cause they know I cut them twentys and them big fat monkey nuts. Rock crack sho ain't good in the city streets. cause they know I cut them twentys and them big fat monkey nuts). yeah. [Chorus[till fade]]
shyne on,"Shyne On. . [Baby Talking]. Yeah, we gon' go, old school, you know what i'm saying. If you from where i'm from you know what i'm talkin about. When we do this here, this a cash money classic (classic nigga). And I felt, can't nobody do it, the way i'ma do it. You know what i'm saying. So, here we go world, i'm bringin it to your world from my world. You know what i'm talking bout... Look, i said. [hook X2 {Baby}]. Get yo shyne on, get yo shyne on, get yo shyne on (so niggaz stop hating). Get yo shyne on, get yo shyne on, get yo shyne on (you know we gon' make it). [Verse 1 - Baby]. I god we trust, the neighborhood it us. And everything that I ride is 22's and up. And everytime that I slide you know i'm platinum plus. (Lac - Make the hood understand that we trying to come up). 24's on trucks, just the neighborhood lust. Tell lil one be cool, everybody coming up. Cuz everybody wanna ride, everybody wanna shyne. (so how u luv that people ?). Everbody on the grind. In these project cuts, ya hood rich living lavish. Louis the 14, you know we had to have it. Once upon a time it was nothing but madness. Hustled right in front of my momma ms. gladys. Chasing paper, paper chasing man thats all we know. Coming thru the neighborhood on them 24's. Bet a thousand, shoot a thousand (nigga up it some mo'). Fast money, Cash Money, thats all I know (one). [Hook {Baby} - Lil Wayne in background]. Get yo shyne on (OH), get yo shyne on (Yeah), get yo shyne on (OH) (so niggaz stop hating) (Yeah). Get yo shyne on (OH), get yo shyne on (OH), get yo shyne on (YEAH) (you know we gon' make it) (YEAH). Get yo shyne on (JR), get yo shyne on (Uh JR), get yo shyne on (uh JR) (so niggaz stop hating) (uh J, Uh J, Uh JR). Get yo shyne on (Its JR), get yo shyne on (Its JR), get yo shyne on (Its JR) (you know we gon' make it) (The Carter !). [Verse 2 - Lil Wayne]. They Say I walk around like I got an ""S"" on my chest. That be that Cash Money Piece flow rest in the dept. I'm a specialist vet, no testin the best. I be in class, no pencil, no test on the desk. I make ya, mouth piece so beast like Della Reece. I'm from the south streets are beast like Little Wheezy,. F Baby for the team I rep daily. I come to the defence like Champ Bailey I'm gone wit it. I chrome kitted, A phone pit in the back of it. Phoney titty bitches come home with me get the business. I made bling-bling, i'm like a lighthouse. So tuck that ice in, cuz he ain't iced out. Pay attention closely you niggaz can never roast me. Cuz the maker of the testarossa knows me, oh he's. So arrogant, the cocky kind. But you always looking cuz I'm shyne. Thats right. [Hook X2 (Baby)]. Get yo shyne on, get yo shyne on, get yo shyne on (so niggaz stop hating). Get yo shyne on, get yo shyne on, get yo shyne on (you know we gon' make it). [Verse 3 - Baby]. Loud pipes and big rims nigga thats my life. Coming thru the neighborhood with my homeboy Price. Lets get it understood nigga thats my price. (come thru the neck of the woods you'll be ight). Cuz I'm pimpin, I'm pimpin pimpin. I'm coming thru and I'm dippin, I'm dippin dippin, them 22's. And they spinnin, they spinnin spinnin. (Them spreewells nigga, them spreewells nigga, we making mills nigga). Nigga, don't need no introduction in this. And I've been grindin every ghetto tryin' to stay hood rich. And you can ask a nigga bout me know I'm bout my chips. (I was Made by Guerillas, raised the Hot Boy clique). Cuz I'm the birdman (brrrrrrrrrrr). And I'll do ya something bad, have you heared man. That I been slangin them slabs thats my word man. I wont stunt nigga (wont stunt nigga). I'm gon stunt nigga (I'm gon stunt nigga). I'm gon stunt nigga (stunt nigga). ONE. [Hook X2 - Baby]. So niggaz stop hating. You Know we gon' make it (make it)"
"money to blow (feat. drake, lil' wayne)","[Drake]. I am on a 24 hour champagne diet. Spillin while I'm sippin it. Encourage you to try it. I'm probably just saying that cause i don't have to buy. it. The club owner supply it. Boy I'm on that fly shit. I am what everybody in my past don't want me to be. Guess what i made it. I'm the muthaf-cking man. I just want you to see come take a look. Get a load of this n-gga. Quit frontin on me. Don't come around and try come gas me up. I like runnin on E. I, I, I,. I'm on my Disney shit goofy flow. On records i?m captain hook and my new car is roofio. Damn. Where my roof just go. I'm somebody that you should know. Get to shakin somethin cus thats what Drumma produced. it for. Yes I make mistakes that i don't ever make excuses. for. Like even girls that love me and Constantly seducing. hoes. I'm losing my thoughts i say damn. Where my roof go?. Top slipped off like Janet at the super bowl,. I got em. [Chorus]. they can't help it, and I can't blame 'em. Since I got famous but b-tch, I got money to blow. I'm gettin it in, letting these bills fall. All over your skin. Got money to blow oh oh oh oh. [Birdman]. Richer than the richest. We certified gettin it CM YM Cash Money business. Higher than the ceiling fly like a bird hit the gucci. store. And later get served. We smoked out with no roof on it. Them people passin so we smash on them. Ballin out we keep the cash on deck. Lamborghini and the Bentleys on the V-set. Louie lens iced out with the black diamonds. Car of the year Ferrari the new Spider. No lie i'm higher than i ever been. Born rich born uptown born to win. Fully loaded automatic 6 Benz. Candy paint foreign lights with my b-tch in. Born hustlin too big n-gga to strive me up. Cant stop me more money burn em up. [Chorus]. [Weezy]. When I get paid every 24 hours money and the power. Come to VIP and get a Champagne Shower. I don't have to worry because everything ours,. and I got a big bouquet of Mary Janes Flowers. That kush I promise Thats My Dude. But we don't smoke that Reggie Bush. And I'm with two women make you take a second look. We poppin like Champagne Bottles But We Never Shook. and We Goin Be Alright If We Put Drake On Every Hook. [Chorus]. enviado por: Leal"
pop bottles (feat. lil wayne),"[Chorus:]. Chopper straight shots and then pop bottles, (yea). Flirt with the hood rats thin pop models (uh huh). Chopper straight shots and then pop bottles (yea). Flirt with the hood rats thin pop models,. [Birdman] Ok, we poppin champaign like we won a championship game,. [Lil Wayne] Look like I got on a championship ring,. [Birdman] 'cause I ball hard,. [Lil Wayne] No bitch we ball harder,. [Birdman] I am the Birdman,. [Lil Wayne] And I'm the J-R-uh,. [Verse 1: Lil Wayne]. Ok, start with straight shots and then pop bottles,. Pour it on the models,. Shut up bitch, swallow,. If you can't swallow,. Shut up bitch, gargle,. Straight up out that water with my Mark Jacob goggles,. I'm fresher than a motherf**ker. Yeah I'm a motherf**ker,. No I won't take your girl, but I shall take her tongue from her,. Can't you tell I'm in love woman?. Like no other woman,. Oh, I'm sorry sweetheart,. I thought you were my other woman. Chopper straight shots and then pop bottles, (yea). Flirt with the hood rats thin pop models (uh huh). Chopper straight shots and then pop bottles (yea). Flirt with the hood rats thin pop models,. [Birdman] Ok, we poppin champaign like we won a championship game,. [Lil Wayne] Look like I got on a championship ring,. [Birdman] 'cause I ball hard,. [Lil Wayne] No bitch we ball harder,. [Birdman] I am the Birdman,. [Lil Wayne] And I'm the J-R-uh,. [Verse 2: Birdman]. Now as I recline behind my desk,. I ain't got a lot of Nikes, but I got a lot of checks, (money). Got my own shoe brand new on the set,. Went from sitting in the cell,. To sitting on a jet,. From shitting in the cell,. To shitting on a jet,. I lost too many friends, but I won too many bets,. I made too much money, I ain't make enough yet,. So I scratch, and yes,. Junior is the best (shawty). So many niggas from my hood on they back,. So many niggas from your hood on they back,. That's why we so paid and it be like that,. I'd rather pop a bottle,. Before I pop a gat. Chopper straight shots and then pop bottles, (yea). Flirt with the hood rats thin pop models (uh huh). Chopper straight shots and then pop bottles (yea). Flirt with the hood rats thin pop models,. [Birdman] Ok, we poppin champaign like we won a championship game,. [Lil Wayne] Look like I got on a championship ring,. [Birdman] 'cause I ball hard,. [Lil Wayne] No bitch we ball harder,. [Birdman] I am the Birdman,. [Lil Wayne] And I'm the J-R-uh,. [Verse 3: Birdman]. Yea, only sipping red champaign,. White-T, red hat, red bandanna,. Uptown, choppers f**k companions,. F**k with the Birdman we chopping your companion,. F**king with my son, and we run up on your mansion,. Chopper make music, bitch start dancing,. Stunner-man's back so you know the circumstances,. And I'm cooking up Tha Carter 3, no advances,. All my cars, all the latest automatics,. No lie, we don't even drive no asking,. Uptown, we packing and we stacking,. Young Money, Cash Money we the champions. Chopper straight shots and then pop bottles, (yea). Flirt with the hood rats thin pop models (uh huh). Chopper straight shots and then pop bottles (yea). Flirt with the hood rats thin pop models,. [Birdman] Ok, we poppin champaign like we won a championship game,. [Lil Wayne] Look like I got on a championship ring,. [Birdman] 'cause I ball hard,. [Lil Wayne] No bitch we ball harder,. [Birdman] I am the Birdman,. [Lil Wayne] And I'm the J-R-uh,"
4 my town,"[Birdman]. Yeah,. So Pricele$$,. Life So Pricele$$ Nigga,. You Understand Me, It's Just Like That,. My Car So Pricele$$,. My Bitch So Pricele$$,. My Familia Is So Pricele$$ Nigga,. You Understand Me?. Either You With Us,. Or You Ain't With Us,. Either You In Tha Huddle,. Or You Out The Huddle,. Either You Ridin,. Or We Passin, Flyin By Saying Fuck Ya,. It's Young Money Cash Money Play Boy,. That's About The Size Of Em,. At The Roof Top,. So Hot Up Here Nigga,. YEAHHH. [Chorus]. Take Yourself A Picture When I'm Standing At The Mound,. Man I Swear It's Going Down,. I'm Just Reppin For My Town,. Off A Cup Of CJ Gibson, Man I'm Faded Off The brown,. & I'm Easily Influenced By The Niggas I'm Around,. See The Aston Martin, When I Started Hear The Sound,. I Ain't Neva Graduated, I Ain't Got No Cap & Gown,. But The Girls In My Class, Who Were Smart Enough To Pass,. Be At All My Fucking Parties Grabbin Money Off The Ground.. [Drake]. Yeah, All Hail Mr. Lyrical,. Spades of the Opus Baby,. What You Got A Feeling For,. I Can Show You New Things,. Have You Feelin Spiritual,. Pastor Kerney Thomas To These Hoes...Miracles,. Yeah, Ok They Say That I'm The One In Fact,. Some Say I'm They Favorite,. But I Ain't Hearin None Of That,. I'm About My Team Hoe,. Young Money Running Back,. Cash Money Supastar,. Where The Fuckin Stunna At,. Damn. [Birdman]. Untouchable, 40 with my AK, master mind. big money heavyweight,. on the grind flippin money in every way. headlines, my bitch shine everyday. pearl white.......?. goin in flip a hundred get the young blood. showin where i go, floatin on the floor. gettin mo dough, ground hard gold. black diamond show, watch the flame blow. and how you stay grounded, cash no go. and how you stay mounded, cash no flow. and how you stay shinin, bentley off the floor. and how you stay high, purple pine dro. diamond minks furs, february slopes. [Chorus]. Take Yourself A Picture When I'm Standing At The Mound,. Man I Swear It's Going Down,. I'm Just Reppin For My Town,. Off A Cup Of CJ Gibson, Man I'm Faded Off The Ground,. & I'm Easily Influenced By The Niggas I'm Around,. See The Aston Martin, When I Started Hear The Sound,. I Ain't Neva Graduated, I Ain't Got No Cap & Gown,. But The Girls In My Class, Who Were Smart Enough To Pass,. Be At All My Fucking Parties Grabbin Money Off The Ground.. [Lil' Wayne]. CJ, YEAH, STUNNA!. Uh, you know you're paid,. when you got baby with you. its young money, like ben franks baby pictures. i'm the lady twista, i kiss her whiskers. i been runnin this shit, blisters. stickin to the script, move and start money. and if you gassed up, i leave the car runnin. i'm a big smoker, i'm a little drinker. the peace sign is just a trigger and the middle finger. w-what you know bout it, man y'all clueless. i let two women ride me, that's called poolas. i rock stupid ice, mr. water coolers. if y'all in the building, then we are intruders. set me down pimpin, let me handle this. i know the game, analyst. man i'm the shit, and y'all janitors. blow out the kush and crack a smile for the cameras!. [Chorus]. Take Yourself A Picture When I'm Standing At The Mound,. Man I Swear It's Going Down,. I'm Just Reppin For My Town,. Off A Cup Of CJ Gibson, Man I'm Faded Off The Ground,. & I'm Easily Influenced By The Niggas I'm Around,. See The Aston Martin, When I Started Hear The Sound,. I Ain't Neva Graduated, I Ain't Got No Cap & Gown,. But The Girls In My Class, Who Were Smart Enough To Pass,. Be At All My Fucking Parties Grabbin Money Off The Ground"
believe dat,"(lil wayne). Stunna its your turf baby haha. And me the heart thrive. Yeah I be with dem different hoes. You know I mean dem different hoes. I mean dem. Believe dat. Uh huh. Uh huh believe dat. Tell em girl. (birdman). Got a bitch in the back. Got a hoe in the front. Got work in the back. Got more in the front. It be the birdman baby. Birdman everything kosher. Birdman baby feathers all over. Tony montano white leather soft sofas. Got to many cars so now I buy choufers. All about my penion like a motherfuckin loafer. I was in the crack game before baking soda. Bitch im a o-g bitch im o-g im gettin high off my money. Til I o.d see you dont know me the bitches know me my old hoes tell me go back to gold tee. King size bed nigga gold sheets gold bottle for breakfast nigga lets eat. I got five and they all sexy, they all drive new cars and they love me. Lil wayne:. Yeah I be with dem different hoes. I mean dem different hoes. I mean. Believe dat. Uh huh. Believe dat. Tell em girl. Believe dat. Put your name. Believe dat. Where you from. Believe dat. I know what your saying. Believe dat. Its like im just playing but. Believe dat. (birdman):. Look fresh with the heavy metal. You know I need that. Gucci stay fly on the stage believe dat. We one of a kind we do it til you see me black. Ice with the chrome and the silver how you love dat. Too fresh to cool too shiny too foo' too sunny spend money. That just what we do believe im shine believe im a grind. Believe me your girl at my house all the time believe. Im a bout to hustla believe ive got the mustla believe. [ Believe Dat lyrics found on http://www.completealbumlyrics.com ]. Im a stunna man you know I know the struggle. Come from the pot pan come from another land. Come with a better game baby im the bird man. Lil wayne. Yeah cause I be with different hoes. Ya know dem different hoes. I mean weezy believe dat. Believe dat. What believe dat. I know wha. T your saying. Believe dat. I feel you. Believe dat. Ay why you crying. Believe dat. Yo you aint lying. Believe dat. Im on the yacht and boats. Pills and hydro. Bras and money homey. Thats what a nigga know. She know I shine cause. You know I grind cause. She know im high with the metal all the time cause. And she believe me and she all in me. We poppin bottles to a few of her ocean b. Im all nc. im all good daddy im the birdman. You know im in the new caddy. Believe me she get money just like me. I stay strapped with the flame in my new fleet. 100 millon dolla suede seats with the leather seats. With the gator on the front with the platinum teets. Ya bitch. I be with dem different hoes. Ya know those different hoes. I mean weezy. Believe dat. They just gonna cut me off. Believe dat. I understand. Believe dat. Believe dat. My girl say and I say believe dat x2. Yeah. Believe dat one hundred. Let me take a shot. I want my shawdy. I like dem tall thin and shot. Girl what. Believe dat. Believe dat"
stuntin' like my daddy,"[bridge:]. Vrooom On A Yamaha Chromed Out 11 Hundred. What I'm Doing, Getting Money, What We Doing, Getting. Money. What They Doing, hating on us, But They Neva Cross. Cash Money still a company, And Bitch I'm The Boss. And I Be Stunting Like My Daddy, Stunting Like My. Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. I'm The, Young Stunner, Stunting Like My Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. [verse 1: Lil Wayne]. Bitch I'm Paid,. That's All I Gotta Say. Can't see you Lil Nigga,. The Money In The Way. And I'm, I'm Sitting High,. A Gansta Ride Blades. If You Ain't Gone Ride Fly Than You Might As Well. Hate. Shit I Gotta Eat... Yeah,. Even Though I Ate. It Ain't My Birthday But I Got My Name On the Cake. (Shit) Believe That, If Ya Mans Wanna Play. I'mma Fuck Around And Put That Boy Brains On The. Table. Pick 'em up, fuck 'em Let 'Em Lay. Where I'm From We See. A Fucking Dead Body Everyday. Thats, Uptown, throw a stack at 'Em. make a song about me,. I'm Throwing Shots Back At 'Em. Ya bitch on my pipe,. And She Like A crack addict. And She Saw Me Cooking Eggs. And She Though I Was Back At It. I Grab The Keys, Hoe I Gotta Go. I Got My Motorcycle Jacket. And My motorcycle loafs. [bridge:]. Vrooom On A Yamaha Chromed Out 11 Hundred. What I'm Doing, Getting Money, What We Doing, Getting. Money. What They Doing, hating on us,. But They Neva Cross. Cash Money still a company,. And Bitch I'm The Boss. And I Be Stunting Like My Daddy,. Stunting Like My. Daddy. Stunting Like My Daddy,. I Be Stunting Like My Daddy. I'm The, Young Stunner,. Stunting Like My Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. [verse 2: Birdman]. 98's, 45 Paper Plates. 10 The Whole Thang. Big Money Heavy Weight. A Hundred Stacks, Spend 50 On A Caddy,. 25 On The Pinky,. Bought A Pound Of Blow And Bounced Back. Matching grills, Big Houses On The Hill. Got Them Hoes In The Kitchen. All Cooking paying bills. On Stunner Island, Dollar After Dollar. Flipping Chickens Getting. Tickets want the money and. the power. Born Stunner, Uptown Hunter. 3rd ward g's Nigga Been About Money. Ice chunks, Birdman Red monkeys. White Tees on them chromed out 11 hundreds. You know we shine Every Summer, We Grind Every Summer. And This Is How We Spend Money. You See Them Bentleys And Them Lambs'. Them Ounces And Them Grams, bitch we was born. hustlers. [bridge:]. Vrooom On A Yamaha Chromed Out 11 Hundred. What I'm Doing, Getting Money, What We Doing, Getting. Money. What They Doing, hating on us, But They Neva Cross. Cash Money still a company, And Bitch I'm The Boss. And I Be Stunting Like My Daddy, Stunting Like My. Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. I'm The, Young Stunner, Stunting Like My Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. [verse 3: Lil Wayne]. When I Was 16 I Bought My First Mercedes Benz. I Must've Fucked A Thousand Bitches And They. Girlfriends. White Leather, Hot New Pair of Rims, Brand New Pistol. With The Trigger Like A Hair Pin. Big Work, We Don't Need Scale Man, Big Papers Say g'. morning To The Mail Man. What you Now Bout Putting Bricks In The Spare Man, I. Can Stuff A Coupe Like A Motherfucking Caravan. I'm In My Zone my form is So Rare Man. If there's a throne, you're looking at a chairman. How You Want It, Show Me My Opponent....Show Me My. Opponent. I'm Still Balling, A Bullet Gotta Get Me And I've. Never Been A Pussy Cause My Hood Never Let Me. A Made Nigga Got Made Niggas Wit Me. I am a Motorcycle Boy So I'm About to pop a wheelie. [bridge:]. Vrooom On A Yamaha Chromed Out 11 Hundred. What I'm Doing, Getting Money, What We Doing, Getting. Money. What They Doing, hating on us, But They Neva Cross. Cash Money still a company, And Bitch I'm The Boss. And I Be Stunting Like My Daddy, Stunting Like My. Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. I'm The, Young Stunner, Stunting Like My Daddy. Stunting Like My Daddy, I Be Stunting Like My Daddy. [x2:]. Vrooom On A Yamaha Chromed Out 11 Hundred. Vrooom On A Yamaha Chromed Out 11 Hundred. Vrooom Vrooom On A Yamaha Chromed Out 11 Hundred. Cash Money still a company And Bitch I'm The Boss"
young playa (feat lil' wayne),"[Lil Wayne]. He he hee. I'm a young playa nigga, (what). I get the game from the big tymers, nigga (what, what). Who else? (Speak on it) On the real nigga, on the real nigga. Respect the game. Cuz I got the game. [Lil Wayne]. Y'all know who I is. Weezy coming thru in the bubble eye Benz. See me front in back with the wood all around. Plus I got that *boom boom* surround sound. Don't hate on me boy if you do *pow* get down. Come from under my shirt try to lift you off the ground. But on the other hand, I'ma keep running man. I got about a hundred coming up with three Hummers man. We stuntas man. I might stumble across a grand and give it to you wifey. And watch how she *slurp* on my pipey like a Icee. I might be in a Range that night. I might be in a Lex watching the game tonight. I got a hundred on Kobe, hope he playing it right. But if I lose, its cool, that's some change lil shite. That ain't nothing. I ain't doing nothing if I, I ain't stunting. Hold up, girl be quiet, Lil Wayne coming.. [Baby]. Slow yo roll lil one. You ain't glad its bought. And Ms. Pat and gray head over there. In the back card gambling. At the bar dranking. But go head, just be quiet with ÂÂ‘em lil one. [Lil Wayne]. Broads I use ÂÂ‘em. Hatas I bluse ÂÂ‘em. My whole front grill is full of confusion. Got dammit. Weezy pull up in a Porsche, expanded (expanded). I was to the back, niggas couldn't stand it. Soon as I left the scene, the women vanished. I got it like that. Got Rolex, blue shit hard to say watches. Plus I bought all of my niggas Cartier watches. Weezy and his clique leave with forty b-e-atches. Million dolla man baby tear da beasy. Catch me sippin on some Hen, maybe Covoursier. Sammy, Mario, tody Taz, that's my posse. And what. You might see me dippin low in a Benz truck. Tell yo girl hello. I done did her, what you muggin me for. Keep playin with me, I'll put a slug in yo do. [Mannie]. Now looky here, young blood. Pull yo pants up on yo ass and put that piece of metal up in yo shirt. Don't make me get up out this wheel chair and kick yo ass. Now keep doing what you doing. Go head. Y'all know me, young playa, stomp with the big dogs. Play with me boy I give you cancer like menthol. Cough cough cough up. Got a cat eye benz on brollas. They call us. Uptown shiners. Original hot boy$ baby, big tymers. I spit game. Get in they head, they be like, ÂÂ“Quit Wayne!ÂÂ”. Half hour later, I'm in they split man. Hehehehe it be kicks man. Let me get real. I'll kill on the battlefield. Steal for the scrill. I will never leave my clique nigga, I'm to trill. I'm a little peepsqueal. But I'm a ape in that jungle. And if you get it twisted,. Nigga, I'm taking yo lover. I mean I'm raping yo lover. Leave her taste in my rubber. I'm a playa nigga, I'm a playa"
fly away,"[Baby]. Hey. Wassup pimp?. Birdman motha fucker!. [Baby] + (TQ). The financial adviser of this get money game. It's stunna the big money man. So loosen up your strings cause you can get shot. The Crystal absolute on the rocks (on the rocks). Ey nigga I gotta stay fly money. No baseball player I got the a-ride money. I go to Jamaica homie and ball like a dog (ball like a dog). The leaf that sticky homie and fog up the car (fog up the car). It's nothing to the icky icky Harlem world sticky sticky. Fifty fifty a gram raw cut dilly. Got minks on my body cause it cost too much (cost too much). 250 on the bird had to frost me up. See these gangstas pimps and thugs make the world go round (gangstas, pimps and thugs). Ride for uptown and till they lay you down. Birdman with them big chips with the bird lady and the benzes (benzes). [Chorus: TQ]. It's the fly away. Fly fly away. Or you can hit the highway. That's the only way that we do it. Love when we do it. Fly away, fly away. Fly away, fly away. Cause we gon get you high today. I know you wanna see how we do it. You know how we do it. Fly away, fly away. [Baby] + (TQ). So get your stock up nigga. Get our brains rapped right. The hood fucked up cause the nigga changed like. The birdman daddy keeps the bricks taped tight. A hundred of them things got my chips same night. Pull up in the Bentley with them skinny ass tires. Ice all over cause a nigga so fly (so fly). ? and i'm doing what i'm doing. If them clubs gone pop i'm getting straight to em. Nothing on chain put them dubs on the thangs. Wipe a nigga down bitch give a nigga brains (wipe a nigga down bitch give a nigga brains). Call a nigga changed ma wash a nigga range. Bird baby down with them cardier frames. Gucci from head to toe and stunna my name. Make winter weather and that's my thang. I'm iced up nigga smoke pounds of dro. And I'm labeled as a pimp and I mack a hoe. biatch!. [Chorus: TQ]. It's the fly away. Fly fly away. It's the fly away. Or you can hit the highway. That's the only way that we do it. Love when we do it. Fly away, fly away. Fly away, fly away. Cause we gon get you high today. I know you wanna see how we do it. You know how we do it. [Baby] + (TQ). It's the world wide callin' and the boss of the ballin'. The hood rich nigga money tall as all. The youngers of 20 cheerin' and nobody starvin'. Nobody borrowin' cause nobody starvin'. Ey ey TQueezy! the dro man callin'. Get it in the jar Jeff pense is callin'. Buy ounce, buy pound, buy enough for the rounds by mouth. Cause ya know how it's going down. Dro party with the magnolia chicks. Smoke just fly nobody givin' lips. They all on the floor cause the brains is flying. On the outside it's just them 20 inch tyres. Bentley, lexus, lams & vets. Them ragtop guccis with the smitt n wess. Got the old school caddie's and them new school too. Platinum mouth niggaz and them gold mouth too. biatch!. [chorus: TQ]. It's the fly away. Fly fly away. It's the fly away. Or you can hit the highway. That's the only way that we do it. Love when we do it. Fly away, fly away. Fly away, fly away. Cause we gon get you high today. I know you wanna see how we do it. You know how we do it. Fly away, fly away. [voice]. The birdman bitch. coming to a city near you. now how you luv that nigga. now I know what this is. you know what you need to do?. you need to look on the back of your cd cover. and get that sticker for the mom burberry g-nites. You want to come pick them up? come pick them up on 6 and magnolia. and holla at ya boy c-ya?. you understand?. and we gon holla at ya another time. holla! biatch!"
