4ever (feat. esthero),"We are the music makers. And we are the dreamers of dreams. One is for the love. Two is for the soul. Three's the magic number. And four is forever. Five is so alive. And six is in the mix. So peep, I hope you're ready for. I'm out for the night, smile for the lights. Looking for a taste and I end up with a slice. Like P à la mode, I'm fresh and I'm froze. My chain hang low and my raps pure gold. I'm nasty and nice, a wolf on the mic. These sheep sound ba-a-a-d. but they flock for a bite. Let's Midnight Maraud, we out with the claws. Howl at the moon and we glance at the stars. We up and away, top tier everyday. They pause and we play, we ball and they fade. We rockin' over here, just jumpin' over here. Them other niggas gold but we shine like veneers. I'm rush over those wack ass haters like plaque. With the elemental P's and the Peas that be Black. With the element of freeze so please stand back. Tell me can you rock it, can you rock it like that?. Yup, yup, yo Tab and Ap, time to get the strap. Hit em off with the click clack, Mortal Kombat. I'ma slap em with the boom bap, top a four mat. Told them niggas step back, these are power maniacs. I'm the black power ranger, baby you can call me Zack. That's exactly how I flip the lyric, rap acrobat. That a wrap, ready to attack, heavy impact. Nigga I'ma a thunder cat. you know where my number's at, number one. One is for the love. Two is for the soul. Three's the magic number. And four is forever. Five is so alive. And six is in the mix. So peep, I hope you're ready for. I slip on the scene, I'm slick and I'm clean. I slide off the green like my money's vaseline. The mood is Supreme, the ladies lookin' nice. They rollin' with the team yeah we gotta fit 'em right. You won't be on the night 'cause the itch don't stop. We blowin' up the spot 'til the roof goes pop. You somethin' and they not, they warm and we hot. They sink to the bottom and we rise to the top. Umm. We doin' things she just talk about. We makin' headlines, she just word of mouth. We knock it out the park and you strikin' out. You fallin' off, we hold it down. You crack when the alligator snap. With the elemental P's and the Peas that be Black. With the element of freeze so please stand back. Tell me can you rock it, can you rock it like that?. Yup, yup, real shit, I go rock it like this. 3 pointer, hit a three, yes indeed, it a swish. I be deep in the abyss, I am Pisces the fish. When I'm dick up a bitch it be heavenly bliss. Oh yes, look at this wicked shit that I spit. Two long one tongue, two lips, larynx. Kill a lyricist, rock the fatal linguistic. On my 1-2 shit, never on that two list, we number one. One is for the love. Two is for the soul. Three's the magic number. And four is forever. Five is so alive. And six is in the mix. So peep, I hope you're ready for"
where is the love?,"What's wrong with the world, mama. People livin' like they ain't got no mamas. I think the whole world addicted to the drama. Only attracted to things that'll bring you trauma. Overseas, yeah, we try to stop terrorism. But we still got terrorists here livin'. In the Usa, the big Cia. The Bloods and The Crips and the Kkk. But if you only have love for your own race. Then you only leave space to discriminate. And to discriminate only generates hate. And when you hate. then you're bound to get irate, yeah. Madness is what you demonstrate. And that's exactly how anger works and operates. Man, you gotta have love just to set it straight. Take control of your mind and meditate. Let your soul gravitate to the love, y'all, y'all. People killin', people dyin'. Children hurt and you hear them cryin'. Can you practice what you preach?. Or would you turn the other cheek?. Father, Father, Father help us. Send some guidance from above. 'Cause people got me, got me questionin'. Where is the love (Love). Where is the love (The love). Where is the love, the love, the love. It just ain't the same, old ways have changed. New days are strange, is the world insane?. If love and peace are so strong. Why are there pieces of love that don't belong?. Nations droppin' bombs. Chemical gasses fillin' lungs of little ones. With ongoin' sufferin'. as the youth die young. So ask yourself is the lovin' really gone. So I could ask myself really what is goin' wrong. In this world that we livin' in. people keep on givin' in. Makin' wrong decisions, only visions of them dividends. Not respectin' each other, deny thy brother. A war is goin' on but the reason's undercover. The truth is kept secret. it's swept under the rug. If you never know truth. then you never know love. Where's the love, y'all, come on (I don't know). Where's the truth, y'all, come on (I don't know). Where's the love, y'all. People killin', people dyin'. Children hurt and you hear them cryin'. Can you practice what you preach?. Or would you turn the other cheek?. Father, Father, Father help us. Send some guidance from above. 'Cause people got me, got me questionin'. Where is the love (Love). Where is the love (The love) ?. Where is the love, the love, the love?. I feel the weight of the world on my shoulder. As I'm gettin' older, y'all, people gets colder. Most of us only care about money makin'. Selfishness got us followin' the wrong direction. Wrong information always shown by the media. Negative images is the main criteria. Infecting the young minds. Faster than bacteria. Kids wanna act like what they see in the cinema. Yo', whatever happened. to the values of humanity. Whatever happened. to the fairness and equality. Instead of spreading love we're spreading animosity. Lack of understanding. leading us away from unity. That's the reason why sometimes I'm feelin' under. That's the reason why sometimes I'm feelin' down. There's no wonder why sometimes I'm feelin' under. Gotta keep my faith alive 'til love is found. Now ask yourself. Where is the love?. Father, Father, Father, help us. Send some guidance from above. 'Cause people got me, got me questionin'. Where is the love?. Sing with me y'all. One world, one world (We only got). One world, one world (That's all we got). One world, one world. And something's wrong with it (Yeah). Something's wrong with it (Yeah). Something's wrong with the wo-wo-world, yeah. We only got. (One world, one world). That's all we got. (One world, one world)"
"vibrations, pt.1 pt.2","Keeping it live. Back to the soul. Bringing the vibe. Back in the fold. Vibration-n-n-n. I'm changing my mood. Changing my groove. Changing my views. Because I'm on that new. Vibration-n-n-n. Resetting the mood for you. The new and improved a move. Well overdue it's true. Then when they hear that new type of a bump. They want a snare and a thump. They got a smell of the funk. That's how we waken them up. Now we mopping the scene clean. My team is supreme. I'm rolling in green green. You know what I mean. I'm bringing the (sunshine). Wherever I go. go, you know the m. o bro. We never lay low, no, no, no. We on a mission to give 'em a little vision to listen. To what I'm spitting there's really no competition. I'm hittin' 'em with the gift. and the gab and the slow clap. We takin' 'em back to vibe, the original format. Keeping it live. Back to the soul. Bringing the vibe. Back in the fold. Vibration-n-n-n. I'm changing my mood. Changing my groove. Changing my views. Because I'm on that new. Vibration-n-n-n. Fuck what you heard. Fuck what you read. On my leg or arm and leg. I'm moving ahead. Came with the anecdote. Got the hope for the dead. Stay woke, what the fuck do I need with the bed. Stay slicing the loaf, yeah we breaking the bread. Get paid in gold, not paid in lead. If we're paid to approach, I am not a celeb. I speak in quotes so you repeat what I said. I hope you writing this down. and recording this sound. Listen up, gather round. I'm about to announce a new update. We gon' dominate spread the fan base. Rampage, kill a whole scene. Someone bring me yellow tape. You eat the yellowtail, i'mma eat the plant-based. I ain't chewing on no food, with two eyes and a face. Got a new attitude, gotta stay elevated. If somebody hate, let them hate. and kinda motivate, yeah. Mot. I got a brand new attitude. Got a whole new vibe. Got a whole new vibe. I changed my views. Changed the rules. I got a brand new attitude. Got a whole new vibe. Got a whole new vibe. Got a brand new vibe. Vibe. Vibe. Vibe. Vibe. Got a brand new vibe. Vibe. Vibe. Vibe. Vibe. Got a brand new vibe. Vibe. Vibe. Vibe. Vibe. I feel a vibe in here. I feel alive in here. Feels like midnight in here. Oh my god they playin Tribe in here. We gunning from here. Go aim with my low end theory in here. Get cheques like a millionaire. Architect like Frank Drury in here. Salvador Dali in here. On the plane back to Cali in here. Kill it like Death Valley in here. Finish it like finale in here. Say. Goodbye, goodbye. Send ya'. Good vibes, good vibes. Good vibes. Good vi, good vibrations. This is good vibe, good vibrations. Got them. Good vi, good vibrations. This is. Good vibe, good vibrations. I feel a vibe in here. I feel alive in here. I feel a vibe in here. I feel alive in here. I feel a vibe in here. I feel alive in here. Vibe, vibe, vibe. Vibe, vibe, vibe"
i gotta feeling,"I gotta feeling. That tonight's gonna be a good night. That tonight's gonna be a good night. That tonight's gonna be a good, good night. I gotta feeling. That tonight's gonna be a good night. That tonight's gonna be a good night. That tonight's gonna be a good, good night. Tonight's the night, let's live it up. I got my money, let's spend it up. Go out and smash it like oh my God. Jump off that sofa, let's get, get off. I know that we'll have a ball if we get down. And go out and just lose it all. I feel stressed out, I wanna let it go. Let's go way out spaced out and losing all control. Fill up my cup, Mazel Tov. Look at her dancing, just take it off. Let's paint the town, we'll shut it down. Let's burn the roof and then we'll do it again. Let's do it, let's do it, let's do it, let's do it. And do it and do it, let's live it up. And do it and do it and do it, do it, do it. Let's do it, let's do it, let's do it. 'Cause I gotta feeling. That tonight's gonna be a good night. That tonight's gonna be a good night. That tonight's gonna be a good, good night. I gotta feeling. That tonight's gonna be a good night. That tonight's gonna be a good night. That tonight's gonna be a good, good night. Tonight's the night, let's live it up. I got my money, let's spend it up. Go out and smash it like oh my God. Jump off that sofa, let's get, get off. Fill up my cup, drink, Mazel Tov, lahyme. Look at her dancing, move it, move it, just take it off. Let's paint the town, we'll shut it down. Let's burn the roof and then we'll do it again. Let's do it, let's do it, let's do it, let's do it. And do it and do it, let's live it up. And do it and do it and do it, do it, do it. Let's do it, let's do it, let's do it, do it, do it, do it. Here we come, here we go, we gotta rock. Easy come, easy go, now we on top. Feel the shot, body rock, rock it, don't stop. Round and round, up and down, around the clock. Monday, Tuesday, Wednesday and Thursday. Friday, Saturday, Saturday to Sunday. Get, get, get, get, get with us, you know what we say, say. Party every day, p-p-party every day. And I'm feelin'. That tonight's gonna be a good night. That tonight's gonna be a good night. That tonight's gonna be a good, good night. I gotta feeling. That tonight's gonna be a good night. That tonight's gonna be a good night. That tonight's gonna be a good, good night"
pump it,"Hut hut haaaa. Pump it. Hut hut haaaa. And pump it (louder) [4x]. Turn up the radio. Blast your stereo go right. N*ggas hate on us (who). N*ggas be envious (who). And I know why they hating on us (why). Cause thats so fabulous (what). I'ma be real on us (c'mon),. nobody got nothing on us (no). Girls be all on us, from London back down to the Us (s, s). We rockin' this (contagious),. monkey business (outrageous). Just confess- your girl admits that we the shit. F-R-E-S-H we (fresh),. D-E-F, that's right we def, (rock). We definite, B-E-P we rappin' it, so. [Chorus]. Turn it up (turn it up) [3x]. Come on baby just. Pump it (louder) [6x]. And say, oh oh oh oh. Say, oh oh oh oh. Yo yo, Turn up the radio. Blast your stereo go right now. This joint is fizzling, it's sizzling, right. Ya check this out right here:. Dude wanna hate on us (dude). Dude need to ease on up (dude). Dude wanna act on up. But dude get shut like flavor, shut down. Chick say she ain't down. But chick backstage when we in town (ha). She like man on drums (who). She wanna hit n' run(err). Yeah, that's the speed, that's who we do, that's who we be. B-L-A-C-K E-Y-E-D P to the E, then the A to the S. When we play you shake your ass. Shake it, shake it, shake it girl. Make sure you don't break it, girl, 'kuz we gonna. [Chorus]. Turn it up (turn it up) [3x]. Come on baby just. Pump it (louder) [6x]. And say, oh oh oh oh. Say, oh oh oh oh. Yo yo, Turn up the radio. Blast your stereo go right now. This joint is fizzling, it's sizzling, right. Damn, (damn) [5x]. Apl.De.Ap from Philippines. Live and direct, rockin' the scene. Break it on down for the B-boys and B-girls. waiting to do they thing. Pump it, louder come on, don't stop, and keep it going. Do it, let's get it on, move it. Come on, baby, do it. (hut)La da dee da da dee die,. On the ster-e-ere-ere-ere-o.. Let the speakers blow your mind (Blow my mind baby.). Just let it go, let it go, here we go.. La da dee da da dee die,. On the radi-adi-adi-adi-o.. The system's gonna feel so Fi-e-I-e-I-e-I-e-I-ine!. Pump it (louder) [6x]. And say, oh oh oh oh. Say, oh oh oh oh. Yo yo, Turn up the radio. Blast your stereo go right now. This joint is fizzling, it's sizzling, right"
my humps,"What you gon' do with all that junk?. All that junk inside your trunk?. I'ma get, get, get, get, you drunk,. Get you love drunk off my hump.. My hump, my hump, my hump, my hump, my hump,. My hump, my hump, my hump, my lovely little lumps.. (Check it out). I drive these scrubbers crazy,. I do it on the daily,. They treat me really nicely,. They buy me all these ice-ys.. Dolce & Gabbana,. Fendi and then Donna. Karen, they be sharin'. All their money got me wearin'. Fly gearrr but I ain't askin,. They say they love my ass 'n,. Se7en Jeans, True Religion,. I say no, but they keep givin'. So I keep on takin'. And no I ain't fakin'. We can keep on datin'. I keep on demonstrating.. My love, my love, my love, my love. You love my lady lumps,. My hump, my hump, my hump,. My humps they got u,. She's got me spending.. (Oh) Spendin' all your money on me. and spending time on me.. She's got me spendin'.. (Oh) Spendin' all your money on me, on me, on me. What you gon' do with all that junk?. All that junk inside that trunk?. I'ma get, get, get, get, you drunk,. Get you love drunk off my hump.. What u gon' do with all that ass?. All that ass inside them jeans?. I'm a make, make, make, make you scream. Make u scream, make you scream.. Cos of my hump, my hump, my hump, my hump.. My hump, my hump, my hump,. My lovely lady lumps.. (Check it out). I met a girl down at the disco.. She said hey, hey, hey yea let's go.. I could be your baby, you can be my honey. Lets spend time not money.. I mix your milk wit my cocoa puff,. Milky, milky cocoa,. Mix your milk with my cocoa puff, milky, milky riiiiiiight.. They say I'm really sexy,. The boys they wanna sex me.. They always standing next to me,. Always dancing next to me,. Tryin' a feel my hump, hump.. Lookin' at my lump, lump.. U can look but you can't touch it,. If u touch it I'ma start some drama,. You don't want no drama,. No, no drama, no, no, no, no drama. So don't pull on my hand boy,. You ain't my man, boy,. I'm just tryn'a dance boy,. And move my hump.. My hump, my hump, my hump, my hump,. My hump, my hump, my hump, my hump,. my hump, my hump.. My lovely lady lumps x3. In the back and in the front.. My lovin' got u,. She's got me spendin'.. (Oh) Spendin' all your money on me. and spending time on me.. She's got me spendin'.. (Oh) Spendin' all your money on me, on me, on me.. What you gon' do with all that junk?. All that junk inside that trunk?. I'ma get, get, get, get you drunk,. Get you love drunk off my hump.. What you gon' do with all that ass?. All that ass inside them jeans?. I'ma make, make, make, make you scream. Make you scream, make you scream.. What you gon do with all that junk?. All that junk inside that trunk?. I'ma get, get, get, get you drunk,. Get you love drunk off this hump.. What you gon' do wit all that breast?. All that breast inside that shirt?. I'ma make, make, make, make you work. Make you work, work, make you work.. She's got me spendin'.. (Oh)Spendin all your money on me. and spendin' time on me. She's got me spendin'.. (Oh)Spendin' all your money on me, on me, on me."
don't lie,"Sorry, sorry, sorry, sorry. Hey, baby my nose is getting big. I noticed it be growing when I been telling them fibs. Now you say your trust's getting weaker. Probably cause my lies. just started getting deeper. And the reason for my confession is that I learn my lesson. And I really think you ought to know the true. Because I lied and I cheated and I lied a little more. But after I did it I don't know what I did it for. I admit that I have been a little immature. phunkin with your heart like I was the predator. In my book of lies I was the editor and the author. I forged my signature. And now I apologise for what I did to you. cause what you did to me I did to you. No no no no baby, no no no no don't lie. Cause No no no no, yeah. you know know know know you gotta try. What you gonna do when it all comes out. When they see you and what you're all about. Nonono baby, nononono don't lie. Because you know you know you know you know. you know you gotta try. She said I'm leaving. Cause she can't take the pain. It's hard to continue this love it ain't the same. Can't forget the things that I've done inside her brain. Too many lies committed too many games. She feeling like a fool getting on the last train. Trying to maintain but the feeling won't change. I'm sorry for the things that I've done and what I became. Caught up in living my life in the fast lane. Blinded by lights, cameras, you know the fame. I don't know the reason why I did these things. And I lie and I lie and I lie and I lie. And now our emotions are drained. When you lie and you lie and a little lie lie. And now your emotions are drained. No no no no baby, no no no no don't lie. Cause No no no no, yeah. you know know know know you gotta try. What you gonna do when it all comes out. When they see you & what you're all about. Nonono baby, nononono don't lie. Because you know you know you know you know. you know you gotta try. Yo, I'm lying to my girl even though I love her. And she all in my world. I give her all my attention and diamonds & pearls. She's the one who makes me feel on top of the world. Still I'm lying to my girl, I do it. And I lie and I lie and I lie till there's no turning back. I don't know why,. (and I lie and I lie till I don't know who I am). And then I tell myself. No no no no baby, no no no no don't lie(don't you lie). No no no no, yeah you know know know know you gotta try. (you know you know you gotta). What you gonna do when it all comes out. When I see you & what you're all about. Nononono baby, nononono don't lie. Nononono baby, nononono. Stop, st-stop st-stop stop stop lying."
the time (dirty bit),"I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Oh I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Dirty bit (2x). I came over here to rock. Light a fire, make it hot. I don't wanna take no pictures. I just wanna take some shots. So come on, let's go. Let's lose control. Let's do it all night. Till we can't do it no more. People rocking to the sound. Turn it up and watch you pound. We gon rock it to the top. Until the roof come burnin down. Yeah it's hot in here. The temperature. Has got these ladies. Gettin freaky. I got freaky, freaky baby. I was chillin with the ladies. I ain't come to get buldgy. I came here to get crazy. I was born to get wild. That's my style. If you didn't know that. Well baby now you know now. Cos I'm having a good time with you. I'm telling you. I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Oh I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Dirty bit (2x). All these girls they like my swagger. They call it the Mick Jagger. I been rollin like a stone. Yeah, said yeah, ?. We ain't messing with no maggots. Messin with the baddest. Chicks in the club. Honey, what's up. Mirror, mirror on the wall. Who's the baddest of them all. Yeah it's gotta be the Apl.. I'm the macdaddy y'all. Hey just better step back. Ladies gon look at that. I'm the party application rockin just like that. Cos I'm having a good time with you. I'm telling you. I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Oh I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Oh I had the time of my life. And I never felt this way before. And I swear this is true. And I owe it all to you. Dirty bit"
boom boom pow,"Gotta get-get, gotta get-get. Gotta get-get, gotta g-g-g-get-get-get, get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, now. Boom boom boom, now. Boom boom pow. Boom boom. Yo, I got that hit that beat the block. You can get that bass overload. I got the that rock and roll. That future flow. That digital spit. Next level visual shit. I got that boom boom pow. How the beat bang, boom boom pow. I like that boom boom pow. Them chickens jackin' my style. They try copy my swagger. I'm on that next shit now. I'm so 3008. You so 2000 and late. I got that boom, boom, boom. That future boom, boom, boom. Let me get it now. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, now. Boom boom boom, now. Boom boom pow. Boom boom pow. I'm on the supersonic boom. Y'all hear the spaceship zoom. When, when I step inside the room. Them girls go ape-shit, uh. Y'all stuck on Super 8 shit. That low-fi stupid 8 bit. I'm on that HD flat. This beat go boom boom bap. I'm a beast when you turn me on. Into the future cybertron. Harder, faster, better, stronger. Sexy ladies extra longer. 'Cause we got the beat that bounce. We got the beat that pound. We got the beat that 808. That the boom, boom in your town. People in the place. If you wanna get down. Put your hands in the air. Will.i.am drop the beat now. Yup, yup. I be rockin' them beats, yup, yup. I be rockin' them beats, y-y-yup, yup. Here we go, here we go, satellite radio. Y'all gettin' hit with boom boom. Beats so big I'm steppin' on leprechauns. Shittin' on y'all with the boom boom. Shittin' on y'all you with the boom boom. Shittin' on y'all you with the. This beat be bumpin', bumpin'. This beat go boom, boom. Let the beat rock. Let the beat rock. Let the beat rock. This beat be bumpin', bumpin'. This beat go boom, boom. I like that boom boom pow. Them chickens jackin' my style. They try copy my swagger. I'm on that next shit now. I'm so 3008. You so 2000 and late. I got that boom boom boom. That future boom boom boom. Let me get it now. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, gotta get-get. Boom boom boom, now. Boom boom boom, now. Boom boom pow. Boom boom pow. Let the beat rock. (Let the beat rock). Let the beat rock. (Let the beat). Let the beat. (Let the beat rock, rock, rock, rock)"
shut up,"Shut up. Just shut up. Shut up (3x). Shut it up, just shut up. Shut up. Just shut up. Shut up (3x). Shut it up, just shut up. [Chorus]. We try to take it slow. But we're still losin control. And we try to make it work. But it still isn't the worst. And I'm craaazzzy. For tryin to be your laaadddy. I think I'm goin crazy. Girl, me and you were just fine (you know). We wine and dine. Did them things that couples do when in love. (you know). Walks on the beach and stuff (you know). Things that lovers say and do. I love you boo, I love you too. I miss you a lot, I miss you even more. That's why I flew you out. When we was on tour. But then something got out of hand. You start yellin when I'm with my friends. Even though I had legitimate reasons (bull shit). You know I have to make them evidence(bull shit). How could you trust our private lives girl. That's why you don't believe my lies. And quit this lecture. [Chorus]. We try to take it slow. But we're still losin control. And we try to make it work. But it still isn't the worst. And I'm craaazzzy. For tryin to be your laaadddy. I think I'm goin crazy. Why does he know she gotta move so fast. Love is progress if you could make it last. Why is it that you just lose control. Every time you agree on takin it slow. So why does it got to be so damn tough. Cause fools in lust could never get enough of love. Showin him the love that you be givin. Changing up your livin. For a lovin transistion. Girl lip so much she tryin to get you to listen. Few mad at each other has become our tradition. You yell, I yell, everybody yells. Got neighbors across the street sayin. "" Who the hell?!?"". ""Who the hell?"". What the hell's going down?. Too much of the bickering. Kill it with the sound and. [Chorus]. We try to take it slow. But we're still losin control. And we try to make it work. But it still isn't the worst. And I'm craaazzzy. For tryin to be your laaadddy. I think I'm goin crazy. . Girl our love is dyin. Why can't you stop tryin. I never been a quitah. But I do deserve betta. Believe me I will do bad. Let's forget the past. And let's start this new plan. Why? Cause it's the same old routine. And then next week I hear them scream. Girl I know you're tired of the things they say. You're damn right. Cause I heard them lame dame excuses just yesterday. That was a different thing. No it ain't. That was a different thing. No it ain't. That was a different thing. It was the same damn thing. Same ass excuses. Boy you're useless. Whhoooaaaa. Don't go! No, please! Go!. I don't know.... Stop the talking baby. Or I start walking baby. Is that all there is (repeat)"
