i got cha opin,"( *DJ Evil Dee cuts up* ). (Don't front). [ VERSE 1: Buckshot Shorty ]. When I get bent I must represent, no question. Get up a dime spot and then I'm off to the dread section. Roots hit me off lovely. Comin out the spot I had to duck because a nigga tried to buck me. I'm easin on the Glock like, ""What up, hop"". Buck's pullin out on cops cause I want free Glocks. What the fuck, bring your bitch-ass type brigade. Hittin them all, hand guns and hand grenades. ( ? ) man that's wanted for murder. Got your block locked down, so don't come any further. In my clip is a .22 dum-dum. Oh yeah, I seen your moms, I hit her off with a jum. Know what I'm sayin? Fret it or forget it. ( ? ) fly so I'ma still get paid, I don't sweat it. I'm every MC's nightmare manifestin. A little shorty pushin the fact that I'm best in. This shit called hip-hop, raise the throne. Kid, don't front, I got you open in your dome. [ VERSE 2: Buckshot Shorty ]. Rest in peace to my niggas in the East. And all the real niggas that was shot by beast. Around the way all we do is spark mad ism. Ladies be like, ""Yo, he's Buckshot right there, that is him"". But let's get with the cipher, kid, pass the eight. So I can wet my lungs and blow smoke in your face. Word to Jah, niggas can't touch me, kid. Cause I'm too nice to do bids or ever hit skid. Fronts in the bottom of my teeth like whatever shit. On the real, gettin played, what, I never did. Cause on the mic I gotta represent the real niggas. The field niggas get the muthafuckin ill triggers. Word to Herb, lick shot with my verb. And keep my hand on my grip when I play the curb. I never got caught by a undercover DT. ( ? ) can't see me. You grab mics from the ones I left broken. Kid, don't front, you know I got you open. [ VERSE 3: Buckshot Shorty ]. Late at night I catch a buzz, then I write. The type of ill shit to make the mind feel tight. And be wantin to battle like every five minutes. But I'm in this like Guiness so that ass get finished. Straight from the floors of hell, feel the flame. You faggot ass, I heard your nickname's Blaine. I hit your brain and you felt the pain, maintain. When it comes to a battle you know the Buck reigns. I vocal-throw the flow, niggas be like, ""Yo, how'd you do that?"". Bitches be like ""Yo who that, you're all that, yo, true that"". Never forget that I'm the one you thought wouldn't make it. I used to make money, now I just take it. I do what I gotta do to bring you to the concrete. Buckin niggas down cause they think shit is sweet. I keep a Tec whenever I'm in the projects. Ease out, then flex, in effect like Wreckx. Buck to your head, now die is my slogan. Don't front, you know I got you open"
one-two,"[Buckshot]. Buckshot rock niggas like kicks. Sport hos like clothes. Cock back the double barrel, used to be broke like an arrow. Walk a real narrow, path, you don't know the half. Nigga you ain't do the math, add up. As I bag up, weed from the stash. Win the war, throw the flag up. Course right, fuck beein quit. I'ma blast thru the nuzzle of my gun, first, then burst. When you see the worst, it was Buckshot. Little Tazmanian, black Damien. Purpose is to pull the plug and shoot the enemy inside the mug. Like what, Buck never gave a fuck. One-Two. Aiyo One-Two- Redman. [repeated over]. [Buckshot]. Thru the mist of the black smoke. One toke, take a hit, inhale in some real ill shit. What you about to deal with is the worst in here. I'm 5 foot 4, raw little nightmare. Givin heavy not a light stare. Concentrate to hit my target on sight. Now who gon get it tonight. A few bitches on my list now. a few niggas get me pissed now, but who gon get dissed now. First, I kick a verse for them niggas that thurst for the liquid. When I kick it, check it. True soldier, started as a teen in rap thing. Now I'm like the rap Don King. Blastin thru the city with, no car. While you drivin your city whip, where ya jar nigga?. [more ""one-two's"" scratched]. [5 Ft.]. The problem is you didn't listen when I warned you. Now I took five step, now I'mma lawn you. Evaluated, elevated, escalated, exellerated. Even became more educated. Comin thru fully equiped, stick it to the script. Prepare for battle and war, causin the enemy to abandon ship. It's my turn to burn, the flame I desent like the sun. And catch rip with or against anyone. The heat is on, as knowledge is beein born. Creatin that electrical magnetic dorm. Consistant combagin, do you really think you can fuck with. This intelligent team of destruction. Forever buildin and destructin. Maintainin balance in our cypher. Keepin a more flammable fluid than in your lighter. Got enough energy to incite ya, excite ya. Yeah, I'm here to take ya higher to the Messiah. And get my earth wind & fire, Devil's a lier. You best to beware of the soul buyer. Better drive the lead ya to damnation, cancelation. But every good is duck this God right creation. My get down is all in my mans for the station. Bring ya four universal greatings which be peace. Travel worldwide, leavin my mark in the east. Many fakes and frauds be gettin applauded. At least ya brain weight, that of distorted. Got my peoples reachin it when they can't afford it. Forgetten the true factors of life. I'm bringin this drum thru my windpipe. My shit is mad tight. Shinin the true light, boastin ya adreneline. To take flight, Power Universals out of sight. Hah!"
buck em down,"* Buckshot is now known as Da B.D.I. Emcee. Buck em down (repeat 16X). Verse One: Buckshot Shorty *. To the weak, what we do, buck em down, word life. Each and every nigga whenever I'm in the sight. Let my nigga Jewel peep your style for your card. Then I kick a verse and take a look at the God. God hit them niggaz with a verse real quick. C'mon God niggaz is all on your dick. You know what they say about niggaz who ride dicks. Upstate niggaz become chicks, word life. I ain't bullshittin, ask my nigga Buff. On the streets he was tough locked up he was sweet stuff. Shit is hot, word to Ma Duke. and get the loot from the man kick his ass with my Timberland. Shorty with the Shots that I Buck with fuck with. gang hanger with the double-edged banger. And I got niggaz clingin my drawers. Niggaz fake I'ma bust a cap fuck that I'm breakin jaws. I'ma bring it to your chest like, wind. Fill your fuckin lungs up with all the bullshit from within. But I'ma put it back so parlay. To the weak in Bucktown all we do everyday. Buck em down (repeat 32X). Verse Two: Buckshot Shorty. Niggaz tell me chill when I kick it. Although my shit is wicked, it's all about the blunts and how I lick it. Or how I shot a nigga in the mug. with the slug leavin white chalk all on a pitch black rug. You couldn't tell me other word to mother. When I was fifteen runnin around I was the real street lover. On the corner out shootin the dice. Layin up, gettin nice, talkin bout a heist. GQ headin up to one-two-five. Push up on a shorty lookin live on the prize. I couldn't get the time of day when I was Little K. Now you call me Buck so your lips wanna puck?. Fuck that bitch, I know your X amount of thoughts. But they call me Buckshot Shorty cause I take no shorts. Word to the shell around my chest. Big up to all de massive rudebwoy pon deck. So if you see a weak nigga speak to that bastard. Or I'ma hit his ass with the motherfuckin plastic. Word life, I ain't bullshittin. Buck em down (32X). Verse Three: Buckshot Shorty. When I was in school I was a mack. Shorty was strapped with a lyrical contact. knapsack, filled with the shit that I G'd. and a nickel bag of weed, yes indeed. A mad little nigga runnin up on em all. Fly as hell, hit the park play the wall. And all the older people sayin Shorty's a bad-ass. but youse a smart little nigga so you gonna last. They knew the time and they knew the rhyme woulda. hit you in at least four years, so I came to split ya. in the nine-three it's all about me. Ninety-four ninety-five that's my years fuck it I'm takin over. In nineteen-ninety-eight I couldn't wait. To get all my niggaz and do shows from state to state. Now I'm the motherfucker that's givin instructions. Fuckin with them niggaz Beatminerz on productions. Welcome to Bucktown, U.S.A.. Where the weak niggaz get their shit ass played. Buck em down (repeat 32X). Outro: Buckshot Shorty. Aiyyo, this is goin out to all the real niggaz. who buck down the bullshit, you know what I'm sayin?. On the real, rest in peace to my nigga Buttah. in Coney Island, shit is mad real out there. you know what I'm sayin? Buckshot Shorty. Five F-T, my DJ Evil Dee. Mr. Walt, all my niggaz in the motherfucker. you know what I'm sayin? Smokin mad blunts. and just chillin. So buck down the bullshit in ninety-three. ninety-four, ninety-five, shit is ours. Black Moon, we out"
6 feet deep,"Verse 1:. At night I can feel the vibe in sight. straight through the individual in flight. Everybody got hit when I bust heat, I had to let the 1-2 guage...speak. Why? Because we Murder MC's everyday, motherfuckers don't play. Straight from the under, whenever I see the wonder, I wonder. How, nuff punk niggas got caught let's start, the art is the choclate. I'm sparkin' it, play the quarterback, hut, so I can get a nut. When I take a pull niggas your dead bwoy what?. I'm talking to you and your whole crew, pick 'em out. Whatever one you want dead first. save the best for last cause I got a verse. That'll burst like Bubble Yum, troublesome. dumb niggas in the back on crack thats.... Hook:. ""6 feet deep in the crease"" (x16). Verse 2:. Thunder, thunder from the one. the original one to pack heat like the sun. Pull a gun, niggas better run, FAST, nigga what?. Nigga bring apon cock on ass. Look behind and feel the heat from the devil on your back. I'm pullin' a mac, hum, now learn your lesson, now Smif-N-Wesson. Recognize that Heltah Skeltah's on the rise. and you can look into the eyes of a devil. Motherfuck a 10% cause when I represent the 5%, the God's get bend. Shake from the right to left now left to right. You drop the mic cause you was BUTT, throw your hands up WHAT?. Fatigue wear up to here, no fear. wear your TImberlands tie them up now we in there. I get no time to fake G's, come follow me. 6 feet deep inside the creep. Hook (x16). Verse 3:. First MC up to bat, Buckshot back never wack. cause I can attack the shrat?. Black and original crooks style, no style is the bitch ass style. You fuck around and get the gun blaow, look at me now bwoy. Come test, get out the buddha,sees can make a man get finesse. You must be fuckin' with that backyard bullshit. Cause the cord shit that I fuck with get me it, no doubt. A dime of that Hawaiian sess, make a nigga like me finesse. Forget about stress just parlay, play the side. And I'm a take you niggas on another ride, like.... Hook (x16)"
ack like u want it,"[Buckshot]. Boo-Ya-Kaa, check my foul and my style. Never on the Isle, bucked shots as a juvenile. A little freestyle fanatic, I shot the rap addict. With an automatic, now I got static. See back in the days, I was a stone cold hood. Now I'm a paid hood, still up to no good. With my crew from the Heights and the Island. Still flippin' niggaz, and we still be buckwildin'. I never changed, never rearranged my faness. Buck one time to your chest, through your vest. F.A.P. Franklin Avenue Posse, you can't stop me, cause my shits never sloppy. I'm always for a pack, a joint, and a burner. Flip a scene, coming from a teen/tin like Turner. Take it from another brother coming from the ghetto. Once I get my five eight, no need for protect so. I get paid to rip, step aside I'm a blow you. Don't try to shake my hand moneygrip, I don't know you. I'm just a hardcore, raw, straight from the ave. Leave another question and you might get blast. [Chorus - 4X]. Ack like you want it. Ack like you want it. What! Bring the drama. Ack like you want it. [5 Ft. Excellerator]. I emerged in a rage, catching wreck on stage. Blowing up the spot, I leave my name engraved. You frail ass niggaz want a piece of the 5, but. You can't fuck with the nigga that's live. Here catching wreck, with the Buckshot Shorty. Spark up that L, cause it's time to get naughty. Then he looked at me, as if I was insane. I'm just a real nigga with a lot on my brain. The pressure starts to build, when I grab my steel. Giving niggaz the raw deal, with the mad appeal. This time around, I flex the tec with ease. And if you really want it, I give an extra squeeze. Cause I'll cut out your heart, and leave it pumping in my hand. Spit on your grave, and let you know who's the man. There's nowhere to run, there's nowhere to hide. Cause, the 5 Ft. Excellerator, is at your every side. One time for your motherfucking mind. [Chorus]. [Buckshot]. I ran to the boone spot, and shot the dread. He fished my nickle bag of skunk weed, now he dead but. Bust lead to the head, never did like a fed. Rule with the mad tool, fool check what I said. I'm taking you down, I'm breaking you down, I'm real. Wiz, Tec and Stelle, niggaz, you know the deal. I'm for real no joke, so on the gun smoke. Provoke, your dusty style, makes me choke. Never bite, but I write, when I grab mics. Boot your pretty bitch ass boy, and take flight. With my razor, the infra-red lazer, blaze ya. Like cane, I raise your little shorter's bad behavior. Niggaz better know that when I flow, I'm drinkin gin and cinnomin. And when I flaunt it, ACK LIKE YOU WANT IT. [Chorus]. [5 Ft. Excellerator]. From the town where niggaz always get bucked down. Kicked in the door, keep my finger on the pound. Word is around, that you're looking for the 5. Surprise, real niggaz always survive. Don't be amazed, I'm alive from the flames. No need to scream now your calling out my name. You little bitch ass nigga, you tried to take my life. Now I'm taking all you own, plus I'm fucking your wife. After that my man's, gonna hit your only daughter. And leave her body floating in some bloddy bath water. Just like a snake, sl-sl-slitters on the ground. Nobody hears me move, even know that I'm around. You acting like you want it, now you're gonna have to get it. As I grab you by your throat, feel the heat as I just split it. [Chorus]"
annihilation,"[Intro:]. Yo it's on it again. I got muthafuckin 5 footer, I got Teflon, I got M.O.P.. I got Mr. Walt with the funky beat. Yeah, niggas can't make no muthafuckin noise. Yea yeah. Bring it on. [Teflon]. Now strap on your seatbelt, get ready for blast off. We on the crash course, mission from the moon (Me and my tech four). Fuck a passport, I'm intergalactic. Get thru this bent and gin for my him, and then bury the hatchet. Fuck it, no games, stuck with Tefluck, 5, Billy & Fame. Recognize the muthafuckin name. All hail the muthafuckin, Tefluck to So So Def. Nigga to ever escape from Sony. Alive, recognize I'm with 5, I get live on stage. Roamin a 4 Alarm Blaze to get mine. All day (Every day) to Broadway (Every day). Freak the foreplay (All day) (Every day). More catchy than poison ivy. So if ya wanna get involved with some gangsta shit. Then step lively. For real, still a ill (nigga) real (nigga) real (nigga). We kill to the fuckin House of Kill niggas. [5 Ft.]. Head on collision, crash got the social in the smash. Like the sanitation apartment we get rid of the trash. 5, Teflon, Fame, Billy Danze got the crowd jumpin out of the stands. Like rock bands. Goin to war, with heavy artillery, nobodies killin me. Twenty one gun salute, now you feelin me. Applayin the pressure, add a squeeze on the trigger. Rest in piece to Bloody Red, my nigga. When Brooklyn's in the house. It's time to shut 'em down. Let worldwide catastrophe, just happenin now. Reality, fillin the tragedies of apocalyptic casualties. Side to side with First Family, hot to the death. Gaspin for your last breath. It's critical conditions when the microphone is blessed. ""That's right"". [Chorus: 5 Ft. (Lil Fame) {Billy Danze}]. Any attempts of violation. (Move on 'em, now, annihilation). {And we vow to eliminate these habits. And the best is to eliminate these faggots}. [Billy Danze]. (It's the) hell raisin Berkowitz (love to submit). To your click [clack clack] this whole clip. Chose the right soldier to roll wit, and roll thick. (First Family) and we take no shit. Puma hold me down, ""that's right"", that old bitch. Rip rounds from pounds and clowns that tips. (Give it to a nigga) in this Family we earn ours. Flexin, rolexxin your lesson step thru turn styles. And learn vows, if ya slump, get wild form. 5 is a good man, and I flouse for him. Billy's blowin torches at innocent bistanders on porches. So be cautious, ofcourse it's a war. Goin all out side, and my family refuse to hide. Till I die. [Lil Fame]. Aiyo I'm on another mission. But yet, it's the same condition. When I kidnap ya ass, it'll be a rap dude missin. First Family, we all compatible, with the same game. With the same aim, to splatter you. We happen to be, them fly niggas. Move with the 5 Footer, here come dunn-dunn. Move in on them with the rough cats. Let me ask them bitch ass niggas a question. (Kid what's that?). What make you think that I won't ride and dump this thing on you. Rain on you, word on the street is they say i'm thru. But you got rocked, blood stain on you. Nuttin left to do, I jump to my dammer. He trip me, so I empty my hammer. Brought him into my slaughterhouse, and I brought about. 8 dub dubs, to straight roll on em, for life. [Chorus x2]. [Outro:]. Yeah, yeah, hah. Teflon, 5, M.O.P. Fam Billy Danze. Here to annihilate on this annihilated track. Yeah, bringin it back. Droppin the bomb on the whole wideworld, yeah"
black smif-n-wessun,"[Featuring Smif-N-Wessun]. Verse One: Steele. Here we go, break of day, with a mad live session. Down in Bucktown it's Black Moon, and Smif-N-Wessun. Pick up the pace cuz we're right behind ya black. The punk got X-amount of shots, take one to your back. BOO-YAA-KAA!!! Mr. Ripper did the shooting. Cops heard the shots, shit's hot cuz they're pursuing. But it's my stomping groung where herds get blown down. Think I'm gettin caught by beasts youse a damn clown. Check the drums of death as I break what's left. of your face, cuz you're sellin out the rap race. Your family cried as your body lies in it's casket. I keep a black Smith-and-Wessun in my polo jacket. Sixteen shots, for all you hardrocks. And if your bitch is a dime she can get the cock. Straight up and down, we two terrible toughies. The Vickster hit your pockets then I made your eyes puffy. What pussy? Better drop your mic and get to steppin. Before you're face to face with a black Smith-and-Wessun. Chorus: repeat 4X. Load the clip, bust lead to the head. The nappy head dread, Buckshot and Baldhead. Verse Two: Buckshot. Real niggaz represent and don't die. Never dead like I said all we fuckin do is multiply. I puff a mad bag of buddha. Niggaz be like ""Yo who the shorty?"". I'm bustin niggaz with my six-shooter. I get so much pussy my dick be in stitches. Red-boned or even fucked-up black Zulu bitches. What? This lil nigga is a mad stalker. Brooklyn, New York will grab the leash around your neck and then I. walk ya. If youse a bigger nigga bigger niggaz get bucked. Cuz I'm the Buck and I don't give a fuck my dick you can suck. Buck is a killer, thrill a nigga like Manilla. I'm small but strong like that fucking gorilla. A crazy-ass nigga puttin Brooklyn on the map. I never gave a fuck, I never give a fuck, cuz I'm all that. I take no shit see, givin the Buck fifty. I even blew your bitch cuz your man tried to stick me. Chorus. Verse Three: Tek. Ahh shit, a personality split. And I'm bout to flip with my nigga pull the trigger let the Glock spit. A little bad-ass shorty with no remorse. I kill forties and quarts remains on stage so who the boss?. Another boom blew up the scene. throughout the planet, get green, now I got sticky mean with my tag. team. G want a clip thinkin I'm takin this the underground moves. There ain't no more fakin if you're fakin I'm bakin it. Straight up and down, nuff respect to Bucktown. Home of the chrome, where I roam, not givin a FUCK now. Damn, just when you thought it was safe. to come out, with a rhyme, I got the nine to your face. Boom, hooked up with Black Moon, now it's on for real. so I pack more steel lookin for the kill. Hope you're not the picture on my scope, cuz the dread'll. pump lead, from the black Smith-and-Wessun, nuff said. Chorus"
buck em down,"* Buckshot is now known as Da B.D.I. Emcee. Buck em down (repeat 16X). Verse One: Buckshot Shorty *. To the weak, what we do, buck em down, word life. Each and every nigga whenever I'm in the sight. Let my nigga Jewel peep your style for your card. Then I kick a verse and take a look at the God. God hit them niggaz with a verse real quick. C'mon God niggaz is all on your dick. You know what they say about niggaz who ride dicks. Upstate niggaz become chicks, word life. I ain't bullshittin, ask my nigga Buff. On the streets he was tough locked up he was sweet stuff. Shit is hot, word to Ma Duke. and get the loot from the man kick his ass with my Timberland. Shorty with the Shots that I Buck with fuck with. gang hanger with the double-edged banger. And I got niggaz clingin my drawers. Niggaz fake I'ma bust a cap fuck that I'm breakin jaws. I'ma bring it to your chest like, wind. Fill your fuckin lungs up with all the bullshit from within. But I'ma put it back so parlay. To the weak in Bucktown all we do everyday. Buck em down (repeat 32X). Verse Two: Buckshot Shorty. Niggaz tell me chill when I kick it. Although my shit is wicked, it's all about the blunts and how I lick it. Or how I shot a nigga in the mug. with the slug leavin white chalk all on a pitch black rug. You couldn't tell me other word to mother. When I was fifteen runnin around I was the real street lover. On the corner out shootin the dice. Layin up, gettin nice, talkin bout a heist. GQ headin up to one-two-five. Push up on a shorty lookin live on the prize. I couldn't get the time of day when I was Little K. Now you call me Buck so your lips wanna puck?. Fuck that bitch, I know your X amount of thoughts. But they call me Buckshot Shorty cause I take no shorts. Word to the shell around my chest. Big up to all de massive rudebwoy pon deck. So if you see a weak nigga speak to that bastard. Or I'ma hit his ass with the motherfuckin plastic. Word life, I ain't bullshittin. Buck em down (32X). Verse Three: Buckshot Shorty. When I was in school I was a mack. Shorty was strapped with a lyrical contact. knapsack, filled with the shit that I G'd. and a nickel bag of weed, yes indeed. A mad little nigga runnin up on em all. Fly as hell, hit the park play the wall. And all the older people sayin Shorty's a bad-ass. but youse a smart little nigga so you gonna last. They knew the time and they knew the rhyme woulda. hit you in at least four years, so I came to split ya. in the nine-three it's all about me. Ninety-four ninety-five that's my years fuck it I'm takin over. In nineteen-ninety-eight I couldn't wait. To get all my niggaz and do shows from state to state. Now I'm the motherfucker that's givin instructions. Fuckin with them niggaz Beatminerz on productions. Welcome to Bucktown, U.S.A.. Where the weak niggaz get their shit ass played. Buck em down (repeat 32X). Outro: Buckshot Shorty. Aiyyo, this is goin out to all the real niggaz. who buck down the bullshit, you know what I'm sayin?. On the real, rest in peace to my nigga Buttah. in Coney Island, shit is mad real out there. you know what I'm sayin? Buckshot Shorty. Five F-T, my DJ Evil Dee. Mr. Walt, all my niggaz in the motherfucker. you know what I'm sayin? Smokin mad blunts. and just chillin. So buck down the bullshit in ninety-three. ninety-four, ninety-five, shit is ours. Black Moon, we out"
buck em down (da beatminerz remix),"[Intro: Buckshot Shorty]. Aheh yeah... yeah whattup?. Welcome to flight Black Moon, we about to take you on a journey. Yeah... brothers lookin mad fine everything's lookin smooth. I'm your captain Buckshot, my co-pilot is DJ Evil Dee. We have S-W-N-D on deck. We about to take you about 31,000 feet into the air. We'll be cruising at a smooth altitude so. just buckle up, enjoy your flight. [Verse One: Buckshot Shorty]. To the weak, what we do, buck em down, word life. Each and every individual in sight. Let my man Jewel peep your style for your card. Then I kick a verse and take a look at the God. Aiyyo God hit them brothers with a verse real quick. And show em how you represent the Boot Camp Clik. You know what they say about brothaz who screwface. Upstate your knee be gettin laced, word life. I ain't gonna bull, ask my man Buff. On the streets he was tough locked up he was sweet stuff. Kid it's hot, word to Ma Duke. and get the loot from the man at night from my Timberland. Buck with the Shot that I bang with hang with. gang hanger with the double-edged banger. Boot Camp Clik's breakin your laws. If you fake we gon bust a cap, matter fact, break your jaws. I'ma bring it to your chest like wind. Then fill your lungs up with all the bull you had within. But I'ma put it back so parlay. To the weak in Bucktown all we do everyday. [Chorus: Buckshot and DJ Evil Dee]. Buck em down!! (Wind parade). Buck em down, buck em down, buck em down. Buck em down!! (Wind parade). Buck em down, buck em down.... Buck em down!! (Wind parade). Buck em down, buck em down, buck em down. Buck em down!! (Wind parade). Buck em down, buck em down.... [Verse Two: Buckshot Shorty]. Yeah they tell me chill when I kick it. Although lyrics is wicked, it's all about the L's and how I lick it. Or how I shot somebody in the mug. with the slug leavin white chalk all on over pitch black rug. You couldn't tell me other word to mother. When I was fifteen runnin around I was a real street lover. On the corner out shootin the dice. Layin up, gettin nice, talkin bout a heist. GQ headin up to one-two-five. Push up on a shorty lookin live on the prize. I couldn't get the time of day when I was Little K. Now you call me Buck so your lips wanna puck?. Buck to your head, I know your X amount of thoughts. But they call me Buckshot, cause I take no shorts. Word to the shell around my chest. Big up to all de massive rudebwoy pon deck. So if you see a weak brotha speak to that bastard. Or I'ma hit em up with the plastic. [Chorus]. [Verse Three: Buckshot Shorty]. When I was in school I was the mack. Buck was strapped with a lyrical contact. knapsack, filled with the gear that I G'd. and a nickel bag of [inhale sound], yes indeed. A mad little brotha runnin up on em all. Fly as hell, hit the park play the wall. And all the older people sayin Shorty's a bad-ass. but youse a smart little brotha so you gonna last. They knew the time, they knew the rhyme woulda. hit you in at least four years, so I came to split ya. In the nine-four it's all about the war. Ninety-give ninety-six Boot Camp Clik is takin over. In nineteen-ninety-eight I couldn't wait. To get all my brothaz and do shows from state to state. Now I'm the original head givin instructions. Thumpin with them brothaz Beatminerz on productions. Welcome to Bucktown, U.S.A.. Where the weak, get they s- ass played. [Chorus]. [Outro: Buckshot Shorty]. Yeah, I like this. Ya know, this is hittin. to the lab, down in Bucktown, hah. I hope you enjoyed your flight. with Black Moon, word. This is how we do on the regular. And umm, please come again. Word, we out. [Wind parade]"
buckshots freestyle joint,"[Buckshot]. Sometimes you bark, and some of them they ride hip hop. Buckshot, bust cheek, my trigger pon cock. Non stop, when I rock, niggaz be on my jock. So I got flocks to carry glocks for the cops. Niggaz know my style, cause I be buckwild on the Franklin Avenue. Whatever have you please, to my man, Yoo-Yoo, spark that L. Let's get with the buddha session, back a nigga down. With my black smith & wessin, you can call me crazy. Because I hate bitches, head to the neck to the leg full of stitches. Break you fucking down, youse a clown, with my tre-pound. Fill it in your muthafuckin' chest on the ground, get down. Nigga, don't try to fight back. You be writing rhymes, and I be like, 'yo, you ain't write that'. I heard it from my nigga, and I see him down the way niggaz be on my dick. Because I'm like, yo, Mr. K, the original ill subliminal. Type shit, when I grab the mic, you be like 'yo, I wanna do hype shit'. Ups, ups, and aways wes goes. I can rock the mic because I got mad flows. Like, this, that, dilly, dally. Last time I fucked your fucking girlfriend Sally. In the alley, right up the anal. She was like yo Buckshot Shorty you bring the pain too. My type of ass like the glass filled with grass. When I'm on your dick, you know I shine like brass. Niggaz on my dick, because I gots mad strength. And when I fucked the girl, but it bleed. I go to left, I never stop, because I can rough it the top of my head. Niggaz be like; yo, Shorty, I thought you was dead. I thought you was the vein from the way they had you strained. On the last time, on the rhyme, you brung pain. To all the other MC's, like my man, Five FT. Niggaz be like, yo Shorty, can you rock the mic please. Slapped on your skills, didn't think you had it. Your gonna shoot the mic, like my main peradict, on the mic. Give a check, one, two, to the head, niggaz be on your dick. So yo, yo, just come and flip a script. [5FT.]. Back up off this little trip. To pull the muthafuckin' dozen, give a dick. So, don't you dare, press your luck. The war has begun, and I'mma about to get in. Flip a script, pick a target & I shoot to kill. Cuz I deathstalk with the glock strapped to the right. Prefer grenades cause they get the job, done right. I blow but sneeze, let niggaz know what I mean. When I get mad, I go the muthafuckin' bloodstream. Bust a bitch in her throat and watch blood spill. As I get, an ill do, she die for her own will. I'm sending bodies after bodies to the morgue. And with an autopsy, somebody had a smorgesboard. Of jealousy, I feast the heart to body parts. As I spark up that L and get dirty after dark. One time, as I blow your muthafuckin' mind. It's time for me to get ill, and commit a mad crime. I went off throat, but, I keep the flow going. Keep it going, keep it up and going, and I'm just showing you. Just a little bit, of my lyrical skills. When I go with the skills that pay the bills, when I flip. And I rip, it's time to be - ahhh, fuck it. [Buckshot]. Inside of the mind, I see. I'm the type of nigga that you call a mad freak. Cuz I'm a scorpion, Buckshot Shorty, be. In your fucking drawers, yo, sharp like claws. Always break laws, cause I hate the fucking devil. Niggaz be on my dick, cause I'm a hardcore rebel. Look at the 85, you'se a dumb, deaf and blind. I'm the type of nigga, that flip the script, I hit from behind. Like my niggaz Mobb Deep, creep on the under. Yo, where's my man, Mighty-O, pass the blunt-a. A nigga like me, because I've been ya man for years. Word up, I knocked out beers, and then we knocked out years. And all the type of shit, that we did, me just can't hang with. We grab the glocks, bang-bang, bang-bang with. Niggaz on two-third, word up, served. When we got fucked up, yo, we just smoke the pound of herb. We never gave a damn, we went blow for blow. Niggaz were on our dick, because we're toe to toe. And niggaz pulled out knives and razors. But we pull out the muthafuckin' infered lazer. Right to the head, now pull, nigga. I'mma get swift with my trigger, take a swig of the 40. On the block, to park the yard. Niggaz be on my dick because I say that I'm God. Why, cause I'm God, cause I manifest the puss'. What? And I'mma catch you down. When I hit you with the push in the mush. In the green, from the textbook. Like the Holy Koran, when I drops the bomb. I'mma take it easy, cause you not ready for me. If I say this type of shit, you might just spit, or with. But if you, get it, yo, you gotta, dig it. Now I can grab the mic, check one, can you get with it. Yo, 5 F-T, bring it back from the top of the head for me, aight?"
