opposite of adults,"Fresh kid z, fresh kid c, fresh kid p, fresh kid t (oh yeah we back) chiddy bang. and we pretty much amazing, can we hear your new song please? I got you. Hey yo I once was a kid all I had was a dream. mo money mo problems when I get it I'm a pile it up. Now I'm dope, wonderbread we can toast. So fresh how we flow, everybody get their style from us. Hey yo I once was a kid with the other little kids. now I'm ripping up shows and them fans going wild with us. Tell mommy I'm sorry, this life is a party, I'm never growing up. Remember you was a kid, reminisce, days of the innocense. Now it's Chiddy Bang, google me the images. Follow me, follow me, I'm the leader. and when I park cars I don't pay for the meter. I remember I was younger as a kid it was the best. I used to touch on all the pretty girls at recess. I'm at my peak yes, I won't leave yet. Serial style, cereal all I need's chex. I can make these rappers run like a hard drill. Rock band show you how the guitar feel. and I could care less how ya'll feel. I got a flow that make a bitch do a cartwheel. This is that good, just puff it and relax bro. and you could get it free don't worry about the tax though. Is that fool, thank you for the crack. but I play a Ron Bergundy I anchor on the track like that. Hey yo I once was a kid all I had was a dream. mo money mo problems when I get it I'm a pile it up. Now I'm dope, wonderbread we can toast. So fresh how we flow, everybody get their style from us. Hey yo I once was a kid with the other little kids. now I'm ripping up shows and them fans going wild with us. Tell mommy I'm sorry, this life is a party, I'm never growing up. Can I please get a little bit of knowledge?. Somebody tell Roth that I don't love college. Cuz the real world's kinda like Real World. and it's drama, so you are Svetlana. And I'm just a rhymer, swimming in the water. Trying to dodge the piranha, and fly to Bahamas. pretty little mama, Chiddy in the spot. Where you at pearl lady? Show me what you got. They say why you rapping for the kids for. I say my clothes come fitted, the Lids store. This summer you can catch me on a big tour. I'm high grade,I think they need to quiz more. And let me get with ya, don't let the kid hit ya. I'm the photo album for ??, big picture. The rule is, the dude is, so up so chuck I'm a cool kid. Hey yo I once was a kid all I had was a dream. mo money mo problems when I get it I'm a pile it up. Now I'm dope, wonderbread we can toast. So fresh how we flow, everybody get their style from us. Hey yo I once was a kid with the other little kids. now I'm whipping up shows and them fans going wild with us. Tell mommy I'm sorry, this life is a party, I'm never growing up"
when you've got music (feat. the knocks),"Dear music I would like to say thank you. Cause I was down in the trenches and then you came through. I was thinking Fafsa you chill me out and I'll me out. Inspiration big picture you could capture. I could do that so I focus as if I just had a dosage. Dr. Dre explosive so the people gotta notice. I double my kick game, I'm not new to stunts. I be taking hard pulls hope I don't give you the blunt. So I chill music section there or you have a deal. Now my shit is leaking everywhere just like the oil spill. Boy it's real, I assure you that he's urgent. Cause nothing in this lifetime is really ever certain. Freestyle middle school if only it was that simple. College yeah we made it, faded behind them black windows. Car drive full of smoke, yeah we blowing off steam. I spit the Paul Pierce, and never change teams. When you're feeling down and low. You can make it better when you've got music. And if you don't know where to go. You can shake it better when the beat is alright. It's alright. Yeah, I said musically, upper level that is where we soon to be. Please take off your jewelry, that's time foolery. Robin Hood, my success is good for the community. Fell in love with samples from diplomatic immunity. And now I used to shit the eat is just a spoon to me. Funny how the shit could get different it all humors me. Back in the day with no beats I would have no room to spazz. No harder budget to pay for that now that's consumer math. If they told them that I spit they would sooner laugh. Alexander Mcqueen specials that Puma has. I never feel down, this game has it's high points. Fabbing in the studio, prerequisite 5 joints. Sonicly they at the tail and I'm a hedgehog. It's Mr anything I spit will make your head nod. I think we back up on the track like let's jog. And we be rapping in arenas that's the next blog. When you're feeling down and alone. You can make it better when you've got music. And if you don't know where to go. You can shake it better when the beat is alright. It's alright"
sooner or later,"[Felexplaina Kuti]. I am going to play for you our first tune tonight it s going to be about four tunes. And the first tune, here it goes. 1, 2, 3. [Verse 1]. Now when them fights go down. Them lights go down. In villas and the village people might be round. They say that all the people gonna like me now. Because I talk about the issues in this life we found. All through the country people gettin' slain. Priority religion disobey, get hanged. I know some little kids quick to get militant. Just give them packs of the gun. They really feel the clips. They told me not to worry bout the struggle. And they don't gotta worry cause it's subtle. Tell 'em about the government takin' away the light. Aviation is ruined they say when you take a flight. Say when you take the continent from the white man threw. White man colonize wealth can't do. They fly G5 but they gotta land too. We explode like the landmines that they ran through. [Hook]. Oooooo, Ooooooo Ooooo Oooo. Oooooo, Ooooooo Ooooo Oooo. [Verse 2]. So we try palm trees in the sky. It's a beautiful day. I am just happy to be alive. I am playin' with slingshots with renewable goods. Think you got it tough because you're in the hood, negiative. I am positive you would be in upset mode. When you wear the same thing like you got a dress code. I guess I am guilty of being privileged. Cause while I am in the booth my cousin is in the village. I seen a boy with no father. His mom ain't around, life's harder. Picked up soccer he tryin' to go farther. Hair is a mess can't find him no barber. And this is what its like. When you ain't got a life. I'm all they got left. But they trying to do right. And they feel my plight. They giving them insight. I know we gotta win. So then fly me a kite. [Hook]. [Verse 3]. We get by, the weather is just right. Say good morning when I see you. Cause I gotta be polite. And I am livin' something different. Cause this can't be the life. You don't got a chance so you better focus on your plans. I try to grind like children that sell pure water. The land of the lawless muy slaughter. Negotiate your price I'll take your offer. In the market where they sell them what did that cost her. I try to chase the gold out here. But honestly its bumpy like the roads out here. And I advise if your salary is handsome. Vulu feli feli they will hold you for ransom. If you gotta take a glimpse of my family life. You will lose your mind Chris Brown on Grammy night. And this is what the news don't show. There is nothing on the table so the dudes the dude's don't grow. [Hook]. [Chiddy Bang: Speaking]. Yeah, you see what this is man. We done came through all types of os. We still got people out there now. You know what I am saying. I am doing this for my cousin Remi. We gonna make it out the village some day. Sooner....later"
dream chasin',"Eh, check the plans out. We work hard. I ain't asking for a handout. If I hit the booth I don't have to pass them grams out. And beat her well when the other thoughts ran out. They say they lost words. I got them puzzled like the cross-word. Harvard. I'm nuts, George Washington Carver. But you can never pay a boss peanuts. If it gets messy be prepared for the cleanup. But this thing called success is so strange. Because you can get notoriety and still ride the train. Make it in it's entirety and search for the fame. But I'm still Michael Phelps swimmin' in my lane. Where's Lois?. Me, I'm Superman,I'm just here to save the day. Or at least I thought I was. Til I flew in the save her. And met my opponent. I'm fighting with myself. Don't offer the condolence. I'm Dreamin. (Chorus). We Chasin' the dream. So what is life the diamonds and the gleam. Get a job while I'm doing it. Promise to stay true in it. Doin' it. But never let another soul ruin it. And things ain't what it seem. Make money to spend it. I got my scheme. Work hard while we doin' it. Promise to stay true in it. Doin' it. But never let another soul ruin it. It too haunting. The task is daunting. Trying to get the labels on board while flaunting. But, let's make some music make some money. Get the rides. European ties, have models for wives. Sometimes I feel fated to pretend. Unsafe 'cause my crib is far from gated in. I'm a relic believe slightly the psychedelic. If I could take off would you consider me angelic. Hysteric. I'm the subject and the predicate. They hatin' on me tell me wheres the etiquette. If you Goliath, I don't have to prove I'm better than. I play David, I'm a forth year letter man. So Let em' in, can you hear me knocking on the door. Hard to breathe at this altitude where the oxygen is poor. Think Benz, I don't know what Pontiac means. And this is what happens when an insomniac dreams. (Chorus). We Chasin' the dream. So what is life the diamonds and the gleam. Get a job while I'm doing. Promise to stay true in it. Doin' it. But never let another soul ruin it. And things ain't what it seem. Make money to spend it. I got my scheme. Work hard while we doin' it. Promise to stay true in it. Doin' it. But never let another soul ruin it"
4th quarter,"[Intro]. Late night whippin' it. Late night whippin' it. Late night, late night, late night, late night. [Hook]. Late night whippin' it. We're magnificent. Music bumpin' loud I am not givin' in. Why? Cause I'mma pull it in the fourth quarter. (Hey!). Yeah, I go hard in the fourth quarter. Great night livin' it. Defense dribble it. I could say you have a chance, I would just be kiddin' then. Why? Cause I'mma pull it in the fourth quarter (Hey!). Yeah, I go hard in the fourth quarter. [Verse 1]. Uh, call the swelly troops, this is victory. Remember junior high? They used to pick on me. Tell Gaga that I was born this way, became dope. And to the students, I used to be in the same boat. But when we start to pour get your rain coat. We gon' leave every motherfucker here drenched, soaked. And I'm a brainiac and this is swanky rap. Michael Sembello this Chiddy fellow's a maniac. Them haters try to locate whatever plane he's at. Droppin' anvils on him it's Animaniacs. Halftime superstar, fourth quarter legendary. They say that I was droppin' all mixtapes allegedly. [Hook]. [Verse 2]. And this is just some fourth quarter antics. Who are you kidding? We be on some grown man shit. Text a chick cause I'm handsome, next we're spittin' at mansion. I bet you this, you ain't next to this. Cause my flow is like a light tantrum. And if you feelin' swelly, this is your anthem. Passport gettin' used up please stamp 'em. Said that shorty in the lobby a dancer. She down to get it? Yes is the obvious answer. I'mma spend this money, make it back. Gettin' first place in fact. Cause we give 'em dope, Xaphoon he could lace the tracks. Baggies is purple and yellow just like a Laker hat. You don't fuck with Chiddy I see you rockin' your hater hat. I finish strong, they don't call me no more. Be the star they adore if you go hard in the four. One time, let the game simmer. I fuck around and hit the game winner. [Hook]"
all things go,"[Verse 1]. It started off with a rhyme and a dream. Made it the greatest and the latest. now we fresh on the scene. Got the sample for the kids; won't you ever grow up?. Went to Drexel and had classes, but I never showed up. I was writing all day 'til my hands would hurt. Professors didn't appreciate it, called me a jerk. New boy need to learn, but I never would. Pay attention in school is something that I never could, uh. And know with a beat, gotta be steaming. And we could work wonders over logic and reason. We on the hype, now they call it a buzz. And how we get the party popping, Baltimore club, uh. MySpace they could replay next. And you gotta have Xaph for the DJ set. No matter how they ever play us, they can never replace us. And any way you slice it now, homey, they can't take us. [Hook - Sufjan Stevens]. You came to take us, all things go, all things go. To recreate us, all things grow, all things grow. We had our minds set, all things known, all things known. You had to find it, all things go, all things go. [Verse 2]. Say hello to the game, the people know my name. And do they really love us or is this just a fling?. And we be Peter Parker in love with the Mary Jane. So many people gone, so many people came. And, this that brand new spontaneous. Dope flow, intravenous, miscellaneous grinding. Better late than never, I'm calling it perfect timing. But we gon' have a little bit of fun cause when it's all done. You throw your sneaks up and call it a good run. I admit, that I would never rather them burn me. I don't know where I'm headed. but I know it's a journey. And my bags is packed, so can you hand me my itinerary?. I get attention like a soldier in the military. This is what you gotta notice today. We promise to make sure they never throw us away. [Hook]. You came to take us, all things go, all things go. To recreate us, all things grow, all things grow. We had our minds set, all things known, all things known. You had to find it, all things go, all things go"
baby roulette,"CHORUS (TRAIN):. I hope you know that I'm for real. My love is Super Size, ain't no Happy Meal. But if I'm gonna stay (Got to wear a glove if we're gonna make love). I don't wanna play. Baby roulette. Baby roulette. VERSE 1:. Yeah uh, we used to get it into college. I ain't learn shit, forgot a lot of knowledge. The snow bunnies had the odds, boots would love swoops. You fall in love with them business majors that love suits. But shorties great right? This how we play live. Sent her a message like insomnia in on the late night. I know there's sharks in the water, but fuck a great white. My girl won't know you said you go Penn State right?. We playing baby roulette. So I delete all the messages I ain't save in the text. Next, they can't wait to hear a player confess. But shortie, you bullshit and remove that layer of dress. Yes, and this is that crazy shit. I think that it is that ""I'm gonna have a baby"" shit. But you're someone I cannot have a baby with. Just pass the blunt cause baby I ain't gonna babysit. CHORUS (TRAIN):. I hope you know that I'm for real. My love is Super Size, ain't no Happy Meal. But if I'm gonna stay (Got to wear a glove if we're gonna make love). I don't wanna play. Baby roulette (yeah it's like). Baby roulette. VERSE 2:. Yeah uh, and maybe it's the way I'm loving her lady lips. Part time waitress chick saving tips. And I'm still a part of some Pretty Much Amazing shit. So roll a window up, baby we finna take this hit. We on the top floor, that's what the game bring. My love is Super Sized, and I'mma let Train sing. And could we chill what we do is what you assume. Late night I just hit, but her roommate was in the room. Like damn, could we do this every weekend?. The baddest chicks on campus, I need them. And I don't hate the women, so I'm prepared for love. But if we make it then of course I'm gonna wear a glove. I'm your savior, I'mma text you when I can. She falling for me, so I'm gonna catch her when I can. And when I call you we back on, loving you with the strap on. A bald head in the winter, I keeps my hat on. CHORUS (TRAIN):. I hope you know that I'm for real. My love is Super Size, ain't no Happy Meal. But if I'm gonna stay (Got to wear glove if we're gonna make love). I don't wanna play. Baby roulette. Baby roulette"
breakfast,"VERSE 1:. When the bass knock, the beat so hard. Got the 808 drum to make your face knot. Other rappers they chill, but we still flow ill. Got the shit to make you rock like Aesop. We gon' stay hot, that's forever and ever. Like a vacay where the weather is better. Flyer than a bird we ain't on the same feather. Track number two: Never. We onto new things. The type of jam to get loose with. And when they play us on the radio. Who's this?. Change the rules. Throw away the rubric. And if you paid you can only be useless. Hella smoke. We be ridin' straight Snoop shit. And I ain't never told a lie. See the truth is. And we do this to the snare. Live from the home of the Prince of Bel-Air. Well if you ain't got it you can straight welfare. And you can tell where. Above and beyond. Pro James Bond. And this fly shit is a part of me. And don't I keep it flowing like an artery?. Take cash, trees never shatter. We ain't step it up. We just raise up the ladder. Gaze at us when we race past. Brand new Chiddy with the Ms. Kate Nash. KATE NASH SAMPLE:. Skeleton you are my friend. But you are made of bone. And you have got no flesh and blood. Running through you to help protect the bone. Skeleton we have been friends for years. And you have seen me through some trials. And tribulations and some tears. But everybody thinks I'm weird. . VERSE 2:. Yeah me too. Keep a bad chick right near me, too. Can you hear me dude?. You understand. The words comin' out of my mouth. Swelly no doubt. Prolly in a robot or exit. Rapless on a plane eating breakfast. Not an SAT so don't test this. Your favorite rapper cool. But we be on some next shit. Calamari, I'm sorry we got the best food. I'm in the lab and a fetus like a test tube. From where it's hotter than a sauna. If you are arriving then you're probably a goner. Yeah they may ball. But they're probably Juwanna. And whenever I am off. Then I'll probably be on her. I get to zone in, and then I zone off. For this fly shit you gotta cut your phone off. Phone lost, higher at the telegan. This is not a freestyle. It's a skeleton. Skinny rapper in the room. I'm an elephant. Stay clear for all the birds and the pelican. Shake the bass, and then we take the place. All swell, Carvel, this takes the cake. F shakes the snakes. Pushing down the stairwell. And this is live from the pilot, Air Swell. KATE NASH SAMPLE:. And I should have known. That it wouldn't be long. Until you, you've got me standing in an awkward position. . [By:ludias]"
by your side,"[Hook]. I'll always be by your side. I'll always be by your side. [Verse 1]. Yeah, this right here is for all of the chicks right here. That knew how to sing my shit right here. The love that I'm sharing you have no idea. And they are too swelly, all seem ready. ""When you 'gon come to my town already?"". Tell 'em in no time, have to grow time. Last year I had loans with a co-sign. Honeys say, ""Chiddy you are out of yo mind"". Once I get the green like it's go time. And my outlook positive, pro time. But these niggas so soup like wontons. For the girls that be chillin' all really. Smoke a little bit, they be feelin' all silly. Bring ya tight shit, she a duchess. Tell her bring Dutches and she the one rollin' on Philly. She a pothead, buy her own trees she got bread. We happy and we single and we colored. But, bang bang bang like Pop said. I could get that 2pac bread, not dead. But tellin' them girls to keep their head up. Know you got the nice ship, know you so fed-up. When I'm in your city I promise we might get up. So don't trouble me, get two cars that's double V's. I'm in the hotel on the top floor. She come through and we'll smoke double tree. Love will see. She comes first, then I arrive. Sunshine, this little light of mine. February 14th Valentine. And Chiddy always gon' be by your side, by your side. [Hook]. [Verse 2]. Uh, uh, she's the leader of my fan club. So I show her damn love. It don't really matter if she with you. She always gon' show her man love. Lovin' how she dress so nicely. And the shit she rock oh so pricey. Had to cut her man out cause he ain't have swells. She sayin' he was tryin' to be like me. I said damn, damn, mini me's. We deserve to get a Emmy please. So let me roll up my Vendi sleeves. While she roll up those Cali trees. She got all my cheese, that's Chiddy merchandise. I gave her swelly shorts and she work 'em right. Head to the back, head to the clouds. Although we keep it quiet, we blowin' all out. Home-style raps just to make my mom proud. Please don't turn me off, tell your friend we on now. We gone now, old school kickin' in rolled chains. I tell her let me sign on. And then she tellin' me ""Go daddy"" and then I log on. The domain, so vain. She could come aboard this motherfuckin' Soul Train. And I spit the new shit, then you gettin' stupid. When you give me your whole brain, oh mayne. I oblige, shorty come through when I arrive. I give her the feeling like when you high and dry. And I'mma always be by your side, by your side. [Hook]"
cameras,"Can I take a picture and ask for the permission?. And you don't really have to, homie it's your decision. So nervous, showing your friends is the only purpose. And you just wanted something that would make it all worth it. Well here's a ticket, I would gladly oblige. You saw me from afar so a scheme you had to devise. And I said baby you fine, had some things on my mind. You slip me your number, said call me at a moment in time. Don't mind if I do, hashtag time is money. So I'm focused on putting some extra paper in my cashbag. If I was broke bummy, that would be inadequate. But if they trying to get swelly, then I'm the advocate. Shit it's a piece of cake, oven full easy bake. Used to steal my brother's carD, now I'm not gon' need a fake. It's Peanut Butter And Swell. We just living in the moment if you can't tell. No time for cameras. We'll use our eyes instead. No time for cameras. We'll be gone when we're dead. No time for cameras. We'll use our eyes instead. I see flashes of gold. Ayo the cameras was ill, that was a great look. If I accept you, please don't tag me on Facebook. I know you trying to be personable. But you don't gotta hit the tag to feel personal. Yeah these days, pussy, money, weed, need three things. Shit I'm prepared to grapple with whatever these brings. Spazzing on tracks at home, on calm things. And planning getaway dates with your girl in Palm Springs. But that's neither here nor there, we be flying everywhere. Yeah I am the pilot of the newly launched Swelly Air. And what city are we headed to and where's the telly there?. We gon' need some dutches there, we gon' hit the deli there. That's if you're wondering, fanfare humbling. I be on my Twitter shit, she be on Tumbling. And it's fine Matt & Kim, this is just a sample I. Ripping the stages then dealing with all the camera time. No time for cameras. We'll use our eyes instead. No time for cameras. We'll be gone when we're dead. No time for cameras. We'll use our eyes instead. I see flashes of gold"
