undecided,"No, I don't say it often. And I probably should've told you. I hurt this bad, I know. And I probably shouldn't want this so bad. It's weighing, weighing on me. Don't wanna wake up in the mornin'. Cannot undo what we did in this bed. And I can't get you out, so I gotta go. No, I'm not ready for, you want me all alone. But I'm undecided, excited, ignited. And I don't wanna feel the way I do, but I like it. Look at all these sparks flying. But I'm still indecisive. And she want me to wife it. But I'm undecided. I know I shouldn't be doing this. But here we go again. Girl, you know that pussy is my weakness. Girl, you got me addicted. When you switching positions. You tell me, ""Shut up"". And you know I listen, I hate it. Wish I never did it. I can't keep sinning and pretending. I'm taking off your clothes. We getting sexual. Hit it so good, think I'll propose. I don't know but. I'm undecided, excited (Oh yeah, yeah, yeah, yeah). ignited (Oh, yeah, yeah, yeah, yeah, huh). And I don't wanna feel the way I do, but I like it. Look at all these sparks flying (All these, all these). But I'm still indecisive ('Cause you want me). And she want me to wife it. But I'm undecided. Do-do-do-do-do-do-do. Do-do-do-do-do-do-do. Do-do-do-do-do-do-do-do. Oh, no, I'm undecided. Do-do-do-do-do-do-do, yeah. Do-do-do-do-do-do-do, I said I just don't know. Do-do-do-do-do-do-do-do. Ayy, 'cause I'm undecided. No, no, baby. I'm afraid of your love. Oh, ooh, you got me baby. 'Cause I can't get enough, oh-woah. But I'm undecided, excited (Oh, yeah, yeah, yeah, yeah). ignited (Oh, yeah, yeah, yeah, yeah, huh). And I don't wanna feel the way I do, but I like it. Look at all these sparks flying. But I'm still indecisive. And she want me to wife it. But I'm undecided. Do-do-do-do-do-do-do. Do-do-do-do-do-do-do. Do-do-do-do-do-do-do-do. No, no, oh, no, and I want it (I'm undecided). Do-do-do-do-do-do-do, ayy. Do-do-do-do-do-do-do, no, no, no, no. Do-do-do-do-do-do-do-do. Ooh, but I'm undecided"
with you,"I need you boo. I gotta see you boo. And there's hearts all over the world tonight. Said there's hearts all over the world tonight. I need you boo. I gotta see you boo. And there's hearts all over the world tonight. Said there's hearts all over the world tonight. Hey lil' mama, ooh you're a stunner. Hot little figure, yes you a winner, and. I'm so glad to be yours. You're a class of your own and. Ooh little cutie, when you talk to me. I swear the whole world stops. You're my sweetheart and. I'm so glad that you're mine. You are one of a kind, and. You mean to me what I mean to you. And together baby there is nothing we won't do. 'Cause if I got you. I don't need money. I don't need cars. Girl you're my all. And oh, I'm into you and. Girl no one else would do. With every kiss and every hug. You make me fall in love. And now I know I can't be the only one. I bet there's hearts all over the world tonight. With the love of their life who feel. What I feel when I'm with you, with you, with you,. with you, with you... girl. With you, with you, with you, with you, with you... Oh girl. I don't want nobody else. Without you there's no one left, and. You're like Jordans on Saturday. I gotta have you and I cannot wait now. Hey lil shorty, say you care for me. You know I care for you. You know that I will be true. You know that I won't lie. You know that I will try. Be your everything. 'Cause if I got you. I don't need money. I don't need cars. Girl you're my all. Oh, I'm into you and. Girl no one else would do. With every kiss and every hug. You make me fall in love. And now I know I can't be the only one. I bet there's hearts all over the world tonight. With the love of their life who feel. What I feel when I'm with you, with you,. with you, with you, with you... ohhh. With you, with you, with you, with you, with you... Yeah. And I will never try. To deny that you are my whole life. 'Cause if you ever let me go. I would die so I won't run. I don't need another woman. I just need you or nothing. 'Cause if I got that. Then I'll be straight. Baby you're the best part of my day. I need you boo. I gotta see you boo. And there's hearts all over the world tonight. Said there's hearts all over the world tonight. They need their boo. They gotta see their boo. Said there's hearts all over the world tonight. Hearts all over the world tonight. And oh, I'm into you and. Girl no one else would do. With every kiss and every hug. You make me fall in love. And now I know I can't be the only one. I bet there's hearts all over the world tonight. With the love of their life who feel. What I feel when I'm with you, with you, with you,. with you, with you... ohhh(girl). With you, with you, with you, with you, with you... ohhh. With you, with you, with you, with you, with you.... With you, with you, with you, with you, with you.... Baby yeah"
say goodbye,"Baby come here and sit down, let's talk. I got a lot to say so I guess I'll start by. Saying that I love you,. But you know, this thing ain't been. No walk in the park for us. I swear it'll only take a minute. You'll understand when I finish, yeah. And I don't wanna see you cry. But I don't wanna be the one to tell you a lie so. [HOOK]. How do you let it go? When you,. You just don't know? What's on,. The other side of the door. When you're walking out, talk about it. Everything I tried to remember to say. Just went out my head. So I'ma do the best I can to get you to understand. [CHORUS]. There's never a right time to say goodbye. But I gotta make the first move. 'Cause if I don't you gonna start hating me. Cause I really don't feel the way I once felt about you. Girl it's not you, it's me. I kinda gotta figure out what I need. There's never a right time to say goodbye. But we know that we gotta go. Our separate ways. And I know it's hard but I gotta do it,. And it's killing me. Cause there's never a right time. Right time to say goodbye. But now your heart is breaking. And a thousand times I. Found myself asking, ""Why? Why?"". Why am I taking so long to say this?. But trust me, girl I never. Meant to crush your world. And I never. Though I would see the day we grew apart. And I wanna know. [HOOK]. How do you let it go? When you,. You just don't know? What's on,. The other side of the door. When you're walking out, talk about it. Girl I hope you understand. What I'm tryna say.. We just can't go on. Pretending that we get along. Girl how you not gonna see it?. [CHORUS]. There's never a right time to say goodbye. But I gotta make the first move. 'Cause if I don't you gonna start hating me. Cause I really don't feel the way I once felt about you. Girl it's not you it's me.. I kinda gotta figure out what I need. There's never a right time to say goodbye. But we know that we gotta go. Our separate ways. And I know it's hard but I gotta do it,. And it's killing me. Cause there's never a right time. Right time to say goodbye. Listen to your heart. Girl you know,. We should be apart, baby I. I just can't do it. I, I just can't do it. Listen to your heart. Girl you know,. We should be apart, baby I. I just can't do it. And sometimes it makes me wanna cry. Ooh, ooh, ooh, ooh, ooh, ooh, ooh [4x]. Do you hear me crying?. [CHORUS]. There's never a right time to say goodbye. But I gotta make the first move. 'Cause if I don't you gonna start hating me. Cause I really don't feel the way I once felt about you. Girl it's not you it's me.. I kinda gotta figure out what I need. There's never a right time to say goodbye. But we know that we gotta go. Our separate ways. And I know it's hard but I gotta do it,. And it's killing me. Cause there's never a right time. Right time to say goodbye. [CHORUS]. There's never a right time to say goodbye. But I gotta make the first move. 'Cause if I don't you gonna start hating me. Cause I really don't feel the way I once felt about you. Girl it's not you it's me.. I kinda gotta figure out what I need. There's never a right time to say goodbye. But we know that we gotta go. Our separate ways. And I know it's hard but I gotta do it,. And it's killing me. Cause there's never a right time. Right time to say goodbye"
no air,"Tell me how I'm supposed to breathe with no air?. If I should die before I wake. It's cause you took my breath away. Losing you is like living in a world with no air, oh. I'm here alone, didn't wanna leave. My heart won't move, it's incomplete. Wish there was a way that I can make you understand. But how. Do you expect me, to live alone with just me?. Cause my world revolves around you. It's so hard for me to breathe. Tell me how I'm supposed to breathe with no air?. Can't live, can't breathe with no air. That's how I feel whenever you ain't there. There's no air, no air. Got me out here in the water so deep. Tell me how you gon be without me?. If you ain't here, I just can't breathe. There's no air, no air. No air air, No air air. No air air, No air air. I walked, I ran, I jumped, I flew,. Right off the ground to flow to you. There's no gravity to hold me down, for real. But somehow I'm still alive inside. You took my breath but I survived. I don't know how but I don't even care. So how do you expect me, to live alone with just me?. Cause my world revolves around you. It's so hard for me to breathe. Tell me how I'm supposed to breathe with no air?. Can't live, can't breathe with no air. That's how I feel whenever you ain't there. There's no air, no air. Got me out here in the water so deep. Tell me how you gon be without me?. If you ain't here I just can't breathe. There's no air, no air. No air air, No air air. No air air, No air air. No more. No air. Baby. There's no air, no air. Tell me how I'm supposed to breathe with no air?. Can't live, can't breathe with no air. That's how I feel whenever you ain't there. There's no air, no air. Got me out here in the water so deep. Tell me how you gon be without me?. If you ain't here I just can't breathe. There's no air, no air. (Do you expect me, to live alone with just me. Cause my world revolves around you,. It's so hard for me to breathe). Tell me how I'm supposed to breath with no air?. Can't live, can't breathe with no air. That's how I feel whenever you ain't there. There's no air, no air. Got me out here in the water so deep. Tell me how you gonna be without me?. If you ain't here I just can't breathe. There's no air, no air. No air air, No air air. No air air,. No air"
"look at me now (feat. lil wayne, busta rhymes)","(Intro - Chris Brown). I don't see how you can hate from outside of the club. You can't even get in. Hahaha, lego!. Yellow model chick. Yellow bottle sipping. Yellow Lamborghini. Yellow top missing. Yeah, yeah. That shit look like a toupee. I get what you get in 10 years, in two days. Ladies love me, I'm on my Cool J. If you get what I get, what would you say?. She wax it all off, Mr Miyagi. And them suicide doors, Hari Kari. Look at me now, look at me now. Oh, I'm getting paper. Look at me now. Oh, look at me now. Yeah, fresher than a motherfucker. Lil nigga bigger than gorilla. Cause I'm killing every nigga that try to be on my shit. Better cuff your chick if you with her, I can get her. And she accidentally slip and fall on my dick. Ooops I said on my dick. I ain't really mean to say on my dick. But since we're talking about my dick. All of you haters say hi to it. I'm done. (Busta Rhymes). Ayo Breezy. Let me show you how to keep the dice rolling. When you're doing that thing over there homie. Lets go!. Cause I'm feeling like I'm running. And I'm feeling like I gotta get away, get away, get away. Better know that I don't and I won't ever stop cause. You know I gotta win everyday day, day. See they don't really wanna pop me. Just know that you would never flop me. And I know that I can be a little cocky. You ain't never gonna stop me. Every time I come a nigga gotta set it,. then I gotta go, and then I gotta get it. Then I gotta blow, and then I gotta shudder. any little thing that nigga think he be doing. Cause it doesn't matter cause I'm gonna dadadada. Then I'm gonna murder every thing and anything a badaboom. a badabing. I gotta do a lot of things,. and make it clearer to a couple niggas. That I'm always winning and I gotta get it again, and again,. and again. And I be doing it to death and now I move a little foul. A nigga better call a ref, and everybody know. my style. And niggas know I'm the the best when it come to doing this. And I be banging on my chest, and I bang in the east. and I bang in the west. And I come to give you more and I will never give you less. You will hear it in the street or you can read it in the press. Do you really wanna know whats next? lets go. See the way we on and we all. up in the race and you know. We gotta go, don't try to keep up with the pace. We struggling and hustling and sending in and getting in. And all we gotta do is take it to another place. Gotta taste it and I gotta grab it. And I gotta cut all through his traffic. Just to be at the top of the throne. Better know I gotta have it, have it. (Chris Brown). Look at me now, look at me now. Oh, I'm getting paper. Look at me now. Oh, look at me now. Yeah, fresher than a motherfucker. (Lil Wayne). Man fuck these bitch ass niggas, how y'all doin'?. I'm Lil Tunechi, I'm a nuisance, I go stupid,. I go dumb like the 3 stooges. I don't eat sushi, I'm the shit, no I'm pollution,. no substitution. Got a bitch that play in movies in my jacuzzi,. pussy juicy. I never gave a fuck about a hater, got money on. my radar. Dress like a skater, got a big house,. came with a elevator. You niggas ain't eatin', fuck it, tell a waiter. Marley said shoot 'em, and I said okay. If you wanted bullshit then I'm like olay. I don't care what you say, so don't even speak. Your girlfriend a freak like Cirque Du Soleil. That's word to my flag,. and my flag red. I'm out of my head, bitch I'm outta my mind,. from the bottom I climb. You ain't hotter than mine, nope, not on my time. and I'm not even trying. Whats poppin' Slime? nothin' five, and if they trippin'. fuck 'em five. I ain't got no time to shuck and jive,. These niggas as sweet as pumpkin pie. Ciroc and sprite on a private flight, bitch I'm enticing. Guiding light, and my pockets white, and my diamonds white. And my mommas nice and my daddy's dead. You faggots scared cause I'm too wild,. been here for a while. I was like fuck trial I puts it down. I'm so Young Money, if you got eyes. look at me now bitch. (Chris Brown). Look at me now, look at me now. Oh, I'm getting paper. Look at me now. Oh, look at me now. Yeah, I'm fresher than a motherfucker. Okay, okay. Is that right?. I'm fresher than a motherfucker"
kiss kiss (feat. t-pain),"Yo this is nappy boy radio live. Wit' ya boy t-pain. We love rap music. Listen, uh we got a caller on line one. Caller what's your problem:. Caller-. Hello, I'm on the radio with t-pain. (how's it goin, yea). It ain't goin good. My girl ain't doin her thang she used to do.... (t-pain). Well, I got just what you need. Brand new chris brown, t-pain. You heard it. Hear first nappy boy radio. We love ya... Hey.... She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Her mind she fantasize bout' gettin' wit' me. They hatin' on me (hatin' on me). They only kiss kiss (kiss kiss). Cause' she mine, and so fine. And thick as can be. She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Her mind she fantasize bout' gettin' wit' me. They hatin on me (hatin' on me). They only kiss kiss (kiss kiss). Cause' she's mine, and so fine. And thick as can be. I'm a country boy from tappahannock (aaooo). Va is where I reside. So shawty understand it (aaooo). And u know I just turned 18. Can get a little manish. And you see this bandana hangin. That means I'm like a bandit. Like-like a bandit-bandit. (aawwww, ruff). I got paper girl (ruff). The lamborghini (ruff). With the spider seats (ruff). You've never seen it (aaooo). So get it shawty. We parking' lot pimpin' in my dome. And I know what you want. She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Her mind she fantasize bout gettin wit' me. They hatin' on me (hatin' on me). They wanna kiss kiss (diss diss). Cause' she mine, and so fine. And thick as can be. She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Cause mind she fantasize bout' gettin' wit' me. They hatin' on me (hatin' on me). They only diss kiss (kiss kiss). Cause she's mine, and so fine. And thick as can be. I'm the epitamy of this demonstration. I got the remedy. Ya feelin' me. So why is you hatin' on my anatomy. It's bird like (yeah). You heard right. Girl I'm the king so that means that I'm black (ruff). If you wit it girl (ruff). Get it poppin (ruff). Roll wit me (ruff). ain't no stoppin (aaooo). So get it shawty. We parking lot pimpin in my dome. And I know what you want. She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Her mind she fantasize bout' gettin' wit' me. They hatin' on me (hatin' on me). They only kiss kiss (kiss kiss). Cause' she mine, and so fine. And thick as can be. She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Her mind she fantasize bout gettin wit' me. They hatin' on me (hatin' on me). They only diss kiss (kiss kiss). Cause' she's mine, and so fine. And thick as can be. (t-pain). Aye- aye- aye. Shawty lemme holla at you. You so hot hot hot hot. You ain't got me hollin' if you not not not not. I'm king of the town you can take a look around. Teddy bend her ass down in the spot spot spot spot. (yeaah) I got money on me. (yeaah) baby girl no problem. (yeaah) see me rollin' shawty?. (yeaah) let's hit mcdonalds (ruff). It's tp and cb. I'ma nappy boy. Uh-er-oh-uh-uh. Oooooowweeeeeee!!!!. She want that lovey dovey, oh (lovey dovey). That kiss kiss (kiss kiss). Her mind she fantasize bout' gettin' wit' me. They hatin' on me (hatin' on me). They wanna diss kiss (kiss kiss). Cause' she's mine, and so fine. And thick as can be. She want that lovey dovey (lovey dovey). Kiss kiss (kiss kiss). Her mind she fantasize bout' gettin' wit' me. They hatin' on me (hatin' on me). They only diss kiss (kiss kiss). Cause' she's mine, and so fine. And thick as can be. (chris brown). Yeahhh. (t-pain). We are live back on nappy boy radio live ( ok, yeahh ). This is your boy dj-pain. I gotta get outta hurr man. I just wanna leave wit. If you ain't got it by now then. You just ain't gettin' it. We love ya. Nappy boy (aaaa) and pretty boy (aaaa). Nappy boy (aaaa) and pretty boy (aaaa). Nappy boy (aaaa) and pretty boy (aaaa). Nap nap nap nap, n' pretty boy! (aaaa). (t-pain). Five, four, three, zero, yeah.."
"loyal (feat. lil' wayne, tyga)","Young Mula, baby. (Haha, you thought it was over? Let me see). [Lil Wayne]. I wasn't born last night. I know these hoes ain't right. But you was blowning up. Her phone last night. But she ain't have her ringer. Nor her ring on last night, oh. Nigga, that's that nerve. Why give a bitch your heart. When she rather have a purse?. Why give a bitch your inch. When she rather have nine?. You know how the game goes. She be mine by half time, I'm the shit, oh. Nigga, that's that nerve. You all about her, and she all about hers. Birdman Junior in this bitch, no flamingos. And I done did everything but trust these hoes. (CB fuck with me!). [Chris Brown]. When a rich nigga want you. And your nigga can't do nothing for ya. These hoes ain't loyal. These hoes ain't loyal. Yeah, yeah, let me see. Just got rich. Took a broke nigga's bitch. I can make a broke bitch rich. But I don't fuck with broke bitches. Got a white girl with some fake titties. I took her to the bay with me. Eyes closed smoking marijuana. Rolling up that Bob Marley, I'm a rasta. She wanna do drugs, smoke weed, get drunk. She wanna see a nigga trap. She wanna fuck all the rappers. When a rich nigga want you. And your nigga can't do nothing for ya. These hoes ain't loyal. These hoes ain't loyal. Yeah, yeah, let me see. Black girl with a big booty. If she a bad bitch, let's get to it (right away). We up in this club. Bring me the bottles. I know girl, that you came in this bitch with your man. That's a no-no girl. All this money in the air. I wanna see you dance. Just got rich. Took a broke nigga's bitch. I can make a broke bitch rich. But I don't fuck with broke bitches. When a rich nigga want you. And your nigga can't do nothing for ya. These hoes ain't loyal. These hoes ain't loyal. Yeah, yeah, let me see. [Tyga]. Rich young nigga. Name got bigger and my change got bigger. So my chains got bigger. Ferrari, Jaguar, switching four lanes. With the top down screaming out, ""money ain't a thing"". Hah, me and CB in the bay with her. Send her back home. So you can lay with her. Okay, let's talk about this ice that I'm carrying. All these karats like I'm a fucking vegetarian. Shout-out Weezy F. , keep a red bone wet. Rose rolex, hoes on deck. She know I got a check. Do it too good when she ride that dick. Man I wouldn't trust that bitch, no!. [Chris Brown]. Come on, come on, girl. Why you fronting?. Baby show me something. When I call her, she gon' leave. And I bet that bottom dollar she gon' cheat. Come on, come on, girl. Why you fronting?. Baby show me something. You done spent your bread on her. And it's all for nothing. When a rich nigga want you. And your nigga can't do nothing for ya. These hoes ain't loyal. These hoes ain't loyal. Yeah, yeah, let me see. When a rich nigga want you. And your nigga can't do nothing for ya. These hoes ain't loyal. These hoes ain't loyal. Yeah, yeah, let me see. These hoes ain't loyal"
back to sleep,"I know it's late, I know it's late. And baby I can't focus, focus. I just flew in until the day. I'm hoping that you notice, did you notice?. I just posted my landing, oh. Wondering if the same old understanding, stands. I know you got work pretty early, I'll be around 'bout 3: 30. Usually you done by one. So baby when I wake you up. Just let me rock. Fuck you back to sleep girl. Don't say a word no, don't you talk. Just hold on tight to me girl. Fuck you back to sleep girl, rock you back. Now where you at? Just dropped my bags. I'm coming through to meet ya, oh yeah, to meet ya oh. I know you're almost half asleep. But you know I might just need ya. Girl I need ya, oh. Gon' gimme that spare key, oh. But if you keep the door unlocked, be ready, oh. I know you got work pretty early, I'll be around by 3: 30. Usually you're done by one. So baby when I wake you up. Just let me rock. Fuck you back to sleep girl. Don't say a word no, don't you talk. Baby just hold on tight to me girl. Fuck you back to sleep girl, rock you. Ain't sorry that I woke ya. I ain't sorry 'bout ya job. Call sick in the morning. So I can get a little bit more of your love. I know you want me, how you feel me. Cause you never disagree. So when you wake from your sleep, girl. Just let me rock. Fuck you back to sleep girl. Don't say a word no, girl don't you talk. Just hold on tight to me girl. Fuck you back to sleep girl, and rock you back. Ain't sorry that I woke ya. I ain't sorry 'bout ya job. Fuck you back to sleep girl. Call sick in the morning. So I can get a little bit more of your love. Ain't sorry that I woke ya. I ain't sorry 'bout ya job. Fuck you back to sleep girl. Call sick in the morning. So I can get a little bit more of your love"
gimme that,"Storchs dot (oo). The dynamic duo. Wo-womp, wonp, wo-womp, womp, wo-womp, (aah!). Wo-womp, it's what you bodys'sayin. Wo-womp, wonp, wo-womp, womp, wo-womp. Wo-womp, chris brown is in the buildin'. The young boy just turned 16, and I got. 6-4's and hot bikes that I rock. Keep 3 or 4 sweeties on my clock. But all that swingin in that bikini just make 'em dizzy. Slow all the traffic down to a complete stop. Caus you speakin that slang that I talk. That sassy tempo with that walk. Maybe the reason that all these teenies. May never see me. Mama you may be 3 years older. But you hot. Gimme that. You be talking like you like what I got. Gimme that. I know you like it how I lean In a 'lac. You could be in the back sayin. Gimme, gimme, gimme. Ma, take a break let me explain to you. What your body got a young boy. Ready to do. If you take a chance to let me put. Them this on you. I can show you why I make them. Straigt a's in school. I'm a hustla, trust my frame and age. Got you thinking that I'm just too. Young to turn your page. I can picture us switchin lanes. In the coupe with you on the phone. Screamin my name (chris). Mama you may be 3 years older. But you hot. Gimme that. You be talking like you like what I got. Gimme that. I know you like it how I lean In a 'lac. You could be in the back sayin. Gimme, gimme, gimme. Wo-womp, wonp, wo-womp, womp, wo-womp. Girl you serius and I be watchin you. Wo-womp, wonp, wo-womp, womp, wo-womp. This what your body's sayin. Wo-womp, wonp, wo-womp, womp, wo-womp (yeahh). Wo-womp, wonp, wo-womp, womp, wo-womp. This what your body's sayin (oww). Mama you may be 3 years older. But you hot. Gimme that. You be talking like you like what I got. Gimme that. I know you like it how I lean In a 'lac. You could be in the back sayin. Gimme, gimme, gimme. Mama you may be 3 years older. But you hot. Gimme that. You be talking like you like what I got. Gimme that. I know you like it how I lean In a 'lac. You could be in the back sayin. Gimme, gimme, gimmee. Yeah, ahah. Yeah, ma don't be, frontin'like you. Don'tknow what's goin'on. Right, yeah"
yo! (excuse me miss),"Whoa. Whoa. Do do do do do. Yeah. Yeah. [verse 1:]. Yo. Tell me fellas have you seen her? (seen her). It was about five minutes ago. When I seen the hottest chick. That a young'n never seen before. I said yo. Tell her girls I want to meet her (meet her). On second thought that ain't the way to go. I got give her game proper. Spit it so she'll get it. There she is I got to stop her. Or should I talk about her smile (its been said before). Or what about her style (too obvious). I'm outta time. she's out the door. I gotta go for mine. I think I'll say. [chorus:]. Yo. I don't know your name but excuse me miss. I saw you from across the room. And I got to admit that you got my attention. You're making me want to say yo. I know you're trying to leave. but excuse me miss. I save the last dance for you. How I'd love to keep you here with me oh baby. [verse 2:]. Now shorty grab hold of my hand. And let's pretend the floor is ours. You say you don't really dance. Don't worry about it. We'll just 1, 2 step. 1, 2 Step. Now if the music is moving too fast. Grab my hand a little tighter. Don't be afraid to move a little closer. Girl, there is something about you that makes me want to say. [chorus:]. Yo. I don't know your name but excuse me miss. I saw you from across the room. And I got to admit that you got my attention. You're making me want to say yo. I know you're trying to leave. but excuse me miss. I saved the last dance for you. How I'd love to keep you here with me oh baby. [breakdown:]. I wanna be where you are. Ain't nothing wrong with dancing. Baby it's so romantic. Baby I can be in your heart. So many things I want to tell you. I think that I should start by saying yo. I don't know your name excuse me miss. I saw you from across the room. I got to give her game proper. Spit it so she can get it. There she is- I got to stop her. I know your trying to leave. but excuse me miss. I saved the last dance for you. How I'd love to keep you here with me oh baby. [spoken:]. Now everbody just clap your hands like this (like this). Just clap your hands like this (whoo like this). And if your shorty in the house tonight. Just grab her by the hand homie. Make her understand yall was made to dance like this. (like this). Yall was made to bounce like this (whoa like this). Just let her know she was made for you. And you want to do everything she want to man. [laughs]. Whoo!"
