fall in love,"[Verse 1:]. Girl you got me acting unpredictable, so unpredictable so unpredictable, my emotions they got me all outta control. [Pre Hook:]. I don't know what you feel but you make me feel like this love is real, girl I get the chills down my spine, it feels so right I can't deny, there's something about ya love.. [Chorus:]. Something about ya love, it's got me thinking of, something I can't explain but it makes me fall fall in love, girl it makes me fall, fall in love. [Verse 2:]. Girl all I know is that I really gotta have ya, I ain't gon give up cause I'm not a window shopper, see my love is only for you, for you, If you could feel how I feel it's like the sun coming out on a rainy day, and forever I will be, into you, you make me say oooooh, there's something about your love. [Chorus:]. Something about ya love, it's got me thinking of, something I can't explain but it makes me fall fall in love, girl it makes me fall, fall in love. [Rap: Romeo]. Now I'm something like like a thug but this chick changed that all my homies hate cause they ain't never felt that, I'm a no limit soldier and I never change that I'm a president, I'm seated in that mayback, why you calling me a pimp ey I never claimed that, why you judging the book when you never read that uh, I'm in love and I can't change that you a queen in my eyes, thought id let you know that. [Pre Hook:]. I don't know what you feel but you make me feel like this love is real, girl I get the chills down my spine, it feels so right I can't deny, there's something about ya love.. [Chorus:]. Something about ya love, it's got me thinking of, something I can't explain but it makes me fall fall in love, girl it makes me fall, fall in love. ~* By: Júlia Assis"
game for you,"Whoa,whoa, whoa,whoa. Yeah. Ooh-ooh. She's so sweet. So innocent. Naive, but I won't take advantage of. The fact that she fell in love. No, no, no. And I'll never ever. Make you cry. No, I'll never. Tell a lie. Even though the fellas. Say that it's so obvious. She don't know anything. 'Bout love. 'Bout I'll educate ya, girl. She don't know anything. 'Bout love. But I'll educate ya, girl. Girl I got game for you. If ya don't want me to. Then it ain't happenin'. We can stay only friends. 'Cuz girl I got game for you. But if you want me to. Then it'd be happenin'. We can be more than friends, yeah. . Baby don't be scared. The truth is. I was there in your postition. Yes, I care. I was aware. So I respect of its importance. It's a gift. Don't wanna spoil it. I'm aware that you care. She don't know anything. 'Bout love. But I'll educate ya, girl. She don't know anything. 'Bout love. But I'll educate ya, girl. Girl I got game for you. If ya don't want me to. Then it ain't happenin'. We can stay only friends. 'Cuz girl I got game for you. But if you want me to. Then it'd be happenin'. We can be more than friends, yeah. Girl, I know in my heart. That you wanna start with me, baby. And that could tear us apart. One day, you'll be all for me. And I'll be all for you. Girl I got game for you. If ya don't want me to. Then it ain't happenin'. We can stay only friends. 'Cuz girl I got game for you. But if you want me to. Then it'd be happenin'. We can be more than friends, yeah. . Girl I got game for you. If ya don't want me to. Then it ain't happenin'. We can stay only friends. 'Cuz girl I got game for you. But if you want me to. Then it'd be happenin'. We can be more than friends, yeah"
thinkin' bout ya,"Konvict Music. Konvict. Girl, I've been thinkin' 'bout ya. And I been dreamin' 'bout ya. Girl, I've been thinkin' 'bout ya. And I been dreamin' 'bout ya. Hey girl girl you gettin' hotter. Hotter than the average temperature. That a man could stand if you hold my hand. I could be ya man. But I didn't know that you'd make this harder. What you tryin' to see, baby, running games on me?. (But I). Girl, I will try to give my best to you. (Will try, to you). And do the things the others wouldn't do. (They won't do). 'Cause, your expectations got so high. I could be your guy only if I tried. But I know that I gotta step my game up, yeah, yeah. Girl, I've been thinkin' 'bout ya. And I've been dreamin' 'bout ya. When you walk to me on a sunny day. Got me heated but from not the sun. Girl, I've been thinkin' bout ya. And I've been dreamin' 'bout ya. Every moment pass when you're not around. Several come, so be strong. 'Cause the scent of your clothes, the red blush on your face. Even your swagger makes me wish that I could grab a taste. Don't mean to come on strong but girl it don't feel wrong. And to be honest I could see us both together. 'Cause you don't know. All the hoops I had to go through to get you a second in my life. No, you won't go. If I show you the real me, sweet and sensitive, real me. (But I). Girl, I will try to give my best to you. (Will try, to you). And do the things the others wouldn't do. (They won't do). 'Cause your expectations got so high. I could be your guy only if I tried. But I know that I gotta step my game up, yeah, yeah. Girl, I've been thinkin' 'bout ya. And I've been dreamin' 'bout ya. When you walk to me on a sunny day. Got me heated but from not the sun. Girl, I've been thinkin' bout ya. And I've been dreamin' 'bout ya. Every moment pass when you're not around. Several come, so be strong. 'Cause the scent of your clothes, the red blush on your face. Even your swagger makes me wish that I could grab a taste. Don't mean to come on strong but girl it don't feel wrong. And to be honest, I could see us both together. Don't be distant, don't be shy. With one try, I'll have you shaking, cooking, baking. Ooh, yes, baby girl you'll fly. And like what I'll do to you. Girl, I'll break my back to cover all your needs. As long as you is pleased it don't matter to me. If I break my back then it was all worth it to me. 'Cause in the end I'll finally be with the woman of my dreams, yeah. Girl, I've been thinkin' 'bout ya. And I've been dreamin' 'bout ya. When you walk to me on a sunny day. Got me heated but from not the sun. Girl, I've been thinkin' bout ya. And I've been dreamin' 'bout ya. Every moment pass when you're not around. Several come, so be strong. 'Cause the scent of your clothes, the red blush on your face. Even your swagger makes me wish that I could grab a taste. Don't mean to come on strong but girl it don't feel wrong. And to be honest, I could see us both together"
never fall in love again,"We've been together for a while now. Through the stormy weather and the let downs. But I know in my heart it was love right from the. start. This can change for the better. I'll give it time, I'll wait forever. They say that it`s nothing, on the phone like it`s. nothing?. I'm scared I'll never fall in love again. They say that I'm crazy, for keeping my baby. I'm scared I'll never fall in love again... oohhhh(3x). When I see you cry, it breaks my heart. I`m a sucka for love, all our break ups, to make ups. but we kiss and love each other all day. but today ain't the same, like it used to be. for you and me.. They say that it`s nothing, on the phone like it`s. nothing?. I'm scared I'll never fall in love again. They say that I'm crazy, for keeping my baby. I'm scared I'll never fall in love again (3x). Tell me why we put ourselves in this punishment. All we really need to do is get along. Not to be selfish I, will learn to fly, for me. If you feel me say, oh yeahh (4x). They say that it`s nothing, on the phone like it`s. nothing?. I'm scared I'll never fall in love again. They say that I'm crazy, for keeping my baby. I'm scared I'll never fall in love again (3x)"
talkin 'bout us,"Can't keep my hands from touchin' on every part of you. there ain't no watch cold enough to cool my temperature. she like my muffler. that's what im showin' her. the way i'm killin' it, shawty. should call a coroner. you and I got a story like nothing I ever heard in the whole world. you and I got a story and its like the fairytales are trying to imitate it. 2x. what they talkin bout?. who they talkin bout?. girl they talkin bout us. (girl their talkin bout us). every movie that's got an R rated sex scene. every song that your momma played at her wedding. every novel ever writtin' that ends with two people fallin' in love. 1x. what they talkin bout?. who they talkin bout?. girl they talkin bout us. (girl their talkin bout us). their ain't a girl that could love me the way that you do. i been with enough of 'em to know that it's true. and when we go to war,. I love the way you fight. no low blows, unless it's to get my head right. you and I got a story like nothing I ever heard in the whole world. you and i got a story and its like the fairytales are trying to imitate it. 2x. what they talkin' 'bout?. who they talkin' 'bout?. girl they talkin' 'bout us. (girl their talkin' 'bout us). every movie that's got an R rated sex scene. every song that your momma played at her wedding. every novel ever writtin' that ends with two people fallin' in love. what they talkin' bout?. girl they talkin' bout us. you you. they all up on me me. they don't give us space space. every where we be be. I said they all up on you you. they all up on me me. they don't give us space space. every where we be be be be be be. every where we be be be. they all up on you you you. they all up on me me me. 2x. what they talkin' bout?. who they talkin' bout?. girl they talkin' bout us. (girl their talkin' bout us). every movie that's got an R rated sex scene. every song that your momma played at her wedding. every novel ever writtin' that ends with two people fallin' in love. what they talkin' bout?. girl they talkin' bout us. 2x. what they talkin' bout?. who they talkin' bout?. girl they talkin' bout us. (girl their talkin' bout us). every movie that's got an R rated sex scene. every song that your momma played at her wedding. every novel ever writtin' that ends with two people fallin' in love. what they talkin' bout?. girl they talking bout us"
under my nose,"First kiss - when I touched your lips I admit I was nervous baby,. My friend - the only one that I could share my heart break with baby,. We rushed too fast into this, only in time will tell. Cause we do not know if love will affect our friendship - it's a risk though,. It's a risk that I want to take, cause baby you know. That I'll never leave your side cause girl I've realized that. You've been under my nose, my nose. After everything we've been through,. You've been under my nose, my nose. I can't believe I overlooked you,. Right under my nose my nose. Momma I had you steady searchin,. For something that's been here all along. It was like I was plannin for gold,. When I had a diamond just waiting at home. It took forever to see that you were the match for me. I never saw this coming, no (I love you baby). Can't stop it's not exactly the truth, I've always been attracted to you. But I didn't want to ruin what we had, thought of losin you - it made me sad. We rushed too fast into this, only in time will tell. You've been under my nose, my nose. After everything we've been through,. You've been under my nose, my nose. I can't believe I overlooked you (love you girl). Right under my nose, my nose. Momma I had you steady searchin,. For something that's been here all along. You've been under my nose, my nose. After everything we've been through,. You've been under my nose, my nose. I can't believe I overlooked you,. Right under my nose, my nose. Why am I out here steady searching,. For something that's been here all along. Girl you know you that you are mine (oohh ohh ohh). (Woahh baby) I never saw a girl like you. por Thatá."
let you go,"Hey mmhmm yahhh. I'm not so good at breakin' up. But I'm so good at makin' up. Why don't. Baby you make this easy it's uncomfortable. And I'm the type of guy. Who would hate to see you cry. So it is wise, I'm not leavin' your side. Could it be I am thinkin' too much. Hopin' for a better day. (a better day, a better day). Ohhh, girl I've been tryin' to stay. I don't know what to do. You're everything I know,. It's so hard to let you go. I'm not tryin' to break your heart. But this ain't fair to you. You're everything I know,. It's so hard to let you go. Hard to let you go it's so hard to let you go. Hard to let you go. Hey, I'm wastin' time. You'll be my best friend. I won't die till end. You see if I turn back, If I look back. We could start over again. We could start just only friends. Just you an I, you and I. Could it be I am thinkin' too much. Hopin' for a better day. (a better day, a better day). Ohhh, girl I've been tryin' to stay. I don't know what to do. You're everything I know,. It's so hard to let you go. I'm not tryin' to break your heart. But this ain't fair to you. You're everything I know,. It's so hard to let you go. Hard to let you go it's so hard to let you go. Hard to let you go. If you feel what I says. Feelin' this song. Feel free to sing along. You'll say oh oh oh oh, oh oh oh oh. And If you're hurtin' inside. Feelin' so wrong. Feel free to sing along. You'll say oh oh oh oh, oh oh oh oh. Ohhh, girl I've been tryin' to stay. I don't know what to do. You're everything I know,. It's so hard to let you go. I'm not tryin' to break your heart. But this ain't fair to you. You're everything I know,. It's so hard to let you go. Hard to let you go it's so hard to let you go. Hard to let you go. It's so hard to let you go hard to let you go It's so hard to let you go hard to let you go. It's so hard to let you go"
dance with you,"[Verse 1:]. Never felt like this before girl when you walked through that door, you hypnotized me can't you see, wanna be the only one to dance with you because your body looks so delicious to me, never seen a girl move like that, the way that shes working that back, I wanna get with that maybe take it to the back, maybe kiss all night cause you feeling me right, I wanna grind on you, doing my thing while your doing yours too, talking right now isnt neccessary cause momma cita girl I'm getting so into the mood. In the mood just to dance all night, girl cause the vibe is right, I know you feeling it to cause the way your body move I can see that the music is so into you.. [Chorus:]. O that bodys looking so right, got me pheening to touch all night, I just wanna dance with you, O that bodys looking so right, got me pheening to dance all night, I just wanna dance with you. [Verse 2:]. Now we turning up the heat dancing to this crazy beat, tell the DJ bring it up some more while you drop it to the floor, girl I be thinking about you and what I could do if we were on the dance floor. Girl I hope this feeling never stops, just let your body rock, I just wanna dance with you baby can't you see your styles got a hold of me, and it's taken control of me, doesnt wanna let go of me so I can't fight what the music tells me. Look at the time it's way past 2 and I just got started with you, this is gonna be a long night don't fight just get right to the morning light.. [Chorus]. [Bridge:]. O your body moves like a snake ma, Ooo, I wanna taste ma, a taste of the way you move don't know what to do, baby I just wanna dance with you"
the difference,"Hey. Hmm, oh. Ooh,ooh, whoa, whoa. Behind every good man. There's a woman. She never lets me down. Makes me feel so. Good. When she's loving me. Man it's like. Whoa, whoa, whoa. She's my ride or die. Twenty-four, seven. Three, sixty-five. So no matter what is. Facing me. She finds a way to give me strength. For her I'll wait. A life. But I can't go tonight. Without hearing the voice of an angel. The difference is. She makes the world a little better. The difference is. She makes it hurt a little less. The difference is. She can take away the pressure. The closest thing to heaven. Ooh, that's the difference. Now find one right now. You'll walk a little better. You'll talk a little better. You'll eat a little better. You'll dress a little better. She's the closest thing to heaven. Ooh, that's the difference. Hey, she makes the difference. She lets the weight. Right off of my shoulders. And with this girl. I could picture growin'. Older. And if you got. One like mine. Better pull her. Closer. Don't play the cool guy. You'll lose ya chance. To show her. She promises the. Best for me. A hundred percent. She expects from me. That's why I'm. For life. To see her. Every night. And feel the touch. The touch of an angel. The difference is. She makes the world a little better. The difference is. She makes it hurt a little less. The difference is. She can take away the pressure. The closest thing to heaven. Ooh, that's the difference. Now find one right now. You'll walk a little better. You'll talk a little better. You'll eat a little better. You'll dress a little better. She's the closest thing to heaven. Ooh, that's the difference. Hey, she makes the difference. Now can any real say. If ya see a girl like mine. Don't push her away. 'Cuz a girl like that. Don't come around everyday. Yes, I said that's the difference. The difference is. She makes the world a little better. The difference is. She makes it hurt a little less. The difference is. She can take away the pressure. The closest thing to heaven. Ooh, that's the difference. Now find one right now. You'll walk a little better. You'll talk a little better. You'll eat a little better. You'll dress a little better. She's the closest thing to heaven. Ooh, that's the difference. Hey, she makes the difference"
don't turn back,"EHey.... Yeah.... Ooo no no. Konvict... Music.... I know that you be working 9-5 girl. (9-5 girl). Gotta act professional but you're too fly girl. (You're to fly girl). Too fine to be taking shit from any guys, girl. So tell me why you stay girl, yeah, yeah. Baby, you should be. Not breaking your back, working endlessly. You should chase your dreams. You should chase your dreams. Baby I should be, the guy that provides. All of your needs. I'm behind your dreams. 110 you'll see (yeah). Baby don't turn back, don't look back. Ya stressed enough, ain't ya love. Don't turn back, don't look back. 'Cause I found a way. Baby don't turn back, don't look back. Visualize kite in the sky, be amazed. That what you think and see, I'll make reality. (Don't don't, don't don't turn back). Oh, ohh, oh. Don't turn back. Don't go, oh. Don't turn back. All I can say,. Is look away. Don't, don't don't don't turn back. Oh, ohh, oh. Don't turn back,. Don't go, oh. Don't turn back. All I can say. (Don't turn back). Is just look away. (Don't don't, don't don't turn back). Now I know ya think I'm crazy. But I'm 'bout, girl. (I'm about). The only things that get ya happy,. Scratch the frowns, girl. There's a princess in ya phone. Without a crown girl. (Without the crown, girl). I felt that I had to say, yeah, yeah. Baby you should be. Not breaking your back, working endlessly. You should chase your dreams. You should chase your dreams. Baby I should be, the guy that provides. All of your needs. I'm behind your dreams. 110 you'll see (yeah). Baby don't turn back, don't look back. Ya stressed enough, ain't ya love. Don't turn back, don't look back. 'Cause I found a way. Baby don't turn back, don't look back. Visualize kite in the sky, be amazed. That what you think and see, I'll make reality. (Don't don't, don't don't turn back0. Oh, ohh, oh. Don't turn back. Don't go, oh. All I can say,. Is just look away. Don't, don't don't don't turn back. Oh, ohh, oh. Don't turn back. Don't go, oh. Don't turn back. All I can say,. (Don't turn back). Is just look away. (Don't don't, don't don't turn back). (Babe we all) we all think it's time to see. It's your choice, who you wanna be. The reality sets in. You realize that you're free. Free from all the pain and cries. Even things that make you sigh. Ohhh, yeah. (I, I, I got you). Oh, I got you baby girl,. (I got you). Said I got you. (I got you). Hey. You should be. (You should be). Not breaking ya back. (Hey, you should chase yo dreams). You should chase yo dreams. (Yeah, yeah, yeah, yeah). And baby I should be. (I should be). The guy that provides all of your needs. I'm behind yo dreams. (Hey, all of yo dreams). 110, you'll see. (Baby, baby). Baby don't turn back, don't look back. Ya stressed enough ain't ya love. Don't turn back, don't look back. 'Cause I done found a way. Baby don't turn back, don't look back. Visualize kite in the sky, be amazed. That what you think and see, I'll make reality. (Don't don't, don't don't turn back). Oh, ohh, oh. Don't turn back. Don't go, oh. Don't turn back. All I can say,. Is just look away. Don't, don't don't don't turn back. Oh, ohh, oh. Don't turn back. Don't go, oh. Don't turn back. All I can say,. (Don't turn back). Is just look away. (Don't don't, don't don't turn back)"
gravity (in love with you),"Now I've seen too many wannabe players. Turn around and get played cuz they be underestimating. Females now a days.. So I'm staying on my toes. I never get to comfortable but. when I run into you I just seem to lose control, Ohh.. . Didn't mean I get so caught up. Now I'm calling you constantly.. I can feel the attraction attracting me to ya.. And I'm, so caught up No no don't you ever leave.. Just stay with me. Just stay with me.. . Finally gravity pulled us closer. I feel like somebody just knocked me over. And I'm falling I'm falling so in love. With you. With you. With you.. . Now I thought it only worked on suckers.. Can nobody fit the game on me?. But I'm chasing after ya see you found a symphony. Cuz I fell so deep in love. tryin' be where you are.. And I just lose control, ohh.. Didn't mean I get so caught up. Now I'm calling you constantly.. I can feel the attraction attracting me to ya.. And I'm, so caught up No no don't you ever leave.. Just stay with me. Just stay with me.. . Finally gravity pulled us closer. I feel like somebody just knocked me over. And I'm falling I'm falling so in love¨. With you. With you.. Finally gravity pulled us closer. I feel like somebody just knocked me over. And I'm falling I'm falling so in love. With you. With you. yeah yeah). Finally gravity pulled us closer. I feel like somebody just knocked me over. And I'm falling I'm falling so in love. With you. With you. With you."
like me,Girl I know you are bad and you know that you can have it. Any .. that you want it got swag get you this to get you that. No no no got me thinking back to the moments that we have. How we used to love I want it all back. I want it all back cause I have been missing you and me. We have crazy chemistry thought we can work it out. Let me tell you even if it treats you bad. you can call me anytime. I am the one that is on your mind cause I am doing it right. You ain't got to .. ain't no second guessing. I am the one who is on your mind. Ain't no others like me like me l. ike me like me like me like me. Do it like me like me like me ain't nobody doing it like me. You don't have to ask you already know. you are the girl that I want. You are the girl that I want got them all. that but the doings ?is not my fault. Cause I can't get away can't do without you. Thank lord that I have found you. Now you come like the wind . my imagination. Cause I have missing you and me we had .. chemistry. All you got to do is just let me know. Even if it's late at night you can call me anytime. I am the one that is on your mind cause I am doing it right. You ain't got to .. ain't no second guessing. I am the one who is on your mind. Ain't no others like me like me like me like me like me like me. Do it like me like me like me ain't nobody doing it like me
hey girl,"The plane goes up, up,. Here we go again, single life livin. But every time we hang. Party, shows, and clubs. This girl’s always there. Could she be a, could she be a, could she be a fan. I don’t know, I don’t care. Yeah I’m just a man and yeah she’s just a girl. That got a lot fans, she’s got a lot of style and got a lot of cash. And even from behind she’s got a lot of ass. They gon say that you got what I got. Money and cars, cars and all the clothes. They gon say that you rock what I rock. It aint a secret everybody knows. Hey Girl, tell me what your name is. Hey Girl, why you seem so famous. Hey Girl, you’re close to the life of a celebrity. Can I take you home with me. Hey Girl, tell me what your name is. Hey Girl, why you seem so famous. Hey Girl, you’re close to the life of a celebrity. Can I take you home with me. So now we up, up. After bed time, breakfast in bed for ya baby cuz your mine. Now I aint gonna lose a prize possession in my grasp. Get it only once you can lose it so fast. I could only think of such a great creation. You are the original the others imitated. Got me feelin like a million times two. When I’m playin?. The sky is the limit I’m takin you in. They gon say that you got what I got. Money and cars, cars and all the clothes. They gon say that you rock what I rock. It aint a secret everybody knows. Hey Girl, tell me what your name is. Hey Girl, why you seem so famous. Hey Girl, you’re close to the life of a celebrity. Can I take you home with me. Hey Girl, tell me what your name is. Hey Girl, why you seem so famous. Hey Girl, you’re close to the life of a celebrity. Can I take you home with me. [Pause for beat breakdown]. They gon say that you got what I got. Money and cars, cars and all the clothes. They gon say that you rock what I rock. It aint a secret everybody knows. Hey Girl, tell me what your name is. Hey Girl, why you seem so famous. Hey Girl, you’re close to the life of a celebrity. Can I take you home with me. Hey Girl, tell me what your name is. Hey Girl, why you seem so famous. Hey Girl, you’re close to the life of a celebrity. Can I take you home with me"
rock you (feat. jaidon),"And you got me sayin' hey girl let me rock you. (turn your radio, turn your radio). shawty let me do my thing baby I wanna rock you. (turn your radio, turn your radio). Spending all my time tryna hustle. now I wanna come home with you. your beauty got me blind girl you're always on my. mind. all I wanna do is be with you-uu. shawty too fresh, shawty's super bad. she the kind a girl that have you reachin' for your. cash. I just wanna love ya, touch ya, yeahhh. shawty you as fine as a girl could ever get. [X2]. And you got me sayin' hey girl let me rock you. (turn your radio, turn your radio). shawty let me do my thing baby I wanna rock you. (turn your radio, turn your radio). Shawty I'll be there like, whenever you need me. baby I can make your life easssy. anywhere that you wanna go. we could take a flight on that 3 5 wooaawaao. we can do it big, shawty let your problems just fade. away. mixed with purple rain I'm the. Supernam up up and away we go. now turn on that radio. [X2]. And you got me sayin' hey girl let me rock you. (turn your radio, turn your radio). shawty let me do my thing baby I wanna rock you. (turn your radio, turn your radio). Turn your radio, turn your radio. shake shake it to the back girl, move it like that. yeah. turn your radio, turn your radio. shake shake it to the back girl, move it like that. yeah. Back on the scene yeahh act like you know me. Jaidon the pimp and I'm lookin' for my shawty. chopping that game like my name was. slicing and dicing, chain full of icing. throw it in a bag, shawty treat yourself. and I'm gonna ball till I fall till there's nothing. left. you can have it alll, all you gotta do is say it. we will we will rock you, rock you. [X2]. And you got me sayin' hey girl let me rock you. (turn your radio, turn your radio). shawty let me do my thing baby I wanna rock you. (turn your radio, turn your radio). Turn your radio, turn your radio. shake shake it to the back girl, move it like that. yeah. turn your radio, turn your radio. shake shake it to the back girl, move it like that. yeah. And you got me sayin' hey girl let me rock you. (turn your radio, turn your radio). shawty let me do my thing baby I wanna rock you. (turn your radio, turn your radio)"
