foreign,"Hook:. Round round smoking weed with my foreign bitch. Round round smoking weed with my foreign bitch, foreign bitch. my window down on grind to my my new shit. got my new bitch, got my got my new bitch. I don't cop for no jades they say them hoes who freak. got the pound for no pussy fuck them hoes who freak. that bitch is on deck. You know how to fuck our team. puffing but my boo, cups of ..with my crew. they..the sun, street falling that hurt. fat ass in my lab she pulling my shirt. cameras all in my belt, bring bringing my scalp. high is all the things up, showing all for myself. real next to my mikes, things chatting my spikes. low right no chick, right behind my bike. barney pissing my sprite, Christmas grintching my switch. ballin on em all night, me and my bitch. call em hoes more miley, call em hoes more drink. sixty racks in my pocket, all them hoes going thing. ..dripping I'ma get tipsy, sipping I'ma get gripping. make the chopper get choppi, different I just get cocki. no lip of mine no kiss poppin, sleeping I just get sluppi. haters in my set why they all in my mix. y'all can all get next on my deep bitch. [Hook:]. . Yep and it's time for guns to get lifted. it's time for guns to get lifted. it's time for guns to get lifted. border brick for my kicks, border brick for my click. couple trons for my kicks, one for my bitch. they ain't searching no woman I just..that two pocks. ping pong in that grinding, feel like holla grand two pocket. gangsta party bust the big chocking. I don't care what you're rolling as long as I'm smoking. damn I love to see money but I show it. memory of keep money mental for my moment. ..for that I'm.. watch yourself 'cause I'm mad. get the fuck at your bitch ass. paying won't be.. I ain't tryin to get violent. I wish tryin to get wasted. only time I'm smiling is when I get faced it. take the time taste it, David..basin. put the bag in that lab I get... take the time taste it, base it. take the time taste it, David..basin. put the bag in that lab I get... [Hook:]"
a millie,"Young money. PD, yeah, macka gon' her. I'm a Millionaire. I'm a Young Money Millie in aire, tougher than Nigerian hair. My criteria compared to your career just isn't fair. I'm a venereal disease like a menstrual bleed. Threw the pencil and leak the sheet of the tablet in my mind. Cause I don't write shit cuz I ain't got time. Cause my seconds, minutes, hours go to the all mighty dollar. And the all mighty power of that chit cha cha chopper. Sister, Brother, Son, Daughter, Father motha fuck a copper. Got the maserati dancin on the bridge pussy poppin. Tell the coppers...hahahaha you can't catch 'em, you can't stop 'em. I go by them goon rules if you can't beat 'em then you pop 'em. You can't man 'em then you pop 'em. You can't man 'em then you mop 'em. You can't stand 'em then you drop 'em. You drop 'em cuz we pop 'em like Orville Redenbacher. Yeah motherfucker ha. I'm Millie in here with them Young Money millionaires. Think you really pop a wheelie in air. Mac Millie..the Vanillie's in here.. I'm a rascal don't get whopped. I get brats who don't give top. I get tassel, pass you with a flow you could never put a brake on. And I break on anything a nigger take on. Feel the napalm from my trey arm, straight long, throw a nigger like I'm. Akon. Cause I make cons where the base gone, get the base blown. Let the Pistons on that chopper come on cops I'm kamikaze drop a rock with. them Obamas. Illie in the mind, really with the nine, millie when I rhyme, silly anytime. Fine, chilly gitty on the grind, Shitty on a dime, Penny on the line. Plentys in me, any guinea's with 'em bigger than a mini and remind I'm. Illie and its all off G piece and a PG walk by beep beep. With a freak, skeet, Hawk Out, big feet on a jeep... She caught by Weezy F, we be the best. Truely to death prove me the rest. Groupies confess, you be the ref, excuse me I left..Ha. young money. C3. nay nay, daddys better. ok. A millionaire I'm a young money millionaire. What chyall really want it now. Y'all don't really wanna do it. If hip hop is dead I am the embalming fluid. And I don't care who it be, I'm steppin to it. Notice I say it cause to me, it ain't shit. Get it.. Call me whacha like trick?. Call me on my sidekick. Never answer when it's private. Man I hate a shy chick. Don't you hate a shy chick. I had a plate of shy chick and she ain't shy no mo'. She changed her name to my chick. Hahaha, yeah boy that's my girl. And she pops excellent up in Wayne's world. Totally dude you should. See their faces when they see that. This robot can move. And its like.... Hahaha, yea. And it go.... Thats right. +. I'm a millionaire I'm a. Young money cash money fast money. Slow money mo' money neva low money. What is that, who is that, I never heard of it. I will take your picture and make a â€˜rest in peace' shirt of it. Tell those niggers beating to make a rest in peace shirt of me cuz. I killed and now don't tell no one you heard of me. It's like, the beat was screamin, murder me. And I'm a, murderer. So I murdered it. And you niggers is what I eating I'll make sure of it. And he who don't believe me I'll make dessert of him. Sherbet him, I mean. Shame on him, or her. Carter, Father of. This rap thang, this is my race. Gon' take a lap man weezy baby's nursery. Now gon' take a nap man, it's nap time. I'll holla back at you at snack time. Weezy... F... yea, ok. They say I'm rappin like Big, Jay, and Tupac. Andre 3 Thousand where is Erykah Badu at. Who that. who that said they gon' beat Lil Wayne. My name ain't bic, but I keep that flame. Who that one. that do that boy. Y'all knew dat. True that swallow. And I be the shhh. Now you got loose bowels. I don't owe you like two vowels. But I'd like for you to pay me by the hour. Hahaha. And I'd rather be pushing flowers. Than to be in the penn sharing showers. See Tony told us this world was ours. And the Bible told us every girl was sour. Don't play in the garden and don't smell her flower. Call me or Mower. Boy I got so many girls like I'm Michael Lowry. Even Gwen Stefani said she couldn't doubt me. Man, life, just ain't life, without me. Hip hop just ain't hip hop, without me. Young moola baby"
ain't no party (get a stack),If we ain't anything it ain't no party (repeats). Who gave them the grove hit their hips with a lipstick….. Antics on her chicks .. she move. On the way to spend you whole week pay on the. ... Cause i resume the ladies in the place to be. Please get your drink straight cause you are chasing me. Basically I am back for my. Thanks to feel
bedtime,"[Chorus] x2. Sleep nigga, Bedtime.. Flatlinnne, Redline.. Ain't a nigga fuckin with my bread grind.. Sleep nigga! Bedtime.. [Verse 1]. Yeah, South Beach, freak chick, mouth piece, feet kicked. Stacking paper, need whip. Fuck you jacking hater, heat clips. Thug mode, grind zone. Nigga Oh, mind blown. Live up to my name and spot that ratchet bitch.. You can find me where them killers make them caskets sit.. Paper chasers, dominated. New nigga, nominated.. Chyea, everybody and they momma hated. I don't give a fuck about the commentating.. Chyea ha! I be around that yay like J.. Never hustled but I'll bust Trey like Ray.. On a nice day, that's word to vice, yay. That's how them real niggas roll the dice play!. [Chorus] x2. [Verse 2]. Yeah, fuck it let em' hate a nigga made it.. These niggas say it but it's never demonstrated.. Talkin all this baller sportin but its not illustrated.. Niggas snitchin if I diss em I get litigated.. You need twenty-thousand on your whip for daytons.. Nigga I blew twenty-thousand just on shit to skate in.. You smoking regular shit, rollin raddish.. That's prolly why your d*** gotta fuckin a****. Yeahhh, Snow flowin like the fuckin Boss.. You suckas soft, sucka soft. She said she love it when I rap fast.. She nab ahhhh!. [Chorus] x2"
cannon,"You know I keep a cannon. Wherever I'm standing. First get the stamin. Burst get to blamin. Wallets get to dropping. Purses get to handin. Shots get to choppin. Church get to jamming. (Pray bitch) it's militia. Toast to the g game. Twist a nigga, rope em up. Tryna hang how we hang. Give me an evil eye. This isn't my planet. Wasn't intended ended if it hit and then it landed. Ballers on they're new court. Niggas move when I move. You could talk what you port. I'm a shoot when I move. Actin like a dick head. Betta keep it whipin. This is a new era. My whole teams fitted. It's M up till I'm M down. Niggas see the logo. I ain't got it in me to kill em, how do they know so. Never saw me bang out. But truthlessly, ruthlessly, with the ooz you bruise profusively, groosemly. till you drain out. You know I keep a cannon. They waiting for my wake so I sleep with the cannon. I creep with the cannon. Cause I be stackin money, niggas be actin funny. So I be actin dummy. I eats with the cannon, I shits with the cannon. Comma, cannon, Obama with the cannon, osama with the cannon. I'm affiliated with the drama, with the cannon, I'm affiliated when it's. drama, get the cannon. Why am I violent. Siolent in my moment. All of my components. Will never be opponents. Only thing I trust, cory gunz got a loaded. If they don't pay respects, why I send you a condolence. In case you didn't notice. Nigga this is my time. Front and get your back ache. Tryna run on my nine. Put the bread on your head. Enough for you to wonder. How I turn a beauty rest into one that you do under. Typical, despicable, irresistible, criminal, intentional, gimmical, mental. conventional, lyrical, subliminal, instruments, sentimentalist, send ya. mentalist and ventriloquist, all the fibrulous you blunder. You know I keep a cannon. They waiting for my wake so I sleep with the cannon. I creep with the cannon. Cause I be stackin money, niggas be actin funny. So I be actin dummy. I eats with the cannon, I shits with the cannon. Comma, cannon, Obama with the cannon, osama with the cannon. I'm affiliated with the drama, with the cannon, I'm affiliated when it's. drama, get the cannon. Gimme some room. Got the pump with the strap. So the strap is the pump. Ju-ju-jump at the jack. Got the cannon for drama. Call that drama with cannon. Gangsta grillz on yo bitch asses, ya'll understanding. We don't be giving a fuck. We be giving it up. It's militia till dust. Nigga stick or get stuck"
dope game,"Yeah, young money, cash money, militia gangs. And they say new york city, bounce. Fuck it, I'm the youngest street nigger, time you ever know. Never ask something all I knew was mommy wasn't home. So with niggers stood alone, with the ... by the phone. Watchin jimmy roll bones, while jonny roll bones. There's a hommie on my side every time I nigger(?) home. What the fuck cause when the ... blow to your .... Keep it goin. I'm ... how come niggers .... With the way I sound stones bloody .... ... I jones, suddenly I phone, ... rest in peace .... ... On my skin tattooed to the fucking n forever. True is definition to me for the frame such a ... hair. ... Get and ... of the niggers jump shit. Never sing before they swim fit it for this rap shit. I am hip-hop hymn, ask any of these niggers .. they tell you.... Young money with the fuck a stop them see'em,. Them chop them, drop them hot. Militia gangs being an option,. No considering the reason she ... drop it. You niggers got a way to talk about you out of way,. Niggers sound an old.... Talking about they got a lot of ...,. You might as well hate, cause now is never late. The ... bought to have me like my ... .... They, pussy I expect like a prom date,. Tell you you're a disgrace to your fucking mom face. The things ... that, my bro's in the spot,. And my flows head hands in ... night (?). You niggers throw subliminals whether you know or not,. You're lucky if I throw a punch before I throw a shot. I don't spit, I smutch, shit, get the ...,. My niggers used to pot pick, now they pickin the pot. My niggers still spot stick still sticking spots. Anytime my niggers think the clock will tiki-toks. Fall back and niggers need to get a spot. I'm not bullshit I'm trying to be biggest pac, watch. I rhyme ... so plane,. That's why I get it like a nigger in a dope game. I'm tied to the .... Road chain, that's why. I get it like a nigger in a dope game x3"
foreign,"Hook:. Round round smoking weed with my foreign bitch. Round round smoking weed with my foreign bitch, foreign bitch. my window down on grind to my my new shit. got my new bitch, got my got my new bitch. I don't cop for no jades they say them hoes who freak. got the pound for no pussy fuck them hoes who freak. that bitch is on deck. You know how to fuck our team. puffing but my boo, cups of ..with my crew. they..the sun, street falling that hurt. fat ass in my lab she pulling my shirt. cameras all in my belt, bring bringing my scalp. high is all the things up, showing all for myself. real next to my mikes, things chatting my spikes. low right no chick, right behind my bike. barney pissing my sprite, Christmas grintching my switch. ballin on em all night, me and my bitch. call em hoes more miley, call em hoes more drink. sixty racks in my pocket, all them hoes going thing. ..dripping I'ma get tipsy, sipping I'ma get gripping. make the chopper get choppi, different I just get cocki. no lip of mine no kiss poppin, sleeping I just get sluppi. haters in my set why they all in my mix. y'all can all get next on my deep bitch. [Hook:]. . Yep and it's time for guns to get lifted. it's time for guns to get lifted. it's time for guns to get lifted. border brick for my kicks, border brick for my click. couple trons for my kicks, one for my bitch. they ain't searching no woman I just..that two pocks. ping pong in that grinding, feel like holla grand two pocket. gangsta party bust the big chocking. I don't care what you're rolling as long as I'm smoking. damn I love to see money but I show it. memory of keep money mental for my moment. ..for that I'm.. watch yourself 'cause I'm mad. get the fuck at your bitch ass. paying won't be.. I ain't tryin to get violent. I wish tryin to get wasted. only time I'm smiling is when I get faced it. take the time taste it, David..basin. put the bag in that lab I get... take the time taste it, base it. take the time taste it, David..basin. put the bag in that lab I get... [Hook:]"
gamble on me,"You can gamble on me, if you play yo cards right,. shawdy you'll see, hand over your chips and lay em all me,. gamble on me, you can gamble on me e e e e e e e,. gamble on me if you like your r's put it down for a g, roll. with a winner and shawdy you'll see (GUNZ). oh oh shawdy, they don't belone, you can gamble on me. Try ya luck, shawdy try ya luck,. pul pul pul pul pul pull that slot jackpot round em up,. round them up we hit that club, thow da seven up. and they hold on us, like a pole on us, they be all on us,. when the booze or the mose or the rose,. hit like it ain't no toes on us, you be playin o so much,. but since you waited tenidean tp and so don't touch,. she so so fine, she don't know she so so mine,. I just might might go all in, if I miss one more time,. one more call one more time, one more call one more time,. one more call one more dime, one more call one more time,. walderback back back back back back,. walderback shawdy know my blackjack game fat as jack black. You can gamble on me, if you play yo cards right,. shawdy you'll see, hand over your chips and lay em all me,. gamble on me, you can gamble on me e e e e e e e,. gamble on me if you like your r's put it down for a g, roll. with a winner and shawdy you'll see (GUNZ). oh oh shawdy, they don't belone, you can gamble on me. Try ya luck, shawdy try ya luck,. shake those dice get ottoms up bottoms up bottoms up,. pop pop get the bar blowed up,. my squad and the cars roll up and the gurls show up. cause they all blowed up and they all get money. and they all thowe it up, shawdy fold yo deck holder. for that malicious soldier bet for bet we do it back to back. like we getting mo bucks, you with him. you know what he just mad cause we all roll up. cause we all showed up looking all grown up. and we all getting money and we all thowe it up like ayy. bout a stack where all my riders at where. my sophisticated mama trying to slide a stack walderback. back back back back back, walderback shawdy. know my blackjack game fat as jack black. You can gamble on me, if you play yo cards right,. shawdy you'll see, hand over your chips and lay em all me,. gamble on me, you can gamble on me e e e e e e e,. gamble on me if you like your r's put it down for a g, roll. with a winner and shawdy you'll see (GUNZ). oh oh shawdy, they don't belone, you can gamble on me"
hardbody,"Young money militia with it. Cash Money business, we missed the hit then your bitch'll get it. Full grown, heart colder than South Fargo. Load the pockets in my cargos for what your car goes. Fuck it I can't complain, die I don't like him anyway. Took for Wayne, Mack, and Stunna to snatch him anyway. Shorty from the DVD, y'all ain't catch him anyway. Thinking look at these bird brains, I'll hatch 'em any day. Take it in acid, I'll put a bird on your bitches. Like, fuck a fashion statement, I state the fashion. Like, I'm straight smashing with an irate passion. Shit, like I hate crashing, rip like I'm late passing. I'm loyal to fam like oil to Sam. I know niggas boiling grams for foil and Spam. I'm on a track like Lebron, not annoying his man. Before the games, clap chalk and ya boy at the lane. Who game?. Real niggas saying they hardbody. Be the same niggas talking around. Real niggas saying they hardbody. Be the same niggas stuck in the ground. Real niggas saying they hardbody. Be the same niggas jumping the gun. Real niggas saying they hardbody. Be the same niggas pumping a lung. I'm the definition of staying humble. And the militia's the definition of staying mumble. Admitting you ain't in correct position to say & mumble. All you getting is disrespect cause you wouldn't lay a fumble. I'm the tiniest of them out of the fucking jungle. But I'm quiet enough to show 'em I want the trouble. Never had a shot off the backboard. I know niggas from detention that'll turn your block to a blackboard. Cory Gunz hot as a crack store. That's probably why I always got a thirsty ass broad on my black straw. Before I wanted the nigga to treat right, now I'm considering the Quran. pawn. I do the beats right. Respect or the Tek's going off like a street bike. And you gon' see his neck blowing off like a street light. Pause, creep tight sneaking beneath night. Or be the next hellbound nigga to seek Christ, aight. I don't know where they found fam. Fuck around with me, I'll make your self-esteem low as the Soundscan. Rep the city like I'm the town man. Try work it out or else you're getting stuck, wait the pound's jammed. You rap like opposite what you act like. You act like you wouldn't scratch strike in a cat fight. You scrap like you wouldn't clap right in a strap fight. Motherfuckers know how I rock, that's what I rap like. Nigga real mean, I gotta trill team. First nigga, baby grey Glock with a teal beam. Something heavy, try to make a nigga wheels lean. Quiet, the silencer make you sound like a seal stream. You can chase the cookie trick, I want the real cream. Nigga I'm trying to peel green like a sealed screen. How this feel? Looking like a shotta kill scene. Cause my whole crew shoot the nigga, we a film team"
heir to the throne,"Lets get in the perspective of with no objectives love. heckler spectacles riddle the festivals left of us. collectible surgical medical kit synthetical drug. intellectual thug is digestin all these vegetable grub. respectable buzz reputable so theres skeptical fuss,. my best of you doesn't mean you'll find where the rest of you was,. the rest of you was about as late as the rest of you was,. hostility in my hostel and then he gets the new scrubs,. nigga gyro hero out a hero, an edible sub,. by myself in your sectional club with professional gloves,. my set of binocular goggles scope incredible slugs... congressional fuss aching me to depression too much. and its taking me to a level few could express through a dutch,. i walk in a cloudy state of mind with my head in the heavens. and said to this reverend i wish I was beheaded at seven... instead its like i jetted from hell, went dead in this dead end,. A sinister sinner sentenced to get this bread with this leaded eleven,. 1997 i was joyful, happy and bright, 2007 im unlawful, happy despite. dysfunctional family gatherings for the scraps who would fight,. knew i was gifted with the words how i rap what i write,. drive with a focus on the road, passin the sights,. sat on the stoop and missed them gun blast massacre nights,. ask if its right point em then out em fast as a light,. parachute arial assault niggas casket a kite,. now that i got your undivided one sided attention. im different from niggas you payed attention. now pay attention,. need i say or mention if i persuaded conditions. of playin wishes you say is business. i needed a greater pension,. your late intentions what made all my late extension. what gave to my plate position and state, my fate and mission its real"
