in my feelings,"Trap, TrapMoneyBenny. This shit got me in my feelings. Gotta be real with it, yup. Kiki, do you love me? Are you riding?. Say you'll never ever leave from beside me. 'Cause I want ya, and I need ya. And I'm down for you always. KB, do you love me? Are you riding?. Say you'll never ever leave from beside me. 'Cause I want ya, and I need ya. And I'm down for you always. Look, the new me is really still the real me. I swear you gotta feel me before they try and kill me. They gotta make some choices. they runnin' out of options. 'Cause I've been goin' off. and they don't know when it's stoppin'. And when you get to toppin', I see that you've been learnin'. And when I take you shoppin'. you spend it like you earned it. And when you popped off on your ex he deserved it. I thought you were the one from the jump that confirmed it. TrapMoneyBenny. I buy you Champagne but you love some Henny. From the block like you Jenny. I know you special, girl, 'cause I know too many. 'Resha, do you love me? Are you riding?. Say you'll never ever leave from beside me. 'Cause I want ya, and I need ya. And I'm down for you always. J. T. , do you love me? Are you riding?. Say you'll never ever leave from beside me. 'Cause I want ya, and I need ya. And I'm down for you always. Two bad bitches and we kissin' in the Wraith. Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith. I need that black card and the code to the safe. Code to the safe, code-code to the safe-safe. I show him how that neck work. Fuck that Netflix and chill—what's your net-net-net worth?. 'Cause I want ya, and I need ya. And I'm down for you always. Yea, yea, yea, yea he bad. And I'm down for you always. Yea, yea, yea, guess who's back. And I'm down for you always. D-down for you al–. ""Black biggy biggy black biggy black blake"". D-d-down for you always. I got a new boy, and that nigga trade!. Kiki do you love me? Are you riding?. Say you'll never ever leave from beside me. 'Cause I want you, and I need you. And I'm down for you always. KB, do you love me? Are you riding?. Say you'll never ever leave from beside me. 'Cause I want ya, and I–. Bring that ass, bring that ass, bring that ass back!. B-bring that ass, bring that ass, bring that ass back!. Shawty say the nigga that she with can't hit. But shawty, I'ma hit it, hit it like I can't miss. Clap that ass, you're the only one I love. Clap that ass, clap-clap that ass!. Bring that ass back!. Clap that ass, you're the only one I love. Let's go, let's go, let's go!. Bring that ass back!. Trap, TrapMoneyBenny. This shit got me in my feelings. I just gotta be real with it, yup. (BlaqNmilD, you a genius, you diggin' me?)"
god's plan,"Yeah they wishin' and wishin' and wishin' and wishin'. They wishin' on me, yuh. I been movin' calm, don't start no trouble with me. Tryna keep it peaceful is a struggle for me. Don't pull up at 6 am to cuddle with me. You know how I like it when you lovin' on me. I don't wanna die for them to miss me. Guess I see the things that they wishin' on me. Hope I got some brothers that outlive me. They gon' tell the story, shit was different with me. God's plan, God's plan. I hold back, sometimes I won't, yuh. I feel good, sometimes I don't, ay, don't. I finessed down Weston Road, ay, 'nessed. Might go down a G. O. D. , yeah, wait. I go hard on Southside G, yuh, wait. I make sure that north-side eat. And still. Bad things. It's a lot of bad things. That they wishin' and wishin' and wishin' and wishin'. They wishin' on me. Bad things. It's a lot of bad things. That they wishin' and wishin' and wishin' and wishin'. They wishin' on me. Yuh, ay, ay. She say, ""Do you love me? "" I tell her, ""Only partly"". I only love Mahbed and my momma, I'm sorry. Fifty dub, I even got it tatted on me. 81, they'll bring the crashers to the party. And you know me. Turn the O2 into the O3, dog. Without 40, Oli, there would be no me. Imagine if I never met the broskies. God's plan, God's plan. I can't do this on my own, ay, no, ay. Someone watchin' this shit close, yep, close. I've been me since Scarlett Road, ay, road, ay. Might go down as G. O. D. , yeah, wait. I go hard on Southside G, ay, wait. I make sure that north-side eat, yuh. And still. Bad things. It's a lot of bad things. That they wishin' and wishin' and wishin' and wishin'. They wishin' on me. Yeah, yeah. Bad things. It's a lot of bad things. That they wishin' and wishin' and wishin' and wishin'. They wishin' on me. Yeah"
hotline bling,"You used to call me on my, you used to, you used to. You used to call me on my cell phone. Late night when you need my love. Call me on my cell phone. Late night when you need my love. I know when that hotline bling. That can only mean one thing. I know when that hotline bling. That can only mean one thing. Ever since I left the city, you. Got a reputation for yourself now. Everybody knows and I feel left out. Girl you got me down, you got me stressed out. Cause ever since I left the city, you. Started wearing less and goin' out more. Glasses of champagne out on the dance floor. Hangin' with some girls I've never seen before. You used to call me on my cell phone. Late night when you need my love. Call me on my cell phone. Late night when you need my love. I know when that hotline bling. That can only mean one thing. I know when that hotline bling. That can only mean one thing. Ever since I left the city, you, you, you. You and me we just don't get along. You make me feel like I did you wrong. Going places where you don't belong. Ever since I left the city, you. You got exactly what you asked for. Running out of pages in your passport. Hanging with some girls I've never seen before. You used to call me on my cell phone. Late night when you need my love. Call me on my cell phone. Late night when you need my love. I know when that hotline bling. That can only mean one thing. I know when that hotline bling. That can only mean one thing. These days, all I do is. Wonder if you bendin' over backwards for someone else. Wonder if your rollin' over backwoods for someone else. Doing things I taught you. Gettin' nasty for someone else. You don't need no one else. You don't need nobody else, no. Why you never alone. Why you always touching road. Used to always stay at home, be a good girl. You was in the zone. You should just be yourself. Right now, you're someone else. You used to call me on my cell phone. Late night when you need my love. Call me on my cell phone. Late night when you need my love. I know when that hotline bling. That can only mean one thing. I know when that hotline bling. Ever since I left the city"
one dance,"[Intro: Kyla Wizkid]. Baby I like your style. [Verse 1: Drake]. Grips on your waist. Front way, back way. You know that I don't play. Streets not safe. But I never run away. Even when I'm away. Oti, oti, there's never much love when we go Ot. I pray to make it back in one piece. I pray, I pray. [Hook: Drake]. That's why I need a one dance. Got a Hennessy in my hand. One more time 'fore I go. Higher powers taking a hold on me. I need a one dance. Got a Hennessy in my hand. One more time 'fore I go. Higher powers is taking a hold on me. [Bridge: Kyla Wizkid]. Baby I like your style. [Verse 2: Drake]. Strength and guidance. All that I'm wishing for my friends. Nobody makes it from my ends. I had to bust up the silence. You know you gotta stick by me. Soon as you see the text, reply me. I don't wanna spend time fighting. We've got no time. [Hook: Drake]. That's why I need a one dance. Got a Hennessy in my hand. One more time 'fore I go. Higher powers taking a hold on me. I need a one dance. Got a Hennessy in my hand. One more time 'fore I go. Higher powers is taking a hold on me. [Bridge: Kyla Wizkid]. Baby I like your style. [Hook: Drake]. Yeah. [Bridge: Kyla Wizkid]. Baby I like your style. (I need a one dance, I,I,I a need a one dance). [Hook: Drake]. I need a one dance. Got a Hennessy in my hand. One more time 'fore I go. Higher powers taking a hold on me. I need a one dance. Got a Hennessy in my hand. One more time 'fore I go. Higher powers is taking a hold on me"
legend,"(Refrão). When I pull up on a nigga. Tell that nigga back back. I'm too good with these words. Watch a nigga backtrack. If I die, all I know is I'm a mother fuckin legend. It's too late for my city. I'm the youngest nigga reppin. Oh my God, oh my God. If I die, I'm a legend. Oh my God, oh my God. If I die, I'm a legend. (Verso 1). I'm on first, I'm on tour. Got a girl, she from the South. Used to work, used to dance in Texas. Now she clean the house. Everyday, I was strugglin' to learn what. life's about. On my way, money taught me Spanish. Make it andale. Way up north, packed in Honda cars. They 'ont know who we are. Fuck em all, they only pussy niggas shootin at the star. Right or wrong, I'ma write my wrongs. They can't live this long. You don't know where you're gonna go. I got this shit mapped out strong. (Pre-Hook). (Refrão). When I pull up on a nigga. Tell that nigga back back. I'm too good with these words. Watch a nigga backtrack. all I know , If I die, I'm a mother fuckin legend. It's too late for my city. I'm the youngest nigga reppin. Oh my God, oh my God. If I die, I'm a legend. Oh my God, oh my God. If I die, I'm a legend. (Verso 2). I'm the one, one. Why do I feel like the only one?. Why do I feel like you owe me one?. 6 G-O-D I'm the holy one. Yeaah, you know wassup. They been off for a minute now. You know they all sentimental now. You know they all actin' different now. And I, I just can't pretend. Seen too much, it's so hard for me to let new people in. I can't change, this shit set. in stone. They can't live this long. You don't know where you're gonna go. I got this shit mapped out strong. (Refrão). When I pull up on a nigga. Tell that nigga back back. I'm too good with these words. Watch a nigga backtrack. all I know, If I die, I'm a mother fuckin legend. It's too late for my city. I'm the youngest nigga reppin. Oh my God, oh my God. If I die, I'm a legend. Oh my God, oh my God. If I die, I'm a legend, I'm the one. . Equipe Drake Brasil"
nonstop,"Tay Keith, fuck these n*ggas up!. Look, I just flipped the switch (flipped, flipped). I don't know nobody else that's doin' this. Bodies start to drop, ayy, hit the floor. Now they wanna know me since I hit the top, ayy. This a Rollie, not a stopwatch, shit don't ever stop. This the flow that got the block hot, shit got super hot. Give me my respect, give me my respect. I just took it left like I'm ambidex. Bitch, I move through London with the eurostep. Got a sneaker deal and I ain't break a sweat. Catch me 'cause I'm goin' outta there, I'm gone. How I go from 6 to 23 like I'm LeBron?. Servin' up a pack, servin' up a pack. N*ggas pullin' gimmicks 'cause they scared to rap, ayy. Funny how they shook, ayy, got these n*ggas shook. Pullin' back the curtain by myself, take a look, ayy. I'm a bar spitta, I'm a hard hitta. Yeah I'm light skinned, but I'm still a dark n*gga. I'm a wig splitta, I'm a tall figure. I'm a unforgivin' wild-ass dog n*gga. Somethin' wrong with 'em, got 'em all bitter. I'm a bill printer, I'm a grave digger. Yeah, I am what I am. I don't have no time for no misunderstandings again. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. This a Rollie, not a stopwatch, shit don't ever stop. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to. Future took the business and ran it for me. I let Ollie take the owl, told him brand it for me. I get 2 million a pop and that's standard for me. Like I went blind dog, you gotta hand it to me. (Gotta gimme that shit, dog). Prayed, then I prayed again (Amen, Lord). Had a moment but it came and went. (They don't love you no more). You don't wanna play with him (nah, nah, nah). They'll be mournin' you like 8AM. (R. I. P). Pinky ring 'til I get a wedding ring (woah, yeah). Love my brothers, cut 'em in on anything (big slice). And you know it's King Slime Drizzy damn. She just said I'm bae, I hit the thizzle dance (Mac Dre shit). Either hand is the upper hand (oh yeah, shit). Got a Bubba on my other hand (oh yeah, shit, yeah). This shit ain't no hundred bands (nah, nah, nah, nah). Palace look like Buckingham. Bills so big I call 'em Williams, for real. Reasons to go crazy, got a trillion for real. They been tryin' me but I'm resilient for real. I can't go in public like civilian for real. And I hardly take offense. Money for revenge, man, that's hardly an expense. Al Haymon checks off of all of my events. I like all the profit, man. I hardly do percents (I don't do that shit). A big part of me resents. N*ggas that I knew from when I started in this shit. They see what I got and man it's hard to be content. Fuck what they got goin' on, I gotta represent. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. This a Rollie, not a stopwatch, shit don't ever stop. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. Fuck all that chicken shit. Bake the nig. I had to get it. This the flow that got the block hot, shit got super hot"
survival,"I been waitin' on this yeah. All of this disorder, no addressin'. The crown is broken in pieces. But there's more in my possession. There's a whole lot in my possession. Who do you really love?. Well, that's sure to be in question. My mount rushmore is me. With four different expressions. Who's givin' out this much return on investment?. After my run, man, how is that even a question?. After this summer, man, how is that even a. I've had real philly niggas. Try to write my endin'. Takin' shots with the gold. And talk about shots that we sendin'. I've had scuffles with bad boys. That wasn't pretendin'. I've had too many nights to mention. That's just the beginnin'. I'm pretty sure we got a label. I'm still independent. I fell back a hundred times. When I don't get the credit. Seen this movie a hundred times. I know where it's headed. Realize someone gotta die. When no one'll dead it. Niggas gamblin' with they life. For some content. That's the type of lottery. That could get your top picked. I am a cream of the crop, nigga. You niggas pop mollies, my mollies pop niggas. House on both coasts, but I live on the charts. I'll tee with the stars. And I swim with the sharks. And I see in the dark. Wasn't this cold at the start. Think my soul has been marked. There's a hole in my heart. Yeah, I was about to. Man, I thought about it. It's unsettlin' to talk about it. Free all of my niggas. That they caught with it. Rip my niggas that they caught without it. This just a intro. Let me not get ahead of myself. This is god's plan, young man. You said it yourself. Always got a ace up my sleeve. For whatever was dealt. Daddy got suits like bernie mac. He dresses himself. I stopped askin' myself. And I started feelin' myself. Now I gotta deal with all this drama. And deal with myself. I ain't even have to cut the tie. It severed itself. This just the intro. Let me not get ahead of myself"
don't matter to me (feat. michael jackson),"Ayy, wild things you're doin' at night. Trips to wherever feels right. Doin' it all just to feel things. Drinking's enough of a vice. Drugs just aren't suiting you right. You were just fine as a real thing, thing. You, you, you know. That's not the way to get over me. I don't know what you're sayin'. You, you, you know. That's not the way to get over me. All of a sudden you say you don't want me no more. All of a sudden you say that I closed the door. It don't matter to me. It don't matter to me what you say. It don't matter to me. It don't matter to me what you say. I can't recover from our last conversation. You called me weak. And you tested my manhood as we yelled at each other. You wanted me to gon' put my hands on you. Just to show you I love you. You know I can't jeopardize both our reputations. Despite what you say. Despite what you choose to do with yourself this summer. You're actin' out, you know you love to see me down. Stressin' over somethin' (stressin' over somethin'). You, you, you, you, you know. That's not the way to get over me. I don't know what you're sayin'. You, you, you know. That's not the way to get over me. All of a sudden you say you don't want me no more. All of a sudden you say that I closed the door. It don't matter to me. It don't matter to me what you say. It don't matter to me. It don't matter to me what you say. Girl, your love, you think you broke it. I'm leavin' you today, you broke my heart. Girl, your love, you think you broke it. I'm leavin' you today, you broke my heart"
"hold on, we're going home (feat. majid jordan)","I got my eyes on you. You're everything that I see. I want your hot love and emotion endlessly. I can't get over you. You left your mark on me. I want your high love and emotion endlessly. 'Cause you're a good girl and you know it. You act so different around me. 'Cause you're a good girl and you know it. I know exactly who you could be. Just hold on, we're going home. Just hold on, we're going home. It's hard to do these things alone. Just hold on, we're going home. I got my eyes on you. You're everything that I see. I want your hot love and emotion endlessly. I can't get over you. You left your mark on me. I want your high love and emotion endlessly. 'Cause you're a good girl and you know it. You act so different around me. 'Cause you're a good girl and you know it. I know exactly who you could be. Just hold on, we're going home (going home). Just hold on, we're going home (going home). It's hard to do these things alone (these things alone). Just hold on, we're going home. You're the girl. You're the one. Gave you everything I loved. I think there's something, baby. I think there's something, baby. You're the girl. You're the one. Gave you everything I loved. I think there's something, baby. I think there's something, baby. 'Cause you're a good girl and you know it. You act so different around me. 'Cause you're a good girl and you know it. I know exactly who you could be. Just hold on, we're going home (going home). Just hold on, we're going home (going home). It's hard to do these things alone (these things alone). Just hold on, we're going home. Going home"
take care (feat. rihanna),"Know you've been hurt by someone else. I can tell by the way you carry yourself. If you let me, here's what I'll do. I'll take care of you. I've loved and I've lost. I've asked about you and they've told me things. But my mind didn't change. I still feel the same. A life with no fun, please don't be so ashamed. I've had mine, you've had yours we both know. We know, they don't get you like I will. My only wish is I die real. Cause that truth hurts, and those lies heal. And you can't sleep thinking that he lies still. So you cry still, tears all in the pillow case. Big girls all get a little taste. Pushing me away so I give her space. Feeling with a heart that I didn't break. I'll be there for you, I will care for you. I keep thanking you, just don't know. Try to run from that, say you're done with that. On your face girl, it just don't show. When you're ready, just say you're ready. When all the baggage just ain't as heavy. And the parties over, just don't forget me. We'll change the pace and we'll just go slow. Won't ever have to worry. You won't ever have to hide. If you seen all my mistakes. So look me in my eyes. Cause if you let me, here's what I'll do. I'll take care of you. I've loved and I've lost. It's my birthday, I get high if I want to. Can't deny that I want you, but I lie if have to. Cause you don't say you love me. To your friends when they ask you. Even though we both know that you do (you do). One time, been in love one time. You and all your girls in the club one time. All so convinced that you're following your heart. Cause your mind don't control what it does sometimes. We all have our nights though, don't be so ashamed. I've had mine, you've had yours, we both know. We know. You hate being alone. You ain't the only one. You hate the fact that you bought the dream. And they sold you once. You love your friends but somebody should've told you something. To save you, instead they say. Don't (hahaha) tell me (hahaha). I don't care (hahaha). If you hurt (hahaha). I don't (hahaha) tell you (hahaha). You don't care (hahaha). It feels good (hahaha). Don't (hahaha) tell me (hahaha). I don't care (hahaha). If you hurt (hahaha). I don't (hahaha) tell you (hahaha). You don't care (hahaha). It feels good (hahaha). Know you've been hurt by someone else. I can tell by the way you carry yourself. If you let me, here's what I'll do. I'll take care of you. I've loved and I've lost"
