let me take you to rio,"Let me take you to Rio, Rio. Fly on the ocean like an eagle, eagle. Then we can chill in my gazeebo, gazeebo. Oh, oh, oh, oh - nah, nah, nah. (Chorus: 2x). All in together now. How you like the weather now. Rio, Rio-oh, Rio, Rio. Right here show me now. You know how to put it on. Rio, Rio-oh, Rio, Rio. You got a light girl turn it on. Here’s mine turn me on. Rio, Rio-oh, Rio, Rio. You got to waltz out let it out. I’m gonna make you bring it up. Rio, Rio-oh, Rio, Rio. Shake it up fast wind it up slow (oh). Just move your body girl. Work it to the floor. Let your body go now. (Now, now, oh oh oh). (Chorus 2x). See that you like it now. By the way you’re dancing now. Rio, Rio-oh, Rio, Rio. Go ahead make it count. Move your body make you bounce. Rio, Rio-oh, Rio, Rio. You got a light girl turn it on. Here’s mine turn me on. Rio, Rio-oh, Rio, Rio. You got to waltz out let it out. I’m gonna make you bring it up. Rio, Rio-oh, Rio, Rio. Shake it up fast wind it up slow (oh). Just move your body girl. Work it to the floor. Let your body go now. (Now, now, oh oh oh). (Chorus 2x). Let me take you to Rio. Show you all around de Janeiro (oh). Take your bop to be like a drummer. Don’t act shy girl you know you wanna. Dance dance,. Dance, dance dance. Dance, dance dance. Girl you know you wanna. Dance dance,. Dance, dance dance. Dance, ohh ohh ohh ohh,. Nah nah nah. (Chorus 4x)"
drop it low (feat chris brown),"Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it. This is for Polow's bitches, for money making bitches. All my ladies, throw your hands in the air. I got Patron in my cup and I don't give a fuck. The baddest bitch in the club right here. They wanna see me drop it, drop it, drop it. Wanna pop it, pop it, pop it, shake that ass on the floor. You wanna see me shake it, shake it, shake it. Yeah, you like it, like it, like it when I drop it real low (oohh). Yeah boy, you like that (oohh). I can tell that you like that (oohh). Yeah boy, you love it when my booty goes. Boom, ba-ba-boom, ba-boom, ba-boom, boom (oooohhh). Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl (oohh). Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. (He got me, move that ass around). Drop it, drop it low, girl. (And move that ass around). Drop it, drop it low, girl. (And move that ass around). Drop it, drop it low, girl. (And move that ass around). He said. Drop it, drop it low, girl. (He got me, move that ass around). Drop it, drop it low, girl. (And move that ass around). Drop it, drop it low, girl. (And move that ass around). Drop it, drop it low, girl. (And move that ass around). Drop it, drop it. I can't stop staring at your body. Put my hands on your body, you sexy for sure. You the real deal kinda hottie. Come and ride in my Bagatti. Girl, come drop it low (oohh). Yeah girl, I like that (oohh yeah). You can tell that I like that (oohh yeah). Yeah girl, I love it when your booty goes. Boom, ba-ba-boom, ba-boom, ba-boom, boom (drop ittt). Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl (yeah!). Drop it, drop it low, girl (drop it low). Drop it, drop it low, girl. Drop it, drop it low, girl (oooohhh). Drop it, drop it low, girl. Drop it, drop it. He got me,. Move that ass around. And move that ass around. And move that ass around. And move that ass around. Low girl, drop it, drop it. Move that ass around. And move that ass around. And move that ass around. And move that ass around. Low girl, drop it, drop it. He say he like the way my booty, booty, booty popped. He say he like the way my booty, booty booty rocked. He say he like the way my booty, booty, booty dropped. Drop, drop, drop. Girl I like the way your booty, booty, booty popped. Girl I like the way your booty, booty, booty dropped. Girl I like the way your booty, booty, booty. Boom, ba-ba-boom, ba-boom, ba-boom, boom (yeahehheaaa). Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. (And I told her, move that ass around). Drop it, drop it low, girl. (Move that ass around). Drop it, drop it low, girl. (Move that ass around). Drop it, drop it low, girl. (Move that ass around) (He Said). Drop it, drop it low, girl. (Move that ass around). Drop it, drop it low, girl. (Move that ass around). Drop it, drop it low, girl. (Move that ass around). Drop it, drop it low, girl. (Move that ass around). Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. Drop it, drop it low, girl. By: Fabyo Fenty"
stronger,"We been through the storm, we've been through it all. We had some close calls but never would fall. We climbed all the mountains and walked thru all the valleys. And u never left me behind (oo). I found my way through the clouds, no more running. scared and closing my eyes. I will be true, this love from my heart, I'm laying my. life on the line. I will survive as long as it's you by my side. I will survive as long as it's you by my side. I'm stronger, stronger, stronger. I will survive as long as it's you by my side. I will survive as long as it's you by my side. I'm stronger, stronger, stronger. They said we wouldn't make but guess what we made it. And we've got them wondering how. You were always for me, never the one to hurt me. You gave me piece of mind. Found my way through the clouds, no more running. scared and closing my eyes. I will be true, this love from my heart, I'm laying my. life on the line. I will survive as long as it's you by my side. I will survive as long as it's you by my side. I'm stronger, stronger, stronger. I will survive as long as it's you by my side. I will survive as long as it's you by my side. I'm stronger, stronger, stronger. Sometimes I can't believe that you are with me,. there's nobody as lucky as me, so I get on my knees to. make sure that he knows I'm grateful for what he gave. me - I will sur-vive. I will survive as long as it's you by my side. I will survive as long as it's you by my side. I'm stronger, stronger, stronger. I will survive as long as it's you by my side. I will survive as long as it's you by my side. I'm stronger, stronger, stronger"
rio rio (feat. b.o.b),"[Intro]. Let me take you... to Rio. Let me take you... to Rio. Let me take you up. Take you high. Take you far, in the sky. Let me take you. Oh, Let me take you... to Rio. [Verse 1: B. o. B]. Rio de Janeiro, yo, just for the weather though. Going for the moment, it's everywhere that we go. Don't worry bout the future, cause really, you never know. Trust yourself, no one can tell you which direction to go. All the time, most of the time, some of the time. Nothing in mind, under the sun, summer is fine. And when it's bad weather, none of the time. It's nothing but blue skies, I'll deal with the clouds some other time. [Hook]. Let me take you to Rio, Rio. Fly over the ocean like an eagle. And we can chill in my gazebo. Oh oh oh oh, na na na. Let me take you to Rio, Rio. Fly over the ocean like an eagle. And we can chill in my gazebo. Oh oh oh oh, na na na. [Verse 2: B. o. B]. Uh! Show you a life that you never experienced. Open your mind and witness the limitless. Some things come easy, but some are the trickiest. Went to relaxin' quit being so serious. Serious, life is mysterious. It appears to be so simple, but also ambiguous. All we can do is enjoy the voyage and soak it up. What an incredible view of the ocean from up above. [Hook]. Let me take you to Rio, Rio. Fly over the ocean like an eagle. And we can chill in my gazebo. Oh oh oh oh, na na na. Let me take you to Rio, Rio. Fly over the ocean like an eagle. And we can chill in my gazebo. Oh oh oh oh, na na na. [Bridge]. Shake it up fast, wind it up slow now. Just move your body girl. Work it to the floor. Let your body go now, now now, oh oh oh. [Hook]. Let me take you to Rio, Rio. Fly over the ocean like an eagle. And we can chill in my gazebo. Oh oh oh oh, na na na. Let me take you to Rio, Rio. Fly over the ocean like an eagle. And we can chill in my gazebo. Oh oh oh oh, na na na"
break me down,(You cant break me down). (Oohh you cant break me down). Look at me look at you. What cha gon do?. Ya showin out buyin out. Waitin on you!. Cause you wanna be the boss wit. The girls all on you!. So I wont stay I'm out ya way. Ey playboy gon and get it get it!. Cause ya tryin me (tryin me tryin me). Ya tryna see if you gon get the best of me. But I wont let you mess wit me (nahh). Cause ya tryin and tryin tryin tryin to keep. Tryna keep me at the bottom. But its gon be a problem!. (Cause I). I done been through the fire. Done climbed every mountain. So you can't break me down!. I done been through the storm now. My strength is reborn now so you. Can't break me down (me down). Me down (me down) me down (me down). So you cant break me down (me down). Me down (me down) me down (me down). So you can't break me down. Its ova now dont turn around. Ima let it be! (be). No beggin no pleadin and no more one more. Chance speech. I will respect your wishes ain't gonna try. To fix this its ova I'm good oh boy I'm not. In ya life. Cause ya tryin me (tryin me tryin me). Ya tryna see if you gon get the best of me. But I wont let you mess wit me (nahh). Cause ya tryin and tryin tryin tryin to keep. Tryna keep me at the bottom. But its gon be a problem!. (Cause I). I done been through the fire. Done climbed every mountain. So you can't break me down!. I done been through the storm now. My strength is reborn now so you. Can't break me down (me down). Me down (me down) me down (me down). So you cant break me down (me down). Me down (me down) me down (me down). You can't break me. If you had your way I would be. Alone in this world but even through. Your best you cant beat me. (Cause I). I done been through the fire. Done climbed every mountain. So you can't break me down!. I done been through the storm now. My strength is reborn now so you. Can't break me down (me down). Me down (me down) me down (me down). So you cant break me down (me down). Me down (me down) me down (me down). You can't break me
big things,"Ester Dean Ft Chris Brown. I does my shit. And i'm gonna have them runnin up on this. I put that bank up in the air like this. All the guys say i'm that chick. They wanna hit it, they can't. I aint never messin with no lames. Right now imma pop that thing. let them know my name. cause i'm in this thang. I'm lookin for a thug at the bar. who drive a big car. cause i'm kinda into big things. Poppin bottles of patron. Do it all night long. but a bitch still good with a body. gotta get some new tracks. and they cost a lot of stacks. so we gotta spend it all up on me. so where the big things at?. eh eh eh ehh. so where the big things at?. eh eh eh ehh. You see me,. In the vip poppin bottles. do you really know me?. It dont matter cause i'm throwin them dollars. At the end of the night i be so turned up. You already know whats in my cup. Hands in the air like i don't give a f*ck. I be the life of the party. Your man gon' buy me nice things. he even let me get the keys to the range. Ha ha ha ha ha ha ha ha. Ha ha ha ha ha ha ha ha. Cause he know i'mma fiu it. gon f*ck it up. girl watch me do it. Ha ha ha ha ha ha ha ha. ha ha ha ha ha ha ha ha. I'm lookin for a thug at the bar. who drive a big car. cause i'm kinda into big things. Poppin bottles of patron. Do it all night long. but a bitch still good with a body. gotta get some new tracks. and they cost a lot of stacks. so we gotta spend it all up on me. so where the big things at?. eh eh eh ehh. so where the big things at?. eh eh eh ehh. Yeah, big wheels so you know im bout to ride around. my kicks ill with my motha f*ckin collar down. burr berry rockin liouey and that prada now. i'm on that new sh*t your sh*t is outta style. i start my car i dont even need a key for it. and when you drink lil mama go and deepthroat it. just freethrow it. now thats a free shot. dr. dre cause i'm giving her the detox. ya grl on me. cause my money long. a beast in the sheets. call me king kong. hands in the air. somethin like a sing along. simon says. eerybody wanna sing my song. I'm lookin for a thug at the bar. who drive a big car. cause i'm kinda into big things. Poppin bottles of patron. Do it all night long. but a bitch still good with a body. gotta get some new tracks. and they cost a lot of stacks. so we gotta spend it all up on me. so where the big things at?. eh eh eh ehh. so where the big things at?. eh eh eh ehh. AlinePrates*"
stay in my life,"I don't meet so many. I don't lost so many. Didn't get hurt by somebody. I have hurt somebody. I've been in the cold. But when now I know. You are the one I want. I aint letting go. Cos I feel the love. Yeah I feel your love. And I aint worried bout it. But Kent I'm so in love. Don't know what you are. But It must be love. I hope you staying... forever. If they in my life. Aint nobody I wanna see, but you... you... you... you. If they in my life. Aint nobody I wanna be with but you... you... you. It took me a minute. But now I know what I'm talking about. Once I got it, I wanna tell me who worry about it ever. I got you in my life. Locking you in my life. You staying in my life. Yeah. I've played a fool. Yeah I've played a few. But boy in the end. There's no game but you. I was in the rain. When you moved the clouds. Now I aint the same. Wanna stay in your life. Cos I feel the love. Yeah I feel your love. And I aint worried bout it. But Kent I'm so in love. Don't know what you are. But it must be love. I hope you staying... forever. If they in my life. Aint nobody I wanna see, but you... you... you... you. If they in my life. Aint nobody I wanna be with but you... you... you. It took me a minute. But now I know what I'm talking about. Once I got it, I wanna tell me who worry about it ever. I got you in my life. Locking you in my life. You staying in my life. Yeah baby. Stay, stay, stay, babe. Stay, stay, stay, babe. Stay in my life nigga. Stay up in my life. Stay in my life. Want you stay in my life. Stay in my life. whatcu stay in my life, life. If they in my life. Aint nobody I wanna see, but you... you... you... you. If they in my life. Aint nobody I wanna be with but you... you... you. It took me a minute. But now I know what I'm talking about. Once I got it, I wanna tell me who worry about it ever. I got you in my life. Locking you in my life. You staying in my life. Yeah baby. Stay in my life whatchu stay in my life [x2]. Hey baby stay up in my life [x4]. If they in my life. Aint nobody I wanna see, but you... you... you... you. If they in my life. Aint nobody I wanna be with but you... you... you. It took me a minute. But now I know what I'm talking about. Once I got it, I wanna tell me who worry about it ever. I got you in my life. keeping you in my life. You staying in my life. Yeah babe"
gimme money (feat. nicki minaj),"Yo, Ester, never been a guesser. But I bet my bottom dollar. Bitches under pressure. Moved out to LA,. Now it's like I sell yay. Money so offensive, niggas call me Elway. You wanna gimme money, gimme money, gimme money. I rather have your time, time. I rather spend your time, time. You can't gimme money, gimme money, gimme money. I rather have your time, time. Cause I got mine, mine. Sit down, let me buy you a drink, boy. You have never seen a chick like me, boy. Your money ain't a thing that I need, boy. I bought the new crib, keep the rent, boy. I can have what I want, I can buy what I want. All I need is your attention. I can have anything that I want, but I just want you. You wanna gimme money, gimme money, gimme money. I rather have your time, time. I rather spend your time, time. You can't gimme money, gimme money, gimme money. I rather have your time, time. Cause I got mine, mine.. Your money can't buy everything, boy. I need your love more than a ring, boy. Yeah, I like nice things, that's icing. But you gotta give me more and make me your girl. I can have what I want, I can buy what I want. All I need is your attention. I can have anything that I want, but all I want is you. You wanna gimme money, gimme money, gimme money. I rather have your time, time. I rather spend your time, time. You can't gimme money, gimme money, gimme money. I rather have your time, time. Cause I got mine, mine.. Yo, Ester, never been a guesser. But I bet my bottom dollar. Bitches under pressure. Moved out to LA,. Now it's like I sell yay. Money so offensive, niggas call me Elway. If I needed money, I would be up in the bank. The crib got exotic fishes in the tank. The 24 gold karat dishes in the sink,. Them bum bitches just be taking picture when they plank.. You wanna gimme money, gimme money, gimme money. I am up in Hong Kong rocking Shojono Tomo. Lobster, sushi rolls with a side of soy sauce. Chopsticks, you know we don't give a fork.. You wanna gimme money, gimme money, gimme money. I rather have your time, time. I rather spend your time, time. You can't gimme money, gimme money, gimme money. I rather have your time, time. Cause I got mine, mine. All on me. All on me. All on me. All on me. All on me. All on me. All on me. All on me. All on me. All on me. All on me. All on me"
all in the past,"[Chorus]. It's all in the past, it hurts too much to bring it up. One thing that almost broke us up. It's all in the past, no I don't wanna talk about it. It's all in the past, yeah, yeah, yeah. [Verse 1]. I don't wanna never hear her name no more for the rest of my life. I don't wanna ever see her face again for the rest of my life. I don't even wanna talk about it, we done work it out. Ain't no need to bring it up cause it's all in the past. [Pre-chorus]. And I tried to forgive you and it seems to be working. My heart feels so better, it's no longer working. So there's no need to unbury worry. It's all in the past, let's leave it all in the past. Woah. [Chorus]. It's all in the past, it hurts too much to bring it up. One thing that almost broke us up. It's all in the past, no I don't wanna talk about it. It's all in the past, yeah, yeah, yeah. [Verse 2]. Everyday I try to feel the same for you. But as hard as I try, I can't let go and feel the same for you. Can't cover my eyes. And when you wanna talk about it, we just fight about it. And it feels like you're diggin' up the pain leave it all in the past. [Pre-chorus]. And I tried to forgive you and it seems to be working. My heart feels so better, it's no longer working. So there's no need to unbury worry. It's all in the past, let's leave it all in the past. Woah. [Chorus]. It's all in the past, it hurts too much to bring it up. One thing that almost broke us up. It's all in the past, no I don't wanna talk about it. It's all in the past, yeah, yeah, yeah"
baby making love,"Baby boy, talk to me. Tell me all your fantasies. 'Cause tonight I guarantee. You'll fulfill 'em all here with me. One by one I'll check 'em off. You've been so good, baby, it's paying off. You can flip it up, spin it 'round. Anyway you want it, make it count. Tonight is all your night. Love me all you like. I'm here to satisfy. Let's make baby, baby making love. Tonight is all your night. Love me all you like. I'm here to satisfy. Let's make baby, baby making love. Grab my hair from the back. If I run, snatch it back. Don't be afraid to lay it down. Ain't no rules this time around. It's up to you, what we gon' do. I'm your baby, let's do something new. Do what you like, do what you please. Come here baby, give it to me. Tonight is all your night. Love me all you like. I'm here to satisfy. Let's make baby, baby making love. Tonight is all your night. Love me all you like. I'm here to satisfy. Let's make baby, baby making love. Go ahead and make me scream, make me shout. Make me love it, turn me out. Make me scream, make me shout. Make me love it, turn me out. Make me scream, make me shout. Make me love it, turn me out. Make me scream, make me shout. Make me love it, turn me out. Tonight is all your night. Love me all you like. I'm here to satisfy. Let's make baby, baby making love. Tonight is all your night. Love me all you like. I'm here to satisfy. Let's make baby, baby making love"
