all the way up,"[Hook: Infared]. Nothing can stop me, I'm all the way up. All the way up. I'm all the way up. I'm all the way up. Nothing can stop me, I'm all the way up. [Bridge: French Montana]. Shorty what you want? Shorty what you need?. My niggas run the game, we ain't ever leavin'. Countin' up this money, we ain't never sleepin'. You got V12, I got 12 V's. Got bottles, got weed, got molly. I'm all the way up. Shorty what you want? I got what you need. Shorty what you want? I got what you need. Shorty what you want? I got what you need. [Hook: Infared]. I'm all the way up. I'm all the way up. I'm all the way up. All the way up. Nothing can stop me, I'm all the way up. [Verse 1: Fat Joe]. For my niggas with Bentley coupes and Rolexes. Kicked the bitch out the room and gave her no breakfast. Had to stash the jewels, these bitches so reckless. Keep my hoes on cruise, I'm talkin' naughty nothings. Shorty uptown showin' off her new things. Couldn't take it all so I gave her un chin. She call me top shotta, yeah I keep a few tings. Champion sound, yeah I got a few rings. And I'm all the way up. And you can stay up. And if you ask anybody where I live. They'll point to the hills and say. Go all the way up. Go all the way up. [Hook: Infared]. I'm all the way up. I'm all the way up. Nothing can stop me, I'm all the way up. [Verse 2: Remy Ma]. Just left the big house to a bigger house. Ain't have a girlfriend but the bitch is out. Chanel croc bag, shit ain't even out. With the gold chains, Himalayan, Birkin cocaine. Lit it up, Pac shit, I hit 'em up. I'm talkin' color money, purple yen and blue dirham. I got brown lira, I ain't talkin' 'bout Ross bitch. I'm that nigga on Viagra dick. That means I'm all the way up. And you can stay up. P. O. s say I can't get high. Hopped in the helicopter Uber and said. Go all the way up. Go all the way up. [Hook: Infared]. I'm all the way up. I'm all the way up. Nothing can stop me, I'm all the way up. [Bridge: French Montana Fat Joe]. Shorty what you want? Shorty what you need?. My niggas run the game, we ain't ever leavin'. Countin' up this money, we ain't never sleepin'. You got V12, I got 12v. Got bottles, got weed, got molly. I'm all the way up. Shorty what you want? I got what you need. Shorty what you want? I got what you need. Shorty what you want? I got what you need. [Hook: Infared]. I'm all the way up. I'm all the way up. I'm all the way up. I'm all the way up. Nothing can stop me, I'm all the way up. All the way up. I'm all the way up. I'm all the way up. Nothing can stop me, I'm all the way up"
what's love?,"Fat Joe:. Put the fuckin' mic on. Mic is on. Joe Crack the Don uh. Yeah, Yeah, Y'All. Irv Gotti. Ashanti:. What's love?. Fat Joe:. Ashanti, Terror, Terror Squad. It should be about us. Be about trust. Chorus: Ashanti (Ja Rule) {Fat Joe}. What's love? (Got to do, got to do with it babe) {Yeah, Yeah, Y'All}. What's love?. It's about us {It's about us}. It's about trust babe {Be about trust}. What's love? (Got to do, got to do with it babe) {Yeah, Yeah, Uh}. What's love?. It should be about us {It should be about us}. It should be about trust babe {Be about trust}. What's love?. Verse 1: Fat Joe. Yeah, yeah, uh, uh, woo, yeah, slow down baby. Let you know from the gate I don't go down lady. I wanna chick with thick hips. That licks her lips. She can be the office type or like to strip. Girl you get me aroused how you look in my eye. But you talk to much man your ruinin' my high. Don't wanna lose the feelin'. Cause the roof is chillin'. It's on fire & you lookin'. Good for the gettin'. I'm rida. Other in a hoodie or a linner I'ma provider. You should see the jewelery on my women. & I'm livin' it up. The squad stay feelin' the truck. With Chicks that's willin' to triz with us uh. You say you gotta man & your in love. But what's love. Gotta do with a little menage. After the party. Just me & you. Could just slide for a few. & she could come too. That's love!. Chorus. Verse 2: Fat Joe. Yeah, uh, yeah, yo, mommy, I know you got issues. You gotta man. But you need to understand. That you got something with you. Ass is fat, frame is little. Tattoo in your chest with his name in the middle. Uh, I'm not a hater I just crush a lot. & the way you shake your booty I don't want you to stop. You Need to come a little closer (You need to come a little closer). & let me put you under my arm like a Don is supposed ta. (Like a Don is supposed. ta). Please believe. You leave with me. We'd be freakin' all night like we was on E. You need to trust the god & jump in the car. For a little hard 8 at the Taj Mahal. What's love?. Chorus. Verse 3: Fat Joe, Ashanti. Yeah, uh, yo, I stroll in the club with my hat down. Michael Jack style. Hot 7 who the mack now?. Not my fault cause they love the kid. Might be the chain or the whip. I don't know what it is. We just party & bullshit. Come on mommy put your body in motion. You gotta nigga open. You came here with the heart to cheat. So you need to sing the song with me. All my ladies come on. Ashanti (Fat Joe). When I look in your eyes there's no stopin' me. I want the Don Joey Crack on top of me (Uh-huh). Don't want your stacks (Yeah). Just break my back (Uh). Gonna cut you no slack (Whoo). Cause I'm on it like that (Uh, Come On). Come on (Yeah, Yeah, Y'All) & put it (Yeah, Yeah, Y'All) on me. (Put it on ya Girl) on me (I'm put it on ya Girl)"
i want you,"Fatjoe: TS. Thalía: Hey baby. Fatjoe: Yeah. Thalía: No one else can ever. Fatjoe: You want me to track the dawn Thalía, ahh. TM, You're just another winner. Woo, yeah, uh, yeah, uh, hey Rodney. Terror, come on, its goind down baby. What did I. Do to deserve such a man so special in my life?. So many days and nights. I get on the go while I sit and wait for mister right. Baby, then came you. Laidback with your sexy smile. When you move your body you just drive me wild. If you're feeling me, baby, tell me now. Because I want you, I want you. Baby, no one else can ever want you like I do. I'm feelin' love in the deepest fall, give you the keys and all. You even when helped me when the beef was on. Tell me what you feel ‘cause I'm feeling something real. I feel the same way, you make the Don say. Girl, I want you, girl, I need you. Can't you see. How this love affair would be good for you and me?. ‘Cause baby, I swear no other man can do. The things that you do when you love me. Oh, baby, you're my lifetime fantasy. So smooth, love the way you walk. I just love to hear when you talk your talk. So if you're feeling me, baby, let me know. Because I want you, I want you. Baby, no one else can ever want you like I do. I'm feelin' love in the deepest fall, give you the keys and all. You even when helped me when the beef was on. Tell me what you feel ‘cause I'm feeling something real. I feel the same way, you make the Don say. Girl, I want you, girl, I need you. Slow down, love. Don't you see me with my girl, what you thinkin' it was?. I know you're used to seein' me in the clubs. Different chicks, sippin' Cris', just a million in dubs. But I've changed, only got eyes for her. Believe me, ain't no girl dividin' us. We could maybe elope, have a baby and all. ‘Cause I don't wanna be a player no more. Baby, no one else can ever want you like I do. I feel the same way, you make the Don say. Girl, I want you, girl, I need you. Tell me what you feel ‘cause I'm feeling something real. I feel the same way, you make the Don say. Girl, I want you, girl, I need you. Baby, no one else can ever want you like I do. I feel the same way, you make the Don say. Girl, I want you, girl, I need you. Tell me what you feel ‘cause I'm feeling something real. I feel the same way, you make the Don say. Girl, I want you, girl, I need you. Baby...baby...baby...baby..."
make it rain,"Fat Joe. Owwwwwwwww Scotti lets make it rain on these niggas. Lil Wayne. Yeah I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain,(I make it oh). I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain, (I make it oh). i make it rain on them hoes. I make it rain,(I make It oh ). i make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. Fat Joe. Cr Cr Crack Crack Crack Crack Crack. You hear the Echo. man I seen the best go. you seen how that metal. I'm a Hustla's Hustla, A Pusher's Pusher. you a busta a custerma, I get u sum cooka. Yea Crack is a chemist, I pack an eleven , I mack in a 7, I'll clap at your reverend. I see you in NY,. I'll send you an invite,. you gon need you a pass. that's the code that we live by.. Lil Wayne. Yeah I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain,(I make it oh). I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain, (I make it oh). i make it rain on them hoes. I make it rain,(I make It oh ). i make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. . Fat Joe. OWWWW Clap Clap Clap. Gotta make that ass Clap. Gotta make that ass Clap. Clap Clap Clap Clap. Gotta Make that ass Clap. Gotta make that ass Clap. Now why's everybody so mad at the south for. Change your style up, switch 2 southpaw. Jada I was listening (listening), so I made him a anthem to make some divendens. Lil mama try hit me with the Shoulder Lean,. This Cootco Crack and I control the team. Couple Bricks Stacked up on that triple beam,. my dirty bro sipping that promethazeen. That Gonja Green that Cali Weed, a nigga lose his life to try roll on me. Now yep yep we get it, no advanced about it. And the rain keep fallin even when its Drownin. Lil Wayne. Yeah I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain,(I make it oh). I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain, (I make it oh). i make it rain on them hoes. I make it rain,(I make It oh ). i make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. Fat Joe 3rd verse. Owwwww mami's body is begin man she got it man she does it all. She gets it poppin with no hands I'll make it pour. I'll make it rain on em I'll lay a game to em. I'm gassin misses to tattoo my name on em. Gotta get that baby love, gotta get my paper up. Gotta suspect me,exactly test this crack and want a ring on us. And you know what it is, you its them powder kids. And we know how to bizz, so we don't give a shit.. Lil Wayne. Yeah I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain,(I make it oh). I'm in this bitch for terror. Got a handful of stacks. Better grab an umbrella. I make it rain, (I make it oh). i make it rain on them hoes. I make it rain,(I make It oh ). i make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes. I make it rain,( i make it oh). make it rain on them hoes"
hold u down featuring jennifer lopez,"Hold U Down lyrics. (feat. Jennifer Lopez). [Verse 1]. [Jennifer:]. Now you've been holding me down. For such a long time now. From back then. To now in my story. Straight from the hood. You've always been there for me. And ya had my back. (When they) Back when everybody said. I wasn't anything. It was you who had me holdin' on. No matter what was goin' on. So no whatever ya need I got you. [Fat Joe:]. Reminiscing that 6 train from way back. Now its sky blue phantoms and stretch may backs. Sweepin' them floors in them Bronx apartments. Mira esta que on that red carpet. With Pun died you was the first to call me. I never told you but you was there for me. Whatever you need, I'll be there for you. Crack - I got ya back for real (True story). [Bridge]. [Jennifer:]. Now my loyalty, will always be. With you, if you just promise me. That you'll stay real just like you are. 'Cause baby you don't have to change (no). [Chorus]. [Jennifer:]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. Boy, I'm gon' hold you down. [Fat Joe:]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. Girl, I'm gon' hold you down. [Verse 2]. [Fat Joe:]. 2005 Rakim and Jody Watley. Why'd she paint such a picture so perfect. Quite possibly. The real expression from BX. To South Beach. I'ma always hold you down, girl. You can count on me. [Jennifer:]. So remember this whenever I call. We go back too far. We've been through it all. Even though we haven't spoke. In so long. Ain't nothing has changed. Not a damn thing, baby. [Bridge]. [Jennifer:]. Now my loyalty, will always be. With you, if you just promise me. That you'll stay real just like you are. 'Cause baby you don't have to change because. [Chorus]. [Jennifer:]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. Boy, I'm gon' hold you down. [Fat Joe:]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. Girl, I'm gon' hold you down. [Verse 3]. [Fat Joe:]. Like green, it's the autumns. Things will stay. This industry, yeah, I fought. Made me this way. Get between me and J.Lo. I simply stay. You better off sweepin' leaves. On a windy day (no). [Jennifer:]. So I don't care about the situation. I'ma ride for you if there's a complication. Every time you had my back and all. When we were young. Now you Joe, we crackin' off. [Bridge]. [Jennifer:]. Now my loyalty, will always be. With you, if you just promise me. That you'll stay real just like you are. 'Cause baby you don't have to change because. [Chorus]. [Jennifer:]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. Boy, I'm gon' hold you down. [Fat Joe:]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. Girl, I'm gon' hold you down. [Jennifer and Fat Joe (x2):]. You don't know how much you mean to me. Whenever you down. You know that you can lean on me. No matter the situation. I'm gon' hold you down. Brazuca Boy!. Pedgress for life Bicth"
all i need,"[Talking: Fat Joe]. Cool & Dre. Who you gonna trust?. Yea, you could trust me, haha. [Tony Sunshine]. La la la la la. Oooooh. [Chorus: Tony Sunshine]. I don't care about nothing else my babe (Baby I don't care). All I care is bout being here for you (Oooh). And I won't stare at nobody else my babe (Promise I won't stare). Cuz all I need is you (All I need, all I need baby). [Talking: Fat Joe]. To all the ladies in our lives, you heard. Strong independent women, come on. Yea, huh. [Verse 1: Fat Joe]. What you think gangstas don't cry get hurt by lies. Times you embarrassed me I swallowed my pride. I'm tired of telling you I got nothing to hide. I'm in the studio at night you think I'm out with the guys. Every time I speak to you you got something to say. According to you I'ma speed crushing all day. All I'm askin you for is to be more trusting. I'm outta town all the time and don't accuse you of nothing. Picture me creepin with a chick on tour. When you love my son as if it was yours. I know at times you feel alone cuz I'm not at home. That's why every few hours I pick up the phone. To reassure you my love is more then a scene. I adore you my wife my Colombian queen. I promise to never stray I'm honored everyday. To have a woman like you in the life of Jose (Hey). [Chorus]. [Verse 2: Armageddon]. Yea how I'm supposed to start this. First and first you my queen goddess. My moon my earth the wisdom to a nigga's knowledge. I swear to god it amazes me how you stay in college. And still manage to raise my baby boy when I'm gone and. Touring making dollars assuming that you know that I love you or regardless. I feel its time I showed, you bless you with this ring, now that's. Something to hold you down till a nigga come back. Me and my lady got history this worth she deserves. More then this cold world is giving me to share with her word. And I don't care about nothing else except my girl (my girl). Not myself no one else just my girl (my girl). You bring life to my world you give me strength to go on. And face life even when it seems all holes gone. Labeled my wife but you truly exceed the title. You my future my happiness my heart my idol. I promise girl, that. [Chorus]. [Talking: Fat Joe]. Haha. This is going out to you, you and you and you. [Verse 3: Fat Joe]. To all the ladies out there if you love your man. You need to hold your man embrace your man. And just grab his hand repeat after me. I promise to stay true and give you all of me. Whether he's locked down or on the grind. Or whether is out of work or at work on time. You need to trust that man and respect that man. And you get what you feel you deserve from that man, and. [Tony Sunshine]. Cuz I need somebody who will stand by me. Through the good times and bad times who will always.... always be my girl"
300 brolic,"This is where we fight. this is where they die. on the shields boys. [Fat Joe talking]. Coca. I'm in the greatest shape of my life! 300 Brolic nigga. Who wanna fight? (Who who who who) Who wanna fuck around with the don right now, nigga? (Who who who who who). Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone. who you think you kidding dude. i will just get rid of you. leave you in that critical it's. joey crack the don. You don't even know me. got hundred homies and bogies. with chromies and run up on me. blow your brains on your mom. i am a professional. i will cut your testicles. stuff em in your mouth where them lil shits belong. [Singing]:. We want war. we love war. we need war. we want war. Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone. Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone. crack man, crack man. playin with the gat then. hear that? brat ta tat ta tat ta like the song. taurus, raging bull about the size of my arm. see the size of the charm make your wife leave your arm. that's right, i fight, i done been in brawls. i done did some things that made some killers shit they drawers. i done be on boats in Columbia shippin raw and. i done ripped up plenty of stages with Biggie Smalls. Oh shit, wait a minute, I done did it all. poor righteous teacher i'm featured on final car. I salamaleikum em and, yes yes y'all. and Pun already told you that we ready for war. crack playing, hit mayne, blood stains on the wall. shit mayne, his brains, your remains on the floor. i am a professional. i will cut your testicles. stuff em in your mouth where them lil shits belong. [Singing]:. We want war. we love war. we need war. we want war. Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone. Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone. [Singing]:. We want war. we love war. we need war. we want war. Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone. Just when you thought it was. safe to turn the corner I. had to run up on him like blat! now he's gone"
if it ain't about money,"[Fat Joe - Verse 1]. Wrist on froze, thanks to the stove;. Mattress financial, bank's never closed;. Monday to Sunday, serve all addicts;. Joey Van Gundy, watch me work the Magic;. Aah, and I ain't talkin' NBA;. I ain't even trust the brethren, jealous ones still envy me;. Problem is, these guys ain't even half what they pretend to be;. Cold Don, now look at all the shots that they keep sendin' me;. And your girl the best, she fulfillin' all my fantasies;. She drip, drip, drippin' all up in the Drophead Phantom seats;. Now pop your bottles, blow your cush, fuck what your man say;. 'Cause you know we don't give a fuck, we let the pan play.... [Trey Songz - Chorus]. If it ain't about money, why we wastin' time?. (And tell her that) money's all that's on my mind.... You can believe that, I'll be where the cheese at;. Wrist on froze, better get your hoe;. Pocket full of paper, so these haters can't stand me;. Ballin' like the Lakers, keep heat like Miami,. And she killin' in them jeans, ""Baby, won't you take 'em off for me?"". She said she a boss, she ain't talkin'. If it ain't about money, why we wastin' time?. [Fat Joe - Verse 2]. Neck on froze, thanks to the hoes;. Pussy never plummet, pimp 'til I'm gone;. Powder white work, let's get this shit poppin';. And fuck the police, like them niggaz out in Compton;. Aah, we too fly for our own good;. And you can see the sky shinin' on the chrome hood;. And you can smell that money right off the Lou Vuitton;. Self-made millionaire right from the Bronx;. On my way to Cali, Kobe, he playin' LeBron;. Drop 50 stacks, tell my niggaz ""Pay the bar"";. Stop trippin', that pussy got a nigga hard;. And the Am-Ex card, blacker than my nigga 'Kon.... [Trey Songz - Chorus]. If it ain't about money, why we wastin' time?. (And tell her that) money's all that's on my mind.... You can believe that, I'll be where the cheese at;. Wrist on froze, better get your hoe;. Pocket full of paper, so these haters can't stand me;. Ballin' like the Lakers, keep heat like Miami,. And she killin' in them jeans, ""Baby, won't you take 'em off for me?"". She said she a boss, she ain't talkin'. If it ain't about money, why we wastin' time?. You can believe that, I'll be where the cheese at;. Wrist on froze, better get your hoe;. Pocket full of paper, so these haters can't stand me;. Ballin' like the Lakers, keep heat like Miami,. And she killin' in them jeans, ""Baby, won't you take 'em off for me?"". She said she a boss, she ain't talkin'. If it ain't about money, why we wastin' time?. Enviada por: Caio Moraes"
money showers,"Joe Crack, Remy Ma. This is Dolla $ign, oh ya. [Ty Dolla $ign]. Understand, they gotta understand a nigga. Got her on the town. Every time I'm in your city, make 'em understand. You know how this shit gon' blow up whenever I'm in town. Whenever I'm in town. Yeah, understand, they gotta understand a nigga. Got her on the town. Every time I'm in your city, make 'em understand. You know how this shit gon' blow up whenever I'm in town. Whenever I'm in town. [Ty Dolla $ign]. Money showers, rain, rain, rain, rain. Whole lotta money showers, rain, rain, rain, rain. [Fat Joe]. 10 bands for the prettiest bitch. No hands if you really the shit. My nigga pretty new drop the music, he got something to say. Got her staring at the pole like election day. I make it rain on them hoes, I got that Amber vision. We in the back of the Rolls, her and Blac Chyna kissing. Give me a slice of the cake, I made it shower with dough. That's a whole lotta bread, you know it had to be Joe. Cathedral ceilings in the crib, got sinners in it. I had bitches eating pussy like it's dinner in it. No lie, see everything Gucci, we steady mobbing. Who else could turn a stripper into Tonya Harding?. [Ty Dolla $ign]. Understand, they gotta understand a nigga. Got her on the town. Every time I'm in your city, make 'em understand. You know how this shit gon' blow up whenever I'm in town. Whenever I'm in town. Yeah, understand, they gotta understand a nigga. Got her on the town. Every time I'm in your city, make 'em understand. You know how this shit gon' blow up whenever I'm in town. Whenever I'm in town. [Ty Dolla $ign]. Money showers, rain, rain, rain, rain. Whole lotta money showers, rain, rain, rain, rain. [Remy Ma]. See you gotta understand I'm bad enough to take your husband. Bitch I fuck your man then give him back when I'm done, ugh. Front of my pussy on the back of his tongue. I ain't had love for a nigga since what happened to Pun. So if he fuck around and I don't happen to cum. Nigga you can be my ex, that's where I'm from. Man these funny style bitches, I be laughing at them. Hoes be grabbing his dick, I be grabbing his gun. Walking out the court, thumbs up, Jon Gotti. On my '93 Biggie shit, bullshit and party. Bitch claiming she the queen, what? Not hardly. Who the fuck gave you your crown bitch? Steve Harvey?. [Ty Dolla $ign]. Understand, they gotta understand a nigga. Got her on the town. Every time I'm in your city, make 'em understand. You know how this shit gon' blow up whenever I'm in town. Whenever I'm in town. Yeah, understand, they gotta understand a nigga. Got her on the town. Every time I'm in your city, make 'em understand. You know how this shit gon' blow up whenever I'm in town. Whenever I'm in town. [Ty Dolla $ign]. Money showers, rain, rain, rain, rain. Whole lotta money showers, rain, rain, rain, rain. . Rain, rain, rain, rain. Rain, rain, rain, rain. I don't wanna treat her cruel. (Why?). (But I like honesty so what am I gonna do?)"
take a look at my life,"[Intro: Fat Joe]. Whooo.. friendly day in the neighborhood. Birds is chirpin (Hi neighbor!). Niggas walkin they dogs, ha ha, watering they flowers. That's my neighborhood.. FUCK NO!. I'm from the streets of the BX Boro where niggas push packs. This is that surge shit, that full flex shit, Al Groh shit. Raul ya heard me?. Macho, Jigga Brown JD, Charlie Rock LD, Remy Ma, unh. Sound boy turn this shit up right here. [Fat Joe]. I'm your idol, your highest title, numero uno. Yes I'm Puerto Rican and I speak it so that you know. Stomp.. yeah that's the idea. Leave that nigga leakin from ear ta ear. Listen here young bruh, man ya end is near. They probaly, find your body at the end of the pier. Niggas must be crazy to mistakin me for folk lore. I put the eighty to your baby man I told y'all. Fuckin wit crack's like fuckin wit Crack. What? Pull out the pipe or push your weight back. Look, ya hate that, look we stay straped. From Crook from way back done took the game back. Ya shook, remain fact top of the world, stop knockin the girl. She in the drop with already rock lock and the pearl. Fish Scale ta Heron, live well from here on. Half a mil in ya grill, of course we bare all. Niggas thinkin that this rap is just words. I pull up in they curb, pull a Desert Bird. and clear the block in no time. Get off my dick, stop focus shit and getcha own shine, muhh'fucka. [Chorus: Fat Joe]. Take a look at my life, and you can see that. I'm from the Bronx where it's known to hear the heat clap. Y'all need a nigga like me to point cha fingers at. So stop hating on The Don, you know ya need Crack. Take a look at my life, and you can see that. I'm from the Bronx where it's known to hear the heat clap. Y'all need a nigga like me to point cha fingers at. So stop hating on The Don, you know ya need Crack. [Fat Joe]. First we was thuggin, then bust sluggin. My Lifestyle the shit, really had the streets buggin. Oh no he ain't come back like that. Not Crack with a platinum plaque, yo!. It's the thirteenth al spinna. Niggas use to doubt now we even made Craig Common look like a winner. Me and Diddy skippin out on bills. Just copped the house on a hill, now how that feel?. Fuck, alot of y'all niggas, you been shittin since the first song. Now we rip it down spring break with no shirt on. Ass all out, just swoonin the crowd. Same damn mean bitches wanna move in my house. You see us back to back in 'em snow white trucks. Chain hanging off the rim, you not giving a fuck. You must not be reading it right. Ice so bright, we don't need headlights at night. Yo, crack niggas, ask niggas how I smack niggas. with the mac flast cuz I am what I rap, nigga. TS throw in your hands, make 'em pack nigga. To never let another crew move his back nigga, what!. [Chorus]. [Outro: DJ Kay Slay]. Yeah, DJ Kay Slay a.k.a. Slap ya favorite DJ. The black Fat Joe of the motherfuckin game. Terror Squad motherfuckers, y'all know what it is. I'll buck, ooh, ooh ooh, I'll slap the shit out of one of you. motherfuckers. Y'all front on the Squad, man? Y'all know what it is, man. 2003 shit, faggot ass motherfuckers, get the fuck outta here."
