big girls don't cry,"Da Da Da Da. The smell of your skin lingers on me now. You're probably on your flight back to your hometown. I need some shelter of my own protection baby. Be with myself in center, clarity. Peace, Serenity. I hope you know, I hope you know. That this has nothing to do with you. It's personal, myself and I. We got some straightening out to do. And I'm gonna miss you. like a child misses their blanket. But I've gotta get a move on with my life. It's time to be a big girl now. And big girls don't cry. Don't cry,. Don't cry,. Don't cry. The path that I'm walking, I must go alone. I must take the baby steps til I'm full grown,full grown. Fairy tales don't always have a happy ending do they. And I forseek the dark ahead if I stay. I hope you know, I hope you know. That this has nothing to do with you. It's personal, myself and I. We got some straightening out to do. And I'm gonna miss you. like a child misses their blanket. But I've gotta get a move on with my life. It's time to be a big girl now. And big girls don't cry. Like a little school mate in the school yard. We'll play jacks and uno cards. I'll be your best friend and you'll be mine. Valentine. Yes you can hold my hand if you want to. 'cause I wanna hold yours too. We'll be playmates and lovers. and share our secret worlds. But it's time for me to go home. It's getting late, dark outside. I need to be with myself in center, clarity. Peace, Serenity. I hope you know, I hope you know. That this has nothing to do with you. It's personal, myself and I. We got some straightening out to do. And I'm gonna miss you. like a child misses their blanket. But I've gotta get a move on with my life. It's time to be a big girl now. And big girls don't cry. Don't cry,. Don't cry,. Don't cry. La Da Da Da Da Da"
m.i.l.f. $,"You got that. You got that. You got that milk money. I got that. I got that. I got that Milf money. You got that. You got that. You got that milk money. I got that. I got that. I got that Milf money. I got that Milf money. I got that Milf money. I got that Milf money. I got that Milf money. Heard you're in the mood. for a little milkshake. Welcome to the dairy duchess love factory. I could whip it up, fix you up straight away. Come on in the front door, leavin'out in the back door. Whip it, flip it, hey. Been working at your service. to give it to ya. Didn't mean to make you nervous,. you motherfucker. You got that. You got that. You got that milk money. I got that. I got that. I got that Milf money. I got that Milf money. I got that Milf money. Me and the girls, up in the club. Hating ass hoes but I don't give a fuck. Running 'em muck. Owning the spot. Buying the bar like I bought all these rocks. I been working all week,. now where the hell is my drink?. Hair and nails is on fleek. All my girls on fleek. Cause I-N-D-E-P-E-N-D-E-N-T. Do you know what that means?. Can't see me B-R-O-K-E. I'm P-A-I-D. Heard about me, I'm saying. You got that. You got that. You got that milk money. I got that. I got that. I got that Milf money. You got that. You got that. You got that milk money. I got that. I got that. I got that Milf. I've been whippin' this up. I've been tippin' this cup. I've been waiting my turn. I've been working so hard. Got my spirit turnt up and. I can't stop now. I've been running so long. I been vibing so strong. I want it, I need it, I got it for real. I love it, real woman. I'll feed you this meal. Hey mama I did it, the top of the hill. Been a minute, don't forget it,. motherfucker I'm ill. Now let me see you Milf-shake. (Let me see you Milf-shake). I got that Milf money. I got that Milf money. I got that Milf money. (Let me see you Milf-shake). I got that Milf money. I got that Milf money. I got that Milf money. Been working at your service. to give it to ya. Didn't mean to make you nervous. To give it to ya. You motherfucker"
fergalicious (feat. will.i.am),"(Four, Tres, Two, Uno). (Will.I.Am). Listen up y'all cuz this is it. The beat that I'm banging is delicious. Fergalicious definition make the boys go loco. They want my treasures. So they get their pleasures from my photo. You can see me (you can squeeze me). I ain't easy (I ain't sleazy). I got reasons why I tease 'em. Boys just come and go like seasons. Fergalicious, so delicious. But I ain't promiscuous. And if you was suspicious,. All that shit is ficticious. I blow kisses that puts them boys on rock, rock. And they be lining down the block. Just to watch what I got. (Chorus). It's so delicious. It's hot, hot. It's so delicious. I put them boys on rock, rock. It's so delicious. They want a taste of what I got. I'm Fergalicious. T-t-t-t-t-tasty, Tasty. Fergalicious def... Fergalicious def... Fergalicious def.... Fergalicious definition make them boys go crazy. They always claim they know me. Comin' to me call me Stacy. I'm the F to the E-R-G the I, the E. And can't no other lady put it down like me. I'm Fergalicious (So delicious). My body stay vicious. I be up in the gym just working on my fitness. He's my witness. I put your boy rock, rock. And he be lining down the block. Just to watch what I got. (Chorus). It's so delicious. It's hot, hot. It's so delicious. I put them boys on rock, rock. It's so delicious. They want a taste of what I got. I'm fergalicious. H-h-h-h-h-h hold up! Check it out!. Baby, baby, baby If you really wanna play. Honey, keep your patience Baby, then you'll get a taste. Of my tasty, tasty It's so tasty tasty. It will make you go crazy. T to the A to the S-T-E-Y, girl you tasty. T to the A to the S-T-E-Y, girl you tasty. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the-to the-to the-to the.. (Hit it Fergie). All the time I turn around, brothers gather round. Always looking at me up and down. Looking at my (uhhhh). I just want to say it now. I ain't tryin' to round up drama little mama. I don't wanna take your man. And I know that I'm coming off just a little bit conceited. ..And I keep on repeatin' how the boys want to eat it. But I'm tryin' to tell. that I can't be treated like clientele. 'Cuz they say she delicious. So delicious but I ain't promiscuous. And if you was suspicious. All that shit is ficticious. I blow kisses that puts them boys on rock, rock. And they be lining down the block. Just to watch what I got. (Four, Tres, Two, Uno). My body stay vicious. I be up in the gym just working on my fitness. He's my witness. I put your boy rock, rock. And he be lining down the block just to watch what I got. (Four, Tres, Two, Uno). It's so delicious... It's so delicious... It's so delicious... I'm Fergalicious... T-t-t-t tasty, tasty. It's so delicious... It's so delicious... It's so delicious... I'm Fergalicious... t-t-t-t-t-... T to the A to the S-T-E-Y, girl you tasty. T to the A to the S-T-E-Y, girl you tasty. T to the A to the S-T-E-Y, girl you tasty. T to the A to the S-T-E-Y, girl you tasty. (Four, Tres, Two, Uno). to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the-to-the-to the... (Four, Tres, Two, Uno). to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the-to the- to the... (Four,Tres,Two,Uno). to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the L-I-C-I-O-U-S. to the D to the E to the-to the- to the.."
glamorous (feat. ludacris),"Are you ready?. If you ain't got no money take yo'broke ass home. You say: If you ain't got no money. take yo'broke ass home. G-L-A-M-O-R-O-U-S, yeah G-L-A-M-O-R-O-U-S. We flying the first class. Up in the sky. Poppin' champagne. Livin' my life. In the fast lane. And I wont change. By the glamorous, oh the flossy flossy. [Chorus:]. The glamorous. The glamorous, glamorous (the glamorous life). By the glamorous, oh the flossy flossy. [Verse:]. Wear them gold and diamonds rings. All them things don't mean a thing. Chaperons and limousines. Shopping for expensive things. I be on the movie screens. Magazines and boogie scenes. I'm not clean, I'm not pristine. I'm n queen, I'm no machine. I still go to Taco Bell. Drive thru , raw as Hell. I don't care, I'm still real. No matter how many records I sell. After the show or after the grammys. I like to go cool out with the family. Sippin , reminiscing on days when I had a Mustang. And now I'm in. We flying the first class. Up in the sky. Poppin' champagne. Livin' my life. In the fast lane. And I wont change. By the glamorous, oh the flossy flossy. The glamorous. The glamorous, glamorous (the glamorous life). By the glamorous, oh the flossy flossy. [Ludacris:]. I'm talking Champagne wishes, caviar dreams. You deserve nothing but all the finer things. Now this whole world has no clue to do with us. I've got enough money in the bank for the two of us. Brother gotta keep enough lettuce. To support your shoe fetish. Life styles so rich and famous. Robin Leach will get jelous. Half a million for the stones. Taking trips from here to Rome. So If you ain't got no money. take yo'broke ass home. G-L-A-M-O-R-O-U-S, yeah G-L-A-M-O-R-O-U-S. We flying the first class. Up in the sky. Poppin' champagne. Livin' my life. In the fast lane. And I wont change. By the glamorous, oh the flossy flossy. The glamorous. The glamorous, glamorous (the glamorous life). By the glamorous, oh the flossy flossy. The glamorous. The glamorous, glamorous (the glamorous life). By the glamorous, oh the flossy flossy. I got problems up to here. I've got people in my ear. Telling me these crazy things. That I don't want to know (fuck y'all). I've got money in the bank. And I'd really like to thank. All the fans, I'd like to thank. Thank you really though. Cuz I remember yesterday. When I dream about the days. When I'd rock on Mtv, that be really dope. Damn, It's been a long road. And the industry is cold. I'm glad my daddy told me so. he let his daugther know. [x3]"
clumsy,"Can't help it. The girl can't help it (3x). First time. That I saw your eyes. Boy you looked right through me, mmmhmm. Play it cool. But I knew you knew. That cupid hit me, mmm mmm. You got me trippin, stumbling, flippin, fumbling. Clumsy cuz I'm fallin in love. You got me slippin, tumbling, sinking, fumbling. Clumsy cuz I'm fallin in love. So in love with you. Can't help it. The girl can't help it (repeat 3x). Can't breath. When you touch me, see. Butterflies so crazy, mmm mmm. Whoa now, think I'm goin down. Friends don't know whats with me, mmm mmm. You got me trippin, stumbling, flippin, fumbling. Clumsy cuz I'm fallin in love. You got me slippin, tumbling, sinking, fumbling. Clumsy cuz I'm fallin in love. So in love with you. Can't help it. The girl can't help it (repeat 3x). You know, this isn't the first time this has happened to me. This love sick thing. I like serious relationships and a. A girl like me dont stay single for long. Cuz everytime a boyfriend and I break up. My world is crushed and I'm all alone. The love bug crawls right back up and bites me and I'm back. Can't help it. The girl can't help it (repeat 3x). You got me trippin, stumbling, flippin, fumbling. Clumsy cuz I'm fallin in love. You got me slippin, tumbling, sinking, fumbling. Clumsy cuz I'm fallin in love. So in love with you. so in love with you. so in love with you"
london bridge,"Oh shit, oh shit, oh shit. Hey, Are you ready for this?. You see...Fergie. OK !. When I come to the clubs, step aside. Pop the seeds, don't be hating me in the line. V.I.P because you know I gotta shine. I'm Fergie Ferg. Give me love you long time. All my girls get down on the floor. Back to back drop it down real low. I'm such a lady but I'm dancing like a ho. Because you know what, I don't give a fuck. So here we go!. Refrão (x2):. How come every time you come around. My London London Bridge wanna go down. Like London London London wanna go down. Like London London London be going down. Drinks start pouring. And my speech start slowing. Everybody start looking at you. The Grey Goose got the girl feeling loose. Now I wishing that I didn't wear these shoes. It's like everytime I get up on the dude. Papparazzi put my business in the news. And I'm gonna get up out my face (oh, snap). Before I turn around and spray your ass with mace (oh,. snap). My lips make you want to have a taste (oh, snap). You got that? I got the bass. Refrão (x2):. How come every time you come around. My London London Bridge wanna go down. Like London London London wanna go down. Like London London London be going down. Aah, da, da, da, da, do, do, do, do. Me like a bullet type, you know they comin' right. Fergie lovin' 'em long time. My girls support right?. Aah, da, da, da, da, do, do, do, do. Me like a bullet type you know they comin' right. Fergie lovin' 'em long time. My girls support right?. (spoken) Another A-T-L, Call callabo... Fergie and Polo. When I come to the clubs, step aside. Pop the seeds, don't be hating me in the line. V.I.P because you know I gotta shine. I'm Fergie Ferg. Give me love you long time. All my girls get down on the floor. Back to back drop it down real low. I'm such a lady but I'm dancing like a ho. Because you know what, I don't give a fuck. So here we go!. Refrão (x2)"
life goes on,"Every day when I wake up. Tryna read my fortune on the bottom of my coffee cup. But it seems like I never finish. It's always half full (or is it half empty?). Maybe it's my own superstition. Or a kind of self protection. If it all looks bad, why would I wanna look ahead?. Still sittin' here. Just watching the sun go down (down) , down, (down) , down. Life goes on with or without you. It's up to you what you're gonna do. You could go or you could stay. Who cares anyway?. Life goes on with or without you. Damn it baby, what you're gonna do?. You could go or you could stay. But who cares anyway?. (Who really cares?). Every conversation gets me high on motivation. Gets me craving of your own familiar situation (yeah). Reach the unreachable, achieve the unbelievable. In the midst of all the madness (remember life's beautiful). Still I'm feeling restless. Thinking I should rest less. Work more, play hard, ready for the encore. Is this the kinda life I really wanna live for? (two times). In my heart I know, less is more (more). More (more) , more, more, more. Life goes on with or without you. It's up to you what you're gonna do. You could go or you could stay. Who cares anyway?. Life goes on with or without you. Damn it baby, what you're gonna do?. You could go or you could stay. But who cares anyway?. It's time to take this out of my hands. Is it all gonna be worth it in the end?. 'Cause it's safe here in my comfort zone. Never stray too far from home (yeah, yeah, yeah). But then again this way I'll never know, never know. Maybe I should go. Go crazy, go insane, go for everything. Get the money, dollar bills in your wallet, say ka-ching. Sign the dealy, make a mili, sound famili?. The urgency is sounding the drilly for the ma-milli. And then they really talk in Braille, actin' chilly. They got me feelin' like an achilles, silly, silly, I mean, really?. Really, really? Really really though?. Really, really, really though?. Feel the vibration of the higher ground. Love always leads to the highest sound. Many conversations, people makin' speculations. As to my procrastination due to my revelations. And then they get fugazi. You call yourself a rider. You need to speed your loyalty up like Bugatti. Baby don't underestimate my underdog mentality. We 'bout to race ahead, ambition on Ferrari. Life goes on with or without you. It's up to you what you're gonna do. You could go or you could stay. Who cares anyway?. Life goes on with or without you. Damn it baby, what you're gonna do?. You could go or you could stay. But who cares anyway?. Who cares anyway?. You could go or you could stay. You could go, you could stay"
"a little party never killed nobody (all we got) (feat. q-tip, goonrock)","Just one night all we got. Just one night all we got. Just one night all we got. Just one night all we got. I ain't got time for you baby. Either you're mine or you're not. Make up your mind, sweet baby. Right here, right now's all we got. A little party never killed nobody. So we gonna dance until we drop. A little party never killed nobody. Right here, right now is all we got. Skip, parap-pap. Islands, diamonds, trips around the world. Don't mean a thing if I ain't your girl. A little party never killed nobody. So we gonna dance until we drop. A little party never killed nobody. Right here, right now is all we got. A little party never killed nobody. So we gonna dance until we drop. A little party never killed nobody. Right here, right now is all we got. (Q-Tip). All we got, all we got, all we got, all we got. All we got, all we got, all we got, all we c'mon. All we got-got, got, got-got, got, got-got. God damn. Skip, parap-pap. Hahaha. Glad that you made it, look around. You don't see one person sitting down. They got drinks in their hands. And the room's a buzz. At the end of the night maybe you'll find love. Fake chit chat, the things they got. Got a stout reputation of keeping it hot girl. I'm the party of the year and my master plan. Is to make you realize, I'm your man. See the people get live. Underneath the moonlight. Hotsy-totsy, paparazzi. Hold on while I take this flick. Speak easy. Rocking the feathers I'm breezy. Hope you can keep up boys. Cause believe me, I'm the bees nees. It don't mean a thing if I give you my heart. If you tear it apart, no, ah, ah, ah, aoh. It don't mean a thing if I ain't in your eyes. Papa that ain't gonna fly, no, ah, ah, ah, aoh. It don't mean a thing if I give you my heart. If you tear it apart, no, ah, ah, ah, aoh. It don't mean a thing if I ain't in your eyes. Papa that ain't gonna fly, no, ah, ah, ah, aoh. Just one night all we got. Just one night all we got. Just one night all we got. Just one night all we got. What do you think, Goonrock?. Are you ready?. A little party never killed nobody. So we gonna dance until we drop. A little party never killed nobody. Right here, right now is all we got. A little party never killed nobody. So we gonna dance until we drop. A little party never killed nobody"
sweet child o' mine,"She's got a smile that it seems to me. Reminds me of childhood memories. Where everything. Was as fresh as the bright blue sky. Now and then when I see her face. She takes me away to that special place. And if I stare too long. I'll probably break down and cry. Oh, oh, oh. Sweet child o' mine. Oh, oh, oh, oh. Sweet love of mine. She's got eyes of the bluest skies. As if they thought of rain. I hate to look into those eyes. And see an ounce of pain. Her hair reminds me of a warm safe place. Where as a child I'd hide. And pray for the thunder. And the rain. To quietly pass me by. Oh, oh, oh. Sweet child o' mine. Oh, oh, oh, oh. Sweet love of mine. Oh, oh, oh, oh. Sweet child o' mine. Uh, uh, uh, uh. Sweet love of mine. Where do we go. Where do we go now. Where do we go. Where do we go. Where do we go now. Where do we go now. Where do we go. Where do we go now. Where do we go now. Where do we go. Where do we go now. Where do we go. Where do we go now. Where do we go. Where do we go now. Sweet child. Sweet child o' mine"
l.a. love (la la),"(Mustard on the beat). Uh, tell 'em where I'm from. Finger on the pump. Make the sixth straight jump from Socal. Hollywood to the slums. Chronic smoke get burnt by the California sun. On the west side, east coast where you at?. Just got to New York like a net on a jet. To London, to Brazil, to Quebec. Like the whole damn world took effect to Ferg. Tell 'em. Lay back, slow down. Better represent when we come to your town. So lay back, slow down. Whatchu represent when we come to your town. Say, get in with the business. I'mma be there in a minute. I just booked a pilot's ticket. Thinking Russia need a visit. I'mma run it to the limit. And be on my way to Venice. L. A. got the people saying (la la la la la). Brooklyn saying (la la la la la). Hacienda saying (la la la la la). Vegas saying (la la la la la). Rio saying (la la la la la). Tokyo saying (la la la la la). Down Under saying (la la la la la). Miami saying (la la la la la). Jamaica. Every city, every state, every country you know. All around the globe. Every city, every state, every country you know. This is how it goes. Uh, tell 'em where I'm at. From the plaques to the (uh uh). Everything fat. Got Mustard on a track. My girls all stacked. When I roll down the window, let me know where you're. Atlanta, North South kick it 'lac. Texas grill, Cadillacs through Miami then back. To London, Jamaica, then France. The whole damn world took effect to Ferg. Tell 'em. Lay back, slow down. Better represent when we come to your town. So lay back, slow down. Whatchu represent when we come to your town. Say, get in with the business. When I come from Kansas city. Hit Manila til it's Xmas out to India. I'll visit Puerto Rico. It's exquisite then my people back to Venice. L. A. got the people saying (la la la la la). Moscow saying (la la la la la). España (la la la la la). Kingston saying (la la la la la). San Diego saying (la la la la la). Chi town saying (la la la la la). Germany saying (la la la la la). La Puente saying (la la la la la). Ibiza. Every city, every state, every country you know. All around the globe. Every city, every state, every country you know. This is how it goes. Every city, every state, every country you know. All around the globe. Every city, every state, every country you know. This is how it goes. L. A. got the people saying (la la la la la). Amsterdam saying (la la la la la). Frisco saying (la la la la la). Switzerland saying (la la la la la). Sao Paulo saying (la la la la la). Jo'burg saying (la la la la la). Mexico saying (la la la la la). Stockholm saying (la la la la la). Jamaica. (La la la la la). You on that Cali shit. You like to like it. We legalizing it. Yes you can join us now. We like to love it. We like to love it. We like to love it"
