my house,"Open up the champagne, pop!. It's my house, come on, turn it up. Hear a knock on the door and the night begins. Cause we done this before so you come on in. Make yourself at my home, tell me where you been. Pour yourself something cold, baby, cheers to those. Sometimes you gotta stay in. And you know where I live. Yeah, you know what we is. Sometimes you gotta stay in, in. Welcome to my house. Baby take control now. We can't even slow down. We don't have to go out. Welcome to my house. Play that music too loud. Show me what you do now. We don't have to go out. Welcome to my house. Welcome to my house. Morning comes and you know that you wanna stay. Close the blinds, let's pretend that the time has changed. Keep our clothes on the floor, open up champagne. Let's continue tonight, come on, celebrate. Sometimes you gotta stay in. And you know where I live. Yeah, you know what we is. Sometimes you gotta stay in, in. Welcome to my house. Baby take control now. We can't even slow down. We don't have to go out. Welcome to my house. Play that music too loud. Show me what you do now. We don't have to go out. Welcome to my house. Welcome to my house. Welcome to my [?] . the crib, the spot, the pad. But my house is your house if you throwin' it back. Excuse me if my home driving you insane. Soon as these happy faces came. You can run with the cash. Homerun, slam dunk, touchdown, pass. Mi casa es tu casa so it ain't no holding back. Another shot of vodka. You know what's in my glass. It's my house, just relax. Welcome to my house. Baby take control now. We can't even slow down. We don't have to go out. Welcome to my house. Play that music too loud. Show me what you do now. We don't have to go out. Welcome to my house. Welcome to my house. Welcome to my house. It's my house"
low (feat. t-pain),"[Chorus (T-Pain)]:. Shawty had them Apple Bottom Jeans [Jeans]. Boots with the fur [With the fur]. The whole club was lookin at her. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low. Them baggy sweat pants. And the Reeboks with the straps [With the straps]. She turned around and gave that big booty a smack [Ayy]. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low. [Verse 1 (Flo Rida)]:. I ain't never seen nuthin that'll make me go,. this crazy all night spendin my dough. Had a million dollar vibe and a bottle to go. Dem birthday cakes, they stole the show. So sexual, she was flexible. Professional, drinkin X and oh. Hold up wait a minute, do I see what I think I. Whoa. Did I think I seen shorty get low. Ain't the same when it's up that close. Make it rain, I'm makin it snow. Work the pole, I got the bank roll. Imma say that I prefer them no clothes. I'm into that, I love women exposed. She threw it back at me, I gave her more. Cash ain't a problem, I know where it goes. She had them. [Chorus (T-Pain)]:. Apple Bottom Jeans [Jeans]. Boots with the fur [With the fur]. The whole club was lookin at her. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low. Them baggy sweat pants. And the Reeboks with the straps [With the straps]. She turned around and gave that big booty a smack [Ayy]. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low. [Verse 2 (Flo Rida)]:. Hey. Shawty what I gotta do to get you home. My jeans full of gwap. And they ready for Shones. Cadillacs Maybachs for the sexy grown. Patrone on the rocks that'll make you moan. One stack (come on). Two stacks (come on). Three stacks (come on, now that's three grand). What you think I'm playin baby girl. I'm the man, I'll bend the rubber bands. That's what I told her, her legs on my shoulder. I knew it was over, that Henny and Cola. Got me like a Soldier. She ready for Rover, I couldn't control her. So lucky oo me, I was just like a clover. Shorty was hot like a toaster. Sorry but I had to fold her,. Like a pornography poster. She showed her. [Chorus (T-Pain)]:. Apple Bottom Jeans [Jeans]. Boots with the fur [With the fur]. The whole club was lookin at her. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low. Them baggy sweat pants. And the Reeboks with the straps [With the straps]. She turned around and gave that big booty a smack [Ayy]. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low. [Verse 3 (Flo Rida)]:. Whoa. Shawty. Yea she was worth the money. Lil mama took my cash,. and I ain't want it back,. The way she bit that rag,. got her them paper stacks,. Tattoo above her crack,. I had to handle that,. I was on it, sexy woman, let me shownin. They be want it two in the mornin. I'm zonin in them rosay bottles foamin. She wouldn't stop, made it drop. Shorty did that pop and lock,. Had to break her off that gwap. [Chorus (T-Pain)]:. Shawty had them Apple Bottom Jeans [Jeans]. Boots with the fur [With the fur]. The whole club was lookin at her. She hit the flo [She hit the flo]. Next thing you know. Shawty got low low low low low low low low"
good feeling,"Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. Yes I can, doubt to believe what I know what's his plan. Pull me, grab me, grab till the bucket can't have me. I'll be the president one day. January first, oh, you like that gossip. Like you the one drinking that god sip dot com. Now I gotta work with your tone. How many rolling stones you on?. Yeah I got a brand new spirit,. Picking it when it's done. Woke up on the side of the bed like I won. Talk like a winner, my chest to that sun. G5 dealer, US to Taiwan. Now who can say that, I wanna play back. Mama knew I was a needle in a hay stack. A bugatti boy, plus maybach. I got a feeling it's around asap. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. The mountain top, walk on water. I got power, feel so royal. One second, I'ma strike oil. Diamond, platinum, no more you. Gotta drill a land, never giving in. Giving up's not an option and gotta get it in. Witness I got a heart of 20 men. No fear go to sleep in the lion's den. That flow, that funk, that crown. You looking at the king of the jungle now. Stronger than ever, can't hold me down. A hundred miles going till them bitches smile. Straight game face, it's game day. See me wanna do the drop from Maylay?. No trick plays, I'm Bill Gates,. take a genius to understand me. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good fee.... Let's get it, let's get it, I know you got the good feelin. Let's get it, let's get it, gotta live the life that we livin. Let's get it, let's get it, I know you got the good feelin. Let's get it, let's get it, gotta live the life that we livin. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. Oh, sometimes I get a good feeling, yeah. I get a feeling that I've. Never, never, never, never had before, no no. I get a good feeling, yeah. Oh.... Oh.... Oh.... Oh, sometimes I get a good feeling, yeah."
whistle,"Can you blow my whistle baby, whistle baby. Let me know. Girl I'm gonna show you how to do it. And we start real slow. You just put your lips together. And you come real close. Can you blow my whistle baby, whistle baby. Here we go. I'm betting you like bebop. And I'm betting you love creep mode. And I'm betting you like girls that give love to girls. And stroke your little ego. I bet I'm guilty your honor. But that's how we live in my genre. When in hell I pay rottweiler. There's only one flo, and one rida. I'm a damn shame. Order more champagne, pull it down hellstream. Tryna put it on ya. Bet your lips spin back around corner. Slow it down baby take a little longer. Can you blow my whistle baby, whistle baby. Let me know. Girl I'm gonna show you how to do it. And we start real slow. You just put your lips together. And you come real close. Can you blow my whistle baby, whistle baby. Here we go. Whistle baby, whistle baby,. Whistle baby, whistle baby. It's like everywhere I go. My whistle ready to blow. Shorty don't leave a note. She can get any by the low. Permission not approved. It's okay, it's under control. Show me soprano, cause girl you can handle. Baby we start snagging,. You come in part clothes. Girl I'm losing wing, my bugatti the same road. Show me your perfect pitch,. You got it my banjo. Talented with your lips, like you blew out candles. So amusing,. now you can make a whistle with the music. Hope you ain't got no issue, you can do it. Give me the perfect picture, never lose it. Can you blow my whistle baby, whistle baby. Let me know. Girl I'm gonna show you how to do it. And we start real slow. You just put your lips together. And you come real close. Can you blow my whistle baby, whistle baby. Here we go. Whistle baby, whistle baby,. Whistle baby, whistle baby. Go girl you can work it. Let me see your whistle while you work it. I'mma lay it back, don't stop it. Cause I love it how you drop it, drop it, drop it, on me. Now, shorty let that whistle blow. Yeah, baby let that whistle blow. Can you blow my whistle baby, whistle baby. Let me know. Girl I'm gonna show you how to do it. And we start real slow. You just put your lips together. And you come real close. Can you blow my whistle baby, whistle baby. Here we go. Whistle baby, whistle baby,. Whistle baby, whistle baby"
right round (feat. kesha),"You spin my head right round, right round. When you go down, when you go down down.... You spin my head right round, right round. When you go down, when you go down down.... (Verse 1). Hey!. Hopped out of that house with my swagger. Hop in that with dough, I got places to go!. People to see, time is precious. I look at my crowd and they out of control. Just like my mind where I'm going. No women, no shawties, no nothin but clothes. No stoppin now, my Pirellis on role. I like my jewlrey, that's always on whoa. I know the storm is comin. my pockets keep tellin me it's gonna shower. Call up my homies, it's on. Then pop in the night cuz this mix'll be ours. We keep a fade away shot. cuz we ballin it's platinum patrone that be ours. Lil mama, I owe you just like the flowers. Girl you to drink with all that and power clubs. You spin my head right round, right round. When you go down, when you go down down.... You spin my head right round, right round. When you go down, when you go down down.... From the top of the pole I watch her go down. She got me throwin my money around. Ain't nothin more beautiful to be found. It's going down down.... From the top of the pole I watch her go down. She got me throwin my money around. Ain't nothin more beautiful to be found. It's going down down.... (Verse 2). Heyy!. Shawty must know I'm not playin. My money love her like a numba one fan. Don't look at my mouth, let her talk to my fans. My Benjamin Franklins.... A couple of grands, I got rubberbands. My paper planes makin a dance. Get dirty all night, that's part of my thing. Keep building castles that's made out of sand. She's amazing, the fire blazing. Hotter than cajun. Girl won't you move a lil closer?. Time to get paid, it's maximum wage. That body belong on a poster. I'm in a daze, that bottom is wavin' at me. Like damnit I know you. You wanna show like a gun out of holster. Tell me whatever and I'll be your roper cuz.... You spin my head right round, right round. When you go down, when you go down down.... You spin my head right round, right round. When you go down, when you go down down.... From the top of the pole I watch her go down. She got me throwin my money around. Ain't nothin more beautiful to be found. It's going down down.... From the top of the pole I watch her go down. She got me throwin my money around. Ain't nothin more beautiful to be found. It's going down down.... (Verse 3). Yeah!. I'm spending my money. I'm out of control. Somebody help me. She's takin my bank roll.. But I'm king of the club. And I'm wearin the crown. Poppin these bottles. Touchin these models. Watchin they asses go down down....(echo). You spin my head right round, right round. When you go down, when you go down down.... You spin my head right round, right round. When you go down, when you go down down.... You spin my head right round, right round. When you go down, when you go down down.... You spin my head right round, right round. When you go down, when you go down down..."
wild ones (feat. sia),"(Sia). Hey, I heard you were a wild one. If I took you home. And be your home run. Show me how you'll do. I wanna shut down the club. With you. Hey, I heard you like the wild ones. Wild ones, wild ones. (Flo Rida). I like crazy foolish stupid. Party going wild, just pumping music. I might lose it, blast through the roof. That how we dos it, dos it, dos it. I don't care tonight, you don't care. We like almost there at the right time. Ready to get high, ain't no surprise. Take me so high, jumping on clouds, surfing off ground. Said I gotta be the man, be the head of my fam. Mic check 1, 2,. Send em down in the club with the playboy girls. Till they all get loose, loose. Pop the bottle, we all get hit, then again tomorrow. Gotta break loose, cause that's the motto. The club's shut down, a hundred super models. (Sia). Hey, I heard you were a wild one. If I took you home. And be your home run. Show me how you'll do. I wanna shut down the club. With you. Hey, I heard you like the wild ones. Wild ones, wild ones. (Flo Rida). Party rocker, push non-stopper. More shampoo, number one club popper. Got a hangover like too much vodka. Can't see me with ten binoculars. So cool. No doubt by the end of the night. Got the girls coming off. Then I make that move. Somehow, someway got our ways to prove, prove. All black shades when the sun come through. Oh, it's on like everything goes. Round up baby till the beat gets chose. What happens to that body is a private show. Stays right here, private show. I like 'em untamed, don't tell me bout pain. Tell'em this, bottoms up with the champagne. My life come a humming like a hit plane. To be easy, yeah with the insane. (Sia). Hey, I heard you were a wild one. If I took you home. And be your home run. Show me how you'll do. I wanna shut down the club. With you. Hey, I heard you like the wild ones. Wild ones, wild ones. I am the wild one break me in. Saddle me up and let's begin. I am a wild one tame me now. Runnin' with wolves, soon I'm on the prowl. (Flo Rida). Show you another side of me. A side you would never thought you'd see. Turn up that body, dominatrix. Till you had enough. I hear you like the wild stuff. (Sia). Hey, I heard you were a wild one. If I took you home. And be your home run. Show me how you'll do. I wanna shut down the club. With you. Hey, I heard you like the wild ones. Wild ones, wild ones. (Sia). I am the wild one break me in. Saddle me up and let's begin. I am a wild one tame me now. Runnin' with wolves, soon I'm on the prowl"
sugar (feat. wynter gordon),"Wynter:. My lips like sugar. My lips like sugar. This candy got you sprung. This candy got you sprung. So call me your sugar. So call me your sugar. You love you some. You love you some. I'm sweet like.... Dae! double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae (I'm sweet like...). Double dee double dae. Double dee double dae (I'm sweet like...). Double dee double dae. Sugar.... Flo-rida:. Hey I got a mouth full of cavities. Sweet tooth for the mama like sugar to me. So in love with her lips, got a bug in her ear. So shorty gotta kiss it's an emergency. Spritz sprawl for the taste addicted to her gloss. Smile this way, maybe I'll wipe it off. With my tongue in your face. I love that mistletoe sippin gran marnier,. I'm a fan all day. Do me that favor cuz I like your flavor. My managed behavior, I'm into you major. Sweetest of flavors that's good for this player. My hood now or later, throw back like a pager. Pretty much, you give me a sugar rush. Lil mama you give me high blood pressure. When you blush. Lips feel soft as a feather when we touch,. Shorty that's what's up. Wynter:. My lips like sugar. My lips like sugar. This candy got you sprung. This candy got you sprung. So call me your sugar. So call me your sugar. You love you some. You love you some. I'm sweet like.... Dae! double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae (I'm sweet like...). Double dee double dae. Double dee double dae (I'm sweet like...). Double dee double dae. Sugar.... Flo-rida:. Sh shorty would you mind cuz I want me some. Now or later I don't wanna have to wait you the one. You're vicious oh so delicious. Can't help my interest, can't beat addiction. Wanna piece through a piece gotta get a piece. I don't know a piece give me all your sweets. Bottom and top lip. Bout to have a sugar feast. Never without trip, I'm a lip biting beast. Smile for them things, all 42 teeth. Squeeze the sugarcane on your mouth must be. Ain't you mama syrup sticky. You smack free. Like taffy but classy get at me. I'll gladly let you lower like this. But your lips they'll do me fine. Now baby don't trip with the juicy kind. Get flip on the grid, you ain't lyin. Wynter:. My lips like sugar. My lips like sugar. This candy got you sprung. This candy got you sprung. So call me your sugar. So call me your sugar. You love you some. You love you some. I'm sweet like.... Dae! double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae. Sugar.... Flo-rida:. You like my sugar, my sugar.. You so sweet, so sweet.. Like my candy, my candy. You so sweet, so sweet.. I got a good appetite with you on me, on me.. I'll wrap you out of them clothes.. You my treat, my treat.. Girl you my sugar, I call you candy. And tonight I'm gonna get me some, get me some.. Girl you my sugar, I call you candy. And tonight I'm gonna get me some, get me some sugar.. Wynter:. My lips like sugar. My lips like sugar. This candy got you sprung. This candy got you sprung. So call me your sugar. So call me your sugar. You love you some. You love you some. I'm sweet like.... Dae! double dee double dae. Double dee double dae. Double dee double dae. Double dee double dae (I'm sweet like...). Double dee double dae. Double dee double dae (I'm sweet like...). Double dee double dae. Sugar..."
club can't handle me (feat. david guetta),"You know I know how. To make em stop and stare as I zone out. The club can't even handle me right now. Watchin you watchin me I go all out. The club can't even handle me right now (yeahhhhh). The club can't even handle me right now (yeahhhhh). Hey. I own the light and I don't need no help. Gotta be the feeling that scarface player. Stuntin go wild can't handle this plan. Life of the club arrogant like yeah!. Top like money all the girls just melt. Want to many all know me like Twelve. Look like cash and they all just stare. Bottles, Models, standin on chairs. Fall out 'cause that's the business. All out it's so ridiculous. Zone out so much attention. Scream out I'm in the building (hey!). They watchin I know this. I'm rockin I'm rolling. I'm holding, I know it. You know it. You know I know how. To make em stop and stare as I zone out. The club can't even handle me right now. Watchin you watchin me I go all out. The club can't even handle me right now (yeahhhhh). The club can't even handle me right now (yeahhhhh). Hey. Still feelin myself I'm like outta control. Can't stop now more shots lets go. Ten more rounds can I get a Kato. Paparazzi trying to make me pose. Came to party to I came no more. Celebrate coz that's all I know. Tip the groupies takin off their clothes. Grand finale' like superbowl. Go hard run the show. That's right wild out got money to blow. More light more ice when I walk in the door. No hype I do it big all over the globe. Yeah!. I said it. Go tell it. Confetti. Who ready?. I'm ready!. You ready!. Lets get it!. You know I know how. To make em stop and stare as I zone out. The club can't even handle me right now. Watchin you watchin me I go all out. The club can't even handle me right now (yeahhhhh). (Put your hands up!). (Put your hands up!). (Put your hands up!). The club can't even handle me right now (yeahhhhh). (Put your hands up!). (Put your hands up!). (Put your hands up!). You got me watchin now (hey). Got my attention now (hey). Got everybody in the club wanting to know now. I am a ladies man. Come and be my lady and.... We can ball, soo, ahhhhhh. Bring ya body here let me switch up the atmosphere. Take you up out of this club and in my new limo. Fly you all around the world. What you want baby girl. Are you ready to go now?. You know I know how. To make em stop and stare as I zone out. The club can't even handle me right now. Watchin you watchin me I go all out. The club can't even handle me right now (yeahhhhh). (Put your hands up!). (Put your hands up!). (Put your hands up!). The club can't even handle me right now (yeahhhhh). (Put your hands up!). Lets celebrate now. (Put your hands up!). You know who shut it down!"
"g.d.f.r. (feat. sage the gemini, lookas)","[Sage the Gemini]. I know what you came here to see. If you're a freak, then ya coming home with me. And I know what you came here to do. Now bust it open let me see you get loose. It's going down for real. It's going down for real. It's going down for real. [Flo Rida]. Your girl just kissed a girl. I do bi chicks. Shake for a sheik. I'm throwing these Emirates in the sky. Spending this As-salam alaykum. Peace to M. O. N. E. Y. I love my beaches, south beaches. Surfboard in high tide. I could just roll up. Cause I'm swoled up. So that birthday cake get the cobra. Buggati for real, I'm cold bra. That auto-biography rover. Got the key to my city it's over. It's no thots, only Anna Kournikova's. I set records, ratchets hold up. (I set records, ratchets hold up). I know what you came here to see. If you're a freak, then ya coming home with me. And I know what you came here to do. Now bust it open let me see you get loose. It's going down for real. It's going down for real. It's going down for real. [Sage the Gemini]. It's going down further than femurs. Girls get wetter than Katrina. Yeah my girl you never seen her. Cause my tints by limousiners. And my touch say it's the Midas. We de-plus your man to minus. My team blowing on that slam. Make you cough-cough that's Bronchitis. Put your hands up. It's a stick up, no more makeup. Get that ass on the floor. Ladies put your lip stick up. Double entendre, double entendre. While you're hating I get money. Then I double on tonkas. I know what you came here to see. If you're a freak, then ya coming home with me. And I know what you came here to do. Now bust it open let me see you get loose. It's going down for real. It's going down for real. It's going down for real. It's going down for real. It's going down for real. [Flo Rida]. Lift it, drop it, shake it, pop it. Lift it, drop it, shake it, pop it. Lift it, drop it, shake it. [Sage the Gemini]. It's going down for real. It's going down for real. It's going down for real. It's going down for real. It's going down for real"
hola (feat. maluma),"Alright, to ride. Maluma, baby. I just have to say. Hola, hola-la. We should get acquainted like. Oh my, oh my God. I don't speak your language, but. Hey ma', hey mama. Don't need no translation, just. Come right here, and make your body say it, yeah yeah. Hola-la-la-la-la. Don't know what to say. Like a lollipop. Yeah, that's how you taste. Sweeter than ones in the ice cream truck. You a charm, yeah you give me good luck (Oh). Really no need to speak too much. Oh-oh, for you make me say. Don't put your name right now. But that need to change right now. I saw you across the room. And I just have to say. Hola, hola-la. We should get acquainted like. Oh my, oh my God. I don't speak your language, but. Hey ma', hey mama. Don't need no translation, just. Come right here, and make your body say it, yeah yeah. Hola, hola. Make your body say. Hola, hola. Make your body say. (Maluma, baby). Eres sabrosura pura. Mira qué linda figura. Modela en la orilla de la playa. Con su gafitas Gucci nunca, nunca falla, yeah. Te quiero conocer, tell me what's your name. Vengo de Colombia, baby, if you wanna play. Te quiero conocer, tell me what's your name. Vengo de Colombia, baby, if you wanna play. Don't put your name right now. But that need to change right now. I saw you across the room. And I just have to say. Hola, hola-la. Quiero conocerte ya. Oh my, oh my God. Aunque no me entiendas voy. Hey ma', hey mama. Don't need no translation, just. Come right here, and make your body say it, yeah yeah. Hola, hola. Make your body say. Hola, hola (Dirty boy, baby). Make your body say (Dirty boy). I don't speak your language. But girl, I love that fragrance. You with all that ass, yes. So drop it in rotation. You here for vacation. And I'm here for temptation. I'ma put it on you. Let's see if you can take it. Hola, hola-la (hola, hola). We should get acquainted like. Oh my, oh my God (hola, hola). I don't speak your language, but. Hey ma', hey mama (alright, alright, baby). Don't need no translation, just. Come right here (Maluma, baby). And make your body say, yeah yeah. Hola, hola. Make your body say. Hola, hola. Make your body say. Hola, hola. Make your body say. Hola, hola. Make your body say"
