thinkin bout you,"A tornado flew around my room before you came. Excuse the mess it made, it usually doesn't rain. In Southern California, much like Arizona. My eyes don't shed tears, but, boy,. they pour when I'm thinkin' 'bout you. (Ooh, no, no, no). I've been thinkin' 'bout you (You know, know, know). I've been thinkin' 'bout you. Do you think about me still? Do ya, do ya?. Or do you not think so far ahead?. 'Cause I been thinkin' 'bout forever (Oooh, oooh). No, I don't like you,. I just thought you were cool enough to kick it. Got a beach house I could sell you in Idaho. Since you think I don't love you,. I just thought you were cute. That's why I kiss you. Got a fighter jet, I don't get to fly it, though. I'm lyin' down thinkin' 'bout you. (Ooh, no, no, no). I've been thinkin' 'bout you. (You know, know, know). I've been thinkin' 'bout you. Do you think about me still?. Do ya, do ya?. Or do you not think so far ahead? (Ahead). 'Cause I been thinkin' 'bout forever (Oooh, oooh). Yes, of course. I remember, how could I forget?. How you feel?. And though you were my first time. A new feel. It won't ever get old, not in my soul. Not in my spirit, keep it alive. We'll go down this road. 'Til it turns from color to black and white. Or do you not think so far ahead? (Ahead). 'Cause I been thinkin' 'bout forever (Oooh, oooh)"
pink + white (feat. beyoncé),"[intro: frank ocean]. Yeah, yeah oh. Yeah, yeah yeah. [verse 1: frank ocean]. That's the way everyday goes. Every time we have no control. If the sky is pink and white. If the ground is black and yellow. It's the same way you showed me. Nod my head, don't close my eyes. Half way on a slow move. It's the same way you showed me. If you could fly then you'd feel south. Up north's getting cold soon. The way it is, we're on land. So I'm someone to hold true. Keep you cool in this good life. Won't let you down when it's all ruined. [hook: frank ocean]. Just the same way you showed me, showed me. You showed me love. Glory from above. Good glory, dear. It's all downhill from here. [verse 2: frank ocean]. In the wake of a hurricane. Dark skin of a summer shade. Nose dive in the flood lines. Tall tower, milk crate. It's the same way you showed me. Cannon ball off the porch side. Older kids trying off the roof. Just the same way you showed me (you showed). If you could die and come back to life. Up for air from the swimming pool. You kneel down to the dry land. Kiss the earth that birthed you. Gave you tools just to stay alive. And make it up when the sun is ruined. [hook: frank ocean]. That's the same way you showed me, showed me. You showed me love. Glory from above. Where god could fear. It's all downhill from here. [outro: frank ocean beyoncé]. Real life, lamar woods, don king. Michael jackson all this year. (we've come) say what up to magic, just shoot. Say what up to daddy. Say what up to life, I found it. And I know what you might want to know. Run from me and your team. Still ain't grabbin six (take it easy). Give me somethin sweet. Bitch I might bite, ain't no tellin. This is life, life immortality"
ivy,"I thought that I was dreaming. When you said you love me. It started from nothing. I had no chance to prepare. I couldn't see you coming. It started from nothing. I could hate you now. It's quite alright to hate me now. When we both know that deep down. The feeling still deep down is good. . If I could see through walls. I could see you're faking. If you could see my thoughts. You would see our faces. Safe in my rental like an armored truck back then. We didn't give a fuck back then. I ain't a kid no more. We'll never be those kids again. We'd drive to Syd's, had the X6 back then. Back then. No matter what I did. My waves wouldn't dip back then. Everything sucked back then. We were friends. . I thought that I was dreaming. When you said you love me. It started from nothing. I had no chance to prepare. I couldn't see you coming. It started from nothing. I could hate you now. It's quite alright to hate me now. When we both know that deep down. The feeling still deep down is good. . In the halls of your hotel. Arm around my shoulder so I could tell. How much I meant to you. Meant it sincere back then. We had time to kill back then. You ain't a kid no more. We'll never be those kids again. It's not the same, ivory's illegal. Don't you remember?. I broke your heart last week. You'll probably feel better by the weekend. Still remember, had you going crazy. Scream my name. The feeling deep down is good. . I thought that I was dreaming. When you said you love me. It started from nothing. I had no chance to prepare. I couldn't see you coming. It started from nothing. I could hate you now. It's alright to hate me now. When we both know that deep down. The feeling still deep down is good. . All the things I didn't mean to say. I didn't mean to do. There were things you didn't need to say. Didn't need to...need to. I could dream all night. Dream all night. I could drive all night. Drive all night. Dreaming, dreamin'"
nights,"Part I. [verse 1]. Round the city. Round the clock. Everybody needs you. No you can't make everybody equal. Although you got beaucoup family. You don't even got nobody. Being honest with you. Breath till I evaporated. My whole body see through. Transportation, handmade. And I know it better than most people. I don't trust them anyways. You can't break the law with them. Get some pussy have a calm night. Shooters killing left and right. Working through your worst night. If I get my money right. You know I won't need you. And I tell you, (biitch). I hope the sack is full up. I'm fuckin', no I'm fucked up. Spend it when I get that. I ain't trying to keep you. Can't keep up a conversation. Can't nobody reach you. Why your eyes well up. Did you call me from a seance. You are from a past life. Hope you're doing well bruh. I been out here head first. Always like the head first. Signal coming in and out. Hope you're doing well bruh. Everybody needs you. Everybody needs you. OOh nani nani. This feel like a quaalude. No sleep in my body. Ain't no bitch in my body. New beginnings ahh. New beginnings wake up akh. The sun's going down. Time to start your day bruh. Can't keep being laid off. Know you need the money. If you gon' survive the. Every night shit. The every day shit. [hook]. Dropping baby off at home. Before my night shift. You know I can't hear none. Of that spend the night shit. Kumbaya shit. Want to see nirvana, don't want to die yeah. Wanna feel that na na though. Could you ride come by. After my shift. Know them boys wanna. See me broke down and shit. Bummed out and shit, stressed out and shit. That's every day shit. Shut the fuck up I don't. Want your conversation. Rolling marijuana that's a cheap vacation. My everyday shit, every night shit. My every day shit. Every night shit. [bridge]. All my life, been running from you all my life. Been waiting on you all my life. All my life, you've been missing all my life. Part ii. [verse 2]. Every night fucks every day up. Every day patches the night up. On god you should match it, it's that ko. No white lights til I fuck my 28th up. In 1998 my family had that acura, oh. The legend, kept at least. Six discs in the changer. Back when boswell and percy had it active. Couple bishops in the city building mansions. All the reverends. Preaching self made millionaire status. When we could only eat at shoneys on occasion. After trina hit I had to transfer campus. Your apartment out in houston's. Where I waited. Stayin' with you when I didn't have a address. Fuckin on you when I didn't own a mattress. Working on a way to make it outta texas. Every night. [hook]. Drop the baby off at home. Before my night shift. You know I can't hear none. Of that spend the night shit, kumbaya shit. Want to see nirvana. We don't want to die yeah. Wanna feel that lovin' when you come by. Fuck with me after my shift. Know them boys wanna see me broke down. Wanna see me bummed out. Stressed out. Everyday shit. Shut the fuck up. I don't want your conversation. Rolling marijuana, that's a cheap vacation. Everyday shit, every night shit. Every day shit. Every night shit"
pyramids,"Set the cheetahs on the loose. There's a thief out on the move. Underneath our legion's view. They have taken Cleopatra. Run run run, come back for my glory. Bring her back to me. Run run run, the crown of our pharaoh. The throne of our queen is empty. We'll run to the future. Shining like diamonds in a rocky world. A rocky, rocky world. Our skin like bronze and our hair like cashmere. As we march to rhythm. On the palace floor. Chandeliers inside the pyramid. Tremble from the force. Cymbals crash inside the pyramid. Voices fill up the halls. Set the cheetahs on the loose. There's a thief out on the move. Underneath our legion's view. They have taken Cleopatra. The jewel of Africa. What good is a jewel that ain't still precious?. How could you run off on me?. How could you run off on us?. You feel like God inside that gold. I found you laying down with Samson. And his full head of hair. Found my black queen Cleopatra. Bad dreams, Cleopatra. Remove her. Send the cheetahs to the tomb. Our war is over, our queen has met her doom. No more she lives no more serpent in her room. No more it has killed Cleopatra. Big sun coming strong through the motel blinds. Wake up to your girl for now, let's call her Cleopatra. I watch you fix your hair. Then put your panties on in the mirror, Cleopatra. Then your lipstick, Cleopatra. Then your six-inch heels. Catch her. She's headed to the pyramid. [Hook]. She's working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Pimping in my convos. Bubbles in my champagne. Let it be some jazz playing. Top floor motel suite twisting my cigars. Floor model TV with the VCR. Got rubies in my damn chain. Whip ain't got no gas tank. But it still got woodgrain. Got your girl working for me. Hit the strip and my bills paid. That keep my bills paid. Hit the strip and my bills paid. Keep a nigga bills paid. [Hook]. She's working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. You showed up after work I'm bathing your body. Touch you in places only I know. You're wet & you're warm just like our bathwater. Can we make love before you go. The way you say my name makes me feel like. I'm that nigga. But I'm still unemployed. You say it's big but you take it. Ride cowgirl. But your love ain't free no more. But your love ain't free no more. [Hook]. She's working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight. Working at the pyramid. Working at the pyramid tonight"
nikes,"These bitches want Nikes. They looking for a check. Tell 'em it ain't likely. Said she need a ring like Carmelo. Must be on that white like Othello. All you want is Nikes. But the real ones. Just like you. Just like me. I don't play, I don't make time. But if you need dick I got you and I yam from the line. Pour up for A$Ap. Rip Pimp C. Rip Trayvon, that nigga look just like me. Woo, fuckin' buzzin', woo!. That my little cousin, he got a little trade. His girl keep the scales, a little mermaid. We out by the pool, some little mermaids. Me and them gel. Like twigs with them bangs. Now that's a real mermaid. You been holding your breath. Weighted down. Punk madre, punk papa. He don't care for me. But he cares for me. And that's good enough. We don't talk much or nothin'. But when we talkin' about something. We have good discussion. I met his friends last week, feels like they're up to something. That's good for us. We'll let you guys prophesy. We'll let you guys prophesy. We gon' see the future first. We'll let you guys prophesy. We gon' see the future first. Living so the last night feels like a past life. Speaking of the, don't know what got into people. Devil be possessin homies. Demons try to body jump. Why you think I'm in this bitch wearing a fucking Yarmulke. Acid on me like the rain. Weed crumbles into glitter. Rain, glitter. We laid out on this wet floor. Away turf, no Astro. Mesmerized how the strobes glow. Look at all the people feet dance. I know that your nigga came with you. But he ain't with you. We only human and it's humid in these Balmains. I mean my balls sticking in my jeans. We breathin pheremones, Amber Rose. Sippin' pink-gold lemonades. Feelin'. I may be younger but I'll look after you. We're not in love, but I'll make love to you. When you're not here I'll save some for you. I'm not him but I'll mean something to you. I'll mean something to you. I'll mean something to you. You got a roommate he'll hear what we do. It's only awkward if you're fucking him too"
lost,"Double D. Big full breasts on my baby. (Yo we going to Florida). Triple weight. Couldn't weigh the love I've got for the girl. And I just wanna know. Why you ain't been going to work. Boss ain't working you like this. He can't take care of you like this. Now you're lost. Lost in the heat of it all. Girl you know you're lost. Lost in the thrill of it all. Miami, Amsterdam. Tokyo, Spain, lost. Los Angeles, India. Lost on a train, lost. Got on my buttercream silk shirt and it's Versace. Hand me my triple weight. So I can weigh the work I got on your girl. Too weird to live, too rare to die. No I don't really wish. I don't wish the titties would show. Nor have I ever. Have I ever let you get caught?. Now you're lost. Lost in the heat of it all. Girl you know you're lost. Lost in the thrill of it all. Miami, Amsterdam. Tokyo, Spain, lost. Los Angeles, India. Lost on a train, lost. She's at a stove. Can't believe I got her out here cooking dope. I promise she'll be. Whipping meals up for a family of her own some day. Nothing wrong. (Nothing wrong, ain't nothing wrong). No nothing wrong with a lie. Nothing wrong with another short plane ride. (Nothing wrong, ain't nothing wrong). Through the sky. Up in the sky. You and I. Just you and I. Now you're lost. Lost in the heat of it all. Girl you know you're lost. Lost in the thrill of it all. Miami, Amsterdam. Tokyo, Spain, lost. Los Angeles, India. Lost on a train, lost. Love lost?. Love love. Love lost?. Love love. Love lost. Love love. Love lost. Faith is the substance. Then the other channel on the"
self control,"[intro]. Pool side convo about your summer last night. Oh yeah. About your summer last night. Ain't give you no play, mm. Could I make it shine last night. Could I make it shine, on it last night. Last night. Could we make it in? do we have time?. [verse 1]. I'll be the boyfriend. In your wet dreams tonight. Noses on a rare. Little virgin wears the white. You cut your hair. But you used to live a blinded life. Wish I was there. Wish we had grown up on the same advice. And our time was right. [chorus]. Keep a place for me, for me. I'll sleep between y'all, it's nothing. It's nothing, it's nothing. Keep a place for me, for me. [verse 2]. Now and then you miss it, sounds make you cry. Some nights you dance with tears in your eyes. I came to visit cause you see me like a ufo. That's like never cause. I made you use your self control. And you made me lose my self control. My self control. [chorus]. Keep a place for me, for me. I'll sleep between y'all, it's nothing. Keep a place for me. It's nothing, it's nothing. It's nothing, it's nothing. [outro]. I, I, I. Know you gotta leave, leave, leave. Take down some summer time. Give up, just tonight, night, night. I, I, I. Know you got someone comin'. You're spitting game, oh you got it. I, I, I. Know you gotta leave, leave, leave. Take down some summer time. Give up, just tonight, night, night. I, I, I. Know you got someone comin'. You're spitting game, oh you got it. (nobody else, nobody else). I, I, I. Know you gotta leave, leave, leave. Take down some summer time. Give up, just tonight, night, night. I, I, I. Know you got someone comin'. You're spitting game, oh you got it. I, I, I. Know you gotta leave, leave, leave. Take down some summer time. Give up, just tonight, night, night. I, I, I. Know you got someone comin'. You're spitting game, oh you got it"
white ferrari (feat. james blake & bon iver),"Bad luck to talk on these rides. Mind on the road, your dilated eyes. Watch the clouds float, white ferrari. Had a good time. 16: How was I supposed to know anything?. I let you out at central. I didn't care to state the plain. Kept my mouth closed. We're both so familiar. White ferrari. Close by me. You will find. You will find me. Is this the slow body. Left when I forgot to speak. So I text to speech, lesser speeds. Texas speed, yes. Based takes it's toll on me. Eventually, eventually, yes. I only eventually, eventually, yes. I care for you still and I will forever. That was my part of the deal, honest. We got so familiar. Spending each day of the year, white ferrari. Good times. In this life, life. In this life, life. One too many years. So taste what I lived on a facelift. Mind over matter is magic. I do magic. If you think about it it's over. In no time the best life. Ooh, ooh, ooh, ooh. I'm sure we're taller in another dimension. You say we're smaller. And not worth the mention. You're tired of movin', your body's achin'. We could vacay, there's places to go. Clearly this isn't all that there is. Can't take what's been given. But we're so okay here, we're doing fine. I'm up and naked. You dream of walls that hold us in prison. It's just a scar. At least that's what they call it. And we're free to fall"
good guy,"[verse]. It's a good guy, he hooked it up. Said if I was in ny I should look you up. I, first time I done saw you. You text nothing like you look. Here's to the gay bar you took me to. It's when I realized you talk too much. More than I do. I, it's highlights when I was convinced. That it isn't much more it's so not you. I know you don't need me right now. And to you it's just a late night out. [outro]. This nigga. All the bitches in the neighborhood. Wanna fuck you nigga. He told me. I used to fuck with all of 'em. Yeah I ain't got bitches no more. But now I don't care about bitches. Like that my nigga. That shit jasmine fucking wrecked my heart. I don't even know how to even feel about it"
