wake up in the sky (with bruno mars & kodak black),"Fly, fly, fly. It's Gucci (it's Gucci). Huh? Fly (woo). I drink 'til I'm drunk (yeah) , smoke til I'm high (yeah). Castle on the hill (well damn) , wake up in the sky. You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. The ladies love the luxury (yeah). That's why they all fuck with me (woo). Out here with the moves (yeesh) like I invented smooth. You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. Huh, huh, huh. I stay fresh as hell, take a pic, I might as well, hell. Drop the top and take a selfie, my car drives itself. I got white girls blushin', homie. college girls rushin' on me (woo). All my diamonds custom so they clutchin'. and they touchin' on me. Ooh, pick his vegetables. Ooh, that kid's edible. Ooh, it's incredible. Ooh, ooh, ooh. I smell like Bond Number 9, nine. Section full of foreign dimes. Bitch is starin' at me sayin', ""Wow"". Unforgettable like Nat King Cole. Gucci berry wine, don't sneak and tell your ho (well damn). Her one night show, a human bank roll (whoa). She lost in the sauce 'cause Gucci got the glow (huh). I drink 'til I'm drunk (brra) , smoke 'til I'm high (it's Guc'). Castle on the hill (heh) , wake up in the sky (you won't). You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. The ladies love the luxury. that's why they all fuck with me. Out here with the moves like I invented smooth. You can't tell me I ain't fly. (you can't tell me I ain't fly). I know I'm super fly (I know) , I know I'm super fly. Now watch me fly, fly. Now watch me fly, fly. You can't tell me I ain't fly. You can't tell me I ain't fly. I know I'm super fly, I know I'm super fly. Kodak, Kodak. Mine so fly, don't need no flight attendant. Big Cuban link, don't need no pendant. I ain't never had no pot to piss in, yeah. Now all my records trendin'. Oh my, I came from stealing bikes to flying on a G5. I don't know why I been smokin' this Cherry Pie so much. But this my life. I'm on adderall, I be smellin' Hi-Tec when I piss. Like it's basketball, I drop 50-pointer on my wrist. It's Lil Kodak take a pic. I came home to drop the heat. All these diamonds got me sick, I'm actin' spoiled. Cutlass sittin' high, I feel like I can fly. So fresh to death it's crazy, I feel like I can die. I done finally got my wings. they make me wanna sing (glee). I drink 'til I'm drunk ('til I'm drunk). Smoke 'til I'm high ('til I'm high). Castle on the hill (ayy) , wake up in the sky. You can't tell me I ain't fly. (you can't tell me I ain't fly, baby). I know I'm super fly (I know it). I know I'm super fly (I know it). The ladies love in luxury, that's why they all fuck with me (ayy). Out here with the moves like I invented smooth. You can't tell me I ain't fly. (you can't tell me I don't fly, baby). I know I'm super fly (I know it). I know I'm super fly (I know it). Now, now watch me fly, fly. Now watch me fly, fly. You can't tell me I ain't fly. I know I'm super fly, I know I'm super fly"
bipolar (ft. quavo),"Ahh, g-got it on Smash. OG Parker, go. Bipolar (brr) , Bipolar (huh) , yeah. Bipolar with the check (Bipolar). I just put somethin' crazy 'round my neck (Bipolar). Go crazy with your ex (Bipolar). I just might go crazy with my bitch (Bipolar). Bipolar with the check (Bipolar). I just put somethin' crazy 'round my neck (Bipolar, yeah). Bipolar with my wrist (Bipolar). Bipolar, man I keep on switchin' whips (Bipolar). Rude bipolar gang, diamond tennis chains on huge (Huge). A marijuana war, we'll take your trees like Scrooge (Yeah). My bitch bad and yellow, but my hunnids all blue (Bad). I just went bipolar, put my wrist on Tom Cruise. Insane man, my stash man, it's crazy in the Range. He must be bipolar 'cause he can't stay in his lane. I'm talking to my shrink, and I'm draped in a mink. She asked me want I need, I said, ""Bitch I need some' to drink"". Ice Cream Mane, man I pull up in a tank (Woo). I feel like Mamma Mia 'cause I'm whippin' in the sink (Yeah). The coroner, the Huncho, the leader of the game (Yeah). Bipolar, C-Murder, the Draco with the shank. Bipolar with the check (Bipolar). I just put somethin' crazy 'round my neck (Bipolar). Go crazy with your ex (Bipolar). I just might go crazy with my bitch (Bipolar). Bipolar with the check (Bipolar). I just put somethin' crazy 'round my neck (Bipolar, yeah). Bipolar with my wrist (Bipolar). Bipolar, man I keep on switchin' whips (Bipolar). Swappin' out the Lamb', think I'm crazy (Skrrt). Shittin' on these hoes, tried to play me (Ugh). Bipolar, I been spending cash lately (Cash). Make you drown in the sauce, too much gravy. Ball player shit, we get cash in this bitch (Ball). Money stretch too long, from the Nawf to the Six (Ayy). Bipolar gang 'cause I spazz on that bitch (Gang, gang). I fucked her, then get out of my face, that's that bipolar shit (Oh yeah). Dance on that work, Huncho James Brown. All them colors in your stones like a damn clown (Clown). Screw that tip on that Uzi, don't make no sound (Shh). Pew, pew, pew, pew, pew, pew, pew, pew, man down. Two million in cars (Two) , I don't know what to drive (No). Neck ice polar (Polar) , all my hoes be bi (Bi). Jet fly solo (Solo) , like a bird in the sky (Sky). Try the gang, we fold ya (Fold ya) , extendos and 9s (9s). Went bipolar in Chanel, went bipolar on the scale (Scale). Went bipolar on the plug, told him, ""Feed me bales"" (Yeah). Went bipolar on drugs (Drugs) , they be telling me, ""Chill"" (Chill). Gave my mom her first dub, she thought I was goin' to jail (Mama, Huncho). Bipolar with the check (Bipolar). I just put somethin' crazy 'round my neck (Bipolar). Go crazy with your ex (Bipolar). I just might go crazy with my bitch (Bipolar). Bipolar with the check (Bipolar). I just put somethin' crazy 'round my neck (Bipolar, yeah). Bipolar with my wrist (Bipolar). Bipolar, man I keep on switchin' whips (Bipolar)"
i get the bag (feat. migos),"Hah, it's Gucci. It's Drop Top (skrrt). Wizop, hoo (skrrt). You get the bag and fumble it. I get the bag and flip it and tumble it (yeah). Straight out the lot, threehundred cash (cash). And the car came with a blunt in it (yeah). Lil mama a thot, and she got ass (thot). And she gon' fuck up a bag (yeah). Pull up to the spot, livin' too fast (yeah). Droppin' the dope in the stash (yah). In Italy, got two foreign hoes, they Dm me (ooh, brr, ayy). Drop the top when it's cold (drop top). But you feel the heat (skrrt, yah, ayy). Be real with me, keep it 100 (whoa). Just be real with me (ayy). Eat it up like it's a feast (whoa, eat it up). They say the dope on fleek (yep). Percocet pill on me (Percocet). Ice on my neck, baby, chill with me (ice). Them niggas that flex in the back don't say nothin'. Them niggas will kill for me. Back ends I count 'em asleep, on fleek. 100k spent on a Patek Phillippe (Phillippe). Bitch, I'm a dog, eat my treat (hrr). Hop out the frog and leap (leap). I put them bricks in the Phantom. My bitch, she walk around like she Kris Jenner (Kris Jenner). I used to break and then enter. Then Takeoff run 'em like the game of temple (whew). It's simple, I play with the mental. Mama said she saw me on Jimmy Kimmel (mama). Canada, 'cause I'm a money symbol. Walkin' with the racks, I'm lookin' crippled (money). Fuck on that bitch then I tip her (tip her). A nickel for me to take pictures (nickel). Not from L. A. but I clip her (brr). Double my cup, pour a triple (Actavis). Fox on my body, no Vivica (fox on my). I'm not your average or typical (I'm not your). Look at my wrist, and it's critical (look at the). Hold it up, droppin' the temperature (droppin' the). I get that bag on the regular (bag). I got a bag on my cellular (brr). Backin' up, baggin' up vegetables (bag). Baggin' up cookies, it's medical (cookies). Cocaine, codeine, et cetera (white). Cocaine and lean, it's federal (white). I take off, landin' on Nebula. As of now 20 M's on my schedule (Takeoff). You get the bag and fumble it. I get the bag and flip it and tumble it (yeah). Straight out the lot, threehundred cash (cash). And the car came with a blunt in it (yeah). Lil mama a thot, and she got ass (thot). And she gon' fuck up a bag (yeah). Pull up to the spot, livin' too fast (yeah). Droppin' the dope in the stash (yah). In Italy, got two foreign hoes, they Dm me (ooh, brr, ayy). Drop the top when it's cold (drop top). But you feel the heat (skrrt, yah, ayy). Be real with me, keep it 100 (whoa). Just be real with me (it's Gucci, ayy). Eat it up like it's a feast (hah, whoa, eat it up). They say the dope on fleek (yep). I know that these niggas gettin' sick of me (eww-ah). These chains on my neck cost a mil' a piece (umm). I won't even like to freestyle for free. I put in the key and I ride the beat (whirr). I won't even come out the house for free. I pay a nigga to drive for me (huh?). Jay Z couldn't even co-sign for me. I do what I want, 'cause I'm signed to me (damn). I get the, I get the, I get the bag. They get the bag, had to cut it in half (whoa). Stop the comparin', y'all makin' me laugh. Need the rehab, I'm addicted to cash (Gucci). Convertible Wop, convertible top. My dope got a vertical, look at it hop. Skrrt, skrrt, skrrt, and it jump out the pot (pot). Came out of jail and went straight to the top. Take it easy, baby, middle of summer, I'm freezin', baby (burr). Don't leave me, baby. Just drop to your knees and please me, baby (don't). I'm fascinated, two bitches so fine that I masturbated (hah). Congratulations, she brain me so good that I graduated (wow). They had to hate it. I don't fuck with them niggas, they plastic, baby (heh). I trap a baby, I rap but own all my masters, baby. It's tragic, baby, I pull up and fuck up the traffic, baby (hah). I'm savage, baby. I'm killin' these niggas, closed casket, baby (ayy, Wop). You get the bag and fumble it. I get the bag and flip it and tumble it (yeah). Straight out the lot, threehundred cash (cash). And the car came with a blunt in it (yeah). Lil mama a thot, and she got ass (thot). And she gon' fuck up a bag (yeah). Pull up to the spot, livin' too fast (yeah). Droppin' the dope in the stash (yah). In Italy, got two foreign hoes, they Dm me (ooh, brr, ayy). Drop the top when it's cold (drop top). But you feel the heat (skrrt, yah, ayy). Be real with me, keep it 100 (whoa). Just be real with me (ayy). Eat it up like it's a feast (whoa, eat it up). They say the dope on fleek (yep)"
both (feat. drake),"Southside. If young metro don't trust you. I'm gon' shoot you. I got so many felonies. I might can't never go to canada. But drake said he gon' pull some strings. So let me check my calendar. I just popped me one. Of them one what-you-call-its. And it boosted my stamina. Now I'm fucking her on the banister. Guess I just east atlanta'd her. I'm in an all red drop tarantula. Fuck a challenger. Damn these hoes ain't got no manners bruh. Where's the manager?. I keep throwing rubber bandies up. Hoe, pull your panties up. 'cause you fuck like a granny fuck. You're just an amateur. This patek philipe. Gon' make this crooked judge. Try throw the book at me. I look like half a million worth of heroin. When she look at me. But you ain't gotta fuck with me my nig. But you're stuck with me. But how you called the cops on me my nig?. You grew up with me. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. Got me talking about my life. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. And I need ya in my life. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. Yeah, I'm both. Yeah, I had a drink, yeah, I smoked. Yeah, you think I need you, but I don't. Just left out dubai with all my folk. Open water, my location is remote. Shout out yachty but this ain't a lil boat. This some shit I wrote about when I was broke. See the power of the mind is not a joke. Man, I said that I would do it and I did. Used to get leftovers out the fridge. Nobody was famous where I lived. 'till I got it jumping at the crib. Took a lot to be able to give, I mean. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. Got me talking about my life. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. And I need ya in my life. I don't usually do this. Unless I'm drunk or I'm high. But I'm both right now. Southside"
cold shoulder (ft. youngboy never broke again),"Earl on the beat. (Hah). (Guwop). Young and reckless, rich and wealthy. Say health is wealth, that means I'm deadly. That's why they sweat me, successful black man. With a felony, but what you tellin' me?. Don't hire me so I bought the company. Bitch ain't shit funny, I'm not Bill Bellamy. They don't- they don't wanna see you ballin', that's what you tellin' me. I know you niggas see me rollin', that's what you tellin' me (Nyoom!). (Burr) Yeah, my diamonds polar. Gotta hit you with the cold shoulder, that's what you tellin' me. Young and reckless, patiently waitin' on you to test this. Got these diamonds on me up in every section. Every nigga 'round me really with the steppin'. Got a bitch look like Keisha, I call her Billie. You niggas gon' take it as if you let it (Let it). I'ma say it myself, I'ma send a message (Yeah). If you run up on me, I'ma up and stretch 'em (Bow). That money ahead of me. Eighteen a felon, I think that they scared of me. Fifty grand for a show if they heard of me. Come to that money, you cannot compare to me (Swear). Stackin' that check, I'm not spendin' my salary (Nah). You know that I'm with it, I swear it ain't no cappin' me. Steady be runnin', the police be after me. I'm goin' under if I let 'em capture me. Say you want smoke when you catch 'em, I got 'em. Straight out that North, bitch, I come from the bottom (Bottom). Workin' that bitch so she called me a doctor. He reached for my neck and get hit with that chopper (Pop-pop). Sippin' on drank and I swear I ain't stoppin'. I pour a deuce up inside of my bottle. Askin' for somethin', I ain't givin' a dollar. Get shot in the face if that bitch got a problem. Young and reckless, rich and wealthy. Say health is wealth, that means I'm deadly. That's why they sweat me, successful black man. With a felony, but what you tellin' me?. Don't hire me so I bought the company. Bitch ain't shit funny, I'm not Bill Bellamy. They don't- they don't wanna see you ballin', that's what you tellin' me. I know you niggas see me rollin', that's what you tellin' me (Nyoom!). (Burr) Yeah, my diamonds polar. Gotta hit you with the cold shoulder, that's what you tellin' me. Life is crazy, Gucci (Uh) , frigid, human blizzard, gator, lizard. Thank the lord (Lord) , a quarter ticket just for thirty minutes (Lord, lord). I'm so indepdendent, in Atlantic like I own the buildin' (Uh). Started- Started off with JC Penney's, now I rock Givenchy (Yeah). Drop top, convertible off, my roof is in the trash (Trash). Thought that I was slow, now I'm right back on they ass (They ass). Cold shoulder hoes, man, I give a bitch a penny. Took a low, sold the bows and bought myself a Bentley (Yeah). Heard that I was thirty up and now he get offended (Huh?). Gave my nig a couple mil and now he independent (Huh). Gave myself a record deal and I was independent (Yeah). Cold shoulder, ho, ho, I don't know you, nigga. Young and reckless, rich and wealthy. Say health is wealth, that means I'm deadly. That's why they sweat me, successful black man. With a felony, but what you tellin' me?. Don't hire me so I bought the company. Bitch ain't shit funny, I'm not Bill Bellamy. They don't- they don't wanna see you ballin', that's what you tellin' me. I know you niggas see me rollin', that's what you tellin' me (Nyoom!). (Burr) Yeah, my diamonds polar. Gotta hit you with the cold shoulder, that's what you tellin' me. (Burr). (Burr)"
off the boat,"Hah, go. Marii Beatz, turn me up. Guwop (Hah, Gucci). It's Gucci (Gucci). (Gucci, hah). Dun D-D-D-Deal (Ayy). Hah. My bitch came off a boat, boat, boat, boat (Mwah). I'm never goin' broke, broke, broke, broke (Hah). It look like we sellin' dope, dope, dope, dope (Wow). Fur coat on, I'm the goat, goat, goat, goat (Burr, burr, burr). My foot on niggas' throat, throat, throat, throat (Hah, pussy). Diamond cross on like the Pope, Pope, Pope, Pope. Jewelry really cold, got me really froze. Like J. Cole, I think my neighbors know I'm sellin' wholes. Me and the white girl just eloped (Hah). Same day, my bricks came off the boat, boat, boat, boat. I think I'm Pablo on the low (Pablo). But free El Chapo he the goat, goat, goat, goat (Chapo). All these similarities (Huh?). I donate to charity (Yeah). I'm a good samaritan (MM). My bitch ain't American (Mwah). This is not a parody (No). Gold dope, that's a rarity (Gold). Gucci Mane's a murder, you sure you wanna marry him?. Big rock clarity, your jewelry's embarrassing (Hah). Live on a Sunday 'cause the Lord came Saturday. They call me Runway, I'm wearin' it. Skip da Flip', I'm havin' it. I'm Rich the Kid, I'm dabbin' it. And fuck your clique, we darin' it (Fuck 'em). My bitch came off a boat, boat, boat, boat (Mwah). I'm never goin' broke, broke, broke, broke (Hah). It look like we sellin' dope, dope, dope, dope (Wow). Fur coat on, I'm the goat, goat, goat, goat (Burr, burr, burr). My foot on niggas' throat, throat, throat, throat (Hah, pussy). Diamond cross on like the Pope, Pope, Pope, Pope. Jewelry really cold, got me really froze (It's Gucci). Like J. Cole, I think my neighbors know I'm sellin' wholes. My plug from Mexico-co-co-co (Gato). But all my folks on Gresham Road, Road, Road, Road (Gato). Bouldercrest and Candler Road, Road, Road, Road (Goat). I had them bricks right by Flat Shoals, everybody know. He's a huge music exec, never been exposed (Whoa). Sold that boy a brick, like to treat his nose. Gettin' skinny as a stick, like to treat her nose (Mwah). Let her snort it on my dick 'cause I'm really gross. All these lights, all these lamps, points, they really glow (Whoa). Want one quarter mill' a verse, I'm like ""Really, bro? "" (Hah). Gave my bitch five million dollars, hold it, hold it, ho (Mwah). All these snitches gettin' exposed 'cause they really hoes. My bitch came off a boat, boat, boat, boat (Mwah). I'm never goin' broke, broke, broke, broke (Hah). It look like we sellin' dope, dope, dope, dope (Wow). Fur coat on, I'm the goat, goat, goat, goat (Burr, burr, burr). My foot on niggas' throat, throat, throat, throat (Hah, pussy). Diamond cross on like the Pope, Pope, Pope, Pope. Jewelry really cold, got me really froze. Like J. Cole, I think my neighbors know I'm sellin' whole"
just like it (ft. 21 savage),"Hah. Guwop. (Honorable C. N. O. T. E). 21. 21. Gato. Hah (It's Gucci) , hah (It's Gucci, hah). Real Zone 6, nigga, straight up. I look just like it. Diamond chains on, they bitin' (Uh, uh). Choke you, can't breathe. Choker chain bitin' like Tyson. Start with no keys (Skrrt). I used to ride around with no license (Skrrt). My diamonds on freeze. But the old me would rob Mike Tyson (Shut up, lay down). Your bitch chose me. Got a cuff with no key but we solid (Probably 12). Why the feds on me?. Didn't they hear on ""Slippery"" I'm nonviolent?. Damn chain still icy (Burr). Still gamblin' at the 'partment, shootin' dices (Bet it, bet it). I did kill Bill, I kill his ass in Volume 2 if he try me (I still will). Do it for the culture. Do it for the vultures, not smilin' (Still trill). The low life grinders. Give a fuck, I give a fuck, just like 'em (Still real). Hotbox strike you. Livin' life by the gun like a Viking (Baow, baow). I know I'm not a lick (Hah). But I know I probably look just like it (Huh? Wop). Lookin' just like it (Burr). Not a lick, but I'm lookin' just like it (With all these damn chains). I'm lookin' just like it. Sell a brick, hit a lick, yeah I'm lookin' just like it (With all these damn chains). I'm lookin' just like it. Not a lick, but I know I'm probably lookin' just like it (With all these damn chains). She lookin' just like it. Super thick, super lit, yeah she lookin' just like it (With all these damn chains). Hot rifle (Draco). Savage still ride with no license (21, facts). Turned 19 (Yeah). Bought a '79 Camaro with nitrous (On God). Nigga, them facts (21). Collier Ridge, nigga, I was sellin' that pack (On God). Zone 6 niggas don't lack. Ridin' down Moreland Ave, nigga, I'm strapped (21). Nigga, I pop it. Fifty cal on me so big, gotta jump out the car just to cock it. You don't want smoke, nigga, stop it. Y'all ain't got enough bodies (21). Look like a lick, dare a nigga try to rob me. 4L Gang, nigga killin' is a hobby. Nigga, you ain't hard, you just geekin' on molly. All these VVS's got me lookin' like Follies (21). I'm on TV (21). I used to sell dope at BP, yeah (21). G-body Cutlass (G-body). Sold QP's of the QT (Yeah, yeah). I'll give your ass a hundred thousand if you find an SI. Nigga, these VV's (It's water). Lookin' just like it. Walkin' lick but I keep the H-E-A-T (21, 21). Lookin' just like it (Burr). Not a lick, but I'm lookin' just like it (With all these damn chains). I'm lookin' just like it. Sell a brick, hit a lick, yeah I'm lookin' just like it (With all these damn chains). I'm lookin' just like it. Not a lick, but I know I'm probably lookin' just like it (With all these damn chains). She lookin' just like it. Super thick, super lit, yeah she lookin' just like it (With all these damn chains)"
hard feelings,"Southside on the track, yeah. Evil Genius. Gucci season. Wizop. Brr! Brr! Haha. Guwop, wizop. Go!. These hoes ain't worth a nickel (Nah). Feelings get real fickle (Hah). Some hoes you got to pimp 'em. Some you show favoritism (Muah). Guwop got money, honey. Too rich for TV, Jonny. But I need you urgently (Come). Come quickly, hurry please (Now). She see me, think it's Christmas (Huh). Filled out like Wendy Williams (Wow). On fleek she look Brazilian (Fleek). Drop top with tinted window (Guwop). Love when she call me papi. Guess I know how to pick 'em. Even when I was fat. Think I invented drippin'. I broke so many hearts. Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings. I broke so many hearts. Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). I broke so many hearts. Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings. Sweet and tender. Fender bender, now she vex. Fighting and fucking. Kissing, suck me on my jet (Nyoom). My life is public. My life's complex but it's no stress. I told her fuck it (Yeah). It ain't no budget 'cause I'm blessed (Guwop). My ex still stalk me. And we done broke up in '96. Why he down talk me?. Guess he can't deal with my success (What). Why you keep trollin'?. And I act like you don't exist (Uh huh). My heart was golden. But now it's frozen with Baguettes (Yeah). I broke so many hearts. Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings. I broke so many hearts. Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). I broke so many hearts. Hope it's no hard feelings (No hard feelings, hard feelings, hard feelings). Hope it's no hard feelings"
mad russian (ft. lil skies),"Wop. M-M-M-Murda. I still fuck her like a mad Russian, she mad crushin'. At least she hit the sad button, she mad blushin'. Diamonds got her head huntin', she head huntin'. Are you scared? 'Cause you ain't saying nothin', we been fuckin'. Yeah they lookin' and they been lookin', they been lurkin' (Wop). Escortin' down her leg, flirtin', she been flirtin'. I pull up in a four seater, one person (One). Fiji diamond bracelet on, they so thirsty. Baby got an ass on her, it's so perfect. She tryna make me glance at her, and it's workin'. Gucci keep them bands on him, he Mr. Perfect. No feeling, no ceiling, he so verted. Ayy, ayy, ayy. Big bands on me, I'ma throw it on the floor. Run it up and hit the mall, I spend it at the Gucci store. Shawty know I'm in designer from my head down to my toes. Oh, you say you wanna cuff me? I ain't trustin' in no ho. Why you say I do too much when you know you do the most. It's a celebration, I might have to make a toast. I just did it for my city, now they calling me the GOAT. Looking for the right direction, I ain't have nowhere to go. She a bad girl, she catching mood swings. She wanna stay the night, and drink the D'usse. She said I follow you, and do what you say. This can be forever boy, master, you're my sensei, ayy. I still fuck her like a mad Russian, she mad crushin'. At least she hit the sad button, she mad blushin'. Diamonds got her head huntin', she head huntin'. Are you scared? 'Cause you ain't saying nothin', we been fuckin'. She a bad girl, she catching mood swings. She wanna stay the night, and drink the D'usse. She said I follow you, and do what you say. This can be forever boy, master, you're my sensei, ayy. Fuck her like a mad Russian. Fuck her like a mad Russian. Fuck her like a mad Russian. Fuck her like a mad Russian"
fetish,"Take it or leave it. Baby take it or leave it. But I know you won't leave it. 'Cause I know that you need it. Look in the mirror. When I look in the mirror. Baby I see it clearer. Why you wanna be nearer. I'm not surprised. I sympathize, ah. I can't deny. Your appetite, ah. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. Reaching your limit. Say you're reaching your limit. Going over your limit. But I know you can't quit it. Something about me. Got you hooked on my body. Take you over and under. and twisted up like origami. I'm not surprised. I sympathize, ah. I can't deny. Your appetite, ah. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too. The way you walk, the way you talk. I blame you 'cause it's all your fault. Ya playin' hard, don't turn me off. Ya acting hard, but I know you soft. You my fetish, I'm so with it. All these rumors bein' spreaded. Might as well go 'head and whip it. 'Cause they sayin' we already did it. Call on Gucci if you ever need and. I'll be South Beach. in the drop top gleamin'. Order diamonds, Aquafina. Just need you in a blue bikini. You got a fetish for my love. I push you out and you come right back. Don't see a point in blaming you. If I were you, I'd do me too"
