stereo hearts (feat. adam levine),"My heart's a stereo. It beats for you, so listen close. Hear my thoughts in every note oh oh. Make me your radio. Turn me up when you feel low. This melody was meant for you. To sing along to my stereo. If I was just another dusty record on the shelf. Would you blow me off and play me like everybody else?. And if I asked you to scratch my back, could you manage that?. Like with your hands ""look Travie, I can handle that"". Furthermore I apologize for any skipping tracks. It's just this last girl that played me left a couple of cracks. I used to, used to, used to now I'm over that. Cos holding grudges over love is ancient artifacts. If I could only find a note to make you understand. I'd sing it softly in your ears and grab you by the hand. Keep me stuck inside your head like your favorite tune. And know my heart's a stereo that only plays for you. My heart's a stereo. It beats for you, so listen close. Hear my thoughts in every note oh oh. Make me your radio. Turn me up when you feel low. This melody was meant for you. To sing along to my stereo. To my stereo. So sing along to my stereo. If I was an old school 50 pound boombox. Would you hold me on your shoulder wherever you walked?. Would you turn my volume up in front of the cops. And crank it higher everytime they told you to stop?. And all I ask is that you don't get mad at me. When you have to purchase mad D batteries. I appreciate every mixtape your friends make. You never know, we come and go like on the interstate. I think I finally found a note to make you understand. If you can hit it, sing along and take me by the hand. Keep me stuck inside your head like your favorite tune. You know my heart's a stereo that only plays for you. My heart's a stereo. It beats for you, so listen close. Hear my thoughts in every note oh oh. Make me your radio. Turn me up when you feel low. This melody was meant for you. To sing along to my stereo. Sing to my stereo. So sing along to my stereo. I only pray you never leave me behind (never leave me). Because good music can be so hard to find (so hard to find). I'd take your hand and hold it closer to mine. Thought love was dead. But now you're changing my mind (come on). My heart's a stereo. It beats for you, so listen close. Hear my thoughts in every note oh oh. Make me your radio. Turn me up when you feel low. This melody was meant for you. To sing along to my stereo. To my stereo. So sing along to my stereo"
cupid's chokehold (feat. patrick stump),"Ba ba da da. Ba ba da da. Ba ba da da. Ba ba da da. Ba ba da da. Take a look at my girlfriend. She's the only one I got (ba ba da da). Not much of a girlfriend. I never seem to get a lot (ba ba da da, ba ba da da). It's been some time since we last spoke. This is gonna sound like a bad joke. But momma I fell in love again. It's safe to say I have a new girlfriend. And I know it sounds so old. But cupid got me in a chokehold. And I'm afraid I might give in. Towels on the mat my white flag is wavin'. I mean she even cooks me pancakes. And alka seltzer when my tummy aches. If that ain't love then I don't know what love is. We even got a secret handshake. And she loves the music that my band makes. I know I'm young but if I had to choose her or the sun. I'd be one nocturnal son of a gun. (ba ba da da, ba ba da da). Take a look at my girlfriend. She's the only one I got (ba ba da da). Not much of a girlfriend. I never seem to get a lot (ba ba da da, ba ba da da). Take a look at my girlfriend. She's the only one I got (ba ba da da). Not much of a girlfriend. I never seem to get a lot (ba ba da da, ba ba da da). It's been awhile since we talked last and I'm tryin' hard not to talk fast. But dad I'm finally thinkin' I may have found the one. Type of girl that will make you way proud of your son. And I know you heard the last song about the girls that didn't last long. But I promise this is on a whole new plane. I can tell by the way she says my name (ba ba da da). I love the way she calls my phone. She even got her very own ringtone. If that ain't love then I don't know what love is (ba ba da da). It's gonna be a long drive home but I know as soon as I arrive home. And I open the door take off my coat and throw my bag on the floor. She'll be back into my arms once more for sure. Take a look at my girlfriend. She's the only one I got (ba ba da da). Not much of a girlfriend. I never seem to get a lot (ba ba da da, ba ba da da). She's got a smile that would make the most senile. Annoying old man bite his tongue. I'm not done. She's got eyes comparable to sunrise. And it doesn't stop there. Man I swear. She's got porcelain skin of course she's a ten. And now she's even got her own song. But movin' on. She's got the cutest laugh I ever heard. And we can be on the phone for three hours. Not sayin' one word. And I would still cherish every moment. And when I start to build my future she's the main component. Call it dumb call it luck call it love or whatever you call it but. Everywhere I go,I keep her picture in my wallet like you. Take a look at my girlfriend. She's the only one I got (ba ba da da). Not much of a girlfriend. I never seem to get a lot (ba ba da da, ba ba da da). Take a look at my girlfriend. She's the only one I got (ba ba da da). Not much of a girlfriend. I never seem to get a lot (ba ba da da, ba ba da da)"
the fighter (feat. ryan tedder),"Just waking up in the morning with the beat well. Quite honest with ya I ain't really sleep well. Ya ever feel like your train a thoughts been derailed?. That's when you press on, Lee nails. Half the population's just waitin to see me fail. Yeah right, you're better off trying to freeze hell. Some of us do it for the females. And others do it for the retails. But I do it for the kids, life's tough, time to head on. Everytime you fall it's only making your chin strong. And I be in your quarter like mid, baby, til the end. Or when you hear this song from that big lady. Until the referee rings the bell. Until both your eyes start to swell. Until the crowd goes home. What we gonna do ya'll?. [Ryan Tedder:]. Give em hell, turn their heads. Gonna live life til we're dead. Give me scars, give me pain. Then they'll say to me, say to me, say to me. There goes a fighter. There goes a fighter. Here comes a fighter. That's what they'll say to me, say to me. Say to me, this one's a fighter. And if I can last thirty rounds. There's no reason you should ever have your head down. Six foot five, two hundred and twenty pounds. Hailing from rock bottom, loserville, nothing town. Text book version of the kid going nowhere fast. And now I'm yelling kiss my ass. It's gonna take a couple right hooks a few left jabs. For you to recognize that you really ain't got it bad. Until the referee rings the bell. Until both your eyes start to swell. Until the crowd goes home. What we gonna do ya'll?. [Ryan Tedder]. Give em hell, turn their heads. Gonna live life til we're dead. Give me scars, give me pain. Then they'll say to me, say to me, say to me. There goes a fighter. There goes a fighter. Here comes a fighter. That's what they'll say to me, say to me. Say to me, this one's a fighter. (Everybody put yo hands up). What we gonna do?. What we gonna do?. What we gonna do?. What we gonna do? Y'all. What we gonna do?. What we gonna do?. What we gonna do? Y'all. You know what we gonna do. If you fall pick yourself up off the floor (get up). And when your bones can't take no more. Just remember what you're here for. Cuz I know imma damn sure. [Ryan Tedder]. Give em hell, turn their heads. Gonna live life til we're dead. Give me scars, give me pain. Then they'll say to me, say to me, say to me. There goes a fighter. There goes a fighter. Here comes a fighter. That's what they'll say to me, say to me. Say to me, this one's a fighter. Till the referee rings the bell. Till both ya eyes start to swell. Till the crowd goes home. What we gonna do kid?"
cookie jar,"[chorus]. I like girls. They like me. They look so good. In Their Satin jeans. Told you to be the one. And my only. I wanna be faithful. But I can't keep my hands out the cookie jar.. (Travis). My hands, my hands, my uh my hands. Can't keep my hands, my hands, my, uh, my. Can't keep my hands, my hands, my, uh, my. Can't keep my hands, my hands my hands out the cookie jar.. . You see I got this problem. I need help tryna solve it. Cos meeting after meeting and I'm still a cookie holic. You can hide them, Imma find them, on the counter, in the closet. And I'll say I ain't do it with my face covered in chocolate. My girl be setting booby traps. To catch me eating Scooby snacks. I left crumbs in the bed once. But I told her I was through with that. She still don't be believing me. And I guess that I'm cool with that. But I got a sweet tooth, that'll never come loose. And the truth of the matter is.. [Chorus]. The Dream:. I like girls,. They like me. They look so good. In Their satin jeans. Told you to be the one. And my only. I want to be faithful. But I can't keep my hands out the cookie jar. (Travis). My hands, my hands, my ha uh my hands. Can't keep my hands, my hands, my, uh, my. Can't keep my hands, my hands, my, uh, my. Can't keep my hands, my hands my hands out the cookie jar.. . I got a thing for Milano, Biscotti Italianos. And I never turn down some Oreos if you got those. Butter Pecan Puerto Rican,. Or them Oatmeal Raisin Asians.. Hazelnut Brazilians,. Macadamia Caucasians,. Double stuffed or thin mint. It don't matter you gettin' it. Cos I got a sweet tooth that'll never come loose. And the fact of the matter is.. [Chorus]. I like girls,. They like me. They look so good. In Their satin jeans. Told you to be the one. And my only. I want to be faithful. But I can't keep my hands out the cookie jar. (Travis). My hands, my hands, my ha uh my hands. Can't keep my hands, my hands, my, uh, my. Can't keep my hands, my hands, my, uh, my. Can't keep my hands, my hands my hands out the cookie jar.. . I'm a monster for these cookies. I'm a beast for they're treats. An animal for they're crackers. Head to feet they so damn sweet. Can't keep my hands, my hands, my ha uh my. Can't keep my hands, my hands, my hands out the cookie jar.. . And then you have it haha. I tried my best. I went to cookie anonymous. I guess I'm a failure. I can't seem to keep my damn hands out the cookie jar but,. It is what it is. Freak!. . . lyric by. danilo"
live a little,"Can you feel the urgency?. Like a needle pulling out. Can you feel the urgency?. Pulses of anxiety. We're just faces in the crowd. Pulses of anxiety.. Are these the lies that we've been taught to believe?. Are these the lives that we have opted to lead?. uh oh, uh oh. Staring at the clock. I hear each tick and tock. And they whisper that I lost the race,. but I won't f**king stop. I'll hold you by my side. I need you here tonight. Cause' if we're gonna' lose this thing. then we're goin' out in style. Time will replace reality. Now we are peaking through the hours. Time will replace reality. So I grasp for sanity. I refuse to be devoured. So I grasp for sanity. Are these the lies that were taught to believe?. Are these the lives we have opted to lead?. uh oh, uh oh. Staring at the clock. I hear each tick and tock. And they whisper that I lost the race,. but I won't f**king stop.. I'll hold you by my side. I need you here tonight. Cause' if we're gonna' lose this thing. then we're goin' out in style. Staring at the clock. I hear each tick and tock. And they whisper that I lost the race,. but I won't f**king stop.. I'll hold you by my side. You know, I need you here tonight. Cause' if we're gonna' lose this thing. then we're goin' out in style. Staring at the clock. I hear each tick and tock. And they whisper that I lost the race,. but I won't f**king stop.. I'll hold you by my side. You know, I need you here tonight. Cause' if we're gonna' lose this thing. then we're goin' out in style"
ass back home (feat. neon hitch),"[Neon Hitch]. I don't know where you're going. Or when you're coming home. I left the keys under the mat to our front door. For one more chance to hold you close. I don't know where you're going. Just get your ass back home. [Travie McCoy]. We both knew this type of life didn't come with instructions. So I'm trying to do my best to make something out of nothing. And sometimes it gets downright shitty in fact. When you call and I don't know what city I'm in at. Or what day of the week in the middle of the month. In a year I don't recall. It's like my life's on repeat and the last time we spoke. I told you I wouldn't be long. That was last November, now December's almost gone. I'd apologize but I don't realize what I'm doing wrong. [Neon Hitch]. I don't know where you're going. Or when you're coming home. I left the keys under the mat to our front door. For one more chance to hold you close. I don't know where you're going. Just get your ass back home. [Travie McCoy]. And you've been nothing but amazing. And I never take that for granted. Half of these birds would have flew the coop. But you, you truly understand it. And the fact you stood beside me. Every time you heard some bogusness. You deserve a standing o 'cause they'd a just been over it. Let em talk, let em talk, let em talk, let em talk. Like we don't hear what they saying. Let em walk, let em walk, let em walk, let em walk. We'll just drive by and keep waving. Cause you and I above all that. Just let them wallow in it. Now they all choked up, yuck. Cause they be swallowing it. [Neon Hitch]. I don't know where you're going. Or when you're coming home. I left the keys under the mat to our front door. For one more chance to hold you close. I don't know where you're going. Just get your ass back home. [Travie McCoy]. No one hold me down like you do sweetheart. You keep doing that, I keep doing this. We'll be alright in the end. Trust that. We put the us in trust, baby. Let's go. [Neon Hitch]. I don't care what you're after. As long as I'm the one, no. I don't care why you're leaving. You'll miss me when you're gone. I don't know where you're going. Or when you're coming home. I left the keys under the mat to our front door. For one more chance to hold you close. I don't know where you're going. Just get your ass back home. I'm home, baby"
6th period: viva la white girl,"Fame, fourtune, platinum records.. Its evey boys dream.. True story.. Somebody asked me one time.. Travie, you high.. You look high.. Shit, Yeah Im high.. Lets go.. The world is yours, so play the role.. Blow the dust off this record and put the needle down slow.. Our veins are cold, but we'll never grow old.. Lets have a toast, and raise our drinks.. No hearts on our sleeves, just eagles on our cuff links.. Its such a rush to know you love me so much.. We'll do whatever you want to.. Girl I'll make a movie star of you.. You know that I could,. If you let me be your hollywood.. We'll get high, and hide.. We are lovers to the glamourous,. white girl so fine.. Going up on the downtown line.. We'll get high, and hide.. We are lovers to the glamourous,. white girl so fine.. Going up on the downtown line.. Take your razor, break down my line.. Put your nose to the speaker.. Now breathe in, breathe in.. Clean up your nose, and face the crowd.. Then kiss your mirror cuz we're all stars now.. Isnt it fun how music makes your lips numb.. We'll do whatever you want to.. Girl I'll make a movie star of you.. You know that I could,. If you let me be your hollywood.. We'll get high, and hide.. We are lovers to the glamourous,. white girl so fine.. Going up on the downtown line.. We'll get high, and hide.. We are lovers to the glamourous,. white girl so fine.. Going up on the downtown line.. Take your razor, break down my line.. Put your nose to the speaker.. Now breathe in, breathe in.. We'll get high, and hide.. We are lovers to the glamourous,. white girl so fine.. Going up on the downtown line.. We'll get high, and hide.. We are lovers to the glamourous,. white girl so fine.. Going up on the downtown line.. Breathe in.. Breathe in.. Breathe in.. Breathe in"
"8th period: it's ok, but just this once!","We put the ""F-U"" back in fun. Serve it up with a smile. You ain't heard this type of stuff in a while. I want your ears right now. Ante up, buck stops here. Put your hands up, like you plan to volunteer. Ollie ollie Oxy Free. Fresh outta detox. Can't afford the doctor's fee. So floor it towards the weed spot. A whole city waitin' for me to fall. Because I made a pretty penny outta nothin' at all. It's that ""circle, cirle, dot, dot"". Cootie shot shit, you know. Everybody lovin' it, but ain't nobody touchin' it, yeah. Decaydance takin' over this year. I feel like dancin' baby hold my fears (So Sexy). And it's ok to be a little risky (ooooh, Ah the Good Times). Forget work it's all play at the end of the day (ooooh, Ah the Good Times). Just be sure to send the females my way (ooooh, Ah the Good Times). Oh look at how cute, we made a mess on the dance floor. So let me get a soul clap, that's what we got hands for. [Clapping]. That's exactly what I've been trying to tell you, Pete, look at 'em. I know you seen 'em as soon as we came in,. Pick your jaw up man, it's alright we havin' a good time,. Ha! Stupid.... Mission acccomplished. Operation spike punch successful. Now back to tellin' girls im only nineteen, wowzers!. Bob's parents ain't back for another six hours. So it's just enough time to kill the keg that's in the shower. Curse you aquascum, follow the leader. Made today's big fish outta yesterday's bottom feeders. Until I'm belly up, it's all good times from here on out. From the beginning 'til we clear on out. It's like: this year, my year, you here, who cares?. Focus you candle it, we kill 'em like Crush Management, Please!. I got no time to player hate. I'm the type to crash your party with ""Teddy Ruxpin"" and a Slayer tape. And it's ok to be a little risky (ooooh, Ah the Good Times). Forget work it's all play at the end of the day (ooooh, Ah the Good Times). Just be sure to send the females my way (ooooh, Ah the Good Times). Oh look at how cute, we made a mess on the dance floor. So let me get a soul clap, that's what we got hands for. [Clapping]. Seriously, for one, if I gave a fuck, my eyes would be locked onto yours,. And not to nothin' that's goin' on behind your back homey,. For two... Oh, I'm sorry, I forgot, what were you sayin' again? Exactly. Ignorance is bliss homey, you my dear make it fact. I'm just curious as to why you take yourself so serious. You missed the joke a year back, man,. The punchline just hit you in the mouth.... And it's ok to be a little risky (ooooh, Ah the Good Times). Forget work it's all play at the end of the day (ooooh, Ah the Good Times). Just be sure to send the females my way (ooooh, Ah the Good Times). And it's ok to be a little risky (ooooh, Ah the Good Times). Forget work it's all play at the end of the day (ooooh, Ah the Good Times). Just be sure to send the females my way (ooooh, Ah the Good Times)"
7th period: 7 weeks,"My life's these yellow lines, concrete, and parliment butts. Exhaust fumes and rest stops who drive hard for their bucks. Load in, sound check, play show, load out, let's go, next city, oh great, off day. Hangovers, hangups, dialbacks, running make up, apologies and promises. And nobody acknowledges that boys in bands got it so damn bad. But we love like the last cigarette we'll ever have. I'm putting miles on my body, bout due for a tune up in this gas station, food ain't really helping but. I'm loving every minute, every road signs a reminder of exactly why we did it to begin with. This is how it has to be. A kiss for luck, submerge myself. And in 7 weeks resurface. Even if we don't look back again. Tired boys and wired eyes. Exposing imperfections. To the public eye we're perfect. Even if we don't look back again. I like these hotels, passports, random bag checks, day dreams of love affairs that I haven't had yet. Touch down, baggage claim, new town, different dame, same clothes, 7 days, whew, damn I need to change. And it's a lifestyle that I wouldn't recommend. Wild N Out on a level Nic Cannon couldn't comprehend (fuck outta here). We made a lot of friends and even more enemies. Some of which were genuine and others just pretend to be. Soft raving baby, life's lovely. Even when the gray rain cloud's right above me. The girl's textin' me talkin' about gettin' all cuddly. Cause you paint a pretty picture but the frame is so ugly. This is how it has to be. A kiss for luck, submerge myself. And in 7 weeks resurface. Even if we don't look back again. Tired boys and wired eyes. Exposing imperfections. To the public eye we're perfect. Even if we don't look back again. And now it's back in a van with four of my mans. Until we catchin' a tan on the Florida sands. I feel like tourin' this land's made me more of a man. From killa California to the shores of Japan. Good times stayin' up late in Austin. Coast to coast V8 to Chicago. To gettin' up with Johnny Cupcakes in Boston. And smokin' that most great eight in Colorado. Home ain't home no more. I hug the road and kiss the concrete and sometimes I even hear her heartbeat. No matter where we go or where we at. We carry upstate on our back, it's like that. This is how it has to be. A kiss for luck, submerge myself. And in 7 weeks resurface. Even if we don't look back again. Tired boys and wired eyes. Exposing imperfections. To the public eye we're perfect. Even if we don't look back again. This is how it has to be. A kiss for luck, submerge myself. And in 7 weeks resurface. Even if we don't look back again. Tired boys and wired eyes. Exposing imperfections. To the public eye we're perfect. Even if we don't look back again. ""So a lot of you don't realize. There's a whole subculture of boys driving around in vans."". Even if we don't look back again. ""Looking for your daughters, and your lottery tickets. Love it or leave it. I'm like this"". Even if we don't look back again. ""I love my life. Bitches."". Even if we don't look back again. Even if we don't look back again"
nothing boy vs the echo factor,"Now I could sit here and baffle you. With shallow babble. And a bunch of punch lines. You probably won't get. Or even use some big words. That you'd have to look up. But, I'm not a teacher. So go ahead and close your book up. I could tell a fairy tale so convincing. And keep a straight face from beginning. To happy ending. I could waste 32 bars telling you how to live. Knowing damn well I used mtv cribs for the blueprint. I could bore you to death with my past relationships. Or a little ditty bout Jack and Dianne. Or I could go back to childhood. Dig up them skeletons. And spit them at you with a catchy hook. Look, I could strike a nerve with some four letter words. That'll make Richard Pryor proud. Or better yet, I could sing a jingle that'll contort and mingle. Every single solitary letter in the alphabet. (I could tell you whatever you want to hear. But if I just said hello would you listen to me?. I could sell a blind man new ears. If I just said hello would you listen to me?. I'm trying hard trying to make it perfectly clear. But I'm dying because their aint nobody listening to me. Been relying on myself on myself for more than 22 years. And I aint crying I just need someone to listen to me. Can I get some reply get maybe some kind of sign. to let me know that you're listening to me?. Just from time to time I get lost in my mind. Its hard to find someone to listen to me. My ears were open when you needed some consoling. I'm hoping till the sound you hear echoes. Every time I say hello). I could talk about my duds. And my thrift store scores. But that probably wouldn't interest you. But why should it. I mean, I've seen a lot of shit in 22 years. But your feet in my shoes isn't something I recall. And I've been known to drink 22 beers. Before a show cuz. otherwise I probably wouldn't have the balls. I could make references to books I never read. For the sake of sounding conscious. But, that's just obnoxious. I could take off these bandages and. Expose these papercuts. And put them in the air. with both my middle fingers up. or talk about myself in third person. like I'm better than you. cuz there's nothing else better to do. I could attack your character from. Eighty different angles. Cleverly explaining exactly how wack you are. But why do that when it's a well known fact. you buying this cd is potentially feeding me. (come on). (I could tell you whatever you want to hear. But if I just said hello would you listen to me?. I could sell a blind man new ears. If I just said hello would you listen to me?. I'm trying hard trying to make it perfectly clear. But I'm dying because their aint nobody listening to me. Been relying on myself on myself for more than 22 years. And I aint crying I just need someone to listen to me. Can I get some reply get maybe some kind of sign. to let me know that you're listening to me?. Just from time to time I get lost in my mind. Its hard to find someone to listen to me. My ears were open when you needed some consoling. I'm hoping till the sound you hear echoes. Every time I say hello). Hello, is there anybody out there?. Hello, is there anybody out there?. Hello, is there anybody out there?. Hello, is there anybody out there?. Hello, is there anybody out there?"
