act my age,"They say the way I act is Immature. Well don't be mad at me because you're feeling insecure. The only golf I ever tried to play was miniature. And when you ask me sign your boobs I smiley face my signature. But my parents raised me right, they were sticklers. And we don't even fight, we're like oil and some vinegar. Getting a job is like a pregnant woman giving birth. You're trying to push me in the wrong direction and it fucking hurts. So most our friends already moved out of they mama's cribs. I'm still throwing parties at my house, like stifler. So if you go around and try to tell me how to live. I'mma take your girl and mortal kombat finish her. But when it's done and the party shuts down. And the cops try to lay my ass on the ground. One day we might tell our kids, but until that day let's live like this. My friends grew up, they never get drunk. They never wanna hang out late. They're gonna get jobs, they're gonna pay bills. They're gonna get old and gray. I'll never do that, I wanna stay young. Don't wanna fit in, I wanna have fun. So if that's okay, I don't think I'm ever gonna act my age. And when it comes to getting older. No matter what I do, I'm never feeling like a grown up. People trying to make me change, you'd think there was a quota. Like there ain't enough unemployed motherfuckers with diplomas. Everybody waiting 'round hoping that they blow up. But I'mma make it sooner, oklahoma. I learned to be a player, make money like I'm an owner. These other rappers are so over the hill, word to jonah. So if you see me in a restaurant, say hi to me. And if I ask you if you like my new shit, lie to me. Word to tim roth. And I don't know if I fit in with your society. So chill, take a pill for anxiety and doze off. But when it's late and you're all alone. And you're too damn drunk to be walking home. Then maybe you should call it quits. But until that day let's live like this. My friends grew up, they never get drunk. They never wanna hang out late. They're gonna get jobs, they're gonna pay bills. They're gonna get old and gray. I'll never do that, I wanna stay young. Don't wanna fit in, I wanna have fun. So if that's okay, I don't think I'm ever gonna act my age. Oh, it's all good, it's alright, it's okay. We can live however we want. And there ain't nobody that can get in our way. Oh, it's all good, it's alright, it's okay. We gon' do whatever we want. Never gonna listen to a word you say. My friends grew up, they never get drunk. They never wanna hang out late. They're gonna get jobs, they're gonna pay bills. They're gonna get old and gray. I'll never do that, I wanna stay young. Don't wanna fit in, I wanna have fun. So if that's okay, I don't think I'm ever gonna act my age"
figure it out,"And I don't know. And you got doubt. And I don't feel the way you do. And you got doubt. Let's figure it out. Yeah, I said ""I'm too young to be tied down. Looking at the world from my east side town. And we find now, I swear later will be different. She leaving me a present, but baby I am gifted. Maybe I'm a miss it like Christmas. Either way you could stay at the top of my wish list. No receipts and no return policies. And I return when the whole world follow me. Apologies to lames who couldn't get real. I'm a dreamer trying to catch it up in left field. Wit' a nanny, I be givin' her the best feel. 'Til I have her screaming out ""Oh Mr. Sheffield. [Hook:]. And I don't know and you got doubt. And maybe later on we can figure it out. And I just go and you lock down. And maybe later on we can figure it out. And I don't feel the way you do. Is there a way we'll make it through. And before this thing goes south. Baby girl let's figure it out. Let's figure it out. So does that mean I'm Immature, for sure. Then we don't need to be no more, on tour. Cause pussy is just bound to get picky. Mind set, gotta steal base like Rickey. Face like Nicky, I mean Lionel's daughter. And I'm still shallow like a fly on water. Turn your dimes into quarters. Mine if they gorgeous. Got a goldmine I'll be hoarding. Like we in Frisco, So sweet, Nabisco. Take you to the movies like Sisqó. Look better than your pixels in person. So let's figure out if it's really working. [Hook]. [Obey City:]. It's like what we really got to talk about (talk about). Every time we speak, we start a bout (start a bout). Baby girl your doubts, you best be erasing. Your fruit looks ripe for the tasting. I keep it moving like Chess pieces. I stop looking at your chest pieces. So let's leave it. You're not the best even Drake lies. Take my advice, let's go back to the Bayside. [Hook]"
january jones,"[Verse 1: Hoodie Allen]. Unh. Pardon my small talk. Darlin' I'm all talk. They wanna fence me in, never a ballpark. We tear the walls off the Waldorf Astoria. I told my dudes to get to steppin' like Gloria. I made my case, she a slept-on jury. And when I go from deep I be like Stephen Curry. The lines'll hit you sharp, it got the teflon worried. So I told her that I cruise homes, yep like Suri. So I woke real early, grab a bagel and a glass of joe. The he-man, woman hater, I'm a Ras-a-cal. And Alfalfa, my hair stickin, it lost control. Cause I'm a rapper, but she more into the classical. Uh, no need to apologize. I'm 21, but I been dreamin bout the college life. So when she looks into her father's eyes, shouts to Eric Clapton. I'll be the director, cause I'm all about the action. [Hook: Chris Wallace]. You're so damn beautiful, my January Jones. Oh you drive me mad. And I come right back. From your head down to your toes. I want you all alone. Oh you drive me mad. And I come right back. [Verse 2: Hoodie Allen]. You say I'm spellbound. I hardly spell out. The four letters that make every girl just melt down. We on the shelf now, no Sam Goody. And when you mention other dudes, they no damn Hoodie. Unh, cause we go truly hard. Stiles like Julia. And I been gifted since a youth like I'm at Julliard. When we were younger, you were cooler, you and your friends used to rule the yard. A moment flicked by. I wish I was Mcfly. Marty with the sick ride. I'm able to switch time. No second guessin decisions on why I pick sides. So ex-nay, only talkin bout my insides. Always up to somethin, so we annually home. This song is dedicated to my January Jones. And it's a Space Jam, they say that I'm Michael. Lovin' under twenty's a cycle. So here we go. [Hook: Chris Wallace]. You're so damn beautiful, my January Jones. Oh you drive me mad. And I come right back. From your head down to your toes. I want you all alone. Oh you drive me mad. And I come right back. [Verse 3: Hoodie Allen]. I throw my hand out, I'm tryna help her up. She lookin back at me, I think you helped enough. Ain't havin none of it, you gonna sit and say. No love for triple A. Okay, she's gone away. [Hook: Chris Wallace]. You're so damn beautiful, my January Jones. Oh you drive me mad. And I come right back. From your head down to your toes. I want you all alone. Oh you drive me mad. And I come right back"
all about it (feat. ed sheeran),"Say I'm all about it. Cause I got soul and I won't quit. And your dad don't like it when I talk my shit. Cause I'm all about it baby. I'm all about it baby. Staying up late just to pass the time. And your parents don't like it when you out getting high. But I'm all about it baby. I'm all about it baby. I'm not a rapper just a singer with a game plan. I play guitar no need to worry 'bout my Drake hand. 80, 000 people in front of the stage, damn. Waiting for the sun to shine just to rock these Ray Bans. I just wanna leak shit (what?). Not literally leak shit. Wanna push the music through the speakers. Double shot glass, I'm in the back of the pub. My mate Jason at the bar screaming ""Who want what? "". Now, please be warned. That every song I feature on has capacity to be reborn. I said that anything can happen when I pick up a pen. But now I'm all about love so won't you say it again. I said I used to be the shy type. Backpack on my back on public transport sort of guy type. Now I'm in the lime light. Tryna get my mind right. Body clock is in the clouds so often guess it's high time. Hoodie sing the line like. Cause I got soul and I won't quit. And your dad don't like it when I talk my shit. Cause I'm all about it baby. I'm all about it baby. Staying up late just to pass the time. And your parents don't like it when you out getting high. But I'm all about it baby. I'm all about it baby. I'm not a singer, I just rap pretty. So now my fan base is full of Megan's and Ashley's. And they're wondering if there's room for them. To get in my bus. And I'm like, ""Naturally, baby, let me find a spot in the front"". For you, and for your friends. You can be mine, we can pretend. Oh, typical rapper actin' a typical fashion. I'm doing something that's different. I'm tryin' to Paula my patent. Young prince of Manhattan, now everybody believe it. Adrien Broner the way I'm ducking and weaving. We go together like interceptions and Revis. She said the only rapper she lovin' is Yeezus. One for the money. Two people since the beginning. Three million records get sold, now everybody is winning. I'm Larry David plus Miles Davis. So, everybody hating and fuck it, I hardly blame 'em. Cause I got soul and I won't quit. And your dad don't like it when I talk my shit. Cause I'm all about it baby. I'm all about it baby. Staying up late just to pass the time. And your parents don't like it when you out getting high. But I'm all about it baby. I'm all about it baby. And they don't know anything about us. Or anything about us. Or anything about it. No, no, no. And they don't know anything about us. Or anything about us. Or anything about it. No, no, no. We sing songs for the city"
top of the world,"Bad girls, all in the mad world. Gave 'em the mace flow, Don't know they dad girls. Tell em I got a place they can visit that's near the beach. You never settle for nothing, but money is what you preach. So peace, to the old life. Got the same old car but now a days I don't drive. Kicking it with people that do wrong their whole life. And yeah I'm still up on that high horse, old spice. And they don't want to mess around. They just want to get in for free. Don't we all man? It's feelin fantastic. Get up on my level where you at bitch?. Oh, I'm on top of the world. I'm on top of the world. We making money right now. Yeah, yeah, we making money right now. Oh, I'm on top of the world. I'm on top of the world. We making money right now. Yeah, yeah, so let me give it all out. Can you make your booty bounce like hers?. Ah, ah, is everything I ask absurd?. If I dig a little deeper, can I get below the surface. I paid all my attention baby, don't that mean I earned this?. I went from working at google, to watching my google alerts. Now, I got a buzz bigger than Google Earth. All my fans are virgins, let me get a word in. I ask him who they favorite is, they screaming ""You the first"". I like to hear that, hear that. They been telling my we're back, we're back. In business, but now a days who isn't. Treat it like a holiday every time you visit. Don't be dumb and fall in love with an actress. She ask what room Ewing, Patrick. And now I'm always on top, like a fasten. Get up on my level, where you at bitch?. I take all my days, And rewind them back. Throw it all away, And let the real shit last. I take all my days, And rewind them back. Throw it all away, And let the real shit last. Standing at the top of the world yelling Geronimo. From the top of my lungs, made it on to the honor roll. Your boy made it, the education was worth it. I know you paying for dinner, but let me pay for desert. It's the most that I can do, and the least that you deserve. I can't afford a lot, but I can give you my word. Word, it's real talk, but they be saying we average. Get up on my level, where you at bitch?"
you are not a robot,"[Marina]. You've been acting awful tough lately. Smoking a lot of cigarettes lately. But inside, you're just a little baby. (Drop it). It's okay to say you've got a weak spot (It's Hoodie Allen). You don't always have to be on top (What up Marina). Better to be hated than loved, loved, loved for what you're not. (You know how we do). [Hoodie]. They telling me to take the safe route but this the detour. Hoodie baby you ain't seen a kid like this before. Late night shoe-in for the moon like Warren. Them hits come out soon as you hit record. Born in America, Chevy and Ford. But these Greek ladies lovin me they sayin he's foreign. Floored em, glued The crowd down by their boot straps. Came up on the scene so quick you think we was a news cast. Well news flash: I can see through that. People try to hide what's on their mind like a do rag. Never would I do that I'm a real fuckin hustler. You be in the background making noise like a muffler. But if it doesn't kill me it makes me tougher. And that's a message that I pass onto my brother. You never gonna really make a difference til you suffer. But we passed that now it's time to smash that, thunder. [Marina]. You've been acting awful tough lately. Smoking a lot of cigarettes lately. But inside, you're just a little baby. It's okay to say you've got a weak spot. You don't always have to be on top. Better to be hated than love, love, loved for what you're not. [Hoodie]. Lately I've been staying on my grind like a skateboard. I've got some Rocket Power now so let's take off. We going hard over these beats y'all just stay soft. I don't even feel the need to say pause. Cause you would cheat to the system how you came and. Bernie Madoff. I'm a firm believer that the hard work pays off. The playoffs, I treat them like Mora did. That means I'm working with a little to get more of it. And anybody who doubted us we ignoring it. I'm on a different mission. An exhibition no scoring it. So if we more legit they treat us like a compound. Yeah they wanna brake us down, never gonna stop now. Cause being scared will only eat you like a cop out. Life's a haunted house and I'm ready to pop out. And shout out to Marina for these pop sounds. I know you really love me but let's let this chorus drop now. [Marina]. You've been acting awful tough lately. Smoking a lot of cigarettes lately. But inside, you're just a little baby. It's okay to say you've got a weak spot. You don't always have to be on top. Better to be hated than love, love, loved for what you're not. [Hoodie]. Say slow up,. Sometimes I'm just feelin' like a robot. Sittin round, hopin that you'll show up. But you know what, you know what. Say slow up,. Sometimes I'm just feelin' like a robot. Sittin round, hopin that you'll show up. But you know what, you know what. [Marina]. You've been acting awful tough lately. Smoking a lot of cigarettes lately. But inside, you're just a little baby. It's okay to say you've got a weak spot. You don't always have to be on top. Better to be hated than love, love, loved for what you're not"
no interruption,"I got a fake id and a checklist. It goes never meet a girl on craigslist. And never spend your money on a necklace. 3 square meals, homie gotta have breakfast. Real shit, she be payin' for the date. I be on my will smith, enemy of state. Keep my friends close, keep my enemies away. Like they own repellent, uh, they so jealous. I'mma do shit that just piss them off. Say you never heard me, it's your loss. They bitin' all my freestyles. They told me make my money frontin' on that weed style. I tell 'em I be too old for it. And I gave my brother my id. She independent, bet these bitches never find me. I hope they don't find him though. Cause they be knockin' on my door. Now they lookin' through my window. Tell me what you really want from me. Point blank, no discussion. Close mouth, close mouth, ow. I'll give it to you, no interruption. And tell me one time that you want me. I promise that I won't say nothin'. Sh-shut it up sh-sh-shut it up. I'll give it to you, no interruption. In your home, in your home. On the phone, on the phone. All alone, all alone. I'll give it to you no interruption. In your house, in your house. On the couch, on the couch. Name the time and the place and the function. I'll give it to you, no interruption. Talkin' money, I don't really give an f man. I got power like a motherfuckin' x-man. Married to the game, but I'd rather be the best man. You be on the same shit, all day, s-pin. Brand new kicks, why you shoppin' at a payless. Do it on my first take, skippin' all the bayless. See me, you could be me but I end up on the a-list. I'm chillin' with rihanna in the k-k-caymans. I'm just kiddin', I'm a white kid, hi kids. Anderson silva, I hit him with the high kicks. Never been realer, you nothin' but a side kick. Oh you want myspace? that used to be my shit. So who's killin' the game, who's the culprit. I be workin' like I'm anders holmvik. Now I got a bunch of new friends, and they all rich. Got blazers, aldridge. Tell me what you really want from me. Point blank, no discussion. Close mouth, close mouth, ow. I'll give it to you, no interruption. And tell me one time that you want me. I promise that I won't say nothin'. Sh-shut it up sh-sh-shut it up. I'll give it to you, no interruption. In your home, in your home. On the phone, on the phone. All alone, all alone. I'll give it to you no interruption. In your house, in your house. On the couch, on the couch. Name the time and the place and the function. I'll give it to you, no interruption. I know it's hard to give you everything you want from me. When I'm running on empty. I know it's hard to be the type of dude you want to be. Cause your girlfriend wanted me. Where she want it though?. Tell me what you really want from me. Point blank, no discussion. Close mouth, close mouth, ow. I'll give it to you, no interruption. And tell me one time that you want me. I promise that I won't say nothin'. Sh-shut it up sh-sh-shut it up. I'll give it to you, no interruption. In your home, in your home. On the phone, on the phone. All alone, all alone. I'll give it to you no interruption. In your house, in your house. On the couch, on the couch. Name the time and the place and the function. I'll give it to you, no interruption"
fame is for assholes (feat. chiddy bang),"Yeah, yeah. First team bitch. Stop - hoodie time. [Verse 1: Hoodie Allen]. Bitches bow down, don't even know me. Told me I'm a dog like Odie. And I only fuck with crazy girls. like I'm home like I'm Brodie. Made her come trice like Obie, damn. So I don't shop at Alexander Mcqueen (why?). I don't even know what that mean. Tryna live life on an everyday scheme. The minute you met me was kind of a wet dream, well. We don't got that in common (common). These bitches want the Action Bronson (Bronson). I give a little Magic Johnson. Then she wanna hold my wand like Emma Watson. Oh they mad cause I got flow. And these other rappers cheesy like a nacho. So my pockets getting bigger like Levado. But you ain't got no fuckin' Hoodie in your Serato?. [Hook: Hoodie Allen]. Talk to me, tell me your name. You want my life, I want the same. You say that it's meant to be, it's meant to be. You ain't no celebrity, so stop. Cause fame is for assholes. [Verse 2: Hoodie Allen]. Hold up, stop, came here with a mission. They didn't pick me first like I'm Griffin. But I don't give a fuck, no Luck I got 20 20 vision. I can see like everything he missin'. Got a bad bitch, she my cash cow, she my cash cow. I'mma make a million dollars so I have her pass out. Pass blunts, babe, I can get you Emma Stoned. And I don't ever leave my bed alone. Tryna tell my future like Cleo. Tell me I? m the one, treat the kid like he Neo, damn. Thousand white bitches in the club, that's a kilo. Let me spill this cash like the Rio, Grande. I'm all about the ass and bush. That's why they lookin' at me like I'm Ashton Kush. I'm a bastard, look. I'm a fashion crook. So let me take your clothes off, bang. [Hook]. Cause fame is for assholes. [Verse 3: Chiddy Bang]. Stop - Chiddy time. I hear girl like ""come to the telly"". Hit me on the phone you could run to the celly. Just walked in, why they lookin' at me doe?. Girl you the bomb, could we lay like Frito?. I got my jacket for you if you a tad cold. Swack ho, probably gettin' tail like a tadpole. First time I seen her man she wave like a flagpole. She tryna fuck fame but that shit is for assholes. Yeah, since I heard they finish first. I'mma appetize then I get that pussy for dessert. Clock, clock in you know I always put in work. Tryna find her easy she got designer on her purse. I don't even know your accolades. I could do that shit in half a day. Act brand new but that's okay. Cause I'm about to get the cat, Anne Hathaway, hey!. [Hook]. Cause fame is for assholes"
feel the love,"[Hook]. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. [Verse 1]. And I ain't slept at home, not trying to be left alone. I'm waking up every morning to a metronome. With no alarm clock, I don't gotta set my phone. And no the bar stops selling alcohol after 2 Am. You no longer in New York City it's just you and them. And the people who fucking with me. I say they travel the world, I'm about to cover some distances. And I'm just trying to prove to y'all what the difference is. So when you love what you doing and then you missing it. I'mma send y'all regards, few postcards up in the mail. Jean Luc, I never fail. This is new wave rap, we never going to jail cuz. All I wanna do is drink wine and make babies. You ain't never had a sick line, Wayne Brady. Let me kick rhymes and y'all can kick rocks. Like bawitabadabangdabang. [Hook]. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. [Verse 2]. So let the good kids be a little bad. Let them stay out the night they selling the El Ray out. Feeling like King Charles, partying like Harry, girl. These the nights you sorry you got married. Well, single women like room service and take out. So will we make out? I'm so shore, I'm J-Wow. I'm running around the base now. Just trying to get my face down. You got a body let me work it like I'm Basedow. So shouts to Based God, we cooking in this. Top ten on Billboard, I be looking at this. I haven't found success, Em told me success sucks. But I found the best fans, you phonies should fess up, cuz. You ain't touching them, but you'd like to. Some people copying the steez, or they try to. I feel the love like my crew. You only really feel the love when you lied to. You lied to. [Hook]. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. [Break]. I don't wanna be one of the guys who tell you lies. I don't wanna sit beside them and take up all your time. But when I'm without you I feel like I've been paralyzed. Hit into my heart, hit into my chest. Hit into my knees, hit into my feet. Baby please I can feel the love. [Hook]. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it. You know I said it's true. I can feel the love, can you feel it too?. I can feel it, I can feel it"
friend zone,"[Hook:]. Shit's over now, we can't work it out. If you're right there, chillin' in the friend Zone. And I can't help you if you're frontin' too. You know I can't just live without you. You've been the person that's been stressing my life quick. Cause I'm not trying to be the other man like a sidekick. No Butch Cassidy, y'all just have to be. Gettin' in line for the Masterpiece. And I never claimed to be your Romeo. But maybe I'm Master P, that's how it has to be. Y'all can wait after me, came to the buffet starving. Y'all ain't really ready but I'm Reggie at the Garden. Cause I've been thinking you're the future girl I mess with. Call her Judy Jetson, let's split. Somewhere, where our chemistry is tested, Sat's. I be giving her my pen she's like S-A-please, Geez. And that's just exactly how a fan's made. Callin' all the time in between your tan breaks. And now we're friends sharing pancakes. And you tryna to ask for the digits of my band mates. [Hook 2:]. And I don't wanna talk no more. Cause I heard that friends don't score. Stuck in the zone that I've been before. And you don't look at me just like I do. Do you, what the fuck I gotta do?. She don't look at me just like I do. [Hook]. I'm tired of sitting on the side like a red shirt. Cause when it comes to women, I be falling head first. That means my head hurts, so Trent Edwards. I be looking at you, twisting every single said word. And your friend said you leaving in the same cab. Damn, I really hate your friend bad. Every compliment, I meant that, true. So I'm thinking that I can't just live without. You wearing glasses but you got the perfect vision. I'm a jerk, admit it, but I swear I'm worth the visit. Nervous, but I'm living, means I'm always taking chances. How else am I supposed to get you pants-less. No E-Z pass, I couldn't advance and. I don't think we're really there anymore like Kansas. Dancing with the floor, showing everybody that you're worth. I got you sixth string but I couldn't get a first kiss. [Hook 2]. I just can't live without you"
