everythang's corrupt,"(Intro: x2). Everythangs corrupt, everythangs fucked up. Everythangs by the bout' to buck me shit out of luck. Verse 1:. Go to school, the teacher wanna fuck the students. Go to church, my preacher turned to prostitution. The prosecution never read my files. That evil ass judge fell asleep at my trial. This shit is wild, chickens get as sick as the cows. Birds fallin out the sky, fish dyin' in piles. Its fishy, politicians smell like my bowels. Talkin' that shit, really crampin' my styles. I got many, now I'm pinchin' pennies no doubt. I sqeezed Lincoln so hard, a fuckin' booger came out. Its a shame, I used to be on top of my game. They took the shirt off my back and replaced it with chains. I met Mr. Lee Harvey, from the tea party. He used to hate Obama til' he felt hurricane Charley. Lookin' for his FEMA check, it's gone with the wind. When em' dicks is in, you know the fix is in. (Hook: x2). For my birthday, buy me a politician. It's a shame that you got to dish yo' children. Everythangs corrupt, everythangs fucked up. Everythangs by the bout' to buck me shit out of luck. Verse 2:. Everythang's a scam, beat the next man. That's capitalism, they'll just build a new prison. For you slick ass niggas' that's tryin' to beat the system. Put you on the front line if you ain't re-enlisting. It's hot in hell's kitchen, get ready for the lynching. Brain-wash media, and puppet politician. Keep you out of position, out of commission. By medicine or food, that's not a decision. The 99 percent, is man tryin' to vent. Police grab my fuckin' arm, then they got bent. Now it's in a splint, I can't pay my rent. The interest on my credit card I ain't made a dent. The U.S mint, I heard they bout' to print. But it's fucked up cause' I won't see a cent. I'm sick of gettin' ignored, this wall I can't afford. I'm going to the pent, free room, free ward. (Hook x2). Outro:. It's wall of confusion, my niggas' they losin'. I know what ya' doin', they drug abusin'. My bitches be choosin', my music be oozin'. The thugs be cruzin', they love what ya' doin'. It's wall of confusion, my niggas' they losin'. I know what ya' doin', they drug abusin'. My bitches be choosin', my music be oozin'. The thugs be cruzin'"
it was a good day,"Just waking up in the morning gotta thank God. I don't know but today seems kinda odd. No barking from the dogs, no smog. And momma cooked a breakfast with no hog. I got my grub on, but didn't pig out. Finally got a call from a girl wanna dig out. Hooked it up on later as I hit the do'. Thinking will i live, another twenty-fo'. I gotta go cause I got me a drop top. And if I hit the switch, I can make the ass drop. Had to stop at a red light. Looking in my mirror not a jacker in sight. And everything is alright. I got a beep from Kim and she can fuck all night. Called up the homies and I'm askin y'all. Which court, are y'all playin basketball?. Get me on the court and I'm trouble. Last week fucked around and got a triple double. Freaking brothers everyway like M.J.. I can't believe, today was a good day. Drove to the pad and hit the showers. Didn't even get no static from the cowards. Cause just yesterday them fools tried to blast me. Saw the police and they rolled right past me. No flexin, didn't even look in a niggaz direction. as I ran the intersection. Went to $hort Dog's house, they was watchin Yo! MTV. Raps. What's the haps on the craps. Shake em up, shake em up, shake em up, shake em. Roll em in a circle of niggaz and watch me break em. With the seven, seven-eleven, seven-eleven. Seven even back do' Joe I picked up the cash flow. Then we played bones, and I'm yellin domino. and now i am yelling dominoes. Plus nobody I know got killed in South Central L.A.. Today was a good day. Left my niggaz house paid. Picked up a girl been tryin to fuck since the twelve. grade. It's ironic, I had the brew she had the chronic. The Lakers beat the Supersonics I felt on the big. fat. fanny. Pulled out the jammy, and killed the punanny. And my dick runs deep so deep so deep. put her ass to sleep Woke her up around one. she didn't hesitate, to call Ice Cube the top gun. Drove her to the pad and I'm coasting. Took another sip of the potion hit the three-wheel. motion. I was glad everything had worked out. Dropped her ass off, then I chirped out. Today was like one of those fly dreams. Didn't even see a berry flashing those high beams. No helicopter looking for a murder. Two in the morning got the fat burger. Even saw the lights of the Goodyear Blimp. And it read Ice Cube's a pimp. Drunk as hell but no throwing up. Half way home and my pager still blowing up. Today I didn't even have to use my A.K.. I got to say it was a good day.. (Ice Cube). Hey wait, wait a minute fool. Stop the shit. What the fuck am I thinking about?"
fire water,"A lot of people wonder how they gon' die. How'm I gon' die?. Will it be a bullet wound?. Will they die at the hands of the police?. Here's how I think I'ma go. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. Fire water. Fire water. The shit I spit will get you lit. Fire water. The shit I spit will get you lit. Fire water. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. I'm a animal, my splif's flammable. This is Hannibal, I'm a cannibal. It's understandable you think I'm studio. But when we leave the studio, nigga, you's the hoe. Niggas lose your hoe, like usual. Bitch is beautiful, what she with you for?. When Hiawatha drank my fire water said sayonara to his lonely daughter. Fire starter, mister arson. South Central Compton next to Carson. Rips are rippin', dogs are barkin'. Guppies all move over, let the shark in. Blood in the water, cuz in the water. Need to get out, nigga, was it a slaughter?. Fuckin' wit'chy'all niggas, tear in your drawers. This fire water put hair on your balls. This is a rebel without a pause. With three hoes like Santa Clause. Know all the pimp codes and the bylaws. Got enough paper, I could buy y'all. At the Bayou, I could buy you. Walkin' 'round here with a slave IQ. Better get smart or it's déjà vu. Back in the dark, nigga, chained to the ark, nigga, fuck. Fire water. I got that fire water. The shit I spit will get you lit. I got that fire water. The shit I spit will get you lit. I got that fire water. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. How I do it is lighter fluid. Think you fly? Put a spider to it. Come down heavy, Isaac Newton. While y'all talkin', I be shootin'. Most of these artists be prostitutin'. Gangsta shit, I wrote The Constitution. Bitch ass nigga, what's your contribution?. Hatin' on shit ain't a revolution. Change this shit, fuck the lootin'. West side riders, I'm recruitin'. God is a teacher, I'm the student. Don't bite the apple, I'm rebootin'. Back to the pen and pad. Back to the pen and paper. Niggas wanna catch the vapors but they on respirators. Always on elevators. Always dressed like the Raiders. Always on my way to Vegas. [Chorus]. Fire water. I got that fire water. The shit I spit will get you lit. I got that fire water. The shit I spit will get you lit. I got that fire water. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. My best wares? Louis chest hairs. Who wanna ball with the California bears?. It's Mardi Gras every time I'm with my players. Alcohol all in the air. I run this shit, I am the mayor. You a crazy bitch, Princess Leia. Don't'cha know my truth is a dare?. It's the cyclops with the eye drops. Fuck these thots and Goldilocks. Bitches wanna go and drink all a nigga porridge. Don't ask me for a piece of pizza. Fold my arms and say, ""Bye Felicia"". Why the fuck you messin' with the creature?. Might wake up and fuckin' eat ya. Can hardly see ya 'cause of my shine. I'm legally blind. I'm outta my mind. Study my rhyme, I got the equation for any occasion. Black, white, brown, red, purple, or Asian. My fire water keep folks ablazin'. I got some shit that'll burn your stomach. Make you vomit, the dogs atomic. Please don't try to mix this with chronic. Niggas won't believe that you seen a comet, no. Fire water. I got that fire water. The shit I spit will get you lit. I got that fire water. The shit I spit will get you lit. I got that fire water. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. Too much salt, too much sugar. Too much smoke and too much liquor. The good life, I'ma die of the good life. I'ma die of the good life. Fire water. Fire water. The shit I spit will get you lit. Fire water. The shit I spit will get you lit. Fire water. I got that fire water. I got that fire water. I got that fire water. I got that fire water"
today was a good day,"Smooth.. heh.. yep... Heheheh.. remix... Just waking up in the mornin gotta thank God. I don't know but today seems kinda odd. No barkin from the dogs, no smog. And momma cooked a breakfast with no hog. I got my grub on, but didn't pig out. Finally got a call from a girl I wanna dig out. Hooked it up for later as I hit the do. Thinkin will I live, another twenty-for. I gotta go cause I got me a drop top. And if I hit the switch, I can make the ass drop. Had to stop, at a red light. Lookin in my mirror and not a jacker in sight. And everything is alright. I got a beep from Kim, and she can fuck all night. Called up the homies and I'm askin y'all. Which park, are y'all playin basketball?. Get me on the court and I'm trouble. Last week fucked around and got a triple double. Freakin niggas everyway like M.J.. I can't believe, today was a good day. That's right... Creep to the pad and hit the showers. Didn't even get no static from the cowards. Cause just yesterday them fools tried to blast me. Saw the police and they rolled right past me. No flexin, didn't even look in a brother's direction. as I ran the intersection. Went to Dog's house, they was watchin Yo! Mtv Raps. What's the haps on the craps?. Shake 'em up, shake 'em up, shake 'em up, shake 'em. Roll 'em in a circle of homies and watch me break 'em. with the seven, seven-eleven, seven-eleven. Seven even back do' Lil' Joe. Picked up the cash flow. Then we played bones, and I'm yellin domino. Plus nobody I know got killed in South Central L.A.. Today was a good day. Hehe... Left my homie's house paid. Picked up a girl been tryin to do since the twelve grade. It's ironic, I had the brew she had the chronic. The Lakers beat the Supersonics. Felt on the big fat fanny. Pulled out the jammy, and killed the punanny. And my jimmy runs deep, so deep. So deep put her butt to sleep. Woke her up around one. She didn't hesitate, to call Ice Cube the top gun. Drove her to the pad and I'm coastin. Took another sip of the potion hit the three-wheel motion. I was glad everything had worked out. Dropped her butt off and then chirped out. Today was like one of those fly dreams. Didn't even see a berry flashin those high beams. No helicopter lookin for the murder. Two in the mornin got the Fatburger. Even saw the lights of the Goodyear Blimp. And it read, ""Ice Cube's a pimp"". Drunk as hell but no throwin up. Half way home and my pager still blowin up. Today I didn't even have to use my A.K.. I gotta say it was a good day"
go to church,"[Snoop Dogg]. Nigga you need to stop snitchin!. All that yip-yappin and jaw-jackin. Nigga if you scared, go to church. You knew the job was dangerous when you took it. Whattup it's the big boss Dogg. Snoop D-O-double-G, Eastside L.B.C.. And I'm bobbin to the beat of my O.G. homeboy Ice Cube. And I'm C-walkin on the motherfuckin concrete. [Intro: Ice Cube]. Yo if you're fucked up, put your cups up. Ice Cube and Snoop Dogg, nigga what's up. See he's a gangster, I'm a hustler. Yo it's either thank ya, or it's fuck ya. [Ice Cube + (Lil Jon)]. I'm down with Lil Jon ain't got to pretend (YEAH!). ""Crunk Juice"" nigga run the club that you in (HEY!). You scary motherfuckers don't wanna bring the ruckus (NAH!). You just spend all your time in the club tryin to duck us (WHAT?). And if you walk by nigga, I'ma knock fire nigga. from yo' ass, you can come try nigga (HEY!). In the hood, all the way down South (YEAH!). I ain't Mike Jones, keep my name out'cha mouth bitch (Mike Jones). We can get it crackin if it get to clickin clackin. Look at Mr. Jackson, nigga with no reaction. If you scared, go to church, we gon' hit you where it hurts. That don't work, we'll put you in the dirt. Cause a whole lot of rappers make a whole lot of noise (hey). Lyrics full of steroids, niggaz paranoid (hey). And when you get that blowup, it make you throw up. When you realize your favorite rapper ain't got no nuts. [Chorus 2X: Ice Cube + (Lil Jon)]. If you a scared motherfucker go to church (GO TO CHURCH). If you a gutter motherfucker do your dirt (A DO YOUR DIRT). If you a down motherfucker put in work (A PUT IN WORK). IF you a crazy motherfucker go berzerk (A GO BERZERK!). [Snoop Dogg]. Click clackin, pistol-packin, Crip raggin folio. Who the only nigga in the club with the toolio. You ain't know? Yeah you did; there it was, there it is. ""Is that Coolio?"" Naw bitch, let me in. Jibba-jabba snatcher get at ya, spit at actors & rappers. Hang out with kidnappers and jackers. Make money off crackers; can you imagine how I keep shit crackin?. It's the big boss Dogg I'm back in action and smashin. I flash with the bling I sur-pass the supreme. You don't really wanna have a clash with my team. I mix hash with the green I'm the, last of the kings. If I got a bitch with me she got ass in them jeans. Rollin through yo' neighborhood, my Cadillac so clean. Servin all you suckers cause you all dopefiends. Just like that dopeman, nigga what's up?. You run up with that bullshit I'll fuck yo' ass up. [Chorus]. [Lil Jon: repeat 2X]. You scared, you scared. You scared motherfucker you scared. You scared (you scared) you scared (you scared). You scared motherfucker you scared (you scared). [Chorus]. [Ice Cube + (Lil Jon)]. It goes one for the money (HEY) two for the show (YEAH). Three for the pussy, fo' for the glow (HEY). Five for the rookies, six for the pros (NAH). Seven for the numbers of them fuckin zeroes (WHAT?). Eight for haters, nine for the cause. Ten for my niggaz, behind big bars (HEY). Fuck these devils, and they laws (YEAH!). Never question the size of Ice Cube's balls"
gangsta rap made me do it,Blame me. You niggas know my pyroclastic flow. You niggas know my pyroclastic flow. You niggas know my pyroclastic flow. it's R.A.W - R.A.W. You lookin at the ground wizzy war lord vocal chord so vicious. And I don't have to show riches to pull up pull off with some bad bitches. And it ain't about shivelry. It's about dope lyrics and delivery. It's about my persona ain't nothing like a man that can do wha he wanna. Ain't nothing like man on that you knew on the cornna. See em come up and fuck up the owna. See em throw up westside California. Nigga I'm hot as Pheonix Arizona. I'm Utah I got multiple bitches. It's a new law keep a hold of yo riches. Dumb nigga don't spend it as. soon as you get it and recognize. I'm a captian you a lieutenant. I can say what I want to say ain't nohin to it gangsta rap made me do it. If I call you a nigger ain't nohin to it gangsta rap made me do it. I can act like an animal ain't nohin to it gangsta rap made me do it. If I eat you like a cannibal ain't nohin to it gangsta rap made me do it. I'm raw as a dirty needle. Choke an eagle. Just to feed all my people. Lyrically I'm so lethal. Plant thoughts in they mind just to defeat you. Ice Cube is a saga ya spit saliva. And I spit lava. I got the fearless flow. Don't get near this ho. If you scared to go. I keep it gangsta and why should change that fuck all you muthafukas tryin to change rap. But arent you the same cat that sat back when they brought cocaine back. I'm tryin to get me a may back how you muthafuckas gonna tell me don't say that you the ones where we learned it from I heard nigga back in 1971. So if I act like a pimp ain't nohin to it gangsta rap made me do it. If I call you a nappy headed ho ain't nohin to it gangsta rap made me do it. If I shoot up your college ain't nohin to it gangsta rap made me do it. If I rob you of knowledge ain't nohin to it gangsta rap made me do it. Thank God when I bless the mic. You finally get to hear the shit that you like. A nigga talkin bout real life so you can try to get this shit right. Use your brain not your back use your brain not a gat. It's a party not a jack(for real). Don't be scared of them people. Walk up in there and show them that you equal(f**k them f**k them). Don't be material a nigga grew up on milk and cereal. I never for got vaness and impearial. Look at my life Ice Cube is a miracle. It could be you if you was this lyrical. It could be her if she was this spiritual. Becuz me and allah go back like cronies. I don't got to be fake becuz he is my homie. If I sell a liitle crack ain't nohin to it gangsta rap made me do it. If I die in Iraq ain't nohin to it gangsta rap made me do it. If I take you for granted ain't nohin to it gangsta rap made me do it. If I fuck up the planet ain't nohin to it gangsta rap made me do it. You niggas know my pyrocalstic flow. You niggas know my pyrocalstic flow flow flow. You niggas know my pyroclastic flow It's R.A.W R.A.W. Oh yeah and anotha thing for all ya niggas that don't do gangsta rap don't get on tv talkin about gangsta rap cause 9 at of 10 times you don't know the fuck don niggas don't know the fuck talk about that bullshit rap you do. Stay the fuck out of mine
check yo self,"CHORUS:. So come on and chick-ity-check yo self before you wreck yo self. You betta check yo self for you wreck yo self. Cause I'm bad for your health. I come real stealth. Droppin bombs on ya moms, fuck car alarms. Do without one mother nigga wit yo Alpine. Sold it for six-o, always let tricks know. And friends know, we got that indoe. Yo I'm not a sucka, sittin in A House of Pain. And no I'm not the butler, I'll cut ya. Head-butt ya, you say you can't touch this. And I wouldn't touch ya, punk motherfucker. Here to let you know boy, oh boy. I make dough, but don't call me Dough-Boy. This ain't no fuckin motion picture. A guy or bitch-a, my nigga get wit ya. And hit ya, makin they yack to the neck. So you better run a check. CHORUS. Tricks wanna step to Cube and then they get played. Cause they bitch may pullin out a switchblade. That's kinda trifle, cause that's a knife-o AK-47, assault rifle. Hold the fifty, I'm nifty now, [Watch out now]. I hate motherfuckers claimin that they foldin bank. But steady talkin shit in the holdin tank. First you wanna step to me, now your ass screamin for the deputy. They send you to Charlie-Baker-Denver row, now the runnin up in ya slow. You're God, used to be the Don Juan, now your name is just Twan. Switch it, snap it, rollin your eyes and neck, you better run a check. CHORUS. Big dicks in ya ass is bad for your health. If you're foul you better run a make on that license plate you coulda had a V8. Instead of a trey-eight slug to ya cranium. I got six and I'm aimin em. Will I bus or keep you guessin. Cause fuck you and that shit ya stressin. Bitch, get off the wood, you no good. There goes the neighborhood hooker. Go ahead and keep your drawers. givin up the claps and who needs applause at a. time like this, pop ya coochie and ya dead. Bitch is a Miami Hurricane head. Sprung, niggas call her lips and lungs. Nappy dugout, get the fuck out. Cause women like you gets no respect. Bitch, you better run a check. CHORUS. Cause bitches like you is bad for my health. Cause the Lench Mob is bad for ya health. Nine-trey, remix, old school tip, yeah"
why we thugs,"[Intro]. Yeah. Every hood's the same [2X]. Come on. [Chorus]. They give us guns and drugs. Then wonder why in the fuck we thugs. They wanna count the slugs. Then come around here and fuck with us (Uh huh). They give us guns and drugs. Then wonder why in the fuck we thugs. They wanna count the slugs. Then come around here and fuck with us. [Verse 1]. I'm from the land of the gang bang. Since I was little, ain't a god damn thang changed. It's the same ol same. Bush run shit like Sadaam Hussien. I cock and aim, clinically insane. To deal with this bullshit day to day. If I sell some yay or smoke some hay. You bitches wanna throw me up in pelican's bay. Call me an animal up in the system. But who's the animal that built this prison. Who's the animal that invented lower living. The projects, thank god for Russell Simmons. Thank god for Sugarhill. I'm putting a different kind of steel up to my grill. Y'all know what it is, scared for your own kids. How these ghetto niggaz taken over showbiz. [Chorus]. [Verse 2]. It's boyz in the hood, it's toys in the hood. Y'all wanna know why there's noise in the hood. Cause there's drugs in the hood, thugs in the hood. Nigga killed a crip and a blood in the hood (For real). Cause when niggaz get tribal. It's all about survival, nobody liable. I got caught by five-oh. Grandmama came to court with her bible. But when the judge hit the gavel. Now I'm too far from my family to travel (Fuck). I just came unraveled. Socked the D.A. before I got gaffled. Owned by C.A, State Property. Just like the year fifteen fifty three. Looking for me, a one-way ticket out. Don't understand, what's so hard to figure out?. [Chorus]. [Verse 3]. (Damn) I can't take the pressure. Pulled the fo-fo up out the dresser. Grabbed the weight up out the closet. Po-po coming but I'm scared to toss it. Y'all know what happened last time I lost it. Can't tell you niggaz what the fuckin boss did. The game got a nigga exhausted. Gotta go for the plea bargain they offered. Twenty years for what?. Breaking these laws that's so corrupt. Taking these halls and fillin 'em up. Some powder cake shit that's about to erupt. Ay y'all, I'm about to be stuck. Until the year two thousand, what the fuck?. In the hood, don't press your luck. Cause these motherfuckers will set you up, word up. [Chorus]. [Outro]. Every hood's the same [3X]. Every hood's the same [2X]. Stop trippin on it. Every hood's the same [3X]. Every hood's the same [2X]"
fuck tha police,"[MC Ren as Court Officer]. Right about now, N.W.A. court is in full effect. Judge Dre presiding. In the case of N.W.A. vs. the Police Department;. prosecuting attourneys are: MC Ren, Ice Cube,. and Eazy-motherfuckin-E. [Dr. Dre as The Judge]. Order, order, order. Ice Cube, take the motherfuckin stand. Do you swear to tell the truth, the whole truth. and nothin but the truth so help your black ass?. [Ice Cube as Witness]. You god damn right!. [Dr. Dre]. Well won't you tell everybody what the fuck you gotta say?. [Ice Cube]. Fuck the police comin straight from the underground. A young nigga got it bad cause I'm brown. And not the other color so police think. they have the authority to kill a minority. Fuck that shit, cause I ain't the one. for a punk motherfucker with a badge and a gun. to be beatin on, and thrown in jail. We can go toe to toe in the middle of a cell. Fuckin with me cause I'm a teenager. with a little bit of gold and a pager. Searchin my car, lookin for the product. Thinkin every nigga is sellin narcotics. You'd rather see, me in the pen. than me and Lorenzo rollin in a Benz-o. Beat a police out of shape. and when I'm finished, bring the yellow tape. To tape off the scene of the slaughter. Still gettin swoll off bread and water. I don't know if they fags or what. Search a nigga down, and grabbin his nuts. And on the other hand, without a gun they can't get none. But don't let it be a black and a white one. Cause they'll slam ya down to the street top. Black police showin out for the white cop. Ice Cube will swarm. on ANY motherfucker in a blue uniform. Just cause I'm from, the CPT. Ounk police are afraid of me!. HUH, a young nigga on the warpath. And when I'm finished, it's gonna be a bloodbath. of cops, dyin in L.A.. Yo Dre, I got somethin to say. {Fuck the police 4X}. [Cop] Pull your god damn ass over right now. [NWA] Aww shit, now what the fuck you pullin me over for?. [Cop] Cause I feel like it!. Just sit your ass on the curb and shut the fuck up. [NWA] Man, fuck this shit. [Cop] Aight smartass, I'm takin your black ass to jail!. [Dr. Dre]. MC Ren, will you please give your testimony. to the jury about this fucked up incident?. [MC Ren]. Fuck the police and Ren said it with authority. because the niggaz on the street is a majority. A gang, is with whoever I'm steppin. and the motherfuckin weapon is kept in. a stash box, for the so-called law. Wishin Ren was a nigga that they never saw. Lights start flashin behind me. But they're scared of a nigga so they mace me to blind me. But that shit don't work, I just laugh. because it gives em a hint, not to step in my path. For police, I'm sayin, ""Fuck you punk!"". Readin my rights and shit, it's all junk. Pullin out a silly club, so you stand. with a fake-assed badge and a gun in your hand. But take off the gun so you can see what's up. And we'll go at it punk, and I'ma fuck you up!. Make you think I'ma kick your ass. but drop your gat, and Ren's gonna blast. I'm sneaky as fuck when it comes to crime. But I'ma smoke 'em now and not next time. Smoke any motherfucker that sweats me. or any asshole, that threatens me. I'm a sniper with a hell of a scope. Takin out a cop or two, they can't cope with me. The motherfuckin villian that's mad. With potential, to get bad as fuck. So I'ma turn it around. Put in my clip, yo, and this is the sound. {*BOOM, BOOM*} Yeah, somethin like that. but it all depends on the size of the gat. Takin out a police, would make my day. But a nigga like Ren don't give a fuck to say. {Fuck the police 4X*}. [Cop] {*knocking on the door*}. [NWA] Yeah man, what you need?. [Cop] Police, open now. [NWA] Aww shit. [Cop] We have a warrant for Eazy-E's arrest. [Cop] Get down and put your hands up where I can see 'em. (Move motherfucker, move now!). [NWA] What the fuck did I do, man what did I do?. [Cop] Just shut the fuck up. and get your motherfuckin ass on the floor. (You heard the man, shut the fuck up!). [NWA] But I didn't do shit. [Cop] Man just shut the fuck up!. [Dr. Dre]. Eazy-E, won't you step up to the stand. and tell the jury how you feel about this bullshit?. [Eazy-E]. I'm tired of the motherfuckin jackin. Sweatin my gang, while I'm chillin in the shack, and. shinin the light in my face, and for what?. Maybe it's because I kick so much butt. I kick ass -- or maybe cause I blast. on a stupid-assed nigga when I'm playin with the trigger. of any Uzi or an AK. Cause the police always got somethin stupid to say. They put out my picture with silence. Cause my identity by itself causes violence. The E with the criminal behavior. Yeah, I'm a gangsta, but still I got flavor. Without a gun and a badge, what do ya got?. A sucker in a uniform waitin to get shot. by me, or another nigga. And with a gat it don't matter if he's smaller or bigger. (MC Ren: Size ain't shit, he's from the old school fool). And as you all know, E's here to rule. Whenever I'm rollin, keep lookin in the mirror. And ears on cue, yo, so I can hear a. dumb motherfucker with a gun. And if I'm rollin off the 8, he'll be the one. that I take out, and then get away. While I'm drivin off laughin this is what I'll say. {*""Fuck the police"" -> cut and scratched 4X*}. The verdict. [Dre] The jury has found you guilty of bein a redneck,. white bread, chickenshit motherfucker. [Cop] But wait, that's a lie! That's a god damn lie!. [Dre] Get him out of here!. [Cop] I want justice!. [Dre] Get him the fuck out my face!. [Cop] I want justice!. [Dre] Out, RIGHT NOW!. [Cop] FUCK YOU, YOU BLACK MOTHER-FUCKERRRRRRRRRRRRS!. Fuck the police! 3X)"
streets shed tears,"Ooh, ooh, ooh. When the cold wind blows in the heart of the city and I'm gone. I know the streets will shed tears for me. When my story is over and my song is done. I know the streets will shed tears for me. The end. All I get is motherfuckin' love in these streets. To most of these tricks I'm a motherfuckin' treat. What's beef? I ain't got no beef. See all that bitchin'? It taste like chicken. And all these chickens? They get plucked. And nobody wants to see the volcano erupt. I'm down with Daz 'cause everythang is Kurupt. I'm celebrated every time I pull up. You hella hated, every time you look up. I'm elevated to rapper's deluxe. They love me, dawg, 'cause I'm one of a kind. This is God's plan, homie, it ain't mine. See, this ain't about dyin', it's all about shinin'. It's all about climbin' a hill full of diamonds. I know that you feel it, I know that you felt it. 'Cause a nigga gon' live 'til a nigga can't help it. When the cold wind blows in the heart of the city and I'm gone. I know the streets will shed tears for me. (They love me, dawg). When my story is over and my song is done. (They love me, dawg). I know the streets will shed tears for me. The end. Sorry, y'all, I ain't got no haters. All I got is mother fuckers tellin' me I'm the greatest. All I got is those fly ass suits and gators. Nobody servin' Cube but maids and waiters. Nobody tryin' to take my life. All these bitches tryna do is replace my wife. But you hoes ain't cold enough to fuck with Ice. Like Kim she'll run circles 'round you bitches twice. Now, it might get funky but it won't get ugly. Niggas might not like me but they still love me. Niggas might talk shit, they whisper and huddle. 'Cause they know my rebuttal might leave a puddle. Now the streets is talkin' until they see me walkin' up the block, then all the bullshit stop. Anything I do, don't take it personal 'cause when a nigga gone, that shit ain't reversible. When the cold wind blows in the heart of the city and I'm gone. I know the streets will shed tears for me. (They love me, dawg). When my story is over and my song is done. (They love me, dawg). I know the streets will shed tears for me. The end. I'm the bastard that spit the acid. Fuck a funeral home and a casket. Fuck a funeral song and a procession. Keep God on your dome and count your blessings. Keep the hood in your heart but Heaven on your mind. Shake 'em up and roll seven every time. Pick 'em up, yup, stick 'em up. Every time you see me got a different color cup. This ain't about dyin', it's all about livin'. It's all about makin' everyday Thanksgivin'. It's all about givin', about stayin' driven. It ain't about you, it's about these children. So when a nigga die, stop cryin' and ventin'. Will somebody in here bump George Clinton?. Will somebody in here hug my fam?. Don't worry about me, you know where I am. When the cold wind blows in the heart of the city and I'm gone. I know the streets will shed tears for me. (They love me, dawg). When my story is over and my song is done. (They love me, dawg). I know the streets will shed tears for me. The end"
