fancy (feat. charli xcx),"First thing, first, I'm the realest (Realest). Drop this and let the whole world feel it (Let them feel it). And I'm still in the Murda Bizness. I can hold you down, like I'm givin' lessons in physics. (Right, right?). You should want a bad bitch like this. Drop it low and pick it up just like this. Cup of Ace, cup of Goose, cup of Cris. High heels, something worth a half ticket on my wrist. Takin' all the liquor straight, never chase that. Rooftop like we bringin' '88 back. What?. Bring the hooks in, where the bass at?. Champagne spillin', you should taste that. I'm so fancy. You already know. I'm in the fastlane. From L. A. to Tokyo. I'm so fancy. Can't you taste this gold?. Remember my name. 'Bout to blow. I said, ""Baby, I do this, I thought that you knew this"". Can't stand no haters and honest, the truth is. And my flow retarded, each beat dear, departed. Swagger on stupid, I can't shop at no department. Better get my money on time. If they not money, decline. And swear I meant that there so much. That they give that line a rewind. So get my money on time. If they not money, decline. I just can't worry 'bout no haters. Gotta stay on my grind. Now tell me, who that, who that?. That do that, do that. Put that paper over all. I thought you knew that, knew that. I be the I-G-G-Y, put my name in bold. I been workin', I'm up in here. With some change to throw. I'm so fancy. You already know. I'm in the fastlane. From L. A. to Tokyo. I'm so fancy. Can't you taste this gold?. Remember my name. 'Bout to blow. Trashed the hotel. Let's get drunk on the mini bar. Make the phone call. Feels so good getting what I want. Yeah, keep on turning it up. Chadelier's swinging, we don't give a fuck. Film star, yeah, I'm deluxe. Classic, expensive, you don't get to touch. Aoh. Still stunting how you love that?. Got the whole world asking. How I does that. Hot girl hands off, don't touch that. Look at it, I bet you wishing you could clutch that. that's just the way you like, huh?. You're so good, he's just wishing he could bite it, huh?. Never turn down money. Slaying these hoes. Gold trigger on the gun like. I'm so fancy. You already know. I'm in the fastlane. From L. A. to Tokyo!. I'm so fancy. Can't you taste this gold?. Remember my name. 'Bout to blow. Who that, who that?. I-G-G-Y. That do that, do that?. I-G-G-Y. Who that, who that?. I-G-G-Y. Who that, who that?. I-G-G-Y. That do that, do that?. I-G-G-Y. Who that, who that?. I-G-G-Y. Blow"
kream (feat. tyga),"First you get the money. Then you get the power. Respect. Hoes come last. OMG Ronny. [Hook: Both]. Ay, get it, get it, get it, get it, get it, get it, get it, get it. Ay, get it, get it, get it, get it, get it, get it, get it, get it. Ay, get it, get it, get it, get it, get it, get it, get it. Get it, get it, get it. (Kash rules everything around me). [Verse 1: Iggy Azalea & amp; Tyga]. Uh, open up the safe, bitches got a lot to say. Pussy in your face, that'll put you in your place (boom). 7 letters on the plate, fuck you when i break (bitch). I got cars, I got bags, I got real estate (cash rules). Foreplay, I ain't come to play. I got big fish money, he gon' bite the bait (yeah). Can you drop it down, make that ass talk to me?. Keep that energy, gon' up that Hennessy (cash). I need my bag quickly. Separate 6 degrees, bitches think they know me. Sex Pistols, Sid Vicious, wet you when it's horny. Hit me on my cash app, check it in the morning. Cash, in this bitch shinin'. Dressed in designer, she could get heightening. And it's perfect timing, gin with the tonic. Bella Hadid, homie could get it. [Bridge: Iggy Azalea]. Ass. Cash, cash. Ass, bags. Bad. Kash rules everything around me. [Hook: Tyga & amp; Iggy Azalea]. Ay, get it, get it, get it, get it, get it, get it (ass, cash, cash). Ay, get it, get it, get it, get it, get it, get it, get it (ass, bags). Ay, get it, get it, get it, get it, get it, get it, get it (bag). Get it, get it, get it, get it. Kash rules everything around me. [Verse 2: Tyga]. Ass rules everything around me. Deep in that pussy, ya I'm drowning. A shark in the water, how you found me?. Best gift from 'round me (I'ma dog). I go hunting like a bounty (woof). (cash rules) Ya, make my own rules. Tattoos on that ass, she do nice move. Welcome to the players club, Ice Cube. Diamonds might make the news. Bitch that's photoshop like rappers with that autotune (cash). Uh, your cheques is not a proof. RM 52, anoscope, water proof. Niggas talk a lot of boof, till they outside the booth. My niggas like golden state, inbound, pull up and shoot. [Bridge: Iggy Azalea]. Cash. Cash, ass. Ass, bags. Bag. Kash rules everything around me. [Hook: Tyga & Iggy Azalea]. Get it, get it, get it, get it, get it, get it, (ass, cash, cash). Get it, get it, get it, get it, get it, get it, get it (ass, bags). Get it, get it, get it, get it, get it, get it, get it (bag). Get it, get it, get it, get it. Kash rules everything around me. [Outro: Iggy Azalea]. Ass rules everything around me. Deep in that pussy, got him drowning (drownin', drownin'). Kash rules everything around me. A shark in the water, how you found me?. (found me, found me, found me, found me, found me). Cash rules (Get the money). Cash rules (Dollar dollar bill y'all)"
work,"Walk a mile in these Louboutins. But they don't wear these shits where I'm from. I'm not hating, I'm just telling you. I'm tryna let you know what the fuck that I've been through. Two feet in the red dirt, school skirt. Sugar cane, back lanes. Three jobs, took years to save. But I got a ticket on that plane. People got a lot to say. But don't know a thing about where I was made. Or how many floors that I had to scrub. Just to make it past where I am from. No money, no family. Sixteen in the middle of Miami. I've been up all night, tryna get that rich. I've been work work work work working on my shit. Milked the whole game twice, gotta get it how I live. I've been work work work work working on my shit. Now get this work. Working on my shit. You can hate it or love it. Hustle and the struggle is the only thing I'm trusting. Thorough bread in a mud brick before the budget. White chick on that Pac shit. My passion was ironic. And my dreams were uncommon. Guess I gone crazy, first deal changed me. Robbed blind, basically raped me. Rose through the bullshit like a Matador. Just made me madder and adamant to go at 'em. And even the score. So, I went harder. Studied the Carters 'till a deal was offered. Slept cold on the floor recording. At 4 in the morning. And now I'm passin' the bar like a lawyer. Immigrant, art ignorant. Ya ill intent was insurance for my benefit. Hate be inconsiderate. But the Industry took my innocence. Too late, now I'm in this bitch!. You don't know the half. This shit get real. Valley girls giving blowjobs for Louboutins. What you call that?. Head over heels?. No money, no family. Sixteen in the middle of Miami. I've been up all night, tryna get that rich. I've been work work work work working on my shit. Milked the whole game twice, gotta get it how I live. I've been work work work work working on my shit. Now get this work. Working on my shit. Pledge allegiance to the struggle. Ain't been easy. But cheers to Peezy for the weeks we lived out of duffle. Bags is all we had. Do anything for my momma, I love you. One day I'll pay you back for the sacrifice. That ya managed to muscle. Sixteen you sent me through customs so. All aboard my spaceship to Mercury. Turn first at the light that's in front me. 'Cause every night I'mma do it like it's my last. This dream is all that I need. 'Cause it's all that I ever had. Now get this work. Now get this work. Now get this work. Now get this work. Working on my shit. Now get this work. Now get this work. Now get this work. Now get this work. Working on my shit"
black widow (feat. rita ora),"I'm gonna love you until you hate me. And I'm gonna show you what's really crazy. You should've known better. Than to mess with me harder. I'm gonna love you, I'm gonna love you. I'm gonna love you like a black widow, baby. This twisted cat and mouse game. Always starts the same. First we're both down to play. Then somehow you go astray. We went from nothing to something. Liking to loving. It was us against the world and now we're just fucking. It's like I loved you so much, now I just hate you. Feeling stupid for all the time that I gave you. I wanted all or nothing for us. Not a single place in between. By me believing what you say that you never mean. Like it will last forever, but now forever ain't as long. If it wasn't for you I wouldn't be stuck singing this song. You were different from my last but now you got it mirrored. And as it all plays out I see it couldn't be clearer. You used to be thirsty for me. But now you wanna be set free. This is the web, web that you weave. So baby, now rest in peace. I'm gonna love you until you hate me. And I'm gonna show you what's really crazy. You should've known better. Than to mess with me harder. I'm gonna love you, I'm gonna love you. I'm gonna love you like a black widow, baby. (Black widow baby). I'm gonna love you until it hurts. Just to get you. I'm doing whatever works. You ain't never met nobody. That's gonna do ya how I do ya. And I'll bring you to your knees. Praise Jesus, hallellujah!. I'mma make you beg for it. Plead for it. 'Til you feel like you breathe for it. 'Til you do any and everything for it. I want you to fiend for it. Wake up and dream for it. 'Till it's got you gasping for air. And you lean forward. 'Till they have a Cat scan to check on your mind. And it's nothing but me, on it (on it, on it). Now it's me time, believe that. If it's yours and you want it. I want it, promise I need that. 'Till I'm everywhere that you be at. I can't fall back, go quick. Cause this here is fatal attraction. So I take it all or I don't want shh. You used to be thirsty for me. But now you wanna be set free. This is the web, web that you weave. So baby, now rest in peace. I'm gonna love you until you hate me. And I'm gonna show you what's really crazy. You should've known better. Than to mess with me harder. I'm gonna love you, I'm gonna love you. I'm gonna love you like a black widow, baby"
switch (feat. anitta),"Uh. It's Iggy Iggs!. What you want. Look, look. Kick in the door, wavin' the four fizzy. They already know they can't fuck with Iggy. True's cost more than the rent do, you know that. All black on when I come through, it's Kodak. Mirror, mirror on the wall. Is Iggy the ziggy-iggy the baddest of 'em all?. Why you come through, shut down the mall?. All that ass deserve an applause. Change the game (Change it up, change it up now). Switchin' up the game (Switch it up, switch it up now). There I go again (Here we go, here we go). Play your role, play you ro-o-ole. Fantasy (Fantasy). Turns reality (Turn reality). Right in front of me (Right in front of me). I can have it anyway I want. Red light, yellow light, green light. Switch! (Ooh). This is about the time you recognize I'm that bitch. This is all that sauce your mama said. You couldn't get. Red light, yellow light, green light. Switch! (Ooh). Me and my boo on a worldwide hustle. You know what it is when I flex that muscle. I don't even know what a real one do. Talk that talk, I can back it up too. Got yo dessert, call me the waiter. I'm flirtin', you'll get it later. You can get it from the inside out. No hands, you can put it in your mouth. Change the game (Change it up, change it up now). Switchin' up the game (Switch it up, switch it up now). There I go again (Here we go, here we go). Play your role, play you ro-o-ole. Fantasy (Fantasy). Turns reality (Turn reality). Right in front of me (Right in front of me). I can have it anyway I want. Red light, yellow light, green light. Switch! (Ooh). This is about the time you recognize I'm that bitch. This is all that sauce your mama said. You couldn't get. Red light, yellow light, green light. Switch! (Ooh). It's Iggy bitches. What you want?. What you want want want?. Switch it up. The lamb, the Bentley truck. He don't love you, that ring ain't big enough. If they talkin' that money I'm showing up. My account getting bigger it's growing up. And I'm still a motherfuckin' rockstar. Popstar but I roll with the mobsters. Yacht club on the shore eating lobster. While I'm stunting in Geneva with my top off. Red light, yellow light, green light, switch! (Ooh). This is 'bout that time you recognize that I'm that bitch. This is all that sauce your mama said. You couldn't get. Red light, yellow light, green light, switch! (Ooh). Red light, yellow light, green light, switch!. (Switch it up on 'em). This is about the time you recognize I'm that bitch. This is all that sauce your mama said. You couldn't get. Red light, yellow light, green light, switch!. (Switch it up on 'em)"
team,"Turn me up, break the knob right. I get dressed like it's prom night. I feed them lemons in the limelight. They say I'm full, lost my appetite?. (Hell nah) Keep on pushing like a dealer. (Hell nah) Keep on shooting, Reggie Miller. (Hell nah) Go and give 'em all the finger. You gotta set the score right, call it Hans Zimmer. My time wherever I go. I took a chance like I'm from Chicago. 100 plus in that Murcielago. Bout to go ape, hey!. Turn it to the congo. Baby I got me. Baby I got me. And that's all I need. Yeah that's all I need. Baby I got me. Only friend I need. Playing on my team. Is someone like. Me, baby, no way. Watch me while I do my thing. Oh, baby, no way. Are you fucking with the team?. Outchea, pronto. Hit 'em with the dose, that's a combo. Running through ya block, no fumble. Bout to kill 'em all, where the shovel?. See I gotta go for mine. Benja-jammin' - that money on my mind. Jamaican club, I'm stayin' on the grind. Dutty wine, don't step on this land mine!. Ven aqui, andele. You tryna take flight? Do what I say. 100 plus vogues on the highway. Watch a new Kardash, call me Kylie. Baby I got me. Baby I got me. And that's all I need. Yeah that's all I need. Baby I got me. Only friend I need. Playing on my team. Is someone like. Me, baby, no way. Watch me while I do my thing. Oh, baby, no way. Are you fucking with the team?. Are you workin' with some cash yeah, cash yeah?. 100, 000 on the dash yeah, dash yeah. All my ladies shake it fast yeah, fast yeah. Now vogue on that ass, yup! Yeah we in here. Are you workin' with some cash yeah, cash yeah?. 100, 000 on the dash yeah, dash yeah. All my ladies shake it fast yeah, fast yeah. Now vogue on that ass, yup! Yeah we in here. Baby I got me. Baby I got me. And that's all I need. Yeah that's all I need. Baby I got me. Only friend I need. Playing on my team. Is someone like. Me, baby, no way. Watch me while I do my thing. Oh, baby, no way. Are you fucking with the team?. Team, team. Team, team. Are you fuckin' with the team?. Are you fuckin' with the team?. Are you fuckin' with the team?. Are you fuckin' with the team?"
change your life (feat. t.i.),"I'mma change your life, I'mma change it. I'mma change your life (life) [4x]. [T. I.]. Yo, hustle gang homey, real talk, no bullshit. [Iggy azalea]. You used to dealing with basic bitches. Basic shit all the time. I'm a new classic, upgrade your status. From a standby to a frequent flyer. Pop out your past life. And I'll renovate your future. Then I integrate my genius shit. We purchasin' not perusing. Yeah, I love your hustle, baby. Just let me add a little bit of muscle, baby. Joint venture, we'll partner up until the shares are up. And I'll up your wages. On a private island, dolo. One across the Cono. Them broads before me was locals. Through customs accustom your wardrobe, damn. Stamped passports where they all pass ports. 'Till the clocks fast forward. Then we got blue shores where they don't do chores. We just get chauffeured. Damn, this is the life. Exclusive shit with all access granted. In the country where the accents are grand. And they landing on top of foreign mansions. I'mma change your life, I'mma change it. I'mma change your life (life) [4x]. [T. I.]. If you could listen more than you speak. I get you everything that you need. I'm talking 'bout red bottoms Lv. Even extensions plugs in your weave. I be blowing on strong weed when we ride. And everybody just lookin'. But ain't no nigga gon' holla. They like ""nah shawty, she tooken"". I'mma get you up out that coffee shop. Pick you up and leave you marked where you wanna shop. And let me show you that watch you supposed to wear. Get up out that Honda Civic and get your ass in here. Tell your mom and dad you're straight. Don't worry 'bout it you got it. You fly over in coach and fly back in a jet. ""Hustle Gang"" got your chest. Ain't no time for no stress. [Iggy Azalea]. We spend our winters in the summer of Australia. Eating crumpets with the sailors. On acres without the neighbors. We fast-forward four years more. We long way from piss-poor. And all the shit that we endure. I told you what you was in for so. I'mma change your life, I'mma change it. I'mma change your life (life) [4x]. Once you go great, you never go good. You never go back, even if you could. I'll show you my way, I got that good-good. You never go back, even if you could. Have you ever wished your life would change?. Woke up and you lived your dreams. Baby I could help you make that change. I could show you how to do this thing. Have you ever wished your life would change?. Woke up and you lived your dreams. Baby I could help you make that change. I can show ya, show ya (show ya, show ya). I'mma change your life, I'mma change it. I'mma change your life (life) [4x]. Once you go great, you never go good. You never go back, even if you could. I'll show you my way, I got that good-good. You never go back, even if you could. Once you go great, you never go good. I'mma change your life, I'mma change it. I'mma change your life (life). I'll show you my way, I got that good-good. I'mma change your life, I'mma change it. I'mma change your life (life, life)"
savior (feat. quavo),"Been around the world and I, I, I. I can't find my baby. Things gettin' crazy. Losin' my patience. Why you keep me waitin'. Goin' through the phases. Got me walkin' out the house all done up. Just in case I see your face. And you decide to run up. Yea I'm in a different place. I need someone to hold on to. I been sendin' up a prayer hope. The call gets through. 'Cause my heart beats for you only. I wonder if you even know me. Countin' down every moment. That I wait for ya, I wait for ya. I wonder if you even notice. Lately I've been feelin' hopeless. Easy to lose focus, but I'll wait for ya. I've been looking for a savior. I've been looking for a savior. I've been looking for a hero in my corner. I've been looking for a savior. A savior, to save me. (I've been looking for a savior. A savior, to save me...). I feel like y'all playin' tricks on me. Got a fix on me. Feel the weight of the world. Like I got a brick on me. Had a dance with the devil. And he got a grip on me. I'm just tryning get to heaven. Hope you got a ticket for me, uh. I've been sending up prayers, I need feedback. Past full of sin, can someone delete that?. My path got muddy. I feel like my feet trapped. Can you give me the strength now to beat that?. 'cause my heart beats for you only. I wonder if you even know me. Countin' down every moment. That I wait for ya, I wait for ya. I wonder if you even notice. Lately I've been feelin' hopeless. Easy to lose focus, but I'll wait for ya. I've been looking for a savior. I've been looking for a savior. I've been looking for a hero in my corner. I've been looking for a savior. A savior, to save me. Saving my love for you. Saving my love for you. Saving it, saving it all for you. Saving it all for you, all for you. Saving my love for you. Saving my love for you. Saving it, saving it all for you. Saving it all for you. I've been looking for a savior. I've been looking for a savior. I've been looking for a hero in my corner. I've been looking for a savior. A savior, to save me. Been around the world and I, I, I. (hey, I've been looking for a). Been around the world and I, I, I. (hey, I've been looking for a). Been around the world and I, I, I (hey). I've been looking for a savior. a savior, yeah, save me"
pussy,"Iggy iggy pussy illy. Wetter than the amazon. Taste this kitty. Silly billy poppin pillys. Smoke it like a swisher. Lick this philly. Mold em ah' soak em ah'. Hook em like crack. After shock. Molten ah' lava drop. This should be outlawed. call me pac. The illest on the planet. Better play ya cards right mr gambit. If you wanna hang here. Aint no hammock. Never, not better - law should ban it. Never, no better - law should ban it. I do it right, wit d.r.u.g.s understand it. I do it right, now please sir pan it. Left right back to the middle. Head on swivel neck till I quivel. Open ya mouth.... Taste the rainbow taste my skittles ah! (2x). Pussy. pussy.pussy. Pussy. pussy.pussy. You know bitches envy me. Cause you cant get rid of me. When you cum. I run.. This cats got you mission me. Bad boys get a mouth fulla pussy. Aka listerne. Here to make you lose your mind. Gonna need sherlock holmes. To solve your mystery. Im nasty. Baby what you thinking?. Aka titanic. So much wet will have yo ass sinking. Treat that tongue like a bullet. Give me head abe lincon. This is so out this world. But no you not dreamin'"
mo bounce,"Mo bounce, bounce, bounce, bounce. Bounce, bounce, bounce. Bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. Bounce, b-bounce, bounce, mo bounce. Mo bounce, bounce, bounce. Bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. Bounce, bounce, bounce, bounce. Bounce, bounce, bounce. Bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. Bounce, bounce, bounce, bounce. Bounce, bounce, bounce. Bounce in the motherfuckin' house. Bounce, mo bounce in the motherfuckin' house. Bounce like a motherfuckin' '64, sick flow. Slick talk, spittin' that Crisco. Drop that shit, like a cholo at the dub show. Can you hit the switch and pick it up and let the world know?. Homie if you're broke, oh, no you don't deserve hoes. All these fake boulders only gettin' on my nerves though. I just cracked a 40, now I'm sippin' out the straw slow. Little bit of ratchet, little boujee, you should all know. Everybody got opinions, yeah, like assholes. You ain't gotta worry 'bout those, 'cause they assholes. We just came to party, party, party, what you came for?. M-make the neighborhood bounce to this. When that shit goes down, the block get loud. In your backyard bumpin' while we're blazin' out. Make it bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. When that shit goes down, the block get loud. In your backyard bumpin' while we're blazin' out. Make it bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. Bounce, bounce, bounce, bounce. Bounce, bounce, bounce (to the red light). Bounce, bounce, bounce, bounce. Bounce, bounce, bounce (make your headlight). Bounce, b-bounce, bounce, b-bounce. Bounce, b-bounce, bounce (like a low-low). B-bounce, bounce, b-bounce (throw it up). Bounce (at the pole, pole). Bounce that ass, bounce that ass, yeah bounce it. Puff the lah or get high off the contact. Call the law, we gon' make sure we come back. Fallin' off, we ain't ever been about that. Hundred spokes spinnin' on a chrome rim. I got a feelin' that tonight we gon' be goin' in. I'm with a few bad bitches and some grown men. With the ice so cold, I feel like I'm Snowden. I feel like I'm rollin', but the whole place geeked up. Gettin' hot in here, down to my wife beater. But you ain't gotta worry, we ain't dangerous. We came up. M-make the neighborhood bounce to this. When that shit goes down, the block get loud. In your backyard bumpin' while we're blazin' out. Make it bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. When that shit goes down, the block get loud. In your backyard bumpin' while we're blazin' out. Make it bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. Bounce, bounce, bounce, bounce. Bounce, bounce, bounce (to the red light). Bounce, bounce, bounce, bounce. Bounce, bounce, bounce (make your headlight). Bounce, b-bounce, bounce, b-bounce. Bounce, b-bounce, bounce (like a low-low). Bounce, b-bounce, bounce, b-bounce (throw it up). Bounce (at the pole, pole). Mo, m-m-mo bounce, blazin' up. Back, bumpin', backyard bumpin', the block get loud. Mo, m-m-m-mo bounce. Backyard, backyard b-bumpin'. Backyard bumpin', the block get loud. When that shit goes down, the block get loud. In your backyard bumpin' while we're blazin' out. Make it bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. When that shit goes down, the block get loud. In your backyard bumpin' while we're blazin' out. Make it bounce in the motherfuckin' house. Mo bounce in the motherfuckin' house. Bounce, bounce, bounce, bounce. Bounce, bounce, bounce (to the red light). Bounce, bounce, bounce, bounce. Bounce, bounce, bounce (make your headlight). Bounce, b-bounce, bounce, b-bounce. Bounce, b-bounce, bounce (like a low, low). B-bounce, bounce, b-bounce (throw it up)"
