"wonderful (feat. r. kelly, ashanti)","If it wasn't for the money. Cars and movie stars and jewels. And all these things I got. I wonder, hey. Would you still want me (Want you). Would you still be calling me. (Still calling you). You be loving me? (I'll be loving you). Wanna keep you flawed with no dough. Pimpin ain't easy. Trust me I know. When gangstas and hos. Go go go go go go together. Like chinchilla and bad weather. I'm good but been better. All my bros, chedda and glamorous things. Copped a few cars. A crib with a east and west wing. Cuz this is how I'm livin. And yall women know the secrets. Of how to get it and keep it. How to prey on my weakness. It's the power of the p-u-s-s-y. Got a lotta niggaz wonderin it ain't just I. Gotta keep ya cash comin and that's on my life. If it wasn't for the money and the things I got. Shit, she probably wouldn't like me. But I keep her and irv and jeffrey quite icy. Sip seraphin. Who doesn't like me. And the murderous I-n-c. If it wasn't for the money. Cars and movie stars and jewels. And all these things I got. I wonder, hey. Would you still want me (Want you). Would you still be calling me. (Still calling you). You be loving me? (I'll be loving you). How many girls does it take to get to. Mack status. Player status. Pimps that get. Ya boy half rich fore we hit show biz. But show biz brought next level chicks. Pull them in them hot cars go. And buy the whole bar nigga. I came from the dirt what you want me to say. Im at the top of the world. And lifes a pussy buffet. And that's why I get m-I-a. Shut the game down so the bustas cant play. Hell yeah I splurge money. Hell yeah I act funny. Look at you like fuck you. All the shit I been thru. It's a wonder why im still here. Said I was gone but im still here. And all you bitches that left me here. Its mighty strange how you right back here. If it wasn't for the money. Cars and movie stars and jewels. And all these things I got. I wonder, hey. Would you still want me (Want you). Would you still be calling me. (Still calling you). You be loving me? (I'll be loving you). I wonder why love is about money. And why wou wanna take it all from me. Honey. My life is dark but its lovely. Crimes cars cribs aint that right kelly?. (Oh oh oh oh oh oh). Yall bitches don't know. Money aint a thang. Mami need a lil change. Girl im pitchin quarters. Closest to the arches but live in a fortress. New benzes new porsches. New cases new lawyers. im becoming the infamous notorious rule. Niggaz couldn't walk a mile in my shoes. Niggaz don't possess the heart that I do. And it's a wonder that im still here. Thought I was gone but im still here. And all you bitches that left me here. Its kinda funny how you right back there. If it wasn't for the money. Cars and movie stars and jewels. And all these things I got. I wonder, hey. Would you still want me (Want you). Would you still be calling me. (Still calling you). You be loving me? (I'll be loving you). Oh oh oh oh ohhhhh. Oh oh oh oh"
always on time (feat. ashanti),"Always there when you call, always on time. Gave you my... baby be mine. Always there when you call, always on time. Gave you my... baby. Baby, I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. C'mon and get a piece of this late-night lover. You know. The one that swing dick like no other (shit). I know, I got a lot of things I need to explain. But baby you know the name. And love is about pain. So, stop the complaints. And drop the order restraints. Our sex life's a game so bat me down in the paint. 'Cause I can't wait no more. 'Cause it's about a quarter-past three. And shorty's eyein me. I got the Bentley valeted. And I'm just outside of Jersey. Past the Palisades. And I love to see that ass in boots and shades. Hold down on the bed while. I'm yankin your braids. Thug style, you never thought. I'd make you smile. While I'm smackin your ass. And fuckin you all wild. But we share somethin so rare. But who cares, you care. Baby, I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. Girl, get a grip, c'mon, pull it together. It's only a sunshower. We been through worse weather. Like the stormy nights. You wrote a ""Dear Ja"" letter. And took my Benz and keyed and cut the leather. Bitch, you know better, we live M-O-B. Money Over Bitches, Murder, I-N-C. I got two or three hoes for every V. And I keep 'em drugged up off that ecstasy. I'm a playground legend like Kirk with Pee-wee. Name a nigga in the league. Got more game than me. I play hard, there's so many women I fathered. Meet 'em with scars. And send 'em home hot and bothered. Truth or dare, this life ain't apparantly fair. And a love with no glare is a crystal stare. But we share somethin so rare. But who cares, you care. Baby, I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. Oh I'm, feelin like ya livin a, double life. 'Cause you don't be comin home, sometimes. Baby, but you're always on time. Checkin for one time. You and I, got a special bond together. We go back like bombers boo. In the coldest weather. And when I play you play the same way. You freak me baby I fuck you crazy. Then I'm gone. Baby don't really want me to get up. And leave off that easy. She'll be wakin up wet for sheezy. Remind these bitches to mind they business. Believe me, this pimp game is very religious. And I'm built like the Don Bishop. Gon' keep this money-green Benz. And my hoes as my witness. The life we share is a thug affair. But who cares, you care. Baby, I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. I'm not always there when you call. But I'm always on time. And I gave you my all, now baby be mine. Always there when you call, always on time. Gave you my... baby be mine. Always there when you call, always on time. Gave you my... baby"
mesmerize (feat. ashanti),"Haha, yeah. Whattup ma? How you been. Yeah I know, I know, hehe. It's all good... (Murder Inc.). Girl your stare, those eyes I. (love it when you look at me baby). Your lips, your smile I. (love it when you kiss me baby). Your hips, those thighs, I. (love it when you thug me baby). And I can't, deny I. (love it when I'm witchu baby). I, got a fetish for fuckin you witcha skirt on. On the backstreet in the back seat of the Yukon. What's takin so long? I'm gettin anxious. But patiently waitin for you. To tell a nigga to move on. Between me and you, we can find each other. flyin abroad in my private G-2. I ain't tryin to G you, ma I'm tryin to see you. Bend over, you know how we do it. Feet to shoulders. Bring heat to coldest night, so ferocious. Now you street promotin the dick game is potent. Cause in the bed a nigga go hard like Jordan. Sweat pourin, lovin the way you be moanin. Grippin the sheets, lookin at me lickin at me. Cause every woman just wanna be happy. And it's Cra-Zay, but Bay-Bay, I. (love it when I'm witchu baby). Girl your stare, those eyes I. (love it when you look at me baby). Your lips, your smile I. (love it when you kiss me baby). Your hips, those thighs, I. (love it when you thug me baby). And I can't, deny I. (love it when I'm witchu baby). I wanna get away. Cause you know like I know. And there's a better day, a-comin. I'm hooked on your lovin. Believe me, and when you hold my body. I know you need me, wait for me bay-bay. I've been goin half crazy for your love. And I was told that the sex, better than drugs. Then get addicted, boy listen. I'm the only piece of the puzzle you're missin. Like when we kissin - bye bye bye. You got a girl that'll - ride ride ride. So take me, tonight. And do what you do to me baby. Girl your stare, those eyes I. (love it when you look at me baby). Your lips, your smile I. (love it when you kiss me baby). Your hips, those thighs, I. (love it when you thug me baby). And I can't, deny I. (love it when I'm witchu baby). Shorty, are you really gettin bored with me. Or him?. Cause though I play a lot of games. I play 'em to win. (But then again I'm still young. And I'm livin my life). You know you're right and I'm the type. To pull up to your bumper. Get your number. (Baby, I can only help but wonder). What life would be without (my sweet baby). And you're my baby (holla if you hear me). You can understand that my love is pain. And how I feel in vain. It's just a woman thang. (It's a man's world, but I understand). But there's still nothin different boy. Stick to the plan. (You be my down ass, witcha round ass). I know I'm feelin you. (Like you feelin me). The way you're holdin my body. The way you touch me. Girl your stare, those eyes I. (love it when you look at me baby). Your lips, your smile I. (love it when you kiss me baby). Your hips, those thighs, I. (love it when you thug me baby). And I can't, deny I. (love it when I'm witchu baby). I love when you touch me baby. All over my body baby. I love when you kiss me baby. All over my body baby. I love when you touch me baby. All over my body baby. I love when you kiss me baby. All over my body baby. Girl your stare, those eyes I. (love it when you look at me baby). Your lips, your smile I. (love it when you kiss me baby). Your hips, those thighs, I. (love it when you thug me baby). And I can't, deny I. (love it when I'm witchu baby)"
i'm real,"[Jennifer Lopez] (Ja Rule). What's My Name. R-U-L-E. (Blowin back on this Mary Jane, I'm analyzin the game). And the game done chose me. (To bring pain to the jerky guys and jerky ladies, it's one in the same). Ever since you told me. (There's only room for two, I've been makin less room for you). Now only God can hold me. (Hug me, love me, judge me, the only Man that hovers above me, holla). I met so many men and. It's like their all the same. My appetite for lovin. Is now my hunger pain. And when I'm feelin sexy. Who's gonna comfort me. My only problem is. Their insecurity. 1 - [Jennifer Lopez] (Ja Rule). (Tired of bein alone) Yeah, yeah. (Sick of arguin on the phone) Yeah, yeah. (And you're tellin all your friends) Yeah, yeah. (That your man don't understand) My love. 2 - [Jennifer Lopez] (Ja Rule). Cause I'm real. (The way you walk, the way you move, the way you talk). Cause I'm real. (The way you stare, the way you look, your style, your hair). Cause I'm real. (The way you smile, the way you smell, it drives me wild). Cause I'm real. And I can't go on without you. [Ja Rule]. Girl, I've been thinkin bout this relationship. And I wanna know is this as good as it gets. Cause we've been through the worst times and the best times. But it was our time, even if it was part-time. Now they been lookin at me, smilin at me, laughin like we wasn't happy. But not knowin that we're growin and we're gettin married. Hard lovin and straight thuggin. baby, I ain't doin this here for nuttin. I'm here to get it poppin, hoppin, let's ride up in the Benz. Hair blowin in the wind, sun glistenin off my skin, hey. I'm nasty, heh, you know me. But feel me, feel me baby. Repeat 2. [Jennifer Lopez]. Now people lovin me and hatin me, treatin me ungratefully. But not knowin that they ain't makin or breakin me. My life I live it to the limit and I love it. Now I can breathe again, baby, now I can breathe again. Now people screamin what the deal with you and so and so. I tell them to mind their biz, but they don't hear me though. Cause I live my life to the limit and I love it. Now I can breathe again, baby, now I can breathe again. Repeat 1. Repeat 2 till end"
r.u.l.e.,"[Intro]. Yeah (yeah)...Yeah (yeah)... You Know (you know)...Lets (lets)...Go (go)...(laughter). Yeah (yeah)...Yeah...WHUTS MY NAME?!. [Chorus]. They cool but they ain't R.U.L.E.. They do, but dont do it like me. Nobody, nobody, Does it Like R.U.L.E.. They do but dont do it like me. Nobody, nobody, Does it Like R.U.L.E.. [Verse 1]. Nobodys livin life the way that I live it. Nobodys spittin and doin it, I spit it. But who fuckin admitted. I'm one of the bigger biggest of niggaz that done did it. Been hated and delt wit it, when agents tap in my lyrics. So by the time that they hear it, the crime's already committed. Natural Born Killa, but that I'm already and then. Murdah was the case, but I-N-C's been aquitted. The Agency's gettin livid, They wanted us to be finished. But we got unfinished business, Sned God as my witness. This is another testimony to my life and my story. Askin you hoes, Why should I talk when I got guns to speak for me. Dont come at me homie, Especially tryin to act like you know me. Only if you can control me, Know where you been choosen befor me. To sit in ya grave, homie dig it, I'm hearin its lonely, But see. Nobody...Does it...Like Me! And they know it they cant spit it the same. But still they try, cuz thats part of the game, WHUTS MY NAME?!. [Chorus]. [Verse 2]. These niggaz incredible, throughout the ghettos of America. People, see these window I see through. Off they mirror they evil, jealous bullshit that men do. Had I known it was you, there'd be no clue on who done killed you. Like when Kane murdahd Able, Niggaz must have been able. To put caine through they nasals, They so high they see angels. I see life from all angels, tangled, webs and weaves. Now niggaz is able to kill like Kane all over the streets. 100 degrees Ferenheite, hot as the hottest summer night. Heatin up desperatly in the need of some ice, I'm nice. Nobodys quite like, flow like rare blood types. I be wrong if I'm right, right if I'm wrong, I was the RULE born. When my legacy is left through my boys maiden name live on RULE. Niggaz is foolish tryin to do whut I do, Cuz see. Nobody...Does it...Like me! And they know it they cant do it the same. But still they try, cuz thats part of the game WHUT MY NAME?!. [Chorus]"
body,Oh oh. Here we go now. Move your body like a tambourine. Give it to me now. You know. Move your body like a tambourine. Baby it`s your body your body your body can`t complain. It`s the thing that makes me say. Yea yea yea yeaaaa. Baby it`s your body (your body body). Your body (body body). That got us goin craaazzyyy. Shorty got a history (a sexy freak you know). Keep em trickin and she`s send em (Tipin' Then They Gone). Ride around 3 am and (im makin that phone call). Even tho I`m far I`m comin (baby I`ll be right over). Yess I`m feelin myself. Especially right now. Your doors will lift up. The top will come down. You dat new car I`m drivin now. Baby youz a rida let me pull up beside ya. But I ain`t trynna get put out. I`m juss really trynna put it in your mouth. To see wut it do baby wut`s it about. I`m hearin you be turnin them all out. Baby it`s your body your body your body can`t complain. It`s the thing that makes me say. Yea yea yea yeaaaa. Baby it`s your body (your body body). Your body (body body). That got us goin craaazzyyy. Baby it`s your body. Back and forth and forth and back baby. She like hit it from the back I`ll ride you later. And we was only in the elevator. Hope her mind is right cuz the look is major. Wen women don`t wanna come I make them beg em. I make em feel like I`m doin them a favor. Give an ultimatum. Cuz rule ain`t no west savior. I`m horrible like west craven. If you considered a hoe. Baby I can`t save ya. Wut I can do for you. Goes without sayin. Not sayin that I want us to be naked baby. I don`t want you to think that I`m ungrateful baby. Especially wen you twork that work that body. For me in the club and all eyes is on you. We don`t need to talk money cuz my mind is on it. Besides baby you kno wut I want. Baby it`s your body your body your body can`t complain. It`s the thing that makes me say. Yea yea yea yeaaaa. Baby it`s your body (your body body). Your body (body body). That got us goin craaazzyyy. Girl I got a history (I've taken women home). Sleepin wit em then I kick em (out chick it`s time. to go). Ride around 6 am and (I`m tryin to sleep and go). Cuz I`m ridin it`s too early (too early in the mornin). I gotta get get get up. Get dressed so fresh so fly. I`m only here for the night. Baby tomorrow`s l.a the next week is m.i.a. Round the world and back again. It`s me (me) love the way I hit it. Reminiscin abitit. Baby sky`s the limit. Give me the motritin. To get in where I fit in. We aint f**k in a good minute. Baby it`s your body your body your body can`t complain. It`s the thing that makes me say. Yea yea yea yeaaaa. Baby it`s your body (your body body). Your body (body body). That got us goin craaazzyyy. Baby it`s your body your body your body can`t complain. It`s the thing that makes me say. Yea yea yea yeaaaa. Baby it`s your body (your body body). Your body (body body). That got us goin craaazzyyy. Baby it`s your body. Baby it`s your body. Baby it`s your body
i wonder,"[Intro: Ja Rule (R. Kelly)]. (oooh). Yeah, you know. (oh, oh-oh-ooohh). I wonder sumtimes, you know?. (oooooohh). The person, that i am. (oohoohoh). Gettin that money, you know? hehe. [Chorus: R. Kelly (Ja Rule) {both}]. If it wasn't fo the money, cars, the home, the jewels, the baggs. That shows bout me and you I wonder (if you still be wanting me). I wonder (if you still be calling me). {still be loving me}. It's tha star that knows tha rules somehow to move girl. Bout me and you i wonder (if you still be wanting me). I wonder (if you still be calling me). {still be loving me}. [Verse 1: Ja Rule]. I know you been loking faint. Trips to the sedan and make up that max. Hair freshly done, but I'm not tha one. Unleash you to want through me. Can you get it fronting like cover as long as we. Have to go through the honor where we forcing me. And, we can meet getting by the event to see. I been treaten, til the fiend got popped out. Front but not leasening. Ma got money to burn. I feed nails, weeves 'n' purse. And beyond bad, that body works. And love many skirts. If you want to, i get you by me. With skirts to try you to work. To dare our words, ??. And, what do you believe in?. Money or god?. Sum say god is money. I say life is hard. I say love, cause i, i wonder..... [Chorus: R. Kelly (Ja Rule) {both}]. If it wasn't fo the money, cars, the home, the jewels, the baggs. That shows bout me and you I wonder (if you still be wanting me). I wonder (if you still be calling me). {still be loving me}. It's eha star that knows the rules somehow to move girl. Bout me and you i wonder (if you still be wanting me). I wonder (if you still be calling me). {still be loving me}. [Verse 2: Ja Rule]. We always say, its so good. But I be like with it. Be this good and wasn't who I was. I'm up +in the club+ buyin out tha bar. And blowin like bomber and all eyes is on me. They drove sticks, so i guess im comin. To find the fatest and is cashin on me. Money can't buy love but it show cops moanin. In the moment in the whole scene usin a pack of wholin. The rest of the fingers is frozen, is fridgin. My pack is look like carying them midgets. To make ya go fast like su-cops sillies. And its like years to keep on shiverin. From the rich to the richest lifestyle and the faimless. Causin lose on gangstas and its armed and dangerous. If i was a picture unpainted. Would you love me if you still framing, he, i wonder..... [Chorus (w/ ad libs of R. Kelly): R. Kelly (Ja Rule) {both}]. If it wasn't fo tha money, cars, tha home, tha jewels, tha baggs. That shows bout me and you I wonder (if ya still be wanting me). I wonder (if ya still be calling me). {still be loving me}. It's tha star that knows tha rules somehow to move girl. Bout me and you i wonder (if you still be wanting me). I wonder (if you still be calling me). {still be loving me}. [Bridge: Ja Rule {both}]. Baby girl, if there wasnt no money. {and your home be gone}. Would you still love me?. {or be so gone?}. [Verse 3: Ja Rule]. Thats what i never know. And dope keeps hittin. And after a relationship and there could also be trippin. And it aint all bout sex and we talkin the position. And any women ??. I'M RICH!!. Not to mention givin her real hair. Like i and you fail her life. Its ya nail and vibin and be loopin. And thats why i be trippin ya like ima shoot ya. I know what ya used to. Baby you gotta be tha finest. Just to know the top name designed it. And i make my promise, just not bein flawless. Ima buy you a few thangs throwin a few dollars. If i wasnt, livin up in a star, would ya holla?, i wonder..... [Chorus (w/ ad libs of R. Kelly): R. Kelly (Ja Rule) {both}]. If it wasn't fo tha money, cars, tha home, tha jewels, tha baggs. That shows bout me and you I wonder (if ya still be wantin me). I wonder (if ya still be callin me). {still be lovin me}. It's tha star that knows tha rules somehow to move girl. Bout me and you i wonder (if ya still be wantin me). I wonder (if ya still be callin me). {still be lovin me}. [Outro]. Ohh, oh-ohoho. Ohh. Oh-ohoh"
put it on me,"[Intro {Lil' Mo}]. Where would I be without you, baby. so if you need me, if you want me, to put in on you. because I love ya don't ya forget it. whenever you need me, if ya want me, to put it on you. C'Mon. {Ja Rule}. What would I be without my baby. That thought alone might break me. And I don't want to go crazy. Cause every thug needs a lady.... Girl It feels like you and I been born in together. inseperable, We chose pain over pleasure. and for that you'll forever be a - part of me. mind body and soul ain't no I in WE baby. When you cry who wipes your tears. when you scared who's tellin you. there's nothing to fear. girl I'll always be there. when you need a shoulder to lean on. never hesitate, know who you can call on,. your soul mate, and vice-versa. that's why I be the first to. see Jacob and frost your wrist up,. now you owe me. I know you tired being lonely. so baby girl put it on me.... Chorus. [Ja Rule (Lil' Mo)]. What would I be without you (what would I be without you). I only think about you (what ur sayin is true). I know you tired being lonely (i need someone to hold me). so babygirl put it on me (i will, i will, i will) (2x). And I appreciate the rocks and gifts that you cop me baby. and the house on the hill when you dropped like 80. on a down payment thinking damn ain't life gravy. and ever since for my honey I been twice the lady. and what would I do without the nights that you kept me warm. when this cold world had a girl caught in the storm. and I accept who your with when your caught in the wrong. and respect when you flip cause our love is strong. and when you hit the block I watch for 10-fo'. and when my pops asleep you snuck in the back door. baby bo' we've been down since junior high. so when life gets as hot as July. it's the world against you and I. we ballin' tied together and never. heart from the heart knew. that it would last forever. when you told me. you would never leave me lonely. so baby boy put it on me..... Chorus. Since we met its been you and I. a tear for a tear baby. eye for an eye. and you that my heart gon' cry. if you leave me lonely. cause you not just my love, you my homey. who gonna console me, my love. I'm out of control hold me, my love cause I'm yours. and I don't wanna do nothing to hurt my baby girl. if this was our world. it'd be all yours baby. The thought alone might break me. and i dont wanna go crazy. cuz every thug needs a lady (baby). I'm feelin you baby cause them eyes ain't lying. wash away all the tears. there be no more cryin (no more cryin). and you complete me. and I would die if you ain't with me. so baby girl put it on me. Chorus (4x)"
down for you,"Ja Rule f/ Vita, Ashanti, & Charli ""Chuck"" Baltimore. {CHORUS}. [Ashanti] (Ja Rule). I wanna be your chick. I wanna be down for you. (Do ya trust me?) yeah. (Love me?) Yeah. (You're putting it on me,. you must be) Ya down down ass. chick,I wanna be your chick. (It only for the RULE baby!). I'll ride for you. Down for you, do anything you. want me to. I'll be ya down ass chick. [Ja Rule]. Yo. This is no intention of bein' offensive. to women, By callin' ya'll bitches. My down ass bitches. But still, my queen bitch's cut look clean. On ya finger next to the finger ya flipped. at me. AND ITS no in between me and you. Only me and you, who else gon' put it on you. Like the RULE?. And God only looks after, children and. fools and you neither, so who gon'. look after you?. RULE baby!. [Vita]. True baby, it's only for you baby. Vita's thighs only divide, if you. INSIDE. Cuz I, love the way you touch me. Nobody can get it. And if it's comin'OR gunnin'. Just consider it spited. So when you gone for a minute. I just fantasize, Like if it's. YOU THATS ALL IN IT. Then I'm satisfied. Til' you come back to me. Holdin' stacks and jewls. V-I-T-A and my nigga J-A. RULE baby. {CHORUS}. [Ashanti]. I'm gonna be here when ya need. RULE baby, can always count on me. and you know you never have to worry (worry). You know I'll make it in a hurry (hurry). I'm here for ya, and I will never leave. Shed tears for ya, cuz boy ya got to me. There'll never be another for me (for me). You'll always be my one and only (only). [Ja Rule] (Ashanti). Baby girl, would you bust ya gun wit me (yeah, yeah). Lie TA DA FED WHEN THEY come get me? (yeah, yeah). And if I die would you kill for me? (yeah, yeah). Are you trustin' me? (yeah, yeah). Are you lovin' me? (yeah, yeah, yeah). Let's get it GWENNIN' like we Ashford and. Simpson or Ike and Annamae. One of the good days. You smile like sun rays. 5'5"" with brown eyes and thick legs. Only for the RULE baby!. {CHOURUS}. [Charli ""Chuck"" Babltimore] (Ja Rule). Now baby I told you. I can show you better than I could. tell you. Blow trial to bring comissary and mail. Those sweet words and nacked fACE. I'm still that pretty down down ass. Two cars behind ya six. And I diss any clown. GLOCKIN my ROUND ass. Only a down ass and it's all for you. I've GROWN a tad bit. Since we've been at it like rabbits. The booty little plumper and it's. (All for the RULE). Who's gonna love ya like that?. Thug wit you with a stack to the ceiling. Splitting A DUB with you. Cuz I play my position. Cold D's O.G's. Until that blood shed blood red. And we O.D.ed. Remember every word that you told me. (Show me, Hold me). All you need in your life is Chuck,. Drugs, and dubs or twenty twos. Now tell me who da hunny for you,. CHUCK"
down ass bitch,"Down Ass Bitch. (Ja Rule - talking). Ja Rule, Chuck B-more. Every thug needs a lady. And every thug needs a down ass bitch, huh, feel me. Every thug needs a lady. Baby I'm convinced, you my down ass bitch. (Chorus - Ja Rule). Baby say yeah, (baby say yeah). If you'd lie for me, like you lovin me. Baby say yeah, (baby say yeah). If you'd die for me, like you cry for me. Baby say yeah, (baby say yeah). If you'd kill for me, like you comfort me. Baby say yeah, (baby say yeah). Girl I'm convinced, you're my down ass bitch. (Ja Rule). Uh. I know that you're lovin me, 'cause you thug with me, who bust slugs for me?. My baby. Who gon' kill for you, like I comfort you, who else but the Rule?. You feel me. Girl when we connect the dots we hit the spot. Twin Benz's, you ride hard, I ride drop. And to make it better, baby got the nina' Beretta tucked low. And I'm two cars back with the four-four. And it freaks you out, on your momma's couch, that's what us thugs be 'bout. You know me. And when I pray for love, baby pray for us, who celebrates the thugs?. My lady. Got me seekin capital game when I spit sixteen. Whether bars or sixteens in the doors of cars. A star is born. In the hood, made a name live on, R-U-L-E, ladies, feel me. (Chorus). (Charli Baltimore). Now I'm show you blood or love, there's no belly you bounce from. Blow sellin, dough amounts to no tellin. There'll be no tellin, snitches get it back. Those gats to your backs for my boy. What part of the game is that, huh?. Niggas and they feelings 'cause I handle your dealings, keep your name in tact. My fame's in tact so cops won't know what it's hittin for. Now hoes wanna know what you shittin for. 'Cause I'm your bitch, the Bonnie to your Clyde. It's mental, mash your enemies, we out in the rental. I'm your bitch, niggas run up on ya, shift ya lungs, who's your organ donor?. What they know about, extreme meausures I'm a ride with you. And my baby three-eighty at my side. And we lock the town, I'm as down as any thug. My love, they gotta take us in blood, what. (Chorus). (Ja Rule). You could die from love, at any given time I could die from slugs. But that's what this life is capable of. The death and the life of a bitch and a thug, is what I'm scared of. But got a woman that ain't afraid to, tuck the toast in the Escalade. Pop on niggas that showin me shade, but only for the Rule 'cause that's my baby. Got me a down ass bitch with red hair, that don't care. Blazed by the shots and flares. Girl c'mon, follow me, and bust back at police, conceal ya heat. It's a bit much to blaze up. Rule and Chuck and I.G., the Murderers, I-N-C. With one on the hip, one in the holster, nigga will toast ya quick. Especially a down ass bitch. (Chorus). (Ja Rule). Thug on, 'cause you my down ass bitch. Thug on, ladies. Thug on, 'cause you my down ass bitch. Thug on, baby. Thug on, 'cause you my down ass bitch. Thug on, ladies. Thug on, 'cause you my down ass bitch. Thug on, baby. (Chorus) 2x. Baby say yeah, (baby say yeah)."
