un-hunh!,"(feat. DMX). Errrr, here we go again. Uh, un-hunh. Uh, un-hunh. Uh, un-hunh. [DMX] Yeah, yo Kiss. [Jada] What up dog?. [DMX] These niggas running around here like they controling this shit. [Jada] No doubt. [DMX] Let's show these niggas how to take hold of this shit. [Jada] That's what I'm talkin about baby. [DMX] For real baby. [Jada] Let's get it on. [DMX]. I only gave you the crown so I could shoot it off your fuckin head. Yall niggas fuckin dead, you heard what the fuck I said. I talk shit cause I walk shit, start shit, New York shit. The hawk shit, spark shit, the dark shit. And it been that way, fuck how a nigga live it's gon' end that way. Niggas is part of a game that I don't play. Never catch dog carrying what I don't weigh. That's three 45s, one 38, 173 pounds straight out the gate. I don't hate, got no beef but knock a nigga off quick. And I'm mad like a bitch and a nigga with a soft dick. Get off this, fucking with X, but on some other shit. Why the fuck you fucking with X? You must be fucking with X. Go catch a chicken, fucking with me you gon' catch a whippen. [Chorus: Jadakiss & DMX]. Un-hunh, here we go again. Un-hunh, here we go again. Un-hunh, here we go again. Un-hunh, here we go again. Un-hunh, here we go again. Un-hunh, here we go again. Un-hunh, here we go again. Un-hunh, here we go again. [Jadakiss]. Look don't try to apologize on your two way. Sympathy don't amuse me, go get your uzi. And let's make a real movie. Play bad guy and good guy til the hood die. Toast yall cowards. Now I know the reason why Pac ain't really like most yall cowards. Im'a show you how to swing the chrome for real. Dog this year we gon' bring it home for real. What you wanna bet the llama'll squash you. I been had a white fan base before the signing of Marshall. Boy Kiss is thorough, hit your girl. Put it all up her stomach til she earl. Yall niggas ain't nice ya lucky. So fuck it Im'a sell dope long as the price is lovely. And it ain't only the voice it's the bars of death. DMX and Jadakiss nigga guard ya chest. [Chorus]. [DMX]. When is they getting off our dicks, them niggas is clowns. How many dogs you let go up, still getting down. Like 'face said, last of a dying breed. For stomach and I feed still trying to eat. Lead by greed that's when you fuck up. Yall niggas gonna know when we hungry, you get stuck up. (What what?). What's up? Fuck a nigga yelling. Y-O motherfucker for real, yo Kiss tell 'em. [Jadakiss]. Sheet could kill, stomp niggas out boot the grill. I'll give you a reason why I'm the truth for real. Niggas can't fuck with Kiss, I mean that. Had to stop eating red meat cause I ate too many Beanie-Macs. I'm not one of them niggas and since you so richeous. Don't make me send your ass to Ala quicker. Niggas gas you to force your hand. Realistically you just a worker and your boss is my man. [Chorus - 2X]."
knock yourself out,"Uh-huh, you know where I'm takin this. I'm takin it right there - they leave me no choice. AOWWWWW!! Uh, uh, oh. [Verse One]. She said she was a model for a year and a half. And if she took her pins out,. then her hair would drop down to her calf. I knew her man, he was just up North. and would've got left up North, but he was the chef up North. Anyway I'm K-I-double. All I do is get dough, spit flows, try to stay out of trouble. If you ready we could move, just lose your man. or hit the dance floor, I'll show you how to do my dance. Or I might let you play in the garden. Or sit up in that white thing and listen to the greatest of Marvin. The estate got six locations. Take so long to get to the front once I missed probation. And I hate to brag. I know ya man really wouldn't like the Beretta but he'd hate the Mag. And yeah here go a blank check, rock yourself out. But in the mean time girl - knock yourself out. [Chorus]. Oh you modelin momma? (knock yourself out). Wanna let ya hair down? (knock yourself out). Oh you ready to move? (knock yourself out). Whatchu wanna sit in the Coupe? (knock yourself out). Wanna keep on dancin? (knock yourself out). Wanna run in my mansion? (knock yourself out). Sit in V.I.P.? (knock yourself out). Bitch you just wanna be seen (knock yourself out). [Verse Two]. Now you can knock yourself out like you boxin yourself. Or you can get real freaky start poppin yourself. And my watch got so many rocks, when you look at the time. it's sorta like you watchin yourself, uhh. Front if you want, I puff a few blunts. and take a cruise in a Porsche wit the trunk in the front. She had the Jocko B'sure sandals, told her hop in. The coupe blew her mind when she couldn't find the door handles. Attitude very high maintence; check this out ma. I'm runnin out of my patience. Don't sleep wit me? Then don't speak wit me. And neva talk bad bout niggaz that eat wit me. [Chorus]. [Verse Three]. Aiyyo, honey know I'm waitin to leave. Keep dancin, cause I like how that ass shake in them capris. I'm like Big wit the murder mamis up in Belize. but I'll still fuck a chickenhead like Lil' Cease. I don't care if they model, bet they all gon' chill. First nigga to cook base on a Foreman grill. And you might win some, but you just lost one. Kiss +Miseducates+ 'em like Lauryn Hill. [Chorus] - (Fades)."
letter to b.i.g,"[Intro: Jadakiss]. Uh huh! I ain't even good with writin. I don't even write shit. I just felt, I had to write this letter to BIG. Niggas is actin like..................letter to BIG. Uh, yo. [Verse One: Jadakiss]. Dear Christopher Frank White Wallace. Yeah it's your boy Kiss I just wanna holla. In your memory I keep the Coogi in my closet. Kangol on the rack, a fresh pair of Wallies. You know I'm still the liquor and the weed child. And still got Branson on speed dial. And everybody's the king now. You ain't gotta be nice gettin shot is the thing now. Mafia was doin there best they seperated. Now Roc and Gutta doin a stretch, uh, yeah. Kim is still in it to win it. I seen Money L awhile ago but I ain't heard from Cease in a minute. People in power is queer. I could go on for a year 'bout how it would be if you were still here. The game got cheaper,. rappers is more commercially successful now. But the heart's alot weaker. You know me still got the flow that'll pop speakers. First option on offense the top feature. It's easy BIG all you need is a protool set. And I ain't touch the paper that I was supposed to yet. Everybody that's somebody show respect. Only a matter of time before they notice that. I'm an impecable lyricist. And with the right mechanics, I could take over be clear of this. They well aware of Kiss the light of the city. And I ain't on the label no more but I'm tighter with Diddy. I got my own plan handle mine like a grown man. Long as I know I'm nice, fuck it I'm my own fan. Remixed the joints you had. But, they could never ever duplicate your swag (Never). Meanwhile I'm a keep it so on my lil' plans. And you might bump into a few of my lil' mans. Up there steppin with God. Down here Mister Cee in BK still reppin you hard. Tianna so pretty, CJ turned into a Lil' Biggie. Just a little lighter but so witty. On your born day, we get the highest. Groovy still the best with the garments, he keep me the flyest. Tonight, Patron is dead. Only right that I take a bottle of Bacardi Lim??o the head. And before I end it, I gotta say thanks. 'Cause not only was your time well-spent, it was splendid (thanks). ...Miss you, my nigga. One Love (So we tried to hard to understand). [Chorus: Faith Evans] (Jadakiss). So we tried to hard to understand, why you had to go away. (That was my letter to B.I.G., nahmean?). You were everything - you were everything. (I felt it was only right, I really smoked with them niggas). [Bridge: Faith Evans] (Jadakiss). So we'll just keep our heads to the sky (Drink wit 'em). (Sat wit 'em, talked wit 'em). 'Cause we know we're gonna see you in the next lifetime (Real shit). But it's never easy saying good-byyyyye. (See you when I get there, Biggie). Saying - good-byyyyyyyyyyye (Love you). [Chorus: Faith Evans]. So we tried to hard to understand, why you had to go away. You were everything (Why you had to go awaaaaaay?). So we tried to hard to understand, why you had to go away. You were everything (Oooo-hooo-oooo-hooo-oooo-hoooo...)"
we gonna make it,"(feat. Styles). [Jadakiss]. Uh, uh.... Fuck... the.. frail shit. Uh, cuz when my coke come in. They gotta use the scales that they weigh the whales wit. [Styles]. Carsons on the jeep, but Gotti made the prototype. Hoped you'd get the picture but you just can't photo light. [JK]. Determined niggas make it. Kickin down the door and we burnin niggas naked. [SP]. The house costs a million, sittin on the beach. and the only thing I know if it's furnished I'ma take it. [JK]. My bathtub lift up, my walls do a 360. We got the shit that the government got. Talkin money then you rubbin the spot. [SP]. Real niggas say that they be wildin. We on the Caiman islands. On a yacht wit our favorite albums. [JK]. a bad hoe and a plate of salmon. Smokin and drinkin nigga is you thinkin that our fate is violent. [SP]. I love my nigga for the fact that he real. and nobody on the faculty squeal, what. [JK]. and if you facin capital pun, pass me a gun. and I'ma give you time to run, while I rapidly peel, uh. [HOOK 3X: Jadakiss]. We gon make it. we gon make it, we gon make it. [JK]. I learned the game quickly, and I don't like to rent. So when I fly now I bring my cars on the plane wit me. In this case who's the loser. [SP]. ran through enough coke for Castro to build schools in Cuba. Teachin kids how to read and write and use the ruger. [JK]. Motherfuckin niggas is back, Jada and P. We got water, (X, haze). Plus weight in the D. and I'm tired of hearin about old niggas that had it. and be the same old niggas that ratted. [Who cares?] Talkin 'bout how we hawk niggas in they fuckin back. [SP]. Gun works official but niggas don't be wantin that. [Why?] Cuz they puss and they mans is lame. [JK]. We so for real in the hood we make candy rain. [SP]. I could easily send you to God. [JK]. But come and see me at the Plaza Hotel I might give you a job. If you can't remember the name. All you gotta do is ask the dame for the niggas that deliver it hard.... [HOOK]. [JK]. Ja- da- mwa, I'll kiss you you bitch ass nigga. That the hood won't miss you you bitch ass nigga. Might find your man dead in the ocean. [SP]. He be aight though. [JK]. You know dead rappers get better promotion. Why we don't laugh at death, and cry at birth. Never say you can't do it til you try it first. Be the young niggas eager to pull it. but it's a message in everything trust me, even a bullet. Go to war with the eight and the pound. Think you got your ear to the street now, put your face in the ground. Cuz my shells is expensive. You'll know exactly why when you yellin in intensive. my fellas is offensive. Lucky cuz I got guns that crack your back. but that's not what I prefer I manufacture crack. and, niggas turn bitch when you show 'em the steel. but we know how to bid so y'all go 'head and squeal. I'm comfortable far from home. Eatin right, gettin good rest either on the far or the foam. I'm the reason niggas got deals the past few years. Sound anything like Kiss then sign right here. and, y'all just talkin, I'm doin it well. Jadakiss motherfucker I'ma see you in hell, what."
back to life 2001,"[Mary J. Blige w Soul II Soul in background]. Steady are you ready? (are you ready?). What's goin on? (whats goin on?). Steady are you ready? (are you ready). What's goin on? (tell me whats goin on). Cold fresh air feeeel the mellow dip thats in the air. Ohhh yeaa, I'm bound take a look around. Ohhh, whats goin down?. However do you want me?. However do you need me?. However do you want me?. However do you need me?. However do you want me?. However do you need me?. However do you want me?. However do you need me?. Im living at the very top of the floor. Theres no more room for anything more. I state my name, my name's to claim. AHHHHHHHHHHHHHHHHh. This is M. J. B.. [Jadakiss]. Uhh yea, now girl step up to Kiss. You sippin' red zyphandile, step up to crys. The coupe got 19's, the chain's got nice gleam. Girlfriend, you been scooped like ice cream. Your ass is fat, your frame is little. Got the door knockers on with your name in the middle. On the dance floor gettin it in with me. Might let you and your friend hit me. Soon as the wind hit me. I live dare, legendary the top of the globe. So there is no more room for anything more. And I state my name, my names to claim. Jadakiss I done came here and changed the game. Now we at the point where your birthdays is costly. Got you a scotted outfit and a teacup yorkey. Head so crazy that its killing me softly. Sit down tell me how you want and how you need me. Its the bomb Mary and Clue please believe me. [Mary J. Blige w Soul II Soul in background] - over last lines. However do you want me?. However do you need me?. However do you want me?. However do you need me?. Ho"
big business,"feat. Ron Isley. [Ron Isley singing]. Swizz Beatz, show 'em what they dealin with. Wooo! Oh yeahhhh! Ahh Yeahh. [Ron Isley singing - Chorus x2]. Hey ladies, can I get a witness?. Lah da da da da-da. Tell 'em what they dealin with. Throw your hands in the air (big business). Throw your hands in the air (yeah! yeah!). Hey fellas, tell 'em what they dealin with. Big house (throw your hands in the air), big boats. Big cars (throw your hands in the air), superstars. [Verse 1 - Jadakiss]. Fuck a six and a seven I'ma put big dubs on the gray eight. Hold your wrist when you squeeze, the slugs'll stay straight. Can I get a witness, Swizz Beatz the monster. Jadakiss, Mr. Biggs, its big business. Nigga this is our show. Twenty two master bedrooms in the crib. The garage like the car show. Not only am I real, I think. But I still jab a nigga with the left and won't spill my drink. The Courvoisier got me clashes. Honey all over me like ashes. Throwin that green molases. Your dealin with D-Block, and Full Surface. And ain't no payment plans its full purse-full. [Chorus x2]. [Verse 2 - Jadakiss]. A'yo I'm dealin with this mami from Quebec. When she fly out I pull the boat out and blow scomie on the deck. Shootin at the stars, Tommy and the Tek. Soon as the dutch finish you can find me on the neck. No foreplay, bustin the pound raise me. Middle of the ocean, bustin her down crazy. You know me, I ain't on no star shit. I just came to hurt the market. Then squirt the Larkin. Put your hands up, matter fact put your mans up. Put your medina's and your lambs up, your grams up. Talkin bout buckin each other. Probly fuckin each other. D-Block dawg, we stuck wi"
blood pressure,"one the head fones is on fire this time around styles. my blood pressure up bear wit me. last time ima tell theses niggas man, niggas can fuck around Jada who eva man old nigga new nigga wut yo yo yo yo yo. [verse 1]. Who really the best rapper since BIG eint here. yall no the answer to that when kiss eint here. when you see me don't ask me nothing about us. and don't definately ask me nothing about.. fuck it. you owe me one i owe you too. i would've smacked you wit the burner but i know you sew. i'm not talkin to him i'm talkin to you. matta fact i'm talkin to yall life is like walkin a yard. nigga stab wit a fork in the heart. and the source got motha fuckas thinkin they hot. like my dope got feens thinkin they shot. when u thinkin of the best nigga think of the LOX. i'll cut ur fuckin head off if your pinky ringshot. then cum through ur block in a sticky green drop. hop out and let off 53 shots. wouldn't care if i hit 53 cops. julianie might as well be merking niggas. cuz the time that he giving out is hurtin niggas. and all these record label jerking niggas. and you neva wuz a thug u a workin nigga. and u herd that shit right there i started that. don't make me put sumthin up in ur starter hat. don't matta who you are or where ur from. screw all that im not tryin hear that son. [chorus x2]. who the fuc yall want (jadakiss). who the fuc yall need (jadakiss). and who the fuc gone bleed. all yall hatas cuz none yall niggas cant fuc wit jada. [verse 2]. yo wuld u be that clown nigga in the back of the whip. thas gonna get the second half of the clip. no wut im sayin dunt be the otha nigga in the front of the whip. runnin his lips with a gun on his hip, feel me dawg. evry body walk the walk till they run into kiss. then they get stabbed or hung or stung wit the fifth. how u think ur man hard hard wen son on my dick. cuz i can get his ass body plus frun him a brick. got a chick named superhed she give superhed. jus moved in the buildin even to give superhed. i cop big guns that spit super led. so play superman end up super ded. call me kiss or the kid from the LOX. that'll twist ur moms out n do a bid wit ur pops. we wuz in jail u proly wont get no mail. n if u pumped on my block u wunt get no sales. n ur c.e.o. no you cant fuc wit I. i make a million by june im sayin fuc july. n i beg u to try me while im holdin a tommie. ima have ur body all ova the lobby. i alredy helped yall. ima bout to melt yall. to tell the truth dawg i eint neva felt yall. this album we gonna bubble like seltzar. if it eint doublelar who the hell else is hard."
bring you down,"[Verse 1- Jadakiss]. Top of the food chain, its just the way that I do things. The dungaree seats in the blue range, I'm workin with new change. A gemini ***** with mood swings, had the fiends lookin for new things. I stop playin with birds, and started playin with words. The money wasnt right so I had to stay on the curb. And I'll be a playa later but for now call me ?? Kiss. If not that, mon take it Jada, I kick hard balls and blow hard weed. And be everywhere cuz I move at God's speed. And my aim is make ya'll bleed, ya'll got embarrassed in da class. When the teacher used to make ya'll read, uh huh, mind of matter. And that's all good, but fuck that my new shit is spine of bladder. And everybody tryna get to the top and that's all good too butt right now I'm on da ladder. [Chorus x2]. Look at you then and look at you now. Dont let this cold cold world bring you down. [Verse 2 - Jadakiss]. I know your queen got her eyes on me, I got my eyes on your queen. The SMG is heimic and green, bad things you know before long. That we gon' get it on, my kid cost thirty and ten to put it on. No tints, windows clean, heavy windex, ?? on the steerin wheel. I shift her with my index real life is just in another form. Kiss of death, its about to be another storm I'm a goddamn ragin bull. Stay outta jail by just tellin myself the cage is full. Got *****z on the payroll just to squeeze, you in no position to judge. My extra T's, they get a bonus if they leave you old school. From the era of the 45 with a penny on the needle. Ball to the bosses so please dont violate or cross him. Or you'll be the corpse and the corpses. [Chorus x2]. Look at you then and look at you now. Dont let this cold cold world bring you down. [Verse 3 - Jadakiss]. Uh uh huh you know the world anger is just one letter short of the word danger. And I aint no stranger, never use a gat, hold it twice if you dont clean it. And never say fuck somethin if you dont mean it and when it comes to life. The root you been usin thus far aint workin far, take the sceenic. Whatever faith you got, put it in a crook, wanna hide somethin from a *****. Put it in the book, trust me this album the vapor gonna go around if you aint hot. You need paper to throw around ya its gettin clearer everyday. When you wake up in the morning, look in the mirror and say. [Chorus x2]. Look at you then and look at you now. Dont let this cold cold world bring you down"
by your side,"I'll be by your side (General). I'll always find a way. I love you too much, to loose ya. Sweet touches, you?re there right by. [VERSE 1:]. (By your side). It makes me strong. It gives me the strength to bang out and make these songs. If I do it on the spot or if it takes me long they can't stop. me. Even if my breaks was on. I'm still.... (By your side). I'm always here, nobody?s perfect. Life ain't always fair. I used to not give a f**k. I ain?t always care when it?s too hot for the hammer. You know the hawk is right?. (By your side). Until you get to the car. And you gotta get through the D before you get to the R. If I don?t get you today then I?ma get you tomorrow. As soon as you come out your crib I?ma be right?. (By your side). Where I?m supposed to be. Close to you, with the toast close to me. And screw it if it?s the right or wrong thing. When you in the sight of that long thing. You wish you had a strong team right?. (By your side). [CHORUS:]. I love you too much to loose ya. Sweet touches, you?re there right by. By your side (yeah, yeah). By your side (let?s go). I love you too much to loose ya. Sweet touches, you?re there right by. By your side. [VERSE 2:]. As long as you need me. I?m down for whatever hommie as long as you feed me. I pull the big joints out as long as the TV. Or I can play my part and just breathe easy right?. (By your side). As soon as something happen to you. Your n*****s would bounce and you thought they were scrappin?. witcha you. Now you cleanin? your cuts with peroxide. And you wake up in the ER with the Doc right?. (By your side). Puttin? tubes in you and you can?t even eat right. They puttin? food in you. Your body?s getting colder. Devil on your shoulder. And you Mom?s in the room but you just wanna hold her?. (By your side). Nothin? but realness. That?s why everybody in the world could feel this. I?m on top and ya?ll under me. So when it?s over; if I ain?t in the front, atleast I?m gonna. be?. (By your side). [CHORUS:]. I love you too much to loose ya. Sweet touches, you?re there right by. By your side (yeah). By your side (let?s go). I love you too much to loose ya. Sweet touches, you?re there right by. By your side. [VERSE 3:]. Until they finish me off. If they don?t get us both you?ll be sending me off. And please just do me this favor. Stick to our little plan. And f*ck the money. Just keep my little man?. (By your side). And show ?em there?s hope. And he gon? think he knows whats going. But show him the ropes. And if you bring him to the Gucci store. Show him the loffs hood n*****s I?m just showing you growth. But I?m still right?. (By your side). You know Kiss don?t gotta aim his gun at you to be focused. And if you broke now n***a when you see those chips. Watch how many people come out of nowhere. And try to be?. (By your side). The answer?s plenty. Cause when you handling business you can?t be friendly. And if you tryna stack something. Can?t be pennies. Most likely grants and benggies. And you better keep ?em?. (By your side). [CHORUS:]. I love you too much to loose ya. Sweet touches, you?re there right by. By your side. By your side. I love you too much to loose ya. Sweet touches, you?re there right by. By your side. By your side. By your side. By your side"
callin me (feat. ike james),"Cl 63, no Governor, she keep calling me, keep loving’…. Later tonight we gonna switch to the …. Even that, would defend her with the umbrellas. Aha, she’s telling them that is just dinner,. Letting her phone ring while I’m half in her,. I know they say love is blind,. Don’t check me,. You need to check you’re dime!. Don’t check me, check your girlfriend,. She won’t stop calling me!. She’s been calling crazy,. You better check your lady!. No, don’t go get all emotional, no, no, no. She won’t stop calling me,. She’s been calling crazy!. You better check your lady!. I’m up in this club and it’s getting hot. You and your girl walked in the spot. She’s looking like me like damn,. I’m…with this man.. You know how I do, so babbling. And that’s why you girls are over me,. So don’t hate the player, hate the game,. Ladies chill, I ain’t changed!. Don’t check me, check your girlfriend,. She won’t stop calling me!. She’s been calling crazy,. You better check your lady!. No, don’t go get all emotional, no, no, no. She won’t stop calling me,. She’s been calling crazy!. You better check your lady!. I’m chilling outside I’m in my…. She’s dripping…flip flop,. And that’s why she told me that she wanted to know me,. And now she’d be homie like tic—tac!. At first she gonna tell me that she got a man,. Now she blowing me up like a…. She says she wanna be a homie, … whole day!. She says she wants my love, she says she wants my life,. She says we could do it on the back seat.. Hotel room on the... sheets,. You need to check your girl, homie, not me!. So back, back… don’t be.... Now don’t check me, check your girlfriend,. She won’t stop calling me!. She’s been calling crazy,. You better check your lady!. No, don’t go get all emotional, no, no, no. She won’t stop calling me,. She’s been calling crazy!. You better check your lady!. Shwaty wanna do it,. Shwaty wanna do it,. Shwaty wanna do it with me?. Shwaty wanna do it,. Shwaty wanna do it,. Shwaty wanna do it with me?. Shwaty wanna do it,. Shwaty wanna do it,. Shwaty wanna do it with me?. Aha, aha, ha, ha, aha, ha, ha, ha!. V.I.P. pop in, ..tolerance, smoking the air,. Table full of bottles and as soon as went to the bathroom she followed in.. …so she wouldn’t keep bothering,. I figured that I could rather had her lean on in a week or two,. She already did the same thing that had freaked you!. Besides she was already making a man jealous,. I wasn’t trying to press her, I was chilling with the fellows!. Look at us and see that ain’t nothing you can tell us,. We already had a whole section of Cinderellas.. Real good women, chill Patron shots with real good lemon, Guccies, good…. Made a low eye contact, but it was nothing,. Now I’m getting…in comings.. It’s a crazy world!. Don’t check me, check baby girl!. Now don’t check me, check your girlfriend,. She won’t stop calling me!. She’s been calling crazy,. You better check your lady!. No, don’t go get all emotional, no, no, no. She won’t stop calling me,. She’s been calling crazy!. You better check your lady!. And when you sleep, just call me!. And when you’re at work, just call me!"
