adorn (remix),"That girl, fly guy,. Warm nights mary molly and my ties. She see a true hustler in my eyes. Plus I ask can't afford it type I call that I drive. Everything is down the hills to the big bag. The type of shit that make a broke bitch mad. Crash the hunder when you want the big jack. Broke up with the man. And bought the house bigger than his pet, me. Met my love,. Just let my love adorn you, hey baby. Yeah, you gotta know, you gotta know. You know I ain't adore you, yeah baby. Y'all y'all. I might hit her with a joke for a quick lab. Just to see how sexy her smell. Or how she switch that. Why she work that, go ahead and work that. She know I compare and work what she work at. Close the door ..the dress. Been I over the desk, and we all know what's next. Red carpet different outfits,. Matching lovers I feel in love her I. And your friends tryin to dead us and they stay. Tryin to break down. But don't let that affect how we. Manover do the weekend no glance. Just pack the double and go get our passport. I'm gonna let my love,. Let my love adorn you,. ..You got no, yeah yeah. You know that I adore you, just that baby. Leanie shorts wipe ears no socks. The cell frames take top don't let twist gluck. Fit go you've with the lock. No jesus peace, not too many rappers that. No disrespect but mills has to escape that. Super woman gotdamn will okay that. How about we vk and see a draw p. Will meet the..wild on year yeah like it's the way. Hey millz, why I'm seeing me"
bring it back (remix),"[Intro: Jae Millz (Fabolous)]. U Know, Wutz Poppin Homeboy. (A Millz Wut It Look Like Baby). U Already Know Haha, A C. (Ha Ha). Most Hated(Ha). Most Hated(Ha). Its The Remix!. Tell The Dj To Heel Up Reel Up, Bring It Back Come Rewind. (Niggaz Aint Gone Have No Mo' Bitches After This One). Heel Up Reel Up, Bring It Back Come Rewind. Heel Up Reel Up, Bring It Back Come Rewind. Throw It Out Ma Work Ya Lower Back And Ya Spine. [Hook x2: Jae Millz]. Bring It Back, Bring It Back. I Said Bring It Back, Bring It Back, Bring It Back. I Said Momma Heel Up Reel Up, Bring It Back Come Rewind. Throw It Out Ma Work Ya Lower Back And Ya Spine. [Verse 1: Fabolous]. Heel Up Reel Up, Bring It Back Come Rewind. When It Come To Mine They Be Like Buffy From Behind. In The Summertime Its Like The Top Didnt Come Wit Mine. If Im A Dine Wont Be Mckie D's Number Nine. Ya Seen Jon A Toa. Wit A Mean Blond Eatin Green Cause A Chow. Somethin Clean On, See Bling On From A Miles. Pair Of Jeans On Neva Seen On Canal, Baby Girl I Do My Thing. I Swing It Back Bring It Back Like A Boomer-Rang. Its Click Clack And Kick Back When The Rooger Bang. My Chick In Pepper, Gucci Slipper Stepper. Philly Spot Baggin Buddie Out Wagon. Broad Name Jadera, Hard To Get Near Her. She Can Make A ""Careera"" Shakin Like Shakira. Arch In Her Back Bone, Like Throwin Back Trone. Even If She Take It There She Gone Bring It Back Home. [Hook x2: Jae Millz]. Bring It Back, Bring It Back. I Said Bring It Back, Bring It Back, Bring It Back. I Said Momma Heel Up Reel Up, Bring It Back Come Rewind. Throw It Out Ma Work Ya Lower Back And Ya Spine. [Vesre 2: Jae Millz]. As The Sun Rotates And My Account Gets Bigger. How Many Divas Wanna Slid Wit This Nigga Name Millz. One Of What!, The New Mayor Of Harlem. Bring It Back One Mo' Time The Remix Is A Problem. Say The Convo Im Tryin To Bring It Home. And I Still Got My Glock And A Bottle Of Patron. New Blue Yankee Izimiakee Cologne. Rich Young Hoodie Yellow Gold White Stones. I Pop Some Of America's Top Bottles. And Play The Top Clubs Wit American's Top Models. And You Kno I Keep 'em Puffin The La. I Call It The Kanyevel They Inhalin Think They Touchin The Sky. Tell Me Who You Kno Seein Him My Air Ones Premium. Some More Less, Wont See To Many Others But Me In Them. And Yea I Bagged A Groupie One, From The Video. But Really Though She Aint Comin If She Aint Runnin The Pussy So. [Hook x2: Jae Millz]. Bring It Back, Bring It Back. I Said Bring It Back, Bring It Back, Bring It Back. I Said Momma Heel Up Reel Up, Bring It Back Come Rewind. Throw It Out Ma Work Ya Lower Back And Ya Spine. [Verse 3: Lil Wayne]. Monster Music Im A Monster Baby. Fresher Than The Johnson In Johnson Baby.... ...Weezy Baby, 80's Baby. Back When Heroin Was Crazy Baby(Bring It Back). And They Tell Me Im Dope. You Should Pose Mothafucka Cuz I Got You On Scope. Ice Everywhere Moma We Can Hit The Slopes. You Can Get On That Mic If You Can Hit The Notes(Bring It Back). By The Way I Gotta Say. I Got, Hoes On Me Like I Spray Tag Body Spray. And Shit On Yo Head Now They Call You Potty Face. Put The Barrel To Ya Mouth See Ya To The Shotty Face(Bring It Back). Now Wutchu Gotta Say. And I Make 'em Bring It Back Like A Replay. And I Make Her Run It Back Like A Relay,. Im Fly, You Guys, Delay(Bring It Back). [Hook x2: Jae Millz]. Bring It Back, Bring It Back. I Said Bring It Back, Bring It Back, Bring It Back. I Said Momma Heel Up Reel Up, Bring It Back Come Rewind. Throw It Out Ma Work Ya Lower Back And Ya Spine. [Lil Wayne:]. Im Gone......[Beat Fades Out]"
dutch masters,Occur in the big he two thousand dollers. A Month from twenty two years old and i work in. An hour at click the link below teaching and. For free huh slow some of you. Do you have lot of time. Decent toward the inventor transmitters. In respect at all decisions. Well list that's only the physician to says. D subscribers policeman alone. Stance on section is the will go over it. We are the hawaiian. Within the same it hello. Parents dismiss listen to this. That got me interested. This while the sun sentinel. Seles is making more slopes but really big. He two thousand dollars a month. I'm twenty two years old. And i work in an hour. Click the link below teaching and
forever winning,"If not us then who, leggo. [Hook:]. Young money, we the hardest team. Forever winning bitch, we on our Charlie Sheen. Make that ass jump, girl do your damn thing. We bout that life, and them niggas ain't bout a damn thing. [Verse 1: Jae Millz]. Okay, they say time is money, and most say life is short,. So I chase my dollar signs and let that bullshit walk,. You in that bullshit? You might as well walk,. I'm in the air first class, pound key, can't talk, sorry. Look in my eyes and you gonna see it's a real nigga,. No deck of cards nigga, I don't deal with ya,. I talk to the ghost of James Brown,. It was a mans world then and it's a mans world now,. If you a fake nigga before, then you a fake nigga now,. Nothing change, same song, same lyrics, same sound,. Same shit different day, new problems every day,. That revolver got that bang, that automaty just spray,. Fuck games I don't play, unless it's NBA 2K. Or that Madden, I ain't laughin, you reach for that cash then you next to pay. That's just Jae, Jae don't think, Jae just go ham,. Before you could blink, you go get a drink,. She wink, next thing I know shes bent over my sink,. Millz. [Hook]. [Verse 2: Lil Wayne]. It's Lil Tuenchi. I ain't on shit, I was born Wayne, wish I was born rich,. Millz what it do, where them New York bitches,. If these walls could talk, I hope they talk business,. And I got my money right, and sense my money right,. I can get some kidnappers to go kidnap your son and wife,. I don't pack a gun or knife, I pack a checkbook,. And I just point god, Russel Westbrook,. On the real nigga, the clips got curves, that's sex appeal nigga,. I'm extra I'll, you pay the medical bill nigga,. We masked up like there was a chemical spill nigga,. Fuck with me e y e be damn if you will nigga,. When we rolling we pop you like an extra pill nigga,. Shoot to kill nigga, the truth will kill niggas,. One time for harlem, two for Millz nigga, Tunechi. [Hook]"
green goblin,"[ Jae Millz ]. One time for B.I.G. Wave a finger front to back. I ain't gotta tell you where i'm from, you see it on my cap. 501's on my leg. Polo men on my tee. Jordan aint no kiddin me. But I keep 'em on my feet. I like a big ghetto booty on a P.Y.T. With a 5th Ave S.W.A.G. Something just like me. Buy and sell Gucci. I like them girls in Louis V. Red bottoms Lue B's. Two fingers to the G's. What it is, what it be. If you ballin' rasie ya bottom and yell ""FREE TUNECHI"". Free, Free Tunechi. Till they free Tunechi. I'm Q-Vision in the club. Watch me make a movie. (Now LE'GOOO). . [ HOOK ]. I got money, money my problem (Le'Goo). Love doin' math so it's money I'm solvin'. Never. ever stoppin', but these niggas steady coppin'. So I'm ugly with the money. Ugly, ugly, Green Goblin. . [ Chris Brown ]. F**k them other haters cuz I'm down for my n****s. I got money in my pockets so there's no room for ya digits. I be in and outta state, err'day a different place. And I be hittin' home runs while you still on second base. Ya boy be poppin' them bottles of Rozay,. F**kin' models in every single damn way. No offense to ugly women but I need a pretty face. If you skinny or eat plenty it don't matter either way. Cuz I'ma get it, hit it, quit it then I pass you off to Jae... Millz. Speed racer on the track call me Hot Wheels. Them bullets long like fries, get a Happy Meal. Black Card, Red Chucks, Batman & Robin. Spider-man eatin' up the moeny, Green Goblin. . [ HOOK ] x2. I got money, money my problem. Love doin' math so it's money I'm solvin'. Never. ever stoppin', but these niggas steady coppin'. So I'm ugly with the money. Ugly, ugly, Green Goblin. . [ Jae Millz ]. Till I die I'm uptown and dead prezzys what I'm countin' in. Cut milli-mountsins, n***a what you know about 'em. So Harlem 'till I go. F**k a stylist, I be stylin'. Comin' down 125th, paper plated drop wildin'. He sreamin' till it's easy, love me or leave me. For New York Free Remy and for YM Free Weezy. Me and C.Breezy, Chubby Chuck TZ's. We on that cherry carpet while you watchin' us on TV. Trust me I'm mountain clean, if the boy in my regime. On stage im poison, Hot Tub Time Machine. Yeah, Yeah. The all doubtin' but they favorite slouchin'. And all I got for these n****s is flames, douse 'em. Who wan' test me, get off the express way. This is not an Esther, n****s it's an XJ. Swag freakin' American, tatted like an ese. Take your ass directly to the morgue is what my chest say. Yes Jay, yes Jay, stunt like Harlem taught ya. My diamonds stupid bright, Violet Ultra. They all counted me out. They thought Millz was over. But look who's talkin' now mother f**kas, John Travolta. . [ HOOK ] x2. I got money, money my problem (Le'Goo). Love doin' math so it's money I'm solvin'. Never. ever stoppin', but these niggas steady coppin'. So I'm ugly with the money. Ugly, ugly, Green Goblin"
hearing voices,"Word, that shit sound good nigga. Heh, music. Money on my mind, fuck the bullshit. My security is a foreclip. Niggas talkig slick, but they hard to try. Wanna impress me, send the enemy to the sky. I'm tired of all these corny ass rappers. So called trappers, telling their story backwards. Talking all that white shit, you ain't never happy. Posts office visits only time you stamp the package. Shame on me for yet to have an album and a rapper. But nigga shame on you for every album getting wacker. Ain't you a dick writer, switch sider. Certified click-hopper still getting nadda. Niggas kept fighting with the team on that sneak shit. Making diss records but keeping the secrets. Throwing darts like a bitch instead of bombing like a warrior. Just let me know where some pussy in all of ya. Wassup nigga, yeah, I'm hearing voices. Hearing voices, hearing voices, hearing voices. Hearing voices, hearing voices in my head. What they say?. Go bomb on these niggas. They suck and they write. Fuck his vibe, fuck his balls. Yeah. I'm hearing voices. Hearing voices, hearing voices, hearing voices. Hearing voices, hearing voices in my head. What they say?. Go bomb on these niggas. They suck and they write. Fuck his vibe, fuck his balls. Sucker ass nigga, never moved a brick. You owe front and ass nigga. What happened to them chains. Something bout that nigga use a pee-on. Pissed off cause we on. Getting their presidents and ain't no plee-ons. But I heard your man talking to the people nigga. I heard a couple states got killed just tryin' to see you nigga. Cut the bullshit, you came from a great home. Never missed a mill, and ain't no city that is real, no. If you really had that work like you said do. When the empire fell, they woulda came to get you. But since your man sitting up, and you're out here writing dicks. Evidently that shit wasn't true. We mobbed up over here nigga. Yeah nigga change your address to up there nigga. And just to be clear nigga. I dare nigga, we in the same game. See eachother airway nigga. What up?. I'm hearing voices. Hearing voices, hearing voices, hearing voices. Hearing voices, hearing voices in my head. What they say?. Go bomb on these niggas. They suck and they write. Fuck his vibe, fuck his balls. Yeah. I'm hearing voices. Hearing voices, hearing voices, hearing voices. Hearing voices, hearing voices in my head. What they say?. Go bomb on these niggas. They suck and they write. Fuck his vibe, fuck his balls. Fuck everybody tryin' to come while I'm C&B. if you fall under that umbrella, it's whatever. May the Lord be with you when the hollow tips hit you. Your label mates and CEO won't cry and they forget you. Sign somebody else and keep it moving like the mail man. Cry your bitch ass, rotting in hell, damn. Father forgive us, but thou shall not let any ṗretenders come against us. Behead them, get the, let that leader studio. Who the fuck let them. Who the fuck oked that, lay ‘em down wave that. No grease, all war, no peace, all action. No tweets. and when you see me nigga please don't speak. Just be about all that shit you've been rapping bout. Be a man of your word nigga carry it out. Fuck your raps, fuck your weapon, fuck you. Be the one exposure life, I would love to motherfucker. I'm hearing voices. Hearing voices, hearing voices, hearing voices. Hearing voices, hearing voices in my head. What they say?. Go bomb on these niggas. They suck and they write. Fuck his vibe, fuck his balls. Yeah. I'm hearing voices. Hearing voices, hearing voices, hearing voices. Hearing voices, hearing voices in my head. What they say?. Go bomb on these niggas. They suck and they write. Fuck his vibe, fuck his balls"
holla at a playa,"Lill Wayne. Remix Baby. Lean Clap. If you bout paper. Holla at a holla at a holla at a playa. Cell phone or pager. If you bout paper. Holla at a holla at a holla at a playa. Remix Baby. Jae Millz. You can go and tell them other boys not to bother. Its the remix and I'm back with Dr. Carter (what it is). We talking millions in that six duece inch navy blue mercedes. Oh you aint know its Young Mulah baby. Your boyfriend is a toyfriend, he aint getting no paper. Run and tell him later then holla at a playa. If you getting money blow that sour in the ayer. You wish you were the hottest on your side of the equator. Me and Weez down in MIAM. We acting stupid Damn. Call the whip Soulja Boy, doors do the Superman (YOUOO). Ya thats the superman we call it the Lago. G Star car goes boot us outta stars YO. That boy aint getting char bro. He in the Monte Carlo. I hit the gears Operation where the fuck the car go. Im the dawg now with stars like Tony R.O.M.O.. Its the remix but I been dope. Jae Millz. Now if you seen me in the coupe and the wrist ice blue. If you trying to get it like me Imma tell ya what to do. Holla At A Playa (x4). Now mami if you wit your man and he got cuffs on your hand. When he slipping turn his head. Imma tell ya whats the plan. Holla at a playa (x4). Lil Wayne. Ok Baby Im the shit so can you bring me some tissha. Air freshener but bitch Im fresha. I can get ya girl to come and kiss me on the pisser. Get her outta clothes and get her pussy to take a picta. Bitch Im me. Flow smoke like swisher. Catching lines and hooks, I am like a fisher. Fire like a flicka, tie em like a twista. Boy I clap like Hurricane Chrisa. Who the hell is a well paid nigga. D Wayne Carter but you can call me Mista. D Wayne Carter I got my shit in order. When I say overtime I dont mean to flip quarter. Cuz I aint playing games in em. And I aint saying names and if I ever say a name it would be. Benjamin Frank. I got money in the bank, I got money in the back. Got some under the bed put some money on your head. New Orleans Eastside blood gang (Suwoo). We outlast Suwoo. All red all yellow cornbread fall back. Am I rollin ya bitch I might be. Sleep wit the nina like Im cheating on wifey. Millz had to tell me to stop recycling verses and since I dont write it. I recite it in cursive. Whats your name. Mr. Carter (Yeah). President Carter (YEAH). Dr. Carter (HAAA). If you see me when you see me say you see me hey Wayne. Like you got 4 seats at a basketball game (YA). Holla At A Playa (x4). Holla At A Playa but if you a faker. Holla at me neighbor dont holla at my neighbor neighbor YA. Holla At A Playa (x4). Lil Wayne. Ok. Holla at a playa but dont scream at me. You dont wanna get whipped. So throw some cream at me. Whipped cream guts in the whip thats. an old caddie. Im a muthafucka but I aint meeting Karen. Jae Millz. The beat hot is snaring. Red on red McClaren. V Cal(?) looking like its from another planet. My diamonds like Chris Brown. They cant stop em from dancing. They just show off wall to wall they go off. Lil Wayne. Get how you live or die trying. Smoking on that G 5. We call it high flying. As high as a Batman. High Robin dont have an eye problem. Pistol on my hip I got a thigh problem. Rock ya hips Crime Mob em. Jae Millz. And let em boy know you would time bomb em. Click Click Boom. Damn Rotten dot com em. Straight Osam em treat em like Hillary. Bully and Obam em. Imma a up town problem Nigga. Lil Wayne. I come from the bottom the dirty below. Jae Millz. And Im from up top with armed verses. That dope. And in case ya dont know. Im the newest on that Young Money team. And Im gonna bring that nigga Weezy mad more cream. Jae Millz. Now if you seen me in the coupe and the wrist ice blue. If you trying to get it like me Imma tell ya what to do. Holla At A Playa (x4). Now mami if you wit your man and he got cuffs on your hand. When he slipping turn his head. Imma tell ya whats the plan. Holla at a playa (x4). Jae Millz. Lean Clap. If you bout paper. Holla at a holla at a holla at a playa (Better late then never). Cell phone or pager. If you bout paper. Holla at a holla at a holla at a playa. Remix Baby"
i like that,"Hear that?. Stop. Mummy work that ass out,. Get it on the floor my you know what I'm bout.. And its your jump lets go, lets take it to my house.. And we gone keep it goin' till the cops come out.. Now let me hear you say.. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. Woo, Lets work,. Jae millz some call me the statue, Worldwide hustler but, I'm from the airport.. Rows go sit on my neck, rows go sit on my wrist. Nigga's got you and your bitch.. You better,. Stop. Yeh I know niggas hatin' but there slower than the dollas that I'm makin'.. Plus I still walk in any club with my jewels on.. No security just me and a couple groove towns. Who you work for?. You know who the boss, new blue yankee's seven and three fours.. Where ever I'm met nigga I'm still in New York. And my gun got an inch on it like porshe.. So please don't make it take off. Cos I don't care where you from mac.. I'mma throw your thoughts to the north, and be in the spot that be where the pimps screamin most say hit proberbly holla at your bitch.. Stop. Mummy work that ass out,. Get it on the floor my you know what I'm bout.. And its your jump lets go, lets take it to my house.. And we gone keep it goin' till the cops come out.. Now let me hear you say.. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. . No I aint gotta brag, I aint gotta front. See me when you see me find out whatever you want.. I'm livin, but smokes are still givin. Gotta tell em what to do, Listen.. Everybody wanna tell the cops so next time you see a detective tell him I was on the drop.. Ridin low on the ocean blowin hell to pot. Middle finger in the air bouncing like braap.. Its one up one up, one up one up what still winnin. Homey you'll always be a runner up.. You wanna lay up in a Hilton, your stupid I'm tryin to lay up in a Hilton.. Or maybe a Ritchie probably Nicky whichever I'll bet I'll have um blowin the sticky.. Now I'm from the 212, nigga you know who. It's the holla boy up on your boobs so tell um.. Stop. Mummy work that ass out,. Get it on the floor my you know what I'm bout.. And its your jump lets go, lets take it to my house.. And we gone keep it goin' till the cops come out.. Now let me hear you say.. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. . Listen baby, oh you so crazy, girl you gonna' have to spend the night.. I'll put you in my big Mercedes, flip the shades, get it poppin crazy inside.. Jae talk to ‘um.. What I do and what the ballers do, fix your face you aint never seen a four door cope.. Tell shorty we can jump in the C.L.X and have sex and have C.L. sex until I hear you say.. Stop. They hey got me lazy, as long as my niggas' love me I don't care who hates me.. She told me she was comin' with us, but I knew I had her when I told her the track was for puff.. Before I told Dre.. Stop. Seen that my way and watch me make a hit from yankee state to the A.. Well you can catch Jay down in M.I.A. Up in Opia with Cool and Dre. Hollerin' at bitches like.. Stop. Mummy work that ass out,. Get it on the floor my you know what I'm bout.. And its your jump lets go, lets take it to my house.. And we gone keep it goin' till the cops come out.. Now let me hear you say.. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. What you think about it?. I like that,. Lets work,. Statue.. Cool Dre,. They know what it is.. Catch me down in M.I.A.. Caller what up?"
millzy going hammer,"All the way from the 212 to you it's mess.. I got the hood going Hammer,. And bitch the world next,. I'm in this niggers stereo, and then the girls next,. I'm a true party boy, I party to the depth,. I hit that pussy from the back and make your bitch flex,. Yes, fuck, here I go, here I got home. Make porno with... my girls... flick camera,. You... with your money, and that boy don't understand,. Hi hi hit you with the... I'm not a,... Up town... country grandma,. I had to learn once I met him... down in Atlanta,. ... going in Hammer, be in the,.. like a. You try to hit the millz, now.... You shit it on yourself now... change your.... My bitch... pussy... like a rose, Amber. Fuck around with my team, you won't be a happy,... ... nigger... I really assure,... If you think you stop the song,.. your term is wrong,. New York City... what I am on,... Now two face... like Michel,... Young money cash... in Atlanta,. You got the plastic... brings.... Ain't no model in Miami that don't know my name,. Bitch, if I ain't fuck em than my brother,... Fuck famous, I'm dangerous,... ... only thing I feel for these rappers is I'm feeling wag in. And that's just why every boy rap I'm gonna steal that. Been that nigger and if I loo I'm still less,. You've been broke and you try to steal.... Shake it, they scream... hurt... them but I... and you can't touch them.... And you better pray you stop working 'cause they put me in the mix. But I'm too... to quit,. I'm... like my song, I'm out."
my swag,"Maybe it's my demeanor. Or the fact that my jewelery clean. Or the way i lean in the beemer. Or maybe its the fact that i'm the shit. Yeah I know what it is. My Swag My Swag. You can't get like me and you mad (Most Hated). My Swag My Swag. I know You Prayed And Wished That You Had My Swag. [Verse 1:]. Young harlem nigga from the NY. Get money, spend money, stay fly. Those the 3 codes that I live by. Yeah I swerve through streets. But I travel in the sky. Pardon my swag that's the way the ave. raised me. Jae Millz bonafide baby of the 80's. White ice dark ceasar all wavy. Kicks say?? but Gucci is what my shades be. Lame nigga you can never say I'm corny. I stand like I got a million cash on. They aint gotta move. Scott Storch will make em'. And I don't know why they hating. But.... [Chorus:]. Maybe it's my demeanor. Or the fact that my jewelery clean. Or the way i lean in the beemer. Or maybe its the fact that i'm the shit. Yeah I know what it is. My Swag My Swag. You can't get like me and you mad (Most Hated). My Swag My Swag. I know You Prayed And Wished That You Had My Swag. [Verse 2:]. Take my word I aint never go wrong. I got swag like a teflon don. A minute ago she said the patron was to strong. And now she hanging from my arm talking about I'm gone. I bet she never blew sacks of the chron. I bet she never knew the back was this long. I bet she never felt the wrath of king kong. Ate chocolate covered pretzels first class to Milan. I'm like King James but no I'm not Lebron. I'm just the president of Wanna Blow Productions. She can't believe I got all this from a song. Now it's uh uh uh...uh uh uh. [Chorus:]. Maybe it's my demeanor. Or the fact that my jewelery clean. Or the way I lean in the beemer. Or maybe its the fact that i'm the shit. Yeah I know what it is. My Swag My SWag. You can't get like me and you mad (Most Hated). My Swag My Swag. I know You Prayed And Wished That You Had My Swag. [Bridge:]. My chain beamed up. My ears beamed up. My wrist beamed up. My fist beamed up. I said my rims beamed up. My whip beamed up. So fresh and so cleaned up. And you know it's wanna what. [Verse 3:]. I walk with a swag. Talk with a swag. Pull up to the curb polly and pull of with a swag. And when I'm down in ATL you know I roll with a swag. In Miami I leans in my F Crown with a swag. Even out in Houston I play the mall with a swag. When I'm out in California I play the Porsche with a swag. Homie maybe its the money, maybe its the grind, maybe its the way that I shine. Or maybe it's. [Chorus:]. Maybe it's my demeanor. Or the fact that my jewelery clean. Or the way i lean in the beemer. Or maybe its the fact that i'm the shit. Yeah I know what it is. My Swag My SWag. You can't get like me and you mad (Most Hated). My Swag My Swag. I know You Prayed And Wished That You Had My Swag"
