blame it (featuring t-pain),"Blame it on the Goose (goose). Got you feeling loose (loose). Blame it on Patron ('tron). Got you in the zone (zone). Blame it on the a-a-a-a-a-alcohol. Blame it on the alcohol (fades). (Verse 1). Ay, She say she usually don't. But I know that she front. Cause shawty know what she want. But she don't wanna seem like she easy. I hear you saying what ya won't do. But you know we probably gon do. What you been fening deep inside. Don't lie now. (Chorus). Girl, What ya drinking. Gone let it sink in. Here for the weekend. Thinking, we can. See what we can be if we press fast foward. Just one more round. If you're down, I'm for it. Fill another cup up. Feeling on your butt-What?. You don't even care now. I was unaware. How fine you was before my buzz set in. (My buzz set in). Blame it on the Goose (goose). Got you feeling loose (loose). Blame it on Patron ('tron). Got you in the zone (zone). Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the Vodka. Blame it on the Henny. Blame it on the Blue Tap. Gotcha feeling dizzy. Blame it on the a-a-a-a-a-a-alcohol. Blame it on the alcohol (fades). (Verse 2). Oooh, see?. She spilled some drink on me. And now I'm knowing she's tipsy. She put her body on me. And she keep staring me right in my eyes. No telling what I'm gone do. Baby, I would rather show you. What you been missing in your life. When I get inside. (Chorus). Girl, What ya drinking. Gone let it sink in. Here for the weekend. Thinking, we can. See what we can be if we press fast foward. Just one more round. If you're down, I'm for it. Fill another cup up. Feeling on your butt-What?. You don't even care now. I was unaware. How fine you was before my buzz set in. (My buzz set in). Blame it on the Goose (goose). Got you feeling loose (loose). Blame it on Patron ('tron). Got you in the zone (zone). Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the Vodka. Blame it on the Henny. Blame it on the Blue Tap. Gotcha feeling dizzy. Blame it on the a-a-a-a-a-a-alcohol. Blame it on the alcohol (fades). (T-Pain Verse). Girl I know you feel good. Just like you look. Couple more shots. You open up like a book. I ain't tripping. (Cause I'mma read ya). I ain't tripping. (I just wanna please ya). I'mma take a shot of *Nuvo. Shawty didn't you know. It's going down. And we can go and kick it like Judo. You know what I mean. Shawty got drunk, thought it all was a dream. So I made her say, ""Ah, Ah, Ah"". Now she got her hands on my legs. Got my seats all wet in my ride. All over my ride. She look me dead in the eye (eye, eye). Then my pants got bigger. She already knew what the figure. Had her looking at her boyfriend. Like xxxxx that Nigga"". (T-Pain Chorus). Blame it on the juice. Got you feeling loose. Blame it on Patron. Got you in the zone (zone). Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the Vodka. Blame it on the Henny. Blame it on the Blue Tap. Gotcha feeling dizzy. Blame it on the a-a-a-a-a-a-alcohol. Blame it on the alcohol (fades). Now to the Ballers popping bottles. With their Henny in they cups. Screaming ""Money ain't a thing"". And if it ain't, throw it up. In the sky, Hold your drinks up high. And to the independent Ballers. Who can buy they own bottles. And if you looking like a model. When them broke fellas holla. Tell them bye. And hold ya drinks up high. You can.... Blame it on the Goose (goose). Got you feeling loose (loose). Blame it on Patron ('tron). Got you in the zone (zone). Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the a-a-a-a-a-a-a-alcohol. Blame it on the Vodka. Blame it on the Henny. Blame it on the Blue Tap. Gotcha feeling dizzy. Blame it on the a-a-a-a-a-a-alcohol. Blame it on the alcohol (fades)"
you changed me (feat. chris brown),"Don't talk to me, I'm serious. Don't talk to me, I'm serious. Ohh, you don't even know. Oh baby get it over. Now it's starting to show. Ain't no sense in frontin'. When you know I got a thing for you. Ain't no other girls in mind it's me and you baby, I love you. Used to be the kind of nigga never wanna settle down. Cause you changed me baby. Cause you changed me baby. Cause you changed me baby. Cause you changed me baby. You changed me baby. Say I'd never settled down. I'm with you girl, look at me now. Cause you changed me baby. I be a player for life. You switched that up in one night, oh baby. Ain't no sense in frontin'. When you know I got a thing for you. Ain't no other girls in mind it's me and you baby, I love you. Used to be the kind of nigga never wanna settle down. Put it on me baby. Not just the physical. You mentally stimulate me. I'm really in love that's crazy. Girl you can't even save me. You've got me thinkin' 'bout us havin' us some babies. Everything about love got me like. Baby come home and put it on me tonight. I want it right now girl I can't even lie. Fuck them other girls, they ain't you. You're the only one I need and that's the truth. Oh baby. Ain't no sense in frontin'. When you know I got a thing for you. Ain't no other girls in mind it's me and you baby, I love you. Used to be the kind of nigga never wanna settle down. Cause you changed me baby. (I've been searching for the answers baby). Cause you changed me baby. (Never met a girl. That made my life as good as you). Cause you changed me baby. (Don't want some, there's only you. A hell of wreckage, wanna see me win). Girl it ain't just me. Tell 'em how you feel Breezy. You know what I'm missin', fiendin' for your kisses. All night on my phone, when you talk I listen. Sexin' all in the kitchen. Breakin' all of these dishes. Your crib or my bed? It don't make a difference. I'm lickin' on your body girl. I'm feelin' on your booty. Now you really wanna do the nasty. Girl I love it when you get on your knees. You make me disappear like magic. Girl you don't even know. All the bitches I let go. For you. Ain't no sense in frontin'. When you know I got a thing for you. Ain't no other girls in mind it's me and you baby, I love you. Used to be the kind of nigga never wanna settle down. Cause you changed me baby. (All the things I used to be I ain't no more). Cause you changed me baby. Cause you changed me baby. (It's you I chased up and hoping for). Cause you changed me baby. You changed me baby. Say I never settled down. I'm with you girl, look at me now. Cause you changed me baby. I be player for life. You switched that up in one night, oh baby. Ain't no sense in frontin'. When you know I got a thing for you. Ain't no other girls in mind it's me and you baby, I love you. Used to be the kind of nigga never wanna settle down. Cause you changed me baby. You know I've been all over the world, man. I had really gave up on this shit, you know. Finally met a girl that do for me though. It's crazy, it's like a dream. I think I got me one"
gold digger,"Jamie Foxx & Kanye West - Gold Digger. . [Jamie Foxx]. She take my money when I'm in need. Yea she's a trifflin friend indeed Oh she's a gold digga way. over town. That dig's on me. [Chorus:Kanye west(Jamie)]. (She did me money). Now I aint sayin she a gold digger. (When I'm Need). But she aint messin wit no broke niggaz. (She did me money). Now I aint sayin she a gold digger. (When I'm need) but she aint messin wit no broke niggaz get down. girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head. [Verse 1:]. Cutie the bomb. Met her at a beauty salon. With a baby louis vuitton. Under her underarm. She said I can tell you. ROC I can tell by ya charm. Far as girls you got a flock. I can tell by ya charm and ya arm but I'm lookin for the one. have you seen her. My psychic told me she have a ass like Serena Trina, Jennifer. Lopez, four kids. An i gotta take all they bad asses to show-biz. Ok get ya kids but then they got they friends I. Pulled up in the Benz, they all got up In. We all went to Din and then I had to pay. If you fuckin with this girl then you betta be payed. You know why It take too much to touch her.. From what I heard she got a baby by Busta. My best friend say she use to fuck wit Usher I dont care what. none of yall say I still love her. [Chorus:]. [Verse 2:]. 18 years, 18 years. She got one of yo kids got you for. 18 years I know somebody payin child support for one of his. kids. His baby momma's car and crib is bigger than his. You will see him on TV. Any Given Sunday Win the Superbowl and drive off in a Hyundai. She was suppose to buy ya shorty TYCO with ya money. She went to the doctor got lypo with ya money. She walkin around lookin like Michael with ya money. Should of got that insured got GEICO for ya moneeey If. you aint no punk holla. We Want Prenup WE WANT PRENUP!,. Yeaah. It's something that you need to have. Cause when she leave yo ass she gone leave with half. 18 years, 18 years. And on her 18th birthday he found out it wasn't his. [Chorus:]. [Verse 3:]. Now I aint sayin you a gold digger you got needs. You dont want ya dude to smoke but he can't buy weed. You go out to eat and he cant pay yall cant leave. There's dishes in the back, he gotta roll up his sleeves. But why yall washin watch him. He gone make it into a Benz out of that Datson. He got that ambition baby look in his eyes. This week he moppin floorz next week it's the fries. So, stick by his side I know his dude's ballin but yea thats. nice. And they gone keep callin and tryin. But you stay right girl. But when you get on he leave yo a** for a white girl. Get down girl go head get down. Get down girl go head get down get down girl go head get down. get down girl go head"
if you love me,"Can't believe another day goes by. Without your love,. you know I can't survive. Silly me I thought I'd play. it cool. But in the end I end up playing the fool. No. I regret my decisions because I'm in love with you.. You had come into my life and made my dreams come. true. For you I'll do (Yes I will).... (If you love me)...The time I've spent with you has. been so nice. (Like you say you do)...Girl you're my. angel, you're my paradise. (Won't you show me)...I. need your love, girl don't you understand? (What I. mean to you)... Baby the sight of you was promised me. one day. Because I'm in love with you. You have come. into my life and made my dreams come true. For you. I'll do (My darlin').... (I'll make the green)...grass grow in December. (grass. grow..)(I'll make the...) April rain turn to snow. I'll. climb the highest mountain and search the valley low.. Wherever you are, that's where I'll go.. (If you love me)...I need your love girl, I don't mind. the change. (Like you say you do)...I'm holding on. girl, I'm prepared to wait. (Then won't you show. me)...For your sweet love I'll swim the deepest seas.. (What I mean to you)...Just to show you what you mean. to me. The sight of you was promised me one day.. (Cause' I'm in love without a doubt)...Cause' I'm in. love with you. (My heart's gone, can't live. without)...You have come into my life and made my. dreams come true. For you I'll do.... (I'll make the green)...grass grow in December.(grass. grow)( I'll make the..) April rain turn into snow.. I'll climb the highest mountain and search the valley. low. Wherever you are, that's where I'll go.. (If you need me)...Girl, if you need me...(Like I. needed you)...Baby, won't you let me see...(Then. whisper softly)...Bring it down...(Hear me)...(While. I'm pleasing you)...Let me hear you, please baby let. me hear you...(If you need me)...Fade Out"
15 minutes,"15 minutes, excuse but I was wondering when,. You won't speak 'cause I thought you look in,. Back to the wall talking to all your friends,. Thinking... loud... do you see me again. Let me find out, you ain't get that love like you should. Let me find out, baby put me down, like you know I would,. Girl I know what is what you're looking for,. Girl I know what is just you need,. And you're tired of rolling business,. 'Cause you need messing with me,. Come and find out, just the reason why we're running now,. Come and find out, what's all the... what's the.... 'Cause baby, you can get it, you can get it,. Tell me to say the world and I ain't kill it,. I'm no wasting your time, running my mind saying lies, to say what it's on my mind.. If you give me 15 minutes I'll make you feel like a woman tonight,. All I need is 15 minutes to take you on the ride of your live,. Baby, all I need is 15 minutes anymore than that will kill the vibe,. 'Cause I bet you after 15 minutes, you need another 15 minutes, another 15 minutes to love.. Is about to get crazy, about to go down,. ... go ready for the first ride,. Hope you can handle what I get.... To see the scandal what stick around, is done now,. Baby hold on to me don't let go,. Don't like shy now, promise you will be back begging for more,. .... You're looking back like I'm crazy.... Told you to deal told you this ain't a game,. Discriminate like you're going insane.. Oooh, finally getting what you deserve,. You can... even the love... that's my world,. Baby, baby you can get it, you can get it,. Tell me to save the world and I ain't go kill it,. I'm no wasting your time, running my mind saying lies,. To say what it's on my mind.. If you give me 15 minutes I'll make you feel like a woman tonight,. All I need is 15 minutes to take you on the ride of your live,. Baby, all I need is 15 minutes anymore than that will kill the vibe,. 'Cause I bet you after 15 minutes, you need another 15 minutes, another 15 minutes to love.. Time to... like win. Time to go in, that was just the begin,. Baby by now you should really know. Do what it was when you opened the door,. Lets' get the school all night,. I promise it will be all right.. Do you want another 15 minutes, (it don't take long when you know what you're doing). . ( Wesley - São Sebastião SP )"
sex on the beach,"Have you ever been to South Beach,. tipsy with your bottles to the sky, sky, sky. There's a widows puertoricans precious gal's. got that look up on her eye. Well what you drinkin'? I'm drinkin' champagne.. Well I was thinkin. What, what's your campaign?. Champagne make me tipsy, patron make me sick,. attitude and vodka does the trick.. Somebody pour me a sex on the beach, (that's how I like it). sex on the beach, (i wanna have). sex on the beach, (your body drive me crazy). sex on the beach, (I wanna rock). Have you ever been to Paris with a model workin on your French?. And you let her know your ballin'. and the coldest players comin off the bench. Well what you smokin'? I smoke that good shit.. Across the ocean, but I'm on that hood shit.. Champagne make me tipsy, patron make me sick,. Attitude and vodka does the trick.. Somebody pour me a sex on the beach, (that's how I like it). sex on the beach, (I wanna have). sex on the beach, (your body drive me crazy). sex on the beach, (I wanna rock). If your drinking like I'm drinking put your hands in the air.. If your drinking like I'm drinking put your hands in the air.. If your smoking like I'm smoking put your hands in the air.. If your smoking like I'm smoking put your hands in the air.. If your humping like I'm humping put your hands in the air.. If your humping like I'm humping put your hands in the air.. If your drinking like I'm drinking put your hands in the air.. If your drinking like I'm drinking put your hands in the air.. Sex on the beach, (that's how I like it). Sex on the beach, (I wanna have). Sex on the beach, (your body drive me crazy). Sex on the beach, (I wanna rock). . (Wesley - São Sebastião SP)"
fall for your type,"[Jamie Foxx - Verse 1]. Can I, can I save you from you. cause you know there’s something missing. and that champagne you’ve been sippin’s. not supposed to make you different all the time. it’s starting to feel like the wrong thing to do girl. cause with all that recognition it gets hard for you to listen. to the things that I must say to make you mine. But live girl, have some fun girl, we’ll be fine. trying to convince myself I’ve found one. making the mistake I never learned from. I swear I always fall for your type, yeah (for your type). tell me why I always fall for your type (for your type). I just can’t explain this sh-t at all (fall for your type). I just can’t explain this sh-t at all (fall for your type). (I believe in people like you). [Jamie Foxx - Verse 2]. So who am I to judge you on the past, girl. I think there’s a reason for it all. you say that you’re nothing like the last girl. I just pray that you don’t let me down right now. it’s too late, I’m already yours. you just gotta promise me, hearts won’t break. and end up like before. I swear I always fall for your type, yeah (for your type). tell me why I always fall for your type (for your type). [Drake]. Look, dress hanging off your shoulder, barely sober. telling me how you moving away and starting over. girl, quit playing you just drunk, you just saying sh-t. oh you dance, dance like how, like ballet and sh-t. oh, wait, no, I get it girl, I’m with it. I’ve been down this road before and yeah I skidded but forget it. damn, yeah, I wonder why I never why I learned my lesson. it’s feeling like the second chance and its the first impression. and I heard it’s nothing new except for someone new. but how you supposed to find the one when anyone will come with you. talking to myself but I never listen,. cuz man it’s been a while, and I swear that this ones different. that’s why I’mma take you anywhere you wanna go. let you meet my friends so they can lecture me again about. how reckless I have been. and I’m slowly running out of all the time that I invest in. making all the same mistakes. and I’m just trying to correct it and I fall... [Jamie Foxx]. I swear I always fall for your type, for your type. tell me why I always fall for your type, for your type. I just can’t explain this sh-t at all (fall for your type). I just can’t explain this sh-t at all (fall for your type). (I believe in people like you)"
love changes,"You stayed awake half the night. Love is. Put you through changes. Tell me way, tell me way, tell me way. It must be love that's on your mind. You doin' things, you wouldn't before.. And you outta know. Love will make you oh so happy. Inside-i-i-ide. Can't control it but it takes you over. Love will make you oh so sad. Make you cry-y-y-y. Changes. Love changes, Love changes. That's what love puts you through. Love changes, Love changes. Changes. That's what love makes one do. Love changes. Wonderin' if it's real this time. Just not another half-goodbye. You walk around starry eyed. Can't believe that love would hurt again. Hurt again. I can't believe that this love will. Love will make you oh so happy. Inside. Can't control it but it just takes you over. Love will make you oh so sad. Make you cry. Changes. Love changes, Love changes. That's what love puts you through. Love changes, Love changes. Changes. That's what love makes one do. Love changes. You know what Mary?. Yeah Jamie. All I wanna do is just get back to the basics. I wanna get back to to lovin'. Get back to huggin'. Get back to carin'. Get back to sharin'. Get back to understandin'. Everything we do. Get back to even teachin'. Teach me please. Get back to lovin' your woman. Get back to lovin' your man. Get back to cookin' for your man. Whenever you hungry baby. Changes. Love changes, Love changes. That's what love wants to prove. Love changes, Love changes. Changes. Love will make you oh so happy inside. Love will make you oh so sad make you cry. Love will make you oh so happy inside"
can i take you home,Can I Take You Home. [Hook 1:]. You know what I want want. I know what you want want. Tell me what I want want. I'll tell you what you want want [2x]. [Verse 1:]. So many ladies in the rooom (in the rooom). All that I can see is you (see is you). This dime piece is in this plaace (plaace). But you came through and took the case (whoooh). [Hook 2:]. Cause I know what I like. And I know what I want. And I know how to get it. Let me in your world (yeeaah). Yes I know what I like. And I know what I want (waant). And I know how to get it. Let me prove it to you one on one. [Chorus:]. Can I take you home girl (can I take you home girl). Get you all alone girl (get you all alone girl). And do you like I want to (aayyeah). Kiss you like I want to (kiss it like I want to). Can I take you home girl. Get you all alone girl (get you all alone girl). And do you like I want to. Kiss you like I want to. And love you like I want to. [Verse 2:]. I'm staring at you eye to eye (eye to eye). I'm nothin like these other guys (other guys). Let me drop this on yo mind (on yo mind). I'm not here to waste your time. [Hook 2:]. Cause I know what I like (I know what I). And I know what I want (I know what I). And I know how to get it. Let me in your world (whooohh). Yes I know what I like. And I know what I want (what I want). And I know how to get it. Let me prove it to you one on one. [Chorus:]. Can I take you home girl (can I take you home girl). Get you all alone girl (get you all alone girl). And do you like I want to. Kiss you like I want to (kiss you kiss you. Can I take you home girl (can I take you home girl). Get you all alone girl (and get you all alone girl). And do you like I want to (and do you do you do you do you). Kiss you like I want to. And love you like I want to. [Verse 3:]. I don't wanna leave (I don't wanna leave). Unless you leavin with me babe (you leavin wit me babe). Now I believe in fate. It's like heaven sent you girl (heaven sent you to me). I don't wanna leave (I don't wanna leave). Unless you leavin with me babe (you leavin wit me babe). Now I believe in fate. It's like heaven sent you girl. [Hook 1:]. You know what I want want. I know what you want want. Tell me what I want want. I'll tell you what you want want. You know what I want want. I know what you want want (I know what you want want you know what I want want). Tell me what I want want. I'll tell you what you want want. [Chorus:]. Can I take you home girl (can I take you home girl). Get you all alone girl (get you all alone girl). And do you like I want to (and do you like I want to). Kiss you like I want to (kiss you like I ooh). Can I take you home girl (I'm just down the street baby). Get you all alone girl (come and go wit me). And do you like I want to (and do you like I want). Kiss you like I want to (kiss you like I). And love you like I want to (love you like I want to babe)
when i first saw you,"[Verse]. {Jamie}. When I first saw you. I said ""O My"". That's my dream, that's my dream. O, I need a dream when it all seemed to go bad. Then I find you. And I have had the most beautiful dreams any mans ever. had. {Beyonce}. When I first saw you. I said ""O My"". That's my dream, that's my dream. I needed a dream to make me strong. You were the only reason I had to go on. [Chorus]. You were my dream. All of the things that I've never knew. You were my dream. Who could believe they would ever come true. And who would believe. The world would believe. In my dreams too. [Bridge]. {Jamie}. Before you appeared. My life was only a game. And day in. And day out. Were the same Oh. {Beyonce}. Now dreams. {Jamie}. The dreams. {Beyonce}. Coming true. {Jamie}. Coming True. {Beyonce}. Like a star. {Jamie}. Like a star. {Beyonce}. See It shine. {Together}. A dream. {Beyonce}. That is yours. {Jamie}. That is yours. {Beyonce}. That is mine. {Jamie}. That is mine. {Jamie}. You were my dream. {Beyonce}. Now I've got dreams of my own. {Jamie}. All the things I could never be. {Beyonce}. Dreams you've never known. {Together}. You won't take my dream from me. [Verse 2]. {Jamie}. When I first saw you Oh. {Beyonce}. I said ""O My"". {Jamie}. I said ""O My"". {Together}. That's my dream"
