"all the time (feat. lil wayne, natasha mosley)","Early in the mornings. When I think about you. Yea. I hit you like what you sayin. In the morning. When i wanna fuck you. Yea. I hit you like what you sayin. I could fuck you. All the time. M-O-E-T. That's the fuck we been sippin. That's the fuck we been trippin. Bet my trap house. Still tippin. FaceTime. When I'm gone. She give me some from a distance. She love to climb on the top. She love to walk off limpin. Pimps up, hoes down. Legs up, or toes down. Why she jock me cause she knock knees. and we got trees so mary go round. Gotta know I ate it. She's so sweet. now and later. I want that all the time. All the time. I mean you all of mines when it's. Early in the mornings. When I think about you. Yea. I hit you like what you sayin. In the morning. When I wanna fuck you. Yea. I hit you like what you sayin. I could fuck you. All the time. Pussy for breakfast. That's how I start my day. My dick is a pen. it's written all over her face. I put my tongue in her mouth. I make them pussy lips drool. She got that junk in her trunk. you know I like junk food. I tell her like this. Life is good. You pussy better. But I put on that magnum. like a gold medal. and if it's sweet. then i'ma eat it. til i get sugar diabetes. I'm a blood and she anemic. we perfect. Early in the mornings. When I think about you. Yea. I hit you like what you sayin. In the morning. When I wanna fuck you. Yeah. I hit you like what you sayin. I could fuck you. All the time. Damn damn lil momma. Your sticky icky icky. got a nigga out here. feelin picky icky icky. Everytime you put it on me man. It leave me real trippy. Everytime we on it. we keep it 50 50. Don't let the time. ticky icky icky. While I'm snappin off ya bra. And bitin on ya vickies. Head Shots. Feelin real tipsy. gettin real freaky. And it's gettin real frisky. She never say no. Damn she so cold. Up and down. That pole. She go. Go. Fuck me like you. hate me. Kiss me like you miss me. Anything I want to swear she always. Lets me. Early in the mornings. When I think about you. Yea. I hit you like what you sayin. In the morning. When I wanna fuck you. Yeah. I hit you like what you sayin. I could fuck you. All the time"
birthday sex,"It's your birthday, so I know you want to ride out. Even if we only go to my house. Simple and easy as we sit upon my couch. Feels good, but I know you want to cry out. You say you want passion, I think you found it. Get ready for action, don't be astounded. We switching positions, you feel sorrounded. Tell me when you want your gift, girl. Girl you know I-I-I, Girl you know I-I-I. I've been feeling,. Wake up in the late night. Been dreamin about your loving, girl. Girl you know I-I-I, Girl you know I-I-I. Don't need candles and cake. Just need your body to make.... Birthday sex...Birthday sex. Birthday sex...Birthday sex. See you sexy in those jeans got me on 10. 1-2-3 Ding, I got you pinned. Don't tap out, fight until the end. Ring that bell, and we gonna start over again. We ridin with passion, 'cause it's your birthday. Been at it for hours, I know you thirsty. You kiss me so sweetly, taste just like Hershey's. Just tell me how you want you gift, girl. Girl you know I-I-I, Girl you know I-I-I. I've been feeling,. Wake up in the late night. Been dreamin about your loving, girl. Girl you know I-I-I, Girl you know I-I-I. Don't need candles and cake. Just need your body to make.... Birthday sex...Birthday sex. Birthday sex...Birthday sex. First, I'm gonna take a dive into the water,. Deep until I know I pleased that body. Or girl without a broom I might just sweep you off. your feet and make you wanna tell somebody. how I do. Or maybe we can float on top my waterbed. You close your eyes as I am wrapped between your legs. We work our way from kitchen stoves and tables,. Girl, you know I'm only able to please. Say you wanted flowers on the bed. But you got me and now it's on again. Girl you know I-I-I, Girl you know I-I-I. I've been feeling. Wake up in the late night. Been dreamin about your loving, girl. Girl you know I-I-I, Girl you know I-I-I. Don't need candles and cake. Just need your body to make.... Birthday sex...Birthday sex. Birthday sex...Birthday sex"
love don't change,"Girl, I'll still kiss your head in the morning. Make you breakfast in bed while your yawning. And I don't do everything how you want it. But you can't say your man don't be on it. 'Cause I know true love ain't easy. Girl, I know it's you 'cause you complete me. And I just don't want you to leave me. Even though I give you reasons. 'Cause baby, sometimes I can tell just by your face. This part of us been gone for so long. And I know there's no replacing. What we had going on for so long. But when it hurts, I can make it better. Girl, if it works, it's gonna be forever. We been through the worst, made it through the weather. Our problems and the pain, pain but love don't change. Ooh, love don't change, whoa, oh, yeah. Girl, you still hold me close when you see me. And you still make me know that you need me. And I know sometimes you don't believe me. But you stay on my mind so believe me. 'Cause you have my heart, don't break it. 'Cause when times get tough, don't hate me. And it all adds up, we gonna make it. 'Cause when you mad, I know you can't fake it. And baby, sometimes I can tell just by your face. This part of us been gone for so long. And I know there's no replacing. What we had going on for so long. But when it hurts, I can make it better. Girl, if it works, it's gonna be forever. We been through the worst, made it through the weather. Our problems and the pain, pain but love don't change. Hold me down and I'm gonna do the same for you, love. I will do a thing for you love. I want this together even though it gets better or worst. 'Cause baby, sometimes I can tell just by your face. This part of us been gone for so long. And I know there's no replacing. What we had going on for so long. But when it hurts, I can make it better. Girl, if it works, it's gonna be forever. We been through the worst, made it through the weather. Our problems and the pain, pain but love. But when it hurts, I can make it better. Girl, if it works, it's gonna be forever. We been through the worst, made it through the weather. Our problems and the pain, pain, our love don't change"
planes (feat. j. cole),"(Intro). This one goes out to all sides world wide. Let that play ass nigga thumpy be your guide. As we go on a ride with playa hatin' killers and hood niggas thrive. And lame mah'fuckers can barely survive. (Verso 1: Jeremih). Catch me rollin' through the city. Ridin' with the top off. Man, my whip so big when you in it. Fuck around and get lost. Told my bitch to let her hair down. What this shit costs?. Tell me, baby, if you 'bout that life right now. I hope it ain't talk, no. (Pre-Hook: Jeremih). I can put you in the Mile High Club, what's up?. Let's take a trip. Have you ever read ""The World Is Yours"". On a blimp?. (Bridge: Jeremih). Tell her be free, baby spread your wings. Got your legs in the sky like a plane. Let me guide that, I'm the pilot. Can't nobody see you 30 thousand feet. On your knees in them Prada's. Makin' freaky shit come up out her. (Hook: Jeremih). Get high baby roll one, cloud nine, 'bout to go up. Lovin' the feelin' the turbulence get when we turn up. When we land we can roll out. Show you somethin' you ain't know about. Tonight we be takin' off flight with a camera to show out. (Verse 2: Jeremih). I got you in the air, your body in the air. How it feel up here?. You can scream as loud as you want, and loud as you can. And ain't nobody gonna hear. Would you like it better. If I hit the west coast?. Tell me, if you 'bout that life right now. I hope it ain't talk. (Pre-Hook: Jeremih). I can put you in the Mile High Club, what's up?. Let's take a trip. Have you ever read ""The World Is Yours"". On a blimp?. (Bridge: Jeremih). Tell her be free, baby spread your wings. Got your legs in the sky like a plane. Let me guide that, I'm the pilot. Can't nobody see you 30 thousand feet. On your knees in them Prada's. Makin' freaky shit come up out her. (Hook: Jeremih). Get high baby roll one, cloud nine, 'bout to go up. Lovin' the feelin' the turbulence get when we turn up. When we land we can roll out. Show you somethin' you ain't know about. Tonight we be takin' off flight with a camera to show out. (Verso 3: J. Cole). Cole World, I got it, I got it, I got it, listen. You need a nigga that's gon' come over and dig you out. You need a nigga that you know is not gon' run his mouth. You need a nigga when he done probably gon' put you out. You need a nigga that's gon' put it in your mouth. Dick so big it's like a foot is in yo' mouth. And y'ain't babysitting, but my kids all on yo' couch. And oh, you nasty, oh, oh, you nasty. Both graduated so fuck keepin' it classy. Look, they love me in the Chi like Mj. They love me in the Chi like Oprah. No nigga could block, not even Dikembe. Compared to Cole, boy, you're softer than a sofa. And so far my new shit's so fire, nigga, check my profile. Who you know make waves in a low tide?. Deebo'ed yo' bitch, now she both ours. Nigga, little brown liquor in my liver. Pretty brown thang in my bed. Been a long time since I had to ask for head. So god damn don't make me beg. But I will if I need to cause for real, girl, I need you. I could put you on a flight, we could take off tonight. If you scared of heights, shit I got a pill I could feed you. Cole. (Pre-Hook: Jeremih). I can put you in the Mile High Club, what's up?. Let's take a trip. Have you ever read ""The World Is Yours"". On a blimp?"
down on me,"[50 cent]. She want it I can tell she want it. Want me to push up on it. Fore she know when I'm all on it. We get the party going liquor flowing this is fire. 50 and jeremih number 1 there's nothing higher. (won't you go and). Get it get it (I see you baby). Work it work it. (won't you, just put it down). Get it get it. Work it work it. Break it break it down.... [Jeremih]. Ok she headed to the dancefloor and she slowly start to poppin it. Something like my wrist cause everybody got to watching it. Girl you go that secret treasure I'm gon put that lock on it. Don't care what they say I would be stupid to be not on it. Heard you go that sticky. Let's go and take 9 shots we'll just call it fifty. And I'm gon lick it lick it lick it. Till her hicky have her Rev running. Keep you running til you whimpy. (bang bang bang bang). Oh you look so sweet. What you work in Paris. Look at your pysique. Girl you are a beauty well I am a beast. They must have been trippin to let me off the leash. [Jeremih Chorus]. I love the way you grind with that booty on me. Shorty you a dime why you looking lonely. We'll buy another round and it's all on me. As long as I'm around put it down on me. Just put it down on me. Put it down on me. Down down on me. Put it down on me. Don't throw it off the mound. Show me how its gon be. Giurl all I really want is you down on me. Put it down on me. [50 cent]. Systems thumping party jumping. Shorty she's a perfect 10. She rock her hips than roll her hips. Than drop it down like it's nothing. She shaped just like an hour glass. She see how fast an hour passed. Time flies when I'm on that ass. But I won't put our sh-t on blast. Work it like a pro pro pro. Sit and watch it go go go. Do her thing all on the floor. She bounce it fast and shake it slow. So sexual incredible. She beautiful she edible. I got her I won't let her go. I aint seen nothing better yo. Look at how she twurk it. The way she work it. Make me wanna hit it hit it. Heaven when I'm in it in it. If I do not fit, I'm gonna make it. Girl you can take it. Don't stop get it get it. [Chorus]. [Jeremih]. Say you independant. Get it from your momma. Tell me if you with it. Do you really wanna wanna. Baby when you see me. You know I be on it. Can you keep it up. Put it all up on me. (repeated). [Chorus]. [End]. MK."
that way (feat. rick ross),"I apologize I dont recollect your name. But lemme tell you that them heels. really complement your frame. Girl lemme get them ooh aahs then. I gotta catch my plane. Say ya miss me and ya wishing. for some private time girl how could we get that way?. Look, another day another dollar. She hate me when I leave cuz when I leave I never call her. That's life shit alright, shit, I could call you right quick. But if I call you gone be like ""Boo why we haven't skyped yet?"". And on Skype bet you say ""Le where my flight at?"", if. I decline. Then you inquire on where I spend my nights at. Shit this life gets overwhelming and more then hectic. But a woman worth some anger is certainly worth some effort. Just look closer my life is quite deceptive. Women'll sell they soul just to buy some attention. I need something to hold fuck that passive aggression. And when im back from. off that road dont ask me no questions.... please.. fear watchu dont know. I apologize I don't recollect your name. But lemme tell you that them heels really complement your frame. Girl lemme get them ""ooh, aahs,"" then. I gotta catch my plane. Say ya miss me and ya wishing. for some private time girl, how could we get that way?. Dont remember how I met her but I know I won't forget her. If loving her is wrong then I just know I won't see heaven. She say she from seattle, she twenty and some change. Before I get to [t.I.a.?] im sure to make her rain. Then im back up on my plane chi town O'Hare. We spend some time. and get some wine have some milds from Harold's. I told her this here's overrated but I love your city baby. Gotta get back to the D you know we finally famous. Driver drop me off in Dulles im headed to some money. Tsa be laughing all them rubbers in your luggage. I know ima always leave em but I swear ill always love em. Tell her you'll probably find someone but you'll never find another. I apologize I dont recollect your name. But lemme tell you that them heels really complement your frame. Girl lemme get them ooh aahs then I gotta catch my plane. Say ya miss me and ya wishing. for some private time girl how could we get that way?. Got on my suede shoes im in a great mood. That baggage plane while waiting miss thang outta St. Louis. Know she shining bright got on my cartier,. she my Billie Jean we menage with Mary Jane. See we city hop, vegas to. La, brings alotta joy buggati boy thats lane to lane. Our faucets used to drip, I used to ride the bench,. but it was written in cursive for this king to exist. Packed her bags now she live amongst entrepreneurs. Marc Jacob the makeup. shi shi von she consumer gianni versaci connoisseur a carnivore. Accountable for half a million unaccounted for... boy. I apologize I dont recollect your name. But lemme tell you that them heels. really complement your frame. Girl lemme get them ooh aahs then. I gotta catch my plane. Say ya miss me and ya wishing. for some private time girl how could we get that way?"
"i think of you (feat. chris brown, big sean)","I give the best that you ever had. Give you one dose and got you addicted. I could own that, all night and all day. Say you on my plate, girl, you so delicious. Last night we had a good time gettin' faded. Wake up in the morn', you was gone. It been on my brain all day replayin'. Like we had it on record. I miss every minute. I take plenty chances. My love for you has been a damn dimension. More than you imagine. I want all of them kisses. Mistletoe before Christmas. If you ain't got it, don't get it. If you got time, it's no limit. Baby, won't you give me something. That I wanna do?. When I see the sun set. Yeah, I think of you. I think of you. You're all I want too. Left panties by my nightstand. Now I think of you, I think of you. Loving my baby, girl, you're giving me the sweet talk. Love's up and down, it's like living on a see-saw. Give me a favor, baby, why you blaming me for?. All I wanted was love, babe. Last night we had a real good time, we was naked. Bumping and making love. Got me with all these games you're playing. It's time for us to grow up. Don't care 'bout winning (yeah, yeah). Come on, baby, I got the answers (yeah, yeah). You ain't gotta be a dancer (yeah, yeah). All I need is your love. Girl, you upchained my mind. And I can see you hesitating. So, baby. Baby, won't you give me something, ooh yeah. That I wanna do?. When I see the sun set, oh, girl. Yeah, I think of you, baby. I think of you. You're all I want too. Left panties by my nightstand. Now I think of you, I think of you. I wish everyday was your day off. Goin' hard every night like it's the playoffs. You give me the energy, I like to play hard. Tell me is the feelin' mutual around my way off. Be real, be real, stay real. Pour your heart out, baby, I won't let it spill. I know the ones before me probably said they never will. Them broken promises'll break you down. But how you feel is not an illusion. I'm not tryna add to the confusion. Break your all access codes and abuse 'em. You layin' all over me 'cause you wanna stab me. Swear I love you so much, I love your whole family. Bedroom dresser, full of your panties. We make the room feel like summer Miami. No stressin' whenever you leave. 'Cause ain't nobody in the world fuck you better than me. I think of you"
don't tell 'em (feat. yg),"[Intro: Dj Mustard]. Mustard on the beat, ho!. Rhythm is a dancer, I need a companion. Girl, I guess that must be you. Body like the summer, fucking like no other. Don' you tell 'em what we do. Don't tell 'em. You ain't even. Don't tell 'em. You ain't even. You ain't even gotta tell 'em. Don't you tell 'em. You ain't even. Don't you tell 'em. You ain't even. You ain't even gotta tell 'em. Don't tell 'em. [Verse 1: Jeremih]. Know you say you down with it. Won't tell em how you hit the ground with it. Girl you know I'm from Chicago. I act a fool, Bobby Brown with it (in it). Nobody take me out tho. You got gifts bring em down the south pole. Marathon doll gon' puttin' miles. Don't you worry bout it might gon' work it out. Only it's you got me feeling like this. Oh why, why, why, why. Loving while grabbing the rhythm of your hips. That's right, right, right, right, right. Rhythm is a dancer, I need a companion. Girl, I guess that must be you. Body like the summer, fucking like no other. Don't you tell 'em what we do. Don't tell 'em. You ain't even. Don't tell 'em. You ain't even. You ain't even gotta tell 'em. Don't you tell 'em. You ain't even. Don't you tell 'em. You ain't even. You ain't even gotta tell 'em. Don't tell 'em. [Verse 2: Jeremih]. Girl, he fufu with it. But you know I know what to do with it. I'll give you that, girl, I'm talking laps. As if you got a pool in it. And she say she ain't with your best friends. Then let me be your down man. You know you feeling how your boy press play. Just keep that ass rewindin'. Only it's you got me feeling like this. Oh why, why, why, why, why. Loving while grabbing the rhythm your hips. That's right, right, right, right, right. Rhythm is a dancer, I need a companion. Girl, I guess that must be you. Body like the summer, fucking like no other. Don't you tell 'em what we do. Don't tell 'em. You ain't even. Don't tell 'em. You ain't even. You ain't even gotta tell 'em. Don't you tell 'em. You ain't even. Don't you tell 'em. You ain't even. You ain't even gotta tell 'em. Don't tell 'em. [Verse 2: Yg]. Throw it up 9-3-4, 8-6-1-6. I gotta missed call from your bitch. She been plottin on me for a cool minute. She wanna' suck my dick, and I'm cool with it. I like girls in the shower, when its winter fresh. It's that Twitter pussy I met on the Internet. On my late-night thirsty. cause it was late-night and I was thirsty. Girl, I been to that county girl, I ain't tellin. Handcuff me to the bed, girl it ain't no bailin. I keep a stack of hundreds like I keep a secret. If anything you were just exploring, you wasn't cheating. She got my number stored under fake names. Her nigga think she faithful, but she runnin game. Yolo, so take me out these Polos. And we can fuck from Uno to Ocho. [Bridge: Jeremih]. Only you got me feeling like this. Oh why, why, why. Loving and grabbing the rhythm of the hips. That's right, right, right, right, right. Rhythm is a dancer, I need a companion. Girl, I guess that must be you. Body like the summer, fucking like no other. Don't you tell 'em what we do. Don't tell 'em. You ain't even. Don't tell 'em. You ain't even. You ain't even gotta tell 'em. Don't you tell 'em. You ain't even. Don't you tell 'em. You ain't even. You ain't even gotta tell 'em. Don't tell 'em"
4 the freaks,"This one's for my freaks. Loving for my freaks. Kissing on my freaks. Kissing on my freaks. I'm riding with my freaks. I'm good we about to face. This one for my streets. This one for the freaks. This one for the freaks. I got one for the peeps. I the middle know I won't stop. What's in between these sheets. I pull up on vale. Like this one's for the freaks. This one's for the freaks. This one for the freaks. We taking on my time. You know I can face it. Won't you look in my face. I told her to lace it. Tryina teach me some. You know I'ma ace it. But she say ""jay that's a whole blunt"". I said ""bitch face it"". She grinnin' lookin' over. And bendin' it over. I love when she throw that. She do it once more for me. I do to the stripper pole. And throw all of that brick. The dj's throwing up love. And I'm just throwing up more. My girl go on that thang. She go upside down the pole. If anything she gonna play. No games face down now you know. I throw the money like raining baby. So girl you know, you know I love you baby. Way you do that thang on me. Swear you wanna go crazy but. This one's for my freaks. Loving for my freaks. Kissing on my freaks. Kissing on my freaks. I'm riding with my freaks. I'm good we about to face. This one for my streets. This one for the freaks. This one for the freaks. I got one for the peeps. I the middle know I won't stop. What's in between these sheets. I pull up on vale. Like this one's for the freaks. This one's for the freaks. This one for the freaks. Spinnin' all in her hair. Showin' all of them legs. That's when she said. I'll take you there, I'll take you there. I'll take you there, I'll take you there. Welcome to the battery floses. I'll make you wet. I'll make you wet. I'll make you wet. Now you better not tell me that it's over. This one's for my freaks. Loving for my freaks. Kissing on my freaks. Kissing on my freaks. I'm riding with my freaks. I'm good we about to face. This one for my streets. This one for the freaks. This one for the freaks. I got one for the peeps. I the middle know I won't stop. What's in between these sheets. I pull up on vale. Like this one's for the freaks. This one's for the freaks. This one for the freaks"
all about you,Yeaa eehh. Chocolate ohh. Strawberry Cream. Body Oils. Candles. Lit Shower. Hot Steam. Baby let's just take it up a notch. Can we use the key to open on Pandora's Box?. And Imma lock it away with a kiss. Tell me baby can you keep this secret from your lips. And if. And let me give you everything I got oh. Won't you let this (Won't you let this) G up in your spot. [Chorus]. Let's do something new yea. Let me set the mood yea oh. It seems like he just don't know what to do. So tonight. Tonight. It's all about you. You (x3). It's not about me. Me. It's not about me. Me. ohh baby take your shoes off. Won't you sit and cool off?. It's not about me. Me. It's all about you. You. Yeaa. Peppermint Kiss. Juicy Couture. All on my time. Baby it's yours. Tell me that you coming. I'm awake. You know Mr. Cd of the Wendy's open late. Ace of that Rose. We Should Touchdown. We be Kickin it. It's Good. He ain't done it right. If you ain't had it quite like this. Like this. [Chorus]. Let's do something new yea. Let me set the mood yea oh. It seems like he just don't know what to do. So tonight. Tonight. It's all about you. You (x3). It's not about me. Me. It's not about me. Me. ohh baby take your shoes off. Won't you sit and cool off?. It's not about me. Me. It's all about you. You. Yeaa. It's all about the rhythm rhyhtm. As I rock the boat. Rock the boat. On the river river. You know how we float. How we go. To the rhythm rhythm. As I rock the boat. Rock the boat. On the river river. You know how we float. How we go. [Chorus]. Let's do something new yea. Let me set the mood yea oh. Know exactly what I'm here to do. 'Cause tonight. Tonight. It's all about you. You (x3). It's not about me. Me. It's not about me. Me. ohh baby take your shoes off. Won't you sit and cool off?. It's not about me. Me. It's all about you. You. Yeaa. Oh!
