say something (feat. chris stapleton),"Oh, yeah, alright. Ooh (yeah). Everyone knows all about my direction. And in my heart somewhere I wanna go there. Still I don't go there. Everybody says ""say something"". Say something, say something. Then say something, say something,. then say something. I don't wanna get caught up in the rhythm of it. But I can't help myself, no. I can't help myself, no, no. Caught up in the middle of it. No I can't help myself. No I can't help myself, no, no, no. Caught up in the rhythm of it. Maybe I'm looking something that I can't have. (maybe I'm looking something that I can't have). Maybe I'm looking something that I can't have. Everyone knows all about my transgressions. Still in my heart somewhere. there's melody and harmony. For you and me, tonight (whoa). I hear them call my name. Everybody says ""say something"". Then say something, say something. Then say something, say something. then say something. I don't want to get caught up in the rhythm of it. But I can't get help myself, no. I can't help myself, no, no. Caught up in the middle of it. No I can't help myself. no I can't help myself, no, no, no. Caught up in the rhythm of it. Maybe I'm looking something that I can't have. Maybe I'm looking something that I can't have. Maybe I'm looking something that I can't have. Maybe I'm looking something that I can't have. Sometimes the greatest the way to say something. is to say nothing at all. Sometimes the greatest the way to say something. is to say nothing at all. Sometimes the greatest the way to say something. is to say nothing. But I can't help myself. No I can't help myself, no, no. Caught up in the middle of it. No I can't help myself. No I can't help myself, no, no, no. Caught up in the rhythm of it. Maybe I'm looking something that I can't have. Maybe I'm looking something that I can't have. Maybe I'm looking something that I can't have. Maybe I'm looking something that I can't have. Sometimes the greatest the way to say something. is to say nothing at all. Sometimes the greatest the way to say something. is to say nothing at all. Sometimes the greatest the way to say something. is to say nothing"
mirrors,"Aren't you somethin' to admire. Cause your shine is somethin' like a mirror. And I can't help but notice. You reflect in this heart of mine. If you ever feel alone and. The glare makes me hard to find. Just know that I'm always. Parallel on the other side. Cause with your hand in my hand. And a pocket full of soul. I can tell you there's no place we couldn't go. Just put your hand on the glass. I'll be tryin' to pull you through. You just gotta be strong. Cause I don't wanna lose you now. I'm lookin' right at the other half of me. The vacancy that sat in my heart. Is a space that now you hold. Show me how to fight for now. And I'll tell you, baby, it was easy. Comin' back into you once I figured it out. You were right here all along. It's like you're my mirror. My mirror staring back at me. I couldn't get any bigger. With anyone else beside me. And now it's clear as this promise. That we're making. Two reflections into one. Cause it's like you're my mirror. My mirror staring back at me. Staring back at me. Aren't you somethin', an original. Cause it doesn't seem really as simple. And I can't help but stare, cause. I see truth somewhere in your eyes. I can't ever change without you. You reflect me, I love that about you. And if I could, I. Would look at us all the time. Cause with your hand in my hand. And a pocket full of soul. I can tell you there's no place we couldn't go. Just put your hand on the glass. I'll be tryin' to pull you through. You just gotta be strong. Cause I don't wanna lose you now. I'm lookin' right at the other half of me. The vacancy that sat in my heart. Is a space that now you hold. Show me how to fight for now. And I'll tell you, baby, it was easy. Comin' back into you once I figured it out. You were right here all along. It's like you're my mirror. My mirror staring back at me. I couldn't get any bigger. With anyone else beside me. And now it's clear as this promise. That we're making. Two reflections into one. Cause it's like you're my mirror. My mirror staring back at me. Staring back at me. Yesterday is history. And tomorrow's a mystery. I can see you lookin' back at me. Keep your eyes on me. Keep your eyes on me. Cause I don't wanna lose you now. I'm lookin' right at the other half of me. The vacancy that sat in my heart. Is a space that now you hold. Show me how to fight for now. And I'll tell you, baby, it was easy. Comin' back into you once I figured it out. You were right here all along. It's like you're my mirror. My mirror staring back at me. I couldn't get any bigger. With anyone else beside me. And now it's clear as this promise. That we're making. Two reflections into one. Cause it's like you're my mirror. My mirror staring back at me. Staring back at me. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. Baby, you're the inspiration for this precious song. And I just wanna see your face light up since you put me on. So now I say goodbye to the old me, it's already gone. And I can't wait wait wait wait wait to get you home. Just to let you know, you are. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. Girl you're my reflection, all I see is you. My reflection, in everything I do. You're my reflection and all I see is you. My reflection, in everything I do. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life. You are, you are the love of my life"
can't stop the feeling,"I got this feeling inside my bones. It goes electric, wavey when I turn it on. All through my city, all through my home. We're flying up, no ceiling. when we in our zone. I got that sunshine in my pocket. Got that good song in my feet. I feel that hot blood in my body when it drops. I can't take my eyes up off it. Moving so phenomenally. You gon' like the way we rock it, so don't stop. Under the lights when everything goes. Nowhere to hide. when I'm getting you close. When we move, well, you already know. So just imagine, just imagine, just imagine. Nothing I can see but you. when you dance, dance, dance. Feeling good, good, creeping up on you. So just dance, dance, dance, come on. All those things I shouldn't do. But you dance, dance, dance. And ain't nobody leaving soon, so keep dancing. I can't stop the feeling. So just dance, dance, dance. I can't stop the feeling. So just dance, dance, dance, come on. Ooh, it's something magical. It's in the air, it's in my blood, it's rushing on. I don't need no reason, don't need control. I fly so high, no ceiling, when I'm in my zone. Cause I got that sunshine in my pocket. Got that good song in my feet. I feel that hot blood in my body when it drops. I can't take my eyes up off it. moving so phenomenally. You gon' like the way we rock it, so don't stop. Under the lights when everything goes. Nowhere to hide. when I'm getting you close. When we move, well, you already know. So just imagine, just imagine, just imagine. Nothing I can see but you. when you dance, dance, dance. Feeling good, good, creeping up on you. So just dance, dance, dance, come on. All those things I shouldn't do. But you dance, dance, dance. And ain't nobody leaving soon, so keep dancing. I can't stop the feeling. So just dance, dance, dance. I can't stop the feeling. So just dance, dance, dance. I can't stop the feeling. So just dance, dance, dance. I can't stop the feeling. So keep dancing, come on. I can't stop the, I can't stop the. I can't stop the, I can't stop the. I can't stop the feeling. Nothing I can see but you. when you dance, dance, dance. (I can't stop the feeling). Feeling good, good, creeping up on you. So just dance, dance, dance, come on. (I can't stop the feeling). All those things I should do to you. But you dance, dance, dance. (I can't stop the feeling). And ain't nobody leaving soon, so keep dancing. Everybody sing. (I can't stop the feeling). Got this feeling in my body. (I can't stop the feeling). Got this feeling in my body. (I can't stop the feeling). Wanna see you move your body. (I can't stop the feeling). Got this feeling in my body. Break it down. Got this feeling in my body. Can't stop the feeling. Got this feeling in my body, come on"
what goes around.../...comes around (interlude),"Hey, girl. Is he everything you wanted in a man?. You know I gave you the world. You had me in the palm of your hand. So why your love went away. I just can't seem to understand. Thought it was me and you, baby. Me and you until the end. But I guess I was wrong. Don't wanna think about it. Don't wanna talk about it. I'm just so sick about it. I can't believe it's ending this way. Just so confused about it. Feeling the blues about it. I just can't do without ya. Tell me is this fair. Is this the way it's really going down?. Is this how we say goodbye?. Should've known better when you came around. That you were gonna make me cry. It's breaking my heart to watch you run around. Cause I know that you're living a lie. But that's ok, baby, cause in time you will find. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. Now Girl. I remember everything that you claimed. You said that you were moving on now. (on now). Maybe I should do the same. (maybe I should do the same). The funny thing about that is. I was ready to give you my name. Thought it was me and you baby. And now, it's all just a shame. That I guess I was wrong. Don't wanna think about it. Don't wanna talk about it. I'm just so sick about it. I can't believe it's ending this way. Just so confused about it. Feeling the blues about it. I just can't do without ya. Can you tell me is this fair. Is this the way it's really going down?. Is this how we say goodbye?. Shoulda known better when you came around. That you were gonna make me cry. Now it's breaking my heart to watch you run around. Cause I know that you're living a lie. But that's ok, baby, cause in time you will find. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. What goes around comes around. What goes around comes around. You should know that. What goes around comes around. What goes around comes around. You should know that. Don't wanna think about it. Don't wanna talk about it. I'm just so sick about it. I can't believe it's ending this way. Just so confused about it. Feeling the blues about it. I just can't do without ya. Can you tell me is this fair. Is this the way it's really going down?. Is this how we say goodbye?. Shoulda known better when you came around. (should've known better). That you were gonna make me cry. It's breaking my heart to watch you run around. (now it's breaking my heart). Cause I know that you're living a lie. But that's ok, baby, cause in time you will find. What goes around, goes around, goes around. Comes all the way back around. (what goes around comes around, baby). What goes around, goes around, goes around. Comes all the way back around. (what goes around comes around, baby). What goes around, goes around, goes around. Comes all the way back around. What goes around, goes around, goes around. Comes all the way back around. (let me paint this picture for ya, baby). You spend your nights alone. And he never comes home. And everytime you call him, all you get is a busy tone. I heard you found out. That he's doing to you. What you did to me. Ain't that the way it goes. When you cheated, girl. My heart bleeded, girl. So it go without saying that should let the feeling hurt. Just a classic case scenario. Tell it is always time. Girl, you got what you deserved. And now you want somebody. To cure the lonely nights. You wish you had somebody. That could come and make it right. But girl, I ain't somebody. I'm out of sympathy. See. What goes around comes back around. I thought I told ya. What goes around comes back around. I thought I told ya. What goes around comes back around. I thought I told ya. What goes around comes back around. I thought I told ya. Take it to em, J. See. You shoulda listened to me, baby. Take it to em, J. Because. What goes around comes back around"
my love (feat. t.i.),"Ain't another woman that can take your spot my. If I wrote you a symphony. Just to say how much you mean to me. (What would you do?). If I told you you were beautiful. Would you date me on the regular. (Tell me, would you?). Well, baby I've been around the world. But I ain't seen myself another girl (like you). This ring here represents my heart. But there's just one thing I need from you (say ""I do""). Yeah, because. I can see us holding hands. Walking on the beach, our toes in the sand. I can see us on the countryside. Sitting on the grass, laying side by side. You could be my baby,. let me make you my lady. Girl, you amaze me. Ain't gotta do nothing crazy. See, all I want you to do is be my love. (So don't give away) My love. (So don't give away) My love. (So don't give away). Ain't another woman that can take your spot, my love. (So don't give away) My love. (So don't give away) My love. (So don't give away). Ain't another woman that can take your spot, my love. Ooooh, girl. My love. My love. Now, if I wrote you a love note. And made you smile with every word I wrote. (what would you do?). Would that make you want to change your scene. And wanna be the one on my team (tell me, would you?). See, what's the point of waiting anymore?. Cause girl I've never been more sure. (that baby, it's you). This ring here represents my heart. And everything that you've been waiting for (just say ""I do""). Yeah, because. I can see us holding hands. Walking on the beach, our toes in the sand. I can see us on the countryside. Sitting on the grass, laying side by side. You could be my baby,. let me make you my lady. Girl, you amaze me. Ain't gotta do nothing crazy. See, all I want you to do is be my love. (So don't give away) My love. (So don't give away) My love. (So don't give away). Ain't another woman that can take your spot, my love. (So don't give away) My love. (So don't give away) My love. (So don't give away). Ain't another woman that can take your spot, my love. Ooooh, girl. My love. My love. Shorty, cool as a fan. On the new once again. Still has fan from Peru to Japan. Listen baby, I don't wanna ruin your plan. If you got a man, try to lose him if you can. Cause the girls real wild throw their hands up high. Wanna come kick it with a stand up guy. You don't really wanna let the chance go by. Because you ain't been seen wit a man so fly. Friend so fly I can go fly. Private, cause I handle mine. Call me candle guy, simply because I am on fire. I hate to have to cancel my vacation. so you can't deny. I'm patient, but I ain't gonna try. You don't come, I ain't gonna die. Hold up, what you mean,. you can't go why?. Me and you boyfriend we ain't no tie. You say you wanna kick it with an ace so high. Baby, you decide that I ain't your guy. Ain't gon lie, Me in your space. But forget your face, I swear I will. Same mark, same bullet anywhere I chill. Just bring wit me a pair, I will. I can see us holding hands. Walking on the beach, our toes in the sand. I can see us on the countryside. Sitting on the grass, laying side by side. You could be my baby,. let me make you my lady. Girl, you amaze me. Ain't gotta do nothing crazy. See, all I want you to do is be my love. (Love) My love. (Love) My love. (Love). Ain't another woman that can take your spot, my love. (Love) My love. (Love) My love. (Love). Ain't another woman that can take your spot, my love. Ooooh, girl. My love. My love"
cry me a river,"You were my sun. You were my earth. But you didn't know all the ways I loved you, no. So you took a chance. And made other plans. But I bet you didn't think. that they would come crashing down. No. You don't have to say, what you did,. I already know, I found out from him,. Now there's just no chance, for you and me,. there'll never be. And don't it make you sad about it?. You told me you loved me. Why did you leave me all alone?. Now you tell me you need me. When you call me on the phone. But girl I refuse, you must have me confused. With some other guy. Bridges are burned, now it's your turn to cry. Cry me a river. Cry me a river girl. Cry me a river. Cry me a river girl (yeah, yeah). I know that they say. That some things are better left unsaid. But it wasn't like you only talked to him. and you know it. (Don't act like you don't know it). All of these things people told me. Keep messin' with my head. (Messin' with my head). You should've picked honesty. Then you may not have blown it. (Yeah..). You don't have to say, what you did,. (Don't have to say, what you did). I already know, I found out from him. (I already know, uh). Now there's just no chance, for you and me,. there'll never be. (No chance, you and me). And don't it make you sad about it?. You told me you loved me. Why did you leave me all alone?. (All alone). Now you tell me you need me. When you call me on the phone. (When you call me on the phone). But girl I refuse, you must have me confused. With some other guy. (I'm not like them baby). Bridges are burned, and now it's your turn. (It's your turn). To cry. Cry me a river. (Go on and just). Cry me a river girl. (Go on and just). Cry me a river. (Baby go on and just). Cry me a river girl. Oh. (Oh). The damage is done. So I guess I'll be leavin'. Oh. (Oh). The damage is done. So I guess I'll be leavin'. Oh. (Oh). The damage is done. So I guess I'll be leavin'. Oh. (Oh). The damage is done. So I guess I'll be... leavin'. You don't have to say, what you did,. (Don't have to say, what you did). I already know, I found out from him. (I already know, uh). Now there's just no chance, for you and me,. there'll never be. (No chance, you and me). Don't it make you sad about it?. Cry me a river. (Go on and just). Cry me a river girl. (Baby go on and just). Cry me a river. (You can go on and just). Cry me a river girl (yeah yeah). Cry me a river (Baby go on and just). Cry me a river girl. (Go on and just). Cry me a river. (Cause I already cried). Cry me a river girl. (Don't wanna cry no more, yeah yeah). Cry me a river. Cry me a river, oh. Cry me a river, oh. Cry me a river, oh. Cry me a river, oh. (Cry me, cry me). Cry me a river, oh. (Cry me, cry me). Cry me a river, oh. (Cry me, cry me). Cry me a river, oh. (Cry me, cry me). Cry me a river, oh. (Cry me, cry me). Cry me a river, oh. (Cry me, cry me). Cry me a river oh. (Cry me, cry me)"
love never felt so good,"Dancin'. Let me see you move, come on. Dancin'. Let me see you move. Baby, love never felt so good. And I'd die if it ever could. Not like you hold me, hold me. Oh baby, love never felt so fine. And I'd doubt if it's never mine. Not like you hold me, hold me. And the night's gonna be just fine. Gotta fly, gotta see, can't believe. I can't take it. 'Cause baby, every time I love you. In and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, in out baby. 'Cause baby, love never felt so good. Baby, love never felt so fine. And I'd doubt if it was ever mine. Not like you hold me, hold me. Oh baby, love never felt so good. And I'd doubt if it ever could. Not like you hold me, hold me. And the night through the thick and thin. Gotta fly, gotta see, can't believe. I can't take it 'cause. Baby, every time I love you. In and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, in out baby. Baby, love never felt so good. Dancin'. Let me see you move, come on. Let me see you move. Dancin'. Let me see you move, come on. I said let me see you move. Michael. And the night, that is good. Gotta fly, gotta see, can't believe. I can't take it 'cause. Baby, every time I love you. In and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, trying to be crazy. 'Cause Baby, love never felt so good. Baby, every time I love you. It's in and out of my life, in out baby. Tell me, if you really love me. It's in and out of my life, trying to be crazy. Cause baby, love never felt so good. So good, oh feel good. It never felt so good. Love never felt so good. It never felt so good. It never felt so good. It never felt so good"
sexyback,"I'm bringin' sexy back. Them other boys don't know how to act!. I think it's special what's behind your back. So turn around and I'll pick up the slack!. (Take em' to the bridge!). Dirty babe. You see these shackles? Baby I'm your slave. I'll let you whip me if I misbehave!. It's just that no one makes me feel this way. (Take em' to the chorus!). Come here girl!. (Go 'head be gone with it!). Come to the back. (Go 'head be gone with it!). VIP!. (Go 'head be gone with it!). Drinks on me. (Go 'head be gone with it!). Let me see what ya tworkin' with. (Go 'head be gone with it!). Look at those hips!. (Go 'head be gone with it!). You make me smile. (Go 'head be gone with it!). Come here child!. (Go 'head be gone with it!). Get your sexy on. (Go 'head be gone with it!). I'm bringin' sexy back. Them motherfuckers dont' know how to act!. Girl let me make up for the things you lack. 'Cause you're burnin' up I gotta get it fast!. (Take em' to the bridge!). Dirty babe. You see these shackles? Baby i'm your slave. I'll let you whip if I misbehave!. It's just that no one makes me feel this way. (Take em' to the chorus!). Come here girl!. (Go 'head be gone with it!). Come to the back. (Go 'head be gone with it!). VIP!. (Go 'head be gone with it!). Drinks on me. (Go 'head be gone with it!). Let me see what ya tworkin' with. (Go 'head be gone with it!). Look at those hips!. (Go 'head be gone with it!). You make me smile. (Go 'head be gone with it!). Come here child!. (Go 'head be gone with it!). Get your sexy on. (Go 'head be gone with it!) (x8). You ready?. You ready?. You ready?. Uh (yeah). I'm bringin' sexy back. You motherfuckers watch how I attack. If that's your girl, better watch your back. 'Cause she'll burning up for me, and that's a fact. (Take em' to the chorus!). Come here girl!. (Go 'head be gone with it!). Come to the back. (Go 'head be gone with it!). VIP!. (Go 'head be gone with it!). Drinks on me. (Go 'head be gone with it!). Let me see what ya tworkin' with. (Go 'head be gone with it!). Look at those hips!. (Go 'head be gone with it!). You make me smile. (Go 'head be gone with it!). Come here child!. (Go 'head be gone with it!). Get your sexy on. (Go 'head be gone with it!). You ready? (Yes). You ready? (Yes). Yes"
suit & tie (feat. jay z),"I be on my suit and tie, shit tied, shit tied. I be on my suit and tie, shit tied, shit. Can I show you a few things?. A few things, a few things, little baby cause. I be on my suit and tie, shit tied, shit. I be on my suit and tie, shit tied, shit. Let me show you a few things. Let me show you a few things. Wait a minute. You ready, Jt?. I can't wait til I get you on the floor, good-looking. Going hot so hot, just like an oven. And oww, burned myself, but just had to touch it. But it's so fire and it's all mine. Hey baby. We don't mind all the watching. Cause if they study close, real close. They might learn something. She ain't nothing but a little doozie when she does it. She's so fire tonight. And as long as I've got my suit and tie. I'ma leave it all on the floor tonight. And you got fixed up to the nines. Let me show you a few things. All pressed up in black and white. And you dressed in that dress I like. Love is swinging in the air tonight. Let me show you a few things. Let me show you a few things. Show you a few things about love. Now we're in the swing of love. Let me show you a few things. Show you a few things about love. Hey. Stop. Let me get a good look at it. So thick. Now I know why they call it a fatty. Shit so sick got a hit and picked up a habit. But that's alright, cause you're all mine. Go on and show 'em who you call daddy. I guess they're just mad cause girl. They wish they had it. My killer, my thiller. Yeah you're a classic. And you're all mine tonight. And as long as I've got my suit and tie. I'ma leave it all on the floor tonight. And you got fixed up to the nines. Let me show you a few things. All pressed up in black and white. And you dressed in that dress I like. Love is swinging in the air tonight. Let me show you a few things. Let me show you a few things. Show you a few things about love. Now we're in the swing of love. Let me show you a few things. Show you a few things about love. Hey. Hey, get out your seat, Hov. All black at the white shows. White shoes at the black shows. Green card for the Cuban links. Y'all sit back and enjoy the light show. Nothing exceeds like excess. Stoute got gout from having the best of the best. Is this what it's all about?. I'm at the restaurant. My rant disturbing the guests. Years of distress, tears on the dress. Try to hide her face with some makeup sex. This is truffle season. Tom Ford tuxedos for no reason. All saints for my angel. Alexander Wang too. Ass-tight Denim and some Dunks. I'll show you how to do this young!. No papers, catch vapors. Get high, out Vegas. D'Usses on doubles ain't looking for trouble. You just got good jeans so a nigga tryna cuff you. Tell your mother that I love her cause I love you. Tell your father we go farther as a couple. They ain't lose a daughter, got a son. I show you how to do this, hun!. And as long as I've got my suit and tie. I'ma leave it all on the floor tonight. And you got fixed up to the nines. Let me show you a few things. All pressed up in black and white. And you're dressed in that dress I like. Love is swinging in the air tonight. Let me show you a few things. Let me show you a few things. Show you a few things about love. Let me show you a few things. Show you a few things about love. Hey"
true colors (feat. anna kendrick),"You with the sad eyes. Don't be discouraged. Oh, I realize. It's hard to take courage. In a world full of people. You can lose sight of it all. And the darkness inside you. Can make you feel so small. Show me a smile then. Don't be unhappy, can't remember. When I last saw you laughing. This world makes you crazy. And you've taken all you can bear. Just call me up. Cause I will always be there. And I see your true colors. Shining through. I see your true colors. And that's why I love you. So don't be afraid to let them show. Your true colors. True colors are beautiful. I see your true colors. Shining through. I see your true colors. And that's why I love you. So don't be afraid to let them show. Your true colors. True colors are beautiful. Like a rainbow. Oh like a rainbow. I can't remember. When I last saw you laughing. This world makes you crazy. And you've taken all you can bear. Just call me up. Cause I will always be there. And I see your true colors. Shining through. I see your true colors. And that's why I love you. So don't be afraid (don't be afraid) to let them show. Your true colors. True colors are beautiful. Like a rainbow. Oh like a rainbow"
