"monster (feat. jay-z, nicki minaj, rick ross, bon iver)","[Bon Iver]. I shoot the lights out. Hide til its bright out. Whoa, just another lonely night. Are you willing to sacrifice your life?. [Rick Ross]. Bitch I'm a monster no good blood sucker. Fat muthaf-cker now look who's in trouble. As you run through my jungle all you hear is. rumbles. Kanye west sample, here's one for example. [Kanye West]. Gossip gossip. N-ggas just stop it. Everybody know (I'm a muthaf-cking monster). I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the concert. Profit profit, n-gga I got it. Everybody know I'm a muthaf-cking monster. I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the ..... The best living or dead hands down huh?. Less talk more head right now huh?. And my eyes more red than the devil is. And I'm bout to take it to another level bitch. There you go again, aint nobody as cold as this. Do the rap and the track triple double no assist. And my only focus is staying on some bogus sh-t. Argue with my older bitch acting like I owe her sh-t. I heard the people sayin raps are gettin trap mayne. Bought the chain that always give me back pain. F-ckin up my money so yeh I had to act sane. Chi n-gga but these hoes love my accent. She came up to me and said this the number 2. If you wanna make it number one your number 2 now. This that goose an' malibu I call it malibooya. God damn Yeezy how I hit em with the new style. Know that muthaf-cker well, what you gon do now. Whatever ever I wanna do, gosh its cool now. Nah gonna do, uhh its a new now. Think yo muthaf-cker really reall need to cool down. Cause you will never get on top off this. So mommy best advice is to get on top of this. Have you ever had sex with a pharaoh. I put the p-ssy in a sarcophagus. Now she claiming I bruise her esophagus. Head of the class and she just want a swallowship. I'm living the future so the presence is my past. My presence is a present kiss my ass. [Kanye West]. Gossip gossip. N-ggas just stop it. Everybody know (I'm a muthaf-cking monster). I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the concert. Profit profit, n-gga I got it. Everybody know I'm a muthaf-cking monster. I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the ..... [Jay-Z]. Sasquatch, godzilla, king kong. Lochness, goblin, ghoul, a zombie with no conscience. Question what do all these things have in common. Everybody knows I'm a muthaf-cking monster. Conquer, stomp ya, stop your silly nonsense. None of you n-ggas know where the swamp is. None of you n-ggas have seen the carnage that I've seen. I still here fiends scream in my dream. Murder murder in black convertibles. I kill a block I murder avenues. I rape and pillage a village, women and children. Everybody wanna know what my achilles heel is. Love I dont get enough of it. All I get is these vampires and blood suckers. All I see is these n-ggas I've made millionaires. Milling about, spilling there feelings in the air (shot at beanie?). All I see is these fake f-cks with no fangs. Tryna draw blood with my ice cold veins. I smell a massacre. Seems to be the only way to back you bastards up. [Kanye West]. Gossip gossip. N-ggas just stop it. Everybody know (I'm a muthaf-cking monster). I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the concert. Profit profit, n-gga I got it. Everybody know I'm a muthaf-cking monster. I'ma need to see your f-cking hands at the concert. I'ma need to see your f-cking hands at the ..... [Nicki Minaj]. Pull up in the monster. Automobile gangster. With a bad b-tch that came from Sri Lanka. Yeah I'm in that tonka, colour of Willy Wonka. You could be the king but watch the queen conquer. Ok first things first I'll eat your brains. Then I'mma start rocking gold teeth and fangs. Cause that's what a muthaf-cking monster do. Hairdresser from Milan, thats the monster do. Monster giuseppe heel that's the monster shoe. Young money is the roster and the monster crew. And I'm all up all up all up in the bank with the funny face. And if I'm fake I aint notice cause my money aint. Let me get this straight wait I'm the rookie. But my features and my shows ten times. your pay?. 50k for a verse, no album out!. Yeah my money's so tall that my barbie's gotta climb it. Hotter than a middle eastern climate. Find it tony matterhorn Dutty Wine it. While it, Nicki on them titties when I sign it. How these n-ggas so one-track minded. But really really I don't give a f-u-c-k. Forget Barbie f-ck Nicki she's fake. She's on a diet but my pockets eating cheese cake. And I'll say bride of Chucky is child's play. Just killed another career it's a mild day. Besides 'ye they can't stand besides me. I think me, you and am (amber rose) should menage friday. Pink wig thick ass give em whip lash. I think big get cash make em blink fast. Now look at what you just saw I think this is what you live for. Aaaahhh, I'm a muthaf-cking monster!. [Bon Iver]. I-I crossed the line-line. And I'll-I'll let God decide-cide. I-I wouldn't last these shows. So I-I am headed home"
i love it (feat. lil pump & adele givens),"'Cause you know in the old days. They couldn't say the shit they wanted to say. They had to fake orgasms and shit. We can tell niggas today. ""Hey, I wanna cum, mothafucka! "". You're such a fuckin' ho, I love it (I love it). You're such a fuckin' ho, I love it (I love it). You're such a fuckin' ho, I love it (love it, love it). (I'ma fuck a bitch, tell her cousin). Your boyfriend is a dork, Mclovin (dork). (Mclovin; ooh, ooh, ooh). I just pulled up in a Ghost (Ghost). Fucked that bitch up out in London (up out in). Then I fucked up on her cousin. Or her sister, I don't know nothin' (uh-uh, woo). And my niggas gettin' ignorant. Like a lighter, bitch, we ignant (ignant, yeah). All this water on my neck. Look like I fell when I went fishin' (fell!). So much diamonds on my bust down. Ooh, fuck, what's the time? (where we at?). Me and Smokepurpp sippin' drank (ayy). Ooh, fuck, she take lines (lines). You're such a fuckin' ho, I love it (I love it, scoop!). You're such a fuckin' ho, I love it (I love it). You're such a fuckin' hoe. When the first time they ask you if you want sparklin' or still?. Are you tryin' to act like you was drinkin' sparklin' water 'fore you came out here?. You're such a fuckin' h-. I'm a sick fuck, I like a quick fuck (whoop!). I'm a sick fuck, I like a quick fuck (whoop!). I'm a sick fuck, I like a quick fuck (whoop!). I'm a sick fuck, I like a quick fuck (whoop!). I'm a sick fuck, I like a quick fuck. I like my dick sucked, I'll buy you a sick truck. I'll buy you some new tits, I'll get you that nip-tuck. How you start a family? The condom slipped up. I'm a sick fuck, I'm inappropriate. I like hearin' stories, I like that ho shit. I wanna hear mo' shit, I like the ho shit. Send me some mo' shit, you triflin' ho bitch (bitch, bitch, bitch). You're such a fuckin' ho, I love it (I love it). You're such a fuckin' ho, I love it (I love it). 'Cause you know in the old days. They couldn't say the shit they wanted to say. They had to fake orgasms and shit. We can tell niggas today. ""Hey, I wanna cum, mothafucka! """
stronger,"(Work it, make it, do it,. Makes us harder, better, faster, STRONGER!). (Work it harder make it better,. do it faster makes us stronger,. more than ever, never after,. Our work here is never over). N-now th-th-that that don't kill me. Can only make me stronger. I need you to hurry up now. Cause I can't wait much longer. I know I got to be right now. Cause I can't get much wronger. Man I been waitin' all night now. That's how long I've been on ya. I need ya right now. I need ya right now. Let's get lost tonight. You can be my black Kate Moss tonight. Play secretary im the boss tonight.. And you don't give a fuck what they all say, right?. Awesome, the Christian in Christian Dior. Damn they don't make 'em like this anymore. I ask, cause I'm not sure. Do anybody make real shit anymore?. Bow in the presence of greatness. Cause right now thou has forsaken us. You should be honored by my lateness. That I would even show up to this fake shit. So go ahead go nuts, go ape shit. Especially in my Pastelle, my BAPE shit. Act like you can't tell who made this. New gospel homey take six, and take this, haters. N-n-now th-that that don't kill me. Can only make me stronger. I need you to hurry up now. Cause I can't wait much longer. I know I got to be right now. Cause I can't get much wronger. Man I been waitin' all night now. That's how long I've been on ya. I need you right now. I need you right now. I don't know if you got a man or not. If you made plans or not. If God put me in your plans or not. I'm trippin', this drink got me sayin' alot. But I know that God put you in front of me. So how the hell could you front on me. There's a thousand yous. And only one of me's. I'm trippin', I'm caught up in the moment right?. 'Cause it's Louis Vuitton Don night. So we goin' do everything that Kan like. Heard they'd do anything for a Klondike. Well I'd do anything for a blonde dyke. And she'll do anything for the limelight. And we'll do anything when the time's right. Ugh, baby you're makin' it. (Harder, better, faster, stronger). N-n-now th-that that don't kill me. Can only make me stronger. I need you to hurry up now. Cause I can't wait much longer. I know I got to be right now. Cause I can't get much wronger. Man I been waitin' all night now. That's how long I've been on ya. I need you right now. I need you right now. You know how long I've been on ya?. Since prince was on Apollonia. Since OJ had Isotoners. Don't act like I never told ya [x5]. (Harder, better, faster, stronger). N-n-now th-that that don't kill me. Can only make me stronger. I need you to hurry up now. Cause I can't wait much longer. I know I got to be right now. Cause I can't get much wronger. Man I been waitin' all night now. That's how long I've been on ya. I need you right now. I need you right now. I need you right now. i need you right now. You know how long I've been on ya?. Since prince was on Apollonia. Since OJ had Isotoners. Don't act like I never told ya [x2]. Never told ya [x7]"
diamonds from sierra leone (remix) (feat. jay-z),"[Intro]. Diamonds are forever. They're all I need to please me. They can't stimulate or tease me. They won't leave in the night. Have no fear that they might. Desert me. [Hook]. ""Diamonds are forever forever forever"". Throw ya diamonds in the sky. If you feel the vibe. ""Diamonds are forever forever forever"". The ROC is still alive. Everytime I rhyme. ""Forever and ever!"". For ever ever? for ever ever? ever ever?. Ever ever? ever ever? ever ever? ever ever?. [Verse 1]. Good Morning, this ain't Vietnam still. People lose hands, legs, arms for real. Little was known of Sierra Leone. And how it connect to the diamonds we own. When I speak of Diamonds in this song. I ain't talkin bout the ones that be glown. I'm talkin bout Rocafella, my home, my chain. These ain't conflict diamonds,is they Jacob? don't lie to me mayne. See, a part of me sayin' keep shinin',. How? when I know of the blood diamonds. Though it's thousands of miles away. Sierra Leone connect to what we go through today. Over here, its a drug trade, we die from drugs. Over there, they die from what we buy from drugs. The diamonds, the chains, the bracelets, the charmses. I thought my Jesus Piece was so harmless. 'til I seen a picture of a shorty armless. And here's the conflict. It's in a black person's soul to rock that gold. Spend ya whole life tryna get that ice. On a polar rugby it look so nice. How could somethin' so wrong make me feel so right, right?. 'fore I beat myself up like Ike. You could still throw ya Rocafella diamond tonight, 'cause. [Hook]. [Verse 2]. [Kanye]. People askin' me is I'm gon' give my chain back (uh). That'll be the same day I give the game back (uh). You know the next question dog 'yo, where Dame at?'(uh). This track the Indian dance to bring our reign back (whoo!). 'wassup wit you a Jay man, are ya'll okay man?'. [Jay-Z]. Yep!. I got it from her 'ye damn!. The chain remians, the gang is in tact. The name is mine, I'll take blame for that. The pressure's on, but guess who ain't gon' crack? (laughs). Part of me I had to laugh at that. How could you falter when you're the rock of gibralter. I had to get of the boat so I could walk on water. This ain't no tour order, this is nothin to me. Difficult takes a day, impossible takes a week. I do this in my sleep,. I sell Kilos of coke, (so?) I'm guessin' I can sell CD's. I'm not a buisness man I'm a buisness, man. Let me handle my buisness, damn!. Kanyeez you got me, Freeway and Foxy. YG', Teairra Mari, Petey watch me. Bleek could be one hit away his whole career. As long as I'm alive, he's a millionaire. And even if I die, he's in my will somewhere. So he can just kick back and chill somewhere, oh yeah. He don't even have to write rhymes. The Dynasty like my money last three lifetimes. Shirley Bassey was in the rear sayin exactly. What I was sayin practically me whole carreer. The diamond is forever, I been mindin' this forever. Now the Louis Vuitton Don's timin' couldn't be better. People lined up to see the Titanic sinkin'. Instead we rose from the ash like a phoenix. If you watin for the end, the dynasty signed. And what seemed like forever is a mighty long time. I'm young bitches [laughs]. Goodnight!"
"see me now (feat. beyoncé, charlie wilson, big sean)","I know you see me now right now. (I know you see me now right now). I know you see me now right now. (You see). I know you see me now right now. (Right now). I know you see me now right now. I got my suit and tie. And I don't know if y'all know. Well, maybe y'all do. Or maybe y'all don't. But I don't really care. It's how we on it all the time. So I'ma get my money. Let's go. Now, I'ma need you to kill the hypocrisy. This is an aristocracy. I'm Socrates, but my skin more chocolately. What's up with who? That's old news. I'm in a speedboat, in my boat shoes. Huh? I swear my whole collection's so cool. I might walk in Nobu with no shoes. ""He just walked in Nobu like it was Whole Foods!. That nigga crazy, I told you!"". Immature adult (uh huh), insecure asshole (what else?). And if you fall on the concrete, that's yo' ass fault. If you pass on a Kon beat, that's yo' last fault. Get what you ask for, I swear that's yo' ass, so. She got a big booty, but she couldn't drop that ass low. 'Til you take yo' last ho, and rope up all the cash flow. When you gettin' money, they be all up on yo' ass, yo. When you gettin' money Kons don't let a nigga pass go. Straight to jail, yo, in a hellhole. Right next to Lucifer, tell 'em I say hello. Ask him if I'ma be there soon and tell 'im I said ""Hell, no!"". Yo, what you say when your people get out of jail, huh?. My niggas is home. I guess I got everything. Everything I want. But I don't. No matter how good it gets. It'll never be like before. No women in the crowd. Screamin' and it's loud. Doin' things not allowed. And I swear it's goin' down right now. I know one thing, my mama would be proud. And you see me lookin' up. 'Cause I know she's lookin' down right now. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. Pour the champagne, let your watch show. Shorty got a man watch, wrist look colossal. I admit my first watch was a Fossil. Now I'm in the Louvre, lookin' for fossils. Attention to detail is so uncanny. And the whip's on the Sprewells, it's so un-Camry. Somebody need to put us on camera. The world of Rollies and everyone families. Stay Jordan fresh, suits and Ferraris. Cute, your shorty watch Barneys, we at de Bonny's. End up at Marley, Georgi, and service from Sergio. Da Kine Lamborghini, the chain throw off the vertigo. I know the flow just hit a hellafied vertical. This the Christ year, last year was magic, thirty-two. Lyrically, can't none of y'all murder 'Ye. 'Cause y'all raps ain't got no vertebrae. I got styled last June and she heard of me. I killed the fur last Paris, raised the murder rate. First of all, we all know the beats is. Like a mix between Fergie and Jesus. Imagine the direction of this Immaculate conception. Every one of His Majesty's swim parties is paegantries. Cannonball off the diving board when I aboard. All my homies Gds, but I am lord. Rap god, Greek mythology. And this life too crazy to think logically. Here's something that you could use in analogy. My life is like a child's illusions become reality. Now go get my throne. 'Cause I don't wanna stop. I just go in my zone. And I'ma make it hot. 'Til it's time to go. When it's time to go. Where you tryna go?. You better act like you can see me now. Exactly!. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. I know you see me. I know you see me. I know you see me. It's like I'm 3d. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. I know you see me. I know you see me. I know you see me. It's like I'm 3d. I know you see me now right now. (I know you see me now right now). I know you see me now right now. (Right now, right now). I know you see me now right now. (Right now). I know you see me now right now. Hey, feel like one of those old R. Kelly joints, right?. I bet they put me back on the cover of Ebony now. I know Jet Magazine callin' right now. You lookin' good today, too. I like that. You got your new suit on. And she got the extra cute on. I know you thinkin' ""This that Yeezy we all love"". I'm back, baby. We back, baby!. Uncle Charlie, by the way. And I'mma let you finish, but I got Beyonce on the track. That's what it is. Black excellence, baby. We the elite. We the greatest in the world!. We the greatest in the world!. Yeah, Lex Luger, No I.D., Yeezy"
gold digger (feat. jamie foxx),"[Jamie Foxx]. She take my money, when I'm in need. Yea she's a trifflin friend indeed. Oh she's a gold digga way over town. That dig's on me. [Chorus:]. (She give me money). Now I aint sayin she a gold digger. (When I'm Need). But she aint messin wit no broke niggaz. (She give me money). Now I aint sayin she a gold digger. (When I'm need). But she aint messin wit no broke niggaz. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head. [Verse 1:]. Cutie the bomb. Met her at a beauty salon. With a baby louis vuitton. Under her underarm. She said I can tell you Roc. I can tell by ya charm. Far as girls you got a flock. I can tell by ya charm and ya arm. But I'm lookin for the one have you seen her?. My psychic told me she have a ass like Serena,. Trina, Jennifer Lopez, four kids. An I gotta take all they bad asses to show-biz. Ok get ya kids but then they got they friends. Pulled up in the Benz, they all got up In. We all went to Din and then I had to pay. If you fuckin with this girl then you betta be payed. You know why It take too much to touch her.. From what I heard she got a baby by Busta. My best friend say she use to fuck wit Usher. I dont care what none of yall say I still love her. [Chorus:]. (She give me money). Now I aint sayin she a gold digger. (When I'm Need). But she aint messin wit no broke niggaz. (She give me money). Now I aint sayin she a gold digger. (When I'm need). But she aint messin wit no broke niggaz. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head. [Verse 2:]. 18 years, 18 years. She got one of yo kids got you for. 18 years I know somebody payin child support for one of his kids. His baby momma's car and crib is bigger than his. You will see him on Tv. Any Given Sunday Win the Superbowl and drive off in a Hyundai. She was suppose to buy ya shorty Tyco with ya money. She went to the doctor got lypo with ya money. She walkin around lookin like Michael with ya money. Should of got that insured got Geico for ya moneeey If. You aint no punk holla. We Want Prenup We Want Prenup!,. Yeaah. It's something that you need to have. Cause when she leave yo ass she gone leave with half. 18 years, 18 years. And on her 18th birthday he found out it wasn't his. . [Chorus:]. (She give me money). Now I aint sayin she a gold digger. (When I'm Need). But she aint messin wit no broke niggaz. (She give me money). Now I aint sayin she a gold digger. (When I'm need). But she aint messin wit no broke niggaz. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head. [Verse 3:]. Now I aint sayin you a gold digger you got needs. You dont want ya dude to smoke but he can't buy weed. You go out to eat and he cant pay yall cant leave. There's dishes in the back, he gotta roll up his sleeves. But why yall washin watch him. He gone make it into a Benz out of that Datson. He got that ambition baby look in his eyes. This week he moppin floorz next week it's the fries. So, stick by his side I know his dude's ballin but yea thats nice. And they gone keep callin and tryin. But you stay right girl. But when you get on he leave yo a** for a white girl. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head get down. (I gotta leave) get down girl go head. Let me hear that back"
"all of the lights (feat. rihanna, kid cudi)","All of the lights (all of the lights). (Lights, lights). All of the lights (all of the lights). [Rihanna]. Turn up the lights in here baby. Extra bright, I want y'all to see this. Turn up the lights in here, baby. You know what I need. Want you to see everything. Want you to see all of the lights. (All of the lights). Fast cars, shooting stars. (All of the lights, all of the lights). Until it's Vegas everywhere we are. (All of the lights, all of the lights). If you want it you can get it for the rest of your life. If you want it you can get it for the rest of your life. [Kanye West]. Something wrong. I hold my head. Mj gone...our n-gga dead!. I slapped my girl, she called the feds. I did that time and spent that bread. I'm heading home, I'm almost there. I'm on my way, heading up the stairs. To my surprise, a n-gga replacing me. I had to take 'em to that ghetto university. [Chorus]. All of the lights. Cop lights, flash lights, spot lights. Strobe lights, street lights. (All of the lights, all of the lights). Fast life, drug life. Thug life, rock life. Every night. (All of the lights). [Rihanna]. Turn up the lights in here, baby. Extra bright, I want y'all to see this. Turn up the lights in here, baby. You know what I need, want you to see everything. Want you to see all of the lights. [Kanye West]. Restraining order. Can't see my daughter. Her mother, brother, grandmother hate me in that order. Public visitation. We met at Borders. Told her she take me back. I'll be more supportive. I made mistakes. I bump my head. Courts suck me dry. I spent that bread. She need a daddy. Baby please, can't let her grow up in that ghetto university. [Chorus]. All of the lights. Cop lights, flash lights, spot lights. Strobe lights, street lights. (All of the lights, all of the lights). Fast life, drug life. Thug life, rock life. Every night. (All of the lights). [Rihanna]. Turn up the lights in here, baby. Extra bright, I want y'all to see this. Turn up the lights in here, baby. You know what I need, want you to see everything. Want you to see all of the lights. [Kid Cudi]. Getting mine, baby. Gotta let these n-ggas know, yeah. Get it right, ay. You should go and get your own. Getting mine, baby. Gotta let these n-ggas know, yeah. Get it right, ay. You should go and get your own. [Fergie]. Unemployment line, credit card declined. Did I not mention I was about to lose my mind?. (My mind, my mind, my mind). And also was about to do that line. Okay, okay, you know we going all the way this time. (This time, this time, this time). We going all the way this time. (Time, time, time, time). We going all the way this time. We going all the way this time. We going all the way this time. Turn up the lights in here, baby. Extra bright, I want y'all to see this. Turn up the lights in here, baby. You know what I need, want you to see everything. Want you to see all of the lights. [Alicia Keys]. Whoaa-oh-whoa. Whoaa-oh-whoa-oh. [Elton John]. I tried to tell you but all I could say is ohhhh. [Alicia Keys]. Whoaa-oh-whoa. Whoaa-oh-whoa-oh. [Elton John]. I tried to tell you but all I could say is ohhhh. [Alicia Keys]. Whoaa-oh-whoa. Whoaa-oh-whoa-oh. [Elton John]. I tried to tell you but all I could say is ohhhh"
lollipop (remix),"[Intro - Lil Wayne]. No homo. I say he's so sweet, make her wanna lick the wrapper. [Verse 1 - Kanye West]. Lollipop, lollipop. Breasts is just like Dolly Parton. She ride my spaceship 'til she hit the top. That hit the spot, 'til she ask. ""How many li-I-li-I-licks do it take 'til she get to shop?"". Don't worry why my wrists got so freeze?. Tell her, ""Girl, like Doritos, that's nacho cheese"". Tell her friends, ""Like Fritos, I'm tryin to lay. I can't only have one and I ain't tryin to wait"". This a song with Wayne, so you know it's gonna melt. But you ain't finna murder me like everybody else. I'mma rap like I got some type of respect for myself. I don't do it for my health, man I do it for the belt. Man, I do it to the death, 'til the roof get melt. Hundred degrees, drop the roof, so the coupe don't melt. Man, the flow so cold chicken soup won't help. We need fo' mo' hoes, we need Mo-oh-oh!. You know what it is when we're outta town. We ball in 2 seats, and you out of bounds. So come here baby girl. You're now fuckin' with the best in the world. [Hook]. She lick me like a lollipop. Shawty want a thug. Bottles in the club. Shawty wanna hump, you know. I like to touch you're lovely lady lumps. [Verse 2 - Lil Wayne]. Shawty say she wanna lick the wrapper. And she gonna lick the rapper. And I just wanna act like a porno-flicking actor. I Anita Bake-her, now she caught up in that Rapture. I got so much chips, I swear they call me Hewlett Packard. I got so much chips you can have a bag if you're a snacker. Greedy mutha-fudge cake, now tell me how that fudge tastes. I do it for bloods' sake, soo-woo think it's voodoo. How that roof do di-di-dissipate, your girl wants to participate. She so so sophisticate, cause her brain is off the chain. And then my diamonds are in the choir,. because they sang from off my chain. And my Nina just joined the gang, because, all she do is bang!. Like Ricky Martin; Wayne and Kanye: pick your poison. If that woman wanna cut, then tell her I am Mr. Ointment. Tell her to make an appointment with. Mr. I-can't-make-an-appointment. Take my lollipop and enjoy it. [Hook]. [Verse 3 - Lil Wayne]. Why would she? She probably be the odd cookie. In the plastic bag 'bout to get crushed by a building. I flushed out the feeling of me being the shit. Cause I was leaving skid marks on everywhere I sit. I am everywhere, I'm it like, Hide-n-Go. And I can go anywhere: innie, minnie, miney, mo. I'm in your neighborhood, area, Cd thing, tape deck. Ipod, your girlfriend - and she say I got great sex. Safe sex is great sex, better wear a latex. Cause you don't want that late text, that ""I think I'm late"" text. So wrap it up!. But he's so sweet she wanna lick the wrapper"
famous (feat. rihanna & swizz beats),"Man I can understand how it might be. Kinda hard to love a girl like me. I don't blame you much for wanting to be free. I just wanted you to know. Swizz told me let the beat rock. For all my Southside niggas that know me best. I feel like me and Taylor might still have sex. Why? I made that bitch famous. (God damn!). I made that bitch famous. For all the girls that got dick from Kanye West. If you see 'em in the streets give 'em Kanye's bests. Why? They mad they ain't famous. (God damn!). They mad they're still nameless. (Talk that talk man). Her man in the store tryna try his best. But he just can't seem to get Kanye fresh. But we still hood famous. (God damn!). Yeah we still hood famous. I just wanted you to know. I loved you better than your own kin did. From the very start. I don't blame you much for wanting to be free. (Wake up Mr. West). I just wanted you to know. I be Puerto Rican day parade floatin'. That Benz Marina Del Rey coastin'. She be puerto rican day wavin. Last month I helped her with the car payment. Young and we alive, whoo!. We never gonna die, whoo!. I just copped a jet to fly over personal debt. Put one up in the sky. The sun is in my eyes, whoo!. Woke up and felt the vibe, whoo!. No matter how hard they try, whoo!. We never gonna die. I just wanted you to know. Bam bam, bam bam. Bam bam dilla, bam bam. 'ey what a bam bam. How you feeling right now, let me see you ladies in the air. Bam bam dilla, bam bam. Bam bam eh. Bam bam, bam bam. Let me see your middle finger in the air. Bam bam, bam bam. Bam bam dilla, bam bam. Let me see you act up in this mother fucker. 'ey what a bam bam. Bam bam dilla, bam bam. How you feelin', how you feelin. How you feelin' in this mother fucker, god damn. Bam bam. One thing you can't do it stop us now. Bam bam, bam bam. Bam bam dilla, bam bam. You can't stop the thing now. 'ey what a bam bam. Man it's way too late, it's way too late. It's way too late you can't fuck with us. Bam bam dilla, bam bam. Bam bam, bam bam. Bam bam, bam bam. To the left, to the right. Bam bam dilla, bam bam. I wanna see everybody's hands in the air like this. 'ey what a bam bam. Bam bam, bam bam. Bam bam dilla, bam bam. I just wanted you to know. I loved you better than your own kin did. From the very start. I don't blame you much for wanting to be free. I just wanted you to know"
runaway,"(Kanye West). (Look at you x 14). (Look at you x eight). (Ladies and gentlemen, la-ladies and gentlemen). (And I want to show you how you all look like. beautiful stars tonight). (And I want to show you how you all look like. beautiful stars tonight). (And I want to show you how you all look like. beautiful stars tonight). And I always find, yeah,. I always find somethin' wrong. You been puttin' up wit' my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. Let's have a toast for the douchebags,. Let's have a toast for the assholes,. Let's have a toast for the scumbags,. Every one of them that I know. Let's have a toast for the jerkoffs. That'll never take work off. Baby, I got a plan. Run away fast as you can. She find pictures in my email. I sent this girl a picture of my, hey!. I don't know what it is with females. But I'm not too good with that, hey!. See, I could have me a good girl. And still be addicted to them hoodrats. And I just blame everything on you. At least you know that's what I'm good at. See, I always find. And I always find. Yeah, I always find somethin' wrong. You been puttin' up with my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. Let's have a toast for the douchebags,. Let's have a toast for the assholes,. Let's have a toast for the scumbags,. Every one of them that I know. Let's have a toast for the jerkoffs. That'll never take work off. Baby, I got a plan. Run away fast as you can. R-r-ru-ru-ru-run away. Run away from me, baby. (Look at, look at, look at, look at you). Run away from me, baby. (Look at you, look at you, look at you). Run away. Run away from me, baby. (Pusha T). 24/7, 365, Jenny stays on my mind. I-I-I-I did it, all right, all right, I admit it. Now pick your best move,. you could leave or live wit' it. Ichabod Crane with that Lamborghini top off. Split and go where? Back to wearin' knockoffs, huh?. Knock it off, Neiman's, shop it off. Let's talk over mai tais, waitress, top it off. (Inaudible) Wanna fly in your Freddy loafers. You can't blame 'em, they ain't never seen Versace. sofas. Every bag, every blouse, every bracelet. Comes with a price tag, baby, face it. You should leave if you can't accept the basics. Plenty bitches in the baller-player's matrix. Invisibly set, the Rolex is faceless. I'm just young, rich, and tasteless. P!. (Kanye). Oh. I haven't fucked in so long. You been puttin' up with my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. (Ladies and gentlemen! ). Yeah, I always find somethin' so wrong. You been puttin' up with my shit just way too long. I'm so gifted at findin' what I don't like the most. So I think it's time for us to have a toast. Let's have a toast for the douchebags,. Let's have a toast for the assholes,. Let's have a toast for the scumbags,. Every one of them that I know. Let's have a toast for the jerkoffs. That'll never take work off. Baby, I got a plan. Run away fast as you can"
