nights like this (feat. ty dolla $ign),"You act like you need remindin'. Tryna do it over. Bring it back and rewind it. But all that glitters isn't gold. I was blinded. Should have never gave you my heart on consignment. And I can't believe the lies that I went for. Thought you was mine. But you decided to be with him though. You took my feelings. And just threw 'em out the window. Feel like it's too hard to fall in love again, no. On some nights like this, shawty. I can't help but think of us. I've been reminiscin', sippin', missin' ya. Can you tell me what's with all this distant love?. If I called, would you pick it up?. On some nights like this. I just wanna text you, but for what?. You gon' say you want me, then go switch it up. Just gon' play with my emotions just because, no (Oh). All them times I played the fool for you. Thinkin' we could put it back together. Thought we had forever. You never see my point of view. Our connection is so severed. You don't show no effort. And I can't believe the lies that I went for. Thought you was mine. But you decided to be with him though. You took my feelings. And just threw 'em out the window. Feel like it's too hard to fall in love again, no. On some nights like this, shawty. I can't help but think of us. I've been reminiscin', sippin', missin' ya. Can you tell me what's with all this distant love?. If I called, would you pick it up?. On some nights like this. I just wanna text you, but for what?. You gon' say you want me, then go switch it up. Just gon' play with my emotions just because, no (Oh). You gon' get my hopes high, girl. You gon' get my hopes high, girl. Just gon' tell me more lies, girl. Just gon' get my hopes high, girl. I've been way too good to you. You take me for granted. You was my day one. Since back at Big B's house on Adams. First day that we met. I flagged you down, I told you, ""Hit my line"". Used to promise me. You'd never switch on me like Gemini. You think I'm a fool, ain't nobody stupid. I see all the signs, I see all the clues. Yeah, sometimes. I reminisce 'bout that shit when I'm bingin'. Can't believe it's been a whole year, yeah, but. On some nights like this, shawty. I can't help but think of us. I've been reminiscin', sippin', missin' ya (Missin' ya). Can you tell me what's with all this distant love? (Love). If I called, would you pick it up?. On some nights like this. I just wanna text you. But for what?. You gon' say you want me, then go switch it up (Switch it up). Just gon' play with my emotions just because, no (Oh). You gon' get my hopes high, girl. You gon' get my hopes high, girl. Just gon' tell me more lies, girl. Just gon' get my hopes high, girl"
gangsta,"I need a gangsta. To love me better. Than all the others do. To always forgive me. Ride or die with me. That's just what gangsters do. I'm fucked up, I'm black and blue. I'm built for it, all the abuse. I got secrets, that nobody, nobody,. nobody knows. I'm good on, that pussy shit. I don't want, what I can get. I want someone, with secrets. That nobody, nobody, nobody knows. I need a gangsta. To love me better. Than all the others do. To always forgive me. Ride or die with me. That's just what gangsters do. My freakness is on the loose. And running, all over you. Please take me to places. That nobody, nobody goes. You got me hooked up on the feeling. You got me hanging from the ceiling. Got me up so high I'm barely breathing. So don't let me, don't let me. Don't let me, don't let me go. I need a gangsta. gangsta, gangsta. To love me better. Do you love me better, better, baby. Than all the others do. That do, that do, that do ohhhhh. To always forgive me. Always forgive. Ride or die with me. Ride or die, with me. That's just what gangsters do. Do... yeah..."
good life,"[Pre-Hook: Kehlani]. Raise up a cup up for all my day ones. Two middle fingers for the haters. Life's only getting greater. Straight up from nothing we go up. Higher than the highest skyscraper. No Little League, we major. The proof is in the paper. [Hook: Kehlani (G-Eazy) ]. We put the good in the good in the good life. We put the good in the good in the good life. We put the bad in the past, now we alright. (Eazy). Hey, hey, hey, hey. (Kehlani, I got you). Hey, hey, hey, hey. [Verse 1: G-Eazy]. And it's a feeling that I can't explain. How you make it and your team still stay the same. Stay down from the jump and they never change. Man, this a moment I could never trade, yeah. I told my moms not to stress no more. Go hit the Bentley store and no credit card debts no more. (Love you mom). I bought the crib and it's in escrow now. So you don't ever have to worry about how you gon' pay rent no more. [Refrain: G-Eazy]. I put my team in position, now they makin' a killin'. Stackin' blue faces straight to the ceiling. Out in Vegas I'm with 'em. Ordering bottles of that Ace when they sit 'em. 'Til there ain't enough space up on the table to fit 'em. Go ahead and. [Pre-Hook: Kehlani]. Raise up a cup up for all my day ones. Two middle fingers for the haters. Life's only getting greater. Straight up from nothing we go up. Higher than the highest skyscraper. No Little League, we major. The proof is in the paper. [Hook: Kehlani (G-Eazy) ]. We put the good in the good in the good life. (The good life). We put the good in the good in the good life. (I said the good life). We put the bad in the past, now we alright. (We alright). Hey, hey, hey, hey. (Yeah, yeah). Hey, hey, hey, hey. [Verse 2: G-Eazy]. Pour some Clicquot in the glass, have a toast to success. No looking back from here, no more being broke and distressed. I put my heart into this game like I opened my chest. We only pray for more M's while you hope for the best. We make these plays, man I'm finessin' these checks. Times up for everybody, I'm collecting on debts. And I swear this champagne just tastes better on jets. I'm just out here being great, man, this is as real as it gets. [Refrain: G-Eazy]. I put my team in position, now they makin' a killin'. Stackin' blue faces straight to the ceiling. Out in Vegas I'm with 'em. Ordering bottles of that Ace when they sit 'em. 'Til there ain't enough space up on the table to fit 'em. Go ahead and. [Pre-Hook: Kehlani (G-Eazy) ]. Raise up a cup up for all my day ones. Two middle fingers for the haters. Life's only getting greater. Straight up from nothing we go up. (Yeah, go up). Higher than the highest skyscraper. No Little League, we major. (Yeah). The proof is in the paper. (You know). [Hook: Kehlani (G-Eazy) ]. We put the good in the good in the good life. (The good life). We put the good in the good in the good life. (I said the good life). We put the bad in the past, now we alright. (We alright). Hey, hey, hey, hey. (Yeah, yeah). Hey, hey, hey, hey. [Bridge: Kehlani]. Damn right, from the bottom we rise. So high, now we cover sky lights. We're building an empire. We owe it all to each other. Just look at us right now, destined. We're so good right now, legend. Here's to you and I. Raise 'em to the sky. [Hook: Kehlani (G-Eazy) ]. We put the good in the good in the good life. (Yeah). We put the good in the good in the good life. (Yeah). We put the bad in the past, now we alright. (Yeah, you know). We put the good in the good in the good life. (The good life). We put the good in the good in the good life. (I said the good life). We put the bad in the past, now we alright. (We alright). Hey, hey, hey, hey. (Yeah, yeah). Hey, hey, hey, hey. [Outro: G-Eazy]. Uh, the good life"
first position,"My cookie cutter not picture perfect. Unexpected but I'm worth it. Could expose you to this life. If that's what you like. Explore your thoughts. Stop actin' scared. I could see you watching. Let me take it there. Let me show you what it's like. To fuck with something right. Girl let me put you on. With something real. Wanna show you how it feels. To rock with something trill. So come join me in this room. Girl it's time. I know what you like baby. Let me get you right. Oh na na (na na na na). Let me put you on. (Na na na na) oh na na na. Let me put you on. Said she wanna try it. Ain't tryna hide it (tryna hide it). Fuck all of that fightin'. Ain't doin' no more lyin'. I start off slow so you feel secure. Just let me know where you feel it more. If your breath gets quick, that's normal. If my hands move slick, that's normal. We could smoke one first if you tryna get lit. My weed on ten come take a hit. Cause we on girl, we on. Girl let me put you on. With something real. Wanna show you how it feels. To rock with something trill. So come join me in this room. Girl it's time. I know what you like baby. Let me get you right. Oh na na (oh na na na na na na). Let me put you on. Oh na na na (oh na na na na na). Let me put you on. Said she wanna try it. Ain't tryna hide it. Fuck all of that fightin'. Ain't doin' no more lyin'. Oh na na na, let me put you on. (Let me put you on, let me put you on). Oh na na na, let me put you on. Said she wanna try it (wanna try it). Ain't tryna hide it (hide it). Fuck all of that fightin'. Ain't doin' no more lyin'. Say baby, stop messing with those boys. Get you a lady. Keep it 100 grand. Don't try to play me. Fuck around with my heart might have to pay me. Might have to pay me. Oh na na na, (let me put you on). Let me put you on (let me put you on). Oh na na na, (yeah yeah yeah yeah yeah). Let me put you on. Said she wanna try it (wanna try it). Ain't tryna hide it. Fuck all of that fightin'. Ain't doin' no more lyin'. Oh na na na, let me put you on. Oh na na na, let me put you on. Said she wanna try it. Ain't tryna hide it. Fuck all of that fightin'. Ain't doin' no more lyin'"
escape,"Never did I think I'd want you. Always seen you 'round my way. Never had the strength to tell you. I kinda, sorta think you're great. Strange for me to wanna love someone. Who's better by themselves. Hate to know I made you crazy for myself. [Pre-Chorus]. Cause I don't want you thinking. That my love's in vain. 'Cause baby, I've been falling for you. But falling back up out your way. [Chorus]. 'Cause I can't let you lose yourself, looking for me. And I can't let you make me your, your everything. I just wanna be an escape, I just wanna be an escape. Baby, can we escape, escape, escape?. Admiring you from a distance. Scared to go and make a move. Didn't wanna be distracting. You be all up in your groove. It's strange for me to wanna love someone. Who's raw all by themselves. I'd hate for you to search for someone else. [Pre-Chorus]. 'Cause I don't want you thinking. That my love's in vain. 'Cause baby, I've been falling for you. But falling back up out your way. [Chorus]. 'Cause I can't let you lose yourself, looking for me. And I can't let you make me your, your everything. I just wanna be an escape, I just wanna be an escape. Baby. can we escape, escape, escape?. [Bridge]. Oh, no, no, no, no, no, no, no, aye, aye. 'Cause I've been staying low, holding back. Fighting the feelings that you've been giving. And I've been trying to put it all into words. But I can't so I'm singing. [Pre-Chorus]. 'Cause I don't want you thinking. That my love's in vain. 'Cause baby, I've been falling for you. But falling back up out your way. [Chorus]. 'Cause I can't let you lose yourself, looking for me. And I can't let you make me your, your everything. I just wanna be an escape. I just wanna be an escape. Baby, can we escape, escape, escape?"
honey,"I like my girls just like I like my honey: sweet. A little selfish. I like my women like I like my money: green. A little jealous. 'Cause I'm a beautiful wreck. A colorful mess, but I'm funny. Oh, I'm a heartbreak vet. With a stone-cold neck, yeah, I'm charming. All the pretty girls in the world. But I'm in this space with you. Colored out the line. I came to find, my fire was fate with you. Heartache would stay with you. Fly great escapes with you. I countdown to the clock, saw you awake. Don't walk away, or would you wait for me?. I go out to the bar, fuck hangin' with the stars. Don't even have a car, but you would wait for me. All, all, all, all the pretty girls in the world. All the pretty girls in the world. But I'm in this space with you. Colored out the line. I came to find, my fire was fate with you. My heartache would stay with you. Escape with you. I like my girls just like I like my honey; sweet. A little selfish, huh. I like my women like I like my money; green. A little jealous. Oh, I'm a beautiful wreck. A colorful mess, but I'm funny. Oh, I'm a heartbreak vet. With a stone-cold neck, I'm so charming, oh, oh. La-la-la-la-la-la-la. Do-do-do do-do. Do-do-do do-do. Do-do-do do-do. Da-da-da da-da. Do-do-do do-do. Is it love all we need? Is it love?. Do-do-do do-do. To be the same prophesy? Is it love?. Do-do-do do-do. Do-re-mi-fa-so-la-ti, is it love?. Do-do-do do-do. Love, do-do-do do-do"
distraction,"Do you, do you, do you wanna be. Do me a favor, pick me up, take me out later. Don't worry about no paper. Cause I got much stacked up for nights like this. My life can get crazy. I deal with shit on the daily. But baby I'm thinking maybe. We could agree to work it out like this. I need you (you, oh) to give me your time. (give me your time). I need you (you, oh) to not wanna be mine. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. Yeah, yeah. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. I need you to respect it, yeah, yeah, yeah, yeah. Sometimes this shit get me stressing. So I need you with me. To keep me right and keep me up all night. We can get faded. This life can make you so jaded. So we can stay shaded. Just to us and try to get it right. I need you to give me your time. I need you to not wanna be mine. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. Yeah, yeah. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. I can't say I give my all. But tonight, I'd risk it all. Woah, woah, woah. Are you down to be. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. Yeah, yeah. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be. Yeah, yeah. Are you down to be a distraction baby. But don't distract me, let me ask you baby. Do you, do you, do you wanna be. A distraction baby. Do you, do you, do you wanna be"
the way (feat. chance the rapper),"You so damn important. Everything you do shows me you know it. Behind it all you are the motive. Don't tell you enough, but baby I'll show it, show it. He say the king where he come from. Take a young queen just to know one. So, baby, I'mma drive it like it's stolen. I'mma fix it like it's broken. We could catch a flight out to London. Go to the mall, spend a lump sum. They could try to catch up to us. But they're too busy making assumptions. Boy, you know all I do. Is stay up all night losing sleep over you. All I do. Is drive myself crazy thinkin' 'bout my baby. It's the way you walk, the way you talk, babe. It's the way you love, the way you fuck, the way. It's the way you are, you're a star, babe. It's the way you, it's the way you. She said ""I ain't even make my bed up. Watch your step, you gon' wake my mama and dad up"". Pssh, girl, didn't I tell you at the damn club?. We gon' wake your neighbors. Turn your block club to my fan club. And that happen so fast. Damn, I'm glad I strapped up. Ask her when she finish, if she came. She said ""I lapped ya twice"". Run it back for the door, rematch. Flip the crib when we fought, rematch. It get hot then no more, last cup. You can ask her if I fuck, she gassed, huh. I gotta keep it a secret, I keep a key in my lower pocket. Inside a register below the lower octave. Dirty laundry in my closet, they be strung out on the street. Left to dry with dry sheets and no deposit. They don't gotta worry, put my hand on your mouth. Put my hands in your mouth, girl. We got plans at my house, you know the way up. (Chorus). This thing we got is crazy. Only thing I know is you're my baby. Forever down, I am your lady. Always for sure, never a maybe. Never met someone who spoke my language. Never met a nigga done with playin'. You the type of nigga make me lane switch. Hand me the brush and say ""paint it"". Give me your heart and I hold it. Show me your soul and I'll mould it. Baby boy, you gotta be the dopest. Gotta be to fuck with the coldest. (Chorus)"
crzy,"Crazy. I go, I go, I go. Everything I do, I do it with a passion. If I gotta be a bitch, I'ma be a bad one. I'm ai with the designs, du-ragging. Bounce back game two, why we talkin' practice?. Yeah, yeah, yeah. Pull up score when I want to. Best thing next to heaven. They be tryna count me out though. I'm just countin', countin' blessin's. A real woman by the paper. Niggas don't know where I came from. Why I really-really came up. You never could say I'm back in. All this shit I've been through. And it made me more real than assassin. I kill 'em, I kill 'em. I kill 'em with compassion. And baby if they askin'. Tell 'em, tell 'em, tell 'em. I go, I go, I go, crazy, crazy. I go, I go, I go, crazy, crazy. Live for the challenge, only make me stronger. One more reason to turn up on 'em. I go, I go, I go, crazy, crazy. Lit, lit, lit, lit. Only l I take is to the face. You showed up to see me lose. But I overcome so you overcame. Basic, basic. Ain't nothin' bout me basic. I'm crazy, I'm crazy. Better watch what you say to me cuh. Young sway got the answers. Give 'em hell, give 'em pressure. Big couch, no manners. Dirty-dirty-dirty dancin'. Take a look at what I did. Go for circle with the wrist. Whippin'-whippin' up the grits. Get a hand full of this nicely. I got it, I got it, I got it. And you gon' respect it. Ain't nothin', ain't nothin'. Gon' stop me from makin' it happen. So baby if they askin'. Tell 'em, tell 'em, tell 'em. I go, I go, I go, crazy, crazy. I go, I go, I go, crazy, crazy. Live for the challenge, only make me stronger. One more reason to turn up on 'em. I go, I go, I go, crazy, crazy"
keep on,"Anything you're saying to me right now. Probably have the right to say. Any crazy things you're feeling for me tonight. You can get it on out the way. [Pre-Chorus]. 'Cause I ain't been the best that I coulda been. I ain't do the shit that I shoulda did. But every time I come crawlin' on my knees. You're there. [Chorus]. And you just keep on takin' me back. And I don't know why you do. 'Cause I'm no good to you. And you just keep on takin' me back. In your open arms, baby, I belong. And you just keep on takin'. You can yell and you can curse and call me a bitch. Probably have the right to do. You can tell the world that I'm a narcissist. I would think they'd listen to you. [Pre-Chorus]. 'Cause I ain't been the best that I coulda been. I ain't do the shit that I shoulda did. But every time I come crawlin' on my knees. You're there. [Chorus]. And you just keep on takin' me back. And I don't know why you do. 'Cause I'm no good to you. And you just keep on takin' me back. In your open arms, baby, I belong. And you just keep on takin'. [Post-Chorus]. Me back, and I don't know why you do. 'Cause I'm no good to you. And you just keep on takin' me back. In your open arms, baby, I belong. And you just keep on takin'. [Outro]. I'm not taking you back. Oh no, I'm no—no I'm—taking me. You're taking me really back. No I'm, no I'm, no I'm, no I'm not"
