2 phones,"Hello? What the deal? Bet. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. Button start the foreign, oh my God I'm gorgeous. I just put the key inside my pocket park. It might not get to see, this a new Ferrari. Man in the mirror, how you choose to bother. Someone said they callin', I don't feel like talkin'. Everything is different returned the way I bought it. Phone be interrupting me while I'm recordin'. Phone be making women feel they unimportant. Call my dog, he say it's all the way retarded. Keep the oil cause I am not using the Foreman. Kitchen, I just finished up new performance. Hater, wish you well. I got clientele. I just got it off the scale. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. There they go again, one of my lil friends. They don't give a damn how a nigga been. All they wanna know is what I got to give. How much did I spend? What I got to lend?. What I did and what I didn't do for them. Brick comin' in somewhere on the rim. Section doin' numbers, nowhere by a gym. Droppin' bottles spin (?) I'm supplin' 10. Jumpin' out a Honda, I just got it in. Askin' what I cop, none of your concern. One day you gone learn what you tryna get. Everything on sale, goin' out of biz. Partners up in jail, gotta feed the kids. Juggin' round the city, you know what it is. Bread winner business, put that on the wrist. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. Ring, ring, ringin' man. Find me balling hard. Come from grinding hard. Getting calling cards from your Barbie doll. When she round me she know I'm her bodyguard. Money callin' for me, baby girl I'm sorry. You just high yella you not that important. Weight, shape her, pin you to the carpet. Smell like tartar, I'mma put you in the water. Conversation cause a lot of chips. She don't really get a lot of this. Engagin' where I'm gazin' at her hips. And ain't nobody makin' no attempts. Amazing clip, hanging, slanging dick. Maybe we can make it takin' trips. Maybe I was thinkin' too impatient. Phone ringing, hold up, what it is?. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'. I got two phones, one for the plug and one for the load. I got two phones, one for the bitches. and one for the dough. Think I need two more, line bumpin' I'm ring, ring, ringin'. Countin' money while they ring, ring, ringin'. Trap jumpin' I'm ring, ring, ringin'"
what if,"What if god was one of us. (what if god was one of us). Just a thug like one of us. (just a thug like one of us). Looking for love in the club like one of us. (in the club). Tryna make it out the slums like one of us. (slums like one of us, aw yeah). What if god is one of us. (what if god is one of us). Just a thug like one of us. (just a thug like one of us). Getting it out the mud like one of us. (out the mud). Making calls to the plug like one of us. Makin' calls to the plug (hello?). I'm tryna ball, goin' hard. I'm not ballin' enough (score). I got scars on my heart. Come from fallin' in love (don't fall). On my knees every night placin' calls up above. Seems like god won't pick up. If heaven won't show me a way (show me the way). Guide me when I grip the weight. 'cause in the city we livin' in. It's kill or you gettin' killed. I was taught to keep it real. Misguided in the field (come here). Boom boom pop bang bang. Forgive me I done gripped the steel (woo). She the devil, she was bad. Long weave, thick ol' ass. Round enough, make pretty faces. When I'm hittin' her from the back. And I got caught and I ain't rat. Some cuckoo guys she ain't hit back. I done been to hell and back. 'cause I done been to jail and back. What if god was one of us. (what if god was one of us). Just a thug like one of us. (just a thug like one of us). Looking for love in the club like one of us. (in the club). Tryna make it out the slums like one of us. (slums like one of us, aw yeah). What if god is one of us. (what if god is one of us). Just a thug like one of us. (just a thug like one of us). Getting it out the mud like one of us. (out the mud). Making calls to the plug like one of us. Makin' calls to the plug. I fell off then got up. I'm standin' tall no matter what. Real nigga never budge. Thinkin' y'all shall not judge. While I stood in front the judge. Media, they tellin' lies about me. That don't matter much. I'm not turnin' up. I just got back from the future. Don't know what I'm speaking of. I'm not turnin' up. Leave you leakin' just for reachin'. Ain't no drinkin' out my cup. Shawty yellow, aw yeah. Slim, she barbie doll bad. She got pregnant from my partner. So I had to fall back. She was with another rapper. Hold up, I can't talk that. Text her when she call back. If I ain't a dick slanger tell me. What you call that. What if god was one of us. (what if god was one of us). Just a thug like one of us. (just a thug like one of us). Looking for love in the club like one of us. (in the club). Tryna make it out the slums like one of us. (slums like one of us, aw yeah). What if god is one of us. (what if god is one of us). Just a thug like one of us. (just a thug like one of us). Getting it out the mud like one of us. (out the mud). Making calls to the plug like one of us. Out the mud. Making calls to the plug like one of us. Out the mud. Making calls to the plug like one of us"
kevin gates,Workout. Tell. Workout. Tell. Gates. Gates. Gates. Gates. They say me and future sound alike. I'm soundin like future. Long as the car movin never dead stuck in neutral. Major shoutout to future. Meaning kevin gates the future. The future of this music. Headphones I wore to school. Uninterested in school mind set on distributin. Back and forth to Houston but not at the galleria. A shoutout to that third and fourth ward on the real. Prescription plug jumpin. Shorty look like cameria. Face playin poker but I ain't givin my mans up. From that south side if you from my section then stand up. Rubber band up disgusting. Won't pull our pants up. On the block 24 7 the police done ran up. Jail gotta see us some others leaving in handcuffs. Mama throwin suppers to get us free when we jammed up. Blam tucked you get beside it could get you blamed up. All I know is cocaine issue and rock with us. No money for to go to prom just ordered the skillet. Anybody unwilling to give it we just gotta stick em. My name ringin for real how none of us picture. Best dress at Mckinley hair curly lookin demented. Kin jumped out the phone with savage. Gates baby you killin em. All I know is smashin anything that won't get it up. Going back to rebocks thinkin bout it for reazy. Ridin with the heat cocked prey to God I don't need it. Thinkin bout the range ro. Break you off and change clothes. Underneath the tree tops. Talkin bout I'm a give it up. Just left off the block feelin like I don't live enough. Every pussy the same but I feel like I don't get enough. Bad bitches I rip em up. Done that shit for big head. Ol fresh chain just said now they got that big head. Fuck em in the ass mac 11 with the big head. Brighten em with the oysters face now they got the big head. Chrome got get the bottem with the rocks comin up. Me I see me comin I feel attack comin up. Dem a call dem Rottweilers a fi rok dem roun. Wide body gal movin a mi tell dem tun aroun. Say roun look fuck a hook. Who got the hookup. If you know we need the hookup. If you know who got the hookup. Hit my line we need the hookup. It's 2253034829. I think. Oh my God kevin just fell asleep an ain't waking up. Shoulder game exclusive. when in a blender we break em up. Turn the ringer off. Too many features I'm cakin up. Who the hell said gates ain't shit who the hell cares. Bet your followers will be the proof. Of who the hell cares. Mentiond every 8 seconds to career on welfare. Beef to get a buzz you a sellout who the hell cares. Said it was a blessing to ever be in my presence. I taught you how to be yourself you ain learn your lesson. Fog lights glowin as we maneuver the night time. Day runner lamps on a runner we had a nice time. Just reiterate what was stated by your lifeline. Woulda said your wife but she said wait not right now. The sex ain't really good. But I'm scared I may hurt his feelings. He's a tough guy in the street. But he's sensitive be forreal. Everytime we up in here. I pull her hair making her sound out. Big booty bitch I give her dick my shit a groundhog. Out of town cause I gotta friend that live in New York. At a museum shopping for art met sat in the park. Watch the sun set in the dark. I'm intelligent. Cool I can tell you like to move on the regular. Fall in love fast I make sure I handle it delicate. 4g out of perelis he go as big as a elephant. If you plannin surprises and thinking what you can buy me. I'm in the watches automobile need me an Audi. If you were to go and buy it I swear I'm drivin it proudly. But fuck it back to the mission. Fat women and pistols. Fat women holdin crack in the crack of they skin. You probably think it's disgusting. I probably think it's terrific. You probably think I'm demented. She probably think it's delicious. I'm thinkin standin in the kitchen. Without no use for the fridges. You probably still thinkin. why he ain't mention usin the dishes
know better,"You shoulda known when it comes. To the dough I'ma get it. You should know better. Do it all for my dogs. Everyday goin' hard, I'm a winner. You should know better. Used to dream about a mil. Now we gettin' it for real. Shoulda left you right there where I met you. You shoulda known when it comes. To the dough I'ma get it. I'm a bread winner. Gettin' it in, gotta win, we not kickin' it. Bread winner team. We sick and we live with it. Whippin' machines equipped. With a fridge in it. We the connect, we not bout to mention it. We with the shit, no talkin', we finish it. Some say I'm ignorant. Mecca, we touchin' september. I'm making my pilgrimage (allahu akbar). Maybe I'm different. Looked at you like you were special. You not even build for this. Ufos in the crush gates. So when it's up niggas goin' nuts. Big shit tucked, toolie on clutch. Pockets on lump, free my nigga lump. Goin' out dumb. Engine on run. Thuggin' in the slums. Thumbin' through the hun's. Separate the ones. (somebody called a riot?). My daughter get the violets. Break bread, slidin', lay up in the hyde. Room too expensive. Motel 6 and bitch quit trippin'. Niggas in feelin's. Wait don't wait, forklift liftin'. Brasi gon' fix the trap up, vision. You shoulda known when it comes. To the dough I'ma get it. You should know better. Do it all for my dogs. Everyday goin' hard, I'm a winner. You should know better. Used to dream about a mil. Now we gettin' it for real. Shoulda left you right. There where I met you. You shoulda known when it comes. To the dough I'ma get it. I'm a bread winner. Hey man what you talkin' bout?. Man just do you gates. There it is. Dabbed in, front pockets stuffed. Money look like we been doin' lunges. Raised up in the blunt, I'm doin' crunches. Tattooed all over my stomach. Out in london talkin' to big london. Stand up in they chest, okay I love you. Niggas hatin', wait I'm doin' numbers. In they feelin's, tell 'em I say fuck 'em. Hold up, wait, tell 'em that I love 'em. We could go, we had a discussion. Fame tend to blind the people. On the side of you like. You never mean nothin'. Focus on brand new things. Tryna show my children how to hustle. Teach 'em how to trust one another. All we got is us and your mother. Fall down, get back up again. Lose it all right before you win. Kevin man, you messin' up your gift. Shit like this be hard to come again. Fall bad, I know I admit it. Real struggle, I don't ever quit it. Thinkin' back when I ain't have a cent. Back when I ain't have a shit to give. You shoulda known when it comes. To the dough I'ma get it. You should know better. Do it all for my dogs. Everyday goin' hard, I'm a winner. You should know better. Used to dream about a mil. Now we gettin' it for real. Shoulda left you right there where I met you. You shoulda known when it comes. To the dough I'ma get it. I'm a bread winner. She spoken to me bruh. Yeah she spoken to me you know. ""I'm sorry bruh I like this shit. You heard me? "" shit bothered me. I'm a bread winner"
out the mud,"24 Hours, nigga, 7 days a week. Me, I don't get tired. I let you other niggas sleep. Turn up for that check. And yeah I get it out the streets. Hustle like I'm starving. Going hard, I gotta eat. I get it out the mud (yeah, yeah). I get it out the mud (yeah, yeah, yeah). Watch how I break my wrist. Make that water whip. Stretch it out, then flip. I'm all about my chips. Turn up in 2 seconds. Get it with music and coke, what I'm stretching. Across the street under a bando. And here with your ho, could get her to go fetch it. (here boy). On the scale, but I call her the ruler. And that's what I'm using my method to measure. Got her jumping up out of the party. My clique-ity clucking surrounding my property. I meant to say my clientickity. Numbers official retickity. Out the mud, nobody did shit for me. Arrogant often I'm bigity. All about money, like what done got into me. Breaking down bricks and we blowing good [grigity?]. Say you ain't feeling me, outta try killing me. Neighborhood love me, it's hard to get rid of me. My baby mothers are sick of me. I put that dick on 'em. Now they ridiculously saying. That when I don't come in I'm with a freak bitch. I've been chasing my paper religiously. I'm really in the street, others pretend to be. Let me get off of my grind then [?]. No one repeatedly coming and getting me out the mud. I'm the epitome. 24 Hours, nigga, 7 days a week. Me, I don't get tired. I let you other niggas sleep. Turn up for that check. And yeah I get it out the streets. Hustle like I'm starving. Going hard, I gotta eat. I get it out the mud (yeah, yeah). I get it out the mud (yeah, yeah, yeah). Watch how I break my wrist. Make that water whip. Stretch it out, then flip. I'm all about my chips. Money coming, my money gotta flip it. I ain't waiting on nobody, I'm a go get it. I ain't tripping on a nigga, I'm a gorilla. Somebody take something from me, I'm gonna go kill 'em. Trap with my heart and I'm serving out the window. Barely balled up, with a curtain on the window. Face card worth a lot of bands in the hood. Had to leave the dice game, got a bond out [?]. Sunday coming up, pull the cars out. Look, another 20 grand, but my girl called me. Put bail, what the hell got all y'all shook. Poo hit the line in the drop. Plug went dry, had to take another route. Pulling up, getting it. I done went sickening. Drop no whip, and a nigga gon' vouch (vouch). Another 4k just stuffed in the couch. Promise I ain't tryna swag, I just got a lot of that. Anybody try me, I'm a put 'em in a body bag. Follow that, copy that. Pounds in the garbage bag. Backed in the bank, y'all leaving after driving that. Call 'em back. Chill, no falling back. Quicker than I got it, then I done ran out of that. [?] Harder than bitch, they gon want all of that. 24 Hours, nigga, 7 days a week. Me, I don't get tired. I let you other niggas sleep. Turn up for that check. And yeah I get it out the streets. Hustle like I'm starving. Going hard, I gotta eat. I get it out the mud (yeah, yeah). I get it out the mud (yeah, yeah, yeah). Watch how I break my wrist. Make that water whip. Stretch it out, then flip. I'm all about my chips"
pourin the syrup,"I don't get tired. Broke another ten for the Bread Winner Brick Gang. Popping up pregnant, silly bitch tryna trick Gates. Start selling pussy, maybe that'll get your rent paid. Come to think about it, don't you live with your mama?. I don't give a shit when I ride 'round the bottom. Cocaine vet, pedal shifting on Highland. Boosie had a black Monte Carlo and a 'Burban. I was in a grey Monte Carlo and a Tahoe. He was doing shows, bad hoes up in [?]. I was speaking Spanish with the plug havin' convos. [?] ran lips, hit the line every morning cause they know. I keep the lean by the carload. In the top, hit the boulevard solo. Big Right know I got soft for the low-low. In a drought, me and Nook, only ones had dope. Nigga blew my leg off for a nine-piece. Tried to grab the gun, couldn't get it, middle of the night. Had to fight for my life when you try me. Connecting this year, we'll mark my nigga. I love my nigga, I owe you one nigga. Brookstown Richard, that's my little brother. Everytime I think about him, gotta tell him that I love him. Praying to the Lord that Car came from under that charge. Free my nigga Head when I bow my head. Late night, when alone, can't sleep. I got too many problems. The weight of the world on my shoulders. Pray that heaven do something about it. The chick that I'm lovin'. Wondering who is she fuckin'. The friends I got 'round me. Wonder which one of them sour. Pourin' the syrup, pourin' the syrup, pourin' the syrup. Pourin' the syrup, pourin' the syrup, bitch I'm pourin' the. Pourin' the syrup, pourin' the syrup, pourin' the syrup. Bitch I'm pourin' the syrup. Bitch I'm pourin' the syrup, pourin' the syrup. Bitch I'm pourin' the syrup. I was naive, thinking that I couldn't get hurt. Thought she was faithful, fuck her but my dick burnt. Everybody laughed when I kissed her. I can't even lie, to this day still I miss her. We was on [?]. Used to go to sleep in the pussy on an air mat. André Harris talked bad behind my back. Even though it hurted, I ain't tripping, never mind that. Me and Darrell Harris in a stolen car thugging. You get out of line, he goin' put you in a puddle. Me and Brittney Harris in the side room cuddlin'. Eat the pussy while she on the rag, like ""Yummy"". My daddy nephew, kinda make him my cousin. We was having lunch at Chimes. when you told me that you love me. I ain't never back down from a fight in my life. Big Yock slapped you, you went and got your cousin. Nigga shot and missed, and I came back jumping. I was 13 when I put one under. Ask my mama, go ask my brother. Go on South 12th, and go ask Big London (shoutout). Jamison and Gary and Will know the truth. I was selling crack with the cameras on the roof. You was never that, at the plant working turnarounds. (turnarounds?). Little Steve hittin' your bitch from the back, matter fact. That's a fact, when I seen it, had to turn around. E-Dub, Dope Boy, Lil E, Big Mook. Me and Foots in my truck with the burners out. When you was on 3rd St. , and ain't wanna squeeze. Pillow talking with your bitch, tryna play me like I'm weak. Now I'm coming at your girl, top nigga, no problem. You will never find out another thing about it. Come to think about it. got a coffee shop in Denver, Colorado. I'mma catch her when she visiting her mama. Ri-Ri, fine, you're old man hate me?. Can't rap like Gates, fucking up lately?. Me, you, and Dreka oughta take a vacation. We can have a threesome after waking up in Vegas. Give you 50k, fail to mention what it came with. Eat, pray, making love, see the world baby. Breadwinners swim where I'm fucking with a gangsta. You can model for my line, I can make you famous. Running from my tongue when I lick all in your anus. Intelligent the way I talk, vagina I contained it. Ever been ate, two mouths at the same time?. Ever had lips on your booty and your pussy. Got your body feeling mushy. When your water go to gushing. Brazillian wax, I don't like playing in the bushes. Pull your hair, smack it, bend back, get a whoopin'. Late night, when alone, can't sleep. I got too many problems. The weight of the world on my shoulders. Pray that heaven do something about it. The chick that I'm lovin'. Wondering who is she fuckin'. The friends I got 'round me. Wonder which one of them sour. Pourin' the syrup, pourin' the syrup, pourin' the syrup. Pourin' the syrup, pourin' the syrup, bitch I'm pourin' the. Pourin' the syrup, pourin' the syrup, pourin' the syrup. Bitch I'm pourin' the syrup. Bitch I'm pourin' the syrup, pourin' the syrup. Bitch I'm pourin' the syrup"
idgaf,"As a wise man that think if I possess the game in my mind. The reason I wear shades. you can't see the pain in my eyes. In the rain storm in the blizzard. expressing all of my feelings. Pause, never took me serious, naw. mama never wanna listen. Stomach hurting my pockets empty. how dare a nigga wanna tempt me. In the dark room all prayed out. I ain't never sat in no Bentley. Hustle hard in the alley way by Ms. Cita house I'm getting it. Wrecked my car Chris laughed at me. like I ain't supposed to remember. Wish Wig was still living, wish Shrimp was still living. Wish Joe was still living. Look at Chris how he tripping. Young troll just hit the phone. But he don't keep it a thousand. Ray Vicks just jacked him, and he ain't even see bout that. Now he telling me 'bout that. Seem to me he ain't 'bout that, nigga let me get a thrill juice. You don't have it now, but you gone have it later. My face card worth a hundred bands. Game recognize game baby. my lil brother lil Terrance Hines. I'd die for him and go to war behind him. Real niggas, all around me, bitch niggas ain't round me. Talkin Massachusetts exclusive, somebody bring it back. Cocaine made me smile but I cried. Ain't think my team a rat. Stroke know I love em. But nigga around could say fuck me. How that go when I fuck with nigga. ain't nobody gone fuck with em. In the neighborhood that I grew up in. They call it the southside, everybody house overcrowded. Forcing them to hang outside, my lil cousin. Corey, hustle hard in fruits town. On the boulevard with the roof open. like damn Ced what I do now. Me and Bees and Rodney, ice cup and it's muddy. You don't like me then fuck you. Probably dap me off and say fuck me. God forgive me next nigga play with me. I'll probably kill they mother. Make the funeral you in trouble. A lot of guns out and they bustin'. Pussy rapper talking shit on Twitter. But out in public it's nothing. Discussion had and I bump em. If looks could kill, I would've been dead. Bitch I'm with give real head. But I don't trust her that much. Let me slip and go back to jail. Watch how many niggas she fuck. Let me slip and go back to jail. Watch how many niggas she fuck. Niggas all on my dick (zip). Bitches all on my dick (zip). Only God know my struggle. Had it hard so I hustle. Don't fuck with none of you niggas. Don't trust none of you niggas. Run up on me nigga I'm with it. Put a slug in one of you niggas. Only God know my struggle. Had it hard so I hustle. And Everybody round me say. I don't give a fuck a bout nothin. Nothin, nothin, nothin, nothin, nothin. I don't give a fuck about nothin. Most likely I'm too intelligent. They say cuts heal, not much here. You forget about it or you get around it. Can't forget about it, then you kill about it. I'm a ordained street minister. Read the bible, but a finish ya. Still have trouble with letting go. That ain't my ho, I just thought it was. My friends laughed when I kissed on her. Shoulda pulled my dick out and pissed on em. My family on fire wouldn't piss on em. Cold world, don't quit on me. Grind hard, get rich on em. Whatever you do just stack paper. My lil cousin Chief just called my phone. And I'm like what's the problem. ""Heard about Lil Mocha?. Nigga tried him and. Lil Mocha shot him"". Bitch I'm going hard. It ain't no stopping, do that for the bottom. Everybody watching. Gates a great and he just made it out. Everything I make from profit. God I promise, I'll invest in houses. Just give me another chance at life. Put me back in bounce. Went to jail, already had my strips. Ain't no backing down. Shawty Spit Stacckz was in the cell with me. I'm laughing loud. This for all of you that hated. Panamaras backing out. Niggas all on my dick (zip). Bitches all on my dick (zip). Only God know my struggle. Had it hard so I hustle. Don't fuck with none of you niggas. Don't trust none of you niggas. Run up on me nigga I'm with it. Put a slug in one of you niggas. Only God know my struggle. Had it hard so I hustle. And Everybody round me say. I don't give a fuck a bout nothin. Nothin, nothin, nothin, nothin, nothin. I don't give a fuck about nothin"
really really,"Diamonds really diamonds. And I'm shining bright 'cause I'm really grinding. They ask me if I'm real, I say ""is you serious? "". My daughter gon' love this bitch here. All my diamonds shine 'cause they really diamonds. Bad bitches in line, they be really trying. They ask me if I'm high, I say ""really, really"". Got money on my mind, I say ""really, really"". I look like I been ballin' 'cause I'm really ballin'. I won't apologize, I'm not really sorry. They ask me if I'm lying, I say ""really, really"". I'm really out my mind, I say ""really, really"". Really, really. Make 'em believe, I made 'em believe. A lyrical song writer and he can sing. Bringing in money like raking in leaves. I was just trying to get paper to sneeze. Achoo, that was a blessing. She special to you, I don't look at her special. Actually, I treat her regular. Not being seen, we not making no spectacle. Gates had her first then he gave her to Kevin. All the above we do all the et cetera. Scared of the feds, had to switch up my cellular. He talking reckless, don't call me back ever. Passing thru Gardere to holler at Glover. Shout out to Black, shout out to Cedric. Grey Monte Carlo, cocaine 911. Just hollered at Trav, I'm like the Reverend. My section ridiculous, watch where you steppin'. Pockets on indigent, can't be too careful. Steve like 'em tall and when they yellow. Working in college, fresh with low mileage. I like 'em black, pretty white teeth. Body unique, booty on fleek. Jhené Aiko, chewing her cheeks. Groceries, please, you know that was me. All my diamonds shine 'cause they really diamonds. Bad bitches in line, they be really trying. They ask me if I'm high, I say ""really, really"". Got money on my mind, I say ""really, really"". I look like I been ballin' 'cause I'm really ballin'. I won't apologize, I'm not really sorry. They ask me if I'm lying, I say ""really, really"". I'm really out my mind, I say ""really, really"". Really, really. Diving be treacherous (swim). Pray to God that don't nobody mess with us (him). Keep it strong in case anyone testing us. Right or wrong, if it's this, you don't mess with it. When yo bitch over here I don't mess with her. No detective work, I don't be questioning. Where she been, trying to read all of her messages. I don't speak on no man that's irregular. Take her phone disconnectin' her cellular. What you need that for undressin' her?. What you need that for caressin' her?. Spreading her legs 'bout to pleasure her. Pulling her hair from the back, go to pressin' her. Trying to see who tap first, made a bet with her. Relationship flaking, no eczema. She catching feelings, she say we inseparable. Oyster Perpetual, it's not a replica. Mustang Gt in the streets smoking vegetables. Trunk in the front, do it make me a elephant?. I really really put syrup in my beverages. Shopping in Beverly, check out my etiquette. Loving my swag, women tailor keep checking it. Carats they glisten in all of my necklaces. Feeling myself, really thought it was evident. All my diamonds shine 'cause they really diamonds. Bad bitches in line, they be really trying. They ask me if I'm high, I say ""really, really"". Got money on my mind, I say ""really, really"". I look like I been ballin' 'cause I'm really ballin'. I won't apologize, I'm not really sorry. They ask me if I'm lying, I say ""really, really"". I'm really out my mind, I say ""really, really"". Really, really"
in my feelings,"Sometimes yeah sometime. I'm in my feelings. Don't no one understand me supply. And demand all this shit get demanding. Why the fuck is you standing. Over there seeking a handout. I'm not finna hand it, godamnit. Tattoos on my neck that read Kayla and Brandon. My nephew was born premature. I prayed from em', everyday for em'. He'll smile at me make a face for em'. My auntie say thanks which I couldn't believe. And I act as if that don't exist. Too much respect for to call you a bitch. All praise go to heaven your God don't exist. Love everything and everybody. Black sheeps scum of the earth. With popular people I don't fit. They was stupid they focus on bullshit. Now the whips they be driving is bullshit. Yo pastor lie to you right from the pulpit. Go hard or starve. No wait on God. Give him your money? That's bullshit. Full clips and a firearm. Put it in a ho name so I buy it for em. Pockets was slim as a diet form. Good dope sell itself wanna try it for em?. Smoke out hotel rooms and set off the fire alarm. Bwa start a riot for em. I don't get tired, what you tired of?. Call what's her name say she tied up. My mind going negative fuck your perspective. These interviews really got pussy. Others may gossip just like a woman. Don't worry I'm just in my feelings. It's not a bad thing bae. It's nice to have someone that understands me bae. Cause we're the real thing bae. I really love the fact that you can feel me bae. In my feelings. Sometime yeah sometime I'm my feelings. Sometime yeah sometime I'm my feelings. Sometime yeah sometimes I'm my feelings. Here we go again more problems. Back against the wall feeling boxed in. Obnoxious, I been labeled. Lending helping hands when I'm able. Seem like everybody ungrateful. When they every bought food to my table?. Unappreciative it don't phase me. See envy all in they faces. You ain't help or right a rapper through a day in jail. I ain't see yo name on no paper. Hard on hoes I been scarred. But Trell left a hole in my heart. Blood sweat and tears went into this. How you think you deserve part?. Child support court or get fought. All the best lawyers get bought. Let that other nigga take care of that. You be on his dick like his shit raw. Lied to you in his friend car. Sold you a dream and you got caught. These hoes want rap niggas or a athlete that play ball. Sip coffee peep it don't talk. Handle shit horribly we fall off. I was just tryna be a real friend to you. Now I'm wishing that we get lost. We was only fifteen at ya momma house. Clicked over hold up miss call. Phone ringing damn it's my dawg. Thinking like how the fuck he know y'all?. In the same breath start hiking. Saying to myself really that's foul. Don't worry I'm just in my feelings. It's not a bad thing bae. It's nice to have someone. That understands me bae. Cause we're the real thing bae. I really love the fact that you can feel me bae. In my feelings sometime yeah. Sometime I'm my feelings. Sometime yeah sometime I'm my feelings. Sometime yeah sometimes I'm my feelings"
hold it down,"That nigga that is stupid as a motherfucker. If I'm a dog on a leash this the right song. Love is free we can get it with the lights on. Love the way you get on top of me. As you can see I mean know you down. Love the way you hold me when you hold it down. I told her not to mess around with gangsters. Out of her league. I think she's falling for a game, woah, oh oh oh. Love the way you hold me when you hold it down. Every morning I feel her tweet, kush and coffee. Really into the way that I kiss her pussy softly. Body language expressive, I got her pussy farting (pfft). My bad, probably shouldn't say that. Probably should have each one of my fingers. where your waist at. Inches killing her slowly while we do it in slow motion. Love when I pull her hair while doing donuts on the sofa. Marijuana's my cologne if you pick up on my aroma. Habits that gravitated, we sexually stimulated. How the fuck was we just laughing at mclovin'. making out in public. Now we out in public holding hands. Saying if you need somebody who. Can please your body, I don't see nobody but me. And both our hearts are pounding legs wrapped around me. Want you naked in my bedroom scene. Just want you naked in my bedroom. If I'm a dog on a leash this the right song. Love is free we can get it with the lights on. Love the way you get on top of me. As you can see I mean know you down. Love the way you hold me when you hold it down. I told her not to mess around with gangsters. Out of her league I think she's falling for a game. woah, oh oh oh. Love the way you hold me when you hold it down. I love the way your body smell like the scent of a nectarine. Cancelled everything, on the agenda. Who'd ever think, I'd be checking. For someone or even being so intrigued. By something that don't even meet. The criteria of the women that I used to love. So confused though encounter difficulty. Hoping you can help me through with those, things. Life switching it's night or morning with curtains open. Get through the boxes notice. The front of my shirt was soaking. Love to go in slow motion. I'm busting that pussy open. We sweating fucking the sheets. You scratching me when I'm deep. That ass clapping for me while. I stick my tongue in-between. Your nipples look like erasers. Look how you lookin' at me, grab your neck. Ready, set, grip your toes and kiss on your feet. Make your inner thighs, 69. You could be underneath. I'ma dog make you like those I love it. When we naked my faces we should leave lights on. If I'm a dog on a leash this the right song. Love is free we can get it with the lights on. Love the way you get on top of me as. You can see I mean know you down. Love the way you hold me when you hold it down. I told her not to mess around with gangsters. Out of her league I think she's falling for a game. woah, oh oh oh. Love the way you hold me when you hold it down"
