"pursuit of happiness (feat. mgmt, ratatat)","Crush a bit, little bit, roll it up, take a hit. Feelin' lit feelin' light, 2 am summer night.. I don't care, hand on the wheel, drivin drunk,. I'm doin' my thing. Rollin the midwest side and out livin' my life getting'. Out dreams. People told me slow my road I'm screaming out fuck that. Imma do just what I want lookin' ahead no turnin' back. If I fall if I die know I lived it to the fullest. If I fall if I die know I lived and missed some bullets. I'm on the pursuit of happiness. And I know everything that shine ain't always gonna be gold. I'll be fine once I get it, I'll be good.. Tell me what you know about dreamin' dreamin'. You don't really know about nothin' nothin'. Tell me what you know about them night terrors. Every night. 5 Am, cold sweats wakin' up to the skies. Tell me what you know about dreams, dreams. Tell me what you know about night terrors, nothin'. You don't really care about the trials of tomorrow. Rather lay awake in a bed full of sorrow. I'm on the pursuit of happiness. And I know everything that shines ain't always gonna be gold. I'll be fine once I get it, I'll be good. I'm on the pursuit of happiness.. I know everything that shines ain't always gold. I'll be fine once I get it, I'll be good. I'm on the pursuit of happiness. And I know everything that shines ain't always gonna be gold, hey. I'll be fine once I get it, yeah, I'll be good. I'm on the pursuit of happiness. And I know everything that shines ain't always gonna be gold, hey. I'll be fine once I get it, yeah. I'll be good. Pursuit of happiness, yeah. I don't get it, I'll be good"
day 'n' nite,"Day n night I toss and turn,. I keep stressin' my mind, mind.. I look for peace, but see I don't attain.. What I need for keeps this silly game. We play, play.. Now look at this.. Madness the magnet keeps attracting me, me.. I try to run, but see I'm not that fast.. I think I'm first. But surely finish last, last.. 'cause day n nite,. The lonely stoner seems to free his mind at nite.. He's all alone through the day n nite.. The lonely loner seems to free his mind at nite,. Ah ah at nite.. Day n nite.. The lonely stoner seems to free his mind at nite.. He's all alone, some things will never change.. The lonely loner seems to free his mind at nite,. Ah ah at nite. Hold the phone.. The lonely stoner mr. solo dolo.. He's on the move, can't seem to shake the shake.. Within his dreams he sees the life he made.. Made.. The pain is deep.. A silent sleeper, you won't hear a peep, peep.. The girl he wants don't seem to want him too.. It seems the feelings that she had are through.. Through.. Cause day n nite.. The lonely stoner seems to free his mind at nite. He's all alone through the day n nite.. The lonely loner seems to free his mind at nite,. Ah ah at nite.. Day n nite.. The lonely stoner seems to free his mind at nite.. He's all alone, some things will never change.. The lonely loner seems to free his mind at nite,. Ah ah at nite. Slow mo.. When the tempo slows up and creates that new, new.. He seems alive, though he is feelin blue.. The sun is shinin man he's super cool.. Cool.. The lonely nites, they fade away he slips. Into his white nikes.. He smokes a clip and then he's on the way,. To free his mind in search of.... To free his mind in search of.... To free his mind in search of.... Day n nite.. The lonely stoner seems to free his mind at nite. He's all alone through the day n nite.. The lonely loner seems to free his mind at nite,. Ah ah at nite.. Day n nite.. The lonely stoner seems to free his mind at nite.. He's all alone, some things will never change.. The lonely loner seems to free his mind at night,. Ah ah at night."
dat new new,"(... head-banger). (Hello-. What it be. To you and yours). Salutations to all you can call me Cudi. Or Mr. Extravagant cause I'm getting my money.. Way my doors are swayin' it's like a bird on wheels. You can come to Ohio and you can see how it feels. And this the premier of that new new here. It's gona take you beyond. Where a jet can leer. But all you gon' hear is something crazy in fact. How I be burning the booth. We'll get you looser than Yak.. Yep yep... you got it... right.. Now don't get left get on your good foot it's only right.. That you step and keep boppin' til this shit unfamiliar. If you main line got time then I be drillen' her.. I keep you in my realm I keep you in the sound. I keep myself up high because the haze by the pound. (whaa?). And my imagination you can look all over the nation. But they ain't see. [Hook:]. You can look all over but you'll never find. (Hot shit) like mine. WOOP... it blow your mind.. You can look all over but you'll never find. (Hot shit) like mine. Cause I provide. That new new. Salutations my niggaz. I'm aware that I'm different. You can still keep it hood. While you're smoking just listen. It don't matter your race. Just take a blunt to the face. And we all gon rock. Gota keep up the pace. And the girls gon twerk it. Cause the vibe is poppin'. As well as the bottle. Keep it rockin' don't stop em. At the motel-8. We can park out front. Yeah the flow is unleaded. You sucka niggaz will front. Yeah cause I'm super-cut-lery-alistic-leaner-ala-docis. And rap ferocious I been coaching the league. I bobble head the public if you love it M dub it. Blood sweat and tears homie I'm made of it. Finish the class if you think nothin bout it. Tell em that grandpa you don't know nothin bout it. Wear kicks once then the leaner come up out em. I been saying it, you waz playin em. Now you know.. [Hook]. What it be to my ladies. With the bodies that kill. We were boppin on money. Fuck with me cause you're real. See you shakin' it fast. On some mystikal shit. You could slap that nigga. If he call you a bitch. Yeah I see you with that. But you should be on this. It's that Henney and Cocoa-Cola. Come over and sit. Won't you tell me your name. Tell me where you be at. I know you know that them hot. But I don't wana hear that. You see I ain't for a check before. I ain't for sex. Niggaz aim for death. They tryin to fuck with the blessed. Ain't no fuckin with amateurs. Run past the novas. Sip [? ]. And see who talks the slowest. Ain't no stopping me at all. You need to saw it off with maybe a chainsaw. And even if that. The crack that I brew is still new. You guys think acute but Cudi is obtuse. [Hook]"
memories (feat. david guetta),"Yeah.... All the crazy shit I did tonight. Those will be the best memories. I just wanna let it go for the night. That would be the best therapy for me. All the crazy shit I did tonight. Those will be the best memories. I just wanna let it go for the night. That would be the best therapy for me. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah.... All the crazy shit I did tonight. Those will be the best memories. I just wanna let it go for the night. That would be the best therapy for me. All the crazy shit I did tonight. Those will be the best memories. I just wanna let it go for the night. That would be the best therapy for me. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah.... It's getting late but I don't mind. It's getting late but I don't mind. It's getting late but I don't mind. It's getting late but I don't mind. It's getting late but I don't mind. It's getting late but I don't mind. It's getting late but I don't mind. It's getting late but I don't mind. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah. Hey, hey. Yeah, yeah..."
cudi zone,"Soarin'. Is this allowed?. I sure bet my daddy proud. A little nigga wit a Shaker smile. On top of the dreams is where I'm found. Some figured I was Satan bound. Until I came back with a style I found. Then all of the sudden they fixed they faces. Cause of who I know and trail of places, that I've stepped. How many niggas wanna hate cause I left?. How could you blame me and my plan of attack?. Cause I'm risking my soul attack. Now I'm heard all over the map. Only rule of thumb:. It don't really matter just where you from. All that really matter is where you're gon’ go. Maybe upstate for some. But you can't rule out these claps for gun (?). Second chances given out for some. All you gotta do is take advantage. So maybe you can get yourself a horse and carriage. Been pimpin’ you should think about marriage. Until then get it then. Find yourself and let's begin. Im’a tell you how in a minute,. Im’a show you how I be livin'. From a long time ago, a young nigga, he was timid,. Now I'm zone and see things so vivid. Hide my soul? Nah homie, not even. Im'a zone out till I lose feeling. Remember,. Im'a be gone way past November. Even stay up there, up there. Floatin’ floatin' hopin'. I could find peace somewhere. In my, mind sounds like oooooooh.... When I'm gone it feels like ooooooh.... When I zone,. I'm feeling alright. I'm feeling alright. I'm feeling alright. When I zone,. I'm feeling alright. I'm feeling alright. I forget about it all.. Ballin'. Is this allowed?. Without feelin' like Shallow Hal. Comma's (?) on the Jesus piece for style. Back in Cleveland city we ride around. Greetin' my niggas wit' dap and pounds. So if I fall I won't hit the ground. These are the things that'll make me smile. Knowin' this blunt might burn a while. I keep myself so lifted. I am accustomed to new heights. I feel perfect though they think it's worthless. See without my flight. Man, everybody wanna be a critic. I have my life and I will live it. Shut your mouth before I fuck it. Ha, my jokes they will love it. If I'm seen on the scene with my slim cut jeans. More than likely I am fadin' man. Doin' other shit if everywhere you go niggas ain't just standin' round hatin'. So, my advice is when the lights start flashin'. I'll be zonin' all alone. And then the place where my mind is goin'. Filled with songs that no one's knowin'. And the Devil in a hot pink dress tryin' to ask me for one dance. He think he slick, but my guardians protect me from his wrath. So, in my place no hate shall enter. Livin' high up there, up there. Copin' copin' floatin'. I will find peace somewhere. In my, mind sounds like oooooooh.... When I'm gone it feels like oooooooh.... When I zone,. I'm feeling alright. I'm feeling alright. I'm feeling alright. When I zone,. I'm feeling alright. I'm feeling alright. I forget about it all (all)"
ghost!,"Yeahh wahhhh wahhhhhh. Yeahh wahhhh wahhhhhh. Yeah...My name is Scott Mescudi. Yeah. Gotta get it through my big head,. I was so close to being dead,. Yeah, life live it, and nobody self-trips,. man i'm just walking without being led,. see the world is so crazy and filled with such risk,. and i just know i gotta pass them,. the beginnings are followed by an end,. in the in-between time I'm not running or hiding,. [Bridge]. See things do come around,. and make sense eventually,. Things do come around,. but some things trouble me. [Chorus]. The people I've met and the places I've been,. are all what make me the man I so proudly am,. But I want to know one thing, when did I become a ghost?. I'm most confused about the world I live in,. To think that I'm lonely well I probably am,. One thing that still gets me,. When did I become a ghost? Yeah. Yeahh waahhhhh wahhhhh,. Yeahh waahhhhh wahhhhh,. Tried to fight it,. But soon I gave in,. down the road with no lights on,. When you can't describe it,. and you don't move like them,. you become their worst nightmare,. you remember the things that you're parents have said and. rather find out the hard way. You should tell a friend to tell a friend to tell a friend,. I keep with my stroll I'm not running or hiding,. [Bridge]. See things do come around,. and make sense eventually,. Things do come around,. but some things trouble me. [Chorus]. The people I've met and the places I've been,. are all what make me the man I so proudly am,. But I want to know one thing, when did I become a ghost?. I'm most confused about the world I live in,. To think that I'm lonely well I probably am,. One thing that still gets me,. When did I become a ghost? Yeah. Ooooowoah. I hope they understand that I really understand that...they don't understand. I hope they understand that I really understand that...they don't understand. I really understand I think.... I really think I.... I hope they understand that I really understand that...they don't understand. Listen to me. Ooowoah. Listen to me. Ooowoah. . Almerizio Neto"
man on the moon,"I never gave a fuck. I never a fuck about what niggas thought about me. I mean did but like fuck it, you know what i'm saying?. You gonna love me man, you gonna love me man. V1. They can't comprehend. Can't even come close to understanding him. I guess if I was boring they would love me more. Guess if I was simple in the mind. Everything would be fine. Maybe if I was jerk to girls. Instead of being nice and speakin kind words. Then maybe it would be ok to say then. I wasn't a good guy to begin with. HOOK. But my mind is all crazy, crazy, crazy?. They got me thinkin I ain't human,. Like I came here from above, above, above?. Feelin like a airplane in the sky. But then they say I'm crazy, crazy, crazy?. They gat me thinkin I ain't human,. Like I came here from above, above, above?. Feelin like a bird sittin high high. CHORUS. I be that man on the moon. I'm that man on the moon. And imma do what I do. So do you hey hey. I be posted with my blunt and a brew my dude. I'm that man on the moon. I'm up up on the moon. TALKING. And its like, I.. I would play my stuff for everybody. And you know, and all my people would give me. feedback, you know. And theyd be like? Yo, yo why.. why your, shit sound. so different??. You know what i'm saying? Why your, why your, why your shit like. on another leve..?. Why's it sound so different?? like it's a bad thing. Then Id be like... Why not? Nigga!?. V2. Close my eyes, hide in the dark. It's a curtain call, come one come all. All I try to do is make it simple. The ones that make it complicated. Never get congratulated. I'm somethin different all aspects. Don't want a woman just to love her assets. I still wife her up even with her flat chest. The type to get hurt. But that's the past tense. HOOK. My mind is all lazy, lazy, lazy?. I be thinkin that I'm off,. Cuz they used to call me lame, lame, lame?. My swag was a little different. But then my mind is lazy, lazy, lazy?. I be thinkin that I'm off,. But they the ones who blame, blame, blame, blame?. I got the last laugh nigga. Chorus"
embrace the martian,"Ixnay on the bullshit man. When I roll back to Cleveland. I can't believe them. Sounds of the nonbelievers, outcasts. Till I'm under before it did hurt. Now I can overstand how you could just miss the front on. Ask me how I feel about the ones with closed eyes. Mouth words how I feel exactly. Aw fuck that. I don't give a damn I met one hater. Talkin' down. Don't be afraid at all y'all. All I ask of y'all is to please. Embrace the martian. Embrace the martian. I come in peace. But I need y'all rockin' with me. Please. Embrace the martian. And this is how it sounds. See I must tell you all now. Keep on acting funny. Cool with me. I am here to trace that. How ya thinkin' often and its startin'. I am here to show you how it feels to be new. Look at what I made true god to teach you. Honest been insecure cool. And you are cool. But I'm havin' heavy amounts of. Malarkey mixed with garbage. I am it dog. Don't be afraid at all y'all. All I ask about y'all is to please. Embrace the martian. Embrace the martian. I come in peace. But I need y'all rockin' with me. Please. Embrace the martian. And this is how it sounds. Embrace the martian. Embrace the martian. I come in peace. But I need y'all rockin' with me. Please. Embrace the martian. Licensed to ill. I promise I won't turn the whole world to Cloverfield. On the real, yeah I will. I'll destroy it and then rebuild. Just for thrills. Sometimes you got to do it. Sometimes you show the tough love. No one is above what you are hearin' now dude. No matter who else included. I'm saluted. I'm saluted. No matter who else included. I'm saluted( Yeah, Yeah). I'm saluted. Oh. Whether you appeal. Or not. This is the real. We'll recognize real. You. You are me. Like it or not. And I. I am you. You. You. You. Embrace the martian. Embrace the martian. I come in peace. But I need y'all rockin' with me. Please. Embrace the martian. And this is how it sounds. Embrace the martian. Embrace the martian. I come in peace. But I need y'all rockin' with me. Please. Embrace the martian. And this is how it sounds. Oooo. Oooo. And this is how it sounds. In my mind. Ooooo. by TUTS !"
love,"I am happy to be alive. Cause I know I could not be in a place. that's filled with lies. Can't stand no quiet nights. why I fill up my glass with pride. Hopeful is all I know. how to keep me from silent cries. Nothing I can say. Facing all this pain in my way. I fight it every day. Why am I this way?. A nigga tryna maintain. I sit and tell myself, ""Okay"". We gotta find another way. You gotta find another way. You gotta find another way. Don't be so down, c'mon young homie. You'll be okay, you'll find real love. All of the stories, the hero gets lonely. Now is the time to show what you're made of. Don't be so down, c'mon young homie. You'll be okay, you'll find real love. All of the stories, the hero gets lonely. Now is the time to show what you're made of. I am happy to be alive. Cause I know I could not be. in a place so filled with lies. Can't stand no quiet nights. why I fill up my glass with pride. Hopeful is all I know. how to keep me from silent cries. Nothing I can say. Done running from this pain in my way. I'm fighting every day. Why am I this way?. A nigga tryna maintain. I sit and tell my self, ""Okay"". We gotta find another way. You gotta find another way. You gotta find another way. Don't be so down, c'mon young homie. You'll be okay, you'll find real love. All of the stories, the hero gets lonely. Now is the time to show what you're made of. Don't be so down, c'mon young homie. You'll be okay, you'll find real love. All of the stories, the hero gets lonely. Now is the time to show what you're made of. Don't be so down, c'mon young homie. You'll be okay, you'll find real love. All of the stories, the hero gets lonely. Now is the time to show what you're made of"
heart of a lion (kid cudi theme music),"[Verse 1]. Please save a kid that needs some help. And I can't begin to think of anything that could. help. But the weed is guaranteed indeed just what I need. How I feel upon a time so recent in time make me sad. When I recollect,. How it use to be like David and Goliath kinda like me. and the devil. Tryna rip out my soul tryna catch a nigga on sleep no. no. You can try again and I'll be ready. Won't let you kill me in my dream like Freddy Krueger. Nooo I'm not no loser I'll see you in hell. [Chorus]. At the end of the day my momma told me. Don't let no one break me, let no one break me. At end of the day, day, nobody, nobody,. Ever could stop me ever could stop me. At the end of the day, day you can't regret it. If you were trying if you were trying. At the end of the day, day I'm walking with a heart of. a lion yea. [Verse 2]. Please save a kid that needs some help. And I can't see ahead of me so I move in stealth. Hide and seek within a dream. I seem to glide above my horror though. I feel I'll never be complete inside the dark I. borrow. To proceed and remain intact my mental is so unstable. And they talk and judge a man they have no clue of. what im capable. Till I show a side of me no one had thought could be. within. I told ya no I'm not no loser I'll see you in hell. [Chorus]. At the end of the day my momma told me. Don't let no one break me, let no one break me. At end of the day, day, nobody, nobody,. Ever could stop me ever could stop me. At the end of the day, day you can't regret it. If you were trying if you were trying. At the end of the day, day I'm walking with a heart of. a lion yea. No, no, no, no, no, no, noooo. (the heart of a lion, the heart of a lion). Yeah no Yeah (x4). [Verse 3]. I'm just a kid who needs no help. I've achieved a bigger thing no cash or check could be. more blessed. And if you would've seen the things I've seen up in my. stumble?. You'd be shook stay awake no need to run your fate. will follow you. You should know not for the faint at heart this world. understands no coward. It's a goal a simple code I stay on the grind to the. 25th hour. And I know the fight in me is somewhere hiding deep. within. I told you no I'll never let you drag me down to hell. no. [Chorus]. At the end of the day my momma told me. Don't let no one break me, let no one break me. At end of the day, day, nobody, nobody,. Ever could stop me ever could stop me. At the end of the day, day you can't regret it. If you were trying if you were trying. At the end of the day, day I'm walking with a heart of. a lion yea. No, no, no, no, no, no, noooo Yeah no Yeah (x4)"
