"beamer, benz, or bentley","[Hook]. Beamer, Benz, Or Bentley. Beamer, Benz, Or Bentley. Beamer, Benz, Or Bentley. My jeans are never empty bitch. Beamer, Benz, Or Bentley. Beamer, Benz, Or Bentley. Beamer, Benz, Or Bentley. This scheming dont affect me. [Lloyd Banks]. Im fresh Im fly, Im so damn high. more than 500 horses when I roll by. Im calm Im cool, everything brand new. I dont hand cuff you can get the whole damn crew. Get in my Beamer, Benz, Or Bentley. Beamer, Benz, Or Bentley. beat it I bet she let me. she been fiending since she met me. Im the coolest shit especially when I throw on all my Gretzky. got my sm-sm-smith and Wessie to protect me so respect me. this is heavy new Bentley. color vanilla and cherry Andretti-O Pirelli make a movie out the getty. where my ring and my confetti Im Kobe Bryant ready. pink Rose and chronic smelly while I'm stumbling out the telly. Im so fly Im so ferry and the way I flow is very. ginsu or machete, way my pencil move is deadly. platinum band platinum bezzie. make a straight girl out of lezzie. magazine mac bezzie keep my windows like the prezzie. press a button than Im stuntin. my roof look like its duckin. meter go 2 hundred something. and my trunk do wonders bumpin. I am not the one for jumpin I will rachet out and stump him. dump him, nigga you better off dead, ya money red. [Chorus - Juelz Santana]. Im fresh Im fly, Im always high. got ya bitch waving at me when I roll by. [Lloyd Banks]. Im calm Im cool everything brand new. I dont handcuff you can get the whole damn crew. [Hook]. [Juelz Santana]. Whether Beamer, Benz, Or Bentley. I be movin I be movin. making movies Tom Cruisin. If its action than Im shootin. pockets fat, necks studded. boy my nick name should be Ruben. my Columbian connect told me the Mexicans have moved in. and he know just how I get it so we bout to introduce him. got a girl named cigar called her that because she Cuban. got a black chick that be boosting. got a white girl that be boothin. gotta watch her cause she use it. but she fuck me like she stupid. and she always ready to give me that becky. last time it was so good I almost crashed my Bentley. hit the club, order bottles see them sparks in the sky. will have this whole bitch lookin like the 4th of July. but if you pussys get to frontin and the pushing lead to shoving. we just bussin and we leaving like its nothin. if it aint the Gucci or the Louie than its Polo or its Rugby. and this bitch I brought with me she be baggin bitches for me. [Hook]. [Lloyd Banks]. I got a girl named Kima. and Kima like Christina. baby three dont make a crowd it make a sex scene meaner. I just wanna get between her. turn it over scream her. than its one, two, and Im through, see ya. I scoop her in my Beamer, Benz or Bentley.. [Hook]. by: V. Aragão"
get low,"[Intro]. Uh... Yeah... I like the way you do that shorty (shorty). Now can you do somethin' for me (uh). I like the way you movin' girl. Show me how you do that girl. I like the way you do that shorty (uh). Now can you do somethin' for me. [Chorus]. I can't, stand here and watch her dance. She got me comin' outta my pants. And i dont wanna miss my chance, to jump on her. If i could, get her outta here i would. I never seen a girl move that good. And there's something tellin' me i should. Get Low!. [Verse]. Yeah... I'm in the 2006, brand new wagon. Lookin' for a diva to handle a dragon. And even if there's two of um, i'ma move in and bag um. Make sure i'm strapped, keep the Uz and the Magnum. Yeah the gun talk, but i'm talkin' 'bout the condom. They followin' me home with my dog right behind um. Have you ever seen a ass clap on a stallion. Another bad bitch half black and italian. I dont know if she likes me or my medallion. You think i give a fuck, i'm just tryna get a nut. I dont need no-one to build my self-esteem up. Im fresh out the hood, but fuck it its all good. Why you can use me, cuz i'ma use you. For menage-a-twage, you know the usual. And if you do me maybe i'll do you. A favour and walk you outside, rightt. [Chorus]. I can't, stand here and watch her dance. She got me comin' outta my pants. And i dont wanna miss my chance, to jump on her. If i could, get her outta here i would. I never seen a girl move that good. And there's something tellin' me i should. Get Low!. [Verse]. Naa, i aint ever aite pussy before. But im close to the edge if she pushin' me Lord. Her body language is that a nigga stiff as a sword. So she cant be a angel this bitch is a fraud. Head prolly took a nigga on a trip to the morgue. Pussy good enough to drive out the Michigan Ford. As soon as i hit the door she's squeezin' my arm. Hoppin' all on a nigga like Christina Milian. It might take a couple rounds to make me get to calm. But when she does go to sleep she might need a alarm. Cuz i'm gone, she wanna be with a don. But i'm stuck so i'ma keep it about me on a song. Aint nothin' wrong, with a lil' bumpin' and grindin'. Especially if they got somethin' behind um. Im high as hell, pussy drunk when i climb in. How a nigga unfortunate i'm in. [Chorus]. I can't, stand here and watch her dance. She got me comin' outta my pants. And i dont wanna miss my chance, to jump on her. If i could, get her outta here i would. I never seen a girl move that good. And there's something tellin' me i should. Get Low!. [Verse]. Shorty looks like she's datin' a fashion designer. Damn, she musta got that from her momma. You know me somewhere in the back with the Llama. Keeps one of the cats with the drama, i'ma. Get a lil' closer to her, ma look so sweet. She remind me of a lot of broads aint Monique. But a bird nigga tryna holla, they all speak. Do you write up her phone number down, they wont keep. Lemme get her, i have her burnin' Haze all week. Givin' me wop to the music, mine plays on beat. Yeah, i'm so street, i'm so cheap. I'm so fly, but you already know that i. Dunn been all around the world, they dont know that guy. But lil' man gon' talk to, i oppose that i. He just mad that he aint got the kinda clothes i buy. All ride in the U.F.O i drive. [Chorus]. I can't, stand here and watch her dance. She got me comin' outta my pants. And i dont wanna miss my chance, to jump on her. If i could, get her outta here i would. I never seen a girl move that good. And there's something tellin' me i should. Get Low! (low, low, [echoes])"
karma,"[Chorus]. I am the one you denied. Pushed me off everytime I tried. But Im alright. Im able to swallow my pride. And put all the bullshit to the side. If your ready to ride. Im down for a one night stand. Ill accept it any way that I can. Cause I aint yo man. Ill try for what ever its worth. Just remember who played who first. [Lloyd Banks]. I cant keep my eyes off you. I can tell why them other guys lost you. Your kinds rarer then a flying saucer. And thats why I can offer. Similarities in our characters. Havent ya heard the word around town. How I get down. They all whistle. Every bodypart is official. And that ass withchu got my dick hard as a missle. Dont hop on top. Cuz I ride around with a pistol. If they pull us over Ill be out of town with a issue. If you was mine, Id introduce you momma girl. Your style and your boots are Gabana. Im so used to your Prada. I take trips cuz out in Houston its hotter. Throw on that Al Green and use the Impala. Make my jewels on my collar. Ya had me feelin like a fool when I hollad. Tryina squeeze in but you wouldn't bother. And I aint either. Soon as I realize that I ain't neither. She in a rush to get close to me but I aint eager. Shiiiit. [CHORUS]. [Lloyd Banks]. Look I dont mean to bother you. But your sex appeal is remarkable. You make a G wanna walk around in the park witchu. There aint no tellin the kinda things Ima start to do. If I get wrapped up on your ass too fast. I can tell you feel the same cause when I ask you laugh. So Ima leave it at that. Take a hint and put in my math. I imagine your body look twice as good in the bath. And Im buggin. Cuz I can see you right in the hood when I pass. Im never stable cuz business is on my ass. But you can be the one that I visit before I dash. And I admit I been the type to hit and split. But you cant blame me for the females that I been gettin wit. Cuz mosta these broads has had they eyes on my grit. Til they eat this shit and learn to be satisfied with the dick. and If you aint worth it - thats all you get. I aint gonna blame you, Ima blame all you tricks. Cuz. [CHORUS]. [Lloyd Banks]. Its seems like your attitude, only appears when Im mad atchu. And several situations occur and that includes. When Im going too long, ridin through them avenues. As soon as I get home theres rumors and scattered boos. You know my fantasies. Am I feelin things? And can this be?. Your girlfriend tryina sandwich me. My hearts colder than sandwich meat. Cuz I come from the hood where the hammers be. I move fast but I switch pace. And pop a listerine strip in. Before you get all up in the bitch face. Movin your body like this. Gonna make me blow like a bottle of Cris. Man I dunno. No, and how did it twist. Ya got my temperature risin. From your hips and your thighs. And that glare in your eyes'll brighten up the horizon. It comes naturally, I dont bribe em. Its easy as one,two,three and I slide in. [Chorus 2x]."
warrior,"Lloyd Banks - Warrior Lyrics. (Warriors! Come out to Pla-a-a-y!). I'm a warrior!. Aw man I never run never snitch. I'm a grown man dog I ain't no bitch (A warrior!). Don't change cause he's rich. Before I shit on my family I lie in a ditch. Don't fold under pressure. You got a shell waitin in the hole if they test ya (A warrior!). I'll sacrifice it all if he has ta. React and think about it after. Uh, You heard right motherf**ker. My grandmama' daughter ain't raised no sucker. Heart full of pride and a head full of anger. Attitude of a winner infared for the danger. Even the paranoya of a female'll change ya. Waking up every morning laying next to a stranger. I'm on the move, smooth, with one eye out for the snakes. Who can't stand hearin your name all throughout the states. Tune into BET and watchin your video. Pretending to be your friends but the smart ones really no, so. If that's your man warn him. 'Cause there's enough bullets in here to hit every NBA patch on. him. Nigga ride 'til I die the song I sing. You ain't ready for the war I bring. You ain't gonna do a goddamn thing. And I ain't ever scared I'm a warrior!. [Chorus]. Man I never run never snitch. I'm a grown man dog I ain't no bitch (A warrior!). Don't change cause he's rich. Before I shit on my family I lie in a ditch (A warrior!). Don't fold under pressure. You got a shell waitin in the hole if they test ya (A warrior!). I'll sacrifice it all if he has ta. React and think about it after. I'm a warrior!. Goddamn hoe here I go again. The Double L O Y D. Here put on an I.V. Tryin ta try me. The new age I lead. The black C.I.G. Resides beside me. As smooth as an Isley. Sometimes I surprise me. Can't even ID. As low as my eyes be. I roll with the gangstas don't get fly with your mouth. The wrong punchline'll have niggaz inside of your house. Nigga I'm doing good I made it out of the hood. I own Beverly Hills no more bottles or wood. That's a zipper that's sticky. California should whip me. I done made it this far can't be mad if they hit me (shhiit). Nigga ride 'til I die the song I sing. You ain't ready for the war I bring. You ain't gonna do a goddamn thing. And I ain't ever scared I'm a warrior!. [Chorus]. Man I never run never snitch. I'm a grown man dog I ain't no bitch (A warrior!). Don't change cause he's rich. Before I shit on my family I lie in a ditch (A warrior!). Don't fold under pressure. You got a shell waitin in the hole if they test ya (A warrior!). I'll sacrifice it all if he has ta. React and think about it after. I'm a warrior!"
my house,"[Intro]. People!. Ya boy Banks is back!!. And this is a Timbaland track!!. This is myyy house [I'll house you]. Bitch I run this [Girl, i'll house you]. This is my house [I'll house you, you in my house now]. [Chorus-LLoyd Banks/50 Cent]. This is myyyy house you gonn do what I tell you to do. When you in my house under my roof you follow my rules. This is myyyy house [Put ya hands up, put ya, put ya, put ya, put ya, put ya hands up]. This is myyyy house [I'll house you, Girl you in my house now]. [Verse-Lloyd Banks]. Hey, you under my roof. So take off your coat, your hat and funny boots. I can?t tell you they names, i just know they loose. Off a mixture of cranberry and the goose. A lil runnin in thats at least a hundred proof. Shorty eyes wide from the Bentleys and the Coupé She cant stop starin so she trippin off the stool. And ima playboy i might as well tell her the truth. you tryna menage-twat or hit the booth. I got a big pool in the room with bathing suits. See I can go swim, though I get it in. I?ll show you how to make a million dollaz with a pen. I drink champagne and pop bottles when I spin. I cant complain the top models in the Benz. My wheels is shining, like theres diamonds in the rims. Just give me a day or two im climbin in the friendz. I do what I wanna do cuz. [Chorus-LLoyd Banks/50 Cent]. This is myyyy house you gonn do what I tell you to do. When you in my house under my roof you follow my rules. This is myyyy house [Put ya hands up, put ya, put ya, put ya, put ya', put ya' hands up]. This is myyyy house [I'll house you, Girl you in my house now]. [Verse-Lloyd Banks]. Hey, watch how you speak. Cuz I dont slip or sleep, I got the heat. If you get outta line, youll be in the street. Ambulance man tryna cover up the leak. Nobody will care, theyll forget you in a week. I rather go in there with a swisha with a freak. And get a lapdance while I listen to the beat. Shes puny and petit I can lift her off her feet. If she gives me the spur, you know im fuckin her. Im iced out so she dont see nuthin but a blur. Be careful where you rub dont get nuthin on the fur. They know we got the things so the drama dont occur. You front cuz u drunk, yo ass gettin jumped. Im high off the funk, dro, hash and the skunk. But then the niggaz dump yo ass in the trunk. All youll remember is a black mask and a pump. Them niggaz shouldve told you. [Chorus-LLoyd Banks/50 Cent]. This is myyyy house you gonn do what I tell you to do. When you in my house under my roof you follow my rules. This is myyyy house [Put ya hands up, put ya, put ya, put ya, put ya', put ya' hands up]. This is myyyy house [I'll house you, Girl you in my house now]"
"warrior - part. ii (feat. eminem, 50 cent, nate dogg)","(feat. Eminem, 50 Cent, Nate Dogg). [Intro - Eminem]. Remix [echoes]. Lloyd Banks! [echoes]. Ha ha! [echoes]. [Verse 1 - Eminem]. It's like a throne that he dont even own. He wont sit down, given the crown he just throws it around. It's like a joke he's like a king, but he dont rule a thing. He dont want the diamonds, want the gold or want the jewelry. He dont want the fame dont want the lute he's in this for a sport. Runnin suckaz with the competition round the court. He appreciates your support but he aint beggin for it. And you cant love it you can hate it but you cant ignore it. You cant be that ignorant but you can try to sell him short. But you cant fuck with his last joint or the one before it. And he was gonna raise hell like them country boys. And if I'm frontin then you better come confront me for it. [Chorus - Nate Dogg]. This Is The Story Of A Warrior U Kno U Kno It. Tru Warrior Go Ahead Make Some Noise. It aint healthy To Be Makin Niggaz Paranoid. Hit Ur Corner Wit More Weapons I Dont Need My Boyz. Im Doin About 120 On The Fast Lane. Kick Back Just Relax Let Me Do My Thang. Dont Give a Fuck About You Suckas Gotta Maintain. Money Power And Respect In This Rap Game. [Verse 2 - Lloyd Banks]. He's straight outta the neighborhood but Niggaz hate. They see you go and eat your dinner off a bigger plate. Your stomachs ache while he's loungin at the big estate. And he hops in a 100 thousands with a Nigga's gate. House with just a bigger gate , houndin him was a big mistake. He wont surrender he'd rather give up a rib to break. Cuz he horrendous when they wouldnt lend a helpin hand. So he was sittin on green like a Celtic fan. Created a buzz so when you gotta mention his name. When you discuss him the illest playa that's in the game. And he's ridin with Em, 50 cent, Doc and them. G Unit records aint no motherfuckin stoppin them. [Chorus - Nate Dogg]. This Is The Story Of A Warrior U Kno U Kno It. Tru Warrior Go Ahead Make Some Noise. It aint healthy To Be Makin Niggaz Paranoid. Hit Ur Corner Wit More Weapons I Dont Need My Boyz. Im Doin About 120 On The Fast Lane. Kick Back Just Relax Let Me Do My Thang. Dont Give a Fuck About You Suckas Gotta Maintain. Money Power And Respect In This Rap Game. [Verse 3 - 50 Cent]. These niggaz got A Lot of Nothin. So those niggaz from the hood act like we owe em somethin. They talk crazy til we send this nigga in there to fuck em. Ask 'em if theres a problem and they'll say naw its nothin. He's been tryin to help em out, but since they fronted, fuck em. He dont care how they feel theyre makin em love em. He hold it down on his own the kid is really thuggin. He's rich now, he aint change since these Niggaz buggin. He pull a clip everything Niggaz try to buck him. Keep ya pistols on ya hip I show you we aint tuck em. Niggaz say they gon' get at him but they cant touch him. Try to catch em slippin, they creepin and he start bustin. [Chorus - Nate Dogg]. This Is The Story Of A Warrior U Kno U Kno It. Tru Warrior Go Ahead Make Some Noise. It AInt Nothin' To Be Makin' Niggaz Paranoid. Hit Ur Corner Wit More Weapons I Don't Need My Boyz. Im Doin' About 120 On The Fast Lane. Kick Back Just Relax Let Me Do My Thang. Dont Give a Fuck About You Suckas Gotta Maintain. Money Power And Respect In This Rap Game. [Nate Dogg]. I can give you somethin' you can talk about. I can turn this smile upside down. You ain't no G-Unit fuckin' clown. I can take your girl until I turn her out. The bootey layed all out. I can give you fuckin' somethin' to be mad about. And buy her rings and I back out. With my DNA all in her mouth"
smile,"[50 Cent]. Yeah, this somethin special y'know, somethin epic. Lloyd Banks, you know. Cause a nigga thuggin don't mean he don't. Don't wanna see you smile baby. [Intro: 50 Cent]. Wooo! he wanna be the reason you smile. he wanna be the reason you smi-ile. he wanna be the reason you smile. After you wipe away your tears and dry your eyes. [Verse One: Lloyd Banks]. I'm gettin the feelin you wanna take revenge. From the conversations we have and the way it ends. You wanna discuss me in front of your lady friends. That's why it's just me in my Mercedes Benz. It all depends, maybe if we make amends. We can start from scratch. Learn to control your temper and relax in fact. We plan to be platonic with our hearts in tact. So everytime we seperate, somebody's marchin back. You're amazing in the sack. Eyes slanted like you're Asian, but you're black. God Bless whoever gave you all that. If you seen her from the back. You'd understand why this feel like that. And ain't a flaw to her toes, the Lord knows. Her pussy good enough to miss award shows. And I ain't gotta say nothin, she just knows. By the way I look at her to take off all her clothes. Up and down. [Chorus: Lloyd Banks] + (50 Cent). even though I'm not around, and you feelin down. Let the thought of me be ( be the reason you smile). I don't wanna see you frown, like them kids watch a clown. I wanna bring you joy and be ( be the reason you smile). Baby, you know my style, you know how I get down. I provide by any means to be ( the reason you smile). We done been through ups and downs, had drama for a while. I'm just happy I'm around to be ( be the reason you smile). [Verse Two: Lloyd Banks]. The main reason I been lookin at you pitiful. What about the half of this shit I done did to you. Violated and took tip toed into a crib or two. I've come clean to be a bigger individual. Even though you're busy boo, the evening's when I visit you. Kinda makes me feel lucky, cause I see niggaz. when you tease 'em with your physical. She wanna rack up her brooms, I ain't got no more room left. Wild drama, section 8 princess. My foreign chick bad, but she been stressed. plus it's hard to communicate. Cause she don't speak-a no english. I been around the world state to state. But now I'm back bustin in your bathroom. Got you laughin in your shower cap, let's get it on. Cause I'm leavin in a hour flat but it don't matter she's mad. Even when I holla back. All I really need your attention for a while. And, I bet you I can make you smile. [Chorus] - 2X."
i don't deserve you,"[Intro: Jeremih]. OH! YEAH! OH! YEAH! OH! YEAH! OOHHH!!!!. [Chorus: Jeremih]. I think I love you, don?t let me get in the way (Get in the way). Don?t let me stop you girl, from doin your thing (Doin your thing). ?Cause I don?t deserve you (NO!) I don?t wanna hurt you, play with your mind. Have you runnin in circles,. don?t let me get in your way (Get in your way). Yeah!. [Verse 1: Lloyd Banks]. It ain?t even the puss I got you ma. It?s usually a one way thing but baby girl got mine. Perfection is the formula when me and her combine. Like candy to the corn and yeah you?re finger lickin fine. In due time I?m sure that I can please ya, squeeze ya, weak knees ya. Need ya like you need me, and don?t mislead ya. Love?s free, but treat it wrong and pay the price. Get down on one knee, that bitch ?gon leave with half your life. Man believe me, I ain?t ?gon feed ya bad advice. Look it?s easy, so don?t forget to strap up tight. Ride, hide yourself as if I kept you so. I love you enough to let you go. Cause on the other hand I couldn?t take it. If I, put all I got in you and someone got you naked. You work hard for money but it?s harder when you make it. This chick?s comin fast, here?s your heart ?fore I break it. [Chorus: Jeremih]. I think I love you, don?t let me get in the way (Get in the way). Don?t let me stop you girl, from doin your thing (Doin your thing). ?Cause I don?t deserve you (NO!) I don?t wanna hurt you, play with your mind. Have you runnin in circles, don?t let me get in your way. (Get in your way). Yeah!. [Verse 2: Lloyd Banks]. Uhh, what type of nigga would I be to hold you up?. You need someone to hold you down and wreck, ya life?s fucked up. I gotta shake you out my system cause with the fuckin and kissin. And all your emotions mixin puts me in a tough position. Baby what I am supposed to do?. I can?t control my actions when I?m close to you. We been away too long, girl we overdue. I guess the cake get enough, you wanna eat it too. See me and you, have a magnet in between, like it?s pullin me close. I?m like a addict for your scream, you?re fully loaded toast. A automatic with the beam, the baddest on the coast. I got to have you like the green, your swagger?s more than most. I got a sex drive that won?t allow me to ?lax. Bring on the next five, look how they crowd on my lap. Booty breast thighs keep ya boy relapsin back. And you deserve way more than that, I?ll just fall back. [Chorus: Jeremih]. I think I love you, don?t let me get in the way (Get in the way). Don?t let me stop you girl, from doin your thing (Doin your thing). ?Cause I don?t deserve you (NO!). I don?t wanna hurt you, play with your mind. Have you runnin in circles, don?t let me get in your way (Get in your way). [Outro: Jeremih]. I?ve been thinkin a long time, that, wishin that you were just all mines. But, maybe this is the wrong time, yeah,. that I deserve ya, I don?t deserve ya. I?ve been thinkin a long time, that, wishin that you were just all mines. But, maybe this is the wrong time, yeah,. that I deserve ya, I don?t deserve ya. I don?t deserve ya, I don?t deserve ya, I don?t deserve ya?."
on fire,"(Lloyd Banks Talking). New York City. You are now rockin with the best. Lloyd Banks. G-Unit. (Chorus - 50 Cent). We on fire. Up in here, it's burnin hot. We on fire. Shawty take it off if it get too hot, up in this spot. We on fire. Tear the roof off this ma'a'fucker, light the roof on fire. (Nigga wutchu say?). We gettin loose in this muh'fucker, light the roof on fire, fire, fire. (Verse 1 - Lloyd Banks). Naw I aint puttin nuttin' out, I smoke when I wanna. 26 inch chrome spokes on a Hummer. This heat gon' last for the whole summer. Runnin your bitch faster then the Road Runner. Rocks on my wrist, rolls gold under. Glocks on my hip, those throw thunder. I'm buyin diamond by the pier. But when you stop, the only thing still spinnin is your hair. Yeah, I'm ridin with that all black snub. Raiders cap back, all black gloves. I'm 80s man, but the boy smack thugs. These record sales equal more back rubs. Not to mention I bought a pack of clubs. His impacts about as raw as crack was. Now all these new artists gettin wrong deals. I'm only 21, sittin on mill's. (Chorus - 50 Cent). We on fire. Up in here, it's burnin hot. We on fire. Shawty take it off if it get to hot, up in this spot. We on fire. Tear the roof off this ma'a'fucker, light the roof on fire. (Nigga what you say?). We gettin loose in this muh'fucker, light the roof on fire, fire, fire. (Verse 2 - Lloyd Banks). If you know anythin about me, then you know I'm a baller. If I 'ont hit the first night, I aint gon' call her. I'm tryna play, you tryna have my daughter. But I can't blame her for what her momma taught her. And I don't care 'bout what the next nigga bought her. Cause I ain't puttin no baguettes in her butter. I got a diamond about as clear as water. And I got bread, but I ain't spend' quarters. So cut the games ma, lets go in the back. Matter fact, turn your ass round, back a nigga down. And I ain't biast when I'm ridin through the town. Like 'em small, like 'em tall, like 'em black, like 'em brown. She gotta be able to come when I need her. Tight ass pants, little wife beater. Regular chick or R&B diva. Bitch say somethin, I ain't a mind reader. (Chorus - 50 Cent). We on fire. Up in here, it's burnin hot. We on fire. Shawty take it off if it get to hot, up in this spot. We on fire. Tear the roof off this ma'a'fucker, light the roof on fire. (Nigga what you say?). We get loose in this muh'fucker, light the roof on fire, fire, fire"
you already know,"Intro: Lloyd Banks]. Uh! Uh! Uh! Uh! Uh!Uh. [Chorus: Lloyd Banks]. You already know, my mind is on my dough. A millionaire that won't spend a dollar on a hoe. I'm still in here tryin' to get a model out the do'. High blowin bottle after bottle of that dro. Slidin' on the road, groupie in my vehicle that I don't even know. And If I wasn't Banks shorty probably wouldn't roll. From the Benz to the lobby from the lobby to the do'. If you ain't with the program ma you gotta go. [Verse 1: Lloyd Banks]. I move like it's Po' Po' behind me, cocoa inside me, so cold and grimey. Fo' Fo' beside me, hoes know to find me. Where there's money, yeah I'm the shit honey (WOO!!!). Hood nigga with the rubberband grip money. If I go broke I make you and your man strip dummy. Yeah nigga, you don't want it with them they're bigger. Cross us, you're on somethin' we bare niggaz. Yeah nigga hair trigga teflon chest gone G's up. Freeze up and you'll end up in your lawn. It's the protege of 50, inspired by Biggie. Burns more than Ziggy, them lil' niggaz dig me. I been stressed out lately, so I'm smokin' more than ever. Dead smack in the hood good pokin' out my leather. I'm a Good Fella, in a G-Unit hood sweater. If your bitch give me a sign I'm a get her. [Chorus: Lloyd Banks]. You already know, my mind is on my dough. A millionaire that won't spend a dollar on a hoe. I'm still in here tryin' to get a model out the do'. High blowin' bottle after bottle of that dro. Slidin' on the road, groupie in my vehicle that I don't even know. And If I wasn't Banks shorty probably wouldn't roll. From the Benz to the lobby from the lobby to the do'. If you ain't with the program ma you gotta go. [Verse 2: 50 Cent]. 'Cause were always focused we move around with the toasters. Push the rock to the smokers, warnin' do not approach us. We in the club with the pokers, steppin' in Gucci Loafers. Stuntin' in Testerossas, stylin' in front of vultures. Ma quickly to call us, baddest bitches they know us. After the shows they blow us, and do all type of shit fo' us. Now I can speak for me cause me everywhere I be. Niggaz know I'm a G, got it locked got the keys. We move from bundles to D sippin' on Hennessy. Buck rollin' the trees, Banks countin' the cheese. We get the paper then breeze, nigga we overseas. You stuck in the hood, aw that ain't good. Different town, different tour, different telly, different whore. Triple X, wet sex, who's next, latex. Condom, condo, I'm tight my money long though. You lookin' for a drink bitch I ain't what you lookin' fo'. [Chorus: Lloyd Banks]. You already know, my mind is on my dough. A millionaire that won't spend a dollar on a hoe. I'm still in here tryin to get a model out the do'. High blowin bottle after bottle of that dro. Slidin on the road, groupie in my vehicle that I don't even know. And If I wasn't Banks shorty probably wouldn't roll. From the Benz to the lobby from the lobby to the do'. If you ain't with the program ma you gotta go. [Verse 3: Young Buck]. I'm out on bond but the forty still on me. Bouncin 'round like Lil' Jon thinkin 'bout my dead homies. Watch I hit, need a lick, ain't 'gon get me a brick. I keep on losin shootin' dice and I'm sick of this shit. Clientele still poppin' so the junkies keep comin. And my neighbors is watchin' but we still gettin' money. On this block 'till the sun drop I don't have a home. I will not stop, sellin' rocks, thug 'till I'm gone. Got a couple old schools and some iced out jewels. Some G-Unit shoes body full of tatooes. 'Bout to stomp me a bitch, put the pump to his lips. Tell him talk that shit, now y'all wanna trip. I keep it dirty on the East Coast dirty on the West. Just a dirty lil' nigga with a glock and a vest. Banks tell me you don't like 'em and you know what I'm a do nigga. [Chorus: Lloyd Banks]. You already know, my mind is on my dough. A millionaire that won't spend a dollar on a hoe. I'm still in here tryin' to get a model out the do'. High blowin' bottle after bottle of that dro. Slidin' on the road, groupie in my vehicle that I don't even know. And If I wasn't Banks shorty probably wouldn't roll. From the Benz to the lobby from the lobby to the do'. If you ain't with the program ma you gotta go"
