my favorite part (feat. ariana grande),"Don't know why thinking of him makes me smile. Said, you just don't know how beautiful you are. And baby that's my favorite part. You walk around so clueless to it all. Like nobody gonna break your heart. It'll be alright babe, see, me, I got you covered. I'm gon' be your lover, you might be the one. If it's only tonight, ayy, we don't need to worry. We ain't in a hurry, rushin' into love. Said, you know I know who you really are. Ain't need to lie. Said, the universe couldn't keep us apart. Why would it even try?. Yeah, said, don't let them hurt you ever. I know you far too smart. Before things come together, they have to fall apart. It's been a while since I've been sober. This life can be so hard. I'd rather talk about you. Said, you just don't know how beautiful you are. And baby that's my favorite part. You walk around so clueless to it all. Like nobody gonna break your heart. It'll be alright babe, see, me, I got you covered. I'm gon' be your lover, you might be the one. If it's only tonight, ayy, we don't need to worry. We ain't in a hurry, rushin' into love. If you wanna stay, we're taking it slow baby. Cause you and me, and I got enough on my mind. But I can make some time for something so divine. Said, you just don't know how beautiful you are. And baby that's my favorite part. You walk around so clueless to it all. Like nobody gonna break your heart. It'll be alright babe, see, me, I got you covered. I'm gon' be your lover, you might be the one. If it's only tonight, ayy, we don't need to worry. We ain't in a hurry, rushin' into love"
self care,"Yeah, yeah, yeah, yeah. Yeah, yeah, yeah. I switched the time zone, but what do I know?. Spending nights hitchhikin', where will I go?. I could fly home with my eyes closed. But it be kinda hard to see, that's no surprise though. You can find me, I ain't hiding. I don't move my feet when I be gliding. I just slide in and then I roll out. Yeah, well, climbing over that wall. I remember, yes, I remember, yes, I remember it all. Swear the height be too tall so like September I fall. Down below, now I know that the medicine be on call, yeah. It's feeling like you hot enough to melt, yeah. Can't trust no one, can't even trust yourself yeah. And I love you, I don't love nobody else, yeah. Tell them they can take that bullshit elsewhere. Self care, I'm treatin' me right. Hell yea, we're gonna be alright. (We gon' be alright). I switched the time zone, but what do I know?. Spending nights hitchhikin', where will I go?. I could fly home with my eyes closed. But it be kinda hard to see, that's no surprise though. You can find me, I ain't hiding. I don't move my feet when I be gliding. I just slide in and then I roll out. Been on the road. I don't see it. Out on the road. I don't see it. Yeah, I been reading them signs. I been losin' my, I been losin' my, I been losin' my mind, yeah. Get the fuck out the way, must be this high to play. It must be nice up above the lights, and what a lovely life that I made. I know that feelin' like it's in my family tree, yeah. That Mercedes drove me crazy, I was speedin'. Somebody save me from myself, yeah. Tell them they can take that bullshit elsewhere. Self care, we gonna be good. Hell yeah, they lettin' me go. I switched the time zone, but what do I know?. Spending nights hitchhikin', where will I go?. I could fly home with my eyes closed. But it be kinda hard to see, that's no surprise though. You can find me, I ain't hiding. I don't move my feet when I be gliding. I just slide in and then I roll out. And I didn't know, I didn't know. I didn't know, I didn't know, hey. Well, didn't know what I was missing, now it see a lil' different. I was thinking too much. Got stuck in oblivion, yeah, yeah. Oblivion, yeah, yeah. Oblivion, yeah, yeah. I got all the time in the world so for now, I'm just chilling. Plus I know it's a, it's a beautiful feeling. In oblivion, yeah, yeah. Oblivion, yeah, yeah. Oblivion, yeah, yeah. Yeah, ok I ride around my city when I come home. The sun set quickly then get up slow. My disc connect and upload. Watch it spin around, we just spinnin' round. Let's go and travel through the unknown. We play it cool we know we fucked up, yeah. You keep on sayin' you in love, so. Tell me are you really down?. Are you really down? Yeah. Let's go back to my crib and play some 45's. It's safer there, I know there's still a war outside. We spend our nights all liquored up, our mornings high. Can you feel it now?. Oblivion, yeah, yeah. Oblivion, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah. Oblivion, yeah, yeah. I got all the time in the world, so for now I'm just chilling. Plus, I know it's a. It's a beautiful feeling. In oblivion, yeah, yeah. Oblivion yeah, yeah. Oblivion, yeah, yeah"
perfect circle / god speed,"[Intro]. Woo-ooh-ooh. Ooh-ooh. [Verse 1]. (Fuck you). I came for whoever is in charge. I suggest you go and get yourself a weapon and a guard. They need some coffee, everybody's sleeping on me. Going around door to door, setting off alarms. All that horse shit, you should have left it at the barn. Keep a stallion, tell her gallop. to the store and get cigars, yeah. Too many whips, gotta get a new garage made. I might steal one just to drive it in a car chase. Me and my bizarre ways (no emergency). I moved up from a Private to a Sergeant. You can see it from a scar face. Hidden in a dark place, swimming in the shark tank. Give a bitch a little bit of change. she a game in an arcade. (Time crisis) Not a second to lose. I'm the motherfuckin' Bible, that's forever the truth. And this is not another case of the celebrity blues. The devil with me and he tell me to shoot. [Hook]. Murder, murder, murder, what would you do?. Have you ever had to hurt her? Just for something to do. Can you draw a perfect circle?. Lot of lies cover the truth, you got options. what do you do?. I wash these pills down with liquor and fall. Leave it to me, I do enough for us all (I do). Got what you need if you like breaking the law. My mother raised me a God (Hey). (Fuck you). [Verse 2]. Yeah, blame the drugs, got me sinning on the weekday. Drunk as fuck, doing buck sixty on the freeway. Giving y'all the freebase. hidden in the middle of a briefcase. Hidden in a subwoofer, beat case. Used to wanna know how a freak taste. Now I'm in it in an instant like replay. Bras a baton, pass it off like relay. Why I'm so mad on my B-Day?. She say ""I thought you got sober"". And I say ""I wish you'd stop being a bitch. And get to minding your business"". Told me ""Money has changed you"". I get to thinking, how rarely do I visit?. How'd I get so egotistical? I'm a Buffalo Soldier. Heaven is a mile away, the trouble, much closer. I'm only twenty-three but my mind is older. and it'll forever be. Dead presidents to the homies, death to my enemies. [Hook]. Murder, murder, murder, what would you do?. Have you ever had to hurt her? Just for something to do. Can you draw a perfect circle?. Lot of lies cover the truth, you got options. what do you do?. I wash these pills down with liquor and fall. Leave it to me, I do enough for us all. Got what you need if you like breaking the law. My mother raised me a God (Hey). (Fuck you). [Bridge: Ab-Soul & Mac Miller]. A goddess told me? good morning? when I woke up. (Fuck you). You know I had a good morning when I woke up. (Fuck you). Gotta thank God every morning then I woke up. (Fuck you). Would you remember me if I never woke up?. Bye bye (Fuck you). I've been a sinner, I'm just tryna stay. Warm through winter, and I'll be on my way. I'm just a drifter, in endless seas of whispers. I just need some shelter, give me shelter from the wind. [Refrain]. Woo-ooh-ooh. Ooh-ooh. Woo-ooh-ooh. Ooh-ooh. [Interlude: Transition]. Your call has been forwarded to an automatic voice. message system 412-9?. *buttons dialed* is not available. [Miller Mccormick]. Hey man, I wish you were here, happy holidays. uhm, I love ya. And I hope you have a good night. weekend I hope I talk to you soon. alright, godspeed?. [Part 2: God Speed]. [Verse 1]. Oh yeah, I thought I'd have it figured out by now. Shit would be simple. problems would be in the past by now. Me and the homies would be sitting on millions. Reminiscing on times. when we were so broke and living in Oakland just chillin'. I thought I'd have it in the bag by now. I thought that we'd be kicking back by now. I know that life is a bitch, I know that life is a bitch. I thought we'd put her in a cab by now. But I'm stressing, I can't relax. I swallow my pride and I'm hiding what's making me mad. Everybody say I need rehab. Cause I'm speedin' with a blindfold on. and won't be long 'til they watching me crash. And they don't wanna see that. They don't want me to Od and have to talk to my mother. Telling her they could have done more to help me. and she'll be crying saying. that she'll do anything to have me back. All the nights I'm losing sleep, it was all a dream. there was a time that I believed that. But white lines be numbing them dark times. Them pills that I'm popping, I need to man up. Admit it's a problem, I need a wake up. Before one morning I don't wake up. You make your mistakes, your mistakes never make ya. I'm too obsessed with going down as a great one. But if you wait too long, they go find someone. to replace ya. So I guess this is a letter, to all my brothers. Most Dope, that's forever. I love you more than words could express. And this the part that Q start crying, if he ain't already yet. I did my best to be a leader you respect. At times I became weaker, got defeated by regret. So tell my baby I love her. And if she give me the chance. I'll put a seed inside her, make her a mother. Just know that there's a place. Where all my people worry free and everybody straight. Every devil don't got horns. and every hero ain't got capes. Opened up my eyes, shit, I'm finally awake. Good morning. Yeah, good morning. [Interlude: Outro]. Yo Vin, it's the morning, you gotta go to work. ""alright"". Yo, you gotta be at work in like ten minutes, yo. (You good?). ""I'm straight, yo what's good? "" (when you going?). You gotta pick up the dry cleaning and shit still?. ""man, fuck that shit, I'll skip"". You bout to go to work?. ""mm"". Ight, what time you gotta be at work?. ""I don't know"". soon?. You Democrat or Republican?. ""Uuhh""I don't know anymore?. Would you vote for a female president?. ""I don't care what gender or race you are"""
2009,"Yeah. Eric. Well. I don't need to lie no more. Nowadays all I do is shine, take a breath and ease my mind. And she don't cry no more. She tell me that I get her high. 'Cause an angel's s'posed to fly, and. I ain't askin' why no more. Oh, no, I take it if it's mine, I don't stay inside the lines. It ain't 2009 no more. Yeah, I know what's behind that door. Yeah, okay you gotta jump in to swim. Well, the light was dim in this life of sin. Now every day I wake up and breathe. I don't have it all but that's alright with me. Take it nice and easy, took a flight to see me. Send you back home with a light that's beamin'. The whole team 'bout to figure it out. We ice cold, that's what winter's about. And sometimes, sometimes I wish I took a simpler route. Instead of havin' demons that's as big as my house, mhmm. Have a ball with a dribble and bounce. 'Cause the party ain't over 'til they're kickin' me out, yeah. Isn't it funny? We can make a lot of money. Buy a lot of things just to feel a lot of ugly. I was yea high and muddy. Lookin' for what was lookin' for me. But I don't need to lie no more. Nowadays all I do is shine, take a breath and ease my mind. And she don't cry no more. She tell me that I get her high. 'Cause an angel's s'posed to fly, and. I ain't askin' why no more. Oh, no, I take it if it's mine, I don't stay inside the lines. It ain't 2009 no more. Yeah, I know what's behind that door. Yeah they ask me what I'm smilin' for. Well, because I've never been this high before. It's like I never felt alive before. Mhmm, I'd rather have me peace of mind and water. See me and you, we ain't that different. I struck the fuck out and then I came back swingin'. Take my time to finish, mind my business. A life ain't a life 'til you live it. I was diggin' me a hole big enough to bury my soul. Weight of the world, I gotta carry my own. My own, with these songs I can carry you home. I'm right here when you're scared and alone. And I ain't ever in a hurry. You don't never gotta worry. Even when it's 7: 30 and the time is runnin' low. When your heart get cold. See what's behind all them unturned stones. And I'm a pro when it comes to my job. But really I'm just tryna start believin' in God. Now when it gets hard. I don't panic, I don't sound the alarm. Because I don't need to lie no more. Nowadays all I do is shine, take a breath and ease my mind. And she don't cry no more. She tell me that I get her high. 'Cause an angel's s'posed to fly, and. I ain't askin' why no more. Oh, no, I take it if it's mine, I don't stay inside the lines. It ain't 2009 no more. Yeah, I know what's behind that door. I don't need to lie no more. Nowadays all I do is shine, take a breath and ease my mind. And she don't cry no more. She tell me that I get her high. 'Cause an angel's s'posed to fly, and. I ain't askin' why no more. Oh, no, I take it if it's mine, I don't stay inside the lines. It ain't 2009 no more. Yeah, I know what's behind that door"
best day ever,"I never take a day off. Work around the clock, my engineer gettin' paid off. Rock like Aesop, light the weed and take off. So high I cannot see, Adolf. Now I got these rappers all breakin' up a sweat. Cause every time I get up on the mic, it come correct. And I learned it from the best, always dressed in somethin' fresh. Lookin' for a little dime, big butt and nice chest. Yes, they heard I used to rock Guess. But now I'm rockin' clothes that ain't in the stores yet. Travel back in time, I'm in a vortex. Tryna to make it work out, think I need more reps. Used to take a bus, now the boy board jets. Cause kids got me buzzin' like a fuckin' hornet. They say I got next, tell them that I got now. It's all Disney boy, my family Proud. Make 'em say ""ow"", make 'em say ""oh"". The hoes that tell me ""yes"", the same ones that tell you ""no"". Woah, I ain't just an Average Joe, way above the average flow. Boy, my life is Most Dope. No matter where life takes me, find me with a smile. Pursuit to be happy, only laughing like a child. I never thought life would be this sweet. It got me cheesin' isn't cheek to cheek. Ay, ay. And I ain't going to wait for nothing. Cause that just ain't my style. Life couldn't get better. This 'gon be the best day ever. If it ain't about a dream, then it ain't about me. Go a couple full weeks without a good night's sleep. Imagination, makin', musical creation. The journey that I'm facin' plus the paper that I'm chasin'. Got me crazy, half insane and with the lames I see you hatin'. But there's nothing' that you're changin'. Thumbs up, I'm maintainin'. No complainin' when it's rainin'. I'll be in another zone. Move out my mother's home to a world I call my own. I ain't gonna play around no more. Found a difference from the ground and the floor. If we got a fight, I'll be down for the war. Thumbs up, homie I'll be sure. No matter where life takes me, find me with a smile. Pursuit to be happy, only laughing like a child. I never thought life would be this sweet. It got me cheesin' isn't cheek to cheek. Ay, ay. And I ain't going to wait for nothing. Cause that just ain't my style. Life couldn't get better. This 'gon be the best day ever"
don't mind if i do,"Ah-ha!. Mhm. Don't mind if I do. Hey, it seems like every day. I gotta filled up phone. Ladies tryna text me. Sayin that they home for the Summer. And they heard that I'm livin on my own. So they wanna come to the crib. Maybe cook me some supper. But I'm busy, so I'm ignorin her. Yeah I just touched down in California. Now I'm headed to the beach. Gon' swim in the water. Like I'm tryna sneak in across the border. I do, all different types of crazy shit. I'm the youngen hoes tryna make a baby with. 'Cause it'll make 'em rich. Know I'm headed to the money. So these funny little girls wanna take a trip. But no, only the M.O.S.T. dope with me. Other fools homo, boy, and cig free. No disrespect though,. I got addicted to yo rap flow. For the green pesto, presto. (Chorus). I'd like to make myself believe. That planet earth turns, slowly. It's hard to say that I'd rather stay awake when I'm a sleep. 'Cause everything is never as it seems. Me I'm highly underestimated. So educated that gettin paid quick. If you ever hated anticipate that I'm famous. Got a bunch of bitches to sip on the champagne with. Celebrate that we seein' another day, life good. Never wanna end this. Me & Mary Jane got a really nice friendship. Yeah they give me money. But I gotta go and spend it. Man, I been a bad little jew. But I gotta pay the bills now. So I gotta chill out. I ain't walkin round like I'm splurging wit a mil now. Feel like the kid workin at the mill now. Used to just chill and smoke joints up at Bills house. Now I gotta schedule, things I gotta do. Doin' interviews, see it up on youtube. I say it feels just like a dream. 'Bout to wake up from a nap. How fucked up was that like. (Chorus). I'd like to make myself believe. That planet earth turns, slowly. It's hard to say that I'd rather stay awake when I'm a sleep. 'Cause everything is never as it seems. Just some motha fuckin' kids. We just some motha fuckin' kids"
ascension,"I wonder if every body hope that this song. is not depressing as the last one was. Heaven smelled like Nag Champas. Come here darling, ash my blunt (Smoke). Waiting on hallucination, ain't a single fact I trust (No). Dear family, my sanity go down when my cash go up. Rap too much, how the fuck get through the verse. I came from house parties. find a bitch and go through her purse. All I need is a little good pussy and whole lot universe. I met God before I ever stepped into a church. and that motherfucker still owe me money. I need a religion to follow. I swear to God that I got more problems. than there is bitches in Carlo. Lord have Murciélago, yeah. And I don't know how the fuck I'm supposed. To look into my parents eyes when I'm scared to die. My eyes same color as a cherry pie. Woah, see I'm terrified. Crucifix heavy, who gon' carry mine?. Yeah, what's with all this talk about Hell and Satan. And sleep deprevation. If this is planet Earth, than my hell's a basement. Ascension. A brand new me. Yeah, yeah. Why you wanna do me like that, Miss Conception?. Between heaven and hell. What's between heaven and hell. A brand new me, oh it's the brand new me. Okay, fucking tell these kids one thing. just make sure handle your business. A criminal leave no witness. and don't ever trust these bitches. What happened to your life. when your house become a home. Where your children at? Where your children at?. You got two sons, all they do is fight. You up through the night like gimme-gimme-gimme dat. Yeah, nice titties, got a pic, go and send me that. Send that books can you give her that?. Fuck rap, make a million off a shitty app. Yeah, smoke trees in the cab. Pittsburgh, show you where the city at. And don't forget that H, get you smacked in your face. Got so many sons, I was young, now they half my age. 90k out in Portugal, smile on my face, backlit stage. My shit bad, shit crazy and that shit fascinates me. On my tongue where the tab is. and it burn like battery acid. I was in the backs of my classes. by the kids having asthma attacks. Cause he panicked every single time. he sat on his glasses. Every Wonderland have a Alice. But I'm a king God can I have a chalice. I'm demanding the truth, put your hands to the roof. Be a man, that's a challenge. Ascension. (Challenge, are you up for that challenge). A brand new me. (Yeah, everybody got to have balance). Why you wanna do me like that, Miss Conception?. Between heaven and hell. (Salvation, and the underworld [?]. gotta keep that bitch waiting. (Fascinating). A brand new me, oh it's the brand new me. (And that's fascinating, please be a little patient). I ain't a doctor, could be a little patient. Yeah, be a little patient. Everything will be okay then, be a little patient. One world, one nation, done waiting. Yeah, yeah. Now I'm still sipping moonshine. We discovered a new high. me and Jerm done this a few times. Yeah, but who's high now. Talk a lot of shit but will you die now. What you gonna do when everybody just go die out. Let's ride out"
stay,"Whoa whoa whoa whoa whoa. Whoa whoa, whoa whoa. Whoa whoa whoa whoa whoa. Whoa whoa, whoa whoa. Whoa whoa whoa whoa whoa whoa whoa whoa whoa. Whoa whoa, whoa whoa. Will, you, stay, just a little while, babe?. Just a little while. Just a little while, just a little while. Will, you, stay, just a little while, babe?. Just a little while. Just a little while. Just a, just a little while. Yeah, hold up, wait a motherfuckin' second. I know you stressin'. You don't gotta keep me guessin'. I'm full of questions. In return I get the silent treatment. I don't know why I'm speakin'. You say, you say, you say. It's way too late, goodbye, you leavin'. Why you got me stressin'?. I could have a whole collection. Just be faded in my own dimension. You so complicated. I swear that pussy grammy nominated. Let's make some music. Fuck all of the bullshit. Will, you, stay, just a little while, babe?. Just a little while. Just a little while, just a little while. Will, you, stay, just a little while, babe?. Just a little while. Just a little while. Just a, just a little while. Okay now, baby. Don't you leave my side, don't even try. I'mma go crazy, girl, you saved me. Meditate me, get me piece of mind. It's only she and I. Ocean floor, how deep we dive. We be high lookin'. For another fuckin' tree to climb. She was playing' hard to get. I read between her lines. Binge watched ""sopranos"". Made it all the way to season five. I am her, she is I. She had to come. See her freaky side, leavin' me behind. Will, you, stay, just a little while, babe?. Just a little while. Just a little while, just a little while. Will, you, stay, just a little while, babe?. Just a little while. Just a little while. Just a, just a little while. Just a little while. Just a little while, babe. The way you walkin' to the room, oh oh oh. All I think about is what I wanna do to you. I don't wanna be polite no more. Make yourself at home. Where the fuck you gon' go?. Yeah, girl, the way you walkin'. To the room, oh oh oh. All I think about is what I wanna do to you. I don't wanna be polite no more. Make yourself at home. Where the fuck you gon' go, girl?. Will, you, stay, just a little while, babe?. Just a little while. Just a little while, just a little while. Will, you, stay, just a little while, babe?. The way you walkin' to the room, oh oh oh. All I think about is what I wanna do to you. Just a little while. Just a little while. Just a, just a little while. I don't wanna be polite no more. Make yourself at home. Where the fuck you gon' go?. Will, you, stay, just a little while, babe?. The way you walkin' to the room, oh oh oh. All I think about is what I wanna do to you. Just a little while. Just a little while, just a little while. I don't wanna be polite no more. Make yourself at home. Where the fuck you gon' go?. Will, you, stay, just a little while, babe?. Just a little while. Just a little while. Just a, just a little while. Will you. Will you. Will you"
dunno,"Hmm-hmm. Hmm-hmm. Yeah. She do whatever she like. And that just don't seem right, yeah. Make people so mad, yeah. And want her so bad, hm, well. We was fuckin', almost missed my flight. I wasn't even trippin', I said its all right, yeah. Goddamn, we was hit last night. Wouldn't you rather get along?. Wouldn't you rather get along?. You was coughin' when you hit my weed. But I've never seen you feel that free. So cute, you wanna be like me. Wouldn't you rather get along?. Wouldn't you rather get along?. Until, until, there is no longer. Let's get lost inside the clouds. And you, you don't gotta work harder. I can calm you down, yeah. Well I was busy when you hit my phone. But you miss me, tell me come back home, yeah. You don't really like to sleep alone. But I'm taking too long, I'm always taking too long. Baby we don't need a trip, we could be right here. When the shit get weird, we could switch up gears. I wanna see them lips, kiss 'em ear to ear. I wanna hear your song. Ooh, I wanna feel just how you feel. Touch it one more time so I know you're real. We could spin that wheel, wouldn't you rather get along?. Until, until, there is no longer. Let's get lost inside the clouds. And you, you don't gotta work harder. I can calm you down. I think we just might be alright, thank God. I think we're gonna be alright, alright, okay. Hold me close don't hold your breath. That's really your favorite, I know"
dr. thomas,"To be honest, I'm a walking contradiction. I balance family time with drug addiction. to summarize, when the sun dies evil comes alive. mother mary twerk well, watch her work those thunder thighs. falling from the sky, sick of all these fucking lies. do without the morals man, smiles such a dumb disguise. otherwise we'll worry about your murder at another time. I need to get my dick wet, distractions help me think best. as a kid, I was a big pest. annoying, and burning ants deserved to get destroyed. these aliens and droids were coming do some abducting. these cunning extraterrestrials turned to maximum decimals. most impeccable, live amongst the vegetables. asexual, here to heal the devil's wounds. speaking so delicate, stench is that of a desolate place. rid of these testaments, lose your life to the scent of it. end of it, jumping off the tower of babylon. cremate my body, dump my ashes on the gravel. there's poison in my satchel, a bit of that razzle-dazzle. my journey is to the castle to battle with all the cattle. from the saddle of my horse tied to the tabernacle. ripping out adam's apple and creation as we know it. not a poet, I'm a motherfucking psychopath. who takes ricin baths and wants to chop his wife in half. woah, I maybe hit her with a tyson jab. I'm infested with the lice and crabs. party with the kikes and fags. till I collapse until a pile of ash. just an angel with a violent past. you, or me, who I'm gonna kill first. fuck the clubs, see these drugs that's the real thirst. I hope these pills work, hot as demonstealer?. and watch the sinners turn to killers. okay, my hearse is made of gold, the spirits take control. I paved the road with endangered souls. I'm tormented, my sky's floor-scented. I'm pouring belief, ignore credit. I killed a dentist cause he said he was a doctor. fucking dentist ain't a doctor"
