shake ya ass,"Mmm! Mmm, mmm, mmm. Oooh-OOOH!. [Hook - repeat 2X]. Shake ya ass, but watch yourself. Shake ya ass, show me what you workin with. [Verse 1]. I came here with my dick in my hand. Don't make me leave here with my foot in yo' ass; be cool. And don't worry bout how I'm rippin this shit. When I'm flippin what I'm kickin nigga, that's just what I do. I'm effervesecet and I'm off that crescent. Nastier than a full grown German Shepherd; motherfucker keep steppin. They don't fuck with me and they don't. Y'all bitches cant catch me and you won't. Pay ya fare, fix ya hair, throw that pussy. Got Prada for my boonapalist, and (??) from Debussy(??). You think I'm trickin? Bitch, I ain't trippin. I'm buyin if you got nice curves for your iceberg. Drinkin Henn and actin like it do somethin to me. Hope this indecent proposal make you do somethin with me. Fuck a dollar girl, pick up fifty. And fuck that coward you need a real nigga. Off top knick-a-boxers hurtin shit. Bend over hoe; show me what you workin with!. [Hook]. [Chorus]. Attention all y'all players and pimps. Right now in the place to be (shake ya ass). I thought I told y'all niggas before. Y'all niggas can't fuck with me (watch yourself). Now this ain't fun, no smoke or tease. No sir cuz that won't pass (show me whatcha workin with). But if you feel you got the biggest one. Then momma come shake ya ass. [Hook]. [Verse 2]. I like my women fire like CAY-ENNE!!. Chocolate and bowlegged - when I'm runnin up behind her!!. Go head get ya pop-a-lock let the cock out. For girl don't lie you know you wanna go back to my house. ""The Man Right Chea"" wanna get under that dress right there. You spicy cajun we gon' a good time over there. You better suck the head on them there crawfish. And you gotta bend all the way over to dance off this. Handle yo' business but I know you do it way better, you dead wrong. So if you talkin bout how niggaz make noise when you pass by. get yo' fine ass on the floor girl this yo' fuckin song!. Do yo' thang dont be scared, cause you gon' get served. You get mine then you gon' get yours. Bout to make yo' ass love it. Raise it up, show the G-string hustlin hustlin. [Chorus]. [Hook]. [Verse 3]. Stop yo' cryin heffer, I don't need all that. I got a job for you - the braided up pimp is back. Break them handcuffs, fuck you nigga move somethin. And if they ask you what you doin say, ""Ooohh nuttin!"". And we been doin for the past 2 somethin. And I've been beatin that pussy up now it's smooth fuckin. You can betcha bottom dollar; if that pussy fire. you gon' holla Michael Tyler!. So don't act like you don't be backin that stuff up. Girl in the club, cause that's what you got ass for. Wobble wobble I'm infatuated. Bitch ride a dick like she makin a baby. And I see that we gon' have to go to a quiet corner for just us two an'. Don't worry about who lookin, just keep on doin what you doin. Cause a nigga like me gon' get to work before I know the girl. Bitch whats happnin, let 'em see, show the world!. [Chorus]. [Hook]. Uhh.. OOOH-WEE! Good lawd!. Damn!."
danger (been so long),"You know what time it is nigga,. and you know who the fuck this is. DANGER!. DANGER! Get on the floor! The nigga right chea! Sing it!. Chorus:. Been so long (sing it!). Since, he's been on. So please (get on the floor!). Show me (the nigga right chea!). What it is that you want to see. [Mystikal:]. Go tell the DJ to put my shit on. I'm keepin' you niggas and bitches in jump from the minute I get on. Taking they shit off, showing they tattoos,. screamin, and hollerin' and all. Got the gift to come up with it,. put it together, deliver it, make them feel it, bitch I been on!. Sharp! Like you pulled me out the pencil sharpener. Bad! Like that student in the principal's office. Put rappers in coffins. They dive like dolphins. I'm the ???? lyrical marvel ??????? officer. Watch yourself!. Or fuck around and get beside yourself. I know! Go ahead though. Bounce them titties, shake ya ass, drop that pussy. Stay in line hoe. Fuck a think, cuz you can can. Cocked up, head down, pussy poppin' on a handstand. Leave that pussy smoking. If you gonna lose something. Then bend over, and bust that pussy open. Chorus x 2. [Mystikal]. My fuckin' concert line around the corner. Parking cars, niggas lookin' for they bitch, nothing on her!. You lookin' good momma. Why? Pshh, what's up homie?. Sirens, limousines, and the club owner. Ya bitch you!. If you late, ain't no getting in this bitch. Cuz it's filling up. Inside packed from the floor to the ceiling up. The building ain't big enough!. I'm backstage bouncing. Adrenalin building up!. The pussy cutter. Did I stutter?. The heart flooder. Make your woman drawers melt like butter. Down like Nelly. Hype like ""Belly"". The rhyme seller!. Kick ass like Jim Kelly!. Stand up, round out, boot up and frown. Tell a nigga if he wanna try it. Then bitch come on down!. No sweat, no blood, no tears. And if I tell you it's the shit. Then BITCH THAT'S WHAT IT IS!. Chorus x 2. DANGER!. Talkin 'bout. DANGER!. Motherfucker look!. Get on the floor!. The nigga right chea!. DANGER!. (Motherfucker) Watch your back!. DANGER!. (Look look) Nigga what! (look look). Get on the floor!. The nigga right chea!. Get 'em up!!!. Chorus x 2. DANGER!. DANGER!. GET ON THE FLOOR!. THE NIGGA RIGHT CHEA!. SING IT!. DANGER!. DANGER!. GET ON THE FLOOR!. THE NIGGA RIGHT CHEA!. HUH!. This is my motherfuckin' floor!."
"original (feat. birdman, lil wayne)","I'm a political refugee. That's how the fuck I felt. Birds for the summer. Hummers for the runners. Candy on the paint. Nine for the thunder. Throw a couple of hundreds. Fishing on the fishtail. With big money, cash money everywhere. High roller, shot caller, big boss. Original, real nigga from the start. Head hunting, price on a nigga tab. Hit 'em up for playing with a nigga mail. Say I'm better than Beethoven. To the beat that I rap over. Stay outta that medicine cabinet. Yeah, that what they told me. Giving us piss tests, cause we stay rolling. And know a nigga act better than a .45 caliber pistol. When they loaded. They penalize us, tryna slow us down. They constantly fucking us up. That's why we're buck wild. Call me porch monkey, call me jigaboo. When you know you wanna fuck my woman. And eat my barbecue. How the fuck you wanna watch my house. But don't wanna live on my street. The ape man taught Tarzan -- how the fuck you better than me?. Rap, I run that rock, and got a jump shot. Who we got that black wife up in that White House. I took my lick and didn't sell out. I was in the bing, I didn't bail out. Hoping motherfucker run and fail out. Back to the top from the jail house. Lace 'em up, tie ya shoe. Catch a cut, you know what pressure do. Birds for the summer. Hummers for the runners. Candy on the paint. Nine for the thunder. Throw a couple of hundreds. Fishing on the fishtail. With big money, cash money everywhere. High roller, shot caller, big boss. Original, real nigga from the start. Head hunting, price on a nigga tab. Hit 'em up for playing with a nigga mail. Who out chea fucking with me, huh' Tell me that. I'm bout to drop that shit, where my Pamper at?. Try to answer that, or give me my mantle back. I bury you cockroaches, shoulda left me where I was at. You done made that fucking bed. You done built this fucking castle. Buckwheat and his friend Alfalfa. Couldn't do nothing with this little rascal. I wonder licking retarded. Yeah nigga what the hell. Talking baby business, yeah. Yeah bitch, dumb shit. Don't be fucking with me. Cause you won't get off easy. I feel just like Drew Brees. When they kick off football season. How I cut the ref, you can't stop from bleeding. Rappers betta leave me alone. If they gon' keep on breathing. Now keep on starving and I'mma gonna keep on eating. And you keep on sucking, and I'mma keep on skeeting. Nigga, you gon be the one bussing or be the one fleeing. Nigga better keep on trucking. You don't want no fucking trouble this evening. Birds for the summer. Hummers for the runners. Candy on the paint. Nine for the thunder. Throw a couple of hundreds. Fishing on the fishtail. With big money, cash money everywhere. High roller, shot caller, big boss. Original, real nigga from the start. Head hunting, price on a nigga tab. Hit 'em up for playing with a nigga mail. Uh, ain't it crazy how shit be. That's why I flush it. I got the Tommy gun with the drum. That's percussion. I just popped a couple pain pills, self destruction. I made something out of nothing, thanks for nothing. I pistol whip you bitch, knock her out Robitussin. Ran up in your house, killed everybody, no discussion. Rep, that muthafucking red flag like a Russian. Yeah, look, I told her baby I'm a thrasher. We kissed, I lit her ass up than I ashed her. No hard feelings, no card dealing, but I shuffle my queen. Duffle bag too heavy to carry to the car. My Mary in a jar. I'm food, I let the haters add a little salt. That's cool, I do it for all the niggas that try. And all the bitches I've fucked, and all my niggas that died. Tunechi. . Birds for the summer. Hummers for the runners. Candy on the paint. Nine for the thunder. Throw a couple of hundreds. Fishing on the fishtail. With big money, cash money everywhere. High roller, shot caller, big boss. Original, real nigga from the start. Head hunting, price on a nigga tab. Hit 'em up for playing with a nigga mail"
shake your ass,"Hook] x2. Shake ya ass. watch ya self. Shake ya ass. Show me what you workin with. Verse 1. Came here with my dick in my hand. Don't make me leave here with my foot in yo ass. Be cool, and don't worry about how I'm rippin this shit. When im flippin when kickin, nigga this just what I do. I'm effervesecet and I'm off that crescent. Nastier than a full grown German Shepherd. Motherfucker keep steppin. They don't fuck with me and they won't. Yall bitches cant catch me and you won't. Tell ya self, bitch ass throw that pussy. I'm proud of my poo nanny, and a dollar for my booty. You think I'm trippin, bitch I ain't trippin. I'm buyin if you got nice curves for your iceberg. Drinkin here acting like it's gonna do somethin to me. Hope this indecent proposel make you do somethin with me. Fuck a dollar girl pick up fifty. And fuck that coward you need a real nigga. Off top a nigga bout hurtin shit. Bend over hoe show me what you workin with. [Hook]. [Chorus]. Attention all yall playaz and pimps. Right now in the place to be. I thought I told yall niggas before. Yall niggas can't fuck with me. Now this ain't for no small booties. No sir 'cause that won't pass. But if you feel you got the biggest one. Then mamma come shake ya ass. [Hook] x2. Verse2. I come with that fire like Aiyaaa. Chocalate and bowlegged runnin up behind her. Go head get down pop lock at the cockhouse. For girl don't lie you know you wanna go back to my. house. Man right cher wanna get under that dress right there. Spicy cajun we gon a good time over there. You better stick a head on that there crawfish. You gotta bend all the way over to dance off this. Handle yo business but I know you do it way better. You dead wrong. So if you totin by and niggas make noise. When you pass by find yo fine ass on the floor girl. This yo fuckin song. Do yo thang dont be scured, cause you gon get served. Get mine and you gon get yours. Niggas thang yo ass lovely. Raise it up, show yo g-strang hustlin huslin. [Chorus]. [Hook] x2. Verse 3. Stop yo cryin hefer I dont need all that. Got a job for you the braided up pimp is back. Break them handcuffs, fuck a nigga move somethin. They ask you what you doin say ooohh nothin. And we been doin for the past 2 somthin,. Been beatin that pussy up now smooth fuckin. You can betcha bottom, that pussy fire, you gon holla. while you cry. So don't be actin like you don't be backin that stuff. up,. Girl in the club thats what you got ass for,. Wobble wobble I'm infatuated. Bitch ride that dick like she makin a baby. Now I see that we gon have to go to a queit corner for. just of two,. Don't worry about who lookin, just keep doin what you do. Nigga like me gon get to workin for I know the girl. Bitch whats happnin' let em see. Show the world.. [Chorus]. [Hook] x2."
always look a man in the eyes,"If we was owned by the white folks it will be all good. But we independent black owned and making scrilla. We a threat to society. They ban our movies our videos but we still #1 in America. You see a coward can talk shit behind a nigga back. But only a man can tell you what's on his mind. when he look you in the eyes. In other words don't judge a book by its cover. -See we successful black businessmen. but we also mercenary soldiers. (Chorus). Always look a man in the eyes before you kill him. Even if he's a coward or a motherfucking drug dealer. (My pops say). Verse 1 (Master P). I sell stones out, I'm breaking them got damn phones up. Niggas they popping them keys, Master P he fucking ??. Besides them g's, I'm ?? them keys but they didn't know. That I could go gold. platinum and still slang keys out the record store. This caine got me sick. These niggas they talking that shit. Don't make me load this M16 and split your fucking shit. I caught the game from some old g's. Niggas they slanging they fucking keys. Got the game from New Orleans. Now the world know of me. I'm down south hustling from the west. To the east, in the midwest yeah ya'll niggas know of me. Trying to slang this ghetto dope to the world. Every woman, man and boy wrap these cd's up like furls. On the corner posted up with them ballers. Slanging that yella, niggas ya'll can't hold us. Gone for 15/5 when you see me its no drought. I'm the nigga on the corner with the fucking gold in my mouth. Got every fucking club bout it bout it. Got every nigga that you see rowdy rowdy. Cause I'm down here hustling putting the ghetto on the map. Independent, black owned and ain't scared to bust no caps. (Chorus x3). Verse 2 (Mystikal). Nigga tell me what you gone do. its just me and you, you and I. Scrap and scuffle then grab them things mano a mano. If we did the mix. flury gone smother it leave your ass studdering. Fludging. tell your fucking boys don't move. cause like a rug I got them covered. Niggas ain't like they used to be. back in the days they were playing the dozens. These days niggas will kill ya. Talking shit, say it to the end of my muzzle. We don't want no trouble, black just as subtle. Tell you what you gone fuck around and find. if you disrespect my hustle. None of you niggas fuckers, young niggas fuckable. Some niggas ??, dumb niggas suffer. Before you can even think about making a move I'm already on it. I'll have to beat your ass to the punch cause the stong survive only. Hold on bitch this shit bout to hit the ceiling. The interference started from the ground up the building. Behind mine's I just don't give a fuck. Ain't no closing my eyes. I'm gone look in your face and tear your ass up. (Chorus x3). Verse 3 (Silkk). Aaahh its murder. Do or die, killed or be killed. Nigga who am I. Silkk the Shocker, do or die for a mil. Don't you see I be counting money like a machine. No how I'm saying I got to buy my green. For every fiend equals money like ching ching. My dream, know what I'm saying, got to get the cream or triple beam. By it for 15/5 and I sell it for 18. You know what I'm saying, you know what a nigga like known for. Nigga kill himself before he caught the bad one,. you know what we known for. And its all good in the hood, but I still stay strapped. Keep my hands on my 45 cause these days niggas will try to straight jack. And you know how I'm saying, 4 g's and I run it. Never seen a nigga retire from the dope game, until I done it. And its cool I gotta reach eight digits. Any nigga in my way I gots to kill him. Got a look a man in the eye before you drill him. (Chorus)"
13 years,"19 nigga 7, bitch what's happenin?. Chorus:. Thirteen muthafuckin years!. I know what to do to knock your stupid ass. so bad you ain't no challenge.. Thirteen muthafuckin years!. This ain't no fluke, this pure deep talent.. Thirteen muthafuckin years!. I know what to do to knock your stupid ass. so bad you ain't no challenge.. Thirteen muthafuckin years!. [Verse 1]. Bow, when I hold the microphone and hold it. Keepin me rappin until I hoarse and swollen. Thirteen years and rollin. I rate colder than coldest. Gettin part of this, niggas don't want no more of this. Never leave you alone in your life, nigga I'm selectin and sellin rhymes. Slap a nigga that style sound some like mine. Mad enough you screamin ""It AIN'T!"". (This line whispered, can't hear). You be pissin me off some the time, take you down one at a time. I'ma be known for fuckin over your whole album. Who want my rhyme?. Keep decling, I'ma keep climbing. Keep duckin, I'ma keep buckin. Keepin heat seekin rhymes comin to get you bitches off me. Disrespectors cow sled, (..?..). Hard to break, if it comes that way. It took me thirteen muthafuckin years just to make a tape. But that don't mean that my rhymes one of the strongest. All I know I been tryin to make it for the fuckin longest. Fuck the side of all this, long as you done it. When I done it, gettin blunted bout to run this bitch. Takin them riders down with me, clown with me. Leave thirteen in your muthafuckin chest and you can count em. Chorus. [Verse 2]. Nigga go pass the vibe, dividin mad this year. Creative catastrophy, leave MCs in closed caskets. Hit ya like full metal jackets, cut like hatchets. Tight as ratchets, and burn like matches. Thick than amino acids, flip like gymnastics, nasty as a pissy mattress. Droppin like the temperature in December. Clippin em, tippin em, been writin raps far back as I can remember. Fulla them rocks, everybody move key. It was ghetto Djs and sucka MCs. Handle your buisness in this industry of competition. Or be at F.W. Bulls washin dishes. Bitch I was born to write million dollar rhymes. Battle in the hallways of Cohen back in 85. 86, 87, 88, hooked up with Big Boy records and made my first demo tape. We dropped some real shit in the basement. I had big ol' nigga tracks, raps like pavement. To come from New Orleans made it hard to surface. That's when I got discouraged and joined the service. Pissed of and I (?) before long. I went to war and served federal time before I made it back home. No more rips in my jeans and gettin my cream. Ain't shit unlucky about my number thirteen. Chorus. [Verse 3]. I hit the bitch like BOSH! Owwwwww!. Never gon bounce could rap and doin time before I bow. How in the fuck you like me right now. Told your ass she had said I'd be on top of the pile. Cause my rap style is my hustle. I shot niggas up like Muslims. With the flex like muscle. Use a, pretty delievery cause it's most important. I form a style sharp enough to cut straight through the bones. I came from my welts, gave up my belt. I got off from Big Boy records to put my single on the shelf, now. Do I do it? Fuckin right I did it. Shoulda seen the little chir'en in the street singin I'm Not That Nigga. Size ain't nothin nigga, I'm short. Shockin nigga, raah!. They gave me five hundred dollars, shit I quit both of my jobs. Fuck em, got some other shit to do from nine to five. My birthday came, and my sister died. But next year, Mystikal signed a half a million dollar deal with Jive. This shit thats tragic can't be no more. Because of my rings I work at A&P no more. I drive my landcruiser off the show floor. Got the time to time to feel pain, sittin on Volvos. Comin with scheme, up in my dream. Who'd a ever thought I'd be a No Limit soldier. by the end of that thirteen. Thirteen manic muthfuckin years!."
ain't gonna see tomorrow,"[Mystikal]. Listen!...Listen!...huh...Listen!. Government got it where u can't do shit no mo'. The water ain't no good, the grass don't grow. Never mention schools ain't safe no mo'. killing in the 1st grade six years old. Ask yo self this, In what kind of world is that to raise yo children. Then again it really don't matter, where you gone go,. you still gotta live it. Let's face reality, stop talking bout peace that's a thing of the past. But then again that's a bald face lie,. cause a few years ago you was hanging my ass. ??? no presidents, sometimes the whole world just pressed up against me. Think about it, young black man, come up set up for penitentary. Do the math, all on you, choose yo path, be a leader, pray for strength. Know when to cap and when to blast. Get back on track, we damn near got past crack, then every dope dealer got. snatched back, we all wit the black on black. That's sad, Is it really in our nature what make it so bad. But I ain't no better then the rest of ya'll,. plus I came up in a house wit out no dad. I knew that you left, ??? ??? you didn't won't to. But that how it is, Lord help us, You know what we going through. Hook:. It's bigger than us, it's out of my hands, that's why I'm praying to God. Oh heavenly father, keep my head above the water. It's your world, but we yo children yo son's and yo daughters. We struggling trying to get it together, but some of us ain't gonna see. tommorrow...some of us ain't gonna see tommorrow,. I know some of us ain't gonna see tommorrow. [Mystikal]. Somebody tell me what you get in a relationship. with nothing but silence, silence. We ain't married so we can't get divorced. so the only thing left is domesticated violence. When a man uses a woman to take out his problems. He abuses that woman, then man must recognize his assignment. We got two kids and you pregnant again so how can we profit. That's BULLSHIT! That ain't no reason to pull her arm out the socket. Baby I'm so sorry, you know that I luv you and didn't wanna hurt you. When I put my hands on ya, I was wrong so I don't deserve ya. I never thought I'd see the day when they scrap a nigga. when they talk about 'em on the t.v.. Now my sister flipping in the grave,. cause that's a cheap ??? and I know this can't be me. Lord help her forgive me, God give me my purpose. Jesus break this chains, you know this a vintage circle. But I got my trust in you,. I know there will be light at the end of the tunnel. I done been in many situations, she was there each and everyone of 'em. Keep me humble, I wanna take time out write down and thank ya, thank ya. Trying to make it wit out you is something we can't do. Hook:. It's bigger than us, it's out of my hands, that's why I'm praying to God. Oh heavenly father, keep my head above the water. It's your world, but we yo children yo son's and yo daughters. We struggling trying to get us together, but some of us ain't gonna see. tommorrow...some of us ain't gonna see tommorrow,. I know some of us ain't gonna see tommorrow. [Mystikal]. Lord tell them you difference. between having eternal life or forever burn, burn. Lord tell em you was wit me when I had my accident. and my truck started flipping and turnin',. When it feel like I was dying from the moment of impact,. we rolled ten times. I was down on my best, that fool came on my side of the line. But when the truck did finally stop moving I was just fine. My little brother that was on the passenger said must of got hurt. cause he was unconscious. We done had our tradegy's, we was just talking so this can't be happenin'. But before I could say anything else,. I saw the helicopter and the ambulance. My little brother came back through, first thing he said was,. ""What is going on"". But the next thing he said was, ""watch over me lord and keep me strong"". And right then and there, I knew every thing was gone be alright. But we ain't promised nothing. So thank you my lord for saving his life. Hook: 2x until fade. It's bigger than us, it's out of my hands, that's why I'm praying to God. Oh heavenly father, keep my head above the water. It's your world, but we yo children yo son's and yo daughters. We struggling trying to get it together, but some of us ain't gonna see. tommorrow...some of us ain't gonna see tommorrow,. I know some of us ain't gonna see tommorrow."
ain't no limit,"Wuz up yall, wuz up soldiers? This M-P, The Colonel.. We ainæŠ° no rookies at makin records. Mystikal, Silkk. Together, Oh yeah. ItæŠ¯ time to pass out the stripes. Hah Bra. I told you there wasnæŠ° no limit. I told ya like I told him. Like I mean what I say what I say is what I mean. I talk mo shit than Muhammed Ali. In a situation about makin my green. First impression nigga back down. Fuck they canæŠ° stand up next to me. Competition bring out the best in me. Shit you talkin weirder than Elvis Presley. IæŠ¦ tryin to blow out bigger than the jaws of Dizzey Gilespie. Nigga the nigga wonæŠ° let me. ThatæŠ¯ why when I get my shit I snipe like Wesley. You fuckin wit my right on what you been missin in this picture. Style funkin than a big pot of chitilins in yo kitchen. Some slang in yo shit ainæŠ° hittin. Like I used the sound before. Listen to yo punk ass diamond sherm like what the fuck IæŠ¦ around here for. Rough lines and hard rhymes. Consider me an asset. Slow down cause I got some more rhyme ambush ya ass set. Nigga thatæŠ¯ how it is and IæŠ¦a make sure it stay that way. I did what they thought that I wasnt gonna do. And said what they thought that I wasnæŠ° gonna say. You know when IæŠ¦ cookin. Cause you can smell it. To a buckshot from a pellet. Here I Go!. IæŠ¦ here to tell it. x 2. Here to tell it. Stomp this motherfucker like elephant. Spray you bitches like apes. Fly by you bitches like pelicans. Put a crack in yo exo-skeletan. Shake this bitch like a bowl of gelatin. we soldiers no limit soldiers ugh there ainæŠ° no limit. Acceptin you can deliver title material. Somethin got your mind all blocked up. I be sexually exited when IæŠ¦ writin. IæŠ¦ racked up. Oh. Creative bails been unclogged up. I keep my elbow in your back. To keep yo ass cocked up. AinæŠ° no fuckin wit me. AinæŠ° no fuckin wit shit I did. 26 and been through it. Tellin it like it is. Comin up with tight shit. To make your girlfriend love me. Hunt me like playin rugby. Been a star since smokin puffies. And. IæŠ¦ that type of nigga that come thru this bitch. Now I stay down like it ainæŠ° nothin. My position is a matter of graphs. My title is not for uppin. Seem like I can take a little bit more that what you put out to harm me. Gotta continue to line my style to take. Formin a fort (You really will). I writes em line for line. Take my time till the shit is all tight. Focusing mind. For most definitive could take all night. All right. Fuckin right. Unlike nobody else. IæŠ¦ a one man show. Like havin sex with yourself. (Oh that was good). You know how we kick it. You know what we do. All opportunities. And all unlimit. No matter if its good. Its gotta be tru. Mix mastered and marked. Somebody sell it. Fuck wit a no limit nigga over there talkin bout. Bitch IæŠ¦ here to tell it. . All aboard, put your coat on boy. Cause its about to get real fuckin chilly. Smoke yo ass like a philly. Fix yo face. Why you lookin all silly. Uh I stay muggin. Or should I say stay thuggin (Okay). I ainæŠ° lettin shit pass NO!. IæŠ¦ whoopin yo ass down the boat. Trick IæŠ¦ the illest. Shouts say fuckin thriller. Mystikal and Silkk tha Shocker. Is how we met like King Kong Godzilla. Two of the baddest niggas on one track. How many of yall see some of that. None. Well in this rap game it donæŠ° matter. We run that!. Master P, Silkk, Mystikal. Like herb when they fire. Yall busters better retire. Put chall mouthful under the wire. It ainæŠ° no limit to our biz. Monopolize, capitalize our share. Makin rhetoric comin thru shit we done did. Cause I lay laws down like the mayor do. Boy look IæŠ¦ buck wild. Plus I got mo styles than a hairdo. I play my enemies and foes like checkers. (Crown Me!). Keep those in section (how broke). Broke like some records. No limit play it. Yall better hear it. You a bad mutha (Hush Yo Mouth). I was only talkin bout yo lyrics. I hang with ballers and gangstas. (Oh my). Step back for a second. And watch these soldiers come take ya. Roll By!. Entrepreneurs n Tycoons. If yall doubt it. Yall better not say it cause I been known to get down and dirty. Or should I say IæŠ¦ just Bout it Bout it. T-R-U. Yall spell it. It ainæŠ° no limit to this boy. And IæŠ¦ here to tell it. There ainæŠ° no limit. Where you at Mystikal!. HERE I GO!. Told ya shut ya mouth two of the baddest, ainæŠ° no limit. Silkk that shocker, and mystikal, Ice cream man, audi 5000 tru. represent yall cant fade us. shut ya mouth no doubt. we just bout it bout it. let it all out."
always look a man in the eyes,"If we was owned by the white folks it will be all good. But we independent black owned and making scrilla. We a threat to society. They ban our movies our videos but we still #1 in America. You see a coward can talk shit behind a nigga back. But only a man can tell you what's on his mind. when he look you in the eyes. In other words don't judge a book by its cover. -See we successful black businessmen. but we also mercenary soldiers. (Chorus). Always look a man in the eyes before you kill him. Even if he's a coward or a motherfucking drug dealer. (My pops say). Verse 1 (Master P). I sell stones out, I'm breaking them got damn phones up. Niggas they popping them keys, Master P he fucking ??. Besides them g's, I'm ?? them keys but they didn't know. That I could go gold. platinum and still slang keys out the record store. This caine got me sick. These niggas they talking that shit. Don't make me load this M16 and split your fucking shit. I caught the game from some old g's. Niggas they slanging they fucking keys. Got the game from New Orleans. Now the world know of me. I'm down south hustling from the west. To the east, in the midwest yeah ya'll niggas know of me. Trying to slang this ghetto dope to the world. Every woman, man and boy wrap these cd's up like furls. On the corner posted up with them ballers. Slanging that yella, niggas ya'll can't hold us. Gone for 15/5 when you see me its no drought. I'm the nigga on the corner with the fucking gold in my mouth. Got every fucking club bout it bout it. Got every nigga that you see rowdy rowdy. Cause I'm down here hustling putting the ghetto on the map. Independent, black owned and ain't scared to bust no caps. (Chorus x3). Verse 2 (Mystikal). Nigga tell me what you gone do. its just me and you, you and I. Scrap and scuffle then grab them things mano a mano. If we did the mix. flury gone smother it leave your ass studdering. Fludging. tell your fucking boys don't move. cause like a rug I got them covered. Niggas ain't like they used to be. back in the days they were playing the dozens. These days niggas will kill ya. Talking shit, say it to the end of my muzzle. We don't want no trouble, black just as subtle. Tell you what you gone fuck around and find. if you disrespect my hustle. None of you niggas fuckers, young niggas fuckable. Some niggas ??, dumb niggas suffer. Before you can even think about making a move I'm already on it. I'll have to beat your ass to the punch cause the stong survive only. Hold on bitch this shit bout to hit the ceiling. The interference started from the ground up the building. Behind mine's I just don't give a fuck. Ain't no closing my eyes. I'm gone look in your face and tear your ass up. (Chorus x3). Verse 3 (Silkk). Aaahh its murder. Do or die, killed or be killed. Nigga who am I. Silkk the Shocker, do or die for a mil. Don't you see I be counting money like a machine. No how I'm saying I got to buy my green. For every fiend equals money like ching ching. My dream, know what I'm saying, got to get the cream or triple beam. By it for 15/5 and I sell it for 18. You know what I'm saying, you know what a nigga like known for. Nigga kill himself before he caught the bad one,. you know what we known for. And its all good in the hood, but I still stay strapped. Keep my hands on my 45 cause these days niggas will try to straight jack. And you know how I'm saying, 4 g's and I run it. Never seen a nigga retire from the dope game, until I done it. And its cool I gotta reach eight digits. Any nigga in my way I gots to kill him. Got a look a man in the eye before you drill him. (Chorus)"
beware,"Chorus: Mystikal Making Noise. First Verse:. BEWARE!. The man with the braids done walked in. Mild mannered like Clark Kent. I'M rougher and tougher than dead shark skin. This man gonna be have you flippin' like the pages of (???). Evil like Cruella. Five minutes later I'ma still be hard as an armadillo. Roll like an eighteen wheeler. Shinin' like the slipper. Of Cinderella. And bad weather. And acapella. THIS FELLA. TOP SELLER!!!!. Gonna be that way til' I'm old as Mandela. STILL GETTIN' BETTER!!!!!. Writin' rhymes I'm best of 'em. I'm the arrester, I'm the professor. I'm the nigga that keep his picture on your girlfriend's dresser. Now really. Tell me what you muthafuckas know about gettin' ROWDY. Tell your whole Sunday gang bout it. BITCH I BEEN BOUT IT!!!!!. Now, I kick the rest of you into HASH. BOW GRASSHOPPER, BOW TO THE MAN!!!!!!!. Chorus. Second Verse:. AAAAAAAHHHHHHHHHHHHH!!!!!!. Bet'cha runnin'. I bet'cha, bet'cha I'm best that I'm better. Run with a letter. Swift as a jet or keep up with the pace setter. Sparkle like glitter. HARD HITTER. HOE GO-GETTER. SIDE STEPPIN' FROM NO NIGGA!!!!!!. Whenever you bitches decide you gonna get too big for your britches. Leavin' you stitches. Diggin' ditches. Sufferin' hickeys, cuts, scrapes, bruises, welts. Don't fuck with the RHYMIN' BLACK BELT. WATCH YOURSELF!!!!!!!. BOOM!!!!! HERE I GO!!!!!!!. BOOM BOOM!!!!!!!! &nbsp;I KNOW!!!!!!!. Y'all niggas can't fuck with the man with two tongues, cuz that's the way I flow. Cuz I can get hot like fire. And you can't put it out, it's like tip-toein' on top of barbed wire. For instance, persistance. No resistance, stay your distance. Is vital to your existance. You leave it to me to show you the way out. I'm never gonna play ya. I'LL TAKE YOUR OLD LADY. EVEN IF I TOOK MY BRAIIIIIIIIIIDDDDDDDS OUT!!!!!!!!!. Chorus. Third Verse:. And I'm uh, ready, and it looks like ALL you bitches are rusty. Y'all can't buss me, don't cuss me. Hit'cha, so much muthafuckin' we gone leave this bitch musty. You disgust me. Trust me. When Mystikal hits the door, you bitches be SCREAMIN' to touch me. I'm the invisible man you can't see me. I'm mackin' illusions and confusion. I'm abusin', your conclusion, and contusions, from the bruises. Issuin' these muthafuckas with the style that them bitches want. FIVE FOOT ELEVEN, screamin' to heaven. I say FUCK SHIT GOD DAMN. Bitch respect me like a reverend, and.... Congregation say ""Amen"". (Amen). Come through this muthafucka swingin' like a CAAAAVEEMAAAN. And you against me, you better not say it go back in the water. Come, come, come, come, come, come, come, come. UP JUMP THE SHIT STORM!!!!!!. From the rats. Rollin' out. Since you wanna BOW muthafucka. BOW to the master!. Chorus."
