shake that (feat. eminem),"Eminem]. Shady, aftermath. There she goes shaking that ass on the floor. Bumpin' and grindin' that pole. The way she's grindin' that pole. I think i'm losing control. Get buzzed, get drunk, get crunked, get fuucked up. Hit the strip club don't forget once get your dick rubbed. Get fucked, get sucked, get wasted, shit faceted. Pasted, blasted, puke drink up, get a new drink. Hit the bathroom sink, throw up. Wipe your shoe clean, got a routine. Knowin' still got a few chunks on your shoestring. Knowin' i was dehydrated till the beat vibrated. I was revibed as soon as this b is gyrated. And hips and licked them lips and that was it. I had to get nate dogg and his sing some shit. [nate dogg]. Two to the one from the one to the three. I like good pussy and i like good trees. Smoke so much weed you wouldn't believe. And i get more ass than a toilet seat. Three to the one from the one to the three. I met a bad bitch last night in the d. Let me tell you how i made her leave with me. Conversation and hennessey. I've been to the motherfuckin' mountain top. Heard motherfuckers talk, seen and dropped. If i ain't got a weapon i'ma pick up a rock. And when i bust yo ass i'ma continue to rock. Getcha ass of the wall with your two left feet. It's real easy just follow the beat. Don't let that fine girl pass you by. Look real close 'cause strobe lights blind. We 'bout to have a party (turn the music up). Let's get it started (go head shake your butt). I'm lookin' for a girl with a body and a sexy strut. Wanna get it poppin' baby step right up. Some girls they act retarded. Some girls are 'bout it 'bout it. I'm lookin' for a girl that will do whatever the fuck. I say everyday she be givin' it up. Chorus [nate dogg]. Shake that ass for me, shake that ass for me. Come on girl, shake that ass for me, shake that ass for me. Ohh girl, shake that ass for me, shake that ass for me. Come on girl, shake that ass for me, shake that ass for me. [eminem]. I'm a menace, a dentist, an oral hygienist. Open your mouth for about four or five minutes. Take a little bit of this fluoride ???. Swish but don't spit it, swallow and i'll finish. Yeah me and nate d-o double g. Looking for a couple bitches with some double d's. Pop a little champagne and a couple e's. Slip it in her bubbuly, we finna finna have a party. [nate dogg]. Have a party (turn the music up). Let's get it started (go head shake your butt). I'm lookin' for a girl i can fuck in my hummer truck. Apple bottom jeans and a big ol ???. Some girls they act retarded. Some girls are 'bout it 'bout it. I want a bitch that sit at the crib with no panties on. Knows that she can't but she won't say no. Now look at this lady all in front of me, sexy as can be. Tonight i want a slut, will you be mine?. I heard you was freaky from a friend of mine. [eminem]. Now i'ma hope you don't get mad at me. But i told nate you was a freak. He said he wants a slut, hope you don't mind. I told him that you like it from behind. Chorus. [nate dogg]. We 'bout to have a party (turn the music up). Let's get it started (go head shake your butt). I'm lookin' for a girl with a body and a sexy strut. Wanna get it poppin' baby step right up. Some girls they act retarded. Some girls are 'bout it 'bout it. I'm lookin' for a girl that will do whatever the fuck. I say everyday she be givin' it up. [eminem]. There she goes, shaking that ass on the floor. Bumpin' and grindin' that pole. The way she's grindin' that pole. I think i'm losing control. [eminem]. C'mon, i ain't leaving without you, bitch, c'mon with me,. And my boy, and this boy, and this boy and his girl...nate dogg."
the next episode (feat. dr. dre),"La-la-ra-ra-ra.... It's the motherfuckin d-o-double-g. (snoop dogg!). Ba-da-da-da-dahh. You know I'm mobbin with the d.r.e.. (yeah yeah yeah). You know who's back up in this motherfucker). What what what what?. (so blaze the weed up then!). Blaze it up, blaze it up!. (just blaze that shit up nigga, yeah, 'sup snoop?). Top dogg, bite me all, nigga burn the shit up. D-p-g-c my nigga turn that shit up. C-p-t, l-b-c, yeah we hookin' back up. And when they bang this in the club baby you got to get up. Thug niggaz drug dealers yeah they givin' it up. Lowlife, yo' life, boy we livin' it up. Takin' chances while we dancin' in the party fo' sho'. Slip my hoe a forty-fo' and she got in the back do'. Bitches lookin' at me strange but you know I don't care. Step up in this motherfucker just a-swangin' my hair. Bitch quit talkin', quick walk if you down with the set. Take a bullet with some dick and take this dope from this jet. Out of town, put it down for the father of rap. And if yo' ass get cracked, bitch shut yo' trap. Come back, get back, that's the part of success. If you believe in the s you'll be relievin your stress. [snoop]la-la-ra-ra-ra.... [dre]it's the motherfuckin' d.r.e. (dr. dre motherfucker). [snoop]ba-da-da-da-dahhh. [dre]you know I'm mobbin' with the d-o-double-g. Straight off the fuckin' streets of c-p-t. King of the beats you ride to em in your fleet (fleetwood). Or coupe deville rollin' on dubs. How you feelin' whoopty whoop nigga whut?. Dre and snoop chronic'ed out in the 'llac. With doc in the back, sippin' on 'gnac (yeah). Clip in the strap, dippin' through hoods (what hoods?). Compton, long beach, inglewood. South central out to the westside (wessyde). It's california love, this california bud got a nigga gang of pub. I'm on one, I might bail up in the century club. With my jeans on, and my team strong. Get my drink on, and my smoke on. Then go home with, somethin to poke on (whassup bitch?). Loc it's on for the two-triple-oh. Comin real, it's the next episode. Hold up, hey .... For my niggaz who be thinkin' we soft. We don't, play ..... We gon' rock it til the wheels fall off. Hold up, hey .... For my niggaz who be actin' too bold. Take a, seat .... Hope you ready for the next episode. Hey heey ... smoke weed everday"
21 questions,"[50 Cent]. New York City, you are know ridin with, with 50 Cent, you gotta love it. I just wanna chill and twist a lot. Catch sunshine in my 745. You drive me crazy, shorty I. Need to see you and feel you next to me. I'll provide everything you need and I. Like your smile, I don't wanna see you cry. Got some questions that I gotta ask and I. Hope you can come up with the answers babe. [Nate Dogg]. Girl, you seem to love me now. Would you love me if I was down and out. Would you still, have love for me?. Girl, you seem to love me now. Would you love me if I was down and out?. Would you still, have love for me?. [50 Cent]. If I fell off tomorrow, would you still love me?. If I didn't smell so good, would you still hug me?. If I got locked up and sentenced to a quarter century. Could I count on you to be there to support me mentally?. If I went back to a Hoop-D from a Benz. Would you poof and disappear, like some of my friends?. If I was hit and I was hurt would you be my side?. If it was time to put in work would you be down to ride?. I get out and peel a nigga cap and chill in drive. I'm asking questions to find out how you feel inside. If I ain't rap 'cause I was flip burgers in Burger King. Would you be ashamed to tell your friends you're feeling me?. In the bed, if I use my tongue would you like that?. If I wrote you a love letter, would you write back?. Now we can have a little drink, you know a Nightcap. And we can go do what you like, I know you like that. [Nate Dogg]. Girl, you seem to love me now. Would you love me if I was down and out?. Would you still, have love for me?. Girl, you seem to love me now. Would you love me if I was down and out?. Would you still, have love for me?"
till i collapse,"'Cause sometimes you just feel tired. Feel weak, and when you feel weak. you feel like you wanna just give up. But you gotta search within you. you gotta find that inner strength. And just pull that shit out of you. and get that motivation to not give up. And not be a quitter. no matter how bad. you wanna just fall flat on your face and collapse. Yo left, yo left, yo left right left. Yo left, yo left, yo left right left. Yo left, yo left, yo left right left. Yo left, yo left, yo left right left. [Eminem]. Till I collapse I'm spilling these raps. long as you feel 'em. Till the day that I drop you'll never say. that I'm not killing them. 'Cause when I am not then I'ma stop penning 'em. And I am not hip-hop and I'm just not Eminem. Subliminal thoughts when I'm stop sending them women. are caught in webs spin and hauk venom. Adrenaline shots of penicillin. could not get the illing to stop. Amoxacilin is just not real enough. The criminal cop killing hip-hop. filling minimal swap to cop millions of Pac listeners. Your coming with me, feel it or not. you're gonna fear it like I showed you. the spirit of god lives in us. You hear it a lot, lyrics the shock. is it a miracle or am I just a product of pop fizzing up. For shizzle my whizzle this is the plot. listen up you bizzles forgot slizzle does not give a fuck. [Chorus - NateDogg]. Till the roof comes off, till the lights go out. Till my legs give out, can't shut my mouth. Till the smoke clears out - am I high? Perhaps. I'ma rip this shit till my bone collapse. Till the roof comes off, till the lights go out. Till my legs give out, can't shut my mouth. Till the smoke clears out and my high burn out. I'ma rip this shit till my bone collapse. [Eminem]. Music is like magic there's a certain feeling. you get when you're real. And you spit and people are feeling your shit. This is your moment and every single minute. you spend trying to hold onto it. 'Cause you may never get it again. So while you're in it try to get as much shit as you can. And when your run is over. just admit when it's at its end. 'Cause I'm at the end of my wits. with half this shit that gets in. I got a list here's the order of my list that it's in. It goes, Reggie, Jay-Z, Tupac and Biggie. Andre from OutKast, Jada, Kurupt, Nas and then me. But in this industry I'm the cause of a lot of envy. so when I'm not put on this list. the shit does not offend me. That's why you see me walk around. like nothing's bothering me. Even though half you people. got a fucking problem with me. You hate it but you know respect you've got to give me. The press's wet dream like Bobby and Whitney. Nate hit me. [Chorus - NateDogg]. Till the roof comes off, till the lights go out. Till my legs give out, can't shut my mouth. Till the smoke clears out - am I high? Perhaps. I'ma rip this shit till my bone collapse. Till the roof comes off, till the lights go out. Till my legs give out, can't shut my mouth. Till the smoke clears out and my high burn out. I'ma rip this shit till my bone collapse. [Eminem]. Soon as a verse starts. I eat it at MC's heart. What is he thinking?. How not to go against me? Smart. And it's absurd how people hang on every word. I'll probably never get the props I feel I ever deserve. But I'll never be served. my spot is forever reserved. If I ever leave earth. that would be the death of me first. 'Cause in my heart of hearts. I know nothing could ever be worse. That's why I'm clever. when I put together every verse. My thoughts are sporadic. I act like I'm an addict. I rap like I'm addicted to smack like I'm Kim Mathers. But I don't want to go forth and back. in constant battles. The fact is I would rather sit back. and bomb some rappers. So this is like a full blown attack. I'm launching at them. The track is on some battling raps who want some static. 'Cause I don't really think. that the fact that I'm Slim matters. A plaque of platinum status is whack. if I'm not the baddest. [Chorus - NateDogg]. Till the roof comes off, till the lights go out. Till my legs give out, can't shut my mouth. Till the smoke clears out - am I high? Perhaps. I'ma rip this shit till my bone collapse. Till the roof comes off, till the lights go out. Till my legs give out, can't shut my mouth. Till the smoke clears out and my high burn out. I'ma rip this shit till my bone collapse. Until the roof. The roof comes off. Until my legs. Give out from underneath me. I will not fall. I will stand tall. Feels like no one could beat me"
music & me,"[Nate Dogg]. Hey OG, could you tell how to find some good weed. I need it homie oh so fast. That last bag was the best weed I've ever had. Bass so deep, I can't even seem to feel my feet. Girls so fine, I can't help it got to make this one mine. I hit em with my, gangsta leans. They can't seperate my music from me. [Chorus]. Music and me [3x]. Music, my music and me. [Nate Dogg]. Time does change, but the music it remains the same. I hit em with the music from the slave. Oh my goodness, what my ancestors gave. I don't want u to think I don't know. They tought me how to reach deep down and touch the soul. Without my music, where would I be. You tought me how to cry and still remain a G. You keep alot of soldiers at ease. And together the next level proceed. [Chorus]. [Nate Dogg]. Music and me, go together perfect harmony. Soft and mellow, oh so hard it will make your speakers explode. Stay with me, and together we will live out this. dream. My music and me. Music and me [4x]. My music and me. Music and me [4x]. My music and me"
i got love,"[Nate Dogg]. I got love... I got love.... I got love... I got love.... I got love - I, got, love, for, my homies who be rollin wit me. They know game - play, no, games, cause, ain't nobody playin wit me. I got love - I, got, love, for my niggaz on my family tree. I got love - love for the ghetto, down for whatever. If you was down before, you gon' still gon' be down wit me. I got game - I, got, game, cause, the game was given to me. Say my name - say, my, name, cause, ain't nobody tighter than me. Give it up - give, it, up, if, you like the way I'm rhymin this beat. I don't know - know nuttin better, chasin my chedder. If you in love with a whore -- you ain't never listened to me. Wah-ooooh, ooooh, oooh, oooh oooh oooh oooh oooh. Wah-ooooh, ooooh, oooh, oooh oooh oooh oooh oooh. Wah-ooooh, ooooh, oooh, oooh oooh oooh oooh oooh. Wah-ooooh. Captain save - cap-tain, save, a, hooker cause she hangin on me. She can't hang - she, can't, hang, cause I ain't lookin fo' a wifey. Just in case - just, in, case, I, better take a weapon wit me. And these hoes - keep cover, down for whatever. If she stress me some more, I have to leave her dead in the street. Run me how? Run, me, how? Cause, haters they be all in the mix. And they know - where, they, go-in, ain't gon' get no better than this. Can't they see? Can't, they, see, we, ain't some niggaz they wanna diss?. D.P.G. - though I'll love a trick never, treat a bitch never. I told you before, so you better not be fuckin wit me. Wah-ooooh, ooooh, oooh, oooh oooh oooh oooh oooh. Wah-ooooh, ooooh, oooh, oooh oooh oooh oooh oooh. Wah-ooooh, ooooh, oooh, oooh oooh oooh oooh oooh. Platinum chains - plat-inum, chains, is, all you ever see on my neck. Diamond ring - dia-mond, ring, as, long as I can keep every check. All the same - all, the, same, as, long as you don't ever forget. I was taught in the ghetto, wear the tight bellow. If she head for the stash, I always got this pistol wit me. Cap-tain, say, we, bustin to a hell of a beat. Then we came - then, we, came, cause, they base'll knock you off of your feet. Just that deep - just, that, deep, I, betcha we be movin ya feet. Voice kinda mellow, place, from the ghetto. If you still want some more, go and get the fuckin CD. I got love... I got love.... I got love... I got love.... I got love... I got love...."
the hardest man in town,"Will the hardest man please stand, the homie stood right up. Saggin pants, gat in hand, the nigga was a nut. Looney low key, O.G., been bangin from the jump. Dressed in all black, ready to jack, and he still don't give a fuck. A friend of of mine, he used to be, before I got caught up. He used to roll with me, way back in '93, when I was broke as fuck. Be prepared to blast, that's all that he ask, if he's to ride wit you. We gonna make some cash, and dash, you can toss him when ya through. [Chorus]. The hardest man in town. The hardest man in town. The hardest man in town. The hardest man around. Little big man, don't you see me lyin here; pick me up, if you dare. I'll make you're life easier, cuz I'll be pumpin fear. Disrespect, you don't have to take. If you see him comin, just wave me in his face. But you ain't the only one that got a friend like me. So hurry up, let's go, I'm kind of tired of being broke. I know you gotta get paid, I can show you the way. So take me home, polish the chrome. Load me up, and put me to his dome. I got a lot work to do, so toss me and be gone. You're a big man now. You're a big man now. You're a big man now. You're a big man now. I told you once before I'm pumpin fear. Nobody's gonna step to you, let them know I'm here. And if you have questions in the corner of your mind. Pull the trigger, and leave your questions behind."
i need a bitch,"I need me a bitch, with some big old thighs. I need me a fine ass mothafuckin' bitch with some pretty ass eyes. I need me a bitch, like I need some cash. I need me a bitch so I can floss that hoe and make my ex mad. I need me a bitch, ain't no need to lie. I need me a bitch so when I do some dirt she be my alibi. I need me a bitch, like I need a 6-4. I need me a bitch that'll shine my rims up and open my door. I need me a bitch, who is all of that. I need me a bitch cuz I'm a fly ass mothafuckin' nigga who was born to mac. I need me a bitch, like neva before. I need me a bitch and I couldn't care less if the bitch is yours. I need me a bitch. I gotta fuck wit cheeks, got a house up on the beach. Everyweek she call me just to beat up the peach. 'Til she reach a climax, scratches on my back. Hit it from the back, baby told me she like that. Infact, you the first one to make it feel right. I knew she wasn't lyin', knew the cat was real tight. And afta tonight, you gone remember me. Armed Robbery, put my love up there where your liver be (Haha). I told her never speak on me (Damn). 'Less ya want your burnt out friends ta creep wit' me, go ta sleep wit me. I hit her frequently, take them women off the chain. Can duck game, eva see the bitches run the train (Uh-uh). It ain't the same (Uh-uh), afta I knock it out the frame. You wonder why just now ya start gettin' brain. I knock 'em out, pull chickens wit'out a doubt, fo' clout. Ask Nate Dizzal what I'm all about. I need me a bitch (Ahh, ahh, ahh, ahh, ahh, ahh). I need me a bitch (Ahh, ahh, ahh, ahh, ahh, ahh). I need me a bitch, who ain't hard ta please. I need me a fine ass mothafuckin' bitch with some sored up knees. I need me a bitch, who ain't scared ta flirt. I need me a bitch in the middle of the grocery store she'll lift up her skirt. I need me a bitch, like I need my crew. I need me a bitch to pass on to my boys soon as I get through. I need me a bitch, this I can't deny (I can't deny). I need me a bitch I love when she wallin' out cuz she still look fly (Fly). I need me a bitch, and a Coup Deville. I need me a bitch a car with a big back seat so I can make her squeal. I need me a bitch, like I need a drink. Bitch who can hold her breathe real good, its either swim or sink. Bitch. I, I, I, I need a bitch. I, I, I, I need a bitch. I, I, I, I need a bitch. I, I, I, I need a bitch"
never leave me alone,"Chorus(Nate):. Never Leave me alone (never leave me alone). Leave me alone (never leave me alone). never leave me alone (Never leave me aloooone). leave me alone (Never leave me alone). Never leave Me alone. Verse 1 (Nate Dogg):. They tell me that temptation.....ooh, is very hard to resist. You tell me that you want me....I tried to hide my feelings, D-O-G's. ain't supposed to feel like this. You can call it what you want to....But I don't even know what it is. You've got me singin' in the morning....you bring me breakfast in my bed. and when it hurts you rub my head. I'll ask you one time only....baby, won't you be there when it's hectic. When I don't have a hit record (Never leave me alone). Chorus. Verse 2 (Nate Dogg):. I've traveled so many places....I've seen so many faces. There were times I didn't think I'd make it through (alone). I went through so many phases....that got me so many cases. Three strikes you're gonna' then what you gonna do. I guess I'll call my lady....and tell her to kiss my baby. They tell me that crime is all I know how to do. Tell him his daddy's sorry....let him know all about me. There's one more thing I'd really like for you to do. Chorus. Verse 3 (Snoop Dogg). Somebody was naughty when they snitched on me. And the judge just sentenced me to do about a century. I'm mobbin' through the county mainline. back in 9500 just tryin' to handle mine. Spittin' game at the homies about the good ol' days. As we try to pass time waiting for the chain to Chino. I see no reason to cry but I miss my baby boo. And my nigga Spanky too. It's true that the dirt I did from an O.G. to a snotty nose kid. Got me caught up in the rapture like maze days gone by. And real G's gon cry. But I try to walk the yard with my head to the sky. And hope my baby boo ain't fuckin niggas on the outside. But what's the chance it ain't crackin. If I was out and she was in I'd probably be mackin. I can't lie. So I say I would now my girl in a world of playahood. A playa should show a nigga love and look our. But the niggas I know would probably turn your ass out. So keep away better yet stay away. And hope I get out one day, OK. But if I don't I guess this is home. My girl is trippin she got a block on the phone."
stone cold,"""And can no hood fuck with gangsta shit"" ---> Tray Deee. [Intro/Chorus - x4]. Stone cold baby. Stone cold baby. Stone cold baby. As cold as can be. Hey let's party y'all. All I wanna do is have a good time. Tonight it's goin down. Hey just roll it up. It don't matter who's at the party. Somebody's leavin with me. Hey let's set it off. I see the girl that I want (that I want). I see the girl that wants me. Hey it's gettin hot. But before my body gets bothered. Let me tell you this about me. Momma kicked me out when I was sixteen. Woke up the next mornin with some D-O-G's. I felt a little bad but I had money. Went and bought some dope and some blue khakis. While you were hangin out in the promised land. I was growin up on the Long Beach sand. So if you're intentions were to leave with me. Remember when I'm satisfied. I'm just as cold as can be, stone cold. [Chorus]. Damn this is a cavi beat. I feel like takin time on this beat. To smash you all. But teachers are supposed to teach. So I'ma teach and you gon' listen or else you got to fall. To battle that's a thing that I've always done. Never lost a battle that means I'm number one. Don't hang with cowards cos they always run. If you be rollin with cowards don't forget your gun (ahhhh). Damn I really love to compete. Another victim I would love to delete. Come one come all. Taste the agony of defeat. But I know how sneaky niggas can be. When e're they fall. Some niggas try to take my cash. Dumb niggas try to make me blast. These days it's kinda hard to laugh. I gotta host of new friends I never had in the past. Some niggas try to take my cash. Dumb niggas try to make me blast. These days it's kinda hard to laugh. I gotta host of new friends I never had in the past. Stone cold. [Chorus - x4]. Hey let's party y'all. All I wanna do is have a good time. Tonight it's goin down. Hey just roll it up. It don't matter who's at the party. Somebody's leavin with me"
