dilemma (feat. kelly rowland),"(Kelly). I love you and I need you. Nelly, I love you, I do,. Need you. No matter what I do..... All I think about is you. Even when I`m with my Boo. Boy, you know I`m crazy over you. No matter what I do. All I think about is you. Even when I`m with my Boo. You know I`m crazy over you. (Nelly). Uh-uh. I met this chick and she just moved right up the block from me. And she got the hots for me, the finest thing my hood did see. But oh, no, no, she got a man and a son oh-oh, but that`s okay. ‘Cuz I wait for my cue and just listen, play my position. Like a shortstop, pick up e`rything mami hittin`. And in no time I better make this lil hun mine and that`s forsure. ‘Cos I-I never been the type to break up a happy home. But uh there`s something ‘bout baby girl, I just can`t leave her‘lone. So tell me, ma, what`s it gonna be. She said, “You don`t know what you mean to me,”. No matter what I do. All I think about is you. Even when I`m with my Boo. Boy, you know I`m crazy over you. No matter what I do. All I think about is you. Even when I`m with my Boo. You know I`m crazy over you. Uh-uh-uh-uh. I see a lot in your look and I never say a word. I know how niggas start actin` trippin` , and hate up all thegirls. And there`s no way Nelly go for it. Ain`t fightin ova no dame, as you could see. But I like your steeze, your style, your whole demeanor. The way you come through and holler, and swoop me in histwo-seater. Now that`s gangsta and I got special ways to thank ya,. don`t you forget it. But uh it ain`t that easy for you to back up and leave him. But uh you and me we got ties for different reasons. I respect that and right before I turned to leave. She said, “You don`t know what you mean to me,” come on. No matter what I do. All I think about is you. Even when I`m with my Boo. Boy, you know I`m crazy over you. No matter what I do. All I think about is you. Even when I`m with my Boo. You know I`m crazy over you. Sing it for me, Kelly. I love you and I need you. Nelly, I love you, I do. And it`s more than you`ll ever know. Boy, it`s for sure. You can always count on my love. Forever more, yeah, yeah. East coast, I know you`re shakin` right. Down south, I know you`re bouncin` right. West coast, I know you`re walkin` right. (‘Cos you don`t know what you mean to me). Midwest, I see you swingin` right. No matter what I do. All I think about is you. Even when I`m with my Boo. Boy, you know I`m crazy over you. No matter what I do. All I think about is you. Even when I`m with my Boo. You know I`m crazy over you. East coast, I know you`re shakin` right. Down south, I know you`re bouncin` right. West coast, I know you`re walkin` right. (You don`t know what you mean to me). Midwest, I see you swingin` right. East coast, you`re still shakin` right. Down south, I know you`re bouncin` right. West coast, I know you`re walkin` right. (You don`t know what you mean to me). Midwest, you`re still swingin` right. No matter what I do. All I think about is you. Even when I`m with my Boo. Boy, you know I`m crazy over you. No matter what I do. All I think about is you. Even when I`m with my Boo. You know I`m crazy over you. Yeah, yeah. East coast, I know you`re shakin` right. Down south, I know you`re bouncin` right. West coast, I know you`re walkin` right. (You don`t know what you mean to me). Midwest, I see you swingin` right. East coast, you`re still shakin` right. Down south, I see you`re bouncin` right. West coast, I know you`re walkin` right. (You don`t know what you mean to me). Midwest, you`re still swingin` right."
just a dream,"I was thinkin about her, thinkin about me. Thinkin about us, what we gonna be?. Open my eyes, yeah; it was only just a dream. So I travel back, down that road. Will she come back? No one knows. I realize, yeah, it was only just a dream. I was at the top and I was like I'm at the basement. Number one spot and now she found her a replacement. I swear now I can't take it. Knowing somebody's got my baby. And now you ain't around, baby I can't think. Shoulda put it down, shoulda got that ring. Cuz I can still feel it in the air. See her pretty face run my fingers through her hair. My lover, my life, my shorty, my wife. She left me, I'm tied. Cuz I knew that it just ain't right. I was thinkin about her, thinkin about me. Thinkin about us, what we gonna be?. Open my eyes, yeah; it was only just a dream. So I travel back, down that road. Will she come back? No one knows. I realize, yeah, it was only just a dream. When I be ridin man I swear. I see her face at every turn. Tryin to get my Usher over, I can let it burn. And I just hope she notice. She the only one I yearn for. Oh I miss her when will I learn?. Didn't give her all my love. I guess now I got my payback. Now I'm in the club thinkin all about my baby. Hey, she was so easy to love. But wait, I guess that love wasn't enough. I'm goin through it every time that I'm alone. And now I'm missin, wishin she'd pick up the phone. But she made a decision that she wanted to move on. Cuz I was wrong. And I was thinkin about her, thinkin about me. Thinkin about us, what we gonna be?. Open my eyes, yeah; it was only just a dream. So I travel back, down that road. Will she come back? No one knows. I realize, yeah, it was only just a dream. If you ever loved somebody put your hands up. If you ever loved somebody put your hands up. And now they're gone. And you wish you could give them everything. I said, if you ever loved somebody put your hands up. If you ever loved somebody put your hands up. And now they're gone. And you wish you could give them everything. I was thinkin about her, thinkin about me. Thinkin about us, what we gonna be?. Open my eyes, yeah; it was only just a dream. So I travel back, down that road. Will she come back? No one knows. I realize, yeah, it was only just a dream. And I was thinkin about her, thinkin about me. Thinkin about us, what we gonna be?. Open my eyes, yeah; it was only just a dream. So I travel back, down that road. Will she come back? No one knows. I realize, yeah, it was only just a dream"
ride wit me,where they at where they at. where they at where they at. where they at where they at. where they at come on now. (chorus:). if you wanna go and take a ride wit me. wit three women in the fo wit the gold ds. oh why do I live this way. (hey) must be the money. if you wanna go and get high wit me. smoke an L in the back of the benzie. oh why must I feel this way. (hey) must be the money. in the club on the late nite feeling right. lookin tryin to spot something real nice. looking for a lil shorty I noticed. so that I can take home (I can take home). she can be 18 (18) wit a attitude. 19 kinda snotty actin real rude. but as long as you a thicky thicky thick. girl you know that it`s on. you know that it`s on. I peep something comin towards me on the dance floor. sexy and really slow (hey). saying she was peepin and I dig the last video. somewhere nelly we could go. how could I tell her no. her measurements was 36 25 34 {feel it}. I like the way you brush your hair. and I like those stylish clothes you wear. I like the way the light hit the ice and glare. and I can see you movin way over there. (chorus). face a body from that don't know how to act. without the vouchers on the gucci's bringing nothin back. you should feel the impact shop on plastic (where the). sky is the limit. and them haters can't get past that. watch me as I gas that four dot six range. watch the candy paint change every time I switch. lanes. it feels strange now. makin a livin off my brain instead of caine now. I got the title from my momma put the whip in my own name now. damn shit can change now. running credit checks with no shame now. I feel the fame now come on. I can't complain no more. shit I'm the man now. in and outta my own town. (I'm getting pages) out of new jerz from courtney b. tellin me about a party up in NYC. and can I make it damn right. I be on the next flight. payin cash first class sittin next to Vanna White. (chorus). (chorus). check check. yo I know somethin you don't know. and I got somethin to tell ya. you won't believe how many people straight doubted the flow. most said that I was a failure. but now the same mutha fuckaz askin me for dough. and I'm yellin I can't help ya. yo Nelly can we get tickets to the next show. hell naw you for real. hey yo now that I'm a fly guy. and I fly high. niggas wanna know why why I fly by. but yo it`s all good. range rover all wood. do me like you should. fuck me good suck me good. we be them stud niggas. wishin you was niggas. poppin like we drug dealers. sippin crissy bud makin. honey in the club me in the benz. I see a cutie tellin me to leave wit you and your. friends. so if shorty wanna knock we knockin to this. and if shorty wanna rock we rockin to this. and if shorty wanna pop we poppin the criss. shorty wanna see the ice then I ice the wrist. city talk nelly listen. nelly talk city listen. when I fuck fly bitches. when I walk pay attention. see the ice and the glist. niggas starin at the glist. honeys lookin no they wish. come on boo gimme kiss c'mon. (chorus). (chorus). 'must be the money' (on out)
"grillz (feat. paul wall, ali and gipp)","Rob the jewelry store and tell 'em make me a grill. Add the whole top diamond and the bottom row's gold. Yo we bout to start a epidemic wit this one. Y'all know what this is, So So Def. Got thirty down at the bottom, thirty more at the top. All invisible set with little ice cube blocks. If I could call it a drink, call it a smile on the rocks. If I could call out a price, let's say I call out a lot. I got like platinum and white gold, traditional gold. I'm changing girlls everyday, like Jay change clothes. I might be grilled out nicely (oh) In my white tee (oh). Or on South Beach (oh) in my wife B. Vvs studded, you can tell when they cut it. You see my grandmama hate it, but my lil' mama love it. Cause when I. Open up ya mouth, ya grill gleamin' (say what). Eyes stay low from the cheifin' (cheifin'). I got a grill they call penny candy, you know what that means. It look like Now and Laters, gum drops, jelly beans. I wouldn't leave it for nothing only a crazy man would. So if you catch me in your city, somewhere out in your hood. Just say. Smile for me daddy. (What you looking at). Let me see ya grill. (Let me see my what). Ya, ya grill ya, ya, ya grill. (Rob the jewelry store and tell 'em make me a grill). Smile for me daddy. (What you looking at). I want to see your grill. (You wanna see my what). Ya, ya grill ya, ya, ya grill. (Had a whole top diamonds and the bottom rows gold). What it do baby. Its the ice man Paul Wall. I got my mouth looking something like a disco ball. I got the diamonds and the ice all hand set. I might cause a cold front if I take a deep breath. My teeth gleaming like I'm chewing on aluminum foil. Smiling showing off my diamonds sipping on some potent oil. I put my money where my mouth is and bought a grill. Twenty carats thirty stacks let 'em know I'm so for real. My motivation is from thirty pointers, Vvs. The furniture my mouth piece simply symbolize success. I got the wrist wear and neck wear that's captivating. But its what smile that's got these onlookers spectating. My mouth piece simply certified a total package. Open up my mouth and you see more carrots than a salad. My teeth are mind blowing giving everybody chills. Call me George Foreman cause I'm selling everybody grills. Smile for me daddy. (What you looking at). Let me see ya grill. (Let me see my what). Ya, ya grill ya, ya, ya grill. (Rob the jewelry store and tell 'em make me a grill). Smile for me daddy. (What you looking at). I want to see your grill. (You wanna see my what). Ya, ya grill ya, ya, ya grill. (Had a whole top diamonds and the bottom rows gold). Gipp got them yellows, got them purples, got them reds. Lights gon' hit and make you woozy in your head. You can catch me in my 2 short drop. Mouth got colors like a Fruit Loop box. It's what it do, in the Lou'. Ice grill, country grammar. Where the hustlers move bricks. And the gangsters bang hammers. Where I got 'em you can spot 'em. On the top, on the bottom. Gotta bill in my mouth like I'm Hillary Rodham. I ain't dissing nobody but lets bring it to the light. Gipp was the first with my mouth bright white. Yeah these hoes can't focus cause they eyesight blurry. Tipping on some 4's you can see my mouth jewelry. I got four different sets its a fabulous thang. One white, one yellow, like Fabolous chain. And the other set the same got my name in the mold. (Had a whole top diamonds and the bottom row's gold). Smile for me daddy. (What you looking at). Let me see ya grill. (Let me see my what). Ya, ya grill ya, ya, ya grill. (Rob the jewelry store and tell 'em make me a grill). Smile for me daddy. (What you looking at). I want to see your grill. (You wanna see my what). Ya, ya grill ya, ya, ya grill. (Had a whole top diamonds and the bottom rows gold). Boy, how you get grill that way. And how much did you pay. Every time I see you. Tha first thing I'm gon' say hey. Smile for me daddy. (What you looking at). Let me see ya grill. (Let me see my what). Ya, ya grill ya, ya, ya grill. (Rob the jewelry store and tell 'em make me a grill). Smile for me daddy. (What you looking at). I want to see your grill. (You wanna see my what). Ya, ya grill ya, ya, ya grill. (Had a whole top diamonds and the bottom rows gold)"
number one,"Uh Uh Uh. I just gotta bring it to they attention Dirty, thas all. You better watch who you talkin bout. Runnin you mouth like you know me. You gonna f*** around and .....(?)...... While one on you can't hold me if your last name was Hanes. Only way you wear me out is stitch my name on your pants. No resident of France (whoo). But you swear I'm from Paris. Hundered and 6 karats. Total? Naw, that's per wrist. Tryin to compare this. My chains to yo chains. I'm like Sprint or Motorola, no service, outta ya range. You're outta yer brains thinkin I'm a shout out ya name. You gotta come up with better ways than actions to get ya fame. All this pressure you applyin, it's time to ease off. Before i hit you from the blind side. Takin' your sleeves off. As much as we's lost. Still hard to please, boss. Don't be lyin, cryin suck it up as a loss. Cuz yo acts is whack. Yo whole label is whack. And matter of fact....eh.... I am number one. No matter if you like it, here take it, sit down, and write it. I am number one. eh eh eh eh eh eh...now lemme ask ya man.... What does it take to be number one?. Two is not a winner and three nobody remembers. What does it take to be number one?. eh eh eh eh eh eh.... (girl). Do you like it when I shake for ya, Daddy?. Move it all around? (whoo). Let ya get a peek before it touches the ground?. (Nelly). Hell yeah, my lover girl is willin to learn. Willin to get in the drivers' seat and willin to turn. And not concerned bout the he say. She say. Did he say. What I think he said?. Squash that, he probly got that off ebay. Or some internet access. Or some website chat line. Mad cuz I got mine. Oh don't wind up on the flat line. Oh if my uncle could see me now. If he could see how many rappers wanna be me now. Straight emulatin my style right to the down down. Can't leave out the store now. Better wait till the calm down. I got hella shorties. Come and askin ya where the party. Oh lordy, will I continue to act naughty. Mixin kris and bacardi. Got me thinkin for sure. I'm not a man of many words, but there's one thing I know. (ehh....) Pimp. I am number one. No matter if you like it. Here take it, sit down, and write it. I am number one. eh eh eh eh eh eh. And tell me now, Dirty. What does it take to be number one? (whoo). Two is not a winner and three nobody remembers. Tell me. What does it take to be number one?. eh eh eh eh eh eh. Yo I'm tired of people judgin what's real hip hop. Half the timeyou be the niggas who's album flop. You know, Boat done sank and it ain't left the dock. Come one, Mad cuz I'm hot, he just mad cuz he not. You don't gotta give me my props. Just give me tha yachts. Give me my rocks. Keep my fans comin in flocks. Til you top the super bowl. Keep that mouf on lock (shhhh). Eh yo im cocky on the mic. But im humble in real life. Take nothin for granted. Blessing errthing on my life. Trying to see a new light. At the top of the roof. Baby aint not single. But I speak the truth. I heat the booth. Nelly acting so uncouth. Top down shirt off. in the coupe. Spreadin the loot. With my. family and friends. And my. Closest to kin. And I. Do it again. If it means I'ma win. Dirty I am. (Chorus) - repeat until fade."
my place,"I used to pride myself on being the other man. But now it's flipped and I don't want u with no other man. Why can't u understand anything I'm offering. I gave you the world but you just wanted arguing. From the time I picked you up,. until the time I dropped u off again. Even flipped out on me at the mall again. ""it's all his fault again"" that's what u telling all ya friends. I aint pointing fingers ma, I just wanna call again. See how ya day going I know they stressin on ya. I know them times get hard. that's why I'm checkin on ya. It's yours truly ma, I got a little message for ya. Anything he can do,. girl I can do it better for ya, cause. [Bridge]. Cause when we laugh or we cry it's together. Through the rain and the stormiest weather. We gon still be as one it's forever, it's forever. [Chorus]. Won't you come on and go with me. Come on over to my place. Won't you sit ya self down and take a seat. And let me ease ya mind girl. We gon do it our way. I heard your friend told a friend. that told a friend of mine. That you was thinking that we should do it one more time. If this aint the truth then hopefully it's not a lie. Cause I aint got no issue's with hitting at another time. We never had a problem gettin it done. Disagreed upon a lot ma. but the sex wasn't one. Now check it I know u get excited. (still) when I come round and bite it (girl). Quit frowin up and quit actin like you don't like. I like it, I like it, I really, really like it,. I want it, adore it, so come let me enjoy it. [Bridge]. Cause when we laugh or we cry it's together. Through the rain and the stormiest weather. We gon still be as one it's forever, it's forever. [Chorus]. Won't you come on and go with me. Come on over to my place. Won't you sit ya self down and take a seat. And let me ease ya mind girl. We gon do it our way. Shawty where u been. Feels like a long time, long, long time. since I seen ya. Yes it has girl,. when I know I said some fucked up things to u before. But girl u know I didn't mean it. (I didn't mean one single word). (I never meant one single word). If I could take back every word. I would and more fo sho. If I thought that you believe it. Cause you make my life so convenient for me. [Bridge]. Cause when we laugh or we cry it's together. Through the rain and the stormiest weather. We gon still be as one it's forever, it's forever. [Chorus]. Won't you come on and go with me. Come on over to my place. Won't you sit ya self down and take a seat. And let me ease ya mind girl. We gon do it our way"
tip drill,"Yo this for my nigga, DJ 6-1-8. (pull ya chain, pull ya chain, pull ya chain, pull ya chain). Oh,. (Pop it pop it, pop it pop it, pop it pop it, pop it pop it). I said it must be ya ass cause it ain't ya face. I need a tipdrill, I need a tipdrill. I said it must be ya ass cause it ain't ya face. I need a tipdrill, I need a tipdrill. I said if ya see a tipdrill point her out, where she at. Point her out, where she at. Point her out, there she goooooes. I said if ya see a tipdrill point her out, where she at. Point her out, where she at. Point her out, there she goooooes. We throwin money in the air like we dont give a fuck. Lookin for a tipdrill, I mean a tipdrill. We throwin money in the air like we dont give a fuck. Lookin for a tipdrill, I mean a tipdrill. Now mama girl you gotta friend that dont mind joinin in. I'm a tipdrill, cause I'm a tipdrill. Now mama girl you gotta friend that dont mind joinin in. I'm a tipdrill, cause I'm a tipdrill. Now baby girl bring it over let me spit my pimpjuice. I need a tipdrill, I need a tipdrill. Now baby girl bring it over let me spit my pimpjuice. I need a tipdrill, I need a tipdrill. I said it ain't no fun less we all get some. I need a tipdrill, we need a tipdrill. I said it ain't no fun less we all get some. I need a tipdrll, we need a tipdrill. I said it must be ya ass cause it ain't ya face. I need a tipdrill, I need a tipdrill. I said it must be ya ass cause it ain't ya face. I need a tipdrill, I need a tipdrill. I said if ya see a tipdrill point her out, where she at. Point her out, where she at. Point her out, there she goooooes. I said if ya see a tipdrill point her out, where she at. Point her out, where she at. Point her out, there she goooooes. Now come on girl you know what we came here for. Is You a tipdrill, we need a tipdrill. I said now come on girl you know what we came here for. We need a tipdrill, I gotta tipdrill. You lookin good in them shorts but they look better on the floor. Cause yous a tipdrll, cause yous a tipdrill. You lookin good in them shorts but they look better on the floor. Cause yous a tipdrill, cause yous a tipdrll. See, now I wanna let you ride but the rubber might slide. Yous a tipdrill, girl you a tipdrill. I said I wanna let you ride but the rubber might slide. Yous a tipdrill, girl you a tipdrill. Turn that ass up mama put that dip in ya back. And let me tipdrill, just let me tipdrill. Turn that ass up mama put that dip in ya back. And let me tipdrill, just let me tipdrill. I said it must be ya ass cause it ain't ya face. I need a tipdrill, I need a tipdrill. I said it must be ya ass cause it ain't ya face. I need a tipdrill, I need a tipdrill. I said if ya see a tipdrill point her out, where she at. Point her out, where she at. Point her out, there she goooooes. I said if ya see a tipdrill point her out, where she at. Point her out, where she at. Point her out, there she goooooes. We be like andele andele mami, E.I. E.I. Uh-ohhhhhhhhhhhhhh! What's poppin tonight?. I said andele andele mami, E.I. E.I. Uh-ohhhhhhhhhhhhhh! Well If the head right,. I'll be there ery'night. Andele andele mami, E.I. E.I. Uh-ohhhhhhhhhhhhhh! What's poppin tonight?. Andele andele mami, E.I. E.I. Uh-ohhhhhhhhhhhhhh! Well If the head right,. I'll be there ery'night. It must be ya money, cause it ain't ya face. You a tipdrill, nigga you a tipdrill. I said it must be ya money, cause it ain't ya face. You a tipdrill, nigga you a tipdrill. My apple bottom look right, I know you wanna bite. Yous a tipdrill, I heard you was a tipdrill. My apple bottom look right, I know you wanna bite. Yous a tipdrill, I heard you was a tipdrill. I got you payin my bills and buyin automobiles. You a tipdrill, nigga you a tipdrill. I got you payin my bills and buyin automobiles. You a tipdrill, nigga you a tipdrill. I know you a trick go spend that shit. You old tipdrill, you funkyass tipdrill. I know you a trick go spend that shit. You old tipdrill, you funkyass tipdrill. [Hook]. [Interlude]. I need a FREAK (ohhhh). To hold me tight (ohhhh). I need a FREAK for seven days and seven nights (ohhhh). I need a FRREEAK (ohhhh). That will not choke (ohhhh). I need a FREAK ta let me stick it down her ohhhhh. [Hook] - repeat 2X. [St. Lunatics]. St. Louis got tipdrill. Nap-town got tipdrill. Cleveland got tipdrill. K.C. got tipdrill. Miami got tipdrill. New Orleans got tipdrill. Detroit got tipdrill. D.C. got tipdrill. Westcoast got tipdrill. Chi-town got tipdrill. A.T.L. got tipdrill. Oklahoma got tipdrill. All you all got tipdrill. Midwest got tipdrill. Eastcoast got tipdrill. Whole world got tipdrill. . . . Crédito by: BONOVOXvídeo"
here comes the boom,"(Intro). Here comes the. Here comes the. Here comes the. Ya'll don't really want it now (BOOM!). Here comes the (BOOM!). Here comes the (BOOM!). Here comes the. Ya'll don't really want it now (BOOM!). Here comes the (BOOM!). Here comes the (BOOM!). Here comes the. Ya'll don't really want it now (BOOM!). (Verse 1). It's the N-E-Double L-Y. I said it so I keep it realz up in my hood,on the dirty like Bledsoe. Ain't got no twist in my hair,but I'm still dread throwin. I gots plenty of bread so I go to bed full now. Ain't in it to win,to win it I'm all in. I might call you my cuz youngblood,but we ain't kin naw. Ya think of jumpin man,you best think again. Lil dirty,I'm the type of man that might could go for revenge. Have some not so nice friends,kick the door off the hinge. Take the door of ya Benz,p-p-pop 4 of your friends. This here ain't cynical (Uh uh). Mental,subliminal,I'm physical,financial,and mental to be a general. Lil mama come,she want a soldier. Not the type be in the tank,but in that Rover. I'm in the zone like AIDS full blown. I'm killin it like a blind man readin,I'm feelin it like (BOOM!). (Hook). Here comes the (BOOM!). Here comes the (BOOM!). Here comes the. Ya'll don't really want it now (BOOM!). Here comes the (BOOM!). Here comes the (BOOM!). Here comes the. Ya'll don't really want it now (BOOM!). Here comes the (BOOM!). Here comes the (BOOM!). Here comes the. Ya'll don't really want it now (BOOM!). Here comes the (BOOM!). Here comes the (BOOM!). Here comes the. Ya'll don't really want it now (BOOM!). (Verse 2). ???,when he know he soft as butter. He ain't never been a fighter,you can go and ask his mother. I'm a lover and a fighter,producter and a writer. Give your girl a quick fix,and give ya man a nice shine. (Ya'll don't really want it) And I can tell just by lookin. That you the type to run and go and tell just by lookin at ya. You want a mission for recognition by dissin. Then have no problem till the record started rippin. (Ya'll don't really want it) So let me tell ya the deal. I'm oh so serious,I'm dirty,I'm no longer for real. ???,a glock grip on the pump. From leavin you in ya trunk,so ???. (Ya'll don't really want it) So quit actin like you deaf. I'm lookin into my rhymes, tryna see who's left. So uh,you better watch it fore I stick to the plan. And be the next Artest to run up in your stands like (BOOM!). (Hook). (Verse 3). Ya'll don't really want it,don't really want it. Ya'll don't really want it with me. I know ya shook man,you ain't built for. As scared as a nigga can be. It's gon sound like (BOOM!). When I'm comin like (BOOM!). When I'm comin like (BOOM!). When I come for ya. It's gon sound like (BOOM!). When I'm comin like (BOOM!). When I'm comin like (BOOM!). When I come for ya. It's gon sound like (BOOM!)"
stepped on my jz,"OOOH. [Nelly]. We used to ditch school and head straight up to the mall. Just so we could be the firsts ones wit em on. Return to school by lunchtime. Like nigga what now. And today we in the club. Like nigga what now. You better look down cause I know you see em. I know you see em, I know you see em. A thousand for the jeans 200 for the shoes. And uh fuck the shirt I'm a rock these tattoos. You see my fitted mane. I represent the crib cause even at the crib. I represent the crib. My pop my grill in my let my chain hang. My wrap my wrist tight. I get em free but I'll pay. If I wanna rock a different year J's err day. A different style, different color is a must. But uh it's all good till I get my first scuff. And I'm like. [Chorus]. HOOK. Hell nawl ain't no way. What's wrong, man he done stepped on my J's. What stepped on my J's he done stepped on my J's. These just came out, he done stepped on my J's. Hell nawl ain't no way. What's wrong, man he done stepped on my J's. What stepped on my J's he done stepped on my J's. I can't believe this shit, he done stepped on my J's. [Jermaine Dupri]. I got the.. Ones. Then I got the twos. And the threes and the fours. I had to order these. You can't find them in the stores. Called up my stylist like shorty send more. And if you would please send them to me out on tour. They be here in a minute man. See I got that connect where I can damn near get like any thang. Pose one em, then I'm a stroll on em. I called my hook up at the store, like put a hold on em. Them Carolina # 9's matching Patten leather wrist bands. Patten leather #11 we call em space jams. You in my space man. I'm a make you jump man. I'll make you jump the jump the jump man. See on my weekends. My js play apart. I'm rocking these to the club and these to the park. I'm putting these on now and these here 2morrow. A spare off in my car in case I catch a star. [Chorus]. Hell nawl ain't no way. What's wrong, man he done stepped on my J's. What stepped on my J's he done stepped on my J's. These just came out, he done stepped on my J's. Hell nawl ain't no way. What's wrong, man he done stepped on my J's. What, stepped on my J's he done, stepped on my J's. I can't believe this shit, he done stepped on my J's"
"body on me (feat. akon, ashanti)","[Hook: Akon] + (Ashanti). The way that you're walkin. The way that you're talkin. You're the one I wanna spend this night with. Tryna get in them drawers. And bang it out 'til the mornin. (Ahhhhhhh) I can already tell you want it. Cause you're shakin it all for me. Givin it all to me. Rubbin that (body on me). Keep on shakin it all for me. Givin it all to me. Rubbin that (body on me). [Nelly]. I'm lovin that! Uh, uh. Hey how you doin mama?. I need to know your name. You givin me the eye eye. I'm givin you the same. It just hit me right now. What we should do today. Go tell your friends bye-bye. And let's go hop a plane. It's no mistaken, the attraction's ironic. I wanna make you someone more than. Just a bone in my closet. I wanna win that, type of relationship. Where you gon' wanna come hang. When your man done tripped. You say you short this month. And you're late on your rent. He took your car. What you mean? Hold this. Yea-yayyy, sing, whoahhhh. You see, lil' mama outta control. And I'm just sayin. [Hook: Akon] + (Ashanti). The way that you're walkin. The way that you're talkin. You're the one I wanna spend this night with. Tryna get in them drawers. And bang it out 'til the mornin. (Ahhhhhhh) I can already tell you want it. Cause you're shakin it all for me. Givin it all to me. Rubbin that (body on me). Keep on shakin it all for me. Givin it all to me. Rubbin that (body on me). [Nelly]. I'm lovin that!. Shorty movin closer, and closer. And slower, and lower, yeah. I think she know she makin me hard. Got every man in the buildin like, ""Oh my God"". She, slicker than lodi-dodi. She work her body body. When you done hurr at the party. Meet me down there in the lobby. And I'll be waitin on ya. Ain't no debatin on ya. I got a seat for ya. We can let the top back and goooooo. We don't have to stop girl, noooooo. I got a lil' somethin I wanna showwwwww. Believe me, you're strong. Lil' mama please don't make me wait too long. [Hook: Akon] + (Ashanti). The way that you're walkin. The way that you're talkin. You're the one I wanna spend this night with. Tryna get in them drawers. And bang it out 'til the mornin. (Ahhhhhhh) I can already tell you want it. Cause you're shakin it all for me. Givin it all to me. Rubbin that (body on me). Keep on shakin it all for me. Givin it all to me. Rubbin that (body on me). [Ashanti]. Now I see you're lookin at my body babe. And now you wanna come and put it on me. If I gave it to you could you promise me. That you could make it feel like it never did. Cause I see you (I see you). And you see me (you see me). Now if I please you (I please you). Could you please me (you please me). Now I ain't the one in no relationship. And I ain't tryna be the other chick. I know you want it. [Hook: Akon] + (Ashanti). The way that you're walkin. The way that you're talkin. You're the one I wanna spend this night with. Tryna get in them drawers. And bang it out 'til the mornin. (Ahhhhhhh) I can already tell you want it. Cause you're shakin it all for me. Givin it all to me. Rubbin that (body on me). Keep on shakin it all for me. Givin it all to me. Rubbin that (body on me)"
