rap name,"[Obie Trice]. Obie Trice, real name no gimmicks. Rap; I been in it ever since I was invented. That's cuz a nigga live it. My records wield digits in history - niggaz you be the witness. I got the white boys mad at me. Cuz Em, signed another black boy like he nigga happy. Caucasians, Marshall knows talent. Obie Trice a riot, that's why he's hired. I hit ya raves, balloons and E's. and bang all your European Pamela Lee's. Fuckin aye, or how we say it round my way. ""Fo sho"", Trice gon' blow, then I'm off to them shows. I'm off across the globe, until my accounts all swoll. For young Kobe - big things, act like ya know me. Not a soul can hold me, I'm here. [Chorus]. That's why I ain't got no, (""rap name""). The name's (""Obie Trice""). (""They see me on the streets they be like 'Yo he nice!'""). So I came to the game (""real name, no gimmicks""). Rap my living... that's why I ain't got no, (""Rap Name""). The name's (""Obie Trice""). (""They see me on the streets they be like 'Yo he nice!'""). So I came to the game (""real name, no gimmicks""). Rap my living - that's why I ain't got no. [Obie Trice]. It didn't take much - one hot single (BAM!!). Smiles and handshakes my man. The industry greeted me with open arms. With no type of flak cuz O. Trice got that. Fugaze y'all rap, who gave y'all dat?. New wave of mu-zack that your all lovin. Got your broads on my balls huggin. Even my next-of-kin's famous (Obie's your cousin?!). Please believe it, I'm as ""Down to Earth"" as Chris Rock. gettin hit by trucks, starin at twat. A big cannon in ya G-spot. Me not arrogant girl, me keep them freaks hot. Whether or not you believe my status. I'm prepared to be the baddest on the rap that's happenin. Put the Mitten back on the map with Mathers and win this. [Chorus]. [Obie Trice]. Well I'm drunk right now, but still I got a gun. Beef? (*cocked and two shots*) best-a run. Cuz when I pop, people's flesh get numb. And whoa.. ya might not make it till ya young. The only one with okay's wanna blaze. Meet my little friends on racks in my den. Pull 'em out, that's when the action begins. And ya block, remind you of Mad Max the film. Deserted, that's word to vacant homes. 2002 Trice up in ya headphones. (*vocal scratch* - If it's ya system). Trice up in ya bows. (*vocal scratch* - If it's ya women). Then Trice up in ya hoes!. I suppose that I am kinda cocky, when it's dealin. with raps, chicks, and cats out to sock me. I handle it like Rocky, Jake Sneed. Rakim, Eric B. - O's a G!. [Chorus]. {*scratching*}. ""rap name"" ... ""rap name"" ... ""Obie Trice"". ""You can get stomped by Obie..."" <--- Eminem."
go to sleep (feat eminem & dmx),"[Eminem]. I ain't gonna eat, I ain't gonna sleep. Ain't gonna breath till I see what I wanna see. And what I wanna see is you go to sleep in the dirt. Permanently you just being hurt. This ain't gonna work for me, it just wouldn't be. sufficient enough 'cause we are just gonna be enemies. As long as we breathe I don't ever see either of us. coming to terms where we can agree. There ain't gonna be no reason in speaking with me. You speak on my si then me no speaka ingles. So we gonna beef and keep on beefin' unless. you're gonna agree to meet with me in the flesh. and settle this face to face and you're gonna see. a demon unleashed in me that you've never seen. and you're gonna see this gangsta pee on himself. I see you D-12 and thanks but me need no help. me do this one all by my lonely. I don't need fifteen of my homies. When I see you I'm seein' you, me and you only. We never met but best believe you gon' know me. When I'm this close to see you exposed as phony. Come on bitch show me. pick me up, throw me. lift me up, hold me. just like ya told me. You was gonna do. that's what I thought you're pitiful. I'm rid of you, all you. Ja you'll get it too. {CHORUS}. Now go to sleep bitch!. Die motherfucker die!. Uh, time's up bitch close your eyes!. And go to sleep bitch! (What!). Why are you still alive?!. How many times I gotta say close your eyes?!. And go to sleep bitch! (What!). Die motherfucker die!. Bye bye, motherfucker, bye bye!. Go to sleep bitch! (What!). Why are you still alive, why?!. Die motherfucker, HA HA HA!!. Go to sleep bitch!. [Obie Trice]. We got you niggas... nervous on purpose. to hurt your focus, you's not emcees you's worthless. You's not them G's, you's a circus. You's no appeal, please use curtains. You use words cool hurried slurred in two thousand third. You's purpin' you's no threat, whose ya servin'. When lyrically ought to bury you beneath the dirt. When you fuck wit' a label over seein' the earth. Shady motherfucker O. Trice's birth. and as I mold I become more cursed. So we can put down the verse take it to the turf. Cock and squeeze and he who reach the hearse. is he who dipects fiction in his verse. And as I breath and you be deceased. The world believe you deceive just to speak. You's not the streets, you's the desk. You's not your chest nigga, use a vest. Before two shoes you rest. You chose death. Six feet deep nigga that's the depth. {Chorus}. [DMX]. Big Dog, I'ma walk like a fish (yeah). Talk like the streets (yeah). I'ma stay place in New York with the heat (yeah). Stalk on the beat (yeah). Walk wit' my feet (uh). Understand my pain the rain ain't sleet (What!). Peep how I'm movin' (uh huh). Peep where I'm goin' (uh huh). Shit don't steep and sleep not knowin' (whoo). But I'ma keep growin' gettin' larger than life. Easy goin' but the same one that started the fight. He be knowin' how dawg get when dawg 'gon bite (uh). Got to show him the dawg shit the dawg fo' life (uh). Grand champ in my bloodline is tight (What!). 'Cause it's all good (yeah) and it's all right (come on). Niggas try to holla but couldn't holla BACK. Now they gotta swallow everything in the SAC. Blood line and we can go track for track. Damn dawg why you had to do them niggas like that. {Chorus}. [Eminem]. All of you motherfuckers, take that (uh). Here take this too bitch, (Uh! Uh! Uh! Uh! Ahhhhha). We're killin' all you motherfuckers dead, all of you. Fake ass gangstas. No more press, no more press. Rot motherfuckers rot! (Uh huh). Decay, in the dirt bitch, in the motherfuckin' dirt. Die nameless bitch!. Die nameless, no more fame (ahhhhhhhhhhh). Ha ha ha. Yo X, come on man (whoooo). Obie, let's go. Haha"
hailie's revenge,"[Intro] (2Pac). Get on yo knees nigga, get on yo knees and pray. [radio tuning in]. (Ja Rule). Em, you claim ya mother's a crackhead and kim is a known slut so what's Hailie gon' be when she grows up?. (Em & Hailie). [E] AH-HA! Yeah! C'mon!. G-g-g-g G-Unit! Hailie. [H] What?. [E] Come here baby, bring daddy his Oscar. [H] Okay. [E] We're gonna shove it up Ja Rule's ass!. [H - laughs]. [Vesre 1] (Swift). I'm about to get rid of some hoes, it's simple. I'm quick to murder ink with lead and talkin' bout a pencil. Lookit what the fuck you done got into. I see you found yo niche, you just a bitch wit a menstrol. Claimin' you a murderer and you spelled it wrong. You put 'e' before the 'd' cuz that's all you on. You on Pac's dick, you a regular guy. If Pac was still alive you would never get by. All you do is cry, bitch keep it real. Life is more than imitating niggaz and eatin' pills. And kind of muthafucka ruins three deals. That another nigga got you, they didn't see skills. And I ain't playin', you a brother gettin' cheated. And Ja Rule be prayin' on his cover cuz he need it. And all you niggaz hatin', shut you mouths. It's just that real niggaz ain't buyin' that shit y'all put out. [Obie Trice]. Do-ra-mi, but we don't sing muhfuckas'. So Murder Inc. do ya thing muhfuckas'. You've unleashed on a team who expects nothin' less. Than R&B comin' from that regime. Regime... It's a little extreme. Neck and necks with soldiers, muhfuckin' Marines. Ja sold his soul to sing. We've eye-witness team on the tv screen, chase the greed. Now that you've embraced the green. Don't fuck with the triple beams. You's a muthafuckin actor slash Pac impersonatin' rapper. Slash Billie Holliday how it happen?. Artist for Repetuar saw him in action. Pac assassination Def Jam grabbed him. Told him reinact him, you go platinum. They seen it for sure, I know that Afina Shakur. Don't enjoy Jeffery Atkins reinactin' her boy. So I'm click-clackin' this toy. Bash and destroy, Shady. Aftermath and Detroit muthafuckas. [Chorus](Eminem). Do-ra-me, fa-so-la-ti-da. Don't blame me cuz your washed up lost ya spot. Mama-say-mama-sa-ma-macosa. Ja quit playin' knock it off you're not 2Pac. Don't make me, too hot and you're not. Shootin' at me, with the only shot you got. Ja quit playin' knock it off you're not 2Pac. You'll get popped poppin' all that shit you pop. [Verse 2](Kuniva). Now we can get past the mean mugs and get to the slugs. To the greivance and the cryin' and the intimate hugs. We don't take you serious nigga you shook you half of a half-way crook, get off X dick, go sing a hook nigga. And you can't replace the late greal one. And when you gone you only gon' be the late fake one. Nigga please, stick to the script. before the guns stick to the clip, and Benzino you ain't shit but a bitch. Fuckin' old ass ignorant innocent lookin' senior citizen. Built up, slap you like Grimace, all sensitive. Wait a minute, hold on. Is it me or do he look like a banana with braids and clothes on?. A bitch made man, now how you gonna connect with them short ass arms like a tyrannasaurus rex?. You niggaz can scream holler and curse. Go ahead and respond and pull that pen and pad up outta ya purse. (Proof). Slim didn't send Proof to get at the wankstas. He told me to let loose and spit at the gangstas. What up Gotti and this little war you pushed on. Put your ear to the ground for stucky and bush stones. What's wrong? Didn't think we strong with real niggaz?. Roll like a boss in the streets they still feel us. It's real business you ain't caught the concept. You talkin' nonsense to walk and find press. Contact was blown by Munsetta in The Source. Threaten at the boss you gon' see me on ya porch. Now Irv got the nerve to try to serve on us. But Detroit niggaz ?? and ain't scurred to bust. (Kon Artis). Word to my nigga Bugs, punks like you get beat up. Stomped unconcious and smacked with the heater. This rap cookie monster gets jabbed in the tonsils with dicks so much that he should be fixed with a vagina. Who's behind ya? Cadillic Pac or that transvestite who dress like a Lil Kim fox, her chest like a little windbox. press tight on the trigger of this glock. Swallow that little shit you got left to help you eat. You knock Pac's songs without love to help you sleep. You got shot in your video tryin mock Pac. You 'Mockaveli', get your own identity. [Chorus]. [Eminem overdubs chorus]. Yeah!. Don't you never say my little girl's name in a song again!. Fuckin' punk pussy little bitch!. I'll fuck you up boy!. Never! Never in your muthafuckin life!. I'll beat the shit outchu little muthafuckin midget!. Hailie will whip your muthafuckin ass!. [Obie Trice speaking]. That's right muthafuckas. Shady records, whatchu know about it?. Fuck Benzino, fuck Ja Rule. Nigga, this Obie Triceright here talkin to you muthafuckas. Ja Rule punk ass... Yea!. Fuckin Soul For Real ass.... Nigga that's Soul For Real,. That the nigga from Soul For Real!. Candy Rain ass nigga.... He got a deal now he rappin'. You'ont know what's... faggot ass muhfuckas. Get money to all my real niggas, man. Obie Trice, D12, G Unit, 50 Cent.... Hailie Jade!!!. [Obie Trice(laughing)]. [Hailie]. Daddy is Ja Rule taller than me?. [Eminem]. No honey, you guys are the same size..."
snitch,"Snitch. Obie Trice feat Akon. [Akon]. Convict convict. [Eminen]. YEAHH(YEAHH). HAHA(HAHA). SHADY(SHADY). [Akon]. Convict music. [Eminem]. GUESS WHO'S BACK. [Obie Trice]. Still here haters. [Akon]. Akon and Obie ...*Trice*. Yeaah. [Obie Trice]. Watchu gonna do with it A?. Watchu gonna do?. [Akon]. Take 'em on back to the streets. [Chorus: Akon]. I Keep the 40 cal on my side. Steppin with the mindstate of a mobster. You see a nigga pass by. Tuck your chain in cause he might rob ya. Got glocks for sale, red tops for sale. Anything that you need believe me I'm gon' lace you. Just don't, whatever you do, snitch. Cause you will get hit, pray, I don't face you, Yeah. [Verse 1: Obie Trice]. It's risky, the bitch tenderize outta nigga. His history's snitch, who decided he's a member?. Once he got pitched, coincided with law. Same homie say he lay it down for the bar. Brought gang squad aroud Oz. How could it be?. Been homies since superman draws. Only phoniness never came to par. He had us, a true neighborhood actor. Had His back with K's, now we see through him like x-rays. Cuffed in that Adam car, no matter his loss. We at 'em, it's war. Knowin not to cross those reservoir dogs. You help to plant seeds, just to be a vegetable?. When invest in team, its to death for sho'. No X and O's, you tex calicodes. Aim at your chest nigga. [Chorus: Akon]. I Keep the 40 cal on my side. Steppin with the mindstate of a mobster. You see a nigga pass by. Tuck your chain in cause he might rob ya. Got glocks for sale, red tops for sale. Anything that you need believe me I'm gon' lace you. Just don't, whatever you do, snitch. Cause you will get hit, pray, I don't face you, Yeah. [Verse 2: Obie Trice]. We started out as a crew, in one speak, it's all honest. Private conferences when we eat benihana's. Recondences when we peep enemies on us. Enemies on us, been in these corners. Sellin' like anything on us. Knowing heaven'll shun us being devil's miners. But that ain't got shit to do with the tea in China. We gon' keep the grind up till death can find us. Mean time, leanin in them European whips reclined up. It's eye for an eye the riders. We ain't trying to get locked up, we soul survivors. Po Po's is cowards, it's no you, it's ours. We vow this, mixing yayo with soda powder. Who woulda known he would fold and cower. Once the captain showed, he sold whole Mc Donalds. So it's no X and O's, tex calicodes. Aim at your chest nigga. [Chorus: Akon]. I Keep the 40 cal on my side. Steppin with the mindstate of a mobster. You see a nigga pass by. Tuck your chain in cause he might rob ya. Got glocks for sale, red tops for sale. Anything that you need believe me I'm gon' lace you. Just don't, whatever you do, snitch. Cause you will get hit, pray, I don't face you, Yeah. [Verse 3: Obie Trice]. Nowadays, Sammy the Bull's, got the games full. So he moved to a rural area to keep coll. They snitchin on the snitch now, it's nothing to tell. Now a days your circle should be small as hell. Ain't tryin to meet new faces, this don't interest me. Even if we bubble slow, we get it eventually. No penitentiary, there'll be no clemency. You will meet the lord snitchin, given us a centuary. These cats is rats now, the streets need decon. Thats how they react now, weak, When the heat's on them. Stop snitchen, you asked for the life you live in. It's act is not permited, no where on the map. It is forbidden to send a nigga to prison. If you've been in it along with 'em. And then snitchen become hidden. So it's no X and O's, tex calicodes. Aim at your chest nigga. [Chorus: Akon]. I Keep the 40 cal on my side. Steppin with the mindstate of a mobster. You see a nigga pass by. Tuck your chain in cause he might rob ya. Got glocks for sale, red tops for sale. Anything that you need believe me I'm gon' lace you. Just don't, whatever you do, snitch. Cause you will get hit, pray, I don't face you, Yeah. [Obie Trice]. You rat bastard! (bastard). Corrigida por: Josh"
hoodrats,"[Skit]. [Woman #1:] I know that ain't my homie over there. [Obie:] Keep sendin pages to the motherfucker. [Woman w/ Obie:] Well. [Woman #1:] Obie!. [Woman w/ Obie:] Is somebody calling you?. [Obie:] Nah, nah. [Woman #1:] Obie! One ball. [Obie:] All I'm sayin is I don't even know the situation .. [Woman w/ Obie:] You know her?. [Obie:] No, uh uh, I don't know that bitch. [Woman #1:] Obie don't act like you can't see me. [Woman w/ Obie:] Well she's calling your name. [Woman #1:] Turn around and look at me. [Obie:] Oh shit, Candice this is Sheneneh. [Woman #1:] Who is this bitch?. [smack, crashing noises]. [Obie:] What the fuck! Security! Security!. [Woman #1:] Let me go!. [Security:] Come on ma'am. [Woman #1:] Tanisha get my purse. [Obie:] Get her outta here. [Woman #1:] Get my purse!. [Obie:] Get her the fuck outta here!. [Security:] Yo, get to her man, need some help with this bitch. [Obie:] Get that bitch outta here man. [Woman #1:] Obie! Obie! You know I'm having your babies. [Woman #1:] They twins, one look just like you, let me go!. [Woman #1:] And one of them look like your brother, ok let me go!. [Verse 1]. My hoodrat's fatal, they not stable. I could be at a dinner table. with 'Union Gabrielle', fine as hell, pierce in the naval. Look at my rat like she act brand new. ""Hey boo, how are you?"". Yeah, cool, now tally-o your ass back across the room. You see me with Pocahontas. I ain't tryin to be honorary but honestly I ain't tryin be bothered. You got a brain, define honors in college. You'd rather define how your knowledge in chronic. I'm tryin step my game up a notch bitch. Your aim the cock block on my plot bitch. She hot and your not, so stop bitch. Quit blowin up my motherfuckin spot, shit. [Chorus]. How could you be here? Why don't you leave here. I ain't tryin to see you everytime at my show. I got a piece here, you ain't gotta speak there. You know how we get down on the low. Your playin me cheap here. Tonight I don't drink beer. I got a bottle, so it's time for you to go. You's the freak here, you don't know me here. She's a model, you my late night ho. [Verse 2]. They chase me (Obie, Obie), when they see me in the club. With a lot alike Stacey Dash, they gettin mad. Then they wanna brag and say ""already had 'em. He ain't shit cause he rap for Mr. Mathers (girl). Plus 50 Cent's like ten times badder (girl). D-12 shouldn't of had him on they album"" (girl). That's what I get just for stabbin them hoes. They nag, when I pose with a chick with nice toes. Ya'll knew O before for new hoes, but since it's a new ho. Just act like you never knew O, boo. We still crew, we just the same (uh huh). Just not tonight, you don't know my name (you don't know me). [Chorus]. [Verse 3]. Hey yo fellas, never get timid when the chicken is interferin. When your chillin with a chick, who a ten (damn). Let her know the situation at hand (uh huh). And tell the bitch go play with her friends (BITCH). This is for the model that your chillin with, hoodrats is often awful. My advice keep your mouth on muffle. Feistiness give 'em the right to snuff you, and you too pretty to scuffle. This is for the rats, go on with that (go on). Quit actin like you smokin that crack. Cause he pokin that chick, you ain't ownin on shit. Ain't no rings on that finger. And every nigga in the hood ain't triple teamed her. [Chorus]. [Obie Trice - talking]. That's right, ha, you see me at the club. with a, with a look-alike Halle motherfucker. Look alike, look a, look alike Alicia Keys. Haha, you don't know me. Don't say shit, you know who I'm talking to. All my hoodrat bitches. Neneh, Aqua and Trip Entanetta. Haha, all ya'll."
1x1,"[Verse 1 - J-Hill]. (One by one) Rule one up in this bitch for real. Roll wit a couple niggaz, like Dave Seville. Cause niggaz-a, clean you out, like a golden seal. Put ya hands up, gimme ya scrill, what. [Obie Trice]. (Two by two) Ya bucket is clean, you ride mean. Pull up at the light on them gees (Proof: Gimme that!). Them crab niggaz, wanna jingle ya keys. What chu bout to do, bleed (3-1-3). [Proof]. Y'all don't run the streets, the streets run you. But a gun to ya kids, art of war, sun sue. In the jungle, stay humble, stumble and fumble. Til death inside'll rumble (Four by four). [J-Hill]. Rule four, better get this down. Before niggaz go beef, better have that four pound. And bust like four rounds, kick the door down. Get yo ass up outta town, dog (Five by five). [Obie Trice]. Niggaz conive, I thought you know it. Ya main man setting up, nigga ya blew it. Told him what you doing, baby, ya ruined. You ain't knowing (6-6-6). [Proof]. The Devil's ya man, the ghetto's ya land. When you got not, to blot, turned yellow and ran. When you got sugar, why settle for sand. Never snitch when you clip, and put yo medal's in cans. [J-Hill]. (Seven by seven) Rule seven, cattle where my heart at. You want beef in the street, don't start that. Cause we will have some niggaz, up in yo apartment. Jumping outta places, where it's real dark at. [Obie Trice]. (Eight by eight) Ya carrying weight, hey, but wait. A lot of hungry niggaz, know where you stay. Address ya address, change ya place. Before ya spray nigga (Nine by nine). [Proof]. I learned a lot from the stank, if you got bank. Fuck buying gats bitch, get a tank. Fuck a fire arm, get a wire bomb. Cause when you blow yourself up, at least you dying warm {*explosion*}. [Chorus]. [Proof] Ten reasons, nine glocks, eight shots. [Proof] Seven cops, six drop on five blocks (JH: Fo' sho'). [Proof] Three cousins, two hot, one law, family. [Proof] We putting no man befo', ten jewels, now tell 'em. [J-Hill] It's one purpose, one goal, two halves. [J-Hill] Get it hold, three niggaz, one soul (Proof: Fo' sho'). [J-Hill] Five ways, six days, seven plus. [J-Hill] AK we could let the nine spray (Proof: Ten jewels). [Verse 2 - Proof]. (Nine by nine) Oh I'm not real, cause I pop pills. Bring ya BLOCK, to my BLOCK, nigga get ya whole block killed. Don't let the purple pill, shit confuse you. When outta my head, a life'll lose you nigga. [Obie Trice]. (Eight by eight) You lay at ya weight, you was played. Slug struck ya Escalade, ya brain. Rest on what Motor City paved. No more sunny days (Seven by seven). [J-Hill]. Rule seven, somethin you better tell 'em. Good coke, good weed, y'all better sell 'em. Cause they'll put something, up in ya cerebellum. Proof you better tell 'em (Six by six). [Proof]. Assume it's only for conversations. Let's conversate, super the nigga the .38 and. Dip, mono set trip, empty out the clip. Hold up! a .38 ain't got clips (Five by five). [Obie Trice]. Niggaz be live, before they die. Until they test the wrong animal, then they spirit fly. Just know the game, why you playing the tough guy. That's yo life (Four by four). [J-Hill]. For all you niggaz, think this rap shit's a joke. You get smacked and choked, bring the dagger and cloke. I put my fucking heart into this shit that I wrote. You motherfuckers on some dope (Three by three). [Proof]. Watch who near you, fuckers on ya rearview. Outta life, yo the trife wanna clear you. Don't get caught on E, and fought on streets. Be a victim of ""Grand Theft Auto 3"" (Two by two). [Obie Trice]. Trust no one, when ya getting 'em. Put ya life in perspective, ya killing 'em. Envious niggaz, stay jealousy driven. Niggaz need to be listening (One by one). [J-Hill]. It's one reason, why I still let you breath. It's one reason, why the fucking Tech won't squeeze. It's one reason, why you ain't +Gone+ like +N'Sync+. That's cause it's, one other nigga that'll do it for me. [Chorus]"
24's,"[1st verse]. What you got? what you want? what you like? what you need?. Who you with? I don't give a shit, you come leave here with me. What's my name? You know that, what's yours? Never mind. Girl get ya behind in my ride and let's glide on 24's. I'm up in the club with a bottle of bub. Got a model and I double up, and you know it's like that. They wanna give a nigga the goods, wanna give the goodies up. And make for a night cap, tell me what excite that. With that nice ass, make a nigga say ""gon' girl"". Make a nigga wanna put you on chrome, take a bitch home. Get it on toes curl, why don't come and hop in O's world. Got the old school parked in the back where the gats at. Where the yack's at, access, got 'em on the way to the mattress. Pass that, toting hey in the vehicle, two broads with no bras. No draw's, no flaws, nope no law, I dips out in the car like what?. [Chorus]. Got a gang of bitches, getting them riches, sitting on 24's. Living that life those, that chrome always rolling different from yours. Slow ya role, you know them po po love to get a nigga in a Chevrolet fo' do'. But I get so low, so low low, so low on them ho's. [2nd verse]. Dipping through the hood on them thangs with a full tank. Gotta pull rank, with my hand on that 45, fuck what a fool think. Try to take a nigga life when the night come, I'mma light some up like a flare gun. Nine millimeter bare bellum, holding a melon, nigga at the right one. Now a niggaz on the right hunt, got a nice type honey and we into seeing ice and. Bitches wanna get the right come, Trice is the type that lay pipe like python. Parrallel to a pipe line, carousel kinda clockwise, switch 'em in and outta my ride. Get you for them inches I got, hop in the 350 block, let's roll. [Chorus]. [3rd verse]. Hop in the tre-nickle-o-six-four, AC blow, you be nice and cold. Ice on my neck like zero below, she zero in on O, nigga froze a ho. Pedal to the medal, we off to the mo', bitch get sentimental, fuck the ho. Got an issue, he ain't gon' miss you, gotta shit slew of bitches, wishing to fit ya shoes. Ridiculous how I give 'em exit wounds, disrespect, singing an O sex tune. That's a bet, better yet, Dev is next, get her in the bed and her head is Pez. Best believe that I'm wearing the dress, panties wet, got her in the fanny yep. Fuck it at the rest stop, getting head in the candy Lac on camera. parked in a motherfuckin handicap. [Chorus 2X]"
adrenaline rush,"Obie Trice - Adrenaline Rush. by Obie Trice. Get the fuck up, motherfucker. Hey yo, when i step up on the bar. everybody hits the fuckin floor. lucky motherfuckers make it to the door. cause when i spit on the mics, i spit raw. which cause confusion, from the bar to the dance floor. i keep the club on the vex. cause he got a penny when i spit and replace a lot of shit. niggas get the wildin. when my words, echo the room like ""Get yo hand outta my pocket"". you sock shit, when my topics rockin. im banned from clubs cause of my toxic tonsils. loud, speakin like a fuckin sports announcer. i spit the blah hah, till you rush the bouncer. or rush the motherfucker in your way whos bouncin. you know obie trice, keeps those gats pronouncin. [Chorus]. Get live motherfucka, when i speak motherfucka. out ya seat mothafucka, out my reach mothafucka. shady records till i sleep mothafucka. obie trice, nothin but street mothafucka. tear this bitch up, until you bleed mothafucka. i wouldnt give a fuck who you be mothafucka. punk, pussy, bitch or g mothafucka. adrenaline rush before you leave mothafucka. when i speak, i blow out ya tweeters, im dark. show out in speakers, roll out with heaters. im just an animal, eatin the game. jungle monkey, fuck yah obies the name. i roll solo, never been a holdo. keep gats fo fo, when cats act loco. where you at when im movin a crowd. you get trampled, mashed on, detroit style. up out ya seats, pump out the ease. off the beats, the crowd obie please. where my niggas at smokin them trees. off the cogniac, finger fuckin a sleeze. thats how it is when you party with me. you dont like it, you l seven like a square beat. [Chorus]. Ever since i came, i rearranged the place with blaze. stage dive with coke ceivers, dna. im so addicted to gettin niggas lifted. drunk off of liquid. obie trice, the misfit. doucin the crowd with piss and brows. we underground mothafucka, fix your frowns. i be the boy with the whiskey tour. off of wiskey, youve never been this deep before. so, throw up ya hands and peep out yo mans. when i come through, next quarter. trice that the fiends use. and trust, im attackin it. i cook up the hot shit like ainslee havin it. thats why im so miraculous. and obie gets you niggas pumped up. i see you next collisiem chump. thats right, you come to obie trice fucked up. of ease, drunk, weed. [Chorus]"
after party (feat. nate dogg),"[Nate Dogg]. All of my Life (got this lady on my mind). All of my days (wanna hit it all the time). ?? (I was down and locked away). ?? (wanna hit it every day). [Obie Trice (Verse 1)]. You know a nigga wanna touch your body. We can keep in touch having after parties. You know you wanna fuck cause you’re acting naughty. You see us in the mattress probably. Wanna be involved cause the entourage I’m indulged in. You say you love my dirty drawers your all in. Wanna sleep with the star, be baby moms, eat lobster. See where you’re coming from. Cause hey that nigga got dick for days. There aint too many niggas blessing O’s ways I guess. I just get better with old age cause in my ?? made me say “MAYDAY”. Anyway, today I’m a different human being. I crush em make em scream. Its nothing aint a thang. Fronting like the dick aint off the chain. Slicing nigga’s ??. [Nate Dogg (Chorus)]. At the after party we can get naughty watching your body get this shit started. Coke and Bacardi pimp juice and gin and I’m off and ready to roll. At the after party it’s a private party what happens at the party stays at the party. Girl roll that body, back up that body into my body (girl lets go). [Obie Trice (Verse 2)]. You know I’m somewhere where I can ease my mind be. On some island Don Ps beside me. No paparazzi eying that hiney. But I am right behind she. Wanna bump n grind, crying, say im all up in that side. Bringing down the menstruation cycle. Girl I lay pipe to the right, pipe to the left, pipe all night, a pipe dream right. O Trice advise your type. If it aint him it’s a nigga in my click you like. If the miss’s insist on the dick tonight. We throw assists like Scott, Pip and Mike. You blow a kiss on my tip you just might. Get a whiff of the kid up in your windpipe. Now see that insight, it excites, cause she’s undressing for that sex, right. [Nate Dogg (Chorus)]. [Obie Trice (Verse 3)]. Take time off my hectic schedule. Just to give you the pleasure you request for. When I hit your spine that’s how you measure O. Tell your girlfriends you aint had it like this before. Now your girlfriends all up in the midst of O. Wanna be mistress, all cause a few extra inches. Blew back your interest, you lack experience, new jack my crew ran through that for instance. We can fuck from dust to dawn. No discussion who’s nuts your own. Shes in such of a rush to cum. Wanna choke on the dong, like it’s a bong. And what is it doing, your making a moan. You make her wanna leave that muthafucka she got back home. All Os knowing is he keeps hoes going, enjoying O Trice’s groin. [Nate Dogg (Chorus)]"
all of my life (feat. nate dogg),"[Nate Dogg]. All of my Life (got this lady on my mind). All of my days (wanna hit it all the time). ?? (I was down and locked away). ?? (wanna hit it every day). [Obie Trice (Verse 1)]. You know a nigga wanna touch your body. We can keep in touch having after parties. You know you wanna fuck cause you’re acting naughty. You see us in the mattress probably. Wanna be involved cause the entourage I’m indulged in. You say you love my dirty drawers your all in. Wanna sleep with the star, be baby moms, eat lobster. See where you’re coming from. Cause hey that nigga got dick for days. There aint too many niggas blessing O’s ways I guess. I just get better with old age cause in my ?? made me say “MAYDAY”. Anyway, today I’m a different human being. I crush em make em scream. Its nothing aint a thang. Fronting like the dick aint off the chain. Slicing nigga’s ??. [Nate Dogg (Chorus)]. At the after party we can get naughty watching your body get this shit started. Coke and Bacardi pimp juice and gin and I’m off and ready to roll. At the after party it’s a private party what happens at the party stays at the party. Girl roll that body, back up that body into my body (girl lets go). [Obie Trice (Verse 2)]. You know I’m somewhere where I can ease my mind be. On some island Don Ps beside me. No paparazzi eying that hiney. But I am right behind she. Wanna bump n grind, crying, say im all up in that side. Bringing down the menstruation cycle. Girl I lay pipe to the right, pipe to the left, pipe all night, a pipe dream right. O Trice advise your type. If it aint him it’s a nigga in my click you like. If the miss’s insist on the dick tonight. We throw assists like Scott, Pip and Mike. You blow a kiss on my tip you just might. Get a whiff of the kid up in your windpipe. Now see that insight, it excites, cause she’s undressing for that sex, right. [Nate Dogg (Chorus)]. [Obie Trice (Verse 3)]. Take time off my hectic schedule. Just to give you the pleasure you request for. When I hit your spine that’s how you measure O. Tell your girlfriends you aint had it like this before. Now your girlfriends all up in the midst of O. Wanna be mistress, all cause a few extra inches. Blew back your interest, you lack experience, new jack my crew ran through that for instance. We can fuck from dust to dawn. No discussion who’s nuts your own. Shes in such of a rush to cum. Wanna choke on the dong, like it’s a bong. And what is it doing, your making a moan. You make her wanna leave that muthafucka she got back home. All Os knowing is he keeps hoes going, enjoying O Trice’s groin. [Nate Dogg (Chorus)]"
