"post to be (feat. chris brown, jhené aiko)","Omarion, Breezy, and yo chick, yo chick. Mustard on the beat, ho. [Omarion]. If your chick come close to me. She ain't going home when she post to be. I'm getting money like I'm post to be. I'm getting money like I'm post to be. Ooh, all my niggas close to me. And all them other niggas where they post to be. Ooh, the hoes go for me. Have your chick send a pic like pose for me. Ooh, that's how it post to be. Yeah, that's how it post to be. Ooh, yeah, that's how it post to be. Everything good like it post to be. Pull up to the club and it go up. Make your girl fall in love when I show up. It's not my fault she want to know me. She told me you was just a homie. She came down like she knew me. Gave it up like a groupie. And that's facts, no printer. Cold nigga turn the summer to the winter. She saved me in her phone as ""Bestie"". But I had her screaming ""Oh"". Yo girl wasn't supposed to text me. You want to know how I know what I know?. If your chick come close to me. She ain't going home when she post to be. I'm getting money like I'm post to be. I'm getting money like I'm post to be. Ooh, all my niggas close to me. And all them other niggas where they post to be. Ooh, the hoes go for me. Have your chick send a pic like pose for me. Ooh, that's how it post to be. Ooh, yeah, that's how it post to be. Ooh, yeah, that's how it post to be. Everything good like it post to be. [Chris Brown]. Got your girl in my section finna go up. A nigga smoking loud, I'm about to roll up. She ain't never got high like this with a guy like this. When she pop tell her hol' up. Better believe she gon' leave. With a real nigga. I dick her down can't put it down like I do. I get to bussing no discussing, gotta deal with it. Team us, we ain't worried about you. Murder she wrote, yeah yeah. When I hit it, I'mma kill it, I'mma get it like. Murder she wrote. You want to know how I know what I know?. [Jhené Aiko]. If your dude come close to me. He gon' want to ride off in a ghost with me. I'll make him do it. I might let your boy chauffeur me. But he gotta eat the booty like groceries. But he gotta get rid of these hoes from me. I might have that nigga sailing his soul for me. Ooh, that's how it post to be. If he wants me to expose the freak. Ooh, that's how it post to be. Ooh, that's how it post to be. Ooh, that's how it post to be. Everything good like it post to be. [Omarion & Chris Brown]. If your chick come close to me. She ain't going home when she post to be. I'm getting money like I'm post to be. I'm getting money like I'm post to be. Ooh, all my niggas close to me. And all them other niggas where they post to be. Ooh, the hoes go for me. Have your chick send a pic like pose for me. Ooh, that's how it post to be. Yeah, that's how it post to be. Ooh, yeah, that's how it post to be. Everything good like it post to be. [Chris Brown & Omarion]. She 'bout to ride with me. And I don't even know her name. But I know that she your girl yeah. She chose up, are you mad or nah?. Bruh don't be mad about it, these chicks be for everybody. Omarion, C. Breezy. I'll make him do it, I'll make him do it"
ice box,"Fussin' and fightin', we back at it again. I know that, its my fault, but you don't understand (no). I got memories, this is crazy. You ain't nothing like the girl I used to know. Good with ma, good with pa, cool with all my niggas (niggas). I should try, truth is I wanna let you in, but no. Damn these memories, and it's crazy. You ain't nothing like the girl I used to know. [Bridge]. Girl I really wanna work this out, cause I'm tired of fightin'. And I really hope you still want me the way I want you. I said I really wanna work this out, damn girl I'm tryin'. Its no excuse, no excuse. But I got this. [Chorus 2x]. I got this icebox where my heart used to be (but I got this). I got this icebox where my heart used to be (said I got this). I'm so cold, I'm so cold, I'm so cold, I'm so cold. I'm so cold, I'm so cold, I'm so cold. Why can't I get it right, just can't let it go. I opened up, she let me down, I wont feel that no more. I got memories, this is crazy. She ain't nothing like the girl I used to know. I don't mean to take it out on you baby but I can't help it. Cause my heart is in the same ol' condition that baby left it. And I, I apologize, for makin' you cry. Look me in my eye and promise you won't do me the same. [Bridge]. Girl I really wanna work this out, cause I'm tired of fightin'. And I really hope you still want me the way I want you. I said I really wanna work this out, damn girl I'm tryin'. Its no excuse, no excuse. But I got this. [Chorus 2x]. I got this icebox where my heart used to be (but I got this). I got this icebox where my heart used to be (said I got this). I'm so cold, I'm so cold, I'm so cold, I'm so cold. I'm so cold, I'm so cold, I'm so cold. I don't wanna be stuck up in this cold cold world. Don't wanna mess this up better keep your eye on me girl [3x]. [Bridge]. Girl I really wanna work this out, cause I'm tired of fightin'. And I really hope you still want me the way I want you. I said I really wanna work this out, damn girl I'm tryin'. Its no excuse, no excuse. But I got this. [Chorus 2x]. I got this icebox where my heart used to be (but I got this). I got this icebox where my heart used to be (said I got this). I'm so cold, I'm so cold, I'm so cold, I'm so cold. I'm so cold, I'm so cold, I'm so cold. Girl I really wanna work this out cause i'm tired of fightin"
nudes,"Yo, it's lit. Yo, send us some nudes. Send me those. Send me those nudes. Send me those. Send me those. Send me those nudes. Send me those. Send me those nudes. Send me those. Send me those. Hold up, skrr, skrr, skrr, skrr. Just got a Instagram alert. What time you getting off of work?. (skrr, skrr, skrr, skrr). Cuz I'm tryna get your ass to squirt. (squirt, squirt, squirt). I'm about to set shit up (really?). I'm about to make you take it off (really?). Pull up in the right wider. Baby girl you know I got the sauce. Send me those, send me those. Hold up Squirt, squirt, squirt. Seven grams of the purp (purple, purple, purple, purple, purple, purple). I'm tryna see it in reverse. Yeah, you know you get to come first. But it's your day. Till we got the lights on and off, on and off. Booty bouncing on it up and down, down and up. About to see if I can slip it in. Slap that ass. Slap, slap Imma put it in. Imma about to set shit up (really?). Imma about to make you take it off (really?). Pull up in the right wider. Baby girl you know I got the sauce. Send me those. Send me those nudes. Send me those. Send me those. Send me those nudes. Send me those. Send me those nudes. Send me those. Send me those. It's your day, do it your way. It's your day, do it your way. It's your day, do it your way"
girlfriend,"[Talking: Bow Wow & Omarion]. [Bow Wow:] Uh. [Omarion:] So special. [Bow Wow:] LB Dub. [Omarion:] Ahhh. [Omarion:] That`s my girl, yeah. [Bow Wow:] True that. [Omarion:] That`s my girl. [Bow Wow:] That's right. [Omarion:] She with me homie. [Omarion:] Omarion yeah. [Bow Wow:] Yep! Uh. [Omarion:] And Bow Wow yeah. [Bow Wow:] Yep! Uh. [Omarion:] Yeah yeaaahhh, yeaahhh. [Bow Wow:] I'm sayin O. [Omarion:] Lemme tell you what my girlfriend looking like. [Bow Wow:] Holla at the people man. [Bow Wow:] Hey. [Verse 1: Omarion]. She be rockin' them D&G's. Her jeans be riding low. Homies breakin' they neck. Just to see how far they go down down. Shawty put it on me like a pro. They say she got my head gone (yep). She got my head gone (Shol is). I can't even lie. She put it on me (Shol is). I can't even lie. She got me homie (Shol is). I'll fight you, Try to take her from me. 'Cause she's all I got. 'Cause she's all I got. [Chorus:]. You got. Baby you got that good stuff. Good love. Put it on me. Can't get enough. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. All mine, all mine. Shawty with me all the time. Stay hot, stay fly. Keep her right by my side, (she so fine yeah,yeah). Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. [Verse 2: Bow Wow]. She got a body of a stripper man, stripper man (stripper man). She be doing her lil dance. So I tip her man (I tip her man). And man she hood wit it. So fine (uh huh). Lil mama. So fly (yeahh). Do anything for the b-o-dub. And thats why she stay right by my side. Like LL, she so bad. She likes when my True's sag. My tattoos, she like that. Anything she want, she got that. Them other broads, can fall back. They hate cuz they wanna be where you at. She number one like T-mac. What nigga gonna do you like that. [Chorus:]. You got. Baby you got that good stuff (you got that good stuff). Good love (good looove). Put it on me. Can't get enough (put it on my baaby). Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend (and please believe you gon always be my girl). Yep, that's my girlfriend. All mine, all mine (she rockin that Louie V). Shawty with me all the time. Stay hot, stay fly. Keep her right by my side, (and she so fine cant you see). Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. [Verse 3: Omarion]. Shawty got keys to my car. Keys to my crib. Always where I is. Always paying the bills (yeahh). I keep it G. Yeah shawty put me down. I spend a G every time she comes around. She's my girl but I wanna tip her, yeeah. And her body's built like a stripper, yeeah. We keep it hot up in that Range. With the feet up on the dashboard, dashboard. She'll do anything I like (yeaaahhhh, yeeahhh). [Chorus:]. You got. baby you got that good stuff. Good love. Put it on me. Can't get enough. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. All mine, all mine. Shawty with me all the time (she be with me all the time). Stay hot, stay fly. Keep her right by my side, (ohh, she's so beautiful). Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. [Bridge: Omarion]. Oh I won't give you up girl. You've got that (fire love). People might hate us. But you'll always be my girl. (Don't be mad at me). (Cause my girl is all mines, all mines) {sheee's all minnne}. That's my baby, that's my girl. And I need her in my world. She's got me going craaaaazy. (Craaaazy baaabyy). [Chorus:]. You got. baby you got that good stuff. Good love (she got that good stuff and that good looove). Put it on me. Can't get enough. Yep, that's my girlfriend (yeah yeahh yeahh yeeahh). Yep, that's my girlfriend. Yep, that's my girlfriend. Yep, that's my girlfriend. All mine, all mine. Shawty with me all the time (shawty wit me all the time). Stay hot, stay fly. Keep her right by my side, (she so fine cant you see man). Yep, that's my girlfriend. (can you hear me man). Yep, that's my girlfriend. (can you hear me man). Yep, that's my girlfriend. (cuz thats my girrlll). Yep, that's my girlfriend. Bow Wow Talks while Omarion gettin it in the background:. Yeah man, uh. thats my lil mami, you know what I'm talkin about. I fly G5, she fly G5. I stay fly, she stay fly. Simply as that. Aye man I even got the matching dog paw chain. You know what Im sayin to match my iced out dog paw chain. you know what I mean. [Omarion:]. Said that's my girlfriend (yep). You see, said that's my girlfriend (yep). [Bow Wow:] {We got another hit O}. You see, See she my girlfriend. Rockin that O chain. Yeah that's me man. [talks:] Woo. I know you can tell she with me right?. Say man, just ask her. [Bow Talks:]. You can catch me man,. Ridin with the top down in my red L430 man. She sittin right there by my side. All day you know what im talkin about. [Omarion:] Bow Wow. [Bow Wow:] (Me). [Omarion:] OMARION. Yep. And cut. [Bow Wow:] L - B - DUB gang. Ahh. T - U - G yeah"
o,"Whoa. Let me tell you girl. Whoa whoa whoa. Hey here I go(Here I go). I know you heard men saying time and time again. That they would rock your world and change your life. But I cant blame them cause you make a nigga wanna get involved. wanna get them drawers. Well Im gonna put my bid in and get at you. No disrespect but I want it as bad as they do. The only differences is they look out on themselves. But Im doing it just to hear you yell. ooooooo. It's gonna be the sound girl when its going down, Your body saying. ooooooo. Don't have to say my name girl im just glad you came, So u can say. ooooooo. In the morning. ooooooo. In the night. You say O always hitting it right. ooooooo. You cant be mad at me. Im just aiming to please. Let me hear you scream O. Girl come on over and get this thing crackin. You'll be surprised when see what O's packing. Cause im young but im ready. Tryna get hot and heavy, Turn you out if you let me(yeah yeah yeah). Girl Im gonna take you somewhere that you never been. Show you something's that I make you want to show your friends. Have you so hit that you cant even say a thing. But that's ok all you gotta say is. O is for that overtime I'm putting in. We'll go for hours take a break and go at it again. Girl I'll work my way from A all the way to Z. But trust me babygirl O is where you wanna be. Girl believe me when I tell you Im not tryna tell you what to do. Because when it's said and done, The choice aint mines it's really up to you. Just say yes, Don't fix your mouth to tell me no. Drop that bottom off on me. And just say oooooooooo. Let me hear you say O when im hitting it. Let me hear you say O when im getting it. Let me hear you say O when you come to the door. Let me hear you say O from the bed to the floor. Let me hear you say O when its all going down. Let me hear you say O when you cant make another sound. Babygirl let me hear you scream O. Babygirl let me hear you scream O"
say don't go,"Haha, yeah. (Intro). There's a couple things that I'd do. To make you lose your mind. I be all in your head, we up in your bed at the same time. You got me, you don't even know it. Prolly cause I don't even show it. Gotta keep you on your toes. That marble floor so cold. [Pre-Hook 1]. Let me touch you then let me take it. God you so erratic, you ain't even naked. Had you on the table, took you to the floor. Your body wasn't able to handle anymore. I taste your lovin, I go crazy. And I ain't never had another woman phase me. She will never know cause I keep it in control. That's why I got you comin back for more oh oh. [Pre-Hook 2]. First you get in my bed. Then you dim the lights. Then I get you, wet like sure we're doin right. Gotta put it down like a first payment. Make it sound good as you say amen. Tell you want my lead, you want me to stay in. But I ain't going nowhere. I just wanna hear you. [Hook]. Say Don't go, say don't go. Please don't go, baby don't go. There's somethin' 'bout the way when you drop down naked. When you say don't go, don't go. Uh you turn me on. Don't go!. I wanna hear you tell me don't. Want you to tell me don't go go go. (na, na, na, na, na ah. na, na, na, na, na ah. na, na, na, na, na ah). [Verse 2]. I-I-I'm not ego trippin'. That's not my mission. I just wanna put my key in your ignition. And drive you, and drive you. Don't wanna do you like them other guys do. An I'll make sure you'll get yours before I get mine. See it's more important that I get your mind. Cuz when you're cryin' for me. And you get lonely. Said I wanna be your only one you'd call. [Pre-Hook 2]. First you get in my bed. Then you dim the lights. Then I get you, wet like sure we're doin right. Gotta put it down like a first payment. Make it sound good as you say amen. Tell you want my lead, you want me to stay in. But I ain't going nowhere. I just wanna hear you. [Hook]. Say Don't go, say don't go. Please don't go, baby don't go. There's somethin' 'bout the way when you drop down naked. When you say don't go, don't go. Uh you turn me on. Don't go!. I wanna hear you tell me don't. Want you to tell me don't go go go. (na, na, na, na, na ah. na, na, na, na, na ah. na, na, na, na, na ah)"
"m.i.a. remix (feat rick ross, rockie fresh & french montana)","[Intro: Rick Ross]. Omarion. Fuck around I don't care. Done looking for love, cause she took away her. I don't care. Done looking for love, cause she took away. [Verse 1: Rick Ross]. I'm screamin fuck it I don't care. All my bad bitches gotta share. Cardier things come in pairs. Tools, minaj, make love after my massage. Hoes kept findin' my garage, ta-doe. wouldn't send flowers but I kept her on an allowance. She check the ATM, say I kept it one thousand. Wow, in the black Range Rover. her heels get scuffed in shoot outs. She my soldier. Pour one up, my sneakers Balenciaga. Pour one up, I'm drivin' the Mercialago. Pour one up, I'm smokin' that caviar. Pour one up, She lookin italiano my homies stick to the code. Never been a lame. Sixteen in the ..., she never been the same. No she's never been the same. Double M baby hottest niggas in the game. [Hook: Omarion]. M.I.A. , M.I.A.. Done looking for love, cause she took away her. MIA. Done looking for love, cause she took away her love. [Verse 2: Rockie Fresh]. Now we spendin' money like,. Like fuck it, I don't care. Go ahead and get another pair. Young nigga get it so I got enough to share. I even went and spent fifteen hundred on her hair. Before she went MIA no paper planes. Swisher twistin' when she used to roll a nigga Mary Jane. Lately I've been on her brain. She hope I don't go get infected by the fame. If she heard Electric Highway, she know I stayed the same. And recently I been trying contain the freak in me. Show her I got decensy. Need everything she need to be. But she be trippin' and these hoes be everywhere. And everytime these bitches there. Man its fuck her, fuck her I don't care. [Hook]. M.I.A. , M.I.A.. Done looking for love, cause she took away her. MIA. Done looking for love, cause she took away her love. [Verse 3: French Montana]. Shorty say she leavin' me,. I already left nigga. Go kick that bullshit to the next nigga. She must be gettin' high with DMX nigga. Don't let me bomb on your ass like Flex nigga. Hundred thou outfit gettin' dressed nigga. Mind on my money, full court press nigga. I'm in the club with your bff,. Heard about them Coke Boyz new BMF. My chicken never leave the nest. Shit just went away with the PMS. Shorty say she ain't a jump off. Now I call that bithc Hulk Hogan she rip her clothes off. Me and Rozay on the yacht smokin'. With your main bitch with her twat soakin'. Watch a young nigga peel that Rose off. This relationship is nastier than cole slaw. [Hook]. M.I.A. , M.I.A.. Done looking for love, cause she took away her. MIA. Done looking for love, cause she took away her love. [Bridge: Omarion]. Since you been away. Love has been MIA, MIA. Done looking for love, cause she took away her love. [Hook]. M.I.A. , M.I.A.. Done looking for love, cause she took away her. MIA. Done looking for love, cause she took away her love"
know you better (feat. fabolous & pusha t),"(Intro). [Omarion:]. Yea, I'mma let it ride. I got some questions for you. [Pusha T:]. Right it's time you know right about now. (Verse). Let's start with the basics. You in the scene but waist is. Nail color, shoe size. What designer's yo favorite. Trick dollar I plays this. Couple niggas you played with. Kenzo get bags for all the bitches you came with. These niggas on the same shit. Red lobster, red bottom. Sell dope, dope fiend. Niggas they feds got em. But I'm still here, you see I'm still here. A lot of niggas just came and went. But at least you know that it's real here. Fly you down the way he go. Lay you out to where the beach go. Jetsky, paracell, yacht as big as my ego. Fuck cold as ever, but I could show you better. If you gon roll together. I gotta get to know you better. (Verse). [Omarion:]. Tell me what's yo name, tell me tell me what's yo sign. Tell me what you went to, tell me tell me what's it like. If you was rich tomorrow tell me what you would do with it. And if you could see the future, baby do you see me in it. Would you date me for a minute, girl before you let me hit it. Are you single? Are you taken? What postponed education. I'm just askin, I'm just sayin. What's yo current situation?. 'Cus I see you across the room. and you the baddest in the building. What's up?. (Pre-Chorus). [Omarion:]. See I don't wanna get into yo draws yet. Are you one of them girls that's askin where the bread top?. See first I need to know the way your head at. Before you getting inside, I'm playin. (Chorus). [Omarion:]. I'm just tryin to know you better. I'm just tryin to know you yea. I'm just tryin to know you better. I'm just tryin to know you yea. If I told you my secret. Shawty would you keep it?. Are you the type to kiss me right after I beat it yea?. I'm just tryin to know you better. (Verse 2). [Omarion:]. Tell me where you goin, tell me tell me where you from. Are you a smoker or a drinker? Are you none of the above. Are you more domesticated? Do you love to hit the club?. Tell me do you like to fuck. Or do you just like making love. Tell me do you have some kids?. And if so girl, how many?. And if not, bitch ought to tell me, can I be yo baby daddy?. I'm just playin less you let me. I won't know unless you tell me. I just gotta aks cuz girl you super bad. What's up?. (Pre-Chorus). [Omarion:]. See I don't wanna get into yo draws yet. Are you one of them girls that's askin where the bread top?. See first I need to know the way your head at. Before you getting inside, I'm playin. (Chorus). [Omarion:]. I'm just tryin to know you better. I'm just tryin to know you yea. I'm just tryin to know you better. I'm just tryin to know you yea. If I told you my secret. Shawty would you keep it?. Are you the type to kiss me right after I beat it yea?. I'm just tryin to know you better. (Verse). [Fabolous:]. Are you single? Are you datin? Is it kinda complicated. Did you hear that time is money. are you being compensated?. Did you fuck first night and spent the next day contemplatin?. Did you focus givin head? Baby were you concentratin. These the things I wanna know. Do I really know?. In a time where everybody's high and nothing's on the low. And the always on the go. Snappin pictures in Miami. Swear you take the best pictures. you should win a Instagrammy. And I give her compliments. while wonderin who bought her that. Let her do that thing I like, wonderin who taught her that. Wanna know you better, but I know better. 'Cus I left er, you oh met er. (Chorus). [Omarion:]. I'm just tryin to know you better. I'm just tryin to know you yea. I'm just tryin to know you better. I'm just tryin to know you yea. If I told you my secret. Shawty would you keep it?. Are you the type to kiss me right after I beat it yea?. I'm just tryin to know you better"
entourage (remix) feat. lil fizz,"Rap 1 [Lil Fizz]. Girl I say we ride out. Cuz the way we vibe out. Is unmatched and I’m so attached. Like the new D.R.s and ya bag to match. I’m so glad that I’m baggin that. Yeh, cuz you are one of one. There were some before but none to come. Now I’ve loved before but I was young. And I have crushed a lot but now I’m sprung. Verse 1. I don't need nobody else around see. Love the way you compliment my style. Though you may end up bein' my only girl. 'Cause when you're with me you're my whole world. Like when it's just me and you. Vibe is crazy between us two. You're my homie, my lover and even my friend. Now I said this before ima say it again. Now here is the situation. I like what we've got happening. And I don't want nothing coming in between both me and you. I'll let you be lieutenant if you let me be captain. Tell me if that's cool. Chorus. Baby I want you to be my entourage. (Super fly chick). You could be my personal superstar. (Super fly chick). Baby I want you to be my entourage. (Super fly chick). If you want then we could take this very far. (Super fly chick). Verse 2. You're a star in your own right. At times you steal the whole spotlight. I don't mind girl you're fine, put a smile on my face. Besides who want a chick that no dude would chase?. Sometimes I know your unsure. Wonder if this will endure. Don't make me make a promise that I can't keep. 'Cause it's cool how it is, let's not complicate things girl. Here is the situation. I like what we've got happening and I don't want nothing coming in between both me and you. I'll let you bee lieutenant if you let me be captain. Tell me if that's cool. Chorus. Bridge. You're a star (Omarion). That you are (so beautiful). Be my girl (I wanna take it to the top). Share my world (all the way to the top, yeah!). Come on girl (Whoo! Super fly chick) (Yeah, I got you O!). Rap 2 [Lil Fizz]. When I’m with you I feel like I’m around myself. So how bout I surround myself. With the reason that I found myself. No guard, no team. Just you, just me. We hold it down ourselves cuz. It ain’t a day go by. When I don’t think you mean, I don’t say you fly. So glad I can say you mine. Plus the boys is back. It’s young O, F-I-Z-Z-O. Oh my!. Chorus"
case of you,"I'm staring at the pillow where you slept last night.. It's almost like you're still laying there.. And the shirt that you wore of mine.. Took it off and threw it across the chair.. Now it's kinda hard to get you off my mind.. When I keep seeing you everywhere. For example like the lipstick on that glass of wine, damn. Sitting right over there. And I can't play it off like we're friends like I used to.. No, I can't pretend like I used to.. So now I'm laying in my bed thinking about you.. And what do I do?. Girl, I'm feeling like I'm coming down with a case of you. (you, you). Now it started in my head but it trickled down to my shoes. (you, you). I feel so weak, so hard to breathe.. But it seems to only happen when you leave, girl.. Ain't nobody ever had me feeling quite like you do.. I'm coming down with a case of you. (you, you, you). Ohh. Trying not to think about you only got me missing you more.. And loneliness ain't no cure. Thought it over about now. But, no not yet. Pulled the covers up to my head. Now I'm feeling dizzy, and my mouth is dry.. With just a thought of you on my mind. It's kinda crazy, what a mess I'm in. I can't believe this is happening.. And I can't play it off like we're friends like I used to.. And no, I can't pretend like I used to.. So now I'm laying in my bed thinking about you.. And what do I do?. Girl, I'm feeling like I'm coming down with a case of you.. Now it started in my head but it trickled down to my shoes. (and i dont know what to do). I feel so weak, so hard to breathe.. But it seems to only happen when you leave, girl.. Ain't nobody ever had me feeling quite like you do.. I'm coming down with a case of you. Now this ain't no common cold. What I feel is original. And I know there is a remedy. When you bring your body back to me. Girl, I'm feeling like I'm coming down with a case of you.. Now it started in my head but it trickled down to my shoes.. I feel so weak, so hard to breathe.. But it seems to only happen when you leave, girl.. Ain't nobody ever had me feeling quite like you do.. I'm coming down with a case of you. Girl, I'm feeling like I'm coming down with a case of you.. Now it started in my head but it trickled down to my shoes.. I feel so weak, so hard to breathe.. But it seems to only happen when you leave, girl.. Ain't nobody ever had me feeling quite like you do.. I'm coming down with a case of you. --. Your love really takes me to ecstasy, a kiss on my lips and I'm yours .. (8)"
