anti-freeze,"Back there, knuckle heads, nothing for you bucket heads. Got my cheese, got my lettuce, now I need my fucking bread. Once a baby... boy. I'm hot, I've been ? keep my mind on my money. And my eye on the sparrow. Mama I'm the coldest, just ? pay roll. Feeling like I'm moses fly it in a ?. Tired of all you boses, tired of all you weirdos. Tired of all you fuckers leaving make up on my pillows. Shut up my latinos, let's count these ?. ...all my ? I'm not talking ?. Look at all these whose, no, look at all these ?. I do have the shows, I got cheese like ?. Hello world, hello girls, hello fans, hello haters. We the holy celebrating, number one, one. No they can't stop us, they can't fade us. They can't drop us, they can't break us. We gonna break this motherfucker till we're done. Cooler than anti freeze,. damn it these rappers need a better scene. Happening since the ..had a dream,. Cooler than anti freeze,. damn it these rappers need a better scene. Happening since the ..had a dream,. Cooler than, cooler than, cooler than, cooler than, cooler than,. Let yo all buy in place then we take them home. Sean paul and ? is all they take take bone. Sat back keep game then we break the code. This' the type of fire can't control. Play the world, shake them all. Now it's all grizzly, keep ? brooklyn now I'm all ?. Ricky .. flashing on point ashley. Coming up I was influenced by some ?. Homie got them action figures, homie you can't match the figures. You ain't really that tough, homie that's the liquor. ? talking fast like you got the twister. Give a fuck about I go bang their sister. Another blunt rapping twister, another story told. A new motel packed that play that ?. Coming through your audio, switch it like a audible. Run it like it's cardio, take it to the body yo. Cooler than anti freeze,. damn it these rappers need a better scene. Happening since the ..had a dream,. Cooler than anti freeze,. damn it these rappers need a better scene. Happening since the ..had a dream,. Cooler than, cooler than, cooler than, cooler than, cooler than,. Listen, I ain't about drama so I flip my peace sign up. This is south beat but I grew up on east siders. ? popping like we got the grease right up. Looking for a atl ... own me 5 bucks, eyes up, eyes up. That is not my wallet miss, yeah,. I'm big headed but don't make it so obvious. I'm traveling the globe now, working on my politics. Running for head of the state on my barrack. Cut your fucking head on the plate on barrack. Every first I murder I don't care what the topic is. Got a few mistress down in texas that I probably with. All of them is winners and I coast them like ?. Pop the chris no wait up, pop that smart ?. Thing is sober just in case I gotta dive in shark water. Lady killer, heart robber,. stick em quite and leave them out released. And I am peaced ? is like a siameze, gone. Cooler than anti freeze,. Damn it these rappers need a better scene. Happening since the ..had a dream,. Cooler than anti freeze,. Damn it these rappers need a better scene. Happening since the ..had a dream."
automatic,"Sucka free, duck a lollipop. Where we from, niggas say words like ""molliwop"". Play curbs and [?] , broads holler when they see me. Just add water, popping condoms in the fiji. Take it off girl I'm greedy, off top skeezy. Socal niggas, middle finger to the peedy. Money on the phone while I'm breaking down bleezys. Before we did a song, we was taking down. How they make it sound easy, still it do damage. Jolly green giant, my niggas move cabbage. Got drink, got dank, shit that's all that matter. Tank on e, but the homie bought the madden. Automatic. Automatic. Automatic. Automatic. Will smith, brad pitt, denzel. Slick rick, 2pac, and big l. Straight shots of that vodka, that belv. My nigs hit licks, get locked, and make bail. Late night I stay popping like [?]. Straight down the block, bass wopping like hell. Grown ass man but I rock like I'm 12. So fuck groupies I'm jocking myself. Girl, don't like thirsty bitches. And in fact, I don't wash dirty dishes. I don't fuck with or work with these niggas. Y'all whole click sweet, y'all like hershey kisses. Automatic. Automatic. Automatic. Automatic. Put your check up, we certified niggas. Put your best up, we fertilize niggas. Homegrown greenery, hometown scenery. Lock flows down easily, knock hoes down leisurely. But right now we tryna get this money all legally. If you ain't about that then why you mislead me. We made it here grinding, you made it here simping. Bitches in the living room and they in here stripping. Late night visits from your wavy haired vixen. Said you too soft cause your baby hair glistening. Aviator frames and them 808s that bang. We them niggas pac div case you hoes forgot the name"
bank,"Man what's it going to take?. Always making ground breaking shit that don't break?. All the corny ass nigga got cake. So how much of my corny ass shit it' gon' take. Time to rob a bank. Walk in that bitch like show me the safe. My girl nervous she think I'm gon' shake. Cause I'm pacing like a schizophrenic nigga on crank, damn. That's what I do, buy a mask and a suit. If the bitch behind the counter move her ass, I'mma shoot. Val Kilmer and De Niro in this ho. Got a driver outside in the Beamer: let's go. High speed chase on the 405. Helicopter in the skies so you know it's live. This morning I woke up, got high. I was broke, until I got a call from my guy saying. What you think man? Time to rob a bank. What you think man? Time to rob a bank. What you think man? Time to rob a bank. What you think man? Time to rob a bank. We can hit every Bank of America. Before 5 we could hit this Chase, nigga hurry up. Money on my mind, got me pit bull terrier. Want what's inside, in the shit that's with the carrier. Stocking cap on right now, I ain't sporting waves. Just my niggas in the building and we sporting K's. Just bag it up we can dip before the boys is paged. Guaranteed what we make we be copping more than J's. Popping with them federals. See how they feel once we up out that Jetta though. Straight cash what the fuck I need a debit for. Barack understand we all fresh out the ghetto. What you think man? Time to rob a bank. What you think man? Time to rob a bank. What you think man? Time to rob a bank. What you think man? Time to rob a bank. Fuck that bitch, that goofy ass bitch. She a slut, that ho, that goofy ass bitch. Had me mixed up in some goofy ass shit. Talking bout me online, that's a groupie ass bitch. What you think man? We trying to rob a bank. I got bills, I got dreams, I need gas in my tank. Slanging lean, slanging pills, making crack, serving base. Black mask, black mags, grabbing cash off the safe: run. Plotting schemes off of weed and some Grand Marnier. Big faces like Chinese anime. Swole faces like Ike did Annie Mae. Make a dash, take my ass up to San Jose. Dip in, counting my grip. Want to shut her ass up, put her mouth on my dick. Ay - fuck around, put a round on my clip. Pull the money out the drawer, bitch I'm down for my clique. What you think man? Time to rob a bank. What you think man? Time to rob a bank. What you think man? Time to rob a bank. What you think man? Time to rob a bank"
can't help it,"I can't help it. I'm on my grind. She can't help it. I told her we should take our time. I can't help it. I'm on that grind. She can't help it. A nigga always on her fine. How you doin' baby?. I'm good. You know you took me high last time. True. I heard you fucking with the lame niggers. Maybe. It don't matter you know my ass mine. You stupid. Now put something on it. Take my time there ain't no rushing on it. I'm a player there ain't no coughing on it. Got a squeaky mattress from all the fucking on it. In the public she feel me touching on it. While I'm driving she be sucking on it. You see I'm loving don't it?. Quit fronting girl you know you want it. Quit fronting girl you know you want it. I can't help it. I'm on my grind. She can't help it. I told her we should take our time. I can't help it. I'm on that grind. She can't help it. A nigga always on her fine. Summer time ass sticks. Scooter out of sax fifth. Pimp headstrong ain't afraid to say you that bitch. Put you on that back shit coach you like it's practice. Want it to bad she ain't even mind the traffic. First night access phone numbers memorized. Season with the pimpin fuck around I leave you tenderized. Spit it fly until you coco butter with the mouth piece. Can't help but place in hands on you like an outreach. Do it on the couch freak tell me how I make your blouse slim. Young live nigga in my prime and I'm spouse free. You know about me young debonair. Earrings getting lost hoes bring the extra pair. I can't help it. I'm on my grind. She can't help it. I told her we should take our time. I can't help it. I'm on that grind. She can't help it. A nigga always on her fine. She all for my discussions morals to production. She wanna blow my flute thought she was more into percussion. Not to be brass but I like a big ass. Underneath to see her leggings and she more into the function. Heart like a drumbeat crash into my planet. Similar my love I wait for y'all to understand it. I never move bass but I'm solid on this granit. I was polishing my gift y'all was probably playing mad and. Now she polishing my woo and y'all probably can't stand it. Travelling the axis on some parles vous france shit. Accents germ roads, acoustics are my thing. Turn your dress around and maybe I can pull some strings. I put it in your mouth like it nearly sings. But we want to spend so I keep this acapella clean. Not gon' send no dreams she expecting diamonds rings. But I scratched at all we gotta find this green. I can't help it. I'm on my grind. She can't help it. I told her we should take our time. I can't help it. I'm on that grind. She can't help it. A nigga always on her fine"
chaos (the recipe),"Who said broke niggas can have no fun. I had the best time ever when I had no funds. Got that kush rolled up, a bottle of rum. And a couple cute girls, that's how it all begun. Next morning when I woke up. I forgot me and what's-her-face broke up. We on the phone and she sounding all choked up. All that crying had her pillow case soaked up. Telling me she wished we never broke up. In the back of my mind, I'm like so what. She said Mike, why you so fucked up. I said what you talking bout, she hung up. Damn, and guess who is laying next to me. Yeah, it's her home girl, Destiny. I can't believed she came here and tested me. For chaos this is the recipe. Ain't no telling what the side effects could be?. For chaos this is the recipe (Say It). Ain't no telling what the side effects could be? (Say It). For chaos this is the recipe. Disaster, we cooking in so many ways. The recipe is written all over her face. Speeding through life without knowing the pace. Hey, baby slow down, take a moment embrace. She says there's bills to be payed. Her son got to eat. Her baby dad helpless. He runs in the streets. Her job layed her off. Her mom ain't involved. The walls closing in. She lost faith in God. Next afternoon, she sitting home (sitting home). Tears on her on face, she sits alone (she sits alone). Gun on the table, she grips the chrome. (she grips the chrome). Raise her to her temple, she's gone. For chaos this is the recipe. Ain't no telling what the side effects could be?. For chaos this is the recipe (Say It). Ain't no telling what the side effects could be? (Say It). For chaos this is the recipe. I'm warning you. I hit the store with my home boy Baby D. I had to grab a brew, grabbed a few thangs to eat. As always, keep it cool do my thang in peace. Watch these motherfuckers, still trynna bang they street. Naw, I'm a man but understand that ain't the plight G. I came for the swishers, came for the Ice T. They hit me up about that Dodgers hat right D. I said shit you know, Manny had a nice week. Aim for the bull, I'm just out here trying to do me. Niggas got to find away to fight away through the beef. Plus I think my cousin san cool with your peeps. All my niggas caught in chaos through the streets. For chaos this is the recipe. Ain't no telling what the side effects could be?. For chaos this is the recipe (Say It). Ain't no telling what the side effects could be? (Say It). For chaos this is the recipe. I'm warning you"
cross-trainers,"I got my cross-trainers on, motherfucker, I run shit. All I do is rap, make dough for the dumb shit. The return of that 808 trunk hit. Cash in my palm, I'm a pass the baton, Go!. Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet. Cash in my palm, I'm a pass the baton. You be on that fuck shit, I'm tryin' to make bucks quick. Don't talk to me if money ain't the subject. 93's laced up, we about to run shit. Mibbs right beside me, Beyoung got the blunt lit. Shawn on the cut, Swiff D on the drum kits. Standin' on your table with a bottle and a drunk bitch. Fallin' all over spillin' drinks, tryin' to tongue kiss. Money over hoes, so you know I ain't the one, Miss. Take her home, make her moan, and when I get done. (Switch!). Pass her off like a basketball. Stay with dimes, I'm like Nash to y'all. My living room look like a casting call. Don't be bringing hoes where [?] are. A sweet talkin' nigga, ask your mom. My nigga, that's your squad?. We treat line-ups like that's Lebron. Push backwards like the bush whackers. We ain't just kush rappers - we max it out like Footaction. I got my cross-trainers on, motherfucker, I run shit. All I do is rap, make dough for the dumb shit. The return of that 808 trunk hit. Cash in my palm, I'm a pass the baton, Go!. Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet. Cash in my palm, I'm a pass the baton. Nigga hand over fist, bring some cash in this bitch. Y'all niggas picture near puttin' swag in your spliffs. My niggas cop the 7 just to laugh at the 6. Like ""nigga, do you know how much ass I'm a get? "". Wrote a plan out, let's dip, we can market and sing. Put that cash in a stash, save that part for the rent. Only way niggas swingin' is to target the fence. That's why everything we're singing. hit the target like Prince, man. I'm talkin' vanity and ""Can it be? ""'s. Stickin' to the strategy, how simple can it be?. Niggas comin' home we gon' put them on the salary. Niggas think they cold 'til we push our shit to Calgary. Yea, you're who-blah and your shoe rot. You're too shy to be Rah Rah, your due ska. You're new job from Calgary to the new spot. Threw that 2pac on, but couldn't ride like we used 'ta. Used up, you're new guy's shoe size. Drew ties, never move pies move lines. She do lines why we shoot rhymes, shoo fly. Don't bother the father, just let me do mine. I got my cross-trainers on, motherfucker, I run shit. All I do is rap, make dough for the dumb shit. The return of that 808 trunk hit. Cash in my palm, I'm a pass the baton, Go!. Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet. Cash in my palm, I'm a pass the baton. It's notorious, peep it. Y'all niggas is Victoria's Secret. Soft as Mom's lingerie. It's a man's world boy, put the pom-poms away. It's only right we got our palms on La. Cause if Pac was alive, you'd get bombed on today. Bombs bombs away, like 'Bron 'Bron and Wade. We been had next, now it's our time to play, nigga. Your false prophets will never jump in my pockets. You're poppin' your gums and I'm poppin' your optics. Optimus Prime when I'm done. And the topic of music is me. And the logic is usually. You should stop in and grab a degree. In the science of how to emcee. And I'm watchin' the critic critique. When I'm climbing the valleys and peaks. And aligning myself. While I'm riding Orion's belt. In the street and defiling this beat. As a dead bitch that lay at my feet. This is King shit. I got my cross-trainers on, motherfucker, I run shit. All I do is rap, make dough for the dumb shit. The return of that 808 trunk hit. Cash in my palm, I'm a pass the baton, Go!. Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet (go!). Cross trainers on my motherfuckin' feet. Cash in my palm, I'm a pass the baton"
debo,"Put some rozey in my cup. And put scoop on that beat. Check my possy in the cup. And we roll up 4-5 deep. We act early in the morning. Finna get it while you sleep. It's my time that's beast mode. That's red bow, that's Debo. That's Mj with a fade away. Debo getting paid today. Fuck me you gon' fuck the team. Low pimp game never played today. Shit highschool ride that tape bouffet. Any pics I wave the way. Now I go down more aids await. Could get a pretty bitch out amazing grace. Should I Avh y'all rapper wrong. Niggas be know what papi on. Raised by niggas with cathees on. Alibi sweet acting home. In that carlo racid my shampoo on. Pay watch hoes like Hussle hoes. Up in the morning I'm smashing all. Be small I smoke till my stash is gone. Early in the morning, Debo. Put some rozey in my cup. And put scoop on that beat. Check my possy in the cup. And we roll up 4-5 deep. We act early in the morning. Finna get it while you sleep. It's my time that's beast mode. That's red bow, that's Debo. I be goddamn for nigga ever tried to take me bitch. 'Cause I'm be goddamn forgot to drop out and dig a ditch. And I be goddamn if one of these home boys go snitch. Says I be goddamn if I gotta try out and dig a ditch. That's crime time, that's beast mode. That's red bow, that's Debo camo, flee smoke. Stop geeking these street clothes. I'm fucking them weak hoes them freak hoes that don't do shit. Take pictures on instagram, act like they doin' shit. Niggas install my flow that's cool I'm that nigga. Oh girl got ass with it shoebox got cash in it. Act back got naps in it tatoos and black in it. Wack niggas can't rap with us. Pac Div on cash girl. Early in the morning, Debo. Put some rozey in my cup. And put scoop on that beat. Check my possy in the cup. And we roll up 4-5 deep. We act early in the morning. Finna get it while you sleep. It's my time that's beast mode. That's red bow, that's Debo. That's how we on it no smiling on it. No styling on it beast baby. I'm growling on it. Don't nobody want it put a thousand on it. Stacks homie. I'm laying back and I'm reclining. My feet is up their seats is up. My throw aways they sweep it up. Niggas talk alot don't read enough. Got a couple questions that I will ask you. How your swag futuristic but your bills past due. Boy I'm in grinding gimme mine. Zoom a patch like the Emmy 5. Bisniss time, I'm worried about me. I'm getting mine, getting lime. Whether pimpin hoes or flipping o's. It's really ain't no difference homie. We all got dreams of cues. But please don't pigeon homie. Do nickleodie these niggas own me. I'm a different breed in a different league. In a different speed. Guess that's why your bitch flew we. Debo. Early in the morning, Debo. Put some rozey in my cup. And put scoop on that beat. Check my possy in the cup. And we roll up 4-5 deep. We act early in the morning. Finna get it while you sleep. It's my time that's beast mode. That's red bow, that's Debo"
faircrest heights (interlude),"So far deep to forget it. And I promise you won't regret it. If you were my, my girl. I've been waiting for you ever. Finally we get together. Now you're my, my girl. And you're my, my girl. You can be my, my girl. You be my, my girl. You be my, my girl. So far deep to forget it. And I promise you won't regret it. If you were my, my girl. I've been waiting for you ever. Finally we get together. You can be my girl. You can be my girl"
fallin',"Ah, shit I got another now!. Call it, I think I'm loving now,. I'm fallin', fallin', fallin'! (x2). Ah, I think I love it now!. She make my mother proud,. Climb high and I ain't climbing down,. Real beauty like this, don't come around!. Looking to your eyes to your dior face,. Let's go high like the …. My boys look at me all strange,. They like…. I play nice staring at your icon,. ..icon in the thought light!. Shit, baby I could be your psychic,. You could be my main thing,. I think…. Ah, shit I got another now!. Call it, I think I'm loving now,. I'm fallin', fallin', fallin'! (x2). I'm about to call her luck,. She's so gorgeous to ask,. So enormous, I promise I will fall in love. With the pussy, wine in a little bit of time is all it took me. Now I need … so much I could…. So could, I think I might... in it!. Ah, shit, it goes my consciousness. I get this picture in my head, help me fall into you,. I'll be calling, fucking I did!. Babe, you let your lip-gloss back at my crib,. I'm at the studio now, be back at ten,. She's right on time, be back …. Ah, shit I got another now!. Call it, I think I'm loving now,. I'm fallin', fallin', fallin'! (x2). I rather take you down in your lunch break,. Hit… and your ex is a plum cake.. He's .. you know I'm on my main shit,. I bet the podium your eyes get a bright light,. Call you some… we're homies and we're intimate.. Perhaps you get me in the mix, …. Cake like intimate, smoking like an indian,. You raised of with me!. You know it's real when she makes…. Yeah! at first I rather be a nigger,. Time goes fast and our vibes move quicker.. Couldn't wait around, kinda crazy…. What I do with ya? with the world and…. I think I. Ah, shit I got another now!. Call it, I think I'm loving now,. I'm fallin', fallin', fallin'! (x2)"
fuck y'all,"When my shit drop I get all the love. But fuck y'all. When my shit come out it be bopping up in all the clubs. So fuck y'all. If you ever thought that you was going hard as us. Fuck y'all, fuck y'all, fuck y'all. And still fuck the police too. You can do some corny shit and get paid. You can buy the nigga swag and get laid. You can blow up or let the shit stay. Shit that I've been going through since 5th grade. Smoking weed, I been drinking beer. I ain't worked a real job in 6 years. My time is money, my time is fucking money. Slip before we fucking start it. Now get that shit clear man. Niggas hardly home gotta call us on the plane. Here it's Mr. Div man the niggas clocking dane. Turn head around your brain. I put you out your pain. Living next door off his feet. Tell me what you know about that plane. Look man I'm walking back. Div talking like I'm Pac Div. When I'm out in traffic it's almost like pack Div. Mac 10 for life, bango I got old stripes. No hype, we ain't matching numbers that's our old price. Cash cheque getting squealers. got the scripts for can niggas. Yea I'm cool but them niggers is on some weak pillars. In the hood to the white boys with quick silver. Out the park with the shit I think I'm prince Philly. When you're raw you push that thing to the limit. We just finna kinda profit I'ma swim in a minute. I don't speed at the limit, move how I wanna move. Knuckle head nigga I'ma do what I wanna do. When my shit drop I get all the love. But fuck y'all. When my shit come out it beat up in all the clubs. So fuck y'all. If you ever thought that you was going hard as us. Fuck y'all, fuck y'all, fuck y'all. And still fuck the police too. Fuck the police too. Fuck 'em, we dodge 'em then we duck 'em. Put your head out they gon' cuff 'em. Guns drawn they gonna buck 'em. No discussion they kick the door and they rush in. They heat this cock and they bust in. You feed 'em really gets nothing dog. These niggas awfully and lawful. They breaking inside your quarry. That just means they probably gon' rob you. They actin' holy in public before I compare the impostor. Abusing the constitution and quit decoding the gospel. The laws supposed to be talking about bitches and weed. Money and bling those sort of things you know. It seems to be what's in. but when have you ever know enough. To do what seems to be the trend. I keep bitching at the pen. Won't sell my soul to the media for spins. In this cheesy fucking biz I'm out. When my shit drop I get all the love. But fuck y'all. When my shit come out it beat up in all the clubs. So fuck y'all. If you ever thought that you was going hard as us. Fuck y'all, fuck y'all, fuck y'all. And still fuck the police too. Fuck the police too. You know that this is just to give the nigga. we was born a boss. Fuck 'em, you getting on that weed was on y'all. It's hard to get along in this motherfucking dead zone. Picturefram instagram camera phone. Sarah Palin bitch white politic. Diplomatic immunity on a dick. Corporate in a shit in a shit innocence. Opposite and I get it all of it. Getting all of it, all about my bisness. I'm tacking shiteous new bugatti's hideous. Young and the intelligent the motherfucking idiots. Living in experience y'all be on some full of shit. When my shit drop I get all the love. But fuck y'all. When my shit come out it beat up in all the clubs. So fuck y'all. If you ever thought that you was going hard as us. Fuck y'all, fuck y'all, fuck y'all. And still fuck the police too. Fuck the police too"
