pussy ass nigga,"[Refrão:]. Keep Talkin Dawg,U Gon Make Me Rob Yo Pussy Ass,Ain Gon Wack U Fuck Nigga Only Want Cha Cash,U Lame Den A Bitch Ole Soft Ass,Keep Talkin U Gon Make Me Rob Yo Pussy Ass. [Verso 1:]. U A Fuck Nigga And Err Body Kno U Soft,Niggas Done Bent Cha Up 100 Times Damn U Soft,U A Professional Talker All U Do Is Talk,U Kno How Ta Act Like U Bout It U Aint Never Got Off,Get A Couple Fuck Niggas Round Ya And U Try To Floss,Nigga Catch It By Ya Self And U Act Lost,Soon Ass I Catch U Flaggin Ima Break Ya Off,Dont Care If Its In The Broad Day Or In The Dark,. [Refrão x2]. [Verso 2:]. It Dnt Take A Nigga Shit To Jump In That Monkey Suit, And Drop That Ski Down And Make That Choppa Do Wut It Do,U See A Nigga Joggin Wit Dem Cannons Dont Act Stupid,U Fuck Round And Panic And Buck If Ya Want To,And Ima Let All Hundred Of Dese Hollow Points Loose,Cuz Real Goons Dont Talk Real Goons Shoot,Keep Runnin Ima Bust Ya MuthaFuckin Head,Since U Wanna Play Like U Thuggin Ima Make U Red,And Fill Ya Lil Soft Pussy Ass Up Wit Lead,U Dont Hang Out Late Night Pussy You Scared,But U Get Round Dem Hoes And Try Ta Talk Big,U Just 1 Fuck Nigga Dawg I Gotta Get. [Refrão x2]. [Verso 3:]. Ole Pussy Ass Nigga Dawg U Aint Spose To Be Out Chea,U Spose To Be On Tha Porch Where U Been The Last 10 Years,U Think U Is Nigga But U Aint In Da Clear,Make U Think Shit Sweet To Get Ya Out Chea,Soon As U Think Shit Gravy Get Cha Ass Flipped,Im Tryna Putcha In The Newspaper Off The Rip,That Fakin Like U Tough Done Got A Lot Of Niggas Killed,And How The Fuck Niggas Be The Ones Wit The Most Lip,U Wanna Be Bout It Dawg But Dat Aint How Ya Built,A Nigga Slapped Ya Wit Da Pistol Dawg And Ya Dipped, Plies Dawg Me And You Aint Cut From The Same Quilt,It Aint Gon Take Nun But One Time For U Ta Slip And Ima Max Ya Ass Out Wit Da Whole Clip, I Wanna Run Down On Ya Wen Ya Witcha Dawgs,Run Up On Ya Ass N Giv It On All Yall,Yall Ready Kno Wut Im Bout U Kno How Im Rockin Dawg. [Refrão: Till End]. by Romero"
shawty,"[Plies Talkin:]. What's Happenin Homie Dis Ya Boy Plies Man Hey Pain Tell 'em. Bout Your Shawty Ima Tel Em Bout Mine. [Chorus: T-Pain]. Even Though I'm Not Your Man, You Not My Girl. Ima Call You My Shawty. Cause I Can't Stand To See You Treated Bad. I Beat His Ass For My Shawty. And We Ain't Did Nothin That We Ain't Supposed To Do. Cause You My Shawty. Babygirl You Know I Be Home, Keep Me On The Ringtone Shawty. Sing It To Me Girl. [Verse 1: Plies]. Soon As I Seen Her, Shit Told Her I'd Pay For It. Lil Mama The Baddest Thing 'round Here & She Already Know It. I Pointed At The Donk & Told Her This Supposed To Be Yours. Showed Her A Couple Stacks & Told Her I'd Let Her Blow It. The Hottest Nigga In The City Baby You Can't Ignore It. I Showed Her I Was A Real Nigga & She Went For It. First Time I Caught Her Shit, She Aint Even Know How To Throw It Back. Now She An Animal, I Got Her Sex Game Right. I Taught Her How To Talk To Me While She Take Pipe. & Opened Her Up & Showed Her What A Real Nigga Like. I Told Her I Don't Usually Do This, I Don't Fuck On The First Night. Cause After I Beat Ya Baby I'm Liable To Fuck Up Ya Whole Life. I Gotta Train Her, Now She Suck Me With Ice. I Call Her My Lil Bust It Baby Cause She Keep It Tight. Whenever I Tell Her To Bust, Aint Gotta Tell Her Twice. Whenever I Wanna Get Off She Know How To Get Me Right. [Chorus: T-Pain]. Even Though I'm Not Your Man, You Not My Girl. Ima Call You My Shawty. Cause I Can't Stand To See You Treated Bad. I Beat His Ass For My Shawty. And We Aint Did Nothin That We Ain't Supposed To Do. Cause You My Shawty. Babygirl You Know I Be Home, Keep Me On The Ringtone Shawty. Sing It To Me Girl. [x2:]. Whoa W-W-Whoa Whoa Whoa Whooooa Whoa Whoa. Whoa W-W-Whoa Shawtyyyyy. [Verse 2: Plies]. I Love To Show Her Off, Cause All The Dope Boys Want Her. Know Why They Wanna Beat Bae, Look At All That Ass On Her. Look How That Pussy Sit Up In Them Shorts, You Gotta Want Her. Love When She Act Like She Bo-Legged & Bend The [Corner ?]. She Proud To Be Fuckin Me, Cause I'm Stuntin On her. It Feel Good To Be Fuckin A Real Nigga Don't'uh. Aint Called Her In 2 Days, Gotta Let Her Mind Wonder. But When She Miss Me, She Call To Tell Me To Jump On Her. Thats Why I Don't Mind Breakin Her Off, Cause She Aint With The Drama. If You Done Ripped Her Before, You Know How To Cuff Lil Mama. You Know She Gotta Be Somethin, Cause I Done Beat Her Under. bae Snatchin down there, I'm Tellin Ya, I Promise. I Exposed Her To Real, & Now She Hate Lames. Member She Used To Run From Me, Now She Like Pain. She Call Me Sometimes Just To Ask Is It Her Thing. Ever Since I Ran Up In Shawty She Ain't Been The Same. [Chorus: T-Pain]. Even Though I'm Not Your Man, You Not My Girl. Ima Call You My Shawty. Cause I Can't Stand To See You Treated Bad. I Beat His Ass For My Shawty. And We Aint Did Nothin That We Ain't Supposed To Do. Cause You My Shawty. Babygirl You Know I Be Home, Keep Me On The Ringtone Shawty. Sing It To Me Girl. [x2:]. Whoa W-W-Whoa Whoa Whoa Whooooa Whoa Whoa. Whoa W-W-Whoa Shawtyyyyy"
want it need it,Plies. I never knew you felt like dat baby. I never knew you felt like dat. Pleasures all mine. Ashanti. Oh boy I think of you on two occasions. That's when I want it (that's when I want it). That's when I need it (that's when I need it. You know I think of you on 2 occasions. That's when I want it (that's when I want it). that's when I need it (that's when I need it). Hey hey. Plies. I think it so cute how you use me. when you want sex I'm who you come and see. I'm tha one you call when ya body on e. You need a refill I who you come see. They give you 87 I give you 93. Premium top of the line straight deep. say it again in my ear (plies you a beast). how could one dis gotta be so sweet. whatever you want baby it's my treat. all I want from you is to let me go deep. I'm on call fo you seven days a week. sex on delivery s.o.d. Ashanti. Oh boy I think of you on two occasions. That's when I want it (that's when I want it). That's when I need it (that's when I need it. You know I think of you on 2 occasions. That's when I want it (that's when I want it). that's when I need it (that's when I need it). Hey hey. Plies. When she think bout me she get so wet. Everytime she want she send me a text. do I want it tonight baby yes between her legs she so blessed. she the best thing in the bed dat I met. you need a good jug be my guest. Whateva you want I'm at yo request. Til I get to you baby I can't rest. all I can think about is feelin yo sweat. playin in your hair feelin your flesh. watchin you as you get undressed. I'm yo goon u my goonette. Ashanti. Oh boy I think of you on two occasions. That's when I want it (that's when I want it). That's when I need it (that's when I need it. You know I think of you on 2 occasions. That's when I want it (that's when I want it). that's when I need it (that's when I need it). Hey hey. Plies. I'm sleepin I feel yo hand inside my boxers. baby it's 5 in tha mornin you rubbin on. Oscar know if you wake him up it's gon be problems. I know you playin with wat ya want so I ain't gon stop ya. just let me open my eyes so I can watch it. you want a Dose of ya medicine you wanna see tha doctor. gon' take em off so I can gon' lock ya. I call you momma you call me poppa. I wanna make you tonite my baby. Mama scent like water me no aroma. come a lil closer so I can put it on ya. You my property I'm yo owner. Ashanti. Oh boy I think of you on two occasions. That's when I want it (that's when I want it). That's when I need it (that's when I need it. You know I think of you on 2 occasions. That's when I want it (that's when I want it). that's when I need it (that's when I need it). Hey hey
co-defendant,"I do NOT fuck wit alotta niggas, bruh. They see me, they gon' see me solo bruh. These pussy ass niggas out here too creep for me, bruh. These niggas is not gon' state me, bruh. Ya'll call them niggas ya'll homeboys. Cracker call ya'll organization. [x2]. Stay in my own lane. Mind my own bidness. Hit my own licks. Get my own pennies. Keep these niggas from round me, cause I ain't friendly. You'll never slide up under me and be my co-defendant. Time to do bidness. Drop niggas off. Never run to them crackers on me bout what ya saw. Never snake me, and get me knocked off. Niggas like hos, love to run they fuckin' mouth. Speak to them in the streets, won't bring them to my house. I don't trust neither bitch, north or the south. Won't be around me tryna scope it out. That SUPAfriendly shit, ain't about. Iono him, keep him from round me. Tryna peep somethin'?. What you tryna see?. Never get that close to find out where I be. I don't know that nigga. Get him from 'round me... [x2]. Stay in my own lane. Mind my own bidness. Hit my own licks. Get my own pennies. Keep these niggas from round me, cause I ain't friendly. You'll never slide up under me and be my co-defendant. Niggas come around, guess what? I stop talkin'. Holla at chu niggas later, grab my shit and start walkin'. Fuck that shit, I done seen too much. It seem niggas scope niggas and gettin' niggas touched. Get in friends wit niggas, turn 'round and set 'em up. Even my own dawg, talk to 'em bout certain stuff. My own friends come around, nigga I hush. Outside of court rooms, nigga I done seen enough. Time to get money, i'm so loyal. 4 deep doin' business, that's a no-no. Cause what a nigga thinkin', you will never know. But do my own time nigga, if I have to go. [x2]. Stay in my own lane. Mind my own bidness. Hit my own licks. Get my own pennies. Keep these niggas from round me, cause I ain't friendly. You'll never slide up under me and be my co-defendant!. Ion fuck wit no nigga, who got alotta friends. Cause you never know, who that nigga want to win. You vibe wit too many niggas, you spread yaself then. And them the type of niggas, know everybody business then. Nigga too friendly, no tellin' who he wit. You niggas fuck wit any nigga, you can't do it big. Guarenteed you will neva slide up under kid. I keep my eyes open, and my fire hid. That's how I stay away, from all the fuck shit. I gotta couple homeboys, but I don't run wit clique. The least a nigga know, the less he can snitch. I run solo, so I don't have to kill a bitch. [x2]. Stay in my own lane. Mind my own bidness. Hit my own licks. Get my own pennies. Keep these niggas from round me, cause I ain't friendly. You'll never slide up under me and be my co-defendant!. . by Romero"
i just want the paper,"[Chorus:]. I Just Want Da Paper I Just I Just Want The Paper I Just I Just I Just I Just I Just.... [Hook:] I Just Want The Paper [Repeat]. [Verse 1:]. Im On Some Other Shit Nigga I Dont Want No Rap Friends. Cause U Fuck Niggaz Pocket Watchas And I Aint With Playn. Thats Why I Keep You Niggaz Out My Face Much As I Can. Cause I'll Be Done Kill One Of You Pussy Niggaz In The End (Pussy). I'd Like To Thank All U Fuck Niggaz Who Done Went Commercial (Ha Ha). Cause Yall Made My Job Easier And Das Fa Certain (Eazy). Dont Try To Come Back To These Now U Start Hurtin (Naw). Put Yo Ears To The Street Plies Done Close The Curtain (Closed It). I Got The Real Niggaz On Lock I Done Served My Purpose (Real Niggaz). Write Anotha Diss Record Cause The Last One Aint Workin (Ha Ha). U Fuck Niggaz Keep Snitchin, Goons Keep Murkin (Keep Murkin). And U Cant Find Alot Of Fuck Nigga Nann One Of Ma Verses (Nann One). [Chorus:]. I Just Want The Paper I Jus I Jus Want The Paper [Repeat]. [Verse 2:]. I Got Niggaz Dats Locked Up That Need Lawyers (Need Lawyers). If I Cant Make That Happen Fa Em Then I Aint Really Ballin (Aint Ballin). Gone Run Ya 50 Stacks Or Better Fuckin Wit Murder Charges (50 Stacks Nigga). And The Lawyer Want Half Of That For He Even Get Started (Get Started). And If That Break Me Then Fuck It I Keep Real Shawty (Keep It Real Shawty). And Ima Keep Grindin So My Niggaz Can Keep Callin (Keep Callin). And U Lil Fuck Niggaz Round Here Aint Want Ya'll To Keep Talkin (Ha Uh). Need Yall To Speak Up A Lil Bit Cause Im Way Up Here Shawty (Pussy Azz Nigga). Jus Drop 2 Birds On The Chevy I Need Dat Bac (Need Bac). And To Do It The Right Way Itz Gone Run Ya Bout 40 Stacks (Everytime). Jus Like Da Hummer On 6's Nigga On Top Of That (Slidin On6's). Think I Got Time To Argue With U Lil Fuck Niggaz On Wax (Naw). But We Can Shot It Out In The Streetz I'll Make Time Fa That(Pop Pop Pop Pop Pop). And Why Yo Mind On Me Im Out Here Gettin Checks (Out Here Gettin Checks. And Still Thuggin It Keepin It Real In The Process (In The Process). Ima Be The First To Get A Mill And Keep His Hood Respect (Believe It). [Verse 3:]. Mo Money Mo Problems Niggaz Mo Guns (Mo Guns). The Mo Money I Get The Mo Im Buyin Drugs (The Mo Im Buyin It). Watchin The News Mo Dead Bodyz Still To Come (Watch The News). The Mo Niggaz That Hate Me The Happy I Become (Ha Haaaa). The Mothafuckaz That Hate The Ones With Nothin Goin (Nuthin). And U Lil Fuck Niggaz Tryna Win I Already Done Won (U Lil Fuck Niggaz). And Let Me Tell You Lil Rap Azz Niggaz Sumthin (Rap Azz Niggaz). Show Me A Rap Nigga Who Done Did What I Done (Who). You Got A Hot Song I Got 30 To Choose From (30 To Choose From). You Doin Shows Fa Peanuts Im 12 5 To 1 (12 To 5). You Know How It Feel To Have A Hundred Thousand Dolla Month (A Hundred Thou. You Fuck Niggaz Still Got Neezy's I Got Ones (Ha Ha)"
hypnotized,"[Chorus]. You got me so hypnotized. the way your body rolling round and round. that booty keep bumping, titties just bouncin up and down. You got me so hypnotized. the way your body rolling round and round. that booty keep bumping, titties just bouncin up and down. [Verse 1]. It's 2-o' clock in the mornin'. I'm yiked up, and I'm horny. All I need is now is some moanin'. That pussy got me zoanin'. Her vibe tell me she want it. She gotta fuck how she on me. I got her tonite cause she joanin'. I know in the panty she foamin'. I'm locked eyes on that monkey. I know she wet, cause she told me. That ass on the ???? pokin'. Every nigga in here scopin'. I see me up in her pokin'. She bent over and I'm strokin'. Her cheeks spread wide opened. I'm beatin it and I'm focused. [Chorus]. You got me so hypnotized. the way your body rolling round and round. that booty keep bumping, titties just bouncin up and down. You got me so hypnotized. the way your body rolling round and round. that booty keep bumping, titties just bouncin up and down. Now do it some more (Just like that). Just do it some more (Yes just like that). Girl do it some more (Now shake that ass, make a. nigga like me spend that cash). Now do it some more (Just like that). Just do it some more (Yes just like that). Girl do it some more (Now shake that ass, make a. nigga like me spend that cash). [Verse 2]. She bad as hell and she swoll. I'm tryna play in her hole. Lil mama a dime, she cold. I fuck her once and she sold. I want her naked no clothes. I'm into private shows. No limit anything goes. Imma let her ride me her toes. Just stand in front of me and pose. You touch mine, I touch yours. To get her sprung is my goal. First time i seen her I froze. I had to get her she knows. She buck'd it then she fold. Cause im too real and she knows. She wanna goon and it show. [Chorus]. You got me so hypnotized. the way your body rolling round and round. that booty keep bumping, titties just bouncin up and down. You got me so hypnotized. the way your body rolling round and round. that booty keep bumping, titties just bouncin up and down. Now do it some more (Just like that). Just do it some more (Yes just like that). Girl do it some more (Now shake that ass, make a. nigga like me spend that cash). Now do it some more (Just like that). Just do it some more (Yes just like that). Girl do it some more (Now shake that ass, make a. nigga like me spend that cash)"
bust it baby (part 2),"Aye can I please talk to my bust it babies real quick. homie. Let me bring you in my world, and let you know what I call my lil bust it baby. She got me speedin' in the fast lane. Pedal to the floor mayne, tryna get back to her love. Best believe she got that good thang. She my little hood thang, ask around they know us. You'll know that's mine.... BUSTTTTTT ITTTT... baby. Everybody know that's mine... BUSTTTT ITTTTT.... baby. Everybody know thats mine... If i wasn't married to the streets, it'd be you. Yo lips what make you so cute. Love when you poke yo mouth out when you mad too. Save your number in my phone under Lil Boo. Like your sex but more love what cha do. Turn me on how you stare at me when we through. When you give it to me, I don't wanna turn ya loose. Scared to moan around you, alls I can say is ""Ooh"". My favorite panties of yours the ones that see-through. One wit the pink trim on 'em and they light blue. Speakin' for the goons, thank god for makin' you. BUST IT BABY is what I call you. She got me speedin' in the fast lane. Pedal to the floor mayne, tryna get back to her love. Best believe she got that good thang. She my little hood thang, ask around they know us. You'll know that's mine... BUSTTTTTT ITTT... baby. Everybody know that's mine... BUSTTTT ITTT... baby. Everybody know thats mine. you're just one more, he don't respect you. He just gon' hurt you, and neglect you. Well they gon' say what they wanna, yeah. I made a promise, to do you right and i'm gonna. Girl i'll do everything i can, proove i'ma better man. Than your friends think i am. She got me speedin' in the fast lane. Pedal to the floor mayne, tryna get back to her love. Best believe she got that good thang. She my little hood thang, ask around they know us. You'll know that's mine... BUSTTTTTT ITTT... baby. Everybody know that's mine... BUSTTTT ITTT... baby. Everybody know thats mine. I just gave her a nick name, it's wet-wet. Cause when we finished she mess up all the bedsets. She got sommin' to relax me when i'm under stress. Never told her, but to let her know it but she the. best. She like to spell her name wit her tongue on my chest. If you had told me it was this good, i'da never. guessed. She full of surprises, I don't know what she'll do. next. But while she sleep I sneak and put hickies on her. neck. And when she go out, she shut down the whole set. love to see her in heels wit the slit in her dress. She like to do her own hair and get her own checks. My BUST IT BABY i keep 'er on deck. She got me speedin' in the fast lane. Pedal to the floor mayne, tryna get back to her love. Best believe she got that good thang. She my little hood thang, ask around they know us. You'll know that's mine... BUSTTTTTT ITTT... baby. Everybody know that's mine... BUSTTTT ITTT... baby. Everybody know thats mine"
i am the club,"This here a message homie to anybody who possibly gon' be in the. club that I'm goin' in tonight homie... You better gon' head & get'cha. shine on before I get to the club dog.... Let me think tonight, what I'mma do at the club?. Might show up tonight, just to throw dubs. Or I might buy the bar to fuck wit' the scrubs. How I feel tonight shawty I am the club. Let me think tonight, what I'mma do at the club?. Might show up tonight, just to throw dubs. Or I might buy the bar to fuck wit' the scrubs. How I feel tonight shawty I am the club. Parked the whip out front jumped out stuntin'. Neck full of jewels whole pocket full of money. All the goons around me so you know I'm comin'. Half a brick in my pocket ten stacks on me. Better let me ball you don't want no problem homie. Last problem in the club somebody start dumpin'. I'm the main attraction y'all peons. Got a dope boy knot on me, no one's. Came through the side do', slid wit' my gun. Somebody daughter gettin' it the question which one. 'Gnaced up and on good 'dro, body numb. Let me show you how a real goon have fun. Y'all in trouble tonight we got the club locked. We ain't dancin' over here all we do is bop. One thang fa sho we got them hammers cocked. Look at all the dimes sweat us, they comin' by the flock. Look at the lil' hater over there, got him hot. Seen him lookin' at me so I held up a knot. I don't know if you know homie I run the spot. And don't 'cha play wit' me, you ain't got enough shots. Order mine straight up, drank it on the rocks. Been in the club five minutes and done closed shop. How can one nigga be this gotdamn hot?. I don't know if it's me it might be the watch. Slid through the club late all I need is a hour. Like they told me lil' homie money is power. Ran the streets all day I'm fresh out the shower. Watch how a goon rock let me show you my volume. Check my track record homie all I beat is stallions. I done smashed already shit you can have her. If you want her better catch her better gon' snatch her. Want straight animals over here, no hackers. Better put the cuffs on her 'fore the goons pack her. When we leave the club watch you follow after. Y'all ain't groupies baby stop bein' embarrassed. This one here in the book, this a closed chapter"
feel like fuckin,"[Whispering:]. I feel like fuckin',. I feel like fuckin',. I feel like fuckin'. [Chorus:]. I'm just in one of them moods, I feel like fuckin'. Wanna lay up in somethin' wet, and punish somethin'. I want a nice lil' baby who ain't got on nothin'. I got a taste for some pussy, I feel like fuckin' [x2]. Ate pussy in the shower for the first time last week. I got a confession to make to the world, I'm a freak. I think about wet pussy, all in my sleep. My fantasy is to get caught, fuckin' on the beach. The best pussy you can get is when you gotta sneak. I call my lil' baby a shooter; when she nut, she skeet. If I had my choice of how I'm a die, I'd be in some pussy, beatin'. Bammin' pussy, then leave and cause a nigga cheatin'. My baby sore, cause I done fucked her twice, this evenin'. Said I fuck her so good, it feel like she dreamin'. Got her playin' with herself for no apparent reason. Need some more of that pussy, cause a nigga feenin'. [Chorus]. All this liquor keep me horny than a motherfucker. Just text bay and ask her could I come fuck her. Only yak here, but shit, her ass in trouble. Goin' to beat bay, so that mean no rubber. That's my motherfuckin' best, nigga, that's how I cut her. We been fuckin for a while, that's how we fuck each other. Love diggin' in lil' mama, cause it get gutta. Seem like that pussy go to runnin', soon as you touch her. When I get in that pussy, I'm tryin' to pull a muscle. Ready to come up out these boxers, so I can gon' and fuck her. I can blame it on the liquor, if I wanna suck her. Know I'm ready to fuck bad than a motherfucker. [Chorus]. Can be four in the mornin' or two in the afternoon. Just thinking 'bout that pussy get me in my mood. Knowin' that pussy on it's way, get me in my groove. Nothin' like a bad bitch, who body smooth. Lay her flat on the bed, and look at her in the nude. Then fuck on every inch of the whole room. Money first, then pussy, then food. Around fat pussy, it's hard to keep my cool. Gotta turn my head, so I don't fuckin' drool. I can tell when I want it; feel my boxers move. Yet they pussy get wet, when they want it too. Good pussy the worst thing you can ever lose. [Chorus]. [Whispering:]. I feel like fuckin',. I feel like fuckin',. I feel like fuckin',. I feel like fuckin'"
letter to the industry,"Aye bae I need you to type. This letter real quick. It's tuesday 4:24 a.m.. I got a few things. I wanna go over and discuss. I wanna send a copy to the industry. Let these niggas know how I really feel. I hope there's enough. Ink in this motherfucker. Make sure I got enough v.s.o.p.. Make sure I got enough reefer. Cause I'm a be here a minute. It's gon be a long night. Think I'm in the wrong place. Thought I was in. The music business. Lotta you niggas doin music. But ain't nobody doin business. Everybody want favors. Who you niggas fuckin kiddin?. My brother went to prison nigga. Ain't none of you niggas. Fuckin visit. A nigga want me on his album. Take care of fuckin business. Paper work, artist splits. That's how you know the. Business finish. Labels got you niggas fooled. Got you thinkin it's y'all pennies. A lotta you niggas is music whores. Cause y'all niggas don't get it. I don't understand you niggas though. Cause all I hang. Around is bitches. Soon as you make a bitch mad. First thing she do is twist it. A bitch don't get what she want. Sencond thing she do is flip it. Fuck niggas tell lies. Real niggas pay attention. Two niggas beef with me. One hot, one isn't. No awards, filthy rich. Guess what? ain't trippin. Ol g's og. Cause them niggas. Control their feelings. Killers kill and killer don't. Tell you niggas that they killin. A nigga that tell the story first. The nigga don't pay. No fuckin tention. Niggas lie for one reason:. To boost they motherfuckin image. You hear a nigga droppin names. The project comin out in a minute. The only name's you niggas say. The one that the streets feelin. You want street cred?. You got to go in the streets. And go an get it. And niggas that talk the most shit. The main niggas. That ain't authentic. The rar rar nigga. He the same nigga. In court snitchin. The game real simple homey. It's all talk and no killin. A bunch of niggas that sit around. And try to come up with gimmicks. If you was real homey. You'll know what's real. And what isn't. Ain't never rapped about. A nigga in prison. That I ain't went and fuckin visit. 3 albums and ain't drop. One name still with it. Told you niggas from day one. ""pussy nigga, I ain't friendly"". Real niggas can't be emulated. And y'all try to fuckin bill it. I keep my eyes on you niggas. And fuck with you. From a distance. My principles is non-negotiable. Point, blank, period!. It's kinda hot in this motherfucker. But we got the a/c on. Baby you actin like your fingers hurt. Alright I got that little shit out the way. I got some more shit for you to type. Ready.... Last niggas got shot. Sued me for ten mill. Some more niggas playin gangster. I found out that wasn't real. Them yoppers started goin off. Everybody fuckin squeal. Niggas go from playin gangster. To tellin who the shooter is. I don't know a nigga that rob. That bring is camera. To the crime scene. Me somewhere without a couple shooters. You fuckin kiddin me?. Niggas win oscars off of actin. And I see. A nigga try anything. To trick you off. These fuckin streets. A nigga try it all. Just to sit down. In your fuckin seat. Bein hot? I know about it. I been that since '03. Goon inpersonators. Is all you fuck niggas'll ever be. You either one of two things:. You either groupies or the police. Ah man, it's gettin kind late. But before I go. Type this shit right here. I charge 40, 000. I'm really worth 60. This market was kind of slow. Only did a quarter milli. I'm hotter right now. Then any nigga who ever diss me. Know why you mad. Cause I'm hotter than you. In your city. Been in the streets. Say ounce goin for 550. My dog just came home. Bought him the 760. ""oh plies must be scared,. Keep his security with him"". Security for you niggas. My security for these bitches. A million dollar nigga. In a 30 dollar dickies. Nigga I was totin choppers. When niggas was riding 20's. Niggas was on e&j. Nigga I was drankin remy. Was it a 745?. Fore niggas had hemmys. Benz on 4's dogs. Hummer 26s. I put the 8's on the drop. Got the 2's on the bentley. And niggas claim to hate me. But ain't got no holes in me. Nigga I sell goon. Nigga just say ""how many? "". Ain't on a hundred songs. Pussy cause I ain't friendly. Bills: I got none. Money: I got plenty. Gutter, and never left. Nigga is still in me. Say I'm her baby daddy. Well that's that bitch opinion. A man, I'm finna let you go on. Ahead and go home dog. I don't think you like to work. As late as I like to work. But I'm a finish this another time homey."
