last night (feat. keyshia cole),"(chorus)-(p. diddy). Last night I couldn't even get an answer,. I tried to call,. But my pride wouldn't let me dial,. And I'm sittin' here...with this blank expression,. And the way I feel,. I wanna curl up like a child.. (p. diddy). I know you can hear me....... I know u can feel me....... I can't live without you.... God please make me better... I wish I wasn't the way I am....... (keyshia cole). If I tol' you once,. I tol' you twice,. You can see it in my eyes,. I'm all cried out with nothin' to say,. You're everything i wanted to be,. If you could only see your heart belongs to me,. I love you so much,. I'm yearning for your touch,. Come and set me free,. Forever yours i'll be,. Baby won't you come and take this pain awayay.. (chorus)-(p. diddy). Last night i couldn't even get an answer,. (you said you couldn't get an answer baby.). I tried to call but my pride wouldn't let me dial,. (but that should've never stopped you.). And i'm sittin here,. (sittin' there.). With this blank expression,. (I'll be with you my baby.). And the way i feel,. (way i feel.). I wanna curl up like a child,. (ooohh baby, ooohh no). (keyshia cole). I need you,. And you need me,. This is so plain to see,. And i will never let you go and i will always love you. so..i will... If you could only see your heart belongs to me,. I love you so much,. I'm yearin' for your touch,. Come and set me free,. Forever yours i'll be,. Baby won't you come and take this pain away. (chorus)-(p. diddy). Last night (ooohh last night.). I couldn't even get an answer,. (ooohh baby why you wanna do this to me, heyyy.). I tried to call,. (alright.). But my pride wouldn't let me dial,. (why wouldn't you just dial me up baby, ooohh.). And i'm sittin' here with this blank expression,. (don't say anything baby, ooohh no ooohh no.). And the way i feel,. (alright.). I wanna curl up like a child,. (i'm sooo alone, i'm sooo lonely baby, ooohh.). (p. diddy). Tell me what there is to say to make you come back and. work me like that,. And if it matters it matters if it don't,. With you i'm never alone,. Dont wanna wait 'til your gone,. Let me be, just don't leave me.. (chorus)-(p. diddy). Last night i couldn't even get an answer,. (couldn't get an answer baby, ooohh.). I tried to call,. (call me baby.). But my pride wouldn't let me dial,. (why couldn't you just call me baby baby baby baby. baby baby.). And I'm sittin' here with this blank expression,. (don't say a thing..nooo..). And the way i feel,. (alright.). I wanna curl up like a child,. (i'm sooo alone, sooo lonely baby, ooohh.). (keyshia cole). I need you,. And you need me,(i need you.). This is so plain to see,(ooohh.). And I will never let you go an i will always love you. so.... I will,. If you can only see,(only see.). Your heart belongs to me,(belongs to me.). I love you so much,(ooohh.). I'm yearning for your touch,(ooohh.). Come and set me free,(hey.). Forever yours i'll be,. Baby won't you come an take this pain awayayyyyyyy.. (chorus)-(p. diddy). Last night,. I couldn't even get an answer,. (i couldn't baby baby...yea, ooohh.). I tried to call,. (call me baby.). But my pride wouldn't let me dial,. (why couldn't you jst call me baby baby baby baby baby. baby.). And i'm sittin' here with this blank expression,. (dont say a thing...nooo.). And the way i feel,. (alright.). I wanna curl up like a child,. (i'm sooo alone, i'm sooo lonely baby...ooohhh.). (keyshia cole). Why don't you pick up the phone,. And dial up my number,. Just call me baby,. I'm waitin' on you.. Why don't you pick up the phone,. And dial up my number,. Just call me baby,. I'm waiting on you.. (phone dialing and ringing). (p. diddy). Hello,. Hey whats up,. I'v been tryin' to reach you all night,. That shit aint funny now..pick up the mutha fuckin. phone,. Betta stop playin' with a nigga's feelings like that,. You know how much i love u though rite?,. For them couple of seconds though,. When i couldn't get in touch with you.... I'm readyto come over your house and shoot that mutha. fucka up,. You better not fuckin be there when i get over that. house.. That's really how it goes down right?"
"i'll be missing you (feat. faith evans, 112)","Yeah, this right here goes out to everyone. who's lost someone that they truly loved..... Check it out..... Seems like yesterday we used to rock the show. I laced the track, you locked the flow. So far from hangin' on the block for dough. Notorius they got to know that. Life ain't always what it seem to be. Words can't express what you mean to me!. Even though you're gone we still a team. Thru your family I'll fulfill your dreams. In the future can't wait to see. if you'll Open up the gates for me. Reminisce sometime the night they took my friend. Try to black it out, but it plays again. When it's real feelings hard to conceal. Can't imagine all the pain I feel. Give anything to hear half your breath. I know you still livin' your life after death. Chorus:. Every step I take. Every move I make. Every single day. Everytime I pray. I'll be missing you. Thinking of the day. When you went away. What a life to take. What a bond to break. I'll be missing you. (We miss you, Big....). It's kinda hard wit you not around. Know you in Heaven smilin' down. Watching us while we pray for you. Everyday we pray for you. Till the day we meet again. In my heart is where I keep you friend. Memories give me the strength I need to proceed. Strength I need to believe. My thoughts, Big, I just can't define. Wish I could turn back the hands of time. Us and the six shop for new clothes and kicks. You and me takin' flics. Makin' hits, stages they receive you on. Still can't believe you're gone. Give anything to hear half your breath. I know you still livin' your life after death. Chorus. Every step I take. Every move I make. Every single day. Everytime I pray. I'll be missing you. Thinking of the day. When you went away. What a life to take. What a bond to break. I'll be missing you. Somebody tell me why.... One that morning. When this life is over. I know, I'll see your face. Every night I pray. Every step I take. Every move I make. Every single day. Every night I pray. Every step I take. Every move I make. Every single day. Every night I pray. Every step I take. Every move I make. Every single day. Every night I pray. Every step I take. Every move I make. Every single day. Refrão. Every step I take. Every move I make. Every single day. Everytime I pray. I'll be missing you. Thinking of the day. When you went away. What a life to take. What a bond to break. I'll be missing you"
diddy,"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~. Yeah. Its Bad Boy Baby. Neptunes. And We Wont Stop. (I LiKe ThAt). Cause We Can't Stop. Yeah. Let Me Tell You Something. ----------------------------------------. Sometimes I Rhyme Slow, Sometimes I Rhyme Quick. I Was On 1-2-5 And Saint Nich. Chillin' With This Chick. Named Tandalea. Was A Hot Girl And Everybody Wanted To Slay Her. She Wasn't Found Of Players. Only Wanted Ballers. To Spoil Her. Six Figures And Camcorde. So What You Trying To Tell Me Dear?. I Got Bentley, Benz Send In Mr. Belvedere. I Just Want To Blow Your Mind. I'm Talkin' Literally Blow Your Mind. My Repratoir Is Menage Trois. And Exotic Cars Chilling With The Hottest Stars. And It Ain't No Stopping This. I Can't Help It I'm An Optimist. And Am Gon Make Ya Head Bop To This. And At The End You Gonna Rock To This. Now Say My Name. .......................................................... *. SAY MY NAME JAO .*. The D The I The D The D The Y. The D The I The D. It's Diddy (HoLd Up) It's Diddy (ThAts CrAzY). It's The D The I The D The D The Y. The D The I The D. Its Diddy, (HoLd Up), It's Diddy (SaY WhAaT??). -------------------------------------------------. Ay yo, I came in the door. I said it before. I never let the ladiez hyptonize me no more. But, back to the manuscript. 'Cause I don't think you can handle this. From New York to Los Angles. I think the whole world scandalous. I'm just trying to keep the candles lit. Make the party people dance to this. Get out your seat and clap your hands to this. Cause I came too far. For me to be bouswar. It's a Bently to you, to me it's a blue car. So Branson pass me a jar. Cause these cats done went too far. One phone call send two cars. And still get searched by security guards. I guess that's what I have to do. Take the game international. Now what you call me. [Hook Repeat]. (La La La La La La La La La La La La). C'mon work it out girl. I'm trying to see you work it out girl. (La La La La La La La La La La La La). C'mon work it out girl. I wanna see you work it out girl. [Verse III]. Now hold up, stop, wait a minute. We don't stop we rock cause ain't a limit. My aim is winning. Got asian women. That'll change my linen. After I done blazed and hit em. But I just wanna rock wit you. And take it straight to the top with you. And do what I gots to do. If it's possible. Cause I ain't trying to stop you boo. I got an agenda. Got on a ninja. One wheelin' and killin' it not to offend ya. That's when I met this chick named Brenda. Tender, her whole body bend like fender. So let me see you shake it girl. I just wanna see you shake it girl. For the return of the don. The world in my palm. My mom calls me Sean. But y'all call me. [Hook Repeat]. (La La La La La La La La La La La). C'mon work it out girl. (La La La La La La La La La La La). I wanna see you work it out girl."
i need a girl part two,"[Ginuwine] Ooooh oooooo oooooh!!!. [P. Diddy] Yeah, this that bounce right here. [Ginuwine] Come On Now!!!. [P. Diddy] Time to move on, time to be strong. Don't stop now straight to the top now. [Ginuwine & Mario Winans]. Someone who truly understands, how to treat a man. This is what I need. [Verse 1: P. Diddy]. Girl you made me believe again. If you happy then be with him, go 'head mommy breathe again. Go 'head mommy breathe again, don't stop now straight to the top. Now. Go 'head mommy make it hot now. I need me a love that's 'gon make my heart stop now. And what I need is simple, five foot five with dimples. Potential wife credentials. Know about the life I'm into, life I've been through. And how I had a trifilin mental. So ride with me, G Force fly with me. Times get hard cry with me, die with me. White beach sands lye with me. My advice is forget the limelight. Let's make love, while we listen to Frank White. So tight, now I understand life. [Chorus: Ginuwine, Mario Winans & P. Diddy]. What I need. ([P. Diddy:] Yeah take that). Is a pretty woman next to me. ([Ginuwine:] A pretty woman yeah baby). To share the dreams that I Believe. ([P. Diddy:] Dream with me, believe in me). Maybe we could start a family. ([Ginuwine:] Start a family baby). Someone who truly understands, how to treat a man. This is what I need. [Verse 2: Loon]. Listen to me now what should I say now? Come on ma. Been a whole day now I wanna lay 'round. And sip coladas, dipped in Prada. I'm smooth as Erik Estrada, dipped in dollars. We out in Vegas Nevada, bubble bath in the champagne glass. 'Bout the size of a campaign ad. You don't know how you look to me. But if love was a crime you be a crook to me. Cause mommy I've done been around the world, seened alot of. Places. Been around your girl believe I read faces. I can tell she don't want me prevail. But I, learn my lesson watchin Sean bless it. So why listen to her and start guessin?. Mommy you ain't ready to ride to start dressin. I need a girl receive my mom's blessin. Confession, my love no contestin. I need affection. [P. Diddy] Yes I need affection, let's go Mario!. [Mario Winans]. Girl what the hell is on your mind. I could be dumb but I'm not blind. There's somethin leakin in your mind. Don't look to good for you and me, always did agree. That ain't what I need, baby!!!. [Ginuwine & Mario Winans]. What I need,is a pretty woman next to me. ([Mario Winans:] Oh please baby). To share the dreams that I Believe. ([Mario Winans:] I need a girl in my life). Maybe we could start a family. ([Ginuwine:] Start a family baby). Someone who truly understands, how to treat a man. This is what I need. [Verse 3: P. Diddy]. Ay yo the sun don't shine forever. But as long as were here then we might as well shine together. Never mind the weather, go somewhere and get our minds together. Build a love that a last forever. So let's stop the pain, stop the rain. Put, stress to rest girl stop the games. Name the spot, mommy I got the plane. Roll through rough, I got the range. Ma I got some thangs, knowned to put rocks in rings. Push a hundred foot yachts and thangs. Your man don't play, have you ever bee to Sandro Pe?. Or seened a brotha play Amando Lay?. Girl I wanna just, look in your eyes and watch the sunrise. No more lies, no more tears to cry. No more reasons for leavin, do I believe in?. Love you till the day I stop breathin, I love you girl. [Chorus: Ginuwine & Mario Winans]. What I need, is a pretty woman next to me. ([Ginuwine:] Standin next to me girl). To share the dreams that I Believe. ([Ginuwine:] When I wake up in the morning). Maybe we could start a family. ([Ginuwine:] I wanna see your pretty face, yeah). Someone who truly understands, how to treat a man. This is what I need. ([Female singer:] Is that all you want?). Is a pretty woman next to me. ([Female singer:] Made the sacrifice). To share the dreams that I believe. ([Female singer:] And maybe maybe we). Maybe we could start a family. Someone who truly understands, how to treat a man. This is what I need, is a pretty woman next to me. To share the dreams that I Believe. Maybe we could start a family. Someone who truly understands, how to treat a man. This is what I need"
angels,"Biggie:. Uh, uh, uh. Ain't no shook hands in brook-lyn. auto futigued then fitigue the enemy. look man you wanna see me locked up, shot up. moms crotched up over the casket screamin bastard. cryin, know my friends is lyin. I know who killed em' filled em with them lugers from they rugers on they deserts. dyin' aint the shit but it's pleasant kinda quiet watch my niggas bring the riot. Diddy:. Came from the heavens just to sing a song for you. To the rythym of my love for you, and now it's beating slow, and you know. this the end of the road when I sing this slow song for you you. And love was nothin but another gun for you. And I would hide it in my hopeless soul. I'm not afraid to go down the road where we go, I don't know, you can hear them callin, don't you, when the angels call like. Chorus: Diddy/Dawn. yoooooooooooo. if you don't wanna stay you can goo. but since love don't live here no more. the angels are flying so low, singing to you (don't you hear me callin you). he's the one you love (cause I hear them callin me). and he's the one you trust (now that time is almost through). time is runnin out (there's nothin left to do). when they're callin you. When the angels call like (I answer). Verse 2:. Calling, for you, I will tell the angels now. let them turn back in to stone. I do, love you, it's true. fire, climbing. we ignore the angels call. they were warnings after all. it's cool, if I, pick you. when the angel's call like. Chorus: Diddy/Dawn. yoooooooooooo. if you don't wanna stay you can goo. but since love don't live here no more. the angels are flying so low, singing to you (don't you hear me callin you). he's the one you love (cause I hear them callin me). and he's the one you trust (now that time is almost through). time is runnin out (there's nothin left to do). when they're callin you. When the angels call like (I answer). Biggie:. Uh, uh, uh. Ain' no shook hands in brook-lyn. auto futigued then fitigue the enemy. look man you wanna see me locked up, shot up. moms crotched up over the casket screamin bastard. cryin, know my friends is lyin. I know who killed em' filled em with them lugers from they rugers on they deserts. dyin' aint the shit but it's pleasant kinda quiet watch my niggas bring the riot. . By Junior Dom"
i don't wanna know,"I just can't believe this man. This is another night of these thoughts. Can't get this outta my head, yeah. Somebody said they saw you. The person you were kissing wasn't me. And I would never ask you. I just kept it to myself. [Refrão]. I don't wanna know. If you're playin' me, keep it on the low. Cuz my heart can't take it anymore. And if you're creepin', please don't let it show. Oh baby, I don't wanna know. Oh baby. I think about it when I hold you. When looking in your eyes, I can't believe. I don't need to know the truth. Baby, keep it to yourself. Repeat *. Did he touch you better than me. Did he watch you fall asleep. Did you show him all those things. That you used to do to me. If you're better off that way. Baby all that I can say. So you do your thing. And don't come back to me. [Puffy]. I don't wanna know your whereabouts or how you movin. I know when you in the house or when you cruisin. Its been proven, my love you abusin. I can't understand how a man got you choosin (yeah). Undecided I came and provided, my undivided. You came and denied it (why?). Don't even try it, I know when you lyin (I know when you lyin). Don't even do that. I know why you cryin (stop cryin). I'm not applyin no pressure, just wanna let you know. That I don't wanna let you go (I don't wanna let you go). And I don't wanna let you leave. Can't say I didn't let you breathe. Gave you extra cheese (c'mon) put you in the Suv. You wanted ice so I made you freeze. Made you hot like the west indies (that's right). Now its time you invest in me. Cause if not then its best you leave. Holla yeah. [Refrão]"
"victory (feat. the notorious b.i.g., busta rhymes)","Intro: Notorious B.I.G.. One, one two. Check me out right here to. Verse One: Puff Daddy. Yo, the sun don't shine forever. (Big: You can turn the track up a little bit for me). But as long as it's here then we might as well shine together. (Big: All up in my ears). Better now than never, business before pleasure. (Big: The mic is loud, but the beats isn't loud). P-Diddy and the Fam, who you know do it better?. Yeah right, no matter what, we air tight. (Big: Yeah!). So when you hear somethin, make sure you hear it right. Don't make a ass outta yourself, by assumin. (Big: Yeah! Now the mic is lower, turn the mics up). Our music keeps you movin, what are you provin?. (Big: Turn that shit all the way up, yeah). You know that I'm two levels above you baby. (Big: Music's gettin louder). Hug me baby, I'ma make you love me baby. (Big: This shit is hot!). Talkin crazy ain't gonna get you nuthin but choked. (Big: Uh-huh, uh-huh, uh-huh). And that jealousy is only gonna leave you broke. So the only thing left now is God for these cats. And Big you know you too hard for these cats. I'm a wing cause I'm too smart for these cats. While they makin up facts (uhh) you rakin up plats. Verse Two: Notorious B.I.G.. In a Commision, dont ask for permission to hit em. He don't like me, him and wild wifey was wit em. You heard of us, the murderous, most shady. Been on the low lately, the feds hate me. The sun is ... (blurred) ... they say my killin's too blatant. You hesitatin, I'm in your mama crib waitin. Duct tapin, your fam destiny. lays in my hands, gat lays in my waist. Francis, M to the iz-H phenominal. Gun rest under the vest by the abdominal. hum a few bars so I can buy a few cars. And I kick a few flows so I can pimp a few hoes. Excellence is my presence, never tense. Never hesitant, leave a nigga bent real quick. Real sick, brawl nights, I perform like Mike. Anyone -- Tyson, Jordan, Jackson. action, pack guns, ridiculous. And I'm, quick to bust, if my ends you touch. Kids or girl you touch, in this world I clutch. Two auto-matoes, used to call me fatso. Now you call me Castro, my rap flows. militant, y'all faggots ain't killin shit. Ooops Cristal keep spillin shit, you overdid it homes. You in the danger zone, you shouldn't be alone. Hold hands and say it like me. The mo shady, Frankie baby, fantastic. Graphic, tryin to make dough, like Jurassic. Parked in quick to spark kids who start shit. See me, only me. The Underboss of this holocaust. Truly yours, Frank White. Chorus: Busta Rhymes. We got the real live shit from front to back. To my people in the world, where the fuck you at?. Where my niggaz is at? (2x). Where the fuck my bitches at?. Where my bitches is at?. (repeat all 2x). Verse Three: Puff Daddy. Put your money on the table and get your math on. Break it down, split it up, get your laugh on. See you later Dog, I'ma get my stash on. There's a bed full of money that I get my ass on. I never lose the passion to go platinum. Said I'd live it up til all the cash gone. Ain't that funny, only use plastic, craft it. to make classics, hotter than acid. P-D, rollin on your tape or Cd. The girl-boy killa, no team illa. The Fam-o, ammo, is every channel. been hot for a long time burnin like a candle. What you can do is check your distribution. My songs bump in Houston like Scarface produced em. You ain't gotta like me, you just mad. Cause I tell it how it is, and you tell it how it might be. Verse Four: Notorious B.I.G.. We got the shit, Mac tight, brass knuckles and flashlights. The heatas n the two-seaters, with two midas. Senoritas, kiss rings when you meet us. P-Diddy run the city, show no pity. I'm the witty one, Frank's the crook from the Brook'. Matty broke the neck of your coke connect. No respect squeeze off til all y'all diminish. Shootouts for twenty minutes, until we finish. Venice took the loot, escaped, in the Coupe. Break bread, with the kids, Peniro, sheek loops. Black Rob joined the mob, it ain't no replacin him. Niggaz step up, we just macin them. placin them in funerals, criminals turned aroused. The Brick City, nobody come off like P-Diddy. Business rise, I play men. Hide money on the Island Cayman, y'all just betray men. You screamin, I position, competition. Nother day in the life of the Comission. Chorus 2x w/ Puff talking. Aiyyo, can you hear me out. there?. Aiyyo turn me up, nobody. can hear me out there. That's good, it's all fucked. up now. Y'all know it's all fucked. up now right?. What the fuck y'all gonna. do now?. What I'ma do now?. Can y'all hear me out there?. Can y'all hear me out there?. (?) Fuck y'all niggaz wanna do. It's all fucked up now. What I'ma do now, huh?. What I'ma do now. It's all fucked up now"
i love you baby,"Verse One: Black Rob. I met her uptown on Dikeland, to heighten. Talkin that, how she only dealt with businessmen. Niggaz baggin joints, money off and on the books. The ones who stand firm like gate, nuttin shook. about them, I doubt them cats waitin for me. You know them niggaz, them big dudes across the street. She say, ""Yeah, they from over on Mayfair"". Bullets from out of nowhere, told her to stay there and duck down. I hit the ground but managed to pull a piece out. This bitch over them with them pointin the chief out. They want beef out here, they gon' get it. in the worst way, I'ma show em how Black play. Roll the dice, fuckin with me is like snake eyes. I break guys, sit back and watch my cake rise. It's all about the Benjamins, true that be the motto. Ran out of ammo and started, throwin bottles. Runnin, and I ain't lookin back for shit. Crooked ass bitch, today I get you back for this. (I'll get you back). Chorus: repeat 2X. I love you baby. No you don't. You drive me crazy. That's right. I'll never betray thee. Uhh. I love you baby. C'mon. Verse Two: Black Rob (starts rapping during the chorus). Yo since the last altercation I been goin to street. Seein honey at the club ery week and I speak. I'ma rock that ass to sleep before I strike. I ain't know the real deal until last night. How, one of them brothers was locked with bankroll. Used to call my crib to see seventy-four. Kick rhymes over the phone for hours he had the dac. babe bro told him, 'You wanna get money, see Black. when you get home', we never had chance to get up. And wouldn't have, if his gun had left me hit up. He'd explain how his whole crew was slappin honey. Besides all that, she owed them cats a lot of money. Funny how it's a small world, baby girl. Youse about to get, fucked with no jail. I'ma sit back and watch this cake finish bakin. And plan your extermination, word. Chorus. Verse Three: Puff Daddy. It took a while to peep your style, Miss I-be-in-workin. Low profile single, house in Staten Island. and Manhattan while, them same cats. you sent to get me boo, is on they to get you. Fuckin witchu, that small time crack dealin nigga. He a bitch too, they gon' bust his shit too. Shit's real, you think you gonna set me up. And get away scot free without some type of injury. Nah kill it, I'ma flip the script on you. Same thing you did to me, I'ma do it to you. Who knew she was the female Rambo. Fill one of they chest with four soon as he came in the door. Life is out, snuffed all they mans in. In the end, she had to be the Last Bitch Standin. Not for long the buck the forty-four strong. Just like that she was gone, now it's over. Assumin I'll go back to my everyday life. Of a rich millionaire just rockin the mic. Gotta pause, and think about honey no doubt. and admire how the chick went out. Chorus: repeat to fade."
"been around the world (feat. the notorious b.i.g., mase)","Intro: Mase. Yo yo, this Mase, youknowhati'msayin?. You got niggaz that don't like me for whatever reason. You got niggaz that don't wanna see me rich. You got niggaz that's mad, cause I'm always with they bitch. Then you got niggaz that just don't like me. You know, the, those P.H.D. niggaz. But you know I pop a lot of shit but I back it up though. see it's a difference, a lot of niggaz pop shit. But a lot of niggaz don't make hits. But it's like this whole Bad Boy shit. we come to bring it to y'all niggaz, me, B.I., Puff, Lox, whoever. Black Rob. If you wanna dance, we dance. Verse One: Mase. Now trick what? Lace who? That ain't what Mase do. Got a lot of girls that'd love to replace you. Tell you to your face Boo, not behind your back. Niggaz talk shit, we never mind that. Funny, never find that, Puff a dime stack. Write hot shit, and make a nigga say, 'Rewind that'. Niggaz know, we go against the Harlem Jigalo. Getcha hoe, lick her low, make the bitch, hit the do'. I represent honies with money fly guys with gems. Drive with the tints that be thirty-five percent. Hoes hope I lay so I look both ways. Cop says, 'Ok, my tint smoke gray'. No way, nigga leave without handin me my shit. Got plans to get my Land and my 6. Niggaz outta pen'll understand this shit. Pop champagne like I won a championship (uhh, uhh). Chorus: sung by Notorious B.I.G.. spoken words by Puff. Been around the world and I I I. And we been playa hated [say what?]. I don't know and I don't know why. Why they want us faded [ahehe]. I don't know why they hate us [yeah]. Is it our ladies? [uh-huh]. Or I drive Mercedes [uhh, uhh]. Bay-bee bay-Bee!. Verse Two: Puff Daddy. I was in one bedroom, dreamin of a million (yeah). Now I'm in beach houses, cream to the ceiling (that's right). I was a gentleman, livin in tenements. Now I'm swimmin in, all the women that be tens (hoo). Went from Bad Boys to the Crushed Linen Men. Now my divi-dends be the new Benjamins (uh-huh). Hoes of all complexions, I like cinnamon. Mase you got some hoes well nigga, send em in (c'mon). What you waitin for, let the freak show begin. How they came in a truck? (Mase: Nah Puff, that's a Benz). Mercedes, c'mere baby, you don't like the way. it's hot and hazy, never shady, you must be crazy. It's ridiculous, how you put your lips on this. Don't kiss right there girlfriend I'm ticklish (heheh). And I be switchin fees with a wrist full of G's. Nigga please, I'm the macaroni with the cheese. Chorus. Verse Three: Puff Daddy, Mase. Now Puff rule the world, even though I'm young. I make it my biz to see that all ladies come (yeah). Get em all strung from the tip of my tongue. Lick em places niggaz wouldn't dare put they faces (c'mon). Before I die, hope I, remake a flow by. In the brand new treasure on a old try. Now when my third dry, even when the smoke lie. Eat the mami chochi and drive a low-ride. We never ride far, packed five in a car. Save money for the drinks, I'm about to buy the bar (yeah). And everywhere I drive I'm a star, little kids. all on the corner scream, 'That's my car!'. It was days couldn't be fly, now I'm in a T.I.. Come in clubs with B.I., now a nigga V.I. (uh-huh). Rock tons of gold, nuff money I fold. Roll the way you wanna roll, break a hundred out the toe. Chorus w/ slight modifications. line 1, Puff: C'mon, yeah. yeah, uh-huh. line 2, Puff: We been playa. hated!. line 3, Puff: Why?. line 4, Puff: Why they want. us hated!. line 5, Puff: Why they hate. us?. line 6, Puff: Is it our. ladies?. line 7, Puff: Say what?. line 8, Puff: Yeah, bay-bee. bay-Bee!. Chorus w/ Puff talking while B.I.G. sings. You know, sometimes I gotta. ask myself. Why's there so much jealousy. in the world?. Don't look at mine, get. yours. (music fades). Radio Show from B.I.G.'s album continued:. Ok after these messages we'll be back with. the Mad Rapper and his brother the Mad Producer, after this. *applause*. Ok just sit back, relax, and enjoy yourself. We'll get you through this. Take a sip of water, deep breath, that'll do it. And welcome back as you can see (You got the check though?). I'm Trevor Jones and I'm sitting in. I've been conversing with the Mad Rapper (Did you get the check though?). and he's still pretty mad. But, this time he brought someone else with him. and quite frankly (yeah yeah) he's even madder (You god damn right!). Mr. Producer (yo, youknowhati'msayin) why are you so mad?. Yo, Iiiiiii, I'ma I'ma keep it real simple for you. Yeah t-t-t-t-t-tell them. niggaz why you mad son!. Tell them niggaz why you. mad son!. (Ok, gentlemen please, one at a time). Tell em why you mad son,. word up, tell em why you mad son!. Youknowhati'msayin? Iiiiiii, Iiiiiii be I be I been. I been, I been here for the culture, youknowhati'msayin?. I don't, I don't, I don't, I don't. I don't be recognizin all that new jack shit. Yo we don't play, we don't. play that shit youknowhati'msayin?. (Please Mr. Producer, explain yourself, Mr. Rapper, please calm down). That nigga be on some bullshit, youknowhati'msayin?. We ain't, we don't do that. shit, word, yeah. He ain't no real producer neither. And then come to find out youknowhati'msayin. My brother hipped me to it, the nigga tryin to rap now!. Oh yeah, that's the shit. that got me mad!. (Please, Mr. Rapper, once again). That's the shit that got. me mad!. That's the shit, youknowhati'msayin?. (It's a family oriented show). Youknowhati'msayin?. That's the shit that feds me up. (Gentlemen, please). Word up, youknowhati'msayin?. (Disregard the foul language). I'm watchin this nigga video. youknowhati'msayin?. They got mermaids swimmin. in they living rooms and shit. like that youknowhati'msayin?. This nigga dancin in the. rain with kids climbin up mountains and shit. Youknowhati'msayin?. I'm I'm I'm watchin this. nigga video. (I'm gonna have to ask you to refrain from the language). the car goin two hundred. miles an hour. Where The Fuck Is He Goin?!. (Please Mr. Rapper, please refrain from the foul language). The nigga climbin out the. fuckin car!. (One more time). Let me see you try that. shit on a train!. Youknowhati'msayin?. Try that shit on a fuckin train. What kind of shit, youknowhati'msayin?. Got a thousand niggaz write. for him, let Me write for you. Son my shit is jumpin, I. got John Blaze shit..."
can't nobody hold me down (feat. mase),"(Puff) Bad Boy... we ain't gon' stop. Verse One: Mase. Now with Sean on the hot track, melt like it's hot wax. Put it out, all the stores, bet you could shop that (that's right). Leave a nigga with a hot hat, fronting like. Bad Boy ain't got tracks (nigga stop that). There's no guy slicker than this young fly nigga. Nickel-nine nigga, floss you die quicker (uh-huh). This fed time outta town pie flipper. Turn Cristal into a Crooked I sipper. Everbody want to be fast, see the cash. Fuck around they weak staff, get a heat rash. Anything in Bad Boy way we smash (we smash). Hundred G stash, push a bulletproof E-Class (ehehe). I'm through with bein a player and a baller. Just want me one bad bitch so I can spoil her. Mase wanna be the one you respect, even when you're vexed. Rock Versace silks over spilled v-neck. Got green never seen so you suck my jewels. Clutch my uz', anything I touch I bruise. Puff make his own laws, nigga fuck your rules (that's right). Goodfellas, you know you can't touch us dudes. [Puff] Don't push us, cause we're close to the, edge. [Puff] We're tryin, not to lose our heads, a-hah hah hah hah. Verse Two: Mase. Broken glass everywhere *glass shatters*. if it ain't about the money, Puff, I just don't care (that's right). I'm that Goodfella fly guy, sometimes wiseguys. Spend time in H-A-W-A-I-I. (Mase can you please stop smoking lah lah?). Puff why try? I'm a thug, I'ma die high. I be out in Jersey, puffin Hershey. Brothers ain't worthy to rock my derby. Though I'm never drugged, I'm the venom in the club, G. Though I know the thug be wantin to slug me (uh-huh). Could it be I move as smoove as Bugsy? (yeah). Or be at the bar with too much bubbly? (c'mon). Yo I think it must be the girls want to lust me. Or is it simply the girls just love me. Brothers wanna: rock the Rolls, rock my clothes. Rock my ice, pull out Glocks, stop my life (uhh). I'm like, ""Damn, how these niggaz got they trust?. Used to be my man, how you gonna plot on my wife?"". Do you think you snake me, cause they hate me?. Or he got his Ph.D Player Hater's Degree? (Ahaha!). Chorus: Mase, Puff Daddy. [Mase] Can't nobody take my pride. [Puff] Uh-uh, uh-uh. [Mase] Can't nobody hold me down... ohh no. [Mase] I got to keep on movin. Verse Three: Mase. Quit that! (uh-huh) You a big cat? (yeah). Where your chicks at? (yeah) Where your whips at?. (where dey at?). Wherever you get stacks, I'ma fix that. Everything that's big dreams, I did that (that's right). Don't knock me cause you're boring. I'm record sales soaring (*whistling*) straight touring. Simply a lot of men be wantin to hear me. cause their words just don't offend me (uh-uh, uh-uh). We spend cheese, in the West Indies. Then come home to plenty cream Bentleys (ahehe). You name it, I could claim it. Young, black, and famous, with money hangin out the anus. And when you need a hit, who you go and get? (who?). Bet against us? (Not a sure bet). We make hits that'll rearrange your whole set (that's right). and got a Benz that I ain't even drove yet. [Mase] Don't push us, cause we're close to the, edge. [Mase] We're tryin, not to, lose our heads, a-hah-hah-hah-hah. [Mase] I get the feeling sometime, that make me wonder. [Mase] Why you wanna take us under. [Puff] Why you wanna take us under. (repeat 2x). Chorus: repeat to fade"
