one wish,"Damn baby. Just don't understand where we went wrong. I gave you my heart. I gave you my soul. I gave you. As a matter of fact I was the one who said I love you first. It was about eight years ago, don't act like you don't know. We were sittin' at home in your mama's livin' room. Cause, we couldn't be alone. See your mama knew I was something else. she knew how I felt. Back then we were in school. and that's your favourite excuse. Growin' up I was a fool. and I can't lie I'm missing you. Listen and don't trip. I think I need a bottle with a genie in it. Here's my wish list. First one, I would create a heart changing love. Second one, I'll take yours and fill it all up. Third one, but I don't need a lot of wishes. cause I'll be okay if I get one. If I had one wish, we would be best friends. Love would never end, it would just begin. If I had one wish, you would be my boo. Promise to love you, trust me I'll trust you. If I had one wish, we would run away. Making love all day, have us a baby. If I had one wish, I'd make you my all life. And you'd be my wife, make it right this time. If I had one wish. One wish, one wish, one wish. One wish, one wish, one wish. One wish, one wish, one wish. One wish, one wish, one wish. Now tell me is this the only way. I can get you right back in. If so then searchin' I'll go, then I can have you for sure. Then you'll be loving me, holding me, kissing me. So girl don't tell me what I'm feeling is make believe. I swear if I lose a second chance with you. I wouldn't know what to do. I'd probably check myself into some kind of clinic. I couldn't be alone because without you I'm sick. Here's my wish list. First one, I would create a heart changing love. Second one, I'll take yours and fill it all up. Third one, but I don't need a lot of wishes. cause I'll be okay if I get one. If I had one wish, we would be best friends. Love would never end, it would just begin. If I had one wish, you would be my boo. Promise to love you, trust me I'll trust you. If I had one wish, we would run away. Making love all day, have us a baby. If I had one wish, I'd make you my whole life. And you'd be my wife, make it right this time. If I had one wish. I don't even know how we ended upon this road. And, even though we are grown. Girl I just want you to know. If I had one wish, we would be best friends. Love would never end, it would just begin. If I had one wish, you would be my boo. Promise to love you, trust me I'll trust you. If I had one wish, we would run away. Making love all day, have us a baby. If I had one wish, I'd make you my whole life. And you'd be my wife, make it right this time"
love you from my heart,WELL I KNOW I'M ONLY 16. BUT INSIDE YOU MEAN THE WORLD TO ME. I KNOW I MAY BE YOUNG TO YOU. BUT THERE'S NOTHING THAT I WOULDN'T DO. SEE I'VE HAD ROMANCE. GIRL I'M VERY SMART. I MUST HAVE LEARNED IT MUCH TOO SOON BABY. BECAUSE I'M TORN APART. HOOK:. AND BABY YOU DON'T. YOU DON'T EVEN SEE ME. ALL YOU SEE IS A YOUNG ONE. BUT I LOVE YOU ENDLESSLY. AND NO OTHER MAN. IS GONNA LOVE YOU THE WAY I DO CUZ' I LOVE YOU FROM HEART. CHORUS:. IT DON'T MATTER HOW OLD I AM IF I LOVE YOU FROM MY HEART. IT WOULD BE EASIER IF YOU FEEL THE SAME WHEN I LOVE YOU FROM MY HEART. I DON'T UNDERSTAND IF I'M A MAN WHAT'S KEEPIN US APART. CUZ' IT DOESN'T MATTER HOW OLD I AM IF I LOVE YOU FROM MY HEART. I CAN SEE IT IN YOUR EYES. I FEEL THE WAY YOU LOOK AT ME. AND I'M NOT SURPRISE CUZ' I'M EVERY BIT OF WHAT YOU NEED. SO WHAT YOU GONNA DO. YOU BETTER HURRY GIRL BEFORE I'M TAKEN. GAMES OVER MY LOVE YOU LOSE. CUZ' I'M SO TIRED OF WAITING. REPEAT HOOK
sexy can i,"Sexy Can I - Ray J. (Feat. Yung Berg). Sexy can I. Yeah, Yeahhh. All we wanna know is..... [Chorus:]. Sexy can I, just pardon my manners.. Girl how you shake it, got a playa like (ohhhh). It's a kodak moment, let me go and get my camera. All I wanna know is, sexy can I.. Sexy can I, hit it from the front,. then I hit it from the back.. know you like it like that.. then we take it to the bed, then we take it to the floor. then we chill for a second, then were back at it for more. Sexy can I, just pardon my manners.. Girl how you shake it, got a playa like (ohhhh). It's a kodak moment, let me go and get my camera. All I wanna know is, sexy can I.. [Young Berg:]. Lil mama, it's ya boy Youngin. G5 dippin, lui vuitton luggage (ay). Gotta love it, ya boy so fly. All the ladies go (ohhh) when a nigga go by.. Gucci on the feet, Marc Jacob on the thigh. She wanna ride or die with ya boy in the shi.. That's right, so I let her kiss the prince. so boyfriend, she ain't missed him since.. [Ray J:]. Sexy can I, just pardon my manners.. Girl how you shake it, got a playa like (ohhhh). It's a kodak moment, let me go and get my camera. All I wanna know is, sexy can I.. Sexy can I, keep it on the low.. Got a girl at the crib, we can take it to the mo-mo.. You can bring a friend, or you can ride solo.. Let me get my camera, so we can take a photo.. (Oh,ohh,ohh) Now look shawty, look shawty.. Baby when we make love it's like, (Oh,ohh,ohh). (I don't know what your man is like but shawty all I want to know is). sexy can I.. Sexy can I, visit you at work. When you sliding down the pole,. no panties, no shirt.. Then you climb back up the pole,. then you drop and do the splits.. How you make that booty talk,. Baby damn, ???. (Oh,ohh,ohh) Now look shawty, look shawty.. I make it rain in the club like (Oh,ohh,ohh). (I don't know what your man is like but baby all I want to know is). Sexy can I. Sexy can I, just pardon my manners.. Girl how you shake it, got a playa like (ohhhh). It's a kodak moment, let me go and get my camera. All I wanna know is, sexy can I.. Young Berg:. I don't care who's ya boy hittin, or who Ray's melon. When I give it to her, i know that she ain't tellin'. See i'm a go getta and she a go getta. You already know she.... (Sexy can I). Sexy can I sing for you red-eye. Fresh out the pool no towel. just let it air dry.. And if you ain't .. tonight. Man you can watch that tour bus go by. [Chorus:]. Sexy can I, just pardon my manners.. Girl how you shake it, got a playa like (oh baby). It's a kodak moment, let me go and get my camera. All I wanna know is, sexy can I.. Sexy can I, hit it from the front,. then I hit it from the back.. know you like it like that.. then we take it to the bed, then we take it to the floor. then we chill for a second, then were back at it for more. Sexy can I, just pardon my manners.. Girl how you shake it, got a playa like (ohhhh). It's a kodak moment, let me go and get my camera. All I wanna know is, sexy can I."
what i need,"""What I Need"". [Intro]. Yea..i been tryna get away... But its just something about u thats pullin me back in.... Ya know?. [chorus]. ..girl ya what i need... And i cant even front im wildin out... Planin on you can calm me down... You make it alright when your around... Girl you what i need. [verse]. ..i know ...u think.... Im just saying.... All these things cause your here now... And i know what your thinkin... If this is true...then why didnt i do..... All these things when i had you... [bridge]. Its because i knew... You had quite enough... But i feel brand new..and im fessin up... [chorus]. Girl you what i need ... And i cant even front im wildn out... Planin on u can calm me down... you make it. alright when your around... Girl you what i need ... and u now that your all i think about... plannin on we can work it out... Im tired of the games stop playin around... Girl you what i need.. [verse]. ..the first time i got caught up.... I swear it wasnt even in my plans..I..got caught up in some how...and i dont know what i was thinkin.... but thats back in 02..in 04..im brand new...in 05 wont be seen without you.. [bridge]. its because i knew you had quite enough... But i feel brand new..and im...fessin up... [chorus]. girl you what i need... And i cant even front im wildin out..planin on u can calm me down... You make it alright when your around.... Girl you what i need... and u know that your all i think about... Planin on we can work it out.. [breakdown]. ..let me take you ova this bridge.... so wont you tell me..... that were not supposed to be ... and that im not ready... to give you what u need.... so wont you tell me.... Theres no way that u could be... more than in love with me... cuz your all that i need...whoooooo.... [chorus]. girl you what i need... And i cant even front im wildn out... Plannin on u can calm me down... You make it alright when your around... Girl your what i need... and u know that your all i think about... Plannin on we can work it out... I'm tired of tha games stop playin around... Girl you what i need. [x2]. (i been wildn in tha club screamin r&b and thug.... But I dont wanna live that life no more!)....... Girl you what i need!!...... Girl you what i need! [fade out]. . by /*Pri*"
all i feel,"Knock Out. DogChild. Years and feelings. Hopes and wishes. How many of them we share. How many of them we dare. To show, to Grow. Promise not let it go. Now look, what we become. So gone now. And I don't even get it. How a love like ours. Ccould fall apart. In one minute. I'm sleeping. In a happy home. The next minute. I'm walking out. An open door. And I'm driving down. The rear way. Swerving off. Trying to get. Myself together. Hoping I don't cry. Wanting to be together. But this feeling. Getting worse. Oh, I never thought. I ever feel this hurt. Now it's all I feel. It's all I feel. So I'm hoping like hell. That it ain't 4real. Now it's all I feel. It's all I feel. Wishing that it ain't. Bbut I know that it is. 2 days ago. I felt like a star. 2 hours ago. Just lost my heart. Now it's all I feel. It's all I feel. It's all I feel. It's all I feel. Now I remember. When I first knew ya. And I was all. That had on your mind. Did I ever mean. Anything to ya. Or was I just something. You did to pass the time. Cause now. You won't hear me out. You ain't even tryin'. To work it out. But I ain't going back. And even though. I'm scared. I got too much pride. So I'm in my ride. And I'm driving down. The rear way. Swerving off. Trying to get. Myself together. Hoping I don't cry. Wanting to be together. But this feeling. Ggetting worse. Oh, I never thought. I ever feel this hurt. Now it's all I feel. It's all I feel. So I'm hoping like hell. That it ain't 4 real. Now it's all I feel. It's all I feel. Wishing that it ain't. But I know that it is. 2 days ago. I felt like a star. 2 hours ago. Just lost my heart. Now it's all I feel. It's all I feel. It's all I feel. It's all I feel. What you gonna do. When you miss my love?. I guarantee. That you're. Gonna miss my love. I thought. What we had was real. And the pain. Is all I feel. What you gonna do. When you miss my love?. I guarantee. That you're. Ggonna miss my love. I thought. What we shared was real. And the pain. Is all I feel. So I'm driving. And I'm driving down. The rear way. Sswerving off. Trying to get. Myself together. Hoping I don't cry. Wanting to be together. But this feeling. Getting worse. Oh, I never thought. I ever feel this hurt. Now it's all I feel. It's all I feel. So I'm hoping like hell. That it ain't 4 real. Now it's all I feel. It's all I feel. Wishing that it ain't. But I know that it is. 2 days ago. I felt like a star. 2 hours ago. Just lost my heart. Now it's all I feel. It's all I feel. It's all I feel. It's all I feel"
changes,"[Bridge:]. If I ever give you all of me (if I ever). Just a piece of me that you can see. Will you ever make a change for me?. A change in you is a change for me, baby. [Verse 1:]. I said you ought to make a change. Find a way to love yourself. Open up your heart and mind. In there, you will find. The key to a new life. [Chorus:]. The words ""I'm sorry"". Are said a thousand times. But what's it going to take. For you to change your life around?. If you truly want to be happy. Then recognize in yourself. There's a true gift from life. The truth in life. It just a piece of me that you can see. Will you ever make a change for me?. Change in you is a change for me (oh yes). [Verse 2:]. Take a longer look at yourself. Find the hidden truth and let it exhale. Let me lead the way (uh oh oh oh). Can you evasion all the things that I see? (oh oh)."
let's play house,"""Let's Play House"". A girl. i got a game to play its called. house hahaha. [verse 1]. from the first day that i met ya knew that you was independent always pushin up in yo whip. always payin for all yo own shit (girl). cuz you know that its all about (you got it goin on). ever since we been together our whole life's been so much better. and for that i wanna thank ya. lord knows i appreciate you girl. baby you know the truth girl you so beautiful the way i feel each time we kiss if you only knew. lets build a cottage with the white picket fences (baby). we'll have some children (after) well settle down the two of us. put that on everythang my car my house my name. if theres anything you ever need please dont hesitate. [chorus]. come with me girl lets play house. you could be the mommy let me be the daddy (yay yay). i would be the perfect spouse. bout ready to settle down and start a family (yea yea). come with me girl lets play house. you could be the mommy i could be the daddy (yay yaye). i would be the perfect spouse. bout ready to settle down. [verse 2]. here for the long run. this aint no short term. i'll still remain loyal you even when your backs turned. girl i am here to stay. just like that dark stain on your white carpet. i wont go away! (forever and a day). im so excited and the temperatures risin. no need dont try to fight it. we should just realize that we're in LOVE. put that on everythang my car my house my name if there's anything you ever need please dont hesitate. [chorus]. come with me girl lets play house. (girl) you could be the mommy and i can be the daddy (yaye yay). i would be the perfect the spouse. bout ready to settle down and start a family now (yea). come with me girl lets play house (you can be the mommy) i would-be-the-daddy-girl. i would be the perfect spouse. bout ready to settle down (down). [breakdown]. let me be the one you need. lovin you is necessary. everybody needs a shoulder to cry on and for you i'll be the one you rely on. [chorus]. come with me girl lets play house. you could be the mommy and i can be the daddy (yay yea). i would be the perfect spouse. (ohhhh). bout ready to settle down and start a family with cha (baby). come with me girl lets play house. i wanna come home and see how ya days been goin (girl). i would be the perfect spouse. you see im bout ready to settle down (girl). [breakdown]. let me be (let me be). the one you need (the one you need). lovin you (lovin you). is necessary (is necessary). (let me be) let me be. (the one you need) all you need (lovin you is necessary). (wanna eat yo cookin'). is necessary (let ya cook for me) let me be the one you need. wanna lay there wit ya baby wanna be there for ya baby lovin you so crazy yea yea yea yea let me be the. one you need im gonna be there for you anytime you need me baby. . by /snipes_"
raydiation,[Beat]. Yea welcome to my life (raydiation). city of carson thats where i grew up (yea). thats where i knew of (the view) thats all i knew of (yea). in kindegarten until i got out of skoo i started to hang with the fools i went from here to bad news.. then ma sister started to blow up i saw the money just go up but i hardly saw her and my mother i used to. hang round the corner i felt like i was a loner but i got love for my homies. i started changin flirtin with gang bangin had the hook up on ol' skoo so everyday i was out hangin and. then i heard gun shots they aimin at my head and thats when the fun stopped cuz next i might be dead i. called my mama on the phone said this is your son i need some help im in a whole lot of trouble and cant. get through by myself they shot out a plane and flew me out no doubt i said goodbye to my friends then. disappeared in the clouds they told me ray j you gotta turn yourself around now or throw it all away and. lay six feet in the ground. im totally focused i gotta move forward i hear my callin this time i just wont ignore it into the future. throw all the past and then you came and you can grow....
143,"Intro “Knockout, Ray J, Bobby Brackins yeah”. 143 I’ll make you yell it when we sexin, 143 is what you send me when we textin, I ball ba ba ball and pop pa pop bub, I’m just looking for some love in the club. 143 I la la la love you x4 143!. Ride with a stunna you know that I’m winning, headed to the top I ball no 9th inning, pop bottles in the club yes we can, I don’t even care if you a lesbian, that just means we got some common interest, spark my trees then I’ll spark your intrest. Okay… Let’s pop some bubbly, tell me you in love with me, no golf but club with me, I’m big like double D’s. Poppin in cities I aint heard of, let me see your titties, baby pull that shirt up, lift that skirt up got buns like a burger, do the most not the minimum you not a wage worker.. 143 I’ll make you yell it when we sexin, 143 is what you send me when we textin, I ball ba ba ball and pop pa pop bub, I’m just looking for some love in the club. 143 I la la la love you x4 143!. Call up your local station if you hear this on the radio, I’m calling up Ray J thinking about the video. If we make a video I’ma need a scene, with dimes in t-shirts that say 143! I got my video all on t.v (wa wa what’s next Bob) we gone drop the E.P. Throwing dubs in the club, at the dance club, or at the strip club, it’s 143 love. Or settle at a playa location, made another hit for the radio station. 143 to the cutie from the club, stick shift love 143 so clutch.. Pre-hook ” 143 e e (aye what it do), 143 e e (aye what it do), 143 e e (aye what it do), when you see me in the club say I love you.. 143 I’ll make you yell it when we sexin, 143 is what you send me when we textin, I ball ba ba ball and pop pa pop bub, I’m just looking for some love in the club. 143 I la la la love you x4 143!. My girls a mack mack mack, Lambo’s all black black black, in the club with stacks stacks stacks, 143 stay it back back back, 431 Sexy can I, fall in love Sexy can I, run the club, 143 eeeeeeee girl I looooovve youuu.. 143 I’ll make you yell it when we sexin, 143 is what you send me when we textin, I ball ba ba ball and pop pa pop bub, I’m just looking for some love in the club. 143 I la la la love you x4 143!. Contribuição: Rodrigo Bueno"
airport skit,"Hey damn.... How many more times you gone let it ring,. Before you realize I ain't home?. Hey baby it's me.... Just callin you to let you know,. I enjoyed my time with you this weekend.. Sorry I could'ntcall you back before I left but.... I had an early flight to catch.. I want you to call me at this number... 924-3723.... I'll see you soon ok?. Bye"
