down with the trumpets,"Yes. Rizzle kicks. Dag nabbit. (yayayayaaa). Yo, you might hear me make a racket like wilson. Cause I love summer no rachel bilson (yes). The winter will come. We just have parties inside it's still fun. (we're jammin') pump this (we're bangin'). Change your boyfriend let's 'av him. We're rowdy, girls make our judgement cloudy. But when the sun comes through we're still alcys. We don't wanna be lowsy, or shameless. But we're running round like we're brainless. Now I've got grass stains on my brand new white trainers. (on my brand new white trainers). Ummmm... I know a few guys hate us. They're as compelling as neighbours so laters. It's blaters we've got our own sound, you know now. So go wild and get hosed down, n-no no. Yeah yeah. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. What. Let's get down with the down with the. Let's get down with the down with the. Let's get down with the down with the. Yeah yeah. Let's get down with the trumpets. When I get down. I get respect now. And when our tunes drops. You know it makes your head bounce. Yeah I move with the flow. And when I enter the room it shows. I move sick (when I dance). Then chicks (wanna dance). Move in and move quick (when I dance). At risk (when I dance). Just be careful you don't lose your chick (when I dance). That might just happen. So listen deep. Stick with your madame. Or she might just leave. Yeah yeah. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. What. Let's get down with the down with the. Let's get down with the down with the. Let's get down with the down with the. Yeah yeah. Let's get down with the trumpets. Ummm... how much sound from the brass to the air. Will it take, to put your bras in the air? (pardon me there). Just don't pretend that. If I wasn't older you wouldn't wanna dance with me yeaaah. You're the last of my fears. I was top boy of the class in my year. Well not really but I was half way there. And I coulda been the headmaster so yeah. Got vibes and charisma (lighter and rizla). Baccy and filter (shine for me mister). I want the sun to (sh-I-i-ine). Till I'm looking at a bright blue (sky-y-y). Yes, and we drop it like anvils. Bring your whole crew to a stand still, still. Stick us on at clubs and I. Guarantee that no body would stand still. Yeah yeah. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. What. Let's get down with the down with the. Let's get down with the down with the. Let's get down with the down with the. Yeah yeah. Let's get down with the trumpets"
mama do the hump,"Mama won't you please let me x6. Yo coming in with a sound fresher than cut grass (fun starts). Second that we enter if you must ask (rush past). Like you've forgotten your mind. Or the drivers all up your face like can I see your bus pass!?. Huh naaa. We just wanna lickle rhyme bruv. Call me what you want but you should not call it a night love. And I might just join the mile high club. Only problem being that I couldnt give a flying f**k!. Yeah lemme touch back down. Slap her on the bum until it. Comes back round. Half a rooms like oi whats this all about,. With the other hand jizzing,. I love that sound. A yeah yeah, I love that sound,. A yeah yeah I love that sound.. So flick your fag butts at once on a mad one like. Yeah your mama can hump. (chorus). Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Yo its been a long week. How I've got this much energy is beyond me. I just want all of these girls to be on me. And maybe even one of them could be beyonce. We aint gonna pack that rap noise in. All of that cheesy stuff, clap clap sing. And we're gonna burn some calories. Right here, right now. Aint over till a fat boy slims mama. (chorus). Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Yeah knock a rum back down. Bust a little jiggy as the. Drum track pounds. Half the room are just making their own crowd with. The other half jiving. I love that sound, a yeah yeah. I love that sound, a yeah yeah. I love that sound. So flick you fag butts at once in a mad one like. Yeah yeah your mama can hump. (chorus). Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. When we step in to the room everybody makes a pathway. Cause you know rk make the dance change. And we rule that crowd. And we dont change pace at the half way. We we, we keep it moving. We we, we hold it down. Cant stop. Break sweat. No loosing. Yes. Nobody gonna take my crown,. Hold back. Na na na na never gonna happen. Go back. Na na na na never gonna happen. Especially when its all packed out,. Crowd shouting out. Yeah, I love that sound. A yeah yeah I love that sound. A yeah yeah I love that sound. So flick your fag butts at once on a mad one like. Yeah your mama can hump. (chorus). Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Mama do the hump mama do the hump hump, mama. Won't you please let me do the hump hump. Do the hump!. [by: ludias]"
jive,"Yeah ole. What's going on sir?. What's going on sir?. What's going on sir?. What's going on sir?. What's going on sir?. We're no victorians we are of a brand new age. We live victorious oh honey I'm feeling great (na na na na). See the war's behind us (la la la la). We don't want that shit (la la la la). So please don't reminds us oh honey I'm feeling rich. What you saying now. Express your surrealism (woof). It works best if you feel different (yeah). We don't jest this is real living. And our livin' gone rid us of limits so (bring it). They call these years crazy (wow). It's all love here lately (dance). I wanna dance with that flapper named stacy. Her daddy might hate me. But we should make babies (it's fun). Do the Charleston (break away). She's had people on her arms since she (came to play). And we all wanna charm her with (material ways). Are we lost? should our generation (take the blame). It's just fun and we're going to die when we're (40). Right now we're driven wild by the talkies. Still unlikely to cause grief (right on the 4th beat). Can you come and jive on the floor please. We're no victorians we are of a brand new age. We live victorious oh honey I'm feeling great (na na na na). See the war's behind us (la la la la). We don't want that shit (la la la la). So please don't reminds us oh honey I'm feeling rich. What you saying now. Jive, jive, jive, jive. Honey honey. Jive, jive, jive, jive. What you saying man. Put your dancing feet on. Come and move with me. And we'll jive, jive, jive, jive. Hell yes. We're less rigid, with legs spinning. And well dressed women and get given. An opportunity to tell them that we don't give a (daffy duck). Chilling in the jazzy club, yeah there's a big bag of us. And I ain't saying that we're finished when we (wrap it up). And I ain't feeling that we're sinning with the (magic dust). We're just keeping to the rhythm with some stamina. La la la la. What's going on sir. If your trying to do the (waltz that's the wrong turn). And if your looking for a (chick that's the wrong bird). I've already seen her (hips and I want her). Pronte I go from NYC to (midnight in Paris). There's nine years for this type of madness. Madness might lead to marriage (which might lead to baby in a carriage). So maybe we could manage to jive. We're no victorians we are of a brand new age. We live victorious oh honey I'm feeling great (na na na na). See the war's behind us (la la la la). We don't want that shit (la la la la). So please don't reminds us oh honey I'm feeling rich. What you saying now. Jive, jive, jive, jive. Honey honey. Jive, jive, jive, jive. Yeah, what you saying man. Put your dancing feet up. Come and move with me. And we'll jive jive jive jive"
burning stuff - fly me to the moon,"[Chorus:]. Fly me to the moon. Let me play amongst the stars. Let me see what spring is like on jupiter and mars. In other words, please be true. In other words, I love you. Yes,. Soon. I'll be shooting the stars like a dude in the car who refuses to ask. Everybody dance now, start moving your arse. I'll make my mark over mars but. I'm not dutch, beneath the stars I'm key but I'm not hutch. I'm cool, yeah. I'm with it, sitting on the clouds you'd be more than with it. I'm Wicked, been on the ground since brith,. But that's not my philosophy. People say I'm down to earth but, well, that's the last place. I'd wanna be. I want wings, I want jet packs. Gravitys abit of a set-back. Eff-that fly away like gravits [?]. Hit the bass, hit the plantes. [Chorus:]. Fly me to the moon. Let me play amongst the stars. Let me see what spring is like on jupiter and mars. In other words, please be true. In other words, I love you. Yes,. Let's get down to buisness. Don't other rappers get bored of shou-ting. I'll use my nozzle now I'm get booked on moron mountain?. I'm setting the pace man, man waste man. I'm an original wilde make fans. Budge up the bake brown geeze, [?]. Now I chill with stars, like space jam. And my names is Jordan, but my claimed to fame ain't ballin'. While I'll raise my tapes and recording. Step on the stage and play starts calling. Rizzle, kicks, rizzle, kicks. Yeah we get ourselves anomical reception. So Rizzle, Kicks, sikk? ermm, rhetorical question. [Chorus:]. Fly me to the moon. Let me play amongst the stars. Let me see what spring is like on jupiter and mars. In other words, please be true. In other words, I love you. [By: ludias]"
crazy little things called love,"This thing, called love... I just can't handle it. This thing, called love... I must get round to it. I am ready! Crazy little thing called LOVE.. Yeah, What you mean I'm a slut?. Cheating I wouldn't dream of it love. I'm the nicest kid ever, plus. I promise that it wasn't me in the club. What ya mean I got tagged in a photo?. What ya mean with a slag that ya don't know?. What ya mean I'm terrible in bed?. I have sex with skets and my rapping is so... so.... (No one can pops) I'm the sickest of rappers,. I thought this was innocent banter. If you wanna get deep, (believe while it's posey baby). that that shit's on my camera... SNAP!. There goes my baby, she knows how to rock 'n' roll,. she drives me crazy. She gives me hot and cold fever, and a cool cool sweat. Always like this, more than nice shit, your a right bitch. One minute it's ""hey what's goin on? "" two seconds later.... ""Sort ya life rizz! "" what does that mean though,. it doesn't even make sense!. It's clear ya not on my wavelength,. I've been this way since like age 10. Cool time baby, come on let's make friends,. Your acting silly it seems. Little bit crazy, little bit means, ask me to get out ya house. I ain't even finished ma tea... PLEASE... jeeeez... ha!. There goes my baby, she knows. how to rock 'n' roll, she drives me crazy. She gives me hot and cold fever,. and a cool cool sweat... SWEAT!. [By: ludias]"
demolition man,"I'm the demolition man and this is my demo so listen man.... Yeah are you listenin'?. Rizzle kicks, killin' this in abit. Silly ears didn't think we'd bring it big. But we kinda did, let me find a brick. Lay that down, down to the ground. Now it's about time you found out there's a sound. Lurkin' inbetween the buildings, certainly discrete. But still we push to be heard,. Shouldn't be detoured. By the fact that people couldn't give a blur. Yeah with hammers and tools, we plan to rule the slander. Shake my hand yo. I'm the demolition man and the is my demo so listen man. I'm the demo, demo, demo, demo,. I'm, I'm, I'm the demolition man. I'm the demo, demo, demo, demo,. I'm, I'm, I'm the demolition man. Ay yo, born derelish. Your nemesis,. My style has more decadence. Raw elegance, street fire. I am the 4th element. More adequate,. Let me please your mind your therapist. Torn ever since she left me. Let's get some more Stella's in. Born and a kiss no grammar sniff, I'm Luke your Anakin. More panicking rappers are advancing more vanishing.. I'm the demolition man,. Can you please give me a reason to show my expertise. I'm the de, I'm, I'm, I'm the de,. I'm the I'm the demolition man. I'm the de, I'm, I'm, I'm the de,. I'm the I'm the demolition man. I'm the demo, demo, demo, demo,. I'm, I'm, I'm the demolition man. It's easy to build up and block it all out,. but it's so much easier knocking it down. B, b, break.... I'm the demolition man and this is my demo so listen man. It's easy to build up and block it all out,. but it's so much easier knocking it down. I'm the de, I'm I'm I'm the de, I'm the I'm the demolition man. I'm the de, I'm I'm I'm the de, I'm the I'm the demolition man. I'm the demo demo demo demo I'm I'm I'm the demolition man. [By: ludias]"
don't bring me down,"I know, I know, I know. And I know, I know, I know. Love is a class A drug. They're selling it on corners, supplying demand. Is a remedial disorder it tries for your heart. You can find it when you're cycling passed the rise in your car. Captures your eyes from afar, it's likely to grasp a. Side of your life that just hides in the dark. Valentine's disguises provides a mask. For something more dangerous, illegal class [?]. Your heart is over taking it can change the way you pay things (amazing). Love is a class A substance and I don't wanna take it yeah. I said love is a class A substance and whenever I take it I feel. My body shaking. Ain't had no sleep (no sleep). And I could be flying, (I could be flying). Right now I feel. So high, so high, don't bring me down. High, so high, don't bring me down. You don't bring me down. You don't bring me down. Don't bring me down. You don't bring me down. Brain washed, hold on, she loves me not. What's what? I'm off script, I've lost the plot. Lost my job, sorry boss, broken heart, gotta stop. Coming down, in a pickle, screwed up to top it off. I can't remember life without the highs that I've been reaching. Relying on her lying with me each and every evening. A single man inside a double bed is not appealing. I need to buy another hit 'cause this is cost me sleeping. Yeah love is a class A substance and I don't wanna take it (take it). I said love is a class A substance and whenever I take it I feel. My body shaking (shaking). Ain't had no sleep (no sleep). And I could be flying, (I could be flying). Right now I feel. So high, so high, don't bring me down. High, so high, don't bring me down. You don't bring me down. You don't bring me down. Don't bring me down. You don't bring me down. I'm feeling so high, so high, don't bring me down. High, so high, don't bring me down. Don't bring me down. I know, I know, I know. Love is a class A drug. And I know, I know, I know. That love is a class A drug. And I know, I know, I know. Love is a class A drug. And I know, I know, I know. That whenever I take it I feel. High, so high, don't bring me down. High, so high, don't bring me down. You don't bring me down. You don't bring me down. Don't bring me down. Don't bring me down. I'm feeling so high, so high, don't bring me down. High, so high, don't bring me down. Don't bring me down"
down with the trumpets,"Yes. Rizzle kicks. Dag nabbit. (yayayayaaa). Yo, you might hear me make a racket like wilson. Cause I love summer no rachel bilson (yes). The winter will come. We just have parties inside it's still fun. (we're jammin') pump this (we're bangin'). Change your boyfriend let's 'av him. We're rowdy, girls make our judgement cloudy. But when the sun comes through we're still alcys. We don't wanna be lowsy, or shameless. But we're running round like we're brainless. Now I've got grass stains on my brand new white trainers. (on my brand new white trainers). Ummmm... I know a few guys hate us. They're as compelling as neighbours so laters. It's blaters we've got our own sound, you know now. So go wild and get hosed down, n-no no. Yeah yeah. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. What. Let's get down with the down with the. Let's get down with the down with the. Let's get down with the down with the. Yeah yeah. Let's get down with the trumpets. When I get down. I get respect now. And when our tunes drops. You know it makes your head bounce. Yeah I move with the flow. And when I enter the room it shows. I move sick (when I dance). Then chicks (wanna dance). Move in and move quick (when I dance). At risk (when I dance). Just be careful you don't lose your chick (when I dance). That might just happen. So listen deep. Stick with your madame. Or she might just leave. Yeah yeah. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. What. Let's get down with the down with the. Let's get down with the down with the. Let's get down with the down with the. Yeah yeah. Let's get down with the trumpets. Ummm... how much sound from the brass to the air. Will it take, to put your bras in the air? (pardon me there). Just don't pretend that. If I wasn't older you wouldn't wanna dance with me yeaaah. You're the last of my fears. I was top boy of the class in my year. Well not really but I was half way there. And I coulda been the headmaster so yeah. Got vibes and charisma (lighter and rizla). Baccy and filter (shine for me mister). I want the sun to (sh-I-i-ine). Till I'm looking at a bright blue (sky-y-y). Yes, and we drop it like anvils. Bring your whole crew to a stand still, still. Stick us on at clubs and I. Guarantee that no body would stand still. Yeah yeah. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. Let's get down with the trumpets. What. Let's get down with the down with the. Let's get down with the down with the. Let's get down with the down with the. Yeah yeah. Let's get down with the trumpets"
dreamers,"[Intro:]. Wooo! Rk... Rk what?!. We're the believers, do you believe us?. [Chorus:]. I can find my place in my dreams. (In my dreams, in my, in my dreams). Yeah I can find my place in my dreammms. [Verse 1:]. Yeah, it's that kid with the British accent,. Still kicking and bringing us wicked raps when,. Other rappers lack sense, innovation absent,. Take that in to the count like your bank said,. Yeah, let me set the rhythm,. And these texts are spinning,. We be best in Britain,. When I say best, I mean best [?],. As the best decision,. To see lesser limits. We aim higher,. Higher than Mariah in a choir or the [?] or bubbles in a wire,. Desire, to leave behind, the reason why,. As little as, read to find, our recent times,. I'm paying what I wanna be like a portrait,. You let other people paint you (portrait),. All day, I have more faith, than what you'll say,. But you're foretelling to talk straight,. And I know. [Chorus:]. I can find my place in my dreams. Said I can find my place in my dreammms. I don't care what you choose as fact,. I'm gonna take myself to the moon and back,. In my dreams,. (My dreams),. My dreams,. (My dreams),. My dreams,. (My dreams),. My dreams,. (My dreams),. Straight up me to the sand, I'm a spaceman,. Yeah, with a suit to match. In my dreams,. (My dreams),. My dreams,. (My dreams),. My dreammms. [Verse 2:]. Yeah, I'm a grafter,. Check it or the grit on my Nike's,. Delivering these lyrics like I'm big in the 90"
earl grey,"So now it's Earl Grey. Now it's Early Grey and sugar. I want Earl Grey, sugar and milk. Tea, yes tea. It's a... simple pleasure. It's a very simple pleasure. But it's a pleasure I need. (Check yeah, yo). It was the first of many challenges. To try convince the masses that we're talented. In a world full of watermarked canvases. And radio's that don't play songs if there's a rap in it. And fame's instantaneously given. If your face is positioned where the mass of population is driven. People believe what the papers have written cause. Rarely does truth even many any difference (yeah). We watch edited versions of other's lives. To deal with the issues that we have another time. Everything's an unpopularity contest. If you're not voted out it's you that they want less. You can end your career in one tweet. And child counsellors don't get enough sleep. Professional footballers earn more in one week. Than one of them earns in ten years at least. They're swept of their feet. they don't wanna know now. If they're listening or watching they just wanna zone out. Know how. We don't even know how to find our own mouth. When spoon fed a dose of being docile. Yeah, so now it's... Earl Grey. Now it's Early Grey and sugar. Now it's Earl Grey, sugar and milk. Tea, it's just tea. It's a... simple pleasure. It's a very simple pleasure. But it's a simple pleasure I need. (Check it). Hoods up is a necessity. Cause when my hood's down you still think less of me. Yeah it's one vicious circle. I'd rather keep my hood up to hide from all this negative energy. It's no wonder our society is segregated. When old people act surprised that I am educated. Disgression should be thought more. Rules mean nothing people love it when you break'em. Cause people clap when you're bad. People clap when you're good. People cheer when they're told. People laugh when they should. People dream of a little more sleep. But go full throttle at the end of the week. So gimme that club beat with the same old topic. I need to sing along while I drive to the office. Tell me to dance or 'bout the money that you make. So I can go to my desk and dream my life was the same. But being in the spotlight's a dark place. Cause normality's a drug that you can't take. People drive hard for a shot at the fast lane. It's only people from school that you can class mates. Yeah, so now it's Earl Grey. Now it's Early Grey and sugar. Now it's Earl Grey, sugar and milk. Yeah, just tea... tea. (Check it). It's a... simple pleasure. It's a very, very... simple pleasure. But it's a simple pleasure I need. (Check it). She's not smart but she's got a good heart. It's not about the winner. it's who took part (yeah). Tell the person who came last then they said they should laugh, Haha. (Haha, sorry, I got some more, leave it running, leave it running.). (It's not about who took part). Hold up... Put down down. You've got love by the bucket load. Don't turn that noun upside down. Don't frown (Check it). This train's like going out inside. I just managed to get in with my side out. It's really taking me somewhere. Except standing means you don't fit in. ADHD drugs are like the latest hd plugs. The ideas great but once you review the finer details you realize it's depressing. Having too much of something isn't pleasant. If I was born rich I'd kinda wish I was a peasant. Cause you learn a lot of lessons. If I was Jay Z and Beyonce. I'd send Blue Ivy into the ghetto 'till she was like 11. And then be like surprise you're a millionaire. Yeah... That is... That is not a rhyme, that's just talking. Yo, now listen. All I'm saying is yo. Now it's Earl Grey. Now it's Early Grey and sugar. So now it's Earl Grey, sugar and milk. It's just tea... It's only tea. It's a very simple pleasure. A very, very, very simple pleasure. But it's a very simple pleasure I need. And that's me. (simple pleasure I need). (I need this in my life,). (I need it ohh-woah-woah-ohh). (Keep it normal)"
