the next episode,"Dr. Dre - The Next Episode. . [Snoop Dogg] (Kurupt). Ba-da-da-da-dahh. It's the motherfuckin D-O-double-G (SNOOP DOGG!). Ba-da-da-da-dahh. You know I'm mobbin with the D.R.E.. (YEAH YEAH YEAH. You know who's back up in this MOTHERFUCKER!). What what what what?. (So blaze the weed up then!). Blaze it up, blaze it up!. (Just blaze that shit up nigga, yeah, 'sup Snoop??). Top Dogg, bite me all, nigga burn the shit up. D-P-G-C my nigga turn that shit up. C-P-T, L-B-C, yeah we hookin back up. And when they bang this in the club baby you got to get up. Thug niggaz drug dealers yeah they givin it up. Lowlife, yo' life, boy we livin it up. Takin chances while we dancin in the party fo' sho'. Slip my hoe a forty-fo' and she got in the back do'. Bitches lookin at me strange but you know I don't care. Step up in this motherfucker just a-swangin my hair. Bitch quit talkin, quick walk if you down with the set. Take a bullet with some dick and take this dope from this jet. Out of town, put it down for the Father of Rap. And if yo' ass get cracked, bitch shut yo' trap. Come back, get back, that's the part of success. If you believe in the S you'll be relievin your stress. [Snoop]Ba-da-da-da-dahh. [Dre]It's the motherfuckin D.R.E. (Dr. Dre MOTHERFUCKER!). [Snoop]Ba-da-da-da-dahhh. [Dre]You know I'm mobbin with the D-O-double-G. [Dr. Dre]. Straight off the fuckin streets of C-P-T. King of the beats you ride to em in your Fleet (Fleetwood). or Coupe DeVille rollin on dubs. How you feelin whoopty=whoop nigga whut?. Dre and Snoop chronic'ed out in the 'llac. with Doc in the back, sippin on 'gnac (yeah). Clip in the strap, dippin through hoods (what hoods?). Compton, Long Beach, Inglewood!. South Central out to the Westside (wessyde). It's California Love, this California bud got a nigga gang of. pub. I'm on one, I might bail up in the Century Club. with my jeans on, and my team strong. Get my drink on, and my smoke on. Then go home with, somethin to poke on (whassup bitch?). Loc it's on for the two-triple-oh. Comin real, it's the next episode.... [Nate Dogg]. Hold up, heyyyyyyyy. for my niggaz who be thinkin we soft. We don't, playyyyyyy. We gon' rock it til the wheels fall off. Hold up, heyyyyyyyy. for my niggaz who be actin too bold. Take a, seeaaaaaat. Hope you ready for the next episode. HeyyyeyyyeEYEYyyyEYYYY..... .... smoke weed everyday!"
"beautiful (feat. pharrell williams, charlie wilson)","Ohhh-ohh-oh-ohhh-ohhh. Yeahhh, yeahh, yeah, yeahhhh. (Ehh... oh yeah, there's something about you). Ohhh-ohh-oh-ohhh-ohhh. Yeahhh, yeahh, yeah, yeahhhh. (Ehh... oh yeah, there's something about you). Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). I know you gon' lose it, this new Snoop shit. Come on baby boo, you gotsta get into it. Don't fool wit the playa with the cool whip. Yeah-yeah, you know I'm always on that cool shit. Walk to it, do it how you do it. Have a glass, lemme put you in the mood and. Lil' cutie lookin' like a student. Long hair, wit'cha big fat booty. Back in the days you was a girl I went to school wit. Had to tell your moms and sister to cool it. The girl wanna do it, I just might do it. Here to walk wit some pimp-pimp fluid. Mommy don't worry, I won't abuse it. Hurry up and finish so we can watch ""Clueless"". I laugh at these niggas when they ask who do this. But everybody know who girl that you is. Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). When I see my baby boo, shit, I get foolish. Smack a nigga that tries to pursue it. Homeboy, she taken, just move it. I asked you nicely, don't make the Dogg lose it. We just blow 'dro and keep the flow movin'. In a '64, me and baby boo cruisin'. Body rag interior blue, and. Have them hydralics squeakin' when we screwin'. Now she's yellin', hollerin' out Snoop, and. Hootin', hollerin'; hollerin', hootin'. Black and beautiful, you the one I'm choosin'. Hair long and black and curly like you're Cuban. Keep groovin', that's what we doin'. And we gon' be together until your moms move in. (Ehh... oh yeah, there's something about you). Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). Ohhh-ohh-oh-ohhh-ohhh. Yeahhh, yeahh, yeah, yeahhhh. See I just want you. To know that you are really special. Ohh why, oh why, oh why, oh why. See I just want you. To know that you are really special. Ohh why, oh why, oh why, oh why. (Ehh... oh yeah, there's something about you). Snoop Dogg Clothing, that's what I'm groomed in. You got my pictures on the wall in your room-in. Girls be complainin' you keep me boomin'. But girls like that wanna listen to Pat Boone. (Ehh... oh yeah, there's something about you). You's a college girl, but that don't stop you from doin'. Come and see the Dogg in a hood near you-in. You don't ask why I roll wit a crew, and. Twist up my fingers and wear dark blue-in. (Ehh... oh yeah, there's something about you). On the eastside, that's the crew I choose. Nothin' I do is new to you. I smack up the world if they rude to you. 'Cause baby girl you so beautiful. Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). Beautiful. I just want you to know. You're my favorite girl. (Ehh... oh yeah, there's something about you). Ohhh-ohh-oh-ohhh-ohhh. Yeahhh, yeahh, yeah, yeahhhh. See I just want you. To know that you are really special. Ohh why, oh why, oh why, oh why. See I just want you. To know that you are really special. Ohh why, oh why, oh why, oh why. See I just want you. To know that you are really special. Ohh why, oh why, oh why, oh why. See I just want you. To know that you are really special. Ohh why, oh why, oh why, oh why. (Ehh... oh yeah, there's something about you)"
wiggle,"Hey, yo, Jason. Say somethin' to her. Holla at her. I got one question. How do you fit all that in them jeans?. You know what to do with that big fat butt. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Just a ittle bittle. Patty cake, oatty cake. With no hands. Got me in this club making wedding plans. If I take pictures while you do your dance. I can make you famous on Instagram. Hot damn it. Your booty like two planets. Go head, and go ham sandwich. Whoa. I can't stand it. 'Cause you know what to do with that big fat butt. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. Just a little bit of. Cadillac, cadillac, pop that trunk. Let's take a shot. Alley oops that dunk. Tired of working that 9 to 5. Oh baby let me come and change your life. Hot damn it. Your booty like two planets. Go head, and go ham sandwich. Whoa. I can't stand it. 'Cause you know what to do with that big fat butt. Wiggle, wiggle, wiggle. Wiggle, wiggle, wiggle. (wiggle, wiggle, wiggle). Wiggle, wiggle, wiggle. (shake it, shake it girl). Just a ittle bittle. (Little bit of, little bit of, little bit of, Swing!). [Snoop Dogg]. Shake what your mama gave you. Misbehave you. I just wanna strip you, dip you. Flip you, bubble bathe you. What they do. Taste my rain drops, Ok boo. Now what you will, what you want, what you may do. Completely separated, til my deeply penetrated. Then I take I out, and wipe it off. Eat it, ate it, love it, hate it. Overstated, underrated, everywhere I been king. You wiggle, wiggle for the D, O, double G, again?. Come on baby. Turn around. (turn around, turn around). You're a star girl. Take a bow. (take a bow, take a bow). It's just one thing that's killing me. How you get that in them jeans?. You know what to do with that big fat butt. Wiggle, wiggle, wiggle. (wiggle, wiggle, wiggle). Wiggle, wiggle, wiggle. (wiggle, wiggle, wiggle). Wiggle, wiggle, wiggle. (shake it, shake it girl). Just a ittle bittle. Now make it clap. Wiggle, wiggle, wiggle. Now make it clap. Wiggle, wiggle, wiggle. Make it clap. Now make it clap. Damn baby you got a bright future behind you"
snoop dogg,"{Intro]. S-N-double-O-P D-O-double-giz-ee. D-O-double-giz-ee. D-O-double-giz-ee. (repeat x2). [Snoop talks over Intro]. Izzle kizzle, fo' schizzle. My nizzle, what you sizzle?. Fo' schizzle bizzle, ha ha. (Snoop Dogg). Me and my partner, in my Impala. Poppin our collars, tossin up dollars. A truck on the side of with hoes that wanna follow. Bet a hundred dollars that they all wanna swallow. Doggy Doggfather. I do it to you real hard then it gets harder. It's nada - thang on mine, bang on mine. I smoke an ounce and bounce at the same time. It's off the limbo with Timbo, you motherfuckin bimbo. So quit knockin at my window, you nympho. Maniac, bring it back, now shake it up. Put it on the table, now break it up. Give it to me, now put a lighter on the end of it. It really don't matter what you spent on it. As long as you're gettin what you paid for. That's what it's made for, ain't that what you stayed for?. (chorus). Who's that dippin' in the Cadillac?. Snoop Dogg. Smoke till your eyes get cataracts. Snoop Dogg. Who got a girl layin' her on her back. Snoop Dogg. Who dat makin' that paper stack. Snoop Dogg. (Snoop). You play me and I'll play you. You pay me and I'll pay you. Hold on boo, you got the game all wrong. This aint your thang, this my song. Move on, we in the club, at the Shark Bar. Valet my keys, and park my car. No snap shots, cuz I might get popped. As I slide by security, givin 'em props. First thing I do, when I get in. Let me take you back to when I first slid in. Grab my gin and, get my woman, put my bib in, no bullshittin. We be sittin', in the corner. With smoke comin' from up under us like we sittin in the sauna. Burnin' up the charts, break a bitch off heart. Little mama don't you start. (chorus). S-N-double-O-P D-O-double-giz-ee. D-O-double-giz-ee. D-O-double-giz-ee. (x2). (Snoop). Tick tock, the ice on my watch. Slap me 'cross the face around 2 o'clock. But the party don't stop till we blow up. Now every little bitch wanna show up. Manuev'in to this, groovin to this. Dippin to this, flippin to this, trippin to this. Ain't no skippin to this, trust this. Bust this, it's too hot to touch this. He say, she say, I say no way. Don't need foreplay, ok, obey. Everything that I say. And every day'll be like a holiday. I put you in the front seat of my car. And roll you round town like a superstar. Recline your seat and turn up the beat. Number one with a bullet, rollin down the mothafuckin backstreets. (chorus x2). (Timbaland making vocal scratches to fade)."
smoke weed everyday,"Intro:. [snoop]. Da da da da daaaa. It's tha motha fuckin' d oh double g (snoop dogg). Da da da da daaaa. You know im mobbin' with the d.r.e. [kurupt]. Yeah yeah yeah. You know who's back up in this mothafucker. *echoes*. [snoop]. What what what what. [kurupt]. So blaze the weed out there. [snoop]. Blaze it up. [kurupt]. Blaze that shit up nigga. Yeah waz up snoop. Verse one: [snoop]. Top dogg buy them all nigga burn this shit up. D-p-g-c my nigga turn that shit up. Cpt, lbc yeah we hookin' back up. N' when they bang this in the club. baby you gotta get up. Thug niggas, drug dealers yeah they givin' it up. Low life, your life boy we livin' it up. Take a chance thats why we dancin'. In the party fo' sho'. Slip my ho a fourty four. n' she crept in it back do'. Bitches lookin' at me strange. but you know I don't Care. Step up in this mothafucker just to swingin' my hair. Bitch quit talkin' crip walk. If you down with the set. Take a bullet with some dick. Take this dope from this jet. Outta town put it down for father of rap. N' if your ass get crack bitch shut your trap. Come back get back thats the part of success. N' if you believe the x then you'll relievin' your Stress. Music in between. [snoop]. Da da da da daaaa. [dre]. It's the mothafuckin' d-r-e. [kurupt]. Dr. dre mothafucker. [snoop]. what what what what. [snoop]. Da da da da daaaa. Verse two: [dre]. You know im mobbing with the d oh double g. Straight off the fuckin' street's of cpt. King of the beats n' you ride to em' in your fleet. (fleetwood). Wood or coupe deville rollin on dubs. How you feel?. Whoopty whoop nigga what?. Dre n' snoop chronic'ed out. In the 'llac with doc in the back. Sippin' 'gnac, clip in the strap. Dippin' through hoods. What hoods? compton, longbeach, ingelwood. South central out to the westside (westside). It's california love this california bud. Got a nigga gang of pub. I'm on one, I might bail up in the century club. With my jeans on n' my team's strong. Get my drink on n' my smoke on. Then go home with somethin' to poke on. (waz up bitch). Loc' it's on for the two tripple oh. Comin' real it's the next episode. *echoes*. Music in between. [nate dogg]. Hold up.. heeeeey. For my niggas who be thinkin' we soft. We don't.. plaaaay. We gonna rockin' til the weels fall of. Hold up.. heeeeey. For my niggas who be acting to bold. Take a.. seeeeat. Hope you ready for the next episode heeeeeey. (music stops and pauses). Smoke weed everyday"
"young, wild & free (feat. wiz khalifa, bruno mars)","So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how it's supposed to be. Living young and wild and free. Uh, Uh huh. So what I keep 'em rolled up. Saggin' my pants not caring what I show. Keep it real with my n-ggas. Keep it player for this hoes. And look clean don't it?. Washed it the other day, watch how you lean on it. Give me some 501's jeans on. and roll joints bigger than King Kong's fingers. And smoke them hoes down 'till they stingers. You a class clown and if I skip for the day. I'm with you b-tch smokin' grade A. Yeah, uh you know what?. It's like I'm 17 again. Peach fuzz on my face. Lookin', on the case. Tryna find a hella taste. Oh My God, I'm on the chase. Chevy, it's gettin' kinda heavy, relevant, sellin' it. Dippin' away, time keep slippin' away. Zip in the safe, flippin' for pay. Tippin' like I'm drippin' in paint. Up front four blunts, like. ""Khalifa put the weed in a J"". So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how it's supposed to be. Living young and wild and free. Uh, and now I don't even care. Cause if me and my team in. here's gonna be some weed in the air. Tell 'em Mac. Blowin everywhere we going. and now you know one when I step right up. Get my lighter so I can light up. That's how it should be done. Soon as you thinkin you're down. Find out how to turn things around, nothing's looking up. From the ground up, pound up, this Taylor Gang. So turn my sound up, and round up and do my thing. Now I'm chillin, fresh out of class filling. Like I'm on my own and I can probably own a building. Got..., no job, no children. Had the science project. Me and Mac kill it. THC MAC DEV HD3. Hi, it's me. This is us, we gon' fuss. We gon' fight, we gon' roll. Live our life. So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how it's supposed to be. Living young and wild and free. Yea, roll one, smoke one. When you live like this you're supposed to party. Roll one, smoke one, and we all just having fun. So we just, roll one, smoke one. When you live like this you're supposed to party. Roll one, smoke one, and we all just having fun. So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how it's supposed to be. Living young and wild and free"
sensual seduction,"I'm gonna take my time... She gon' get hers before I...(before I). I'm gonna take it slow.... I'm not gonna rush to stroll, so she can get a.... Sensual seduction, so I can get a.... Sensual seduction-duction. So we can get a sensual seduction-duction duction. Sensual seduction. She might be with him, but she's thinking 'bout me, me,meee,. We gon' go to the mall, we gon' go out to eat, eat, eeeeat,. And all that we ever do is play in the sheets, sheets, sheets. Smoke us a cigarette and go back to sleep, sleep,. Sleep, cause we den got a!. Sensual seduction-duction. Sensual seduction-duction ooh whoa!. Sensual seduction-duction duction. Sensual seduction-duction ooh whoa!. I'm gonna take my time. She gon' get hers before I.... I'm gonna take it slow... ow... oo... ow,. I'm not gonna rush to stroll,. If ya don't know by know, doggy-dog is a freak, freak, freak!. I keep a bad bitch with me seven days of the week,. Week, week!. And all that we ever do is play in the sheets,sheets, sheets. Smoke us a cigarette, and go back to sleep, sleep,. Sleep, cause we den got a. Sensual seduction-duction. Sensual seduction-duction ooh whoa!. Sensual seduction-duction duction. Sensual seduction-duction ooh whoa!. I was all in da club sippin' some jin. Smokin' on a benadrome. When I peeped this little hoe out,. I was all in a bum and drifter,. Shorty then came, then she hit da floor know,. With a see through dress, long hair. Light brown eyes lookin like ms. bo peep. And a nigga know if I take her home. With dem wide ass hips and you damn right I'm gon' be, so. Hot-uh!. Goes da chick with da real pretty face, big ass booty and ity-bity. Waist I whispered in her ear little mama what you. Drink? I know you a freak,. But you know I ain't gon' say shit, see my game is. Outrageous, I got it tippin crippin exchange some fuck faces, but it. Ain't no use to rush da bus. Cause I want her to have an eruption!. Sensual seduction-duction. Sensual seduction-duction ooh whoa!. Sensual seduction-duction duction. Sensual seduction-duction ooh whoa"
drop it like it's hot (feat. pharrell williams),"Snooooooooooop. Snooooooooooop. When the pimp's in the crib ma. Drop it like it's hot. Drop it like it's hot. Drop it like it's hot. When the pigs try to get at ya. Park it like it's hot. Park it like it's hot. Park it like it's hot. And if a nigga get a attitude. Pop it like it's hot. Pop it like it's hot. Pop it like it's hot. I got the rolly on my arm and I'm pouring Chandon. And I roll the best weed cause I got it going on. Uh! I'm a nice dude, with some nice dreams. See these ice cubes, see these Ice Creams?. Eligible bachelor, million dollar boat. That's whiter than what's spilling down your throat. The Phantom, exterior like fish eggs. The interior like suicide wrist red. I can excercise you, this can be your Phys. Ed. Cheat on your man ma, that's how you get ahizzead. Killer wit the beat, I know killers in the street. Wit the steel that'll make you. Feel like Chinchilla in the heat. So don't try to run up on my ear. Talking all that raspy shit. Trying to ask me shit. When my niggaz fill ya vest. They ain't gon pass me shit. You should think about it, take a second. Matter fact, you should take four B. And think before you fuck wit lil skateboard P. When the pimp's in the crib ma. Drop it like it's hot. Drop it like it's hot. Drop it like it's hot. When the pigs try to get at ya. Park it like it's hot. Park it like it's hot. Park it like it's hot. And if a nigga get a attitude. Pop it like it's hot. Pop it like it's hot. Pop it like it's hot. I got the rolly on my arm and I'm pouring Chandon. And I roll the best weed cause I got it going on. I'm a gangsta, but y'all knew that. Da Big Bo$$ Dogg, yeah I had to do that. I keep a blue flag hanging out my backside. But only on the left side, yeah that's the Crip side. Ain't no other way to play the game the way I play. I cut so much you thought I was a Dj. [scratches] ""two!"" - ""one!"" - ""yep, three!"". S-N double O-P, D-O double G. I can't fake it, just break it, and when I take it. See I specialize in making all the girls get naked. So bring your friends, all of y'all come inside. We got a world premiere right here, now get live!. So don't change the dizzle, turn it up a little. I got a living room full of fine dime brizzles. Waiting on the Pizzle, the Dizzle and the Shizzle. G's to the bizzack, now ladies here we gizzo. When the pimp's in the crib ma. Drop it like it's hot. Drop it like it's hot. Drop it like it's hot. When the pigs try to get at ya. Park it like it's hot. Park it like it's hot. Park it like it's hot. And if a nigga get a attitude. Pop it like it's hot. Pop it like it's hot. Pop it like it's hot. I got the rolly on my arm and I'm pouring Chandon. And I roll the best weed cause I got it going on. I'm a Bad Boy, wit a lotta ho's. Drive my own cars, and wear my own clothes. I hang out tough, I'm a real Bo$$. Big Snoop Dogg, yeah he's so sharp. On the Tv screen and in the magazines. If you play me close, you're on a red beam. Oh you got a gun so you wanna pop back?. Ak47 now nigga, stop that!. Cement shoes, now I'm on the move. Your family's crying, now you on the news. They can't find you, and now they miss you. Must I remind you I'm only here to twist you. Pistol whip you, dip you then flip you. Then dance to this motherfucking music we crip to. Subscribe nigga, get yo issue. Baby come close, let me see how you get loose!. When the pimp's in the crib ma. Drop it like it's hot. Drop it like it's hot. Drop it like it's hot. When the pigs try to get at ya. Park it like it's hot. Park it like it's hot. Park it like it's hot. And if a nigga get a attitude. Pop it like it's hot. Pop it like it's hot. Pop it like it's hot. I got the rolly on my arm and I'm pouring Chandon. And I roll the best weed cause I got it going on. Snooooooooooop. Snooooooooooop"
who am i? (what's my name?),"Intro:. Eeeyiyiyiyiyahthedoggpound'sinthehou-owwse (the bomb). Eeeyiyiyiyiyeahthedoggpound'sinthehou-oww-owse. Snoop Doggy, Do-owww-ohhhh-oggg (the bomb). Snoop Doggy, Do-owww-ohhhh-oggg (Dog). Verse One:. From the depths of the sea, back to the block. Snoop Doggy Dogg, Funky, yes but of the Doc. Went solo on that ass, but it's still the same. Long Beach is the spot where I served my cane. Follow me, follow me, follow me, follow me, but don't lose your grip. Nine-trizzay's the yizzear for me to fuck up shit. So I ain't holdin nuttin back. And motherfucker I got five on the twenty sack. It's like that and as a matter of fact [rat-tat-tat-tat]. Cuz I never hesitate to put a nigga on his back. [Yeah, so peep out the manuscript. You see that it's a must we drop gangsta shit]. What's my motherfuckin name?. Chorus:. Snoop Doggy, Do-owww-ohhhh-oggg (yeah yeah yeah). Snoop Doggy, Do-owww-ohhhh-oggg (the bomb). Da-duh-da-da-dah. Do-do-do-do, doo-doo-doo-da-dahhh! (Dog). Verse Two:. It's the bow to the wow, creepin and crawlin. Yiggy yes y'allin, Snoop Doggy Dogg in. the motherfuckin house like everyday. Droppin shit with my nigga Mr Dr. Dre. Like I said, niggaz can't Fuck with this. And niggaz can't Fuck with that. shit that I drop cuz ya know it don't stop. Mr. One Eight Seven on a motherfuckin cop. Tic toc never the glock just some nuts and a cock. Robbin motherfuckers then I kill dem blood claats. Then I step through the fog and I creep through the smog. Cuz I'm Snoop Doggy (who?) Doggy (what?) Doggy [Dogg]. Chorus:. Snoop Doggy, Do-owww-ohhhh-oggg. Snoop Doggy, Do-owww-ohhhh-oggg (the bomb). Bowwowwowyippyyoyippyyay, bowwowwowyippyyo (the bomb). Bowwowwowyippyyoyippyyay, bowwowwowyippyyoyoyoyoyoyo. Verse Three:. Now just throw your hands in the motherfuckin air. And wave the motherfuckers like ya just don't care. Yeah roll up the dank, and pour the drank. And watch your step (why?) cuz Doggy's on the gank. My bank roll's on swoll. My shit's on hit, legit, now I'm on parole, stroll. with the Dogg Pound right behind me. and up in yo bitch, is where ya might find me. Layin that, playin that G Thang. She want the nigga with the biggest nuts, and guess what?. He is I, and I am him, slim with the tilted brim. What's my motherfuckin name?. Chorus:. Snoop Doggy, Do-owww-ohhhh-oggg (the bomb). Snoop Doggy, Do-owww-ohhhh-oggg. Snoop Doggy, Do-owww-ohhhh-oggg (the bomb). Snoop Doggy, Do-owww-ohhhh-oggg (Dog). Da-duh-da-da-dah. Do-do-do-do, doo-doo-doo-da-dahhh! (the bomb). Da-duh-da-da-dah. Do-do-do-do, doo-doo-doo-da-dahhh! (Dog) (the bomb). Bowwowwowyippyyoyippyyay, bowwowwowyippyyo (the bomb). Doggy Dogg, Doggy Dogg, Doggy Dogg. Bowwowwowyippyyoyippyyay, bowwowwowyippyyo (the bomb). What is, his name? Snoop Dogg, and the Dogg Pound. (Dog) (the bomb). Ohhh, Snoopy Dogg, Snoopy Dogg, Snoopy Dogg (the bomb). Yeah yeah (Dog) I know his name. C'mon Snoopy, c'mon Snoopy (the bomb). And the Dogg Pound. Snoopy Dogg (the bomb) Snoopy Dogg. Snoopy Dogg (Dog). (Dog, nasty dog, doggy dog)"
ain't no fun (if the homies can't have none),"(Intro). You're back now at the jack-off hour this is DJ, Eazy Dick. On W-Balls, right now, somethin new, by Snoop Doggy Dogg. And this one goes out to the ladies, from all the guys. A big bow wow wow, cuz we gonna make it a little misty. here tonight, this is DJ Eazy Dick, on the station that. slaps you across your fat ass, with a fat dick. (Verse One: Nate Dogg). When I met you last night baby. Before you opened up your gap. I had respect for you lady. But now I take it all back. Cause you gave me all your pussy. And ya even licked my balls. Leave your number on the cabinet. And I promise baby, I'll give ya a call. Next time I'm feelin kinda horny. You can come on over, and I'll break you off. And if you can't fuck, that day baby. Just lay back, and open your mouth. Cause I have never met a girl. That I love in the whole wide world. (Verse Two: Kurupt). Well, if Kurupt gave a fuck about a bitch I'd always be broke. I'd never have no motherfuckin endo to smoke. I gets loced and looney, bitch you can't do me. Do we like BBD, you hoochie groupie?. I have no love for hoes. That's somethin I learned in the pound. so how the fuck am I supposed. to pay this hoe, just to lay this hoe. I know the pussy's mines, I'ma fuck a couple more times. And then I'm through with it, there's nothing else to do with it. Pass it to the homie, now you hit it. Cause she ain't nuthin but a bitch to me. And y'all know, bitches ain't shit to me. i gives a fuck, why don't y'all pay attention. Approach it with a different proposition, I'm Kurupt. Hoe you'll never be my only one, trick ass beeeitch!!. Chorus: (Repeat 4X). It ain't no fun, if the homies can't have none. (Verse Three: Snoop Dogg). Guess who back in the motherfuckin house. With a fat dick for your motherfuckin mouth. Hoes recognize, niggaz do too. Cuz when bitches get scoundless and pull a voodoo. What you gon do? You really don't know. So I'd advise you not to trust that hoe. Silly of me to fall in love with a bitch. Knowin damn well, I'm caught up with my grip. Now as the sun rotates and my game grows bigger. How many bitches wanna fuck this nigga named Snoop. Doggy, I'm all the above. I'm too swift on my toes to get caught up with you hoes. But see, it ain't no fun, if my homies can't get a taste of it. Cause you know I don't love em. (Verse Four: Warren G). Whoa!. Hey, now ya know, inhale, exhake with my flow. One for the money, two for the bitches. Three to get ready, and four to hit the switches. In my Chevy, six-fo' Red to be exact. With bitches on my side, and bitches on back. So back up bitch cuz i'm strugglin, so get. off your knees and then start jugglin. these motherfuckin nuts in your mouth. It's me, Warren G the nigga with the clout. Whoo!. Chorus: (Repeat 4X). It ain't no fun, if the homies can't have none. Reeditada Por Flávio-Silva By A.G.F-R-S"
