crank that,"(yoouuuuuu!!!). Soulja boy tell em. Ayy I got this new dance fo yall called tha soulja boy. (yuaaaaaa!!!). U gotta punch den crank back three times from left 2 right. (aaaaaaaahhhhhhhh yuuuuaaaaaa!!!). Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy den super man dat hoe. Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Den super man dat hoe. Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Soulja boy up in dis hoe. Watch me lean and watch me rock. Super man dat hoe. Then watch me crank dat robocop. Super fresh, now watch me jock. Joccin' on dos haterz man. When I do dat soulja boy. I lean to the left and crank dat thang. (now youuuuuuu). I'm joccin' on yo bitch ass. And if we get to fightin. Den im coccin' on yo bitch ass. You catch me at yo local party. Yes I crank it everyday. Haterz get mad cuz. I got me some bathin apes. Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Den super man dat hoe. Now watch me youuuuuuuu. (crank dat soulja boy). Now watch me youuuuuuuu. (crank dat soulja boy). Now watch me youuuuuuuu. (crank dat soulja boy). Now watch me youuuuuuuu. (crank dat soulja boy). Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Den super man dat hoe. Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). Now watch me youuuuuuu. (crank dat soulja boy). I'm bouncin on my toe. Watch me super soak dat hoe. I'ma pass it to arab. Then he gon crank it up for sho (sho). Haterz wanna be me. Soulja boy, I'm the man. They be lookin at my neck. Sayin'its da rubberband man (man). Watch me do it (watch me do it). Dance (dance). Lean'n to (lean'n to). Nope,you can't do it like me. Hoe, so don't do it like me. Folks, I see you tryna do it like me. Man that shit was ugly. Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Then super man dat hoe. Now I leave yooouuuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Then super man dat hoe. Now I leave yoooouuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). All too clean off in dis hoe. Watch me crank it watch me roll. Watch me crank dat roosevelt. Den supa soak dat hoe(yooouuu). Supa soak dat hoe(supa soak dat hoe). Supa soak dat hoe(supa soak dat hoe). Supa soak dat hoe(supa soak dat hoe). Supa soak dat hoe(supa soak dat hoe). All too fresh off in dis bitch. Watch me shuffle watch me jig. Watch me crank dat soulja boy. Den supaman dat bitch(yooouuu). Supaman dat bitch(supaman dat bitch). Supaman dat bitch(supaman dat bitch). Supaman dat bitch(supaman dat bitch). (ahhhhhhhhhhhhh yooouuuu). Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Then super man dat hoe. Now I leave yooouuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Now I leave yooouuu. (crank dat soulja boy). Now I leave yooouuuu. (crank dat soulja boy). Soulja boy up in dis hoe. Watch me crank it. Watch me roll. Watch me crank dat soulja boy. Then super man dat hoe. Now I leave yoouuu. (crank dat soulja boy). Now I leave yooouuu. (crank dat soulja boy). Now I leave yoouuu. (crank dat soulja boy). Now I leave yoouuu. (crank dat soulja boy). (yooouuuuu). (ahhhhhhhhhh yoouuuuu)"
kiss me thru the phone (feat. sammie),"Baby, you know that I miss you. I wanna get with you. Tonight but I cannot my baby girl. And that's the issue. Girl you know I miss you. I just wanna kiss you. But I can't right now. So baby kiss me through the phone. (Kiss me through the phone). I'll see you later on (later on). Kiss me through the phone. (Kiss me through the phone). See you when I get home (I get home). Baby I know that you like me. You're my future wife. Soulja Boy Tell 'Em (yeah). You can be my Bonnie. I can be your Clyde. You can be my wife. Text me, call me, I need you in my life. Yeah, all that, everyday I need you. And everytime I see you. My feelings get deeper. I miss ya. I miss ya. I really wanna kiss you but I can't. 6 7 8 triple 9 8 2 1 2. Baby, you know that I miss you. I wanna get with you. Tonight but I cannot my baby girl. And that's the issue. Girl you know I miss you. I just wanna kiss you. But I can't right now. So baby kiss me through the phone. (Kiss me through the phone). I'll see you later on (later on). Kiss me through the phone. (Kiss me through the phone). See you when I get home (I get home). Baby, I been thinking lately. So much about you. Everything about you. I like it, I love it. Kissing you in public. Thinkin nothin of it. Roses by the dozen. Talkin on the phone. Baby you so sexy. Ya voice is so lovely. I love ya complexion. I miss ya. I miss ya. I miss ya. I really wanna kiss you but I can't. 6 7 8 triple 9 8 2 1 2. Baby, you know that I miss you. I wanna get with you. Tonight but I cannot my baby girl. And that's the issue. Girl you know I miss you. I just wanna kiss you. But I can't right now. So baby kiss me through the phone. (Kiss me through the phone). I'll see you later on (later on). Kiss me through the phone. (Kiss me through the phone). See you when I get home (I get home). She call my phone like. Da da da da da da (x3). We on the phone like. Da da da da da da (x3). We takin pix like. Da da da da da da (x3). She dial my number like. Da da da da da da (x2). 6 7 8 triple 9 8 2 1 2. Baby, you know that I miss you. I wanna get with you. Tonight but I cannot my baby girl. And that's the issue. Girl you know I miss you. I just wanna kiss you. But I can't right now. So baby kiss me through the phone. (Kiss me through the phone). I'll see you later on (later on). Kiss me through the phone. (Kiss me through the phone). See you when I get home (I get home)"
pretty boy swag,"G5 kids. Soldier, soldier, soldier. Soulja, soulja, soulja. All the pretty girls stand up. All the pretty boys stand up. Pretty boys in the building. This right here is my swag. All the girls are on me, swag. Everybody pay attention. This right here is my pretty boy swag,. Pretty boy swag, pretty boy swag, pretty boy swag. Girls on my dick when I pretty boy swag. Girls scream my name when I pretty boy swag. Watch me pretty boy swag, pretty boy swag,. pretty boy swag,. Pretty boy swag. Girls on my dick when I pretty boy swag. Girl scream my name when I pretty boy swag. Get out the way pretty boy comin' through. Me and my crew we swaggin' in the room. Girls on me heavy cause I look so sexy. Yellow diamonds shawty in the club straight flexin'. I'm lookin for a yellow bone long haired star. Thick in the hips come get in my car. You party with a star we take off and go to Mars. Pretty boy take off in 5, 4, 3, 2, 1. This right here is my swag. All the girls are on me, damn. Everybody pay attention. This right here is my pretty boy swag,. Pretty boy swag, pretty boy swag, pretty boy swag. Girls on my dick when I pretty boy swag. Girls scream my name when I pretty boy swag. Watch me pretty boy swag, pretty boy swag,. pretty boy swag,. Pretty boy swag. Girls on my dick when I pretty boy swag. Girl scream my name when I pretty boy swag. I'm pretty boy swagin' in the club I feel sexy. No homo shawty but my chest is straight flexin'. Tatted on my neck shawty says she choose me. She got nice tities and a fat ass booty. Took her to my condo let the girl strip. Then she got naked then she pretty girl dip. Damn I like the way lil mama shake that ass. She pretty girl dancin' while I pretty boy swag. This right here is my swag. All the girls are on me, damn. Everybody pay attention. This right here is my pretty boy swag,. Pretty boy swag, pretty boy swag, pretty boy swag. Girls on my dick when I pretty boy swag. Girls scream my name when I pretty boy swag. Watch me pretty boy swag, pretty boy swag,. pretty boy swag,. Pretty boy swag. Girls on my dick when I pretty boy swag. Girl scream my name when I pretty boy swag"
hey you there,"This ya boy Soulja Boy tell 'em right? (Right, riiight). I was up in da MALL man. This big fat police dude was chasin me (WHAT?~!). I looked back thought to myself, ""What's your problem guy?"". He said - HEY, you there!. HEY, you there you there!. HEY, you there! HEY, you there you there!. HEY, you there! (What?) HEY! (What?) There, there. [Verse 1]. Hey (hey) you there (you there). I see you over there (COME HERE!). I want you to come here (ONE TIME). Please sir release her. HEY! You there (you there). I see you over there (ay!). I see you everywhere (you where?). Just come and sit right here (RIGHT HERE!). Hey, how are you doing? (Just chill). We could go see a movie (RIGHT HERE!). I heard you were a groupie (groupie). Just call me next Tuesday. [Chorus]. HEY! You there (WHAT?). HEY! (WHAT?) There, there. Hey (hey) you there (you there). HEY! There, there. [Verse 2]. Hey, you there (okay). I see you over there (one time). I want you to come here (sit down). Please sir release her. Hey! (WHAT?) I seen you yesterday. You didn't even wave (HEY!!). That's why I had to say. Hey, hey, hey, GOODBYE!. You think that this is funny? (No). I think that you're a dummy! (Why?). I have a lot of money. So hey hey hey. [Chorus]. HEY! You there (WHAT?). HEY! (What?) There, there. Hey (what) you there (what?). Please sir release her. [Verse 3]. Hey (boy) you there (what?). I see you over there (you do?). I want you to come here (why?). Please sir release her. Hey, ske-ske-ske-ske-skedaddle. I heard you like to travel (uhh). So why won't you come here and light my. NO I WON'T!!!. [Interlude]. Hey, you there! (What?). Hey, you there! (What'chu want?). Hey, you there! (What do you want?). Please sir release her. [Verse 4]. Hey, I heard you like this music (no). You like the way I do it (yes). You really like to move it, move it. Move it, move it (LEAVE ME ALONE~!). Hey, this right here is my theme song (no). I bet that it's your ringtone (no). I farted and it smelled (you're nasty). It smelled like a stinkbomb (you're nasty). [Chorus]. Hey! You there (what?). Hey! (What?) There, there. Hey! (Hey) You there (huh?). Please sir release sir (GOODBYE!). [Verse 5]. Hey, you there. I see you over there. I want you to come here (what?). Please sir release her. Hey (what) I know you want to get me (no). I heard you want to lick me (ewww). My body is so sticky (nasty) girl you nasty eww. Hey, you there (what?). I see you over there (no you don't). Why won't you done come here? (no). Why, why, why, why? Hey. [Chorus]. Hey! You there (what?). There (what?) there, there. (Hey) you there. Please sir release her. [Verse 6]. Hey you there hey you there hey. Hey (chigga chigga) and watch me. WHAT! You there (what?). There (chigga) there there. HEY! (Yup) You there (what?). Hey! (WHAT?) There there. Hey! (What?) You there (what'chu want?). Please sir release her. Hey (get it) you there (get it). I see you over there. Why won't you done come here?. Please sir release her. [Outro]. HEY!. HEY! There, there. HEY! (You nasty, you nasty). Please sirrah hey hey hey. WHAT!! WHAT DO YOU WANT!!. (No you don't) (I see you over there). (I want you to come here). (Here, here). NO... NO.... So he walked up to me. And he's like HEY, YOU, THERE, THERE. YOU THERE. He said, ""Are you Soulja Boy?"" No. I said no, ""I said no, I'm Rick James bitch "". Shoutout to Juggernaut!. WHAT? You there (What?). (What?) Goodbye (goodbye!). . By Russitus"
turn my swag on,"Soulja Boy Tell'em!. Hopped up off the bed. Turn my swag on. Took a look in the mirror said wassup. Yeeeeeah! I'm gettin' money (ooh). Hopped up off the bed. Turn my swag on. Took a look in the mirror said wassup. Yeeeeeah! I'm gettin' money (ooh). Turn my swag on,. It's my turn now turn it up. Yeeeeeah, yeeeeeah!. I put my team on, and my theme song. Now it's time to turn it up. Yeeeeeah, yeeeeeah!. I got a question: why they're hattin' on me ?. I got a question: why they're hattin' on me ?. I ain't did nothin' to 'em, but count this money. And put my team on, now my whole clic stunnin'. Boy wassup, yeeeeeah!. Boy wassup, yeeeeeah!. When I was 9 years old, I put it in my head:. That ima die for this gold. (Soulja Boy Tell'em). Boy wassup, yeeeeeah!. Hopped up off the bed. Turn my swag on. Took a look in the mirror said wassup. Yeeeeeah! I'm gettin' money (ooh). Hopped up off the bed. Turn my swag on. Took a look in the mirror said wassup. Yeeeeeah! I'm gettin' money (ooh). I'm back again,. I know a lot of all. thought I wasn't coming back.... Yeeeeeah, yeeeeeah!. I had to prove them wrong,. Got back in the studio and came up with another hit.... Yeeeeeah, yeeeeeah!. I told the world my story, the world, where I'm from,. SouljaBoyXL.com, boy wassup. Yeeeeeah, yeeeeeeah!. Now everytime you see me spit,. Everytime you hear my rhyme,. Everytime you see me in your state of town,. Say: wassup. Yeeeeeah, yeeeeeah!. Hopped up off the bed. Turn my swag on. Took a look in the mirror said wassup. Yeeeeeah! I'm gettin' money (ooh). Hopped up off the bed. Turn my swag on. Took a look in the mirror said wassup. Yeeeeeah! I'm gettin' money (ooh)"
mean mug (ft 50 cent),"[Soulja Boy]. My flow sicker, your dough thick, well my dough thicker. You talk sh-t I will kick your door n-gga. I call my goons, my brand new chopper is coming soon. [50 cent]. AK47 got them dialing 9-11. I pull that trigger, you f-ck with my lil n-gga. I come through get ya, hop out them hollow's hit ya. Keep thinking it's a game, n-gga's ain't playing. [Soulja Boy]. Soulja Boy I'll bust your brain. A n-gga talking all that sh-t. Y'all n-ggas cannot represent. F-cking with the youngest killer, youngest gorilla n-gga. Split ya I deal with ya. [50 cent]. Knife sticker, ice picker, run for ya life n-gga. I won't tell ya twice. B-tch go run do the dougie, all the gangsta's they love me. These hoes they be all on me. They can't help that they want me. They want me back. [Soulja Boy]. I'm on another level, b-tch you heard me say that do you. SOD I never mentioned you cause you not worthy. [50 cent]. Yeah, we royalty don't talk to me. B-tch you not worthy. [Soulja Boy - Chorus]. Mean mug, n-gga you gon mug who?. Rob me? n-gga we gon rob you. Choppers on me, n-ggas we don't give a f-ck. I'm in the club, n-gga f-ck your mean mugs. F-ck your mean mugs. N-gga f-ck your mean mug. F-ck your mean mug. N-gga f-ck your mean mug. F-ck your mean mug. N-gga f-ck your mean mug. F-ck your mean mug. N-gga f-ck your mean mug. [50 cent]. When I'm trippin' I'm twisted, I slap my clip in. When I flip, hoe duck down when I start gettin'. I'm iced out, b-tch my neck and my ears drippin'. I lost count all this paper I be gettin'. [Soulja Boy]. Any f-cking game n-gga pass me the ball. And watch a n-gga ball, I'm Gucci to the draws. I'm money over all, I don't really give a f-ck. Tatted on my neck and throat and them girls lick me up. [50 cent]. Lick me up til I pop shawty swallow every drop. From the balls to the top. She must do this sh-t a lot. She's a freak she's a pro. Got that paper it's a go. Bring the Kush, bring the dro. She might bless ya on the low. [Soulja Boy]. Man, that's why I pick you up off the ground. If you make a f-cking sound. Disrespect my f-cking crew. B-tch is you f-cking clown. Get the f-ck back n-gga. We up in the club. High as f-ck, talk sh-t and you gon get dropped. [Chorus]. Mean mug, n-gga you gon mug who?. Rob me? n-gga we gon rob you. Choppers on me, n-ggas we don't give a f-ck. I'm in the club, n-gga f-ck your mean mugs. F-ck your mean mugs. N-gga f-ck your mean mug. F-ck your mean mug. N-gga f-ck your mean mug. F-ck your mean mug. N-gga f-ck your mean mug. F-ck your mean mug. N-gga f-ck your mean mug. [Outro]. Yeah, misery loves company n-gga. I send you to see your dead muthaf-cking homies"
rick ross,"Pull up to the club and I drop my top up. All this money on me, man, you know a nigga floss. And I fucked your bitch, nutted on her lip gloss. Mmg shit, you can call me Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I'm in Wingstop, I'm goin' crazy. I'm in Wingstop and I feel like I'm Rozay. I've been gettin' money every week and every day. I be swagged up like my clique is Mmg. I got twenty pounds and it's in the backseat. Try King Soulja, have you runnin' like track meet. Money on deck, you know this is Mmg. I feel like Rozay when I'm in the Vip. Pull up to the club and I drop my top up. All this money on me, man, you know a nigga floss. And I fucked your bitch, nutted on her lip gloss. Mmg shit, you can call me Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. Yeah nigga money everywhere. Mmg shit, bottles up in the air. We be throwin' money all up in the air. We be shootin' pistols at you niggas, you shoot in the air. I signed Meek Mill, I signed Omarion. I feel like, I feel like, I feel like I'm the one. I feel like Rozay and my hoes gay. In my old-school, goin' 'bout three-thirty-eight. Pull up to the club and I drop my top up. All this money on me, man, you know a nigga floss. And I fucked your bitch, nutted on her lip gloss. Mmg shit, you can call me Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross. I feel like I'm Rick Ross"
soulja boy tellem,"Souljaboytellem' [3x]. Wake up out my sleep its time to start another day. Souljaboy how many albums did u go and sell today?. Boytellem'. S. beezy the truth is what im tellin'. Got this clown dissin' me, but where is his album sellin?. Boytellem'. Im doin' interviews adressin' all these critics tryna under rate me sayin' I aint got no lyrics. Boytellem'. 3x platinum yea I broke the record if you cant respect that tell me what is you respectin'. Dudes rockin' yums fades cuz souljaboytellem'. Blowin' off they myspace page cuz souljaboytellem. Got em' yellin out the A. (cuz souljaboytellem') [3x]. Reppin' S.O.D.money gang cuz souljaboytellem'. The superman what they crank cuz souljaboytellem'. They got they names on they shades. (cuz souljaboytellem') [3x]. Boytellem'. Boy I spit harder I spit fire. We tell them old washed up rappers to retire. Boytellem'. Tryna copy my technique on your album. Its time to crank it up lets turn up the volume. The rap game dont get me started. My lyrics get recycled but yo lyrics just garbage. Boytellem'. For you to get a hit you need a feature. I'm solo every track still comin' out yo speakers. Dudes rockin' yums fades cuz souljaboytellem'. Blowin off they myspace page cuz souljaboytellem'. Got em yellin' out the A. (cuz souljaboytellem') [3x]. Reppin' S.O.D. money gang cuz souljaboytellem'. The superman what they crank cuz souljaboytellem'. They got they name on they shades cuz. (cuz souljaboytellem') [3x]. Dudes rockin' yums fades cuz souljaboytellem'. Blowin off they myspace page cuz souljaboytellem'. Got em yellin' out the A. (cuz souljaboytellem') [3x]. Reppin' S.O.D. money gang cuz souljaboytellem'. The superman what they crank cuz souljaboytellem'. They got they name on they shades cuz. (cuz souljaboytellem') [3x]"
get money niggas (feat. bow wow),[Talking: Bow Wow And Soulja Boy]. Ah ah Soulja Boy. Ah man. Ah man this ya boy Bow Wow right. I'm saying man we.... We gotta sho these niggas what we got in common. Man you kno. We two young niggas. We done made a lot of money you kno. We gon see mo money (We gon see mo money). Ha. But a. We got one thing in common tho nigga. I'm gon let them kno tho. [Bow Wow:]. Get the. Yeah that's me. I live the life. Fast cars. Watching hoes shake it up all night (I do it). [Soulja Boy:]. Fifty on the floo. A hundred on the table (Table). Thirty in the stable. Getting mo paper. [Chorus: Bow Wow]. We some get money niggas. Get get money niggas [x3]. See one thing we have in common. Is that we some get money niggas (Hate). [Bow Wow:]. Holy shit look at the life I live (Damn). I used to be broke like ligaments. And nigga I'm rich. And now that boy got chips. Like ruffles... Lays. And you can say I'm short. But you can't say I ain't paid. You want to talk cribs?. See my shit on the lake. Twenty thousand square feet. See that's a private estate. Helicopter pad for when I make them private escapes. So when it's time to get that money nigga. I'm never late. I'm still the prince of the O-town. Make them hoes go down. Since I turned 21. I don't kno how to act. Hopping out different whips. And smashing like err chick. I don't kno bout ya'll. But this the life I live. They call me. (Bow Wow). [Bow Wow:]. Yeah that's me. I live the life. Fast cars. Watching hoes shake it up all night (I do it). [Soulja Boy:]. Fifty on the floo. A hundred on the table (Table). Thirty in the stable. Getting mo paper. [Chorus: Bow Wow]. We some get money niggas. Get get money niggas [x3]. See one thing we have in common. Is that we some get money niggas (Hate). [Soulja Boy:]. I'm in the Limbo. White with the doors up (Ah). Chain full of snow yeah that bitch froze up (Damn). Sitting in a vet (Vet). Gucci bandana (dana). G4 jet (Jet). I'm to hot to handle (Damn). Space ship don't slip with the flat screens. Yellow diamonds same color as a taxi. Watch the girls joc with my two door pass (Pass). And if you say something wrong. We gon do yo ass. S.O.D. money gang keep stacking. I leaked every song and I still went platinum. Need more purp now number on the speed dial. Money to long. I call that shit the Green Mile. BOW WOW. [Bow Wow:]. Yeah that's me. I live the life. Fast cars. Watching hoes shake it up all night (I do it). [Soulja Boy:]. Fifty on the floo. A hundred on the table (Table). Thirty in the stable. Getting mo paper. [Chorus: Bow Wow]. We some get money niggas. Get get money niggas [x3]. See one thing we have in common. Is that we some get money niggas (Hate). [Soulja Boy:]. This how it go down. Whole neck froze now. Soulja Boy Tell'em. This time got the doors down. I'm doing my thing bitch (Ah). Speak my language. Money walk money talk. Who you blaming?. [Bow Wow:]. Soulja Boy in the Limbo. Bow in the Maybach. If you want to kno. I paid about a half a mill for that. Nigga where ya paper at?. Gucci bag fill of sacks. Red card black card. Gold card I got them all. BOW WOW. [Bow Wow:]. Yeah that's me. I live the life. Fast cars. Watching hoes shake it up all night (I do it). [Soulja Boy:]. Fifty on the floo. A hundred on the table (Table). Thirty in the stable. Getting mo paper. [Chorus: Bow Wow]. We some get money niggas. Get get money niggas [x3]. See one thing we have in common. Is that we some get money niggas (Hate). [Talking: Bow Wow]. I kno it make all ya'll haters real sick huh? (Bitch where my money?). Two young niggas getting money man. You can hate on us all you want man. Yeah. Stuntin on em. And we stuntin on em. And we stuntin on em. Money money money. S.O.D. money gang. LBW Gang you already kno what it is. (Ha Ha)
2 milli,"[Soulja Boy]. I did what I wanted, n-ggas did what they could. a lion wouldn’t cheat but a Tiger would. I only keep real n-ggas in my stable. a million dollar chain, I’m feeling like Gucci’s label. so icey I really don’t care. haters green as a pool table and they twice as square. had to cut a couple b-tches, them n-ggas need stitches. I’m getting money out the tree y’all n-ggas getting switches. similar to Nas, I need a mic though. chop the bread up, Tae Kwon Do. they pass me the game like Tom Brady. these rappers chances looking slim just like shady. [Verse 2]. n-ggas locked behind my bars Im taking out prisoners. sit back relax recieving my residual. think this song is dope sh–t wait til you see the visual. please brace yourself this sh-t about to get critical. let it be known I got rappers on my hit list. I got so many gifts you would swear I stole Christmas. word to the Grinch b-tch my style will switch quick. i knew this all along I was waiting just to hit the kill switch. since day one man your boy been the truth. broke so many records like I’m in the glass booth. like I’m in the glass studio breaking out barriers. back when crime mob was screaming Ellenwood Area. n-gga I aint scared of ya, never ever will be. I’m screaming I’m the best till these rappers kill me. make the people feel me like the blind men do. on your girl head so much like her favourite shampoo. lyrics courtesy of killerhiphop.com. I’m travelling where I want, soulja’s vacation. my mind is so free, emanicapation proclamation. Im so hot, haters evaporating. 6 b-tches on my d-ck I’m elimidating. Im high every friday just like smokey. Im spitting real sh-t, these n-ggas spitting Karaoke. hit stick with the flow just like Madden. Im so high on my carpet feeling like Alladin. I spit hot flames b-tch just like a dragon. and my pants saggin. spell it backwards n-ggas. n-ggas get heated when they see the coupe on. i dont give a f-ck got my Pyrex suit on. I’ma keep rapping til the fans hear the best of me. Im cooking up the game b-tch yeah I got the recipe. you aint gotta like me just please respect it. hip hop is dead n-gga let me resurrect it. microphone check it, uno, dos, tres,. I’ma keep spitting til they crown me the best. the rap games a mess, let me clean it up. its a pigsty they going ham give it up. [Verse 3]. flying down the highway a million on the dashboard. you cant start my car up unless you got the password. I’m something like a prophecy spit so properly. when my album drops watch how many rappers copy me. haters opinions are obsolete. don’t make pop music so it ain’t no pop in me. and my brains a b-tch where she at when I need her. ya pack nines, I pack nine kilometers. ya did’nt want beef why would ya start it. cameras flashing like you walking down the red carpet. first you was nameless now imma make you famous. hit you with the stainless and leave your ass brainless. best rapper…. . By Jamun*"
