why,"[story dialogue]. Aight nigga hold it down baby, one love. Aiyyo, yo Bruce - ohhh shit!. Aiyyo nigga. Yo I know this ain't that nigga Kirk. Yo Bruce - yo Bruce, that that nigga Kirk?. Look look, look at that nigga. Who that Dez? - This Dez, whassup nigga?. [Verse 1]. Oh shit, nigga, when they let yo' ass out?. What the fuck you been drinkin? Look like you bout to pass out. [SF] Nah, I'm aight G just had a little Olde E. You know me - tryin to keep it cool play it low-key. You heard Brucey got knocked and Clay, he shot Fozee. [SF] Yeah, I know G, damn that shit is fucked up right?. Yo Bruce, you could drop me off at 57th & 9th. Damn I would but I gotta pick up my seed and my wife. Plus you be on some other shit and I don't need dirt in my life. [SF] Come on nigga I got the gas money, plus I got this L. You gon' shit on me son? I just got outta jail. Yeah aight god but I ain't with the bullshit no more. [SF] What you talkin bout man?. Put that cigarette out. [SF] Oh what, you don't smoke no more?. Nah it's just a new car and don't slam my door. [SF] Aight but on the way I need to make a stop at the store. See, give a nigga a inch, he take a yard. But you my dog, so I'ma keep it real with you God, come on. [SF] Aight good looking nigga. You better buckle up nigga. (Chorus: repeat 2X). We live our life like this, we live our life like this. We live our life like this, we live our life like this. We live our life like this - why?. [Verse 2]. [SF] Aiyyo, pull over right there nigga (where?). Right beside that blue Lexus (where you goin?). I just gotta go pick up some money; I'll be back in a few seconds. Yeah aight don't let a few seconds turn into some minutes. cause I'll bounce on you nigga, tires burnin wheels spinnin. [SF] Nigga you leave me? Your ass'll never hear the end of it. Yeah aight God whatever man just hurry up and cut the bullshit. (Inside the jewelry store). Aight you know what this is everybody on the motherfuckin floor.. Take that shit off!. Yo, I'm Tyrone Holmes. I ain't givin up nothin.. What nigga? (*two gun shots*) Fuck that. Motherfucker. Stop cryin!. (Outside at the same exact time). Only two minutes double parked, here come cops. Saw 'em in the rear view, that's when I heard shots. I seen the store door open, it all happened in slow motion. My man running with his gun smoking (Oh shit!). I'm ready to pull off and act like I don't know him. [SF] Nigga, yo go nigga go, go, God. You don't you see the cops? You buggin. [SF] What? How they gon' catch us? We in a S-500. Nah, you lunatic ass nigga I ain't goin down for you. [SF] Nigga we could get away. but if we get caught, they gon' hang you too. Damn. [Chorus] - 1.5X. [Verse 3]. Now we doin bout a hundred miles per hour down back blocks. About a million things on my mind, a nigga that hot. This clown next to me, actin like he hit the jackpot. [SF] Nigga what the fuck is your problem? I got the loot (What loot?). You beefin with me ain't gon' get us out of hot pursuit. Yo, I heard shots, what was that?. [SF] Some fool wouldn't give me his jewels. See, you whylin God, I'm thinkin bout my wife and my kid. Nigga my life, I ain't tryin to do no bid. [SF] Nigga I think you actin scared, if you really wanna know. You drivin too slow - YO nigga keep your eyes on the road. You almost spun outta control on that last pothole. Slow your role Kirk Jones son you just don't know (I don't know what?). Yo the way I feel right now, I never felt iller. How you gon' crab me like this and violate a nigga?. [SF] Violate you? Nigga you tryin to front on me?. Remember I'm the nigga in this bitch that got the heat. and before the cops catch me I'm holdin court in the street. You think I'm gon' let the cops get you, arrest you. (Now you thinkin) handcuff you? You crazy? I wanna kill you. (What?) You selfish motherfucker you ain't seein the light. Remember I was supposed to be pickin up my seed and my wife. (Shut up) Now I'm a wanted accomplice in a jewelry heist. [SF] Fuck, you want me to say I'm sorry I swear, look me in my eyes. But if you gon' act like a bitch nigga then let me drive. Yo son what the fuck you doin God?. Yo fuck that.. Get off the steerin wheel.. Yo fuck that nigga, you act like a real pussy nigga.. Yo, you whylin son, you gon' make me crash!. [Chorus]. The assalaints begin to fight in their own stupidity.. Instead of working together to get away, they do the exact opposite -. and wind up heading for a tragic situation.. Now I'll let you hear the rest.). Yo, yo relax. I got this, I got this God!. {*argument continues, car crashes*}. [Sticky Fingaz]. Oh shit! Yo, yo - yo Bruce!. Oh shit.. {*trying to help*}. Come on man, come on man, you be aight man. Yo yo, it's not that bad man, it's not that bad man. Trust me - yo would I lie to you man?. Trust me man (I don't think I'ma make it God). Oh shit.. it's gon' be alright man. (Tell my wife I love her). Yo Bruce man, don't don't fuckin die on me man. {*song bleeds into the next track Oh My God*}"
come on,"[Do you feel the way I feel...]. Feel that shit nigga. Do you feel the way I feel?. Do you fuckin feel it?. Yo, yo, yo. Yo, yo, yo. HOOK:. You wanna wild out, come on!. Act up, come on!. Throw gunz, come on!. Smoke 'dro, come on!. Fuck hoes, come on!. Make dough, come on!. What?! We can do it kid however you want!. You wanna wild out, come on!. Act up, come on!. Start beef, come on!. Make money, come on!. Throw gunz, come on!. Fuck hoes, come on!. What?! We can do it kid however you want!. [Verse 1]. Oh you aint know?. Sticky Fingaz went solo. And got the whole hood in a choke hold. Radio locked like I was po-po. You rappers get no dough. I make you have oral sex with the fo-fo. I'm unstable, get cash under the table. I blaze you, not even God could save you. What?! I aint havin it, I'm ignorant and arrogant. Dogs couldn't sniff me out, cuz I aint have a scent. Your wifey's checkin me, said I had sex appeal. Been hittin niggas' girls, way before the record deal. Let me make it clear just so it's understood. That don't make you no thug cuz you from the hood. My nine's stainless, I speak in sign language. My mind changes, every time the wind blows. Gunshots got me jumpin out of second story windows. Beef on impulse, you get murdered over insults. HOOK. [Verse 2]. Goddamn I'm hungry, and it's time to eat. I'm the worst thing since crack to hit the street. The man that could murder me, I'm dyin to meet. Rapper fuck your own seed and shoot a 5 wit me. I intake shit from no man, I set up my own fam. I never was a kid came out the pussy a grown man. I slept in a slum, I'm second to none. I give you ten seconds to run, 9, 7, 3, 2 1! BLAU!. Half my niggas aint gon' never see sunlight. Got twenty stitches under my navel from a gunfight. You better watch your back for them thug hoes. I believe in safe sex and go to bed with a snub nose. Rhyme like my life on the line, I'm nice with the nine. Knockin out big niggas twice my size. So take a dirt nap when normal people slept I used to purse snatch. A bullet costs a quarter, but your life aint even worth that. HOOK. [Verse 3]. It's a whole new me, but the same old you. We had beef before well deja vu. Never seen nothing like this I rip your whole crew. Ever thought about death, that's what you bout to go through. I stay to myself, I'm anti-social. I ghost you, and wild out like I'm supposed to. My rollie got a body son, it costs a life. Every time it tick I can see the soul on ice. I call a hotline, to get yours, I got mine. And son I got glock nines, tech nines, mack 10's 11's and 12's. 22's, 25's, 32's, 38's, 44's, 45's, AK-47's. Don't be a smartass, I put a hole in your forehead. Stomp you out and beat yo' ass to syllables.... You... stupid.... mother, be lucky I aint killin you all. I hung myself on my umbilical cord. HOOK"
get it up,"Is y'all ready to go up in here?. Aiight, pull the black mask down. We bout to rush the door. (Ah shit, hide your jewelry). I told y'all we was coming. Yo everybody watch out. Word up. [Chorus]. Get it up, huh. The ice on ya wrist player pick it up, huh. My killers in the cut coast stick em up, huh. Ladies grab your shirts and lift em up, huh. Lemme see your ass baby back it up, huh. My soldiers on the front line actin up, huh. Lemme see your guns, what throw em up, huh. Lemme see your guns, what throw em up, huh. Lemme see your guns, what throw em up, huh. Yo Sticky Fingaz, word up. I told y'all niggaz. Yo come on. Hennesied up, play the cut lighting it up. Rag on my head, eyes lookin half way dead. Brought my thugs to the club, straight off the street. I'm iceburg to my feet about a third of the week. Relax baby don't spazz cuz he touched your ass. I ain't say shit when your friend touched my dick. I see Brooklyn schemin, we all in the spot. But that's hip hop, we rap niggaz from off the block. Is it me or is it gettin hot in here. I think somebody bout to get shot in here. The nine mill guarenteed to clear the spot in here. And we ain't get searched kid, we got glocks in here. Someone bring me to the hoe suckin cocks in here. I think they trying to shut it down, I seen cops in here. I'm the hottest shit Universal got this year. And all my niggaz rockin rocks in here, come on. [Chorus]. Black Trash. Ayo kick that old real shit. That Queens shit. Firemarshall said it's too packed, nigga fuck the law. And the guest list, niggaz bout to rush the door. Got cats online in ties and suits. We come through VIP button flies and boots. Everybody gettin comped, I ain't paying no admission. Stick Fingaz, I can't even pay attention. Love the freaks that tweek and be liftin it up. Love the freaks that ceep and be giving it up. I got twelve inches, I'm well hung. Nine on my dick and three on my toungue. My manager, the bitch name is Helen Wate. Need a free show? Nigga go to Hell and wait. And if God only helped those who help themselves. When I see something, I want em, I help myself. So unless me and you come to an understanding. You gonna be under, and I'ma be standing. [Chorus]. Word up. We takin all y'all money. We takin all y'all bitches. What y'all thought it was. I'm so hot to death. I'll probably get shot to death. Fuck who the cops arrest. My killers is rough, shoot up the club like Puff. Niggaz'll duck, chains tucked, Timbs get scuffed. I pull a four-four from out of the seat. Up out it and beat. Picture me not riding with heat. Jump out of the Jeep. Clear a nigga out of the street. Nobody can creep. Thirty deep nigga, I'm out of your reach. Ain't nothing but killers boasting next to me. I'm prejuduce, I hate every color except for green. In the club, that's were my niggaz jwewlry shop. When the hammer cock, we don't care who we box. So why you come to the club, what you livin it up. Why you fuckin with that chicken, was she givin it up. Why you even cop jewels, what you can't get stuck. Why you never say when, you ain't had enough. [Chorus]. Let's go. Get it up"
state vs kirk jones,"[Rah Digga]. Yeah, State vs. Kirk Jones, Judge Battle now residing. Got a case of armed robbery that ended up in violence. Maximum sentence, life in jail's what you're facin. Prosecution set it with your opening statement. [Canibus]. Your honor, before we get started. I'd like to give my condolences to the family of the dearly departed. Tyrone survived by his mother Barbara. His two year old daughter T'wanna. And the baby's mamma Sandra. [He's a murderer! That animal killed my baby's father!]. [Rah Digga]. Order in the court!. [Canibus]. I'm sorry for the outburst your honor. I have an original copy of the police report. January the 4th the day that Kirk Jones got caught. The forensic report states there was a gun in the car. And gunpowder residue on Mr. Jones' right arm. Baliff, could you please pass this report to Judge Battle. Mr. Fitzpatrick there's a few questions I'd like to ask you. You said you was outside the store in Manhattan. So could you please tell this court what you saw happened. [Superb]. Yeah he killed Tyrone. I saw everything, the argument, how son drawed, hose and everything. The worst shit I saw in my life. I wanna testify I swear before God it was Kirk Jones, no lie. [Canibus]. Did you see that man in court today?. Do you think that you could point him out?. [Superb]. Yes that's him right there. [Canibus]. Are you sure?. [Superb]. Yeah without a doubt. Same nigga that took my Pumas but I aint hold no grudge. Remembered his foul ass when I saw the blood. [Canibus]. You stated you had a run in with Kirk Jones before. In your opinion is he the type that would rob a jewelry store?. [Redman]. Your honor, objection!. His opinion should be stricken from the record!. [Rah Digga]. Objection sustained, prosecution next question. [Canibus]. I'd like to call my next eyewitness Mr. Paul Dejour. Paul could tell us what happened inside the store?. [Scarred 4 Life]. Yeah, it was about 20 past, I saw the S class. Pull up in the reflection in the mirror in the store glass. And quicker that you could say, nigga kiss my ass. He hopped out of the passenger side wit a black ski mask. I saw somebody run up in the store and order us on the floor. Yo I swore I was a goner for sure. He tried to snatch Tyrone's bracelet. It just appraised to the twenty grand and Tyrone wouldn't let him take it. [Canibus]. Is that the moment when he shot him?. [Scarred 4 Life]. Yeah man that's when he popped him. I was so scared I laid there, played possum. He started to blast this way, til the gat was empty. He took the gun handle and broke the glass display. He emptied all of the trays and ran out the store. And I watched Tyrone bleed to death on the floor. I can't remember no more, that's all that.... [Canibus]. Okay, okay calm down. I have no further questions your honor. [Rah Digga]. Court is now in session, now gettin back to business. Pat Haley for defense please call your first witness. [Redman]. Yeah aight your honor, I call up Henry Lace. He's the witness that I'm cross examinin for the case. [Guess Who]. Yeah I testify your honor, it was death by dishonor. It was a crime committed, I swear to you I know who did it. It happened so fast, I didn't see alot of it. But I know for a fact he stuck a gun to his esophagus. [Redman]. Wait, wait, wait objection your honor, his statement's preposterous. There was no weapons found, no sign of no hostages. Remember Mr. Henry Lace you under oath [yeah I know]. You lyin in the stand to get him fryin in the pan. Now where was you the night you claim he shot Tyrone. You and holmes had beef before Kirk got home. Was you mad because he came home bangin your chick [what you talkin 'bout?]. Got your boys out the hood now they slangin and shit. I know you mad that's why you in court, turnin on him. Kirk cold blooded killer wit no burner on him. Come on you don't believe he murdered Tyrone. I believe you wasn't there you just heard it by phone. [Guess Who]. Man you crazy man I was right there... [Redman- Yeah right... I read your rapsheet.... calm down, calm down, chill, chill, Kirk, Kirk.... [Sticky Fingaz]. No he wasn't! He's lyin! Fuck you you liar!. Man fuck that he's lyin he wasn't even there man!. [He killed Tyrone man! Fuck that!] No I didn't!. Man he's lyin man! He's lyin. [Rah Digga]. Order in the court now I'm warning you defense. Tell your client take it down, matter fact 'proach the bench. Counsel in my chambers so that we can situate. Let the jury be excused so they can go deliberate.... [Sticky Fingaz]. Yo man, Mr. Haley what kind of defense is this man!. What you doin man?! She gon' fuckin hang me man!. No! Sh-she's got it in for me I'm tellin you man!. You promised you'd get me off man!. [Rah Digga]. In the case of the State vs. Kirk Jones you heard it. Both sides testified and the jury reached a verdict. GUILTY all counts from theft to murder one. [Sticky Fingaz- Huh? Wha-wha-what?! GUILTY?!]. By the time you gettin out you gon' have a grandson. [Sticky Fingaz]. Fuck you bitch I'll see you in hell bitch!. Fuck that!! Fuck that!! Fuck, get off me! Fuck you Pat Haley!!. [Rah Digga- What?! Get him out of my courtroom!!]. Fuck the judge, fuck everybody!!. [Rah Digga- Baliff, baliff remove him from my courtroom...]. Fuck this shit!! I hope you all burn in hell!!!. You're gonna die bitch!! Fuck you!!!. [Rah Digga]. You will spend the rest of your life in jail for this!. You will be held for contempt of court, and anything else I can find that...."
another niguh,"[Chorus]. Who are you to question, how I live. When the whole entire world is negative. I'm just tryna eat, tryna stay alive. Keep my hustle in the street til the day I die. [Sticky Fingaz]. From NY, Southside where guns hide. Shells fly, eyed red, I'm dumb high. Got one eye, you get wet and hung dry. Leave you tongue-tied, mothers watch their young die. Nig' you wan' die? Fuck a car through run by. I'll be waitin at your crib for my money til the sun die. Six niggaz eat, divided off one pie. A nigga as ill as me is so hard to come by. Squeeze this rap shit til the well run dry. I never spoke to one time not even one time. Look at my brain it's every rapper combined. I'm bout to OD on some shit like Sublime. [Chorus]. Who are you to question, how I live. When the whole entire world is negative. I'm just tryna eat, tryna stay alive. Keep my hustle in the street til the day I die. I'm just another face from a movie screen. A tough little nigga from a magazine. I said you're lookin for trouble if you want his cream. Remember everything ain't what it seem. Now can you feel me? Can you feel me?. Can you feel me? Can you feel me motherfucker?. Can you feel me? Can you feel me?. Can you feel me? Then get it right motherfucker. [Sticky Fingaz]. A'yo pass that, niggaz like that get blast at. Your life flashback, you was born out the asscrack. You mad wack, walk around with that gas pack. You get laughed at and asked that where the mask at. 15.3 match that, coupe hatchback. I'm a class act, got assets, where the ass at?. I do you like I did them niggaz on the last track. We like dice, if you gon' roll don't ass bet. I won't rest in peace, even in my casket. Had the '03 hum' in '02 and I crashed that. I rap slash act, seven digits I cash that. Niggaz wan' dead the beef now but it's passed that. [Chorus]"
baby brother,"[Sticky talking]. Let me call this nigga. Come on man; pick up the damn phone. [Brother]. Hello. [Sticky]. I got your pictures, damn we look just alike. A younger version of me, half my age same height. I played ""beat you up"", made you tough, thought you to fight. Put you on, showed you things, put up your first bite. Now you on the streets making the same mistakes I did. That got me nowhere, so I'm trapped upstate in this bid. Caged like an animal ain't no way to live. Got a baby on the way, who gone father my kid. Where you going now I can clearly see. You either going in an bag or in jail with me. Remember when we was younger and you promised me. You be the first in our fam with al college degree. I know you see the cars, the girls, the clothes, the jewels. And think it's all about the money, heard you dropped out of school. I ain't trying preach but if I don't, who gonna. Couldn't live with myself if you died on the corner. You're my baby brother. [Chorus: Dave Hollister]. You are my baby brother. And you know I love you nigga. I'm just trying to keep you out there. You don't want to end up in here. [Brother]. I hear what you saying big brother, but listen to me. I ain't trying to be the nigga working Mickey D. When I can hustle on the block and come home with a gee. Yeah you right I want jewels and push a luxury V. But what's wrong with that, I wanna love comfortably. Just like the next man driving round the hood in my Lex Land. I ain't got nobody taking care of me. And as far as a school, well it just ain't for me. [Sticky & Brother]. So what you wanna do huh. What you gone sell drugs all your life. (I might). See you ain't even right. Maybe when you sober up to see the light. (Hold up, this is my life, I live it anyway that I like). Yo look I'm just trying to help. You know all you want to do is get blunted. (I need money, my wifey got a seed in her stomach). If you can't see the cycle then you must be blind. And your child getting a father that was just like mine. You're my baby brother. Chorus. [Sticky & Brother]. So is you like that. I mean what's the deal?. Don't you too worry about trying to keep it real?. (Man whatever, this is how you feel then this how you feel). Yo what's this I hear, you had a gun concealed. (Yeah, I keep my nine (See this what I?). (Hold up, let me speak my mind. Look at you, you can't even talk you doing mad time). Yeah look at me, this is how you wanna be. Locked up, the cops tell you where you can pee. (I got to go man). Ooh you don't even want to hear me out?. (Yeah, but you talking mad shit I don't even care about). All I saying is that you got to be more responsible. (Aight man, whatever I'm a talk to you). [Sticky]. Yo, yo.... Damn. He gone end up just like me. Chorus"
bad guy,"i learned at a early age whats important in life. its a game,bet your money,dont get caught in that dice. i had tony montana dreams of takin over. getting rich mixing yae,wit dat baking soda. theres 3 options get money,death or jail. fuck college,my career wuz right there in those scales. never personal,nah im a businessman. cut off a nigga hand he come up short on a gram. put your money where your mouth iz,ill take yo chips. cuz if dont make dollars,den it dont make sense. ask any nigga dat did dirt wit da god. i used to work hard,robbing niggaz dat work hard. so if youre slanging keys. or slanging cds. the more you sell,the more jealousy youre gonna see. im olny good at doing drugs,sports and entertainment. thats what i told the judge in court at my arainment. chorus(x2). I sold everything from crack,to guns,to weed. keep the heat between my boxers and my dongeries. the whole business ran off supply and demand. wit dis i had a whole hood inside my hand. just taste it,swear your tongue be numb for a week. but try to jerk it,swear yo azz be unda the sheet. keep flipping it raw,keep sellin that weight. till they,kick in the door,its the american way. organized crime,infratated the force. we above the law,thats cause we paying em off. gave my debt to society,but wheres my change. for when i went in,i came out worse or even the same. its the game of life. been like dis since the beginning. who could get the most cars,collect the best women. you cant judge nobody cause its all essense. whoever die wit the most money in the end when. chorus(x2). (chorus). if nothin good is wrong then i dont want to be right. and if we got to knock a block or two then thats just fine. call me the bad guy(the bad guy). i got to have mine(got to have mine). if nothin good is wrong i dont wanna be right"
can't call it,"It's ugly, yo. This that Scott Storch shit. Sticky Sticky Sticky Fingaz. Missy Elliott. This that jungle shit. [Chorus]. Why I always see you up in the club?. I can't call it. Why niggaz be showin you love?. I can't call it. Why you skate in nothin less than dubs?. I can't call it. Yo, what is about you ma?. I can't call it. Why you always got on somethin tight?. I can't call it. Why you only come out at the night?. I can't call it. Why your clothes always so high priced?. I can't call it. Yo, what is about you ma?. I can't call it. [Sticky Fingaz]. I got a big flamethrower, big Range Rover. And when we come to a party you know the thing over. Blaow, shorty seem to just come to us. And wit that bangin ass body you know what we be doin. Word up, air it out, just give it to us. We ain't takin advantage, they said they wanna do it. I gave drunk dick to her. You could ask her later what the Remi did to her. Like yo, when you hit them back four walls. Them back four walls make you collapse on all fours. Backslidin and grindin, furniture gon' fall. Rough sex in the bed, baby we could brawl. Now. [Chorus]. Ma, what you got in that denim?. I can't call it. Why you always lookin at women?. I can't call it. Why if niggaz ballin you wit 'em?. I can't call it. What is about you ma?. I can't call it. You like your ass better in thongs?. I can't call it. Why you never wearin a bra?. I can't call it. Why I always see you wit stars?. I can't call it. What is about you ma?. I can't call it. [Sticky Fingaz]. I'm lookin at this girl, lookin at my women. It's lookin like she givin us signals to come wit her. Not sayin she dyke but look kinda bully. I'm just sayin some women today prefer women. Ain't nothin changed I'm the same crook. Tryna floss while I'm around get ya chain took. I snatch rocks and when I'm horny I snatch women. While them bitches runnin away I'm just playin wit 'em. I'm eatin you, you givin me head. When I blessed your bed when I spread your legs. While you moanin and groanin I'm hittin that ass. Wifeys, mothers and daughters be strippin for cash. Now. [Chorus]. Why you always up in the club?. I can't call it. Why niggaz be showin you love?. I can't call it. Why you skate in nothin less than dubs?. I can't call it. Yo, what is about you ma?. I can't call it. Why you always got on somethin tight?. I can't call it. Why you only come out at the night?. I can't call it. Why your clothes always so high priced?. I can't call it. Yo, what is about you ma?. I can't call it"
caugh in da game,"[Chorus]. In these streets, where we from. We all caught in the game. Tryna pull our life out of the drain. If you don't make it, you the one to blame. In this life, that we live. We only tryna survive. It's hard with the blind leading the blind. Everybody here stuck in the grind. [Sticky Fingaz]. They said I was crazy, nigga sick in the head. Who raised me? My mother was sick in the bed. How could you blame me? On the block gettin that bread. They couldn't change me, too hot, dippin them feds. I made a promise, not to go back to jail. Under my garments, gun tuck, packin that steel. But reguardless, this nigga here is out of the field. Now my partners is only money, that's real. I got my mind made up, my shine ain't up. Until I'm in that casket, my time ain't up. Tell you bout my lifestyle, I'll walk you through. First mix the Louie wit the Johnnie-Walker blue. Now peep the hooptie, I'm followed by my crew. Hundred thou' in jewelry when the God come through. I kept it thorough with my ear to the streets. Now we gettin Cash Money without the gold teeth. [Chorus]. In these streets, where we from. We all caught in the game. Tryna pull our life out of the drain. If you don't make it, you the one to blame. In this life, that we live. We only tryna survive. It's hard with the blind leading the blind. Everybody here stuck in the grind. [Sticky Fingaz]. I done seen pain, felt pain and lived pain nigga. Half my life in these streets down the drain. Analyze the game through the eyes of my father. Had to feel my way through with the revolver. That goes to tell you he ain't show me nothin. Mad at the world when they ain't owe me nothin. So I apply pressure, why not for more measure. And more cake, we turn hoods to whole states. For my real niggaz, dressed in greens is upstate. Trapped in that cold cell with no bail. We ain't mean to hurt nobody to get them dollars up. Half my niggaz goin dead'll push ya flowers up. I'm fresh out the county, with no shoe laces. They thought they could stop us with probation?. We just live on the run and switch up locations. Play the future by the air until it's time to face it. [Chorus]. In these streets, where we from. We all caught in the game. Tryna pull our life out of the drain. If you don't make it, you the one to blame. In this life, that we live. We only tryna survive. It's hard with the blind leading the blind. Everybody here stuck in the grind. (?). Young niggaz stay hungry for war. Bred and raised by hustlers and whores. Born the struggle in this jungle, escape poor. While the White House got ten rooms with ten blind doors. I was born to fight for what's right, by the day and night. Prayin for life cause shit ain't tight in these streets. That's why I stay squeezin my heat. And strippin life from mammals. A hungry young hustler ready to gamble. For a better way of livin so fuck sittin in prison. Cause every niggaz a? victimized by the system. Cops and cellblocks, why hell rots. Young thugs from Queens to?. Slugs give shellshocks in these streets. where funeral bells knock. [Chorus]. In these streets, where we from. We all caught in the game. Tryna pull our life out of the drain. If you don't make it, you the one to blame. In this life, that we live. We only tryna survive. It's hard with the blind leading the blind. Everybody here stuck in the grind"
cheatin',"This is to my niggas up in here with they fuckin' shorties and. shit...your girls...your wifies and shit...this is to them niggas.... (Chorus 1). Victoria don't know how to keep a secret. like a nigga need pussy, a bitch need dick. statistics show that out of every ten hoes. whether married or in love done cheatin' befo'. and if they did it once, they'll probably do it again. turn your back, Jerry Springer style, screwin' your friend. and that alone's enough to make any niggas furious. nigga you wasn't hittin' it right, maybe she's just curious. (Verse 1). You all serious, your girl all gigglin'. 'cause she know I'm right, somebody slid up in that clitoris. (somebody slid up in that clitoris). (somebody slid up in that clitoris). how to know if your girl cheatin'. does she go out every weekend?. freakin', you and her hardly speakin'. she hang with hoes, and you hate them chicks. leave the club around Three, don't get home 'till Six. probably met some nigga, she ain't goin' home. claim the battery died on her mobile phone. you found a number, she swear she don't know who's it is. she know more niggas than you in the music biz. you try to talk to her, but she's in her own World. on the phone with some nigga, actin' like it's her home girl. you don't think your girl got bones in her closet?. bring it up she starts an arguement and change the topic.. (Chorus 2). aiyo, turn it up, and take a look at your bitch. if she smilin' somebody stuck a dick in your bitch. now think about when you're not around, who she be wit'?. and think about the bullshit you got away wit'. (Verse 2). You better pay attention now, or you gon' cry later. middle of the night, a nigga blowin' up her skypager. you can't hear it though, she got it on vibrator. she be creepin' 'cause you think she gon' violate her. when you havin' sex is she already sore?. did the pussy feel like it was tighter before?. is she gettin' gifts she couldn't only afford?. been together for a Month and she already bored?. if your girl is cheatin' with her legs open wide. you never know, she could be playin' from both sides. she could be playin' with another chick G.. 'cause nowadays all bitches ain't strictly dickly.. (Chorus 2) - 2X. (Talking to girl). Aiyo.... huh?.... let me ask you somethin'.... yeah?.... you love me?. yeah I love you. huh...yeah right.... (Chorus 3: repeat 2X). It was just sex, probably ain't mean nothin' to her. it was just sex, it was just a fuck to her. no emotion, no love, no feelings inside. it was only one time, it was only one night"
