"yeah! (feat. lil jon, ludacris)","[Usher:]. Peace up!. A Town Down!. [Lil' Jon:]. Yeah, Ok! Lil' Jon!. [Usher:]. Yeah, Yeah Yeah, Yeah yeah, Yeaah. Yeah, Yeah yeah, Yeah yeah, Yeaah. [Usher (Verse 1):]. Up in the club with my homies,. Trying to get a lil V-I, keep it down on the low key,. 'Cause you know how it feels. I saw Shorty she was checkin up on me,. From the game she was spittin' in my ear. You would think that she knew me.. So we decided to chill. Conversation got heavy,. She had me feeling like she's ready to blow. (Watch Out!, Watch Out!). She's saying ""come get me, come get me"". So I got up and followed her to the floor,. She said ""baby, let's go"". When I told her I said. [Usher (Chorus):]. Yeah (yeah) Shorty got down, saying ""come and get me"". Yeah (yeah) I got so caught up I forgot she told me. Yeah (yeah) Her and my girl used to be the best of homies. Yeah (yeah). Next thing I knew she was all up on me screaming. Yeah, Yeah yeah, Yeah yeah, Yeaah. Yeah, Yeah yeah, Yeah yeah, Yeaah. [Usher (Verse 2):]. So she's all up in my head now,. Got me thinking that it might good idea to take her with me,. 'Cause she's ready to leave (ready to leave) (let's go). But I gotta keep it real now,. 'Cause on a one to ten, she's a certified twenty,. But that just ain't me. Hey!. Because I don't know. if I take that chance just where it's gonna lead,. But what I do know is the way she dance,. makes Shorty alright with me. The way she gettin' low!. I'm like, yeah, just work that out for me. She asked for one more dance. And I'm like, yeah,. How the hell am I supposed to leave?. And I said. [Chorus]. Yeah (yeah) Shorty got down, saying ""come and get me"". Yeah (yeah) I got so caught up I forgot she told me. Yeah (yeah) Her and my girl used to be the best of homies. Yeah (yeah). Next thing I knew she was all up on me screaming. Yeah, Yeah yeah, Yeah yeah, Yeaah. Yeah, Yeah yeah, Yeah yeah, Yeaah. [Lil' Jon:]. Luda!. [Ludacris (Verse 3):]. Watch out!. My outfit's ridiculous,. In the club lookin' so conspicuous.. And Rowl!. These women all on the prowl,. If you hold the head steady I'm a milk the cow.. Forget about the game I'm a spit the truth,. I won't stop till I get 'em in they birthday suits.. So gimmie the rhythm and it'll be off with their clothes,. then bend over to the front and touch your toes.. I left the Jag and I took the Rolls,. If they ain't cutting then I put 'em on foot patrol.. How you like me now,. When my pinky's valued over three hundred thousand,. Let's drank you the one to please,. Ludacris fill cups like double d's.. Me and Ush once more and we leave 'em dead,. We want a lady in the street, but a freak in the bed to say. [Chorus]. Yeah (yeah) Shorty got down, saying ""come and get me"". Yeah (yeah) I got so caught up I forgot she told me. Yeah (yeah) Her and my girl used to be the best of homies. Yeah (yeah). Next thing I knew she was all up on me screaming. Yeah, Yeah yeah, Yeah yeah, Yeaah. Yeah, Yeah yeah, Yeah yeah, Yeaah. [Ludacris (Bridge):]. Take that and rewind it back,. Lil' Jon got the beat to make you booty go (clap). Take that and rewind it back,. Usher got the voice to make you booty go (clap). Take that and rewind it back,. Ludacris got the flow to make you booty go (clap). Take that and rewind it back,. Lil' Jon got the beat to make you booty go (clap)"
my boo (feat. alicia keys),"There's always that one person. that will always have your heart. You never see it coming cause. you're blinded from the start. Know that you're that one for me,. it's clear for everyone to see. Ooh baby (you will always be my boo). [Alicia Keys]. I don't know about y'all but I know about us and that. It's the only way we know how to rock. I don't know about y'all but I know about us and that. It's the only way we know how to rock. [Usher]. Do you remember girl I was the one. who gave you your first kiss. Cause I remember girl I was the one. who said put your lips like this. Even before all the fame and people screamin your name. Girl, I was there and you were my baby. It started when we were younger you were mine. (my boo). Now another brother's taken over but it's still in your eyes. (my boo). Even though we use to argue it's all right. (my boo). I know we haven't seen each other in a while. But you will always be my boo. [Alicia Keys]. I was in love with you when we were younger. you were mine (my boo). When I see you from time to time I still feel like (my boo). (that's my baby). You can see it no matter how I try to hide. (my boo). (I can't hide it). And even there's another man who's in my life. You will always be my boo. (Alicia Keys). Yes I remember boy, cause after we kissed. I can only think about your lips. Yes I remember boy the moment I knew. You were the one. I could spend my life with. Even before all the fame and people screamin your name. I was there and you were my baby. [Usher]. It started when we were younger you were mine. (my boo) (you were mine). Now another brother's taken over but it's still in your eyes. (my boo) (yes it is). Even though we use to argue it's all right. (my boo) (it's all right, it's ok). I know we haven't seen each other in a while. But you will always be my boo. [Alicia Keys]. I was in love with you when we were younger. you were mine (you were my boo) (my boo). When I see you from time to time I still feel like (my boo). You can see it no matter how I try to hide. (my boo)(it's all right now, it's ok). And even there's another man who's in my life. (what we have is in each other). You will always be my boo. [Usher & Alicia Keys]. My oh my oh my oh my oh my boo. My oh my oh my oh my oh my boo. [Usher]. It started when we were younger you were mine. (you were mine)(my boo). Now another brother's taken over but it's still in your eyes. (my boo) (you and I). Even though we use to argue it's all right. (my boo) (it's all right, it's ok). I know we haven't seen each other in a while. But you will always be my boo. [Alicia Keys]. I don't know about y'all but I know about us and that. It's the only way we know how to rock. I don't know about y'all but I know about us and that. Is the only way we know how to rock"
confessions part ii,"Watch this. [Refrão]. These are my confessions. Just when I thought I said all I can say. My chick on the side said she got one on the way. These are my confessions. Man I'm thrown and I dont know what to do. I guess I gotta give part 2 of my confessions. If I'm gonna tell it then I gotta tell it all. Damn near cried when I got that phone call. I'm so throwed and I don't know what to do. But to give you part 2 of my confessions. Now this gon' be the hardest thing I think I ever had to do. Got me talkin' to myself askin' how I'm gon' tell you. 'bout that chick on part 1. I told ya'll I was creepin' with, creepin' with. Said she's 3 months pregnant and she's keepin' it. The first thing that came to mind was you. Second thing was how do I know if it's mine and is it true. Third thing was me wishin' that I never did what I did. How I ain't ready for no kid. and bye bye to our relationship. [Refrão]. These are my confessions. Just when I thought I said all I can say. My chick on the side said she got one on the way. These are my confessions. Man I'm thrown and I dont know what to do. I guess I gotta give part 2 of my confessions. If I'm gonna tell it then I gotta tell it all. Damn near cried when I got that phone call. I'm so throwed and I don't know what to do. But to give you part 2 of my confessions. Sittin here stuck on stupid, tryna figure out. When, what, and how I'mma let this come out of my mouth. Said it ain't gon' be easy. But I need to stop thinkin', contemplatin'. Be a man and get it over with (over with). I'm ridin' in my whip. Racin' to her place. Talkin' to myself. Preparin' to tell her to her face. She open up the door and didn't want to come near me. I said ""one second baby please hear me"". [Refrão]. These are my confessions. Just when I thought I said all I can say. My chick on the side said she got one on the way. These are my confessions. Man I'm thrown and I dont know what to do. I guess I gotta give part 2 of my confessions. If I'm gonna tell it then I gotta tell it all. Damn near cried when I got that phone call. I'm so throwed and I don't know what to do. But to give you part 2 of my confessions. [Breakdown]. This by far is the hardest thing I think I've ever had to do. To tell you, the woman I love. That I'm having a baby by a woman that I barely even know. I hope you can accept the fact. that I'm man enough to tell you this. And hopefully you'll give me another chance. This ain't about my career. This ain't about my life. It's about us. Please. [Refrão]. These are my confessions. Just when I thought I said all I can say. My chick on the side said she got one on the way. These are my confessions. Man I'm thrown and I dont know what to do. I guess I gotta give part 2 of my confessions. If I'm gonna tell it then I gotta tell it all. Damn near cried when I got that phone call. I'm so throwed and I don't know what to do. But to give you part 2 of my confessions"
u got it bad,"When you feel it in your body. You found somebody who. Makes you change your ways like. Hanging with your crew. Said you act like you're ready. But you don't really know. And everything in your past. You wanna let it go. I've been there, done it,humped around. After all that this is what I found. Nobody wants to be alone. If you're touched by the words in this song. Baby. U got it, u got it bad. When you're on the phone. Hang up and you call right back. U got it, u got it bad. When you miss a day without your friend. Your whole life's off track. U know u got it bad. When you stuck in the house. You don't wanna have fun. Cuz all you think about. U got it bad. When you're out with someone. But you keep on thinkin'. 'Bout somebody else. U got it bad. When you say that you love 'em. And you really know. Everything that used to matter. It don't matter no more. Like my money, all my cars. (You can have it all and). Flowers, cards, and candy. (I do just cuz I). Said I'm fortunate to have you girl. I want ya to know. I really adore you. All my people. To know what's going on. Look at your mate. Help me sing my song. Tell her I'm your man. You're my girl. I'm gonna tell it to the whole wide world. Ladies say I'm your girl. You're my man. Promise to love you. The best I can. Say I've been there, done it,humped around. After all that this is what I found. Everyone of y'all are just like me. It's too bad that you can't see. That u got it bad. U got it u got it bad. When you're on the phone. Hang up and you call right back. U got it u got it bad. When you miss a day without your friend. Your whole life's off track. U know u got it bad. When you stuck in the house. You don't wanna have fun. That's all you think about. U got it bad. When you're out with someone,. But you keep on thinkin'. 'Bout somebody else. U got it bad. U got it u got it bad. When you're on the phone. Hang up and you call right back. U got it u got it bad. When you miss a day without your friend. Your whole life's off track. U know u got it bad. When you stuck in the house. You don't wanna have fun. That's all you think about. U got it bad. When you're out with someone. But you keep on thinkin'. 'Bout somebody else. U got it bad........"
same girl,"Yo Ush. What up Kells. Wanna introduce you to this girl. I think I really love this girl. Yeah. Man she so fine. Straight up dawg. She stand about 5'4"" coka cola red bone. Damn. She drives a black Durango license plate say ""Angel"". Tattoo on her ankle. Plus she's making pesos. Got a crib on Peach street right on 17th street. And I call her ""Tt"". Wait a minute hold on dawg. Do she got a kid?. Yep. Loves some Waffle House?. Yep. Do she got a beauty mark on her left side of her mouth. Man?. Went to Georgia Tech. Yep. Works for Tbs. Yep. Man I can't believe this shit... damn. Tell me whats wrong dawg. What the hell you damnin about. I'm your homie so just say whats on your mind. Man I didn't know that you were talking bout her. So man your telling me you know her. Do I know her? like a pastor know his word. We messing with the same girl same girl. How could the love of my life. And my potential wife be the. The same girl same girl. Man I can't believe. That we've been messing with the. The same girl same girl. Thought she was someone I can trust. But she's been doubling up with us. U, K, man we've been messing with the same girl. See I met her at this party in Atlanta. Well I met her at this party in Chicago. She came right up to me givin me conversation. I said do you got a man she said no, with no hesitation. Well it must be a music thing. cause she said the same to me. had her body all in my face. while I'm laughin and buyin her drinks. She whispered in my ear and said can you take me home. me too. Man she was in the Chi singin that same song. is that true?. And I thought it was true confessions when she said. I love you. Man I thought her body was calling when she said. I want you. Look I even got some pictures on my phone. Look there man she is with some boy shorts on. We messing with the same girl same girl. shes the apple of my eye, and my potential wife. The same girl same girl. Man I just can't believe. That we've been messing round with the. The same damn girl. The same girl same girl. Thought she was someone I can trust. But she's been doubling up with both of us. U, K, ayy man we've been messing with the same girl. She said she got me on her ringtone. Are you talking about the pink phone?. Uh-uh, the blue one. Man she told me that was turned off. It's obvious that shes been playing us playing us. Cause constantly she's been lyin to us lyin to us. Don't like the way that she's been. Goin' bout it goin bout it. Kells what you think that we should do about it do about it. Call her up at her home. She won't know that Im on the phone. Yeah man that's a plan. Homie we about to bust this trick. Man just tell her to meet up with you. And I'm gonna show up too. And she won't know what to do. We'll be standing there singing. The same girl same girl. She's was the apple of my eye, and your potential wife. The same girl same girl. I can't believe. We've been messing with the same girl. The same girl same girl. She's gonn be looking so stupid when she'll see us together. U, K, man we've been messing with the same girl. See she was taken flights. Going back and forth. I would pick her up at the Airport. Man I really can't believe. The same girl same girl. Heey the same girl same girl"
love in this club (feat. young jeezy),"Gotta do it for the ladies. And I gotta keep it hood. Where we at Polo (Ay). I see you Ryan. What you do was right. But we just gettin started. Yeaa Man... Usher. You see you searching for somebody. That'll take you out and do you right. Well come here baby and let daddy show you what it feel like. You know all you gotta do is tell me what you sippin' on. And I promise that I'm gonna keep it comin' all night long. Lookin' in your eyes while you walk the other side. And I think that shorty I've got a thing for you. Doin' it on purpose winding and workin' it. I can tell by the way you lookin' at me girl. I wanna make love in this club. (in this club, in this club, in this club). I wanna make love in this club. (in this club, in this club, in this club). Usher. You got some friends rollin' wit you baby then that's cool. You can leave them with my niggas let em know that I got you. If you didn't know, you're the only thing that's on my mind. Cuz the way I'm staring miss. you got me wantin to give it to you all night. Lookin' in your eyes while you walk the other side. I can't take it no more, baby I'm coming for you. You keep doin' it on purpose winding and working it. If we close our eyes it could be just me and you. I wanna make love in this club. (in this club, in this club, in this club). I wanna make love in this club. (in this club, in this club, in this club). I wanna make love in this club. (in this club, in this club, in this club). I wanna make love in this club. (in this club, in this club, in this club). Young Jeezy. (Well, you know we always rollin!, Im on em'). Yea, Let's Go. I'm what you want, I'm what you need. He got you trapped, I'll set you free. Sexually, mentally, physically, emotionally. I'll be like your medicine, you'll take every dose of me. It's going down on aisle 3, I'll bag you like some groceries. And every time you think about it. you gon' want some more of me. About to hit the club, make a movie yeah rated R. Pulled up like a trap star,. That's if you have yo regular car. You ever made love to a thug in the club with his ice on. 87 jeans and a fresh pair of Nikes on. On the couch, on the table, on the bar, or on the floor. You can meet me in the bathroom. yeah you know I'm trying go. Usher. You might as well give me a kiss. If we keep touching like this. I know you scared. Baby, they don't know what we doin. Let's both get undressed right here. Keep it up girl and I swear. I'ma give it to you non-stop. And I don't care who's watchin. watchin, watchin (watchin, watchin). oohh, in this club, on the floor. Baby let's make love. I wanna make love in this club. (in this club, in this club, in this club). I wanna make love in this club. (in this club, in this club, in this club). Yea..."
omg (feat. will.i.am),"Oh my. Oh my gosh. I did it again, so I'mma. Let the beat drop. Oh my gosh. [usher]. Baby let me... Baby let me... Baby let me... [chorus]. Baby let me love you downnn. There's so many ways to love ya. Baby I can break you downnn. There's so many ways to love ya. I mean like, ooh my gosh I'm soo in love. I found you finally, it make me want to say. Oh, oh, oh, oh, oh, oh, oh,. Oh, oh, oh, oh, oh, oh, oh, oh, oh,. Ohh my gosh. It make me want to say. Oh, oh, oh, oh, oh, oh, oh, oh, oh. [verse 1]:. I fell in love with shawty when I seen her on the. Dance floor. She was dancing sexy, pop, pop, popping, dropping,. Dropping low. Never ever has a lady hit me on the first sight. This was something special. This was just like dynamite. Honey got a booty like pow, pow, pow. Honey got some boobies like wow, oh wow. Girl you know I'm loving your, loving your style. Check, check, check, check, check, checking you out like,. Ooh (oooh) she got it all. Sexy from her head to the toes. And I want it all, it all, it all. [chorus]. Baby let me love you downnn. There's so many ways to love ya. Baby I can break you downnn. There's so many ways to love ya. Got me like, ooh my gosh I'm soo in love. I found you finally, it make me want to say. Oh, oh, oh, oh, oh, oh, oh,. Oh, oh, oh, oh, oh, oh, oh, oh, oh,. Ohh my gosh. You make me want to say (repeat 2x). Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh. [verse 2]:. Feel so hot for honey out of all the girls up in this club. This one got me whipped, just off one look, yep I fell in love. Girl you something special, you just like dynamite. You're, you're, you're, you're, you're,. You're, you're out of sight. Fell in love with honey like my, oh my. Honey looking wonderful; fly, so fly. Honey like a supermodel; my, oh my. Baby how you do that, make a grown man cry?. Ooh (oooh) baby, you got it alll. Sexy from her head to the toes. And I want it all, it all, it all. [chorus]. So, honey let me love you downnn. There's so many ways to love ya. Baby I can break it downnn. There's so many ways to love ya. Got me like, ooh my gosh I'm so in love. I found you finally,. You make me want to say... Oh my gosh. Oh my. Oh, oh my gosh. [will.I.am]:. Oh my gosh. I did it again. So I'm gone let the beat drop. [usher]. Oh, oh, oh my. Oh, oh, oh my, my, my, my, my, my. Ooh my gosh"
"love in this club part ii (feat. beyoncé, lil wayne)","Yea Yeah. Yea Yeaaah. Yo 'Soundz' I Hear You Man. Usheerrrr. Yea Thats It Right Here. Queen B Yeaaaah. I'm the king, y'all know that (Usher Baby!!). She the queen, came right back (Listen To It!!). Yeaaahhh... Yeaaahhh. (Oh!! Reeemiiiix!!!). [Verse 1:]. (Usher). Now baby girl there ain't nothing more than I can say. Y know by now I want it more than anything. If I walk away and just let you leave. You'll be stuck in my head like a melody. (Beyoncé). I know you want it (yeah). I'm hestitating (why). You must be crazy. I got a man, you got a lady. (Usher). I know we here together. So this must be something special. You could be anywhere you wanted. [Pre-Chorus:Usher]. But you decided to be here with me. No coincidence. It was meant to be. Don't be shy. Don't let your boy get in. So you can tell of all your friends. You was on the remix like.... [Chorus: Usher]. In this club. In this club. Ladies can I put this love up in you. One time if you ain't scared say wassup. In this club. In this club. They can keep watchin I ain't stopin'. Baby I don't give up. In this club. In this club. Ladies can I put this love up in you. One time if you ain't scared say wassup. In this club. In this club. They can keep watchin. Baby I don't give up. In this Club. [Verse 2:Beyoncé (Usher adlibs)]. Baby you know I'd be down. But we can't have all these people. starin' standin' around. This right here is only for your eyes to see. But you gettin carried away. Sayin we can (Do it where ever). The way you touching me. Like no other (I'ma make you feel insane). You trying your hardest to make me give in. But I'ma be down to give you what you want. And if you keep it up. I strongly doubt this velvet rope hold me up. And I don't won't secruity rollin' up on us (I got you). I'm not hesitating I just don't wanna rush. You could be anywhere you wanted. [Pre-Chorus: Beyoncé]. But you decided to be here with me. No coincidence. It was meant to be. promise if I mess around. I let you get in. You gon' tell of all your friends. You was on this remix like.... [Chorus: Usher (Beyoncé)]. In this club. In this club. Ladies can I put this love up in you. One time if you ain't scared say wassup. (If you ain't scared baby). In this club (In this Club). In this club. They can keep watchin I'm not stopin'. (They can keep watchin I'm not stopin'). Baby I don't give up (Baby I don't give up). In this club. In this club(I wanna make love). Ladies can I put this love up in you. (I wanna, I wanna make love). One time if you ain't scared say wassup. In this club (Baby, put it on me, make love to me right). In this club. They can keep watchin. Baby I don't give up. In this Club. [Verse 3: Lil Wayne]. Shawty wanna thug. It started with a hug. And her ass went like this. I gave her neck a kissy kiss. She gave my neck a kiss back. I say we cut through it like a stack. I mean we cut through it like a G. On the couch in V.I.P. Shawty we just get it on. I'm like shout out to the Dj. For playin this song. Girl we can act like 2 damn fools. And everybody think we doin a dance move. Call me so I can make it juicy for ya. Meet me in the bathroom. And you can be my secret lover...girl. And it started with a hug. And now were making love in this club. And were not gonna stop. Just because the people in the club are watchin' us. Cause we don't give a damn what they say. This is the remix baby. [Bridge: Usher & Beyoncé]. (Usher). Come a little closer. Let daddy put it on ya. Need you to know. What happens here stays here. (Beyoncé). Well I'm ready and willing. Mama's got to go. Gotchu standing that attention. Keep it on the low. (Usher). Ain't nobody watchin. Don't worry they can't see us. I know I got you hot. Now let me in. (Beyoncé). You in the club or the car. Where ever you are. Run and tell the Dj. Run it back on replay. [Chorus: Usher (Beyoncé)]. In this club. In this club. Ladies can I put this love up on you. (Fellas can I put this love up on you). One time if you ain't scared to say wassup. (One time if you ain't scared to say wassup). In this club. In this club. They can keep watchin. Baby I don't give up. In this Club. Now run and tell you're friends. You gotta hear this remix like..... (usher). king and queen.. yall know. yeah man. (lil wayne). what would music be without 'Soundz'. (Beyonce). if we make love in this club, in this club, in this club. (usher). nobody will knoooow, baby..."
without you,"I can't win, I can't reign. I will never win this game without you. Without you. I am lost, I am vain. I will never be the same without you. Without you. I won't run, I won't fly. I will never make it by without you. Without you. I can't rest, I can't fight. All I need is you and I. Without you. Without.... You! You! You! You!. You! You! You! You!. Without.... You! You! You! You!. Without you. Can't erase, so I'll take blame. But I can't accept that we were strange without you. Without you. I can't quit now, this can't be right. I can't take one more sleepless night without you. Without you. I won't soar, I won't climb. If you're not here,I'm paralyzed without you. Without you. I can't look, I'm so blind. Lost my heart, I lost my mind without you. Without..... You! You! You! You!. You! You! You!. Without.... You! You! You! You!. Without you. I am lost, I am vain. I will never be the same without you. Without you. Without you"
burn,"[Intro]. I don't understand why. See it's burning me to hold onto this. I know this is something I gotta do. But that don't mean I want to. What I'm trying to say is that I-love-you I just. I feel like this is coming to an end. And its better for me to let it go now. than hold on and hurt you. I gotta let it burn. [Verse 1]. It's gonna burn for me to say this. But it's comin from my heart. It's been a long time coming. But we done been fell apart. Really wanna work this out. But I don't think you're gonna change. I do but you don't. Think it's best we go our separate ways. Tell me why I should stay in this relationship. When I'm hurting baby, I ain't happy baby. Plus theres so many other things I gotta deal with. I think that you should let it burn. [Chorus]. When your feeling ain't the same. and your body don't want to. But you know gotta let it go. cuz the party ain't jumpin' like it used to. Even though this might bruise you. Let it burn. Let it burn. Gotta let it burn. Deep down you know it's best for yourself but you. Hate the thought of her being with someone else. But you know that it's over. We know that it's through. Let it burn. Let it burn. Gotta let it burn. [Verse 2]. Sendin' pages I ain't supposed to. Got somebody here but I want you. Cause the feelin ain't the same find myself. Callin' her your name. Ladies tell me do you understand?. Now all my fellas do you feel my pain?. It's the way I feel. I know I made a mistake. Now it's too late. I know she ain't comin back. What I gotta do now. To get my shorty back. Ooo ooo ooo ooooh. Man I don't know what I'm gonna do. Without my booo. You've been gone for too long. It's been fifty-leven days, um-teen hours. Imma be burnin' till you return (let it burn). [Chorus]. When your feeling ain't the same. and your body don't want to. But you know gotta let it go. cuz the party ain't jumpin' like it used to. Even though this might bruise you. Let it burn. Let it burn. Gotta let it burn. [Bridge]. I'm twisted cuz one side of me is tellin' me. that I need to move on. On the other side I wanna break down and cry (ooooh). I'm twisted cuz one side of me is tellin' me. that I need to move on. On the other side I wanna break down and cry (yeah). [Breakdown]. Ooh ooh ooh ooh ooh oooh. Ooh ooh oooh (can ya feel me burnin'?). Ooh ooh ooh oooh ooh oooh. So many days, so many hours. I'm still burnin' till you return. [Chorus]. When your feeling ain't the same. and your body don't want to. But you know gotta let it go. cuz the party ain't jumpin' like it used to. Even though this might bruise you. Let it burn. Let it burn. Gotta let it burn"
