street punks,"I ain't worried about the police. I ain't worried about these little niggas. Talking about they hold heat. I ain't stressing going broke. I don't never leave them residences alone, keep it on me. I'm the nigga that you quote. I'm the only conversation. If you speaking up on long beach. Get to acting like you know. Don't be acting like you bold, get it cracking at a show. Heard the feds taking pictures, let a motherfucker pose. Tryna be the only crippin' nigga sitting in the vogue. Better put me on the cover, undercovers at my home. Tryna catch a nigga slippin', but I'm stickin' to the flow. Heard these niggas flippin' coke. Why the fuck these niggas broke?. If there's shooters in the squad. What's the bodyguard for?. You ain't calling me collect. And I ain't pickin' up the phone. Got some homies from the set. Who ain't never comin' home. You wouldn't know about it. You a street punk. You a muthafuckin' street punk. No one know about you. You a street punk. You a muthafuckin' street punk. This'll blow up at you. Where the cash at, where the cash at?. Where ya pass at, where ya stash at?. Bend my last rack doing head at. Why? cause you a muthafuckin' street punk!. I don't know if ya heard of me. But you heard them shots on the block. It's a murder scene. Go on call the cops, open heart, durin' surgery. Now his breathing stopped. Stupid niggas should of knew we tripping. Now we in the box, winchester's. Hundred in the box, smith wesson. Stuff it to the top and we coming to your spot. Knocking on the door, askin' where he at. Playin' games then we kick it down, everybody flat. On the ground, kids get kidnapped, go and ask 'bout it. Well you know how we rock it, nigga. You know who we wackin' now. You ain't never caught a body, know it. Cause you talkin' 'bout it. Catch me off a court and outta. You a motherfucking street punk. You a street punk. You a muthafuckin' street punk. No one know about you. You a street punk. You a muthafuckin' street punk. This'll blow up at you. Where the cash at, where the cash at?. Where ya pass at, where ya stash at?. Bend my last rack doing head at. Why? cause you a muthafuckin' street punk!"
lift me up,"Hey, I'm just a nigga until I fill my pockets. And then I'm mr. nigga, they follow me while shoppin'. I feel like mickey richards, they feel like muddy waters. So tell me what's the difference. So tell me what's the difference?. My momma was a christian, crip walkin' on blue-waters. Was fadin' up in davis, then walkin' back to palmer. A fro like huey partner, auntie angie had them choppers. So tell me what's the difference. So tell me what's the difference?. I feel like ""fuck versace"", they rapin' nigga's pockets. And we don't get acknowledged. Just thank me for the profit. A prophet just like moses, if moses look like shaka. Zulu, my. 44 loaded, I'm aimin' at nirvana. My bitch look like madonna, they starin' at katana. Waiter still ain't brought the chopsticks. Should have brought the chopper. Uber driver in the cockpit look like jeffrey dahmer. But he lookin' at me crazy. When we pull up to the projects. See, this weight is on my shoulders. Pray jehovah lift me up. And my pain is never over, pills and potions fix me up. I just want to live it up, can a motherfucker breathe?. Life ain't always what it seems, so please just lift me up. Lift me up, lift me up, lift me up, lift me up, lift me up. We love our neighborhood. So all my brothers bang the hood. I never vote for presidents. The presidents that changed the hood. Is dead and green, was standin'. On this mezzanine in paris, france. Feel despairs cause most my homies. Never finna get this chance. All these white folks chanting. When I asked 'em where my niggas at?. Goin' crazy, got me goin' crazy, I can't get wit' that. Wonder if they know, I know they won't go. Where we kick it at. Ho, this shit ain't gryffindor, we really killin', kickin' doors. Fight between my conscious. And the skin that's on my body. Man, I need to fight the power. But I need that new ferrari. Man, I breathe in, bleed this, poppy street. I shot them guns cause talk is cheap. Bow your head and pray, okay, now walk wit' me. See, this weight is on my shoulders. Pray jehovah lift me up. And my pain is never over, pills and potions fix me up. I just want to live it up, can a motherfucker breathe?. Life ain't always what it seems, so please just lift me up. Lift me up, lift me up, lift me up, lift me up, lift me up"
relay,"Fed chirp on Skinner (Skinner). Got blurped with the hammer. Yeah, I ain't playin' with the Dai'm finna hit the corner, do a relay (Hit the corner, do a). Fed chirp on Skinner (Skinner). Got blurped with the hammer (Hammer). Yeah, I ain't playin' with the Da. I'm finna hit the corner, do a relay (Hit the corner, do a). Do you really wanna know about some gangsta shit?. In the city, sittin' pretty where it's dangerous. Watch me talk that Bunchy Carter, that Karenga shit. Watch your back, or boy, these crackers try to hang you quick. Baby, let me break the levees, I'ma hit the spot. It be tricky when that getcha, getcha, getcha, got. She so pretty in the face, ass, titties, and the waist. Pull up, tryna get a taste and she get you popped. Fed chirp on Skinner (Skinner). Got blurped with the hammer. Yeah, I ain't playin' with the Da. I'm finna hit the corner, do a relay (Hit the corner, do a). Fed chirp on Skinner (Skinner). Got blurped with the hammer (Hammer). Yeah, I ain't playin' with the Da. I'm finna hit the corner, do a relay (Hit the corner, do a). Baby went to Howard, got a Ba. Had her baby shower in her Pjs. Got her baby daddy for a Gta (She on the road, yeah). On the Gtl, tryna beat the case (That nigga bold, yeah). Crime, he kept it silent. least that's what he say (That nigga told, yeah). From direct deposit to the lawyer plate (That money old, yeah). If he fuck around and take the stand on her dude. He gon' have to raise his baby from the visitin' room. Fed chirp on Skinner (Skinner). Got blurped with the hammer. Yeah, I ain't playin' with the Da. I'm finna hit the corner, do a relay (Hit the corner, do a). Fed chirp on Skinner (Skinner). Got blurped with the hammer (Hammer). Yeah, I ain't playin' with the Da. I'm finna hit the corner, do a relay (Hit the corner, do a). Keep listening for your chance to win tickets to see Kehlani live. Hit us up, 562-453-9382"
don't get chipped,"Can't wait til I'm rich, I'm finna buy a whole crate of guns. From 'round 90 Crips, shit I really came from the slums. Time to represent, let me see you bang, where you from. Don't be acting spooked, I'm a troop, I don't give a fuck. I just wanna live it up, used to make 'em give it up. Flockin' is for hoes, I'ma take somebody's soul. He gone give me what he own, now I'm getting what I'm owed. You might see me at a show, oh you missing out. Swear I bring the realest out. Everybody know me who's somebody to know (Somebody to know). Watch me mind my business while I'm counting my dough (While I'm counting my dough). Stay away from snitches who would clown me before (Clown me before). On the road to riches they gone step on your toes. Sammy told me that a change gone come (Gone come). I'm not going if my gang won't come (Won't come). If you see me pull that thang don't run (Don't run). Playing ball, if I swing home run. I ain't on that medication. It's only money that I'm chasing, that is all. Represent my location. Don't get chipped, don't get chipped. Don't get chipped. Nigga, I ain't got the patience, yeah. My hustle like a mental patient, I'm tryna ball. Let me run my demonstration. Don't get chipped, don't get chipped. Don't get chipped. Everybody say it's lonely at the top. I want my homies at the top, my little homie he got shot. And now I'm moving my lonely with the. 40 in the mop. Finna pull up early morning and somebody getting dropped. I throw a party on your block, like I'm Tommy the clown. Hundred thousand dollar car, bet you proud of me now. Took my mama out the set, house as big as my mouth. Started yelling out regrets, so I shot in the crowd, pow!. You a fan, I'm the man, it's a difference. Stop pretending, you know you feel it. Record deal, but I did it independent. If I peel then somebody going missing. Granny told me they just wanted me down. I'm the nigga that they wanna be now. Who done did it like I did it from the hometown. Start dead broke, but I'm on now. I ain't on that medication. It's only money that I'm chasing, that is all. Represent my location. Don't get chipped, don't get chipped. Don't get chipped. Nigga, I ain't got the patience, yeah. My hustle like a mental patient, I'm tryna ball. Let me run my demonstration. Don't get chipped, don't get chipped. Don't get chipped"
3230,"Hittin' corners, thuggin' with the blower. Barrel louder than a motor. Keep the engine runnin' when a nigga run up on ya. Another day in sunny california. The feds takin' pictures and they tappin' motorolas. Everybody snitchin', gotta live with paranoia. A soldier since the stroller. Ask my mama if you doubt that. Homie where ya clout at?. You ain't ever push nobody's scalp back. 45, 9s 'round 9 in the am. Yesterday I sat in place, today I'm finna take it. A week ago, they killed my bro. That's been the price of bangin'. Since my granny alameda days, robbin'. Cause we need a raise. Fingers do the talkin' when the cs do the walkin'. And the cs been polluted, baptism for these shooters. Seventh grade, I went to oca, hoopin' up at lueder's. With my ru from campanella. We was crashin' shit together. 3230 Poppy st, we ain't chasin', they brought the beef. Used to the sounds of violence. My neighbors ain't never call police. Call it followin' protocols, spark it. If you ain't know the call. Got this bitch that live off of market. That's down to hold the heat. Turn the water and power off. Got to send patience, powered up. Evictions notices go unnoticed, the final hours up. Livin' off of borrowed time, committin' crimes. That's organized. Fortress ones and fortified, just tryna build my castle up. Got it in a dream, at night time we maskin' up. The deadly game of tag. The older generations passed to us. I got a clip that's long enough to shoot. Until the casket come. Wait until that casket drop, they droppin'. When that magnum pop"
745,"I'm in that 745. Hope I can come scoop you up 'round 7: 45. Slide 'round with my drop top up or down, you down to ride?. Looked into my eyes and told me: Daddy sure you right. 745. 745. Hope I can come scoop you up 'round 7: 45. Slide 'round with my drop top up or down, you down to ride?. Looked me in my eyes and told me: Daddy sure you right. 745. All my life man I want fast cars, Nascars. All my life I want runway stars, Kate Moss. All my life I want waves at my front door. No green grass, no porch. I just want sea shores. All my life. All my life pretty women done told me lies. All my life pretty women done told me lies. All my life pretty women done told me lies. Told me lies, told me lies. I'm in that 745. Hope I can come scoop you up 'round 7: 45. Slide 'round with my drop top up or down, you down to ride?. Looked into my eyes and told me: Daddy show you right. 745. 745. Hope I can come scoop you up 'round 7: 45. Slide 'round with my drop top up or down, you down to ride?. Looked me in my eyes and told me: Daddy show you right. 745. Eyes can't hide your hate for me. Maybe you was made for the Maybelline. Spent so much tryna park the car. Barely got a tip for the maître d'. You head straight to the oyster bar. I tread light each time we speak. Play too rough might break ya heart. And them glass shoes ain't made to walk. These lonely streets. Unpaved, unscathed. Morning dew's giving you the coldest feet. Said that you was comin' through after dark. To look at the stars and hardly speak. This thing called love real hard for me. This thing called love is a God to me. And we all just God's property. So feel free to fulfill the prophecy. Adam, Eve. Apple trees. Watch out for the snakes baby. Open streets. Ocean breeze. We should get away, baby. [Chorus]. I'm in that 745. Hope I can come scoop you up 'round 7: 45. Slide 'round with my drop top up or down, you down to ride?. Looked into my eyes and told me: Daddy show you right. 745. 745. Hope I can come scoop you up 'round 7: 45. Slide 'round with my drop top up or down, you down to ride?. Looked me in my eyes and told me: Daddy show you right. 745"
big fish,"[Juicy J:]. You can get anything you want. Know what I'm saying?. You want that over there?. You want that over there?. I got you. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. [Vince Staples:]. I was up late night balling. So far from my past misfortune. No sleepin', late nights no eatin'. Gun squeezing, I'm a real Artesian. Ramona I was round that corner. Still down I'm a norf norf soldier. G slide right down sawyer. When we slide you won't see morning. Another story of a young black man. Tryna make it up out that jam god damn. Bag back let me make my bands got plans. If you hatin' don't shake my hand. Take it easy homie. Reminiscin' sitting in that Benz. Of the 22 bus stop way back when. With the 22, 5 shot eyes on scan. For the click clack clap. Or the boop bop bam cuz. [Juicy J:]. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. [Vince Staples:]. It's funny I was going crazy not too long ago. Women problems every morning. like the Maury show. Swimming upstream while I'm tryna keep my bread. From the sharks make me wanna. put the hammer to my head. At the park politickin' with the kids. Tryna get em on a straight path. got the lames mad. Know they hate to see me make cash. got the space dash. In the foreign with the Gps. addressed to your mama house. Compensation conversations what I'm all about. Took the smart route, never been marked out. Shoulda been dead broke, shoulda been chalked out. But it didn't happen. now it's time to get it cracking. Quarterbackin' like I'm 40 Water. Mix the holy water with the Voss. Wanna be the boss then you gotta pay the cost. Learned it from the Dogg I'm from Long Beach. That's the city where the skinny carry strong heat. [Juicy J:]. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands. I was up late night ballin'. Countin' up hundreds by the thousands"
brand new tyga - interlude,"It's your girl Ayydé, this is Big Boy's Neighborhood. Make sure you keep it locked. We got that brand new Tyga on the wayhey, dr-dr-drop-top in the rain (Rain). Pop, pop, pop it in the face (Face). I think I need a vacay (Ayy). 'Cause your bitch wanna get away (Get away). Let the bitch get away (Get away). Whole squad and me getting laid (Getting laid). Drop, drop-top in the rain (Rain). Pop, pop, pop it in your face. Ha, ripping Harley when the chopper blast. Lil Cheese, put the silence on the rat. My niggas will kill, they the real men in black. And that's no cap, like a undergrad"
c.n.b,"Oh no. I wake up feeling like I am the coldest nigga breathing. Look in the mirror like goddamn. I know they wanna be him. I wake up feeling like I am the realest nigga walking. So watch your step. And watch that shit you're talking, okay?. (okay, okay, okay, okay, okay). So watch the shit that you say, okay?. (okay, okay, okay, okay, okay). So watch the shit that you say. On 65 I tell the truth, no lies. The sheets and crosses turned to suits and ties. In black america, can you survive?. They made a nuisance once the noose is tied. We gentrified, we victimized, we fighting for survival. No hopes and dreams, just leave us be. We leanin' on the bible. They preyin' on us, prayin' for a better day tomorrow. Hide the fear behind this here bravado. I wake up feeling like I am the coldest nigga breathing. Look in the mirror like goddamn. I know they wanna be him. I wake up feeling like I am the realest nigga walking. So watch your step. And watch that shit you're talking, okay?. (okay, okay, okay, okay, okay). So watch the shit that you say, okay?. (okay, okay, okay, okay, okay). So watch the shit that you say. We black scared for real, was bred to kill. Been leavin' niggas hangin', what you sayin'?. Don't shake my hand unless you're passin' payment. Keep your salutations, need my forty acres. Why they hate us?. Why they want to rape us for our culture?. They greet us, feed us, bleed us. Then they leave us for the vultures. They break the grill, get off with millions. Tryna to break their focus. Mo ten the man to mow a lawn, the hopeless. I wake up feeling like I am the coldest nigga breathing. Look in the mirror like goddamn. I know they wanna be him. I wake up feeling like I am the realest nigga walking. So watch your step and watch that shit. You're talking, okay?. (okay, okay, okay, okay, okay). So watch the shit that you say, okay?. (okay, okay, okay, okay, okay). So watch the shit that you say"
don't get chipped,"Can't wait til I'm rich, I'm finna buy a whole crate of guns. From 'round 90 Crips, shit I really came from the slums. Time to represent, let me see you bang, where you from. Don't be acting spooked, I'm a troop, I don't give a fuck. I just wanna live it up, used to make 'em give it up. Flockin' is for hoes, I'ma take somebody's soul. He gone give me what he own, now I'm getting what I'm owed. You might see me at a show, oh you missing out. Swear I bring the realest out. Everybody know me who's somebody to know (Somebody to know). Watch me mind my business while I'm counting my dough (While I'm counting my dough). Stay away from snitches who would clown me before (Clown me before). On the road to riches they gone step on your toes. Sammy told me that a change gone come (Gone come). I'm not going if my gang won't come (Won't come). If you see me pull that thang don't run (Don't run). Playing ball, if I swing home run. I ain't on that medication. It's only money that I'm chasing, that is all. Represent my location. Don't get chipped, don't get chipped. Don't get chipped. Nigga, I ain't got the patience, yeah. My hustle like a mental patient, I'm tryna ball. Let me run my demonstration. Don't get chipped, don't get chipped. Don't get chipped. Everybody say it's lonely at the top. I want my homies at the top, my little homie he got shot. And now I'm moving my lonely with the. 40 in the mop. Finna pull up early morning and somebody getting dropped. I throw a party on your block, like I'm Tommy the clown. Hundred thousand dollar car, bet you proud of me now. Took my mama out the set, house as big as my mouth. Started yelling out regrets, so I shot in the crowd, pow!. You a fan, I'm the man, it's a difference. Stop pretending, you know you feel it. Record deal, but I did it independent. If I peel then somebody going missing. Granny told me they just wanted me down. I'm the nigga that they wanna be now. Who done did it like I did it from the hometown. Start dead broke, but I'm on now. I ain't on that medication. It's only money that I'm chasing, that is all. Represent my location. Don't get chipped, don't get chipped. Don't get chipped. Nigga, I ain't got the patience, yeah. My hustle like a mental patient, I'm tryna ball. Let me run my demonstration. Don't get chipped, don't get chipped. Don't get chipped"
