no hands (ft. wale & roscoe dash),"[Roscoe;Chorus:]. Girl the way you're movin'. Got me in a trance. DJ turn me up. Ladies dis yo jam. I'ma sip Moscato. And you 'gon lose dem pants. Then I'ma throw this money. While you do it with no hands. Girl drop it to the flo'. I love the way yo booty go. All I want to do is sit back. And watch you move. And I'll proceed to throw this cash. [Waka;Verse 1:]. (Waka, Waka, Waka, Flocka, Whoa, Whoa). All that ass. In yo jeans. Can Wale be. Can Roscoe scheme. Long hair she don't care. When she walk she get stares. Brown skin or a yellow-bone. DJ this my favorite song. So I'ma make it thunderstorm. Bud, want it Flocka yea. Blowin' fuck it i dont care. Chests' flyin' everywhere. Got my partner Roscoe, like bruh. I'm drinkin', help can't you tell. Booze help me hit them 15 steps[?]. I'm fuckin', well i'm tryna hit the hotel. With 2 girls that swallow me. Take this dick while i'm swallow[?]. Moscato got her freaky. Aye you got me in a trance. Please take off yo pants. Pussy pop on her handstand. You got me sweatin'. Please pass me a fan damn!. [Roscoe;Chorus:]. Girl the way you're movin'. Got me in a trance. DJ turn me up. Ladies dis yo jam. I'ma sip Moscato. And you 'gon lose dem pants. Then I'ma throw this money. While you do it with no hands. Girl drop it to the flo'. I love the way yo booty go. All I want to do is sit back. And watch you move. And I'll proceed to throw this cash. [Wale;Verse 2:]. (Aye, aye, Wale, uh). She said look ma no hands. She said look ma no hands. And not darling I don't dance. And, I'm with Roscoe, I'm with Waka. I think i deserve a chance. I'm a bad mothafucka. Gon' ask some mothafuckas. A young handsome mothafucka. I sling that wood. I just don't chuck 'em. And, who you wit. And, what's yo name. And, you not hear boo, I'm Wale. And, that D.C. shit I rep all day. And, my eyes red cuz of all that haze. Don't blow ma, ha. Let me shine. Drumma on the beat. Let me take my time. Nigga want beef we can take it outside. Fight for what broad. These hoes ain't mine. Is you out yo mind. You out yo league. I sweat no bitches. Just sweat out weaves. Where our tracks. Let me do my thing. I got 16, for this Roscoe thing. But, i'm almost done. Let me get back to it. Whole lotta loud. And a little backwood. Whole lotta money. Big tip I would. I put her on the train. Little engine could, bitch. [Roscoe;Chorus:]. Girl the way you're movin'. Got me in a trance. DJ turn me up. Ladies dis yo jam. I'ma sip Moscato. And you 'gon lose dem pants. Then I'ma throw this money. While you do it with no hands. Girl drop it to the flo'. I love the way yo booty go. All I want to do is sit back. And watch you move. And I'll proceed to throw this cash. [Roscoe;Verse 3:]. (Roscoe Dash, let's go). R-O-S-C-O-E-Mr. shawty put it on me. I be goin' ham. Shawty upgrade from baloney. Them niggas tippin' good. Girl but I can make it flood. Cuz I walk around. With pockets bigger than my bus. Rain, rain go away. That's what all my haters say. My pockets stuck on overload. My reign never evaporates. No need to eleberate. Most of these ducks exaggerate. But, i'ma get money nigga. Everyday stuntin' nigga. Ducks might get a chance after me. Bitch i'm ballin'. Like i'm comin' off of free throws. Cuz the head of the game. No cheat codes. Lambo, Roscoe. No street code. And your booty got me lost like Nemo. Go, go, go. G-gon' and do yo dance. And, i'ma throw this money. While you do it wit no hands. (I'm gone!). [Roscoe;Chorus:]. Girl the way you're movin'. Got me in a trance. DJ turn me up. Ladies dis yo jam. I'ma sip Moscato. And you 'gon lose dem pants. Then I'ma throw this money. While you do it with no hands. Girl drop it to the flo'. I love the way your booty go. All I want to do is sit back. And watch you move. And I'll proceed to throw this cash"
down bad,"Yo, yo, yo, yo. Yo, yo, yo, yo. Big homie! Squad!. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Shots fired, he was movin' fast. Too many shots left him down bad (grr-ah!). I'm a demon with a [?]. Bodybags and toetags. Rob a nigga with no mask. All gas, no brake pads. Shit, shit. [?] in a hospital. I put a nigga in a hospital. Thirty clip just to drop niggas. [?] come and mop niggas. Clip longer than a popsicle. I pull it out, tell 'em ""freeze! "". Hit 'em everywhere but his knees. Put your hands up, nigga, freeze. Poppin' Mollies like Aleve. Plug came from overseas. Cocaine from Belize. [?] on a Benz, Pimp C. All my niggas throwin' B. [?]. 4-5 with the red beams. Cook a nigga like some red beans. Murder scene, murder scene. You know it's real, I say it's on blood. Shoot the club up like I'm J-Dubb. Pinky ring like a lightbulb. Know these niggas ain't no damn thugs. Waka Flocka, that's my fuckin' brother. Shoot your mother and your baby mother. Can't trust these niggas, police undercover. Lethal weapon on me, Danny Glover. Prison gates in the tour dates. Free all my niggas that's upstate. Breadwinner, bitch Free Gates. Popped a nigga for a lunch plate. Robbed a rapper 'cause I know he fake. Need a house with a fuckin' lake. Model bitch but her body fake. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad. Robbed a nigga, caught him down bad"
how i'm rockin',"This morning I woke up I said fuck mation. I real taking, am I paying sake, am I build that. Double J. what's happening. I got plany cash in my pocket. I gotta rock it on the west pop it. Big God father like a star signing. How they stopping, holds watching. But I ain't worry 'bout, know I'm rocky. And I bet they wanna fool me. Everybody know how I'm rocky. And this diamond dancing all over me. Know how I'm rocking. All the real nigga for me. They know how I'm rocky. And all the bad whore wanna fuck me. Cause they know how I rocky. And that's smoke wait to say line. And she probably pop our. Pretty bitch do squealer drugs. Like the sin and the rocky. All the bitches in here with my in over my baby. And all the niggas in here hate with my in ain't swaging. Nigga I fly for like you here for nigga. Though a hundred like what you doing for. No script nigga you should move it dog. Try to turn on from the groupie dog. Come on, come on man tell 'em we got extra. And she waiting for tricks. Shit kick all this. And she ain't total she just with the smash. Down in total broker nigga kill smash. But I ain't worry 'bout, know I'm rocky. Don't fool me cause they know how I'm rocking. And I bet that whore wanna fool me. Everybody know how I'm rocky. And this diamond dancing all over me. Know how I'm rocking. Here's my mind, wanna cush pock. Pow rule my dog relax. Thousand niggas with me. Damn link you so like. Call a drink, what up yo. On the west side we apologize. On the east side we scooters. That, they say the killers with that bodys that. They know how we rocking. And when the niggas catch you sleeping for the bills that you. And that chick blowing up your neck. Cause you know that you plugging. In the face can't wait no change, she know that we stopping. Fucking a protection shit to me. You gotta be a bad bitch if you next to me. Just action on manners does she feeling me. Four years and this game and is till screaming fuck this shit. Mama sound out laddering. I know you pussy nigga envy me. Until ya'll get ready to me. One hundred like cabbage G. But I ain't worry 'bout, know I'm rocky. Don't fool me cause they know how I'm rocking. And I bet that whore wanna fool me. Everybody know how I'm rocky. And this diamond dancing all over me. Know how I'm rocking. But I ain't worry 'bout, know I'm rocky. Don't fool me cause they know how I'm rocking. And I bet that whore wanna fool me. Everybody know how I'm rocky. And this diamond dancing all over me. Know how I'm rocking"
game on,"This is not a game now, nobody can save you. Spent up all your change and now your turn is done. We won't be afraid cause we're the ones who made you. Knock you out the frame, we won't stop until you're gone. Game on, game on. Assassin, soldier and a captain. Feel the passion, no compassion, but I'm askin'. You say you ready, well, I'm attackin'. A predator in my competitors this second. I'm never lackin', boy, I'm ready for that action. That was braggin', man, what happened to you has-beens?. It's amazin' all the places and the people faces. Ah, bought the tour bus like a spaceship. I'm racin' against nothin' but time. Probably wouldn't be so lost if you was watchin' the signs. They gon' play me like a playstation. from playin' on that station. But I'm a be the face of a generation. Kids wit' no patience or directions. Never doubt or question my effort. Gameboard, gameboard, hope you people ready. I'm reloaded and I hope my trigger finger steady. Get xbox deleted cause in my lane. No controller but me playin' my game. This a different league, a different bracket. I'm a different gene, a different faction. I will never fall off, I just fall back. Don't make me pull up, pull up where you boys ball at. And show you little fake hustlers what the trap is. I have you run, it's do or die, it's all practice. I got warrior blood, I fear no heir. No army, no weapon, no man. Killer instinct, I just go harder than (-) , but I pull larger. I can't let you mini-mes steal my austin powers. I've travelled plenty seas, spent many hours. To make flocka be the best he can be. So you gon' show respect when you talkin' to me. That number one spot legacy I see is my hit. And what you take what you is, what you leave behind"
workin',"[Waka Flocka Flame]. I been workin' nigga. Cocaina, she be twerking nigga. Back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. I been workin' nigga. Cocaina, she be twerking nigga. I back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. Pussy ass nigga you ain't never jug. I'm a real Piru, ask Big Suge. I'm a real trapper, ask [?]. For the thrill, I pop a pill, shoot at the ops to catch a kill. I'm Waka Flocka, nigga. Kill a family member, shawty El Chapo nigga. Throw your sets in the air for my blockas nigga. Two shots of the [?] that go Flocka nigga. I'm on the block my nigga. Where the youngins going crazy, shooting cops my nigga. Red, blue, white flags like a Haitian killer. I will never back down, I'm from Clayco nigga. I been workin' nigga. Cocaina, she be twerking nigga. Back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. I been workin' nigga. Cocaina, she be twerking nigga. I back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. A lot of rappers start trapping it's like recess. Real jet boy I snatch the chain off your neck. Set the game for you niggas, that's a preset. Elm Street, Dirt Gang nigga that's the G set. I'm like Meech, my nigga. Bricksquad live off loyalty, fuck you niggas. Waka Flocka name still good in these streets. Five thousand shooters nigga, you ain't hard to reach. When it come to killers, gotta fleet my nigga. Pull a chopper out, holes in your fleets my nigga. I know you thinking to yourself I'm a beast, my nigga. Hundred shootouts, we ain't never faced defeat, my nigga. I been workin' nigga. Cocaina, she be twerking nigga. Back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. I been workin' nigga. Cocaina, she be twerking nigga. I back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. Check his background, he ain't who he say he is. Acting hard to them youngins, come shoot up your shit. Boy I must admit a lot of rap. Early in the morning and my dog baking cookies. John Gotti. Wish he try me, cross the line, you a body nigga. Go against Waka Flocka, kamikaze. Hands like I'm Ali, south side where you find me. Heard they trying to take me off the streets, my nigga. Pussy niggas snitching, talking to police my nigga. Now the feds tryna kick in my front door. I got loyal fees, burn money, case closed (Flocka). I been workin' nigga. Cocaina, she be twerking nigga. Back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti. I been workin' nigga. Cocaina, she be twerking nigga. I back my 'Rari out the driveway. 500 pounds, 200 squares, John Gotti"
fuck nigga,"Waka Flocka. I said. You a fuck nigga. You a-You a fuck nigga. You a fuck nigga. You a-You a fuck nigga. You a fuck nigga. You a-You a fuck nigga. You a fuck nigga. You a-You a fuck nigga. (I said). Waka Flocka. Heard you were snitchin'. I can't fuck with'cha. Just bought a Fm for a fuck nigga. I just bought that new [?] for you fuck niggas. I just seen your main bitch, I might fuck with her. You ain't keep it real when your partner went to jail. Took the charge for you, you ain't even post his bail. I was in the 9th grade in Clay Co. busting bail. R. I. P. To Travis Scott, D. Marks [?] and fish scale. I don't fuck with rappers. I don't want no features. I don't do no swap-outs. You ain't living what you rap 'bout. Rap gang with me, so you know them racks out. And you know them sticks out, I call Bruce [?] to blow your brains out. (I said). Drecco. Young, rich nigga, I me. Southside living that [?]. Make (?) to that homie Flocka. Told (?) clean up the street. Even though we riding too deep. Got 60 niggas under the seat. And another 100 on the back seat. You niggas really don't want beef. Got 30 of the blue tip. 30 of the red tip. Got 4 pistols posted on my hip. Greco, nino, I do not slip. Hit 'em with the chopper make her do a whole front flip. Say Drecco [?] be on the whole fuck shit. (?) split, now I got a whole brick. Back in the trap still selling these nicks. Damn I'm special, I still on a nigga dick. (I said). Lil Troup. You a fuck nigga. I don't fuck with'cha. I don't trust nigga. Run up out, bust niggas. You a lame, I don't fuck with'cha. You ain't heard that. Hit them with that 40 pussy nigga bet you heard that. Bitch where them birds at I'm cooking dope. I feel like Richard Porter, rich off selling, cooking dope. We got that Perc we got that Xanax we got-gotta smoke. [?] we rolling off that molly, let's turn up some more. Everyday I roll that reefer. I feel like Wiz Khalifa. I got a foreign barbie with me, got some things to teach her. I got her singing like a choir, I feel like a preacher. No I don't fuck with lame niggas so don't ask for features"
hard in da paint,"Talking: I can't forget da southside. Can't forget riverdale. I can't forget the hit squad. 1017 brick squad. Lebron flocka james. I go hard in da muhfuckin paint nigga. FLOCKA. I go hard in the muhfuckin paint nigga. Leave you stankin nigga. What the fuck you thinkin nigga. I wont die for this shit or what the fuck i say (Brick Squad). Front yard broad day wit da SK (ba ba ba ba ba ba bow). See Gucci, thats my mothafuckin nigga. I hang in the Dale wit dem hit squad killers. Waka Flocka Flame one hood ass nigga. Ridin real slow in the corners my nigga. FLOCKA. Gotta main bitch (And) gotta mistress (what up). a couple girlfriends, im so hood rich. Keep my dick hard, and keep me smoking (*coughing*). You'll get bills free shawty no jokin. Ey what i stand for? Flocka! (Brick Squad). Ima die for this shawty man i swear to god. In the trap wit some killers and some hood niggas (Whassup). Where you at? Where your trap? You aint hood, nigga. Keep this shit 300, put that shit on my hood. Crips fuckin wit me, G's and the Vice Lords (Brrrrrrrret). Eses in the Meeko freestyle off da dome. Brick Sqaud Waka Flocka Flame its fuckin on!. I go hard in the muhfuckin paint nigga. Leave you stankin nigga. What the fuck you thinkin nigga. I wont die for this shit or what the fuck i say (Brick Squad). Front yard broad day wit da SK (ba ba ba ba ba ba bow). See Gucci, thats my mothafuckin nigga. I hang in the Dale wit dem hit squad killers. Waka Flocka Flame one hood ass nigga. Ridin real slow in the corners my nigga. Wassup prissy nigga, Wassup punk nigga (Whassup). I got on dat nigga, make yo mommas momma getchya. Hope you got yo killers witchya, hope you got yo niggas witchya. Hope your goons ridin witchya, they gon fuckin miss you. Nigga what, i hadda tool like Easy Q. When my lil brotha died i said FUCK school. I picked the burnin log and i got some marijuana. 2 years later screamin out you dont wana. Glock 9 to SK if you want to beef. Shawty point blank range i put yo ass to sleep. Shawty talk his cheeks, so watch what ya say. Broad day in the air, none this shit legal. I go hard in the muhfuckin paint nigga. Leave you stankin nigga. What the fuck you thinkin nigga. I wont die for this or what the fuck i say (Brick Squad). Front yard broad day wit da SK (ba ba ba ba ba bow). See Gucci, thats my mothafuckin nigga. I hang in the Dale wit dem hit squad killers. Waka Flocka Flame one hood ass nigga. Ridin real slow in the corners my nigga"
grove st. party,"Grovvvvvve grovvvvve streeeeettttt.....flocka!. [waka flocka flame] chorus. I gotta a whole lot of money, bitches count it for me. Bottle keep poppin that's why the bad hoes jockin. It's a party it's a party it's a party. It's a party it's a party it's a party. My partner on a pill, my other partner drunk, rollin a lot i'm trying to get fucked up. It's a party it's a party it's a party. It's a party it's a party it's a party. [waka flock flame]. I step in the club, rollin on that loud shit. My weed keep your security saying be quiet. My bread startin a riot, your girl getting excited. Hold on wanna try it, i'm like why not try it. My swag they wanna buy it, my juice they wanna try it. Club going stupid, when i oh let's do it. Chu ain't gotta chew it, juking and she moving. Grove street villain nigga who you killin?. Broke two years ago, now i'm worth a million. Jacksons to the ceiling that's how we ballin. You know that i'm rollin. Throwing up the mean bread. Now i'm bout to meet her in the club with a heater. [waka flocka flame] chorus. gotta a whole lot of money, bitches count it for me. Bottle keep poppin that's why the bad hoes jockin. It's a party it's a party it's a party. It's a party it's a party it's a party. My partner on a pill, my other partner drunk, rollin a lot i'm trying to get fucked up. It's a party it's a party it's a party. It's a party it's a party it's a party. [kebo gotti]. A party ain't a party til i walk in it. Lime green flap match the fitted and the linen. Gucci shades are on my face and my lens kinda tinted. Cause my eyes real low and my head just started spinnin. I'm rollin like a mothafucka i'm a roll out in this motherfucker. Ima roscoe dash it ima bout to show out in this mothafucka. My jewelry game on frost about to snow out in this mothafucka. Ay flocka get them burners let's pull out in this mothafucka. Ay mothafucka what the hell is you rockin for run up on me and my squad. No that shouldn't be an option so. Somebody betta let you know i suggest that you let it go. This is grove street party safe niggas hit the exit door. [waka flocka flame] chorus. I gotta a whole lot of money, bitches count it for me. Bottle keep poppin that's why the bad hoes jockin. It's a party it's a party it's a party. It's a party it's a party it's a party. My partner on a pill, my other partner drunk, rollin a lot i'm trying to get fucked up. It's a party it's a party it's a party. It's a party it's a party it's a party. [waka flocka flame]. Rollin on them leaves, you can do the lean. Blowing on that loud perp, pass that bobby brown back. The hood got my fucking back, the streets i'm not duckin that. Please step the fuck back, grove street yes we are back. Hood plus i'm a nigger rich, every ghetto feeling this. 20 on my right wrist, 30 on my left wrist, 100 on my neck iced out for my respect. 20 fucking 10 ima blow the whole check. In the club flex, after party flex, you know how we ball, all i know is ball. Every dollar in my pocket ima spend it all, when a nigga die they gon say shawty raw. [waka flocka flame] chorus. I gotta a whole lot of money, bitches count it for me. Bottle keep poppin that's why the bad hoes jockin. It's a party it's a party it's a party. It's a party it's a party it's a party. My partner on a pill, my other partner drunk, rollin a lot i'm trying to get fucked up. It's a party it's a party it's a party. It's a party it's a party it's a party"
"get low (feat. nicki minaj, tyga & flo rida)","(Flo Rida). Lemme see you. Get it low, to the floor. Lemme know, whats up with us. Get it on. I wanna get you home. I'mma Put it on. (Waka Flocka). Oooh, she's just my type (Flocka). Hair long and her eyes light. Her smile shine like the sunlight. One of a kind, baby momma type. Friend muggin, she the hater type. Waka Flocka, I'm the player type (Flex). Jewelry bright, winter white. Champagne chilled on ice. Hold up!. Every bad bitch in the club to the dance floor. Hands on your hips, get real low. Throwing money, my M.O. So slot me your info. Let me know, what you doing tonight girl. I ain't got time for no games. I'm only here for tonight girl. Lemme see you get low, low, low. To the floor floor floor. Grab your hips girl. Fuck your man. Gimme some more more more. (Flo Rida). Lemme see you. Get it low, to the floor. Lemme know, whats up with us. Get it on. I wanna get you home. I'mma Put it on. (Nicki Minaj). Ride for him. Cause he say I ride real good. Pop star, but I fuck him like I'm still hood. Heard he wanna spend money on a red bitch. Wanna see me do tricks with the next chick. Anyway, boobs up and my ass out. Somebody get a medic when he pass out. Big Nicki in the game nigga. Bricksquad, I ain't fucking with no lame nigga (ahhh). Dis dat part when I slow it down like this (ahhh). Somebody better get da bitch another round (ahhh). Fly as fuck I need a co-pilot. When I come out it's a motherfucking ho riot. (Flo Rida). Lemme see you. Get it low, to the floor. Lemme know, whats up with us. Get it on. I wanna get you home. I'mma Put it on. (Tyga). They your size, little waist don't match your thighs. Say you're on my level but my level too high. Looking in your eyes, don't look so surprised. I know you ain't heard that, before. Searching in the club and I just found one. Pick up lines, I just dropped mine. Single for the night, tryna double my fun. So whats up, to the bad bitch. In the corner, with her ass big. And her hair long, I'mma grab it. She call me daddy, but I'm a bastard. Like, I ain't tryna be horse & carriage. Or tryna take care of you, so put your bad habit. I just wanna smash it, smash it. Pass it, show you where the cash is, cash is. But first lemme see you.... (Flo Rida). Lemme see you. Get it low, to the floor. Lemme know, whats up with us. Get it on. I wanna get you home. I'mma Put it on. You be like (ooh ooh), wrap your legs around (me, me). I'll be on top of (you, you), you'll be like (ooh ooh). I'll be like (ooh ooh), wrap your legs around (me, me). I'll be on top of (you, you), I'll be on top of (ooh ooh)"
big homie flock (intro),"The trap hot, it's on fire. Either way a nigga like a busy b play. I run my hood, no marathon. Took off for a minute now I'm back on. Them bass bigger, my trez longer. My niggas' rhythm, my weed stronger. Fuck a backpack, that bodybuilder. Money talks, I don't fuck with niggas. Ha ha ha ha. You been undressed, you ain't got swag. You a walkin rapper, you a signed artist. Got my own label, fuck these niggas. Play the middle finger on my diary. She in the gang banger so it's fuck a peezy. Wiped cream say I ain't talkin money. I keep 1 K, yo nigga transport to my old ways. Keep black doors on me like Oj. I'm turnt up off no drugs. You turnt that, you get no luck. Blow the energy so I'm in the cloud. Actin wild, they know I go hard. Bitch I'm good with ya'll. One phone call, send them killers at you. That's speed dial, house visit 10 years. At the same time Joey beat his murder trial. All the count, that's upon the soldiers. Still collecting opinions, I'm a humble nigga. Never join forces, make my own way. I keep date, no birthday. Fuck a off day competition. I eliminate from the street laws. Don't litigate, I delegate, you follow. I'm own my own shit you, you borrow. Last nigga tried to rob me got shot now he sue me for a half a mill. That's real shit, Big Homie Flock. Squad!"
