see you again (feat. charlie puth),"It's been a long day, without you my friend. And I'll tell you all about it when I see you again. We've come a long way from where we began. Oh I'll tell you all about it when I see you again. When I see you again. Damn, who knew. All the planes we flew. Good things we been through. That I'd be standing right here talking to you. About another path. I know we loved to hit the road and laugh. But something told me that it wouldn't last. Had to switch up look at things different. See the bigger picture. Those were the days. Hard work forever pays. Now I see you in a better place. Oh. How could we not talk about family. When family's all that we got?. Everything I went through. You were standing there by my side. And now you gonna be with me for the last ride. It's been a long day, without you my friend. And I'll tell you all about it when I see you again. We've come a long way from where we began. Oh I'll tell you all about it when I see you again. When I see you again. First, you both go out your way. And the vibe is feeling strong. And what's small turn to a friendship. A friendship turned into a bond. And that bond will never be broken. The love will never get lost. And when brotherhood come first. Then the line will never be crossed. Established it on our own. When that line had to be drawn. And that line is what we reached. So remember me when I'm gone. How could we not talk about family. When family's all that we got?. Everything I went through. You were standing there by my side. And now you gonna be with me for the last ride. So let the light guide your way. Hold every memory as you go. And every road you take. Will always lead you home. Home. It's been a long day, without you my friend. And I'll tell you all about it when I see you again. We've come a long way from where we began. Oh I'll tell you all about it when I see you again. When I see you again. When I see you again. See you again. When I see you again"
"young, wild and free","Bruno Mars:. So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how its supposed to be. Living young, and wild and free. Wiz Khalifa:. Uh, uh, huh. So what I keep 'em rolled up. Saggin' my pants, not caring what I show. Keep it real with my niggas. Keep it player for these hoes. It look clean, don't it?. Washed it the other day, watch how you lean on it. Give me some 501 jeans on and roll joints bigger than King Kong's fingers. And smoke them hoes down 'till they stingers. You a class clown and if I skip for the day I'm with you bitch smokin' grade A. Snoop Dogg:. Yeah, uh, you know what?. It's like I'm 17 again. Peach fuzz on my face. Lookin', on the case. Tryna find a hella taste. Oh, my God, I'm on the chase. Chevy, its gettin' kinda heavy, relevant, sellin' it. Dippin' away, time keep slippin' away. Zip in the safe, flippin' for pay. Tippin' like I'm drippin' in paint. Up front four blunts, like ""Khalifa, put the weed in a J"". Bruno Mars:. So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how its supposed to be. Living young and wild and free. Wiz Khalifa:. Uh, and now I don't even care. Cuz if me and my team in here. There's gon' be some weed in the air. Tell 'em, Mac. Snoop Dogg:. Blowin' everywhere we goin'. And now ya knowin'. When I step right up. Get my lighter, so I can light up. Wiz Khalifa:. That's how it should be done. Soon as you thinkin' you're down. Find how to turn things around. Now things are looking up. Snoop Dogg:. From the ground up. Pound up. It's Taylor Gang. So turn my sound up. And mount up. And do my thang. Wiz Khalifa:. Now I'm chillin'. Fresh outta class feelin'. Like I'm on my own. And I could probably own a building. Got my own car. No job, no children. Had this science project. Me and Mac killed it. Snoop Dogg:. T-H-C. M-A-C. D-E-V. H-D-3. High as me. This is us. We gon' fuss. And we gon' fight. And we gon' roll. And live off life. Bruno Mars:. So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how its supposed to be. Living young, and wild and free. Wiz Khalifa:. Yea, roll one, smoke one. When you live like this, you're supposed to party. Roll one, smoke one, and we all just having fun. So we just, roll one, smoke one. When you live like this you're supposed to party. Roll one, smoke one, and we all just having fun. All:. So what we get drunk. So what we smoke weed. We're just having fun. We don't care who sees. So what we go out. That's how its supposed to be. Living young, and wild and free. Wiz Khalifa:. So what. We get drunk. So what we smoke weed. We're just having. Fun. And we don't care who see. Snoop Dogg:. (We don't care who sees). So what we go out. That's how it's supposed to be. Livin' young, and wild, and free"
black and yellow,"Yeah, uh huh, you know what it is. Black and yellow, black and yellow. Black and yellow, black and yellow. Yeah, uh huh, you know what it is. Black and yellow, black and yellow. Black and yellow, black and yellow. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screamin' that's nothin'. When I pulled off the lot, that's stuntin'. Reppin' my town when you see me. You know everything. Black and yellow, black and yellow. Black and yellow, black and yellow. I put it down from the whip. To my diamonds I'm in. Black and yellow, black and yellow. Black and yellow, black and yellow. Black stripe, yellow paint. Them niggas scared of it, but them ho's ain't. Soon as I hit the club look at them ho's face. Hit the pedal once, make the floor shake. Suede insides, my engine roarin'. It's the big boy, you know what I paid for it. And I got the petal to the metal. Got you niggas checkin' game, I'm ballin out on every level. Hear them haters talk. But there's nothing you can tell 'em. Just made a million. Got another million on my schedule. No love for a nigga breakin' hearts. No keys, push to start. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screamin' that's nothin'. When I pulled off the lot, that's stuntin'. Reppin' my town when you see me. You know everything. Black and yellow, black and yellow. Black and yellow, black and yellow. I put it down from the whip. To my diamonds I'm in. Black and yellow, black and yellow. Black and yellow, black and yellow. Got a call from my jeweler, this just in. Bitches love me 'cause I'm fuckin' with their best friends. Not a lesbian, but she a freak though. This ain't for one night, I'm shinin' all week, ho. I'm sippin' Cliquot and rockin' yellow diamonds. So many rocks up in my watch I can't tell what the time is. Got a pocket full of big faces. Throw it up 'cause every nigga that I'm with tailored. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screamin' that's nothin'. When I pulled off the lot, that's stuntin'. Reppin' my town when you see me. You know everything. Black and yellow, black and yellow. Black and yellow, black and yellow. I put it down from the whip. To my diamonds I'm in. Black and yellow, black and yellow. Black and yellow, black and yellow. Stay high like how I'm supposed to do. That crown underneath them clouds can't get close to you. And my car look unapproachable. Super clean but it's super mean. She wanna fuck with them cats, smoke weed, count stacks. Get fly, take trips and that's that, real rap. I let her get high, she want and she feel that. Convertible drop fill, '87 and the top peel back. Yeah, uh huh, you know what it is. Yeah, yeah, uh huh, you know what it is. You already know what it is, man. And if you don't, you should by now. Reppin' my town when you see me. You know everything. Black and yellow, black and yellow. Black and yellow, black and yellow. I put it down from the whip. To my diamonds I'm in. Black and yellow, black and yellow. Black and yellow, black and yellow. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screamin' that's nothin'. When I pulled off the lot, that's stuntin'. Reppin' my town when you see me. You know everything. Black and yellow, black and yellow. Black and yellow, black and yellow. I put it down from the whip. To my diamonds I'm in. Black and yellow, black and yellow. Black and yellow, black and yellow"
"black and yellow (feat. snoop dogg, juicy j & t-pain)","[Wiz Khalifa]. Yea, Uh huh, you know what it is. Black and yellow. Black and yellow. Black and yellow. Black and yellow. Yea, Uh huh, you know what it is. Black and yellow. Black and yellow. Black and yellow. Black and yellow. [Wiz Khalifa]. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screaming that's nothing. What I pulled off the lot, that's stunting. Repping my town when you see me you know everything. Black and yellow. Black and yellow. Black and yellow. Black and yellow. I put it down from the whip to my diamonds, I'm in. Black and yellow. Black and yellow. Black and yellow. Black and yellow. [Snoop Dogg]. Big Snoop Dogg and Wiz Khalifa. See on the West Coast I'm the big Chief-a. The grim reaper, maybe that, bring me back, yellow 'lac. Steeler logo in the back. We banging out, that Taylor gang. Dub to your face baby till you say my name. Don't get your clique served. So much black and yellow you would think I was from Pittsburgh. Encher, get yearn. [Wiz Khalifa]. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screaming that's nothing. What I pulled off the lot, that's stunting. Repping my town when you see me you know everything. Black and yellow. Black and yellow. Black and yellow. Black and yellow. I put it down from the whip to my diamonds, I'm in. Black and yellow. Black and yellow. Black and yellow. Black and yellow. [Juicy J]. I'ma bumble bee lit up like a Christmas tree. Drinking Hennessy black, I'm from Tennessee. Juicy J make their way on my own two. Quarter mill for the Phantom, bitch I own you. And that go for every G that I'm fucking with. Black and yellow bitches all around me, yeah I dig. In their purse, gotta get that reimburse. On the bills and that purple pint of syrup. And I stay Louie down to the socks. Range, and watch, weed and glock. Beans to pop. My pants swoll with them rubber band knots. I'm getting old but them rubber bands not nigga. [Wiz Khalifa]. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screaming that's nothing. What I pulled off the lot, that's stunting. Repping my town when you see me you know everything. Black and yellow. Black and yellow. Black and yellow. Black and yellow. I put it down from the whip to my diamonds, I'm in. Black and yellow. Black and yellow. Black and yellow. Black and yellow. [T-Pain]. You can catch me in my Lamborghini. (black and yellow, black and yellow). I can rock it on the beat or a cappella, a cappella. (uh ohh-oh uh boom). Sideways in the turning lane (turning lane yaa...). Fire flame I be burning man (burning man yaa...). Teddy Pain about to hurt the game (game). Took a break for a while I've been learning things (boom). I learned how to tell a nigga fuck you then. (black and yellow, black and yellow). All I do is fucking win (win). I told you (told you). And now I'm on. You thought it was over (over). You thought I was gone (gone). I'm going in, you don't have to let me, have to let me. Back from the dead like I'm Machiavelli, Machiavelli (boom). [Wiz Khalifa]. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screaming that's nothing. What I pulled off the lot, that's stunting. Repping my town when you see me you know everything. Black and yellow. Black and yellow. Black and yellow. Black and yellow. I put it down from the whip to my diamonds, I'm in. Black and yellow. Black and yellow. Black and yellow. Black and yellow. [Wiz Khalifa]. Black and yellow, all black and yellow. See me now they treating me like I'm somebody special. Smoking on that bud, know its me soon as they smell it. You can tell I'm the one who get it not the one who sell it. I grind everyday I'm balling I can't help it. Niggas on that bullshit my pockets full of Celtics. And them niggas hating on us get our best wishes. In the club you ain't even on the guest list bitch. Sound like you need to get your weight up. Go to sleep rich and count another million when I wake up. They wondering how I do my thang, two words, Taylor Gang. Remix g-shit. The champagnes poured nigga the weeds lit. Little mama clothes falling like the leaves in the fall. Ain't worry about your friends so bring 'em all. [Wiz Khalifa]. Yeah, uh huh, you know what it is. Everything I do, I do it big. Yeah, uh huh, screaming that's nothing. What I pulled off the lot, that's stunting. Repping my town when you see me you know everything. Black and yellow. Black and yellow. Black and yellow. Black and yellow. I put it down from the whip to my diamonds, I'm in. Black and yellow. Black and yellow. Black and yellow. Black and yellow"
we own it,"Money's the motivation - money's the conversation. You on vacation, we gettin' paid, so. We don't placate 'em, I did it for the fam'. It's whatever we had to do, it's just who I am. Yeah - it's the life I chose. Gunshots in the dark, one eye closed. And we got it cookin' like a one-eyed stove. You can catch me kissin' my girl with both eyes closed. Perfectin' my passion, thanks for askin'. Couldn't slow down so we had to crash it. You use plastic, we 'bout cash. I see some people ahead that we gon' pass, yeah!. [Hook]. I never fear death or dying. I only fear never trying. I am whatever I am. Only God can judge me now. One shot, everything rides on. Tonight, even if I've got. Three strikes, I'mma go for it. This moment, we own it. And I'm not to be played with. Because it could get dangerous. See these people I ride with. This moment, we own it. And the same ones I ride with. be the same ones that I die with. Put it all out on the line with. If you lookin' for me you can find Wiz. In the new car or the Crown with my new broad. That's a fine chick, and the Weather Squad, I'm down with. Ain't no way around it. What you say? Tell me what you say?. Workin' hard, reppin' for my dawgs, so this every day. Takin' off, lookin' out for all, makin' sure we ball like the mob. All you do is call, catch you if you fall, Young Khalifa. [Hook]. I never fear death or dying. I only fear never trying. I am whatever I am. Only God can judge me now. One shot, everything rides on. Tonight, even if I've got. Three strikes, I'mma go for it. This moment, we own it. And I'm not to be played with. Because it could get dangerous. See these people I ride with. This moment, we own it. This the biggest day of my life. We got big guns, been graduated from knives. Day in the life, and I'm ready to ride. Got the spirit, I'm feelin' like a killer inside. Or - financial outbreak, I'm free but I ain't out yet. Ridin' with the plug so I'm close to the outlet. At the red light, rims, sittin' on the set. I look better on your girl than her outfit. Stuck to the plan, always said that we would stand up. Never ran, we the fam, and loyalty never change up. Been down since day one, look at where we came from. Jumpin' out on anybody who try to say somethin'. One thing about it, got a problem? I've got the same one. Money rolls we fold, plenty clubs we close. follow the same code. Never turn our backs, our cars don't even lose control. One shot, everything rides on. Tonight, even if I've got. Three strikes, I'mma go for it. This moment, we own it. And I'm not to be played with. Because it could get dangerous. See these people I ride with. This moment, we own it"
promises,"Say baby, Imma wake up for you. Imma have my way with your body. And when I'm done touching you. I bet you won't wanna. Give yourself to nobody. Baby when the lights go out. It's like we're the only ones. And I already feel it now. It's like you're the only one. Only one who knows just how. How to make the time stand still. We're caught in the moment. So don't let me down. You made those promises. Don't take em back now. Don't let me down. Do all the things you said that had me going. Let's get caught in the moment. Let's get caught in the moment. Smoking one and rolling one. I come and break you down for fun. You love it when I get up in it. Kiss your body when I'm finished. My drop crotch is by Knomadik. My drop top is automatic. Put you in it, now you tweaking. I kidnap you for the weekend. Rolling up and going up. I'm smoking weed and pouring up. I take that money, hold it up. I take your legs and fold em up. I take my time, I break it down. I tell you not to make a sound. I take that Kk and pass it round. Your clothes keep dropping to the ground"
medicated,"[Wiz Khalifa]. You be anything you want. Uhh. Just keep going, going, gone, gone, gone. Uhh. It don't stop here nigga. Yeah. Uhh. Back when I was young I had dreams of getting richer. Then my homie Breeze set me down schooled me. to the picture. I was with some wild niggas put me on the game. Told me if you tryin' to make your move. you gotta know your lane homie. All you got your name and your words will never break. For this life you pay a price. you get a chance you gotta take it. Cause most niggas never make it. they stranded where I'm from. Ain't no conversation all they understand is get a gun. I was riding in my Bona Ville hoping I could make it. Out selling peas and smoking weed. avoiding police right up the street. Way back in the day before I had all of this paper. Before I had all of these diamonds,. before I had all of these haters. Now I remember when, I seen it and to me it was stuntin'. I remember when, I bought it I ain't needed or nothing. Always in a different state so now they label me a goner. I ain't come up out of nowhere. I'm from straight up off the corner. Now everywhere we go, they probably know my name. cause I been there. Now everywhere we go,. they said how much I spend when I'm in there. And I'm throwing up my money for the ones. who never made it. Say I fucked the ones who hate it rolling up and celebrate. Now let's get medicated. Man, let's get medicated. Let's get medicated. Man I'm hella faded. Man, let's get medicated. Let's get medicated. Let's get medicated. Man I'm hella faded. I'm hella faded. [Juicy J]. Rolling weed up and smoke it. Take your bitch home and poke it. Juicy begin so faded. Thank God I got a chauffeur. Only good cali bud. Pulling hoes bad as fuck. Just like a youngin' my nigga. Juicy do all them drugs. Niggas smoking that beverage weed. I be on that light green. Pop molly in the after hours. A member of no sleep team. Get a whole pound smoke it by myself. Or maybe after Olympics with my homie Michael Phelps. [Chevy Woods]. You know I'm fresh up out that corner, twisting marijuana. They copy us, they clone us. Yeah we so fly we on us. Got acting like they been before. But they ain't never been at all. 8 balls I was in no hole. Ain't have time to fuck with y'all. Champagne when we celebrate. Keen sense so I smell the hate. Middle finger we getting paid. It cost much but don't press that eight. That dotted line it ain't like that day. Comic book let me Illustrate.. Like power bang when they lift that cane. My cousin died wish I can get that day. Back like it's a vertebrae. Bring that nigga on front street. Talk about and never be about it. They don't wanna beef cause that's lunch me. So anything you need you know that's on me. And that's OG, I swear homie. [Wiz Khalifa]. Now let's get medicated. Man, let's get medicated. Let's get medicated. Man I'm hella faded. Man, let's get medicated. Let's get medicated. Let's get medicated. Man I'm hella faded. I'm hella faded. Riding down the street the way I'm grinding is unique. My city holding on to me so niggers holding on their heat. Throwing up their side rolling up that leaf. Ondoers get high all we want is peace. Always on the grind that's every day so police looking. I'm just rapping killing beats tryin' to stay away from booking. Yeah my nigga dirty crocked I just had to make it on. And let me hit the studio to show they happy to be home. Now I remember when, I seen it and to me it was stuntin'. I remember when, I bought it I ain't needed or nothing. Always in a different state so now they label me a goner. I ain't come up out of nowhere. I'm from straight up off the corner. Now everywhere we go,. they probably know my name cause I been there. Now everywhere we go,. they said how much I spend when I'm in there. And I'm throwing up my money for the ones who never made it. Say I fucked the ones who hate it rolling up and celebrate. Now let's get medicated. Man, let's get medicated. Let's get medicated. Man I'm hella faded. Man, let's get medicated. Let's get medicated. Let's get medicated. Man I'm hella faded. I'm hella faded"
work hard play hard,"Work hard, play hard. Work hard, play hard. Work hard, play hard. Work hard, play hard. Work, work, work, work. Work, work, work, work. Diamonds all over my ring, nigga. Gold watches, gold chain, nigga. Hundred dollar champangne, nigga. Yeah, my money insane, nigga. Yeah, I'm making it rain, nigga. But I was just on a plane, nigga. Buyin' gear, flyin' here. Fuck what you heard, is my time of the year. If I'm in the club, I get a hundred stacks. I'm always rolling up, so I get love for that. Them nigga stole my swag, but I don't want it back. My nigga. I was on this, but now I'm onto that. You see it in my closet before it's on the rack. Was out there in Hawaii, but now I'm going back. My nigga. I got so much money I should start a bank. So much paper right in front of me it's hard to think. Bought so many bottles, it's gonna be hard to drink. But I'm still pouring up and my family here. And they rolling up so uh. The bigger the bill, the harder you ball. Well, I'm throwing mine, cause my money long. The quicker you're here, the faster you go. That's why where I come from the only thing we know is. The bigger the bill, the harder you ball. Well, I'm throwing mine, cause my money long. The quicker you're here, the faster you go. That's why where I come from the only thing we know is. Work hard, play hard. Work hard, play hard. Work hard, play hard. Work hard, play hard. Work, work, work, work. Work, work, work, work. Hop your pretty ass up in this fucking car. Bitch I'm out this world, girl you know I'm a star. Used to buy rounds, but now we buy the bar. Last year they had to ask. Now they know who we are. Boss shit, walk in the building, I own shit. You can tell by who I'm on the phone with. Yeah, nigga talking about grown shit. Niggas too busy jacking my swag. Need to fuck around, get your own shit. Get your own cars, get your own clothes. Get your own smoke, get your own bitch. You ain't reppin' my gang, get your own click. The bigger the bill, the harder you ball. Well, I'm throwing mine, cause my money long. The quicker you're here, the faster you go. That's why where I come from the only thing we know is. The bigger the bill, the harder you ball. Well, I'm throwing mine, cause my money long. The quicker you're here, the faster you go. That's why where I come from the only thing we know is. Go hard, make sure you do it whatever is that you gotta do. That's your job. And niggas gonna hate, but that's no prob. So, hey, fuck 'em, don't need nothing from 'em. Some niggas talking. But the shit they're claming don't mean nothing. Straight from Cali that's what is in my joint. That's what I'm puffing, o. g. And been once since I was young enough to know. That everybody was gonna know me, most niggas don't see. The bigger the bill, the harder you ball. Well, I'm throwing mine, cause my money long. The quicker you're here, the faster you go. That's why where I come from the only thing we know is. The bigger the bill, the harder you ball. Well, I'm throwing mine, cause my money long. The quicker you're here, the faster you go. That's why where I come from the only thing we know is. Work hard, play hard. Work hard, play hard. Work hard, play hard. Work hard, play hard"
on my level,"[Wiz Khalifa - Verse 1]. It's the champagne pourin'. Big joint rollin'. Bombay sippin. No blunt smoking. Bad bitch gettin'. Thick and she got some friends with her. I take 'em out pourin' shots of liquor. Drinkin' out the bottle, smiling in all my pictures. The marijuana loud so them hoes follow like twitter. Nigga, you know everything Taylored. Don't rush to the bar fool, if you aint got no paper. That's the rules, high as fuck, sloppy drunk when I'm passing through. Rollin' doobies up, ya hoe who we pass 'em to. Hit the club spend this money up, roll another one, drink, act a fool. Thats what I have to do. [Chorus]. See after drinking champagne all night. Never worry bout a damn thing, y'all might. Homie I'm on my level (yeh). I'm on my level (yeah). I'm on my level (yeh). I'm on my level (yeaah). So let me take one shot to the brain. And I order three more shots. I'm going in, ayy. I'm on my level (yeh). I'm on my level (yeah). I'm on my level (yeh). I'm on my level (yeaah). [Wiz Khalifa - Verse 2]. Spent a couple dollars on my engine. motor roaring when I back out the garage. Gin got me drunk as fuck stumbling out the bar. Plus I'm struggling tryna find the keys to my car. Cause I be going hard, roll the camera. Life just like a movie, I'm the star. Wish you was in my position. You too broke to play the part. Of course I keep some bad women with me in the back. Sippin' Rose with some hash twistin'. All about a dollar, my team in the cash gettin'. Straight out the burb, we drinking we smash niggas. So when I say I'm balling, that don't mean that I'm playing mate. All my diamonds talkin', you can see what they sayin' mayne. [Chorus]. [Too Short]. In the middle of the night, early in the mornin'. From the streets to the sheets with some freaks, I aint yawnin?. I'm wide awake, we aint eatin', we aint sleepin'. These bitches so high man, we aint even speakin'. We just freakin'. You rollin' with short dog baby. She was high on that pill so I fucked yo lady. Come to my house I give 'em everything they want. I might not dot it, but I give to ya women. Cocaine, mushrooms, ecstasy, GHB, Marijuana. She can suck it if she wanna. I got tequila, Ciroc and two freaky friends. and this a Wednesday night, this aint the weekend. [Chorus]. [Bridge]. Man I'm high as fuck. Man I swear I'm on my level. Man I'm sloppy drunk. Man I swear I'm on my level. I finna pass out. man I swear I'm on my level. A nigga get smashed out. Man I swear I'm on my level. Man I'm high as fuck. Man I swear I'm on my level. Man I'm sloppy drunk. Man I swear I'm on my level. I finna pass out. man I swear I'm on my level. A nigga get smashed out. Man I swear I'm on my level"
no sleep,"Last night I let the party get the best of me. Waking up in the morning: two hoes laying next to me. Plus I heard an officer arrested me. Good weed and cold drinks: that's the motherfucking recipe. Nigga and we roll deep, so deep. It's going down in this bitch: concrete. We gon party all night: no sleep. Tell the owner them is all my guys. So tonight everything is on me. The drinks is on me. The bitches, the hotel, the weed is all free. Get high, I mean so high. We don't see the whole suite. Then fly to a level where you gonna need your own key (Tgod). No driving, no sleeping. Live it up like it's the weekend. When the Dj play the right song. Gonna drink, gonna party all night long. Leaving from the club now she wanna stay with us. Came to spend it all, don't care what I'm paying for. Used to be too young, now I'm out here buying the bar. Everytime I look up, it's another red cup. Bunch of niggas in the game but they ain't playing with us. They just paying enough. Man them niggas ain't ballin they just laying it up. Saying they does, I'm just rolling hella weed up. while on my way to the club. I had to wait at the club. But now I don't cause everything is on me. The drinks is on me. The bitches, the hotel, the weed is all free. Get high, I mean so high. We see the whole street. We fly, I mean so high. We need a whole wing (Tgod). No driving, no sleeping. Live it up like it's the weekend. When the Dj play the right song. Gonna drink, gonna party all night long. Party all day, party all night. Say you wanna party lets party alright. I, Party all day, party all night. Say you wanna party lets party alright. I, Party all day, party all night. Say you wanna party lets party alright. I, Party all day, party all night. Say you wanna party lets party alright. I.. No driving, no sleeping. Live it up like it's the weekend. When the Dj play the right song. Gon' drink, gon' party all night long. Party all day, party all night. Say you wanna party, let's party alright"
