moonlight,"Spotlight, uh, moonlight, uh. Nigga, why you trippin'? Get your mood right, uh. Shawty look good in the moonlight. All these pussy niggas so bad mind. Spotlight, moonlight. Nigga, why you trippin'? Get your mood right. Shawty look good in the moonlight. All these pussy niggas so bad mind. Spotlight, uh, moonlight. Nigga, why you trippin'? Get your mood right, uh. Shawty look good in the moonlight. All these pussy niggas so bad mind. Spotlight, moonlight. Nigga, why you trippin'? Get your mood right. Shawty look good in the moonlight. All these pussy niggas so bad mind. Feel like I'm destined. I don't need no Smith & Wesson, no. Girl, who you testin'?. Fuck a Scantron, here's your lesson, oh. Knife in intestine. Takin' shots with all your brethren, no. Feel like I'm damaged. Don't know where you'll fucking find me. All alone, call my phone, make me feel right. Girl you know when you call, make me feel right. All alone, call my phone, make me feel right. Girl you know when you call, make me feel right. Spotlight, uh, moonlight, uh. Nigga, why you trippin'? Get your mood right, uh. Shawty look good in the moonlight. All these pussy niggas so bad mind. Spotlight, moonlight. Nigga, why you trippin'? Get your mood right. Shawty look good in the moonlight. All these pussy niggas so bad mind. Spotlight, uh, moonlight. Nigga, why you trippin'? Get your mood right, uh. Shawty look good in the moonlight. All these pussy niggas so bad mind. Spotlight, moonlight. Nigga, why you trippin'? Get your mood right. Shawty look good in the moonlight. All these pussy niggas so bad mind"
sad!,"Yeah. Who am I? Someone that's afraid to let go, uh. You decide, If you're ever gonna, let me know (yeah). Suicide, If you ever try to let go, uh. I'm sad and low, yeah. I'm sad and low, yeah. Who am I? Someone that's afraid to let go, uh. You decide, If you're ever gonna, let me know (yeah). Suicide, If you ever try to let go, uh. I'm sad and low, yeah. I'm sad and low, yeah. I gave her everything. She took my heart and left me lonely. I've been broken, heart's contentious. I won't fix, I'd rather weep. I'm lost then I'm found but. It's torture being in love. I love when you're around. But I fucking hate when you leave. Who am I? Someone that's afraid to let go, uh. You decide, If you're ever gonna, let me know (yeah). Suicide, If you ever try to let go, uh. I'm sad and low, yeah, I'm sad, I know, yeah. Who am I? Someone that's afraid to let go, uh. You decide, If you're ever gonna, let me know (yeah). Suicide, If you ever try to let go, uh. I'm sad and low, yeah, I'm sad, I know, yeah. Who am I? Someone that's afraid to let go, uh. You decide, If you're ever gonna, let me know (yeah). Suicide, If you ever try to let go, uh. I'm sad and low, yeah, I'm sad, I know, yeah. Who am I? Someone that's afraid to let go, uh. You decide, If you're ever gonna, let me know (yeah). Suicide, If you ever try to let go, uh. I'm sad and low, yeah, I'm sad, I know, yeah"
fuck love (feat. trippie redd),"Baby I need you in my life, in my life. Please bae don't go switching sides. Switching sides. I swear this is where you reside, you reside. Please bae don't go switching sides. Switching sides. Yeah, yeah. Ooh, please don't throw your love away. Please don't throw your love away. Please don't throw your love away. Yeah, yeah. I'm nauseous. I'm dyin' she ripped my heart right out. Can't find her. Someone to my eyes are all cried out. Lost it, riots gunfire inside my head. I've lost it, riots gunfire inside my head. Baby I need you in my life, in my life. Please bae don't go switching sides. Switching sides. I swear this is where you reside, you reside. Please bae don't go switching sides. Switching sides. Yeah, yeah. Ooh, please don't throw your love away. Please don't throw your love away. Please don't throw your love away. Yeah, yeah"
changes,"Mm, baby, I don't understand this. You're changing, I can't stand it. My heart can't take this damage. And the way I feel, can't stand it. Mm, baby, I don't understand this. You're changing, I can't stand it. My heart can't take this damage. And the way I feel, can't stand it. Mm, baby, I don't understand it. Girl, you're making it hard for me. Girl, you're making it hard for me. Girl, you're making it hard for me, uh. Girl, you're making it hard for me. Girl, you're making it hard for me. Girl, you're making it hard for me. Mm, baby, I don't understand this. You're changing, I can't stand it. My heart can't take this damage. And the way I feel, can't stand it. Mm, baby, I don't understand this. You're changing, I can't stand it. My heart can't take this damage. And the way I feel, can't stand it. Mm, baby, I don't understand this. You're changing, I can't stand it. My heart can't take this damage. And the way I feel, can't stand it. Mm, baby, I don't understand it"
jocelyn flores (feat. shiloh dynasty),"I know you so well, so well. I mean, I can do anything that he can. I've been pretty. I know you're somewhere, somewhere. I've been trapped in my mind, girl. just holdin' on. I don't wanna pretend we're somethin',. we're nothin'. I've been stuck thinkin' 'bout her. I can't hold on. I'm in pain, wanna put 10. shots in my brain. I've been trippin' 'bout some things,. can't change. Suicidal, same time I'm tame. Picture this, in bed, get a phone call. Girl that you fucked with killed herself. That was this summer and nobody helped. And ever since then, man, I hate myself. Wanna fuckin' end it, pessimistic. All wanna see me with no pot to piss in. But niggas been excited 'bout the grave. I'm diggin'. Havin' conversations 'bout my haste decisions:. Fuckin' sickenin'; at the same time. Memories surface through the grapevine. 'Bout my uncle playin' with a slip knot. Post-traumatic stress got me fucked up. Been fucked up since the couple months. they had a nigga locked up. I'll be feelin' pain, I'll be feelin' pain. just to hold on. And I don't feel the same, I'm so numb. I'll be feelin' pain, I'll be feelin' pain. just to hold on. And I don't feel the same, I'm so numb. I know you so well. I mean, I can do anything that he can. I've been pretty. I know you so well"
bad!,"Low as bad. What is your face?. Something. Someone like that. Girl you love. Call me when. While you can. Girl climbing. Going down. In and out. Inverted March. Shorty like this. What is your face?. Something. Someone like that. Girl you love. Call me when. While you can. Girl climbing. Going down. In and out, turn around. I love the way you move itww"
look at me!,"I'm like bitch, who is your mans? aye. Can't keep my dick in my pants, aye. My bitch don't love me no more, aye. She kick me out I'm like bro, aye. That bitch don't wanna be friends, aye. I gave her dick, she got mad, aye. She put her tongue on my dick, aye. Look at my wrist, about 10, aye. Just got a pound of that boof, aye. Brought that shit straight to the booth, aye. Tommy my Hilfiger boots, aye. She said want fuck bitch, I do, aye. You put a gun on my mans, aye. I put a hole in your parents, aye. I just got lean on my ksubis, aye. I got an uzi no uzi, aye. Fuck on me, look at me, Ay. Fuck on me, yeah, look at me, ay. Look at me, look at me, yeah. Fuck on me, yeah. Look at me, yeah, fuck on me. Look at me, fuck on me, yeah. Look at me, fuck on me. Yeah, ay. I took a white bitch to starbucks. That lil' bitch got her throat fucked. I like to rock out, I'm misfit. My emo bitch like her wrist slit. Curly hair bitch like I'm Corbin. Got like three bitches, I'm mormon. Skeet on your main bitch's forehead. Don't want your pussy, just want head. Look at me, fuck on me. Look at me, fuck on me. Look at me, fuck on me. Look at me, yeah, aye. Look at me, fuck on me. Look at me, fuck on me. Look at me, fuck on me. Look at me, yeah"
everybody dies in their nightmares,"Ooh, ahh, ahh, ahh. Don't go, don't go to sleep. Don't go, stay up and don't go. Tired of feeling like I'm trapped in my damn mind. Tired of feeling like I'm wrapped in a damn lie. Tired of feeling like my life is a damn game. Nigga really wanna die in the night time. Only time I feel pain, when I'm feeling love. That's why it's tatted on my face. that I'm damn numb. Only time I'm in my mind. when I'm all alone. That's why I'm never really alone in the night time. Change hoes like clothes, I can't get attached. 'cause these hoes fire starters. like lit matches. I've been feeling really lost. ducking all attachments. I don't really go outside 'cause I hate traffic. I don't wanna go outside, get caught in traffic. Tired of feeling like I'm trapped in my damn mind. Tired of feeling. like I'm wrapped in a damn lie. Tired of feeling like my life is a damn game. Nigga really wanna die in the night time. Tired of feeling. like I'm trapped in my damn mind. Tired of feeling like I'm wrapped in a damn lie. Tired of feeling like my life is a damn game. Nigga really wanna die in the night time. Tired of feeling. like I'm trapped in my damn mind. Tired of feeling like I'm wrapped in a damn lie. Tired of feeling like my life is a damn game. Nigga really wanna die in the night time. Nigga really wanna die in the night time. Nigga really wanna die in the night time. Nigga really wanna die in the night time, uh. Nigga really wanna die in the night time, uh. Nigga really wanna die in the night time. Don't go to sleep. Don't go, stay up with me. Don't go, don't go to sleep. Don't go, stay up and don't. Oahahh. Don't go, don't go to sleep. Don't go, stay up and don't"
the remedy for a broken heart (why am i so in love),"Why am I so in love?. Why am I so in love?. Why am I so in love?. I don't know why. Steady tryin' to maintain. Same things that'll blow a bitch mind frame. My brain can't fathom what the hate say. He say, she say, how 'bout me say?. Get the vis-a, headed to the islands a-s-a-p. What's that on my shawty wrist? that's a ap. I'm the type to save a bitch, c-a-p-e. Feelin' like et, flyin' out of the addy. Fuckin' on shawty, she baddie, casual convo then at it. I mean I'm better than better, maybe I'm lyin'. I'm sadder than most of y'all. With the money and the freedom, nigga. What is money really worth if it ain't love?. I'ma find a perfect balance, it's gon' take time. I heard shawty still in love through the grapevine. Heard shawty still in love through the grapevine. Heard shawty in love through the grapevine. Mix a little bit of weed with a little bit of cash. With a little bit of this, with a little bit of that. We gon' be al-, we gon' be al- (right). We gon' be al- (right) we gon' be al. Mix a little bit of weed with a little bit of cash. With a little bit of this, with a little bit of that. We gon' be al-, we gon' be alright. We gon' be al- (right) we gon' be al. Mix a little bit of weed with a little bit of cash. With a little bit of this, with a little bit of that. We gon' be al-, we gon' be al (right). We gon' be alright, we gon' be al. Mix a little bit of weed with a little bit of cash. With a little bit of this, with a little bit of that. We gon' be al- (right) we gon' be al. We gon' be al- (right) we gon' be al. Why am I so in love?. I don't know why. Why am I so in love?. I don't know why. She said I, oh, I, am fallin' for you, fallin' for you. I, oh, I, am fallin' for you, fallin' for you. I, oh, I, am fallin' for you, fallin' for you. I, oh, I, am fallin' for you, fallin' for you. Why am I so in love?. Why am I so in love?. Why am I so in love?. I don't know why. Why am I so in love?. Why am I so in love?. Why am I so in love?. I don't know why"
guardian angel,"Llew os uoy wonk I. —ytterp neeb ev'I. Nac eh naht retteb od nac I, naem I. Lrig, uoy wonk I, llew os uoy wonk I. Llew, llew, llew. Bmun os m'I, emas eht leef t'nod I dnA. No dloh ot tsuj niap 'nileef eb ll'I, niap 'nileef eb ll'I. Bmun os m'I, emas eht leef t'nod I dnA. No dloh ot tsuj niap 'nileef eb ll'I, niap 'nileef eb ll'I. Listen close, what is this?. Is it heartbreak?. Is it truly what it feels like?. What it sound like?. What is truly at the essence. Sharp teeth in the chest. Cancer all in the breast. Of the beaten and bruised. Feeling like a pawn to the greed of these fools. But I never been a piece of the evil. In the womb of these fake fuck niggas. With they masks up, presume. I'll be telling, if I got a load, I swear I resume. On my conquest. For the key to the chest where my mind slept. And the love in my heart is a cancer. And I spread it through the wall as an answer. To the cries of the dead and the vanquished. The depressed and the lost and the damned, it's. Preservation of the peace, an ideal world. Never lonely when you flowin' through my mind, girl. I apologize, 'cause I couldn't see the pain in your damn eyes. 'Cause a nigga made you leave. with your heart in between different pains. Couldn't see ya when ya ain't cry. I guess I'm at a loss for words. To feel so close to someone, and finding they're gone the next day. I guess you never realize how permanently damaging that is"
