come back home,One two three. Neon nareul tteonajiman. Eodingaeseo neoui sumsoriga deullyeowa. Tto dasi four five six. Ppalgan nunmuri naeryeowa. Nareul andeon neoui hyanggiga geuripda. Nareul wihan geora haedeon neoui mal. Geojismalcheoreom chagapge doraseodeon. Neoneun wae. Neoneun wae you're gone away. Come back home. Can you come back home. Chagaun sesang kkeute nal. Beoriji malgo nae gyeoteuro. Come back home. Can you come back home. Modeun apeumeun dwiro hae. Yeojeonhi neol gidaryeo ireohge. Now you gotta do what you gotta do. Come back home. Come back home. Come baby baby come come baby. Come come baby baby come come. Naege dorawa. Come baby baby come come baby. Come come baby baby come come. Amu daedap eopsneun niga neomu mipjiman. Gakkeumeun neodo nareul geuriwohalkka yeah. Neo eopsneun sigan soge gathyeobeorin nan. Apeul bol suga. eopseo neomu duryeowo. Ajikdo mosda han manheun naldeuri. Gidarigo isseul geosman gata. Neoneun eodie. Eodie too far away. Come back home. Can you come back home. Chagaun sesang kkeute nal. Beoriji malgo nae gyeoteuro. Come back home. Can you come back home. Modeun apeumeun dwiro hae. Yeojeonhi neol gidaryeo ireohge. Now you gotta do what you gotta do. Come back home. Come back home. Come baby baby come come baby. Come come baby baby come come. Naege dorawa. Come baby baby come come baby. Come come baby baby come come. Come back home. Can you come back home. Chagaun sesang kkeute nal. Beoriji malgo nae gyeoteuro. Come back home. Can you come back home. Modeun apeumeun dwiro hae. Yeojeonhi neol gidaryeo ireohge. Now you gotta do what you gotta do
i am the best (english ver.),"[CL]. I am the Best. I am the Best. I am the Best. I am the Best. Th-th-the Best. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Oh my god. [BOM]. Whoever looks at me can see I'm kind of a killer alright. This body is second to no one alright. [DARA]. You're following behind me but. I'm only running forward. I jump on top of the table you're sitting at. I don't care. [CL]. If you touch me you won't be able to handle it. I'm hot hot hot hot fire. Before I flip something over. Please can someone stop me. [MINZY]. I open my closet and. Put on the freshest outfit. The reflection of my face in the mirror. I carefully check it over. Right now it's 8. I'm supposed to meet up at 8:30. Tonight I set out with bold steps. [CL]. I am the Best. I am the Best. I am the Best. I am the Best. Th-th-the Best. [MINZY]. Whoever looks at me can see I'm kind of fabulous alright. Even if you were me, you'd be envious of this body alright. [BOM]. Guys are turning around to look at me. Girls are following me. Being looked down on in the spot. I'm sitting at, every day is tiring. [DARA]. Pretending to be an athlete, this snobby. Clumsy Playa. Like you're a flat tire. I'll dump you good for people to see. [CL]. I refuse to be compared. I'm telling you the truth. If we're talking about my value, I'm a. Billion dollar baby. People who know a thing or two. They all know it so ask them. Grab anyone and ask them. Who is the best. I am the best. I am the best. I am the best. I am the best. [CL]. Who? You are better than me?. No no no no na na na na. Who? You are better than me?. No no no no na na na na. Who? You are better than me?. No no no no na na na na. Who? You are better than me?. No no no no na na na na. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Bam Ratatata Tatatatata. Oh my god"
are you ready (intro),"You ready?. You are ready?. You ready!. Yo, Tonight I'll drop it low. As low as this ba-bass. You know it's bout to low. All up in your face. You might have seen a couple. Bittys looking pretty. But none. Compare to me as I proceed to. Run this city, uh. This thing I'm in to. It's something brand new. This type of feeling got me. Doing things I won't do. Yeah, In the club it's gettin' Ugly. I don't care. Can't nobody stop the Fire. Let them haters sit and stare. Touch me over here. T-t-touch me over there. Touch Touch Touch, yeah yeah"
lonely (english ver.),"The words I'm saying right now, I don't know if they'll hurt you. They'll probably make you hate me forever. You, saying that I'm not the same as I used to be, is not completely untrue. This changed me is a stranger to myself as well. You are so kind but. That's the way you are but oh. I don't know I don't know. Why I am like this. We were so in love, and you're here now but oh. I don't know. I want to find myself now. Baby I'm sorry, even when I'm with you, I'm Lonely. I must be lacking when it comes to love, please forgive this person horrible person I am. I'm sorry, this is your and my story. I must not be worthy of this thing called love, even though I'm by your side. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. You didn't do anything wrong, I'm the strange one. It seems I've already been prepared long ago, for our breakup. I really wanted to treat you well, out of all the times, why is it when I'm confronted by love. I am shrinking away & am lonely endlessly. You are so kind but. That's the way you are but oh. I don't know I don't know. Why I am like this. We were so in love, and you're here now but oh. I don't know. I want to find myself now. Baby I'm sorry, even when I'm with you, I'm Lonely. I must be lacking when it comes to love, please forgive this person horrible person I am. I'm sorry, this is your and my story. I must not be worthy of this thing called love, even though I'm by your side. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Cuz I'm just another girl. This night is lonely, I. Can't take any more, Good bye. Cuz I'm just another girl. I'm so lonely. Even though I'm by your side right now. Baby I'm so lonely. Lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely lonely lonely. Baby I'm so lonely lonely lonely. By: Sabrina Rosa"
crush,Ush. neoui simjangeul ttwige haneun rush. yeppeun eonnideureun nal johahae. nal johahamyeon yeppeojinikka. They love me cuz im hot. They love me cuz im cold. They love me cuz im real. They love me cuz I kill (x2). nan duryeoul ge hana eopsji. nado nae jasini. museopge neukkyeojyeo. nan bappa. neon Tv do an boni. jigeum naga. mal sikiji ma. nacheoreom chum chulsu idago. saenggakhamyeon nawa. jugyeojulge na hanaro. neoreul michige haneun i music. sori deullini. Minzy they love me. nan ssagaji. nan mwol haedo nae meosdaeroji. nan ssagaji. modu aljanha I don't care. nan ssagaji. nan jogeumdo aswipji anhji. manheun geol barajineun ma. nan amudo mot mallineun ssagaji. They love me cuz im hot. They love me cuz im cold. They love me cuz im real. They love me cuz I kill (x2). I got 21 big brothers. To me you ain't big brother. nan yeppeun ipsullo. geochimeopsi malhae. nal geondeulmyeon. babo neoman sonhae. Valentinet day everyday. kyupiteudo nawa sarange ppajyeoji. nae usneun eolgure. sokjineun ma. nan wiheomhanikka. nan ssagaji. nan mwol haedo nae meosdaeroji. nan ssagaji. modu aljanha I don't care. nan ssagaji. nan jogeumdo aswipji anhji. manheun geol barajineun ma. nan amudo mot mallineun ssagaji. They love me cuz im hot. They love me cuz im cold. They love me cuz im real. They love me cuz I kill (x2). Come and get it i kill. Come and get it i kill. Yeah Come and get it i kill. Come and get it i kill. nolja hey hey hey nolja. nolja hey hey hey nolja. nolja hey hey hey nolja. nolja hey hey hey nolja. hey
baby i miss you,baby I miss you. nega bogo sipeo. ajik pyohyeonhal su eopsjiman. boy I miss you so much. neoui moseubi tteoolla. haru jongil. All I'm doing all day is. Thinking about you. You a young boy. I see you. nega da boyeo. ne ane naega boyeo. neoui haengdonge. geujeo miso jisge dwae. neoneun bad boy. gwaenchanha play that game boy. I can handle it. deulkigo sipji anha. neol hyanghan nae maeumeul. hajiman. I don't care. I'm a let it show. I'm a let it show. baby I miss you. nega bogo sipeo. ajik pyohyeonhal su eopsjiman. boy I miss you so much. neoui moseubi tteoolla. haru jongil. All I'm doing all day is. Thinking about you. boy ijeul su eopseo. neoga cheoeum naege deonjin mareun. hey what's up. eosaekhaji anheun pyojeongeun machi. yejeonbuteo imi aneun sai gataji. I'll be your star. naega damgin ne du nuneun biccina. meoril tteonaji anha nega Oh my god. amudo eopsneun goseuro tteonaja Now. deulkigo sipji anha. neol hyanghan nae maeumeul. hajiman. I don't care. I'm a let it show. I'm a let it show. baby I miss you. nega bogo sipeo. ajik pyohyeonhal su eopsjiman. boy I miss you so much. neoui moseubi tteoolla. haru jongil. All I'm doing all day is. Thinking about you. When I look into your eyes. You set me free. Just look into my eyes. I'll let you see everything. We don't need anything in our secret world. Nobody's invited. It's just you and me always. neowa i gireul geotgo sipeo naneun. eonjenganeun kkok neoui nuneul bogo. saranghanda malhae jugo sipeo. neol mitneunda malhago sipeo. baby I miss you. nega bogo sipeo. ajik pyohyeonhal su eopsjiman. boy I miss you so much. neoui moseubi tteoolla. haru jongil. All I'm doing all day is. Thinking about you
can't nobody,"[CL] Galmankeum gagaetji. Oneulbamdo gilgaetji. Boonwigi tagaetji. Joljol ddara ol taeji. Nan cham bappeun geol. I welcome you to my world. 2-N-E-1. [CL] Areumdaoon Seoul ciy. Shikkeuro-oon eumaksori. Kkaman noon galsaekmeori. Ddara hagin too slow. Taedoneun hwakshilhagae. Jashingam haneul hyanghae. Bbeonbbeon dangdanghagae. Wonhanda haedo. Can't touch this. Noonbicheun jjirit jjirit. Shimjangeul beat it beat it. Kotnorae ladi dadi. Choomchuneun body body. Heungbooneun no no. Ja here we go go. Sesangeul geokkuro. Dwijipeonoeul show show. [Minzy] Cause I'm so bad bad. But I'm so good good. Yeah, I'm so bad bad. And I'm so hood hood (x2). [Bom] Can't nobody hold us down. Nal mumchuryeo hajima. Modu michil ddaekkaji. Da jichil ddaekkaji tonight. Can't nobody hold us down. [Dara] Can't nobody. can't nobody hold us down. Gal ddaekkaji gal ddaekkaji gasseo nan. Can't nobody. can't nobody hold us down. Cause we keep rockin,' we rock rockin', yeah. [CL] Api kkamkkamhaedo dalryeoga. Neega makado nan to cut out. Deo faster jom deo faster. Nooneul gamabwa, nopi nalaollabwa. Chuleopseo geugae maeryukin geol. Geop eopseo nae jeolmeumin geol. Manggajim ddawin eopseo. Imi beolsseo game over. Jungshin eopsi michija. Right now, I don't give a-. Bolryumeul deo kiweora. Sesangeul kkaeooja. [Minzy] Cause I'm so bad bad. But I'm so good good. Yeah, I'm so bad bad. And I'm so hood hood (x2). [Bom] Can't nobody hold us down. Nal mumchuryeo hajima. Modu michil ddaekkaji. Da jichil ddaekkaji tonight. Can't nobody hold us down. [Dara] Can't nobody. can't nobody hold us down. Gal ddaekkaji gal ddaekkaji gasseo nan. Can't nobody. can't nobody hold us down. Cause we keep rockin,' we rock rockin', yeah. [Todas] Let's rock. Just take it to the top. Ain't never gonna stop. Now all I wanna do is make you rock. Just take it to the top. Ain't never gonna stop. Now make em say nananana (x2). Nananana. Nanananana"
please don't go (ingles),"When i encounter you. my heart becomes like a rollercoaster ride. it shakes obviously. then returns back to its proper place. up and down yes,i going down. our relationship that will never stop spinning. its also confusing and obvious so let’s get down. when you’re by my side I’m obviously happy. but the moment when we’re apart i become depressed ,i must be crazy. tell me why?,why,why,why,. why must we do this ?. preps we’re thinking same thing,sobring it. my mind is out of control i just can’t take no more. tonight i won’t let you go. i gotta say:. please don’t go. stay by my side. tonight i don’t wanna be alone. please don’t go. you have to stay. so um feelings towards you will last an eternity , my baby. let’s ride ride. till reach the opposite side of the night. let’s fly fly. till the sunrise. one step and two step to do left to do left. one step and two step to do right. yes I’m baddest female Seoul. city ever had. just mail me your feelings with caution. say what’s on your my mind. so i can understand. tonight i wanna stay by your side. those nights when i can’t sleep. if understand my heart. then why wanna leave me?. As a girl i can’t initiative to holds you back. touch me, hold me, love me, don’t tease me. i like when people are truthful. that’s just how I’m. I approached you sincerely but you ended up avoiding me. round n round yes we’re going round n round. I see my self getting tired from waiting. the two of us are repeating It day by day, so bring it. my mind is out of control. i just can’t take no more. tonight i won’t let you go i gotta say:. please don’t go. stay by my side. tonight i don’t wanna be alone. please don’t go. you have to stay. so um feelings towards you will last an eternity , my baby. let’s ride ride. till reach the opposite side of the night. let’s fly fly. till the sunrise. one step and two step to do left to do left. one step and two step to do right. I get insecure when I miss you. I got scared you might leave. but this is a bealtiful nigth. when I with you. please don’t leave. stay by my side. please don’t go. you have stay. tonight i don’t wanna be alone. please don’t go. you have to stay. so um feelings towards you will last an eternity , my baby. let’s ride ride. till reach the opposite side of the night. let’s fly fly till the sunrise. one step and two. step to do left to do left. one step and two step to do right"
i'm busy,"Nan bappa, very bappa. Nan bappa, damn bappa. Nan bappa, very bappa (x4). Nan bappa, neomu bappa. Nan bappa, let me go (Bikyeojullae). Nan bappa, neomu bappa. Nan bappa, let me go. [Minzy] Let me go!. Sohn jom nwajweo jungmal gwanshim eopseo. Maleul anhaedo ni bbeonhangame. Boy, I heard it before. Shigan eopseo bounce jigeun nan bappa. Jigeut jigeut-han ni jipchakae heundeullijin ana. (Damn bappa, very bappa). [CL] Niga ipeul yeol ddae mada deullinun geon blah, blah, blah. Gwiman apa ow! Turn around, joyonghee ga, ga, ga. Naega eereol ddaemada namjadeul da. They be like damn, d-damn. Shigan eopseo bounce, jigeun na bappa. [Bom] So baby, bounce bounce bounce, keep groovin’ let’s go!. Geunyang munghagae seo-itji malgo ([CL] Bounce, jigeum nan bappa). I ain’t got time, time, time for you jungshin charyeo. Jungmal noonchi eopneun babo ([CL] Get out the way, yo!). Nan bappa, neomu bappa. Nan bappa, let me go (Bikyeojullae). Nan bappa, neomu bappa. Nan bappa, let me go. [Dara] Dodaechae wae jakkujakku nal gwaeropineundae. Talk to my hand, dashi malhaejulgae, boy, I don't care. Niga aneun yeoja wa naneun dalla (Yuchihan). Jangnan geuman deo eesang nan mot chama. [CL]All my ladies feelin’ naughty. That don’t need no man to p-party. Dugeungeorineun speakers. Cheoreom twinggyeo meori, deung, heori. [Minzy] Choomeul chugo shipeundae namjadeuli banghae hal ddaen. Eereokhae nal ddara haebwayo stop- bikyeojullae. [Bom] So baby, bounce bounce bounce, keep groovin’ let’s go!. Geunyang munghagae seo-itji malgo ([CL] Bounce, jigeum nan bappa). I ain’t got time, time, time for you jungshin charyeo. Jungmal noonchi eopneun babo ([CL] Get out the way, yo!). Nan bappa, neomu bappa. Nan bappa, let me go (Bikyeojullae). Nan bappa, neomu bappa. Nan bappa, let me go. Nan bappa, damn bappa. Nan bappa, very bappa (x4). (Y’all already know. 2NE1 like you never heard it before. Let’s go). Turn it up, it’s goin’ down. Get out the club if you ain’t feelin’ this sound. Get out the way, yo way. Get out the way, yo way, way. Get out the way, yo way, way. Get out the way. Nan bappa, neomu bappa. Nan bappa, let me go (Bikyeojullae). Nan bappa, neomu bappa. Nan bappa, let me go!. by:Sabrina Rosa"
come back home (japanese ver.),[Cl] One two three. Tooku ha nareta. Anata no toiki ga kikoe teru wa. [Minzy] sarani Four five six. Kobore deru namida. Anata no kaori koishii wa. [Dara] atashi no tame tte kotoba ga. Rikai dekinai mama satta. Doushite? doushite?. You're gone away. [Bom] Come back home. Can u come back home (Eh!). Tsumetai sekai ni. Okizari ni shinaide. [Cl] Come back home. Can u come back home (Eh!). Kurushimi wo koete. Anata wo machi tsudzukeru yo. [Minzy] Now you gotta do what you gotta do. [Cl] Come Back Home. Come Back Home. [Dara] Come baby baby come come baby. Come come baby baby come come. [Cl] naege dorawa. [Dara] Come baby baby come come baby. Come come baby baby come come. [Minzy] henji kurenai no ne anata wa. Tamani koishi gatteru no kashira Yeah. [Cl] sabishisa de tozasa reta mama. Mae ga mienakute kowai no. [Dara] mata futari de sugoseru to. Shinjite irunoni anata wa. Doko he? doko he?. Too far away. [Bom] Come back home. Can u come back home (Eh!). Tsumetai sekai ni. Okizari ni shinaide. [Minzy] Come back home. Can u come back home (Eh!). Kurushimi wo koete. Anata wo machi tsudzukeru yo. [Cl] Now you gotta do what you gotta do. [Cl] Come Back Home. Come Back Home. [Dara] Come baby baby come come baby. Come come baby baby come come. [Cl] naege dorawa. [Dara] Come baby baby come come baby. Come come baby baby come come. [Bom] Come back home. Can u come back home (Eh!). Tsumetai sekai ni. Okizari ni shinaide. [Cl] Come back home. Can u come back home (Eh!). Kurushimi wo koete. Anata wo machi tsudzukeru yo. Now you gotta do what you gotta do
