someone like you,"I heard that you're settled down. That you found a girl and you're married now. I heard that your dreams came true. Guess she gave you things I didn't give to you. Old friend, why are you so shy?. Ain't like you to hold back or hide from the light. I hate to turn up out of the blue uninvited. But I couldn't stay away, I couldn't fight it. I had hoped you'd see my face. And that you'd be reminded that for me. It isn't over. Never mind, I'll find someone like you. I wish nothing but the best for you too. Don't forget me, I beg. I remember you said:. ""Sometimes it lasts in love, but sometimes it hurts instead"". Sometimes it lasts in love, but sometimes it hurts instead, yeah. You'd know how the time flies. Only yesterday was the time of our lives. We were born and raised in a summer haze. Bound by the surprise of our glory days. I hate to turn up out of the blue uninvited. But I couldn't stay away, I couldn't fight. I had hoped you'd see my face. And that you'd be reminded. That for me it isn't over. Nevermind, I'll find someone like you. I wish nothing but the best for you too. Don't forget me, I beg. I remember you said:. ""Sometimes it lasts in love, but sometimes it hurts instead"". Nothing compares, no worries or cares. Regrets and mistakes, they're memories made. Who would have known how bitter-sweet. This would taste?. Nevermind, I'll find someone like you. I wish nothing but the best for you too. Don't forget me, I beg. I remember you said:. ""Sometimes it lasts in love, but sometimes it hurts instead"". Nevermind, I'll find someone like you. I wish nothing but the best for you too. Don't forget me, I beg. I remember you said:. ""Sometimes it lasts in love, but sometimes it hurts instead"". Sometimes it lasts in love, but sometimes it hurts instead, yeah"
hello,"Hello. It's me. I was wondering if after all these years. You'd like to meet. To go over. Everything. They say that time's supposed to heal ya. But I ain't done much healing. Hello. Can you hear me?. I'm in California dreaming about who we used to be. When we were younger. And free. I've forgotten how it felt before the world fell at our feet. There's such a difference. Between us. And a million miles. Hello from the other side. I must've called a thousand times. To tell you I'm sorry. For everything that I've done. But when I call you never. Seem to be home. Hello from the outside. At least I can say that I've tried. To tell you I'm sorry. For breaking your heart. But it don't matter, it clearly. Doesn't tear you apart anymore. Hello. How are you?. It's so typical of me to talk about myself. I'm sorry, I hope. That you're well. Did you ever make it out of that town. Where nothing ever happened?. It's no secret. That the both of us. Are running out of time. So hello from the other side. I must've called a thousand times. To tell you I'm sorry. For everything that I've done. But when I call you never. Seem to be home. Hello from the outside. At least I can say that I've tried. To tell you I'm sorry. For breaking your heart. But it don't matter, it clearly. Doesn't tear you apart anymore. Oohh, anymore. Oohh, anymore. Oohh, anymore. Anymore. Hello from the other side. I must've called a thousand times. To tell you I'm sorry. For everything that I've done. But when I call you never. Seem to be home. Hello from the outside. At least I can say that I've tried. To tell you I'm sorry. For breaking your heart. But it don't matter, it clearly. Doesn't tear you apart anymore"
set fire to the rain,"I let it fall, my heart,. And as it fell, you rose to claim it,. It was dark and I was over,. Until you kissed my lips and you saved me,. My hands, they're strong, but my knees were far too weak,. To stand in your arms without falling to your feet,. But there's a side to you that I never knew, never knew,. All the things you'd say, they were never true, never true,. And the games you'd play, you would always win, always win,. But I set fire to the rain,. Watched it pour as I touched your face,. Well, it burned while I cried,. 'Cause I heard it screaming out your name, your name,. When I lay with you I could stay there,. Close my eyes,. Feel you here forever,. You and me together, nothing is better,. 'Cause there's a side to you that I never knew, never knew,. All the things you'd say, they were never true, never true,. And the games you'd play, you would always win, always win,. But I set fire to the rain,. Watched it pour as I touched your face,. Well, it burned while I cried,. 'Cause I heard it screaming out your name, your name. I set fire to the rain,. And I threw us into the flames,. Well, It felt something died,. 'Cause I knew that that was the last time, the last time,. Sometimes I wake up by the door,. That heart you caught, must be waiting for you,. Even now when we're already over,. I can't help myself from looking for ya,. I set fire to the rain,. Watched it pour as I touch your face,. Well, it burned while I cried,. 'Cause I heard it screaming out your name, your name. I set fire to the rain,. And I threw us into the flames,. Well, I felt something died,. 'Cause I knew that that was the last time, the last time, oh,. Oh, no,. Let it burn, oh,. Let it burn,. Let it burn."
rolling in the deep,"There's a fire starting in my heart. Reaching a fever pitch, it's bringing me out the dark. Finally I can see you crystal clear. Go ahead and sell me out and I'll lay your ship bare. See how I leave with every piece of you. Don't underestimate the things that I will do. There's a fire starting in my heart. Reaching a fever pitch. And it's bringing me out the dark. The scars of your love remind me of us. They keep me thinking that we almost had it all. The scars of your love they leave me breathless. I can't help feeling. We could've had it all. Rolling in the deep. You had my heart inside of your hand. And you played it. To the beat. Baby I have no story to be told. But I've heard one of you. And I'm gonna make your head burn. Think of me in the depths of your despair. Making a home down there. As mine sure won't be shared. The scars of your love remind me of us. They keep me thinking that we almost had it all. The scars of your love they leave me breathless. I can't help feeling. We could've had it all. Rolling in the deep. You had my heart inside of your hand. And you played it. To the beat. Could've had it all. Rolling in the deep. You had my heart inside of your hand. But you played it. With the beating. Throw your soul through every open door. Count your blessings to find what you look for. Turned my sorrow into treasured gold. You pay me back in kind. And reap just what you sow. We could've had it all. We could've had it all. It all, it all it all,. We could've had it all. Rolling in the deep. You had my heart inside of your hand. And you played it. To the beat. Could've had it all. Rolling in the deep. You had my heart inside of your hand. But you played it,you played it, you played it. You played it to the beat"
when we were young,"Everybody loves the things you do. From the way you talk. To the way you move. Everybody here is watching you. Cause you feel like home. You're like a dream come true. But if by chance you're here alone. Can I have a moment. Before I go?. Cause I've been by myself all night long. Hoping you're someone I used to know. You look like a movie. You sound like a song. My God, this reminds me. Of when we were young. Let me photograph you in this light. In case it is the last time. That we might be exactly like we were. Before we realized. We were sad of getting old. It made us restless. It was just like a movie. It was just like a song. I was so scared to face my fears. Cause nobody told me that you'd be here. And I swore you moved overseas. That's what you said, when you left me. You still look like a movie. You still sound like a song. My God, this reminds me. Of when we were young. Let me photograph you in this light. In case it is the last time. That we might be exactly like we were. Before we realized. We were sad of getting old. It made us restless. It was just like a movie. It was just like a song. When we were young. When we were young. When we were young. When we were young. It's hard to win me back. Everything just takes me back. To when you were there. To when you were there. And a part of me keeps holding on. Just in case it hasn't gone. I guess I still care. Do you still care?. It was just like a movie. It was just like a song. My God, this reminds me. Of when we were young. When we were young. When we were young. When we were young. When we were young. Let me photograph you in this light. In case it is the last time. That we might be exactly like we were. Before we realized. We were sad of getting old. It made us restless. I'm so mad I'm getting old. It makes me reckless. It was just like a movie. It was just like a song. When we were young"
send my love (to your new lover),"Just the guitar?. Okay, cool. This was all you, none of it me. You put your hands on, on my body and told me. You told me you were ready. For the big one, for the big jump. I'd be your last love everlasting, you and me. Mm, that was what you told me. I'm giving you up. I've forgiven it all. You set me free, oh. Send my love to your new lover. Treat her better. We've gotta let go of all of our ghosts. We both know we ain't kids no more. Send my love to your new lover. Treat her better. We've gotta let go of all of our ghosts. We both know we ain't kids no more. I was too strong, you were trembling. You couldn't handle the hot heat rising (rising). Mm, baby I'm so rising. I was running, you were walking. You couldn't keep up. You were falling down (down). Mm, there's only one way down. I'm giving you up. I've forgiven it all. You set me free, oh. Send my love to your new lover. Treat her better. We've gotta let go of all of our ghosts. We both know we ain't kids no more. Send my love to your new lover. Treat her better. We've gotta let go of all of our ghosts. We both know we ain't kids no more. If you're ready, if you're ready. If you're ready, I am ready. If you're ready, if you're ready. We both know we ain't kids no more. No, we ain't kids no more. I'm giving you up. I've forgiven it all. You set me free, oh. Send my love to your new lover. Treat her better. We've gotta let go of all of our ghosts. We both know we ain't kids no more. Send my love to your new lover. Treat her better. We've gotta let go of all of our ghosts. We both know we ain't kids no more. If you're ready. If you're ready (Send my love to your new lover). If you're ready, are you ready? (Treat her better). We've gotta let go of all of our ghosts. We both know we ain't kids no more. If you're ready. If you're ready (Send my love to your new lover). If you're ready, are you ready? (Treat her better). We've gotta let go of all of our ghosts. We both know we ain't kids no more"
one and only,"You've been on my mind,. I grow fonder every day,. Lose myself in time,. Just thinking of your face,. God only knows why it's taken me so long to let my. doubts go,. You're the only one that I want,. I don't know why I'm scared,. I've been here before,. Every feeling, every word,. I've imagined it all,. You'll never know if you never try,. To forgive your past and simply be mine,. I dare you to let me be your, your one and only,. Promise I'm worthy,. To hold in your arms,. So come on and give me a chance,. To prove I am the one who can walk that mile,. Until the end starts,. If I've been on your mind,. You hang on every word I say,. Lose yourself in time,. At the mention of my name,. Will I ever know how it feels to hold you close,. And have you tell me whichever road I choose, you'll go?. I don't know why I'm scared,. 'Cause I've been here before,. Every feeling, every word,. I've imagined it all,. You'll never know if you never try,. To forgive your past and simply be mine,. I dare you to let me be your, your one and only,. I promise I'm worthy, mmm,. To hold in your arms,. So come on and give me a chance,. To prove I am the one who can walk that mile,. Until the end starts,. I know it ain't easy giving up your heart,. I know it ain't easy giving up your heart,. Nobody's perfect,. (I know it ain't easy giving up your heart),. Trust me I've learned it,. Nobody's perfect,. (I know it ain't easy giving up your heart),. Trust me I've learned it,. Nobody's perfect,. (I know it ain't easy giving up your heart),. Trust me I've learned it,. Nobody's perfect,. (I know it ain't easy giving up your heart),. Trust me I've learned it,. So I dare you to let me be your, your one and only,. I promise I'm worthy,. To hold in your arms,. So come on and give me a chance,. To prove I am the one who can walk that mile,. Until the end starts,. Come on and give me a chance,. To prove I am the one who can walk that mile,. Until the end starts."
don't you remember,"When will I see you again?. You left with no goodbye, not a single word was said. No final kiss to seal any sins. I had no idea of the state we were in. I know I have a fickle heart and bitterness. And a wandering eye, and a heaviness in my head. But don't you remember, don't you remember?. The reason you loved me before. Baby please remember me once more. When was the last time you thought of me?. Or have you completely erased me from your memories?. I often think about where I went wrong. The more I do, the less I know. But I know I have a fickle heart and bitterness. And a wandering eye, and a heaviness in my head. But don't you remember, don't you remember?. The reason you loved me before. Baby please remember me once more. Gave you the space so you could breathe. I kept my distance so you would be free. I hope that you find the missing piece. To bring you back to me. Why don't you remember, don't you remember?. The reason you loved me before. Baby, please remember me once more. When will I see you again?"
skyfall,"This is the end. Hold your breath and count to ten. Feel the Earth move and then. Hear my heart burst again. For this is the end. I've drowned and dreamt this moment. So overdue, I owe them. Swept away, I'm stolen. Let the sky fall. When it crumbles. We will stand tall. And face it all. Together. Let the sky fall. When it crumbles. We will stand tall. And face it all together. At skyfall. At skyfall. Skyfall is where we start. A thousand miles and poles apart. Where worlds collide and days are dark. You may have my number. You can take my name. But you'll never have my heart. Let the sky fall. When it crumbles. We will stand tall. And face it all. Together. Let the sky fall. When it crumbles. We will stand tall. And face it all together. At skyfall. At skyfall. When it crumbles. We will stand tall. At skyfall. When it crumbles. We will stand tall. Where you go, I go. What you see, I see. I know I'd never be me. Without the security. Of your loving arms. Keeping me from harm. Put your hand in my hand. And we'll stand. Let the sky fall. When it crumbles. We will stand tall. And face it all. Together. Let the sky fall. When it crumbles. We will stand tall. And face it all. Together. At skyfall. Let the sky fall. We will stand tall. At skyfall"
make you feel my love,"When the rain. Is blowing in your face. And the whole world. Is on your case. I could offer you. A warm embrace. To make you feel my love. When the evening shadows. And the stars appear. And there is no one there. To dry your tears. I could hold you. For a million years. To make you feel my love. I know you. Haven't made. Your mind up yet. But I would never. Do you wrong. I've known it. From the moment. That we met. No doubt in my mind. Where you belong. I'd go hungry. I'd go black and blue. I'd go crawling. Down the avenue. No, there's nothing. That I wouldn't do. To make you feel my love. The storms are raging. On the rolling sea. And on the highway of regret. Though winds of change. Are blowing wild and free. You ain't seen nothing. Like me yet. I could make you happy. Make your dreams come true. Nothing that I wouldn't do. Go to the ends. Of the Earth for you. To make you feel my love"
