a dream is a wish your heart makes,"a dream is a wish.. A dream is a wish your heart makes. When you're fast asleep. In dreams you will loose your heartache. Whatever you wish for you keep. Have faith in your dreams and someday. Your rainbow will come smiling through. No matter how your heart is grieving. If you keep on believing. The dream that you wish will come true. hey yea. hey yea. yea yea haaaaaa. yea yea yea yea. A dream is a wish your heart makes. When you're feeling small. alone in the night you whisper. Thinking no one can hear you at all. You wake with the morning sunlight. To find fortune that is smiling on you. Don't let your heart be filled with sorrow. For all you know tomorrow. The dream that you wish will come true. Hey yeah, yeah, yeah, hey yeah (a dream is a wish). Hey yeah, yeah, yeah, hey yeah. When you can dream. Then you can start. (then you can start). A dream is a wish you make with your heart. (make with your heart). When you can dream. Then you can start. (a dream is a wish). A dream is a wish you make with your heart. A dream is a wish your heart makes. When your fast asleep. In dreams you will loose your heartache's. Whatever you wish for you keep. You wake with the morning sunlight. To find fortune that is smiling on you. Anneliese Van Der Pol. Don't let your heart be filled with sorrow. For all you know tomorrow. The dream that you wish will come true. No matter how your heart is grieving. If you keep on believing. The dream that you wish will come true. Hey yeah, yeah, yeah, hey yeah (a dream is a wish). When you can dream. Then you can start. (then you can start). A dream is a wish you make with your heart. (make with your heart). When you can dream. Then you can start. (a dream is a wish). A dream is a wish you make with your heart"
amphetamine,"On the seventh hour of the seventh day. The seventh son was looking for a seventh stage get away. The word came down from a blinding light. You got one chance, baby, baby, you better do it right. I was driving down on the 101. It was late at night and I was thinking 'bout the things I'd done. All of my regrets and, baby, all of my fears. I was slipping the car from gear to gear to gear. Hey hey hey. God bless the child, God bless his soul. God perish the idea that he'll die before he's old. You gotta be cool, you got to behave. And there'll be time for that when I'm lying in my grave. You gotta watch your step, or you'll lose your way. Take heed of your elders and do everything they say. Watch out for the man, the man who tolls the bells. But if I fear for the devil and I fear for myself. Then I'm gonna have to fear for everybody else. Oh yeah, I'm gonna fly (sha la la la la mamma yeah). I'm gonna live until the day I die. Ain't got time to wonder why. I'm gonna live until the day I die. Sha la la la mama yeah (repeat)"
belong here,"Everybody's got one, name your problem. What's it gonna be today?. And if you don't got one, you're not human. Things will never change. See i've got problems, but i love them. Cause' they can go away. If they didn't happen for a good reason i wouldn't be here today. Get up, get in, or get out. Get up, get in, or get out. Get up, get in, or get out. Move to the left, move to the right. If you stand still, you'll be here all night. Move to the left, move to the right. If you stand still, you'll be here all night. Hey!. Everybody's got some, name your options. What ya gonna do today?. You can bitch and moan about it,. But thing will never change. See i've got options and i choose them. So life will go my way. See if it didn't happen for a good reason,. I wouldn't be here today. Get up, get in, or get out. Get up, get in, or get out. Get up, get in, or get out. Move to the left, move to the right. If you stand still, you'll be here all night. Move to the left, move to the right. If you stand still, you'll be here all night. Just because you are here,. Doesn't mean you belong. Doesn't mean you belong here. Just because you are here,. Doesn't mean you belong. Doesn't mean you belong. (1, 2, 1, 2, 3, 4). Move to the left, move to the right. If you stand still, you'll be here all night. Move to the left, move to the right. If you stand still, you'll be here all night. Hey!"
blush,You openly in me. the things you like more of from me. Somehow I find it attractive. That you wont censor anything. With you there is no filter. To sugar code what is said. Even though I like you honesty. It wont lead me to your bed. So instead. Go ahead and say it. Even though you know it makes me uncomfortable. Go ahead and say it. If you must make me Blush. You are so transparent. the farthest thing from perfect. Once again I am left out of breath. On the edge of loosing it. So instead. Go ahead and say it. Even though you know it makes me uncomfortable. Go ahead and say it. If you must make me Blush. Please take me under with you. I will only let you go so far. It can be a secret. You know what all boundaries are. Go ahead and say it. Even though you know it makes me uncomfortable. Go ahead and say anything. If you must please make me Blush
brand new day,"How many of you people out there. Been hurt in some kind of love affair?. And how many times did you swear. That you'd never love again?. How many lonely, sleepless nights?. How many lies, how many fights?. And why would you want to. Put yourself through all of that again?. Love is pain I hear you say. Love is a cruel and bitter way of. Paying you back for all the faith you ever had in your brain. How could it be that what you need the most. Can leave you feeling just like a ghost?. You never want to feel so sad and lost again. One day you could be looking. Through an old book in rainy weather. You see a picture of her smiling at you. When you were still together. You could be walking down the street. And who should you chance to meet?. But that same old smile you've been thinking of all day?. Why don't we turn the clock to zero honey?. I'll sell the stock we'll spend all the money. We're starting up a brand new day. Turn the clock all the way back. I wonder if she'll take me back. I'm thinking in a brand new way. Turn the clock to zero sister. You'll never know how much I missed her. Starting up a brand new day. Turn the clock to zero boss. The rivers wide we'll swim across. We're starting up a brand new day. It could happen to you. Just like it happened to me. There is simply no immunity. There's no guarantee. I say love is such a force if you find yourself in it. You need some time for reflection. You say, baby wait a minute, wait a minute. Wait a minute, wait a minute. Wait a minute, wait a minute. Turn the clock to zero honey. I'll sell the stock we'll spend all the money. We're starting up a brand new day. Turn the clock to zero Mac. I'm begging her to take me back. I'm thinking in a brand new way. Turn the clock to zero boss. The rivers wide we'll swim across. Starting up a brand new day. Turn the clock to zero buddy. Don't wanna be no fuddy duddy. We're Starting up a brand new day. I'm the rhythm in your tune. I'm the sun and you're the moon. I'm the bat and you're the cave. You're the beach and I'm the wave. I'm the plough and you're the land. You're the glove and I'm the hand. I'm the train and you're the station. I'm the flagpole to your nation. I'm the present to your future. You're the wound and I'm the suture. You're the magnet to my pole. I'm the devil in your soul. You're the pupil I'm the teacher. You're the church and I'm the preacher. You're the flower I'm the rain. You're the tunnel I'm the train. Stand up, all you lovers in the world. Stand up and be counted, every boy and every girl. Stand up, all you lovers in the world. We're starting up a brand new day. You're the crop to my rotation. You're the sum of my equation. I'm the answer to your question. If you follow my suggestion. We could turn this ship around. And go up instead of down. You're the pan and I'm the handle. You're the flame and I'm the candle. Stand up, all you lovers in the world. Stand up and be counted, every boy and every girl. Stand up, all you lovers in the world. Starting up a brand new day"
do you believe in magic,"Do you believe in magic?. In a young girls heart. How the music can free her. whenever it starts. And it's magic. if the music is groovy. It makes you feel happy like an old time movie. I'll tell ya about the magic. It'll free your soul. but it's like trying to tell a stranger 'bout rock n roll. If you believe in magic, don't bother to choose. If it's jug band music or rhythm and blues. Just go and listen. It'll start with a smile. It won't wipe off your face no matter how hard you try. Your feet start tapping. And you can't seem to find. How you got there. So just blow your mind. Do you believe in magic?. Come along with me. We'll dance until morning, just you and me. and maybe, if the music is right. I'll meet ya tomorrow. so late at night. We'll go a dancin' baby then you'll see. all the magic's in the music and the music's in me, yeah. Do you belive in magic? Yeah.. Believe in the magic in a young girl's soul. believe in the magic of rock n roll. Believe in the magic that can set you free. Ohhhh, talkin' bout magic. Do you believe like I believe?. Do you believe in magic?"
i wan you to want me,"I want you to want me.. I need you to need me.. I'd love you to love me.. I'm beggin' you to beg me.. I want you to want me.. I need you to need me.. I'd love for you to love me.. I'll shine up the old brown shoes,. I'll put on a brand-new shirt.. I'll get home early from work if you say that you love me.. Hey!. Didn't I, didn't I, didn't I see you cryin'?. Oh, didn't I, didn't I, didn't I see you cryin'?. Feelin' all alone without a friend, you know you feel like dyin'.. Oh, didn't I, didn't I, didn't I see you cryin'?. I want you to want me.. I need you to need me.. I'd love you to love me.. I'm beggin' you to beg me.. I'll shine up the old brown shoes, I'll put on a brand-new shirt.. I'll get home early from work if you say that you love me.. Hey!. Didn't I, didn't I, didn't I see you cryin'?. Oh, didn't I, didn't I, didn't I see you cryin'?. Feelin' all alone without a friend, you know you feel like dyin'.. Oh, didn't I, didn't I, didn't I see you cryin'?. Yea!. Da, da, da, da, da, da, da!. . Feelin' all alone without a friend, you know you feel like dyin'.. Oh, didn't I, didn't I, didn't I see you cryin'?. Ohh, ohh, ohh, ohh!. I want you to want me.. I need you to need me.. I'd love you to love me.. I'm beggin' you to beg me.. I want you to want me.. I want you to want me.. I want you to want me.. I want you to want me.. Yea!!!!"
phil of the future theme song,Meet a boy named Phil and his family. On a vacation from the 22nd century. Got a rented time machine and they're on their way. On a time way way way back in the day. Now it's Phil Phil of the future. Keepn` it together just as best as he can. Phil Phil of the future. He's a 22nd century man. On a holiday through history. But the final destination was a mystery. Somethin on the machne had blown. So they ended up right here in our time zone. . Now it's Phil Phil of the future. Never knew history just where he would land. Phil Phil of the future. He's a 22nd century man. Phil Phil of the future He's a 22nd century man. He's a 22nd century man
someone to fall back on,"I'll never be. A knight in armor. With a sword in hand,. Or a kamikaze fighter;. Don't count on me. To storm the barricades. And take a stand,. Or hold my ground;. You'll never see. Any scars or wounds -. I don't walk on coals,. I won't walk on water:. I am no prince,. I am no saint,. I am not anyone's wildest dream,. But I will stand behind. And be someone to fall back on.. Some comedy. you're bruised and beaten down. And I'm the one. who's looking for a favor.. Still, honestly,. You don't believe me. But the things I have. Are the things you need.. You look at me. Like I don't make sense,. Like a waste of time,. Like it serves no purpose. I am no prince,. I am no saint,. And if that's what you believe you need,. You're wrong - you don't need much,. You need someone to fall back on.... And I'll be that:. I'll take your side.. If I'm the only one,. I'm used to that.. I've been alone,. I'd rather be. The half of us,. The least of you,. The best of me.. And I will be. I'll be Your prince,. Ill be your saint,. I will go crashing through fences. In your name. I will, I swear. I'll be someone to fall back on!. I'll be the one who waits,. And for as long as you'll let me,. I will be the one you need.. I'll be someone to fall back on. I'll be someone to fall back on. one to fall back on..."
take my hand,Take my hand. I'll show you how. to get up to the slide. I will be watching. I will be waiting. On the other side. There'll be time for everything. Lat's sit and spell just now. Take my hand. Take my hand. I'll show you how. Everything I've ever done. Has brought me back to here. Everything I have I’d give. To see the future clear. Know this time. I’ll face my fear. Stay right here right now. Take my hand. Take my hand. Show me how. Twenty times there my heart broke. Might have broke a couple I guess. But when you show up I swear my heart. Poppe’d right through my chest. Here is how you tie a shoelace. Here is how you climb a tree. Here is what you need to do things. Way better than me. I’ll be here by your side. As God and time allow. Take my hand. Take my hand. I’ll show you how. Take my hand. Take my hand. I’ll show you how
