fresh eyes,"I got these fresh eyes, never seen you before like this. My God, you're beautiful. It's like the first time when we open the door. Before we got used to usual. It might seem superficial, stereotypical, man. You dress up just a little and I'm like, ""Ohh, damn"". So suddenly I'm in love with a stranger. I can't believe she's mine. Now all I see is you with fresh eyes, fresh eyes. So suddenly I'm in love with a stranger. I can't believe she's mine, yeah. And now all I see is you with fresh eyes, fresh eyes. Appreciation, well, it comes and it goes. But I, I'll ride that wave with you. It's human nature to miss what's under your nose. 'Til you, 'til you remind a fool. Maybe all of this is simple. My heart's unconditional, yeah. You dress up just a little and I'm like, ""Ohh, damn"". So suddenly I'm in love with a stranger. I can't believe she's mine. Now all I see is you with fresh eyes, fresh eyes. So suddenly I'm in love with a stranger. I can't believe she's mine, yeah. And now all I see is you with fresh eyes, fresh eyes. If I could bottle this up, bottle, bottle this up, I would. I would bottle this up, bottle, bottle this up, I would. Cause you're gorgeous in this moment. If I could bottle this up, I would. So suddenly I'm in love with a stranger. I can't believe she's mine. Now all I see is you with fresh eyes, fresh eyes. So suddenly I'm in love with a stranger. I can't believe she's mine, yeah. And now all I see is you with fresh eyes, fresh eyes"
always,"You and me will be always. I'll be honest, there's a lot that I don't know. So much of this is out of our control. And the hardest thing can be learning to let go. Cause there's a short, short list of people. in it for the long haul. Now, see, your clothes your shoes and your best friends. They ain't gonna stay the same. Your reckless years and your mistakes. I promise you, they fade away. But trust me, the one thing. that nothing in this world can change. Hey, you and me will be always. Always, you and me will be always. Gonna love all the versions of yourself that you'll try. Let you go through your phases. cheer you on from the side. And the sweetest thing is just knowing. that you've got love. From the short, short list of the people in it. for the long haul. Now, see, your clothes your shoes and your best friends. They ain't gonna stay the same. Your reckless years and your mistakes. I promise you, they fade away. But trust me, the one thing that nothing in this world. can change. Hey, you and me will be always. Always, you and me will be always. I'm gonna be, I'm gonna be your always always. I'm gonna be, I'm gonna be your always always. I'm gonna be, I'm gonna be your always always. I'm gonna be, I'm gonna be your always always. Hey, you and me will be always. Now, see, your clothes your shoes and your best friends. They ain't gonna stay the same. Your reckless years and your mistakes. I promise you, they fade away. But trust me, the one thing that nothing in this world. can change. Hey, you and me will be always. Always, yeah, you and me will be always"
keep your head up,"I've been waiting on the sunset, bills on my mind-set. I can't deny that getting high. Higher than my income, income's breadcrumbs. I've been trying to survive. The glow that the sun gets right around sunset. Helps me realize. This is just a journey. Drop your worries. You are gonna turn out fine. Oh, you'll turn out fine. Fine... oh, you'll turn out fine. But you gotta keep your head up. And you can let your hair down. You gotta keep your head up. And you can let your hair down. I know it's hard (know it's hard). To remember sometimes. But you gotta keep your head up. And you can let your hair down. I get my hands in my pockets, kicking these rocks. It's kinda hard to watch this life go by. I'm buying into skeptics, skeptics mess with. The confidence in my eyes. I'm seeing all the angles, it starts to get tangled. I start to compromise. My life and the purpose, is it all worth it?. Am I gonna turn out fine?. Oh, you'll turn out fine. Fine... oh, you'll turn out fine. But you gotta keep your head up. And you can let your hair down. You gotta keep your head up. And you can let your hair down. I know it's hard (know it's hard). To remember sometimes. But you gotta keep your head up. And you can let your hair down. Only rainbows after rain. The sun will always come again. And it's a circle, circling. Around again, it comes around again. Only rainbows after rain. The sun will always come again. And it's a circle, circling. Around again, it comes around. But you gotta keep your head up. And you can let your hair down. You gotta keep your head up. And you can let your hair down. I know it's hard (know it's hard). To remember sometimes. But you gotta keep your head up. And you can let your hair down. Keep your head up. And you can let your hair down. And keep your head up. And you can let your hair down. And keep your head up. And you can let your hair down"
"honey, i'm good","Nah nah honey, I'm good. I could have another. but I probably should not. I've got somebody at home. It's been a long night here,. and a long night there. And these long long legs. and damn they're everywhere. (hold up now). You look good, I will not lie. But if you ask where I'm staying tonight. I gotta be like oh baby, no baby,. you got me all wrong baby. My baby's already got all of my love. So nah nah Honey, I'm good. I could have another. but I probably should not. I've got somebody at home,. and if I stay I might not leave alone. No, honey, I'm good. I could have another. but I probably should not. I've got to bid you adieu. To another I will stay true. I will stay true. Who who I will stay true. Now better men, than me have failed. Drinking from that unholy grail. Now check it out. I've got her, and she got me. And you've got that ass,. but I kindly gotta be like. Oh baby, no baby,. you got me all wrong baby. My baby's already got all of my love. So nah nah Honey, I'm good. I could have another. but I probably should not. I've got somebody at home,. and if I stay I might not leave alone. No, honey, I'm good. I could have another. but I probably should not. I've got to bid you adieu. To another I will stay true. I will stay true. Who who I will stay true. Oh, I'm sure ya,. sure ya will make somebody's night. But oh, I assure ya. assure ya, it sure as hells not mine. Oh No, honey, I'm good. I could have another. but I probably should not. I've got somebody at home. And if I stay I might now leave alone. No honey I'm good. I could have another. but I probably should not. I've got to bid you adieu. To another I will stay true. No, no, honey, I'm good. I could have another. but I probably should not. I've got somebody at home. And if I stay I might now leave alone. No honey I'm good. I could have another. but I probably should not. I've got to bid you adieu. To another I will stay true. True. I will stay true. Sing it now"
spaceship,"Yeah, your mom threw up three times again. Having a hard time keeping down the vitamins. Goes from laughing to crying to smiling. Couple times, real close to being violent, hey oh. We're not really parents, but we kinda are. You're gonna call me ""Dad, "" shit, that's bizarre. Yesterday, a couple kids making out in a car. She been in the lab, cooking you up. Damn, you growing fast, it's like you in a rush. Don't know if you can hear, that's why I get close. Singing to her belly just to let you know. Somebody loves you, you got a friend. Even if you don't know it yet. Somebody loves you, we're making plans. Waiting for your spaceship to land. I still cook most dinners in the microwave. And my plants all died over the holidays. And I don't know how I'm gonna ever pay. For the Ivy League school you gon' graduate. And I'ma be there learning right beside you. Probably teach me more than I can teach you. But I promise you I'm always gonna show up. Might be the only thing that I'm really sure of. Is you'll become a kid, and I'll become a man. But first, we're gonna grow, together we'll stand. Ain't sure if you can hear, that's why I get close. Singing to her belly just to let you know. Somebody loves you, you got a friend. Even if you don't know it yet. Somebody loves you, we're making plans. Waiting for your spaceship to land. Yeah, it's crazy, 'cause if I'm singing to you. Then my mom up in heaven's probably singing to me, too. Edges of the world makes some damn good music. Gotta close your eyes and listen to it. Yeah, it's crazy, 'cause if I'm singing to you. Then my mom up in heaven's probably singing to me, too. Edges of the world makes some damn good music. Gotta close your eyes and listen to it. She been in the lab, cooking you up. Damn, you growing fast, it's like you in a rush. Don't know if you can hear, that's why I get close. Singing to her belly just to let you know. Somebody loves you, you got a friend. Even if you don't know it yet. Somebody loves you, we're making plans. Waiting for your spaceship to land. Whoa, waiting, whoa, waiting. Waiting for your spaceship to land. Whoa, whoa, whoa, just waiting, whoa, waiting. Waiting for your spaceship to land"
fine by me,"You're not the type. Type of girl to remain. With the guy, with the guy too shy. Too afraid to say he'll give his heart to you forever. I'm not the boy that will fall to his knees. With his hands clasped tight. Begging, begging you please. To stay with him for worse for better. But I'm staring at you now. There's no one else around. I'm thinking you're the girl I need. I'm just saying it's fine by me. If you never leave and we could lay like this forever. It's fine by me. In the past I would try try hard to commit to a girl. Wouldn't get too far. It always somehow seem to fall apart. And you you you I could see. What I need I could dream realistically. And knew that this was different from the start. And it seems that every time we're eye to eye. I could find another piece of you that I don't want to lose. And I'm staring at you now. There's no one else around. I'm thinking you're the girl for me. I'm just saying it's fine by me. if you never leave and we could lay like this forever. It's fine by me. I'm just saying it's fine by me. If you never leave and we could lay like this forever. It's fine by me. And it's never easy. But darling believe me I'm a skeptical issue. But when I think of life without us. She's like ""what are we supposed to do?"". But I don't wanna come on too strong. I'm just saying it's fine by me. If you never leave and we could lay like this forever. It's fine by me. It's fine by me. If you never leave and we could lay like this forever. It's fine by me. I'm just saying it's fine by me. If we never leave and we could lay like this forever. It's fine by me"
smoke clears,"""You and I, against the world"". That's what she told me. That night, in the terminal. As we were boarding. And I know you meant it. Holding my hand so tight as. We flew, from Lafayette. Back to Pacific time. And you lay ya head on my shoulder. Couple tears were shed over Arizona. An emotional roller coaster, yeah. We ride the highs and lows. We ride the highs and lows. You'll never be alone. Even when your world explodes. Cause after all the smoke clears. I will be right here. I will be right here. When the smoke clears. I will be right here. When the smoke clears. And when I hit the wall. Back in December. I took my hardest fall. But we fell together. And we spent the weekend. Pacing the hotel room at. The Westin, in Dublin. Never felt so close to you. And I laid my head on your shoulder. By the time we left we were ten years older. An emotional roller coaster, yeah. We ride the highs and lows. We ride the highs and lows. You'll never be alone. Even when your world explodes. Cause after all the smoke clears. I will be right here. I will be right here. When the smoke clears. I will be right here. When the smoke clears. ""You and I, against the world"". That's what she told me. We ride the highs and lows. We ride the highs and lows. You'll never be alone. Even when your world explodes. Cause after all the smoke clears. I will be right here. I will be right here. When the smoke clears"
workin on it,"You know we're just working on it. No leaderboard keeping score. Long as you woke up this morning. And see you're working on it. It might be taking forever, but it's better than never. Smoking two packs a day, down to one. It don't sound like much, but for him, that's a revelation. You shoulda seen the pride in his eyes. When he said how far he's come from where he was. I'm like, oh yeah, I get it, it's alright. We all got our monsters that don't see the day light. I'm like, oh yeah, I get it, it's alright. Skeletons you're hiding ain't gon' leave overnight. You know we're just working on it. No leaderboard keeping score. Long as you woke up this morning. And see you're working on it. It might be taking forever, but it's better than never. So go easy, easy. Everybody got ugly, ugly. You know we're just working on it. We're working on it, working on it. Last night, you left the bar all alone. First time in a while you slept at home. And now you're back to chasing that watered-down love. You already know that ain't what you want. And I'm like, oh yeah, I get it, it's alright. We all got our monsters that don't see the day light. I'm like, oh yeah, I get it, it's alright. Skeletons you're hiding ain't gon' leave overnight. You know we're just working on it. No leaderboard keeping score. Long as you woke up this morning. And see you're working on it. It might be taking forever, but it's better than never. So go easy, easy. Everybody got ugly, ugly. You know we're just working on it. We're working on it, working on it. You know we're just working on it. We're working on it, working on it. Put a magnifying glass to my life. Believe me, you will find some shit. Your eyes should unsee, ears unhear. Let's be clear, we all shady. Day by day, we fight the good fight. Maybe once in a while, we find the strength to be okay. And find some patience for ourselves. Don't be so hard upon yourself. Show some love to yourself. You know we're just working on it. No leaderboard keeping score. Long as you woke up this morning. And see you're working on it. It might be taking forever, but it's better than never. So go easy, easy. Everybody got ugly, ugly. You know we're just working on it. We're working on it, working on it. Go easy, easy. Everybody got ugly, ugly. You know we're just working on it. We're working on it, working on it"
love love love (let you go),"(Verse 1). It’s like I’ve been feeling like a helium balloon. You know I’m always on the rise. Or is this love, love, love, love, love?. Dead winter but it feels like June. With a smile I can’t hide. Or is this love, love, love, love, love?. . No defenses I’m too deep for common sense. Well it’s love, love, love, love, love. Oh my I’m so delighted; I don’t try to even fight it. I think you should know that I will never let you go. (chorus). Oh I won’t, I won’t let you go. I won’t let you go. I won’t, I won’t let you go. I won’t let you go. I won’t let you go now. (Verse 2). I’ve been feeling like you’re swimming through my hair. You know you’re always on my mind. Or is this love, love, love, love, love?. Dead broke feeling like a millionaire. With a twinkle in my eye. Or is this love, love, love, love, love?. No defenses I’m too deep for common sense. Well it’s love, love, love, love, love. Oh my I’m so delighted; I don’t try to even fight it. I think you should know, that I will never let you go. (chorus). (Bridge). I’ve been sleeping on a cloud called number nine. Walking on the air and staring at the sky. I can’t remember ever feeling so alive. It’s like you brought me back to life. Well you turned on all the lights, somehow. No defenses I’m too deep for common sense. Well it’s love, love, love, love, love. (chorus) x2"
back home,"I'm gonna need you to raise your glass. I don't care what you put in it. Here's to nights that you can't take back. We live hard but we love to laugh. We all thought that we'd get rich fast. Hop the plane out for greener grass. Found out the green is cash. Don't compare to the friends that last. See, we won't forget where we came from. The city won't change us. We beat to the same drum. No, we won't forget where we came from. The city can't change us. We beat to the same drum, the same drum. (Hey!). La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. (Hey!). And no matter where we go. We always find our way back home. (Hey!). La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. (Hey!). And no matter where we go. We always find our way back home. So here's to the cheap sunglasses. Redbull and minivans and. People who had your back when. The world didn't understand. See, we won't forget where we came from. The city won't change us. We beat to the same drum. No, we won't forget where we came from. The city can't change us. We beat to the same drum, the same drum. (Hey!). La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. (Hey!). And no matter where we go. We always find our way back home. (Hey!). La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. (Hey!). And no matter where we go. We always find our way back home. When ties loosen. We're losin' touch. And fading away. We'll still be raising our cups. To the same damn things. Oh no, the city won't change us. Oh no, the city won't change us. Oh no, the city won't change us. Oh no, the city won't change us. Won't change us. (Hey!). La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. And no matter where we go. We always find our way back home. La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. And no matter where we go. We always find our way back home. (Hey!). La-dah-dah-dah-dah-dah-dah-dah. La-dah-dah-dah-dah-dah-dah-doe. And no matter where we go. We always find our way back home. (Hey!). We always find our way back home. Yeah, we always find our way back home"
this ain't love,"This ain't love. This ain't love. I never understood the game. Forever awkward when I tried to play it. I get too deep with everything. But every now and then I get impatient. So I told that angel on my shoulder. You go home, won't need you tonight. Grabbed your waist and pulled you closer in so tight. Now we're faking sleep here on your sofa. Like we do this all of the time. One thing's running over and over in my mind. This ain't love. I may have fooled myself again. This ain't love. I've always been too sensitive. To have a good night. To have a good time. Because my heart can't handle it. If it ain't love. If this ain't love. I never understood the game. I care too much about my reputation. You know it's just how I was made. But I'm tired of trying to explain it. So I told that angel on my shoulder. You go home, won't need you tonight. Grabbed your waist and pulled you closer in so tight. Now we're faking sleep here on your sofa. Like we do this all of the time. One thing's running over and over in my mind. This ain't love. I may have fooled myself again. This ain't love. I've always been too sensitive. To have a good night. To have a good time. Because my heart can't handle it. If it ain't love. If this ain't love. So I told that angel on my shoulder. You go home, don't need you tonight. Grabbed your waist and pulled you closer in so tight. Now we're faking sleep here on your sofa. Like we do this all of the time. One thing's running over and over in my mind. This ain't love. I may have fooled myself again. This ain't love. I've always been too sensitive. To have a good night. To have a good time. Because my heart can't handle it. If it ain't love. If this ain't love. This ain't love. I may have fooled myself again. This ain't love. I've always been too sensitive. To have a good night. To have a good time. Because my heart can't handle it. If it ain't love. If this ain't love"
holding out,"When I met you love, I hadn't done the dirty yet. Call me the unicorn, they said that I didn't exist. Truth is my heart was torn, the v had a couple of rips. But I was still holding on to the edge with my finger tips. With a little bit of prayer, little bit of porn stars. A couple of nights sleeping on my own. Waiting for the right one to come along. Waiting for the right one and now I know. That I was holding out for you. Yeah I've been holding out for you. And the neighbors they are all haters cuz they say we go to loud. I've been holding out for you. And a couple times thought that I'd not make it. Laying on the bed, both of us half naked. But in the nick of time something in my heart said save it. Here we go again, another awkward conversation. A little bit of prayer a little bit of porn stars. Another night sleeping on my own. Waiting for the right one to come along. Waiting for the right one and now I know. That I was holding out for you. Yeah I've been holding out for you. And the neighbors they are all haters cuz they say we go to loud. I've been holding out for you. Cute little secret because love starts before. Waiting for the right one to come along. Waiting for the right one and now I know. That I was holding out for you. Yeah I've been holding out for you. And the neighbors they are all haters cuz they say we go to loud. I've been holding out for you. Holding out for you. Yeah I've been holding out for you. And the neighbors are haters because they say we're going to loud. Yeah I've been holding out for you"
the world is yours,"This is the song that you throw on. When life is feeling rather long. And you're longing for confidence to make it. And these are the words that make you feel. That all your dreams aren't dreams. But real events that simply haven't taken place yet. But if you stare high. The sky will come right down and kiss you. If you keep your head towards the stars. They will assist you. The world is yours. The world is yours. This is the time of night. When all the streetlights rub their waking eyes. The day and night find compromise in dark blue. This is the magic in the air. That whispers, ""You are almost there"". The worries, cares, and daydreamers will leave soon. But if you stare high. The sky will come right down and kiss you. If you keep your head towards the stars. They will assist you. The world is yours. The world is yours. Well, this is the song that you throw on. When life is feeling rather long. And you're longing for confidence to make it. And these are the words that make you feel. That all your dreams aren't dreams. But real events that simply haven't taken place yet. But if you stare high. The sky will come right down and kiss you. But if you keep your head towards the stars. They will assist you. The world is yours. The world is yours. What are you waiting for?. The world is yours. The world is yours"
