goals,"Shine the rest of the stars are watching. You're awesome you're unique for all time. Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals. Don't be bitter. Hunnie here we are. In the mirror. Yes you just hung up. Insecurity is doing its job. You are special. Baby you're a one off. Time to start loving you. Shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Shine the rest of the stars are watching. You're awesome you're unique for all time. Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals. It's temporary. That's just how it goes (how it goes). What I hated, now I love the most (I love the most). Mother told me don't let nothing stop me. Cause ain't no copies. Baby you're a one-off. Time to start loving you. Shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Shine the rest of the stars are watching. You're awesome you're unique for all time. Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals. Yes you got a right to complain it's true. But look what you're gaining move. This message is saving you. You are in his graces too. The world's entertaining you. Cause they see the day in you. Forget who was playing you. Cause they die in their game too. Shine the rest of the stars are watching. You're awesome you're unique for all time (time) , (time). Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals"
will i see you,"When it's all said and done will I see you?. When it's all said and done will I see you?. Now that my love is on. All the way on you, I won't turn it off. Would you do the same?. When it's all said and done will I see you?. I've been planting seeds in our ground. Watching us grow for a while. Pray the sun stays shining down on us. I hope it do. We committed our trust out loud. Like gravity, we swore to hold each other down. Build a circle, pray you always stay around. I do, Lord knows I do. Met you on the block. You ain't gotta hustle like that no more. I've been on a journey. I ain't trying a look back no more. We been on a wave. Trying a not make it back to shore, oh no. But when it's all said and done will I see you?. When it's all said and done will I see you?. Now that my love is on. All the way on you, I won't turn it off. Would you do the same?. When it's all said and done will I see you?. Took away my insecurities. Your arms became my security. Ooh, my melody became harmony. With you, and only you. Sometimes reality kicks in. Realizing every beginning comes to an end. Can I go to sleep at night?. Knowing I wake up to my best friend. When it's all said and done will I see you?. (will I see you?). When it's all said and done will I see you?. (I need to know). Now that my love is on. All the way on you, I won't turn it off. Would you do the same?. When it's all said and done will I see you?. (will I see you?). Met you on the block. You ain't gotta hustle like that no more. I been on a journey. I ain't tryna to look back no more. We been on a wave. Tryna not make it back to shore, oh no. So when it's all said and done will I see you?. (will I see you?). When it's all (when it's all) said and done will I see you?. (I know it you). Now that my love is on. All the way on you, I won't turn it off. Would you do the same?. When it's all said and done will I see you?"
baby one more time (cover),"Oh baby baby. Oh baby baby (wow). Oh baby baby. How was I supposed to know?. That something wasn't right here. Oh baby baby. I shouldn't have let you go. And now you're out of sight, yeah. Show me how you want it to be. Tell me baby cause I need to know now. Ooh because. My loneliness is killing me (and I). I must confess I still believe (still believe). When I'm not with you I lose my mind. Give me a sign. Hit me baby one more time. Oh baby baby. The reason I breathe is you. Boy you got me blinded. Oh pretty baby. There's nothing that I wouldn't do. That's not the way I planned it. Show me how you want it to be. 'Tell me baby 'cause I need to know now. Oh because. My loneliness is killing me (and I). I must confess I still believe (still believe). When I'm not with you I lose my mind. Give me a sign. Hit me baby one more time. Oh baby baby (wooah). Oh baby baby (yeah yeah wow). Oh baby baby. How was I suposed to know?. Oh pretty baby I shouldn't have let you go. I must confess. That my loneliness is killing me now. Don't you know I still believe?. That you will be here. And give me a sign. Hit me baby one more time. My loneliness is killing me (and I). I must confess I still believe (still believe). When I'm not with you I lose my mind. Give me a sign. Hit me baby one more time. I must confess. That my loneliness is killing me now. Don't you know I still believe?. That you will be here. And give me a sign. Hit me baby one more time"
bang (english version),"Come come baby. I can see you wanna touch me, yeah. I want it. And you know that I like it my way. Bang Bang. My eyes left a bullseye on you. Let me tell you what I'm gonna do. Imma make it happen. Gotta be my way. When n' how we come close. Tell me if you gonna be a man. I'm the type to always take command. If you really want this you cannot be late. hesitate. I can dominate you. Come out on top like I do. Turn your head around. I wanna see you, feel you. I know how to shock you. No one does it like I do. And I wont stop. I'm gonna tease you baby. Come come baby. I can see you wanna touch me, yeah. I want it. And you know that I like it my way. Bang Bang. My eyes left a bullseye on you. Let me tell you what I'm gonna do. Imma make it happen. Gotta be my way. When n' how we come close. Tell me if you gonna be a man. I'm the type to always take command. If you really want this you. cannot be late, hesitate. I can dominate you. Come out on top like I do. Turn your head around. I wanna see you, feel you. I know how to shock you. No one does it like I do. And I wont stop. I'm gonna tease you baby. Come come baby. I can see you wanna touch me, yeah. I want it. And you know that I like it my way. I can dominate you. Come out on top like I do. Turn your head around. I wanna see you, feel you. I know how to shock you. No one does it like I do. And I wont stop. I'm gonna tease you baby. Come come baby. I can see you wanna touch me, yeah. I want it. And you know that I like it my way"
can't take my eyes off you (cover),"You're just too good to be true. Can't take my eyes off you. You feel like heaven to touch. I wanna hold you so much. At long last love has arrived. And I thank god I'm alive. You're just too good to be true. Can't take my eyes off you. Pardon the way that I stare. There's nothing else to compare. The sight of you makes me weak. There are no words left to speak. So if you feel like I feel. Please let me know that it's real. You're just to good to be true. Can't take my eyes off you. I love you baby, and if it's quite alright. I need you baby to warm the lonely nights. I love you baby, trust in me when I say. Oh pretty baby, don't let me down I pray. Oh pretty baby, now that I've found you, stay. Let me love you baby, let me love you. You're just too good to be true. Can't take my eyes off you. You feel like heaven to touch. I wanna hold you so much. At long last love has arrived. And I thank god I'm alive. You're just too good to be true. Can't take my eyes off you. I love you baby, and if it's quite alright. I need you baby to warm the lonely nights. I love you baby, trust in me when I say. Oh pretty baby, don't let me down I pray. Oh pretty baby, now that I've found you, stay. Let me love you baby, let me love you"
diamonds,"Shine bright like a diamond. shine bright like a diamond. find light in the beautiful sea. I choose to be happy. you and I, you and I. we're like diamonds in the sky. you're a shooting star I see. a vision of ecstasy. when you hold me, I'm alive. we're like diamonds in the sky. I knew that we'd become one right away. oh, right away. at first sight I felt the energy of sun rays. I saw the life inside your eyes. so shine bright, tonight, you and I. we're beautiful like diamonds in the sky. eye to eye, so alive. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. we're beautiful like diamonds in the sky. palms rise to the universe. as we, moonshine and molly. feel the warmth we'll never die. we're like diamonds in the sky. you're a shooting star I see. a vision of ecstasy. when you hold me, I'm alive. we're like diamonds in the sky. at first sight I felt the energy of sun rays. I saw the life inside your eyes. so shine bright, tonight, you and I. we're beautiful like diamonds in the sky. eye to eye, so alive. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. so shine bright, tonight, you and I. we're beautiful like diamonds in the sky. eye to eye, so alive. we're beautiful like diamonds in the sky. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond. shine bright like a diamond"
domino,"I'm feeling sexy and free. like glitter's raining on me. you like a shot of pure gold. I think I'm 'bout to explode. I can taste the tension like a cloud of smoke in the air. now I'm breathing like I'm running. cause you're taking me there. don't you know. you spin me out of control. uuh uuh uuh uh. we can do this all night. damn this love is skin tight. baby come on. uuh uuh uuh uuh. boomin' like a bass drum. sparking' up a rhythm. baby, come on!. . uuh uuh uuh uh. . rock my world into the sunlight. make this dream the best I've ever known. dirty dancing in the moonlight. take me down like I'm a domino. every second is a highlight. when we touch don't ever let me go. dirty dancing in the moonlight. take me down like I'm a domino"
freak le boom boom,"Boom boom, freak le boom boom. only you, you better all, I shake it up, cause awh! l. I need a man and my body is for you, oh, yes. oh I, I love you baby, all the time. I want you, baby, in my mind. I need you, te quiero, je t'aime, oh. boom boom, freak le boom boom. I remember you in my heart. I need you too all the night. right here, all by my side. oh, yes. oh it's all right, I love you baby, all the time. I want you, baby, in my mind. I need, te quiero, je t'aime, oh. boom boom, freak le boom boom:). me gusta"
goals,"Shine the rest of the stars are watching. You're awesome you're unique for all time. Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals. Don't be bitter. Hunnie here we are. In the mirror. Yes you just hung up. Insecurity is doing its job. You are special. Baby you're a one off. Time to start loving you. Shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Shine the rest of the stars are watching. You're awesome you're unique for all time. Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals. It's temporary. That's just how it goes (how it goes). What I hated, now I love the most (I love the most). Mother told me don't let nothing stop me. Cause ain't no copies. Baby you're a one-off. Time to start loving you. Shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Loving you shawty loving you. Shine the rest of the stars are watching. You're awesome you're unique for all time. Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals. Yes you got a right to complain it's true. But look what you're gaining move. This message is saving you. You are in his graces too. The world's entertaining you. Cause they see the day in you. Forget who was playing you. Cause they die in their game too. Shine the rest of the stars are watching. You're awesome you're unique for all time (time) , (time). Wind your body from the bottom. To your crown you're a queen you're divine. That's my goals"
i kissed girl / california gurls,"This was never the way I planned. not my intention. I got so brave, drink in hand. lost my discretion. it's not what, I'm used to. just wanna try you on. I'm curious for you. caught my attention. I kissed a girl and I liked it. the taste of her cherry chapstick. I kissed a girl just to try it. I hope my boyfriend don't mind it. it felt so wrong. it felt so right. don't mean I'm in love tonight. I kissed a girl and I liked it. I liked it. no, I don't even know your name. it doesn't matter. your my experimental game. just human nature. it's not what good girls do. not how they should behave. my head gets so confused. hard to obey. I kissed a girl and I liked it. the taste of her cherry chapstick. I kissed a girl just to try it. I hope my boyfriend don't mind it. it felt so wrong. it felt so right. don't mean I'm in love tonight. I kissed a girl and I liked it. I liked it. I know a place. where the grass is really greener. warm, wet and wild. there must be something in the water. sippin' gin and juice. laying underneath the palm trees, undone. the boys, break their necks. trying to creep a little sneak peek, at us. you could travel the world. but nothing comes close. to the golden coast. once you party with us. you'll be falling in love. oh oh oh oh. california gurls. we're unforgettable. daisy dukes, bikinis on top. sun-kissed skin, so hot. we'll melt your popsicle. oh oh oh oh. california gurls. we're undeniable. fine, fresh, fierce. we got it on lock. west coast represent. now put your hands up. oh oh oh oh"
