7 rings,"Yeah, breakfast at Tiffany's. And bottles of bubbles. Girls with tattoos who like getting in trouble. Lashes and diamonds, Atm machines. Buy myself all of my favorite things (Yeah). Been through some bad shit. I should be a sad bitch. Who woulda thought it'd turn me to a savage?. Rather be tied up with cuffs and not strings. Write my own checks. Like I write what I sing, yeah (Yeah). My wrist, stop watchin', my neck is flossin'. Make big deposits, my gloss is poppin'. You like my hair? Gee, thanks, just bought it. I see it, I like it, I want it, I got it (Yeah). I want it, I got it, I want it, I got it. I want it, I got it, I want it, I got it. You like my hair? Gee, thanks, just bought it. I see it, I like it, I want it, I got it (Yeah). Wearing a ring, but ain't gon' be no ""Mrs. "". Buy matching diamonds for six of my bitches. I'd rather spoil all my friends with my riches. Think retail therapy my new addiction. Whoever said money can't solve your problems. Must not have had enough money to solve 'em. They say ""Which one? "". I say ""Nah, I want all of 'em"". Happiness is the same price as red-bottoms. My smile is beamin', my skin is gleamin'. The way it shine. I know you've seen it (You've seen it). I bought a crib just for the closet. Both his and hers, I want it, I got it, yeah. I want it, I got it, I want it, I got it. I want it, I got it, I want it, I got it (Baby). You like my hair? Gee. Thanks, just bought it (Oh yeah). I see it, I like it, I want it, I got it (Yeah). I got my receipts. Be lookin' like phone numbers. If it ain't money, then wrong number. Black card is my business card. The way it be settin' the tone for me. I don't mean to brag. But I be like, ""Put it in the bag, "" yeah. When you see them racks. They stacked up like my ass, yeah. Shoot, go from the store to the booth. Make it all back in one loop. Give me the loot. Never mind, I got the juice. Nothing but net when we shoot. Look at my neck, look at my jet. Ain't got enough money to pay me respect. Ain't no budget when I'm on the set. If I like it, then that's what I get, yeah. I want it, I got it. I want it, I got it (Yeah). I want it, I got it. I want it, I got it (Oh yeah, yeah). You like my hair? Gee, thanks, just bought it. I see it, I like it. I want it, I got it (Yeah)"
"break up with your girlfriend, i'm bored","You got me some type of way (Hmm). Ain't used to feelin' this way (MM-mm). I do not know what to say (Yeah, yeah). But I know I shouldn't think about it. Took one fuckin' look at your face (Hmm). Now I wanna know how you taste (MM-mm). Usually don't give it away (Yeah, yeah). But you know I'm out here thinkin' 'bout it. Then I realize she's right there. And I'm at home like, ""Damn, this ain't fair"". Break up with your girlfriend. Yeah, yeah, 'cause I'm bored. You could hit it in the mornin' (Mornin'). Yeah, yeah, like it's yours. I know it ain't right. But I don't care (Care). Break up with your girlfriend. Yeah, yeah, 'cause I'm bored. This shit always happen to me (Yeah). Why can't we just play for keeps? (MM-mm). Practically on my knees (Yeah, yeah). But I know I shouldn't think about it. You know what you're doin' to me. You're singin' my songs in the streets, yeah, yeah. Actin' all innocent, please. When I know you're out here thinkin' 'bout it. Then you realize she's right there (Yeah). And you're at home like, ""Damn, she can't compare"". Break up with your girlfriend. Yeah, yeah, 'cause I'm bored. You could hit it in the mornin' (In the mornin'). Yeah, yeah, like it's yours. I know it ain't right. But I don't care (I don't care, yee). Break up with your girlfriend (With your girlfriend). Yeah, yeah, 'cause I'm bored. With your girlfriend, girlfriend, girlfriend, girlfriend. With your girlfriend. With your girlfriend, girlfriend, girlfriend, girlfriend. You could say I'm hatin' if you want to. But I only hate on her 'cause I want you. Say I'm trippin' if you feel like. But you without me ain't right (Ain't right). You could call me crazy 'cause I want you. And I never even ever fuckin' met you. Say I'm trippin' and it ain't right. But you without me ain't nice (Ain't nice, yeah). Break up with your girlfriend (With your girlfriend). Yeah, yeah, 'cause I'm bored. You could hit it in the mornin'. (Hit in the mornin', yeah, yeah, yeah). Yeah, yeah, like it's yours. I know it ain't right. But I don't care (Care, yeah). Break up with your girlfriend (With your girlfriend). Yeah, yeah, 'cause I'm bored. With your girlfriend, girlfriend, girlfriend, baby, girlfriend. With your girlfriend. With your girlfriend, girlfriend, girlfriend, girlfriend. With your girlfriend"
"thank u, next","Thought I'd end up with Sean. But he wasn't a match. Wrote some songs about Ricky. Now I listen and laugh. Even almost got married. And for Pete, I'm so thankful. Wish I could say, ""Thank you"" to Malcolm. 'Cause he was an angel. One taught me love. One taught me patience. And one taught me pain. Now, I'm so amazing. Say I've loved and I've lost. But that's not what I see. So, look what I got. Look what you taught me. And for that, I say. Thank you, next (Next). Thank you, next (Next). Thank you, next. I'm so fuckin' grateful for my ex. Thank you, next (Next). Thank you, next (Next). Thank you, next (Next). I'm so fuckin'. Spend more time with my friends. I ain't worried 'bout nothin'. Plus, I met someone else. We havin' better discussions. I know they say I move on too fast. But this one gon' last. 'Cause her name is Ari. And I'm so good with that (So good with that). She taught me love (Love). She taught me patience (Patience). How she handles pain (Pain). That shit's amazing (Yeah, she's amazing). I've loved and I've lost (Yeah, yeah). But that's not what I see (Yeah, yeah). 'Cause look what I've found (Yeah, yeah). Ain't no need for searching, and for that, I say. Thank you, next (Thank you, next). Thank you, next (Thank you, next). Thank you, next (Thank you). I'm so fuckin' grateful for my ex. Thank you, next (Thank you, next). Thank you, next (Said thank you, next). Thank you, next (Next). I'm so fuckin' grateful for my ex. Thank you, next. Thank you, next. Thank you, next. I'm so fucking. One day I'll walk down the aisle. Holding hands with my mama. I'll be thanking my dad. 'Cause she grew from the drama. Only wanna do it once, real bad. Gon' make that shit last. God forbid something happens. Least this song is a smash. (Song is a smash). I've got so much love (Love). Got so much patience (Patience). I've learned from the pain (Pain). Turned out amazing (Turned out amazing). I've loved and I've lost (Yeah, yeah). But that's not what I see (Yeah, yeah). 'Cause look what I've found (Yeah, yeah). Ain't no need for searching. And for that, I'll say. Thank you, next (Thank you, next). Thank you, next (Thank you, next). Thank you, next. I'm so fuckin' grateful for my ex. Thank you, next (Thank you, next). Thank you, next (Said thank you, next). Thank you, next (Next). I'm so fuckin' grateful for my ex. Thank you, next. Thank you, next. Thank you, next. Yeah, yee. Thank you, next. Thank you, next. Thank you, next. Yeah, yee"
needy,"If you take too long to hit me back. I can't promise you how I'll react. But all I can say. Is at least I'll wait for you. Lately I've been on a roller coaster. Tryna get a hold of my emotions. But all that I know, is I need you close. And I'ma scream and shout for what I love. Passionate but I don't give no fucks. I admit that I'm a lil' messed up. But I can hide it when I'm all dressed up. I'm obsessive and I love too hard. Good at overthinking with my heart. How you even think it got this far?. This far. And I can be needy, way too damn needy. I can be needy, tell me how good it feels to be needed. I can be needy, so hard to please me. I know it feels so good to be needed. Sorry if I'm up and down a lot (Yeah). Sorry that I think I'm not enough. And sorry if I say sorry way too much. You can go ahead and call me selfish (Selfish). But after all this damage I can't help it (Help it). Or what you can trust, 'cause I need your touch. I'ma scream and shout for what I love. Passionate but I don't give no fucks. I admit that I'm a lil' messed up. But I can hide it when I'm all dressed up. I'm obsessive and I love too hard. Good at overthinking with my heart. How you even think it got this far?. This far. And I can be needy, way too damn needy. I can be needy, tell me how good it feels to be needed. I can be needy, so hard to please me. I know it feels so good to be needed"
7 rings (feat. 2 chainz) (remix),"Yeah, breakfast at Tiffany's. And bottles of bubbles. Girls with tattoos who like getting in trouble. Lashes and diamonds, ATM machines. Buy myself all of my favorite things (Yeah). Been through some bad shit. I should be a sad bitch. Who woulda thought it'd turn me to a savage?. Rather be tied up with calls and not strings. Write my own checks. Like I write what I sing, yeah (Yeah). My wrist, stop watchin', my neck is flossy. Make big deposits, my gloss is poppin'. You like my hair? Gee, thanks, just bought it. I see it, I like it, I want it, I got it (Yeah). I want it, I got it, I want it, I got it. I want it, I got it, I want it, I got it (Yeah). You like my hair? Gee, thanks, just bought it. (So that boy know). I see it, I like it, I want it, I got it. (2 Chainz, yep). My ideas are priceless, I know I'm the nicest. I knew you would like this, I must be psychic. I'm from the streets, baby. I'm nothing like them (Tru). She's sweet in the day. But freaky when night come (Tell 'em). It's mine, invested (Uh) ; I spend it on necklace (Uh). I got the cash if I don't get credit (Uh). And I'm well respected so she feel protected. So scratch all the exes (Ex). It's next like contestants (Woo). It's blessings, no stressing, I'm flexing. Got one car parked right in the entrance. Got one car parked right at the exit. See, you didn't expect this. You think like a robot. I put bands in yo face like Botox. (Yeah) I want it (Yeah) , I got it, I want it, I got it (Uh). I want it, I got it (Uh) , I want it, I got it (Baby). You like my hair? Gee, thanks, just bought it (Oh yeah). I see it, I like it, I want it, I got it (Yep). Yeah, my receipts be lookin' like phone numbers. If it ain't money, then wrong number. Black card is my business card. The way it be settin' the tone for me. I don't mean to brag. But I be like, ""Put it in the bag, "" yeah. When you see them racks. They stacked up like my ass, yeah. Shoot, go from the store to the booth. Make it all back in one loop. Gimme the loot. Never mind, I got a juice. Nothing but net when we shoot. Look at my neck, look at my jet. Ain't got enough money to pay me respect. Ain't no budget when I'm on the set. If I like it, then that's what I get, yeah. I want it, I got it, I want it, I got it (Oh yeah). I want it, I got it, I want it, I got it (Oh yeah, yeah). You like my hair? Gee, thanks, just bought it. I see it, I like it, I want it, I got it (I see, yep)"
nasa,"This is one small step for woman. One giant leap for woman-kind. I'd rather be alone tonight. You can say ""I love you"" through the phone tonight. Really don't wanna be in your arms tonight. I'll just use my covers to stay warm tonight. Think I'm better off here all alone tonight. Ain't no checkin' on when I get home tonight. Just makin' sure I'm good on my own tonight. Even though there isn't nothin' wrong tonight. Yeah, I'm just sayin', baby. I can't really miss you if I'm with you. And when I miss you. it'll change the way I kiss you. Baby, you know time apart is beneficial. It's like I'm the universe and you'll be N-A-S-A. Give you the whole world, I'ma need space. I'ma need space, I'ma, I'ma need. You know I'm a star; space, I'ma need space. I'ma need space, I'ma, I'ma need space (N-A-S-A). Give you the whole world, I'ma need space. I'ma need space, I'ma, I'ma need. You know I'm a star; space, I'ma need space. I'ma need space, I'ma, I'ma need space (N-A-S-A). For the night. Usually I would love it if you stay the night. I just think I'm on another page tonight. It ain't nothing wrong with saying I need me time. Usually I would orbit around you. But gravity seems to be the only thing that's pulling me. You'll be my rise and shine soon as them stars align, mm. Baby, I can't really miss you if I'm with you. And when I miss you, it'll change the way I kiss you. Baby, you know time apart is beneficial. It's like I'm the universe and you'll be N-A-S-A. Give you the whole world, I'ma need space. I'ma need space, I'ma, I'ma need. You know I'm a star; space, I'ma need space. I'ma need space, I'ma, I'ma need space (N-A-S-A). Give you the whole world, I'ma need space. I'ma need space, I'ma, I'ma need. You know I'm a star; space, I'ma need space. I'ma need space, I'ma, I'ma need space (N-A-S-A). You don't wanna leave me, but I'm tryna self-discover. Keep me in your orbit and you know you'll drag me under. You don't wanna leave me, but I'm tryna self-discover. (You don't wanna leave me, but I'm tryna self-discover). Keep me in your orbit and you know you'll drag me under. Keep me in your orbit and you know you'll drag me under. Alone tonight. You can say ""I love you"" through the phone tonight"
bloodline,"Because I'm trying to do the best I can. And they can't find something to satisfy me, look. MM, yeah, yuh. Even though you're bad for me, I know. You're the one that I'm thinkin'. Got me feelin' so incredible. Would you mind maybe linkin'?. Love me, love me, baby. Are you down? Can you let me know?. Love me, thank you, leave me. Put it down, then it's time to go. Get it like you love me. But you don't, boy, it's just for show. Take it or leave it, you gotta take it or leave it, like uh. Don't want you in my bloodline, yuh. Just wanna have a good time, yuh. Ain't no need to apologise, no. But you gon' have to let this shit go. Don't want you in my bloodline, yuh. Not tryna make you all mine, yuh. Ain't no need to apologize, no. But you gon' have to let this shit go, yeah. Yeah-eh-eh. Yeah-eh. Yeah, yeah, yuh. No, we won't be talking the next day. I ain't got nothin' to say. I ain't lookin' for my one true love. Yeah, that ship sailed away. Love me, love me, baby. Are you down? Can you let me know?. Love me, thank you, leave me. Put it down, then it's time to go. Get it like you love me. But you don't, boy, it's just for show. Take it or leave it, you gotta take it or leave it like uh. Don't want you in my bloodline, yuh. Just wanna have a good time, yuh. Ain't no need to apologise, no. But you gon' have to let this shit go. Don't want you in my bloodline, yuh (Don't want you in my). Not tryna make you all mine, yuh (Not tryna make you). Ain't no need to apologize, no (Ain't no need to, yeah). But you gon' have to let this shit go, yeah. Oh, yeah. Yeah-eh-eh. Yeah-eh. Yeah, yeah, yeah. Say I know what you want, what you want from me. I know what you think, what you think you see. I know what you looking for, but I'm complete. I know what you need, but it won't be me. I know what you want, what you want from me. I know what you think, what you think you see. I know what you looking for, but I'm complete. I know what you need, but it won't be me (But it won't be me). Don't want you in my bloodline, yuh (Don't want you, baby). Just wanna have a good time, yuh (Just tryna have a good time). Ain't no need to apologize, no (No). But you gon' have to let this shit go (Yeah, yeah). Don't want you in my bloodline, yuh. Not tryna make you all mine, yuh. Ain't no need to apologize, no. But you gon' have to let this shit go, yeah. Woo. Yeah-eh-eh, yeah. Yeah, yeah, yeah. Yeah-eh-eh. Yeah, yeah, yeah. Yeah, yeah yeah"
imagine,"Step up the two of us. Nobody knows us. Get in the car like, ""Skrrt"". Staying up all night. Order me pad thai. Then we gon' sleep 'til noon. Me with no makeup, you in the bathtub. Bubbles and bubbly, ooh. This is a pleasure. Feel like we never act this regular. Click, click, click and post. Drip-drip-dripped in gold. Quick, quick, quick, let's go. Kiss me and take off your clothes. Imagine a world like that. Imagine a world like that. We go like up 'til I'm 'sleep on your chest. Love how my face fits so good in your neck. Why can't you imagine a world like that?. Imagine a world. Knew you were perfect. After the first kiss. Took a deep breath like, ""Ooh"". Feels like forever. Baby, I never thought that it would be you. Tell me your secrets, all of the creep shit. That's how I know it's true. Baby, direct it. Name in the credits. Like the movies do. Click, click, click and post. Drip-drip-dripped in gold. Quick, quick, quick, let's go. Kiss me and take off your clothes. Imagine a world like that. Imagine a world like that. We go like up 'til I'm 'sleep on your chest. Love how my face fits so good in your neck. Why can't you imagine a world like that?. Imagine a world. Can you imagine it?. Can you imagine it?. Can you imagine it?. Can you imagine it?. Can you imagine it? (Can you imagine?). Can you imagine it? (Can you imagine?). Can you imagine it? (Ooh). Imagine that. Imagine it, imagine it. Imagine it, imagine it. Imagine, imagine. Imagine, imagine. Imagine, imagine"
in my head,"""Here's the thing: you're in love with a version of a person that. You've created in your head. That you are prying to but cannot fix. Uh, the only thing you can fix is yourself. I love you. This has gone. On way too long. enough is enough. I'm two blocks away; I'm coming over"". Painted a picture. I thought I knew you well. I got a habit of seeing what isn't there. Caught in the moment. tangled up in your sheets. When you broke my heart. I said you only wanted half of me. My imagination's too creative. They see demon, I see angel, angel, angel. Without a halo, wingless angel. Falling, falling, but I never thought you'd leave me. Falling, falling, needed something to believe in, oh. I thought that you were the one. But it was all in my head. It was all in my head (skrrt, skrrt). Yeah, look at you, boy, I invented you. Your gucci tennis shoes runnin' from your issues. Gotta hook-up from the high (from the high, from the high). I figure we can work it out, hmm. Painted a picture; I thought I drew you well. I had a vision of seeing what isn't there. Caught in the moment, tangled up in your sheets. When you broke my heart, said you only wanted half of me. My imagination's too creative. They see cain and I see abel (abel) , abel (abel) , abel (abel). I know you're able, pullin' an abel. Falling, falling, but I never thought you'd leave me. Falling, falling, needed something to believe in, oh. I thought that you were the one. But it was all in my head. It was all in my head (skrrt, skrrt). Yeah, look at you, boy, I invented you. Your gucci tennis shoes runnin' from your issues. Gotta hook-up from the high (from the high, from the high). I figure we can work it out, hmm. Wanted you to grow, but, boy, you wasn't budding. Everything you are made you everything you aren't. I saw your potential without seein' credentials (-entials). Maybe that's the issue (yeah, yeah). Said maybe that's the issue, ah. Can't hold that shit against you, ah. Yes, I did it to myself, yeah. Thought you were somebody else, you. Thought you were somebody else, you (you). Thought you were somebody else, you"
fake smile,"After laughter comes tears. After laughter comes tears. Another night, another party, sayin' hi to everybody. I'm sorry, I start to leave, I gotta leave now. Got somewhere I gotta be now, I'm starving. Can somebody walk me to my car?. If I go alone, I'm not gon' make it very far. I'm happy for the love and all of the above. If I'm being honest, I done been through way too much. I can't fake another smile. I can't fake like I'm alright. Ooh, ah (Ooh, ah). And I won't say I'm feeling fine. After what I been through, I can't lie. Ooh, ah (Ooh, ah). Fuck a fake smile, smile. Fuck a fake smile, fake smile. I read the things they write about me. Hear what they're sayin' on the Tv, it's crazy. It's gettin' hard for them to shock me. But every now and then, it's shocking, don't blame me. I know it's the life that I chose. But baby, I'm grateful, I want you to know. I'm happy for the love and all of the above. If I'm being honest, I done been through way too much. I can't fake another smile. I can't fake like I'm alright. Ooh, ah (Ooh, ah). And I won't say I'm feeling fine. After what I been through, I can't lie. Ooh, ah (Ooh, ah). Fuck a fake smile, smile. Fuck a fake smile, fake smile. If I'm hard, I ain't gon' lie about it. Arms crossed with the attitude, lips bitin'. If I'm hard, I ain't gon' lie about it. Neck roll with the attitude, yeah. If I'm hard, I ain't gon' lie about it. Arms crossed with the attitude, lips bitin'. If I'm hard, I ain't gon' lie about it. Neck roll with the attitude, yeah. I can't fake another smile (And I can't fake). I can't fake like I'm alright (No smile). Ooh, ah (Ooh, ah) (Ooh). And I won't say I'm feeling fine (I'm feeling fine). After what I been through, I can't lie. Ooh, ah (Ooh, ah). Fuck a fake smile, smile. Fuck a fake smile, fake smile (Yeah)"
