be good to me,"Oh!. Can you be good to me. (Be good, be good, be good, be good). Can you be good to me. Everyday is getting worse. Do the same things and it hurts. I don't know if I should cry. All I know is that I'm trying. I wanna believe in you. I wanna believe in you. But you make it so hard to do. What's the point of making plans?. You break all the ones we had. I don't know where we went wrong. Cuz we used to be so strong. I wanna believe in you. I wanna believe in you. So why can't you be. Be good to me?. I don't ask for much. All I want is love. Someone to see. That's all I need. Somebody to be. Somebody to be. Somebody to be. Good to me. Good to me. Can you be good to me. Good to me. Please. I used to think I had it all. Then one day we hit a wall. I had hoped you were the one. Where?s my dream, where has it gone. I wanted to be with you. Forever just me and you. So why can't you be. Be good to me?. I don't ask for much. All I want is love. Someone to see. That's all I need. Somebody to be. Somebody to be. Somebody to be. Good to me. Good to me. Can you be good to me. Good to me. Please. Where do I go from here. You've gotten under my skin. And I don't know how. To get out of this place that I'm in. I don't ask for much. All I want is love. Someone to see. That's all I need. Somebody to be. Somebody to be. Somebody to be. Good to me. Good to me. Can you be good to me. Good to me. Please. I don't ask for much. All I want is love. Someone to see. That's all I need. Somebody to be. Someone to be. Somebody to be. Good to me. Good to me. Can you be good to me. Good to me. Please. (Be good, be good, be good, be good). Can you be good to me. (C'mon Oh!). (Be good, be good, be good, be good). Can you be good to me. Good to me. Please!"
voices in my head,"I got these feelings I try to bury down. But they keep screamin'. And I'm just tryin' to filter out somehow. But they don't wanna leave. No you don't need it. All the jealousy and ugly feelings. Left from my history I try so hard. But they get the best of me. And you got every reason to walk out the door. But you rather be next to me. All the voices in my head. Always try to break me. Fuck me up and change me. But talking is cheap. This is the last time. I listen to the voices in my head. I know (I know) they never stop talking. Always sabotaging. But talking is cheap. This is the last time. I listen to the voices in my head. And then you find me. They get in the way. And started a fire. But you never let us burn away. You got me figured out. And you got every reason to walk out the door. But you rather be next to me (yeah). All the voices in my head. Always try to break me. Fuck me up and change me. But talking is cheap. This is the last time. I listen to the voices in my head. I know (I know) they never stop talking. Always sabotaging. But talking is cheap. This is the last time. I listen to the voices in my head. They say that I'll never be ready for love. They say that I never will feel like enough. Yeah, they lie to me. And they lie to you. But you know the truth is. They say that I'll never be ready for love. They say that I never will feel like enough. Yeah, they lie to me. And they lie to you. But you know the truth is. And you got every reason to walk out the door. But you rather be next to me (yeah). All the voices in my head. Always try to break me. Fuck me up and change me. But talking is cheap. This is the last time. I listen to the voices in my head. I know (I know) they never stop talking. Always sabotaging. But talking is cheap. This is the last time. I listen to the voices in my head"
time after time,"Lying in my bed I hear the clock tick,. And think of you. Caught up in circles confusion. Is nothing new. Flashback warm nights. Almost left behind. Suitcase of memories,. Time after. Sometimes you picture me. I'm walking too far ahead. You're calling to me, I can't hear. What you've said. Then you say go slow. I fall behind. The second hand unwinds. If you're lost you can look and you will find me. Time after time. If you fall I will catch you I'll be waiting. Time after time. If you're lost you can look and you will find me. Time after time. If you fall I will catch you I will be waiting. Time after time. After my picture fades and darkness has. Turned to gray. Watching through windows you're wondering. If I'm ok. Secrets stolen from deep inside. The drum beats out of time. If you're lost you can look and you will find me. Time after time. If you fall I will catch you I'll be waiting. Time after time. If you're lost you can look inside. Time after time. If you fall I will catch you I will be waiting. Time after time. You said go slow. I fall behind. The second hand unwinds. If you're lost you can look and you will find me. Time after time. If you fall I will catch you I'll be waiting. Time after time. If you're lost you can look and you will find me. Time after time. If you fall I will catch you I will be waiting. Time after time. Time after time. Time after time. Time after time. Time after time. Time after time"
ex's & oh's (feat. vanessa hudgens),"Well, I had me a boy, turned him into a man. I showed him all the things that he didn't understand. Whoa, then I let him go. Now, there's one in California who's been cursing my name. 'Cause I found me a better lover in the Uk. Hey, hey, until I made my getaway. One, two, three. They gonna run back to me. 'Cause I'm the best baby that they never gotta keep. One, two, three. They gonna run back to me. They always wanna come, but they never wanna leave. Ex's and oh oh oh's. They haunt me like ghosts. They want me to make 'em all. They won't let go. Ex's and oh's. I had a summer lover down in New Orleans. Kept him warm in the winter. Left him frozen in the spring. My, my, how the seasons go by. I get high, and I love to get low. So the hearts keeping breaking, and the heads just roll. You know that's how the story goes. One, two, three. They gonna run back to me. 'Cause I'm the best baby that they never gotta keep. One, two, three. They gonna run back to me. They always wanna come, but they never wanna leave. Ex's and the oh oh oh's. They haunt me like ghosts. They want me to make 'em all. They won't let go. My ex's and the oh oh oh's. They haunt me like ghosts. They want me to make 'em all. They won't let go. Ex's and oh's. One, two, three. They gonna run back to me. Climbing over mountains and sailing over seas. One, two, three. They gonna run back to me. They always wanna come, but they never wanna leave. My ex's and the oh oh oh's. They haunt me like ghosts. They want me to make 'em all. They won't let go. My ex's and the oh oh oh's. They haunt me like ghosts. They want me to make 'em all. They won't let go. Ex's and oh's"
don't let me down,"Crashing, hit a wall. Right now I need a miracle. Hurry up now, I need a miracle. Stranded, reaching out. I call your name but you're not around. I say your name but you're not around. I need you, I need you. I need you right now. Yeah, I need you right now. So don't let me, don't let me, don't let me down. I think I'm losing my mind now. It's in my head, darling I hope. That you'd be here when I need you the most. So don't let me, don't let me, don't let me down. Don't let me down. Don't let me down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, don't let me down, down, down. Running out of time. I really thought you were on my side. But now there's nobody by my side. I need you, I need you. I need you right now. Yeah, I need you right now. So don't let me, don't let me, don't let me down. I think I'm losing my mind now. It's in my head, darling I hope. That you'd be here when I need you the most. So don't let me, don't let me, don't let me down. Don't let me down. Don't let me down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, don't let me down, down, down. Oh, I think I'm losing my mind now, yeah, yeah. Oh, I think I'm losing my mind now. I need you, I need you. I need you right now. Yeah, I need you right now. So don't let me, don't let me, don't let me down. I think I'm losing my mind now. It's in my head, darling I hope. That you'd be here when I need you the most. So don't let me, don't let me, don't let me down. Don't let me down. Don't let me down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, don't let me down, down, down. Don't let me down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, down, down. Don't let me down, don't let me down, down, down"
"trophy boy (with avril lavigne, g.e.m.)","They call me a dancer in this dress. Cause I want my prize. The one with the kingdom and the big brown eyes. The one with the voice like a moonlight music. Oh my oh my does he know to use it. I'm not playing with you. You know so inner your eyes know. knows what to say do you. He's so beautiful that's the consensus. Abandon the crown, jewels I would be he's princes. I like him for he's smiles. I like him for he's hair. I like him for he's stout. I like him cause he's so debonair. He's my trophy boy, my trophy boy, my trophy boy. I want him for myself. I wanna lock him down. I want that ring on my finger like I want that crown. He's my trophy boy, My trophy boy, My trophy boy. He's so wished so totally run away. I know I wasn't listening but he's totally funny. I don't even care if he ever makes a sound. Just as long as when he sees me. He's around and he's bound to me. He's like my glass lever. He feels me so good and a such a good tipper. And you can sing along if you like. Boy you only know men who looks tough and tight. I like him for he's smiles. I like him for he's hair. I like him for he's stout. I like him cause he's so debonair. He's my trophy boy, my trophy boy, my trophy boy. I want him for myself. I wanna lock him down. I want that ring on my finger like I want that crown. He's my trophy boy, My trophy boy, My trophy boy. And it's not just about his looks. He's also got a sensitive side. He has a soul I will pour it and give it a time. And he's a perfect gentleman classy and antique. Oh who am I kidding he just got such excellent abs. he can compete with those fellas (such a clown). I'll make the whole kingdom jealous (oh man). I just forget my manners. Hello I'm Cinderella and I need a wedding. I like him for he's smiles. I like him for he's hair. I like him for he's stout. I like him cause he's so debonair. He's my trophy boy, my trophy boy, my trophy boy. I want him for myself. I wanna lock him down. I want that ring on my finger like I want that crown. He's my trophy boy, My trophy boy, My trophy boy. Oh my Gosh oh my Fairy God mother. Would you call this boy's mama. And tell her that I love her. I like him for he's smiles. I like him for he's hair. I like him for he's stout. I like him cause he's so debonair. He's my trophy boy, my trophy boy, my trophy boy. I want him for myself. I wanna lock him down. I want that ring on my finger like I want that crown. He's my trophy boy, My trophy boy, My trophy boy"
you are the music in me (feat. zac efron),"[Sharpay]. 5, 6, 7, 8. Na Na Na Na. Na Na Na Na. Na Na Na. You are the music in. Na Na Na Na. Na Na Na Na. Na Na Na. You are the music in. Are the music in. You know the words ""once upon a time"". Makes you listen?. There's a reason. And when you dream there's a chance you'll find. A little laughter or ""happy ever after"". [Troy and Sharpay]. You're harmony to the melody. That's echoing inside my head. [Sharpay]. A single voice. [Troy]. Above the noise. [Sharpay]. Like a common thread. Sing it to me. [Troy]. When I hear my favorite song. I know we belong. 'cause you are the music in me. [Sharpay]. It's living in all of us. And it's here because. You are the music in me. Na Na Na Na. Na Na Na Na. Na Na Na. You are the music in. Na Na Na Na. Na Na Na Na. Na Na Na. You are the music in. Are the music in. [Sharpettes]. Harmony to the melody. That's echoing inside my head. [Troy]. When I hear my favorite song. I know we belong. 'cause you are the music in me. [Sharpay]. It's living in all of us. And it's here because. You are the music in. Me me me me me me me. Me me me me me me me. Na Na Na. You are the music in. Na Na Na Na. Na Na Na Na. Na Na Na. You are the music in me. Yeah yeah!. [Troy]. Oh yeah!"
love me for me,"I'm not the girl that you see in the magazine. Perfect face and perfect body. Never be anyone but the one I am, what I am. I can't bend to your expectations. Look to fulfill any fantasy. If what I am is what you need. Love me for me. And not for someone that I would never be. Cause what you get is what you see. And I can't be anymore than what I am. Love me for me. Or don't love me. (Or don't love me). Don't think you're gonna change what's inside of me. Make me who you want me to be. Won't be someone I'm not. Somebody else, someone else. Love me with all my imperfections. Not for an image of your design. Love me for what you see inside. Love me for me (love me baby). And not for someone that I would never be. Cause what you get is what you see. And I can't be anymore than what I am (no, no). Love me for me (yeah, yeah). And not for someone you wish that I could be. Cause what you get is what you see (What you see). And I can't be anymore than what I am (no). Love me for me. Or don't love me. I'd never do anything to change you (to change you). Or make you be anything than who you are (who you are). All that I am is all that I can be. I love you for you. So love me for me. Love me for me. (Yeah, Yeah). Or don't love me.... Love me for me. And not for someone that I would never be. Cause what you get is what you see. And I can't be anymore than what I am (no). Love me for me (love me). And not for someone you wish that I could be. Cause what you get is what you see (Is what you see). So love me for me. Or don't love me. Love me for me. Or don't love me"
you're always here,"I looked to the sky last night. And my eyes caught the light of a star. Burning like the memories of brighter days. And I know this life is all mine. Just a moment in time. But every day is another beggining so. Hold yourself together. You know it's for the better. Now it's our turn. It's our turn to carry this way. Nothing is forever. You can't predict the weather. Now it's our time. And I'll help you carry this way. They say the love won't die. And then I realize. What will be, will be. You're always here with me. And in the darkest night. I feel you by my side. What will be, will be. You're always here with me. Meet me in my dreams. And you can help me believe. Tell me that are gonna be better days. To see your face. And feel your embrace. I swear, I'll never forget what you gave. So I. Hold myself together. I know it's for the better. Now it's my turn. It's my turn to carry this way. Nothing is forever. You can't predict the weather. Now you'll be there. And help me carry this way. They say that love won't die. And then I realize. What will be, will be. You're always here with me. And in the darkest night. I feel you by my side. What will be, will be. You're always here with me. And if the day goes by. And you start to question why. (Tell me why). There's a way to hold on. Just gotta stay strong. Close your eyes and you will find. Love lives on inside. They say that love won't die. And then I realize. What will be, will be. You're always here with me. And in the darkest night. I feel you by my side. What will be, will be. You're always here with me. What will be, will be. You're always here with me. What will be, will be. You're always here with me"
the rest of my life,"I've got a feeling inside of me. Running off through my vains. It's like electrical energy, a world's about to change. It's an open road... so here I go. The rest of my life, starting tonight. Feels like I'm finally on my way. I'm looking ahead can't tell where it ends. But I'm gonna take a leap of faith. And I'm gonna hold on tight and ride this ride... the rest of my life. I'm gonna go for it all aloud. I know there's no guarantee. But I've been given a chance. And now what's next is up to me. I'm gonna save my sights, so light those lights. The rest of my life, starting tonight. Feels like I'm finally on my way. I'm looking ahead can't tell where it ends. But I'm gonna take a leap of faith. And I'm gonna hold on tight and ride this ride... the rest of my life. If all the world's a stage, I'm here to take my place. I know I'll always find a way to shine. The rest of my life, starting tonight. Feels like I'm finally on my way. I'm looking ahead can't tell where it ends. But I'm gonna take a leap of faith. The rest of my life is starting tonight. Feels like I'm finally on my way. It starts with a dream of who I can be wherever it takes me I can't wait. So I'm gonna hold on tight and ride this ride. The rest of my life. The rest of my life. The rest of my life"
