satisfaction,Push me. And then just touch me. Till I can get my satisfaction (x2). Satisfaction. Push me. And then just touch me. Till I can get my satisfaction (x2). Satisfaction. Satisfaction. Satisfaction
love and motion,"The glow i see. it's been following me. and it's brighter than before. it seems brighter than before. and you... and me.... we see perfectly. it seems lighter than before. so much brighter than before. and i could be the only one that you'd ever need. and you could be the only girl that i wait for (wait for, wait for...). 'cause you've got me and we've got nice. do you believe in love?. 1, 2, 3, 4 we've got love and motion, and motion, and motion (and motion...). The glow i see. it's been following me. and it's brighter than before. it seems brighter than before. and you... and me.... we hear perfectly. it seems louder than before. so much rouded than before. and i could be the only one that you'd ever need. and you could be the only girl that i wait for (wait for, wait for...). 'cause you've got me and we've got nice. do you believe in love?. 1, 2, 3, 4 we've got love and motion, and motion, and motion (and motion...). did you walk across the line?. did you shake it off your mind?. did you ever think that i would be the one to bring you back?. did you cover up the sound of a million golden days?. when the sun comes up we'll all be here together, it's ok. and i could be the only (just think about everything oh-oh) one that you'd ever need. and you could be the only (just think about everything...) girl that i wait for (wait for, wait for...). 'cause you've got me and we've got nice. do you believe in love?. 1, 2, 3, 4 we've got love and motion, and motion, and motion (and motion...). Lara-ra-ra-la-laaa-la Lara-ra-ra-la-lara-Ohhh.... Lara-ra-ra-la-laaa-la Lara-ra-ra-la-lara-Ohhh..."
i love my sex,"And I love my sex. I love my dresses, cars, perfumes and jewels. I love my man, my money, power. And I love my sex [x2]. And I love my sex [x2]. Sex. And I love my sex. I love my dresses, cars, perfumes and jewels. I love my man, my money, power. And I love my sex [x2]"
girls just wanna have fun (cyndi lauper remix),"Girls just want to have fun. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Girls just want to have fun. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Girls, they wanna have fun. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Girls, they wanna have fun. Oh girls just want to have.... That's all they really want. Some fun. When the working day is done. Oh, girls, they wanna have fun. Oh, girls just wanna have fun. Girls, they wanna have fun. Oh, girls just want to have. Want to have fun. Want to have fun. Want to have fun. Want to have fun. Wanna have. Wanna have. Wanna, wanna, wanna have. Wanna, wanna, wanna have. Wanna, wanna, wanna have. Girls, want, wanna have fun. Girls just want to have fun. Just want. Just want. Just want. Just want. Just want. Just want. Just want. Just want"
hit my heart,"Hey boy, it's not a game. You are the one to blame. My love is not your toy. You better be careful boy... You told a million lies to me. One day you said goodbye baby. I gave you one more chance. So please tell me baby... Are you gonna hit my heart?. Are you gonna leave me once again?. Baby, don't you hit my heart... Are you gonna break my heart?. Are you gonna make me cry again?. Baby, don't you break my heart... I'm not that kind of girl. I know what i deserve. My trust in you was wrong, darling. I won't do it anymore. You swear that you still care for me. You tell to come back again, honey. But you is always the same. Won't you tell me baby. Are you gonna hit my heart?. Are you gonna leave me once again?. Baby, don't you hit my heart... Are you gonna break my heart?. Are you gonna make me cry again?. Baby, don't you break my heart.."
every single day,Hey guy - you're the one for me. Your face - the sweetest thing I've ever seen. Stop by - dedicate to me. Your time - your time. At night - it really gets to me. I find nobody is here with me. Stop by - say you'll stay with me. You're the one I really miss. Every single day - single hour. I can see your face - single day. Every single day - single hour. I can see your face - single day. Every single day - single hour. I can see your face - single day. Every single day - single hour. I can see your face - single day. Hey guy - you're the one for me. Those eyes - the loveliest I've ever seen. Stop by - Just to say to me. You're mine - you're mine. This time lay some love on me. I'm blind - to anything surrounding me. so fine when you're next to me. You're the one I can't resist
cinema (feat. gary go),"I could watch you for a lifetime. You're my favourite movie. A thousand endings. You mean everything to me. I never know what's coming. Forever fascinated. Hope you don't stop running. To me cause I'll always be waiting. You are a cinema, I could watch you forever. Action thriller, I could watch you forever. You are a cinema, a Hollywood treasure. Love you just the way you are. A cinema, a cinema, a cinema. A cinema, a cinema, a cinema. Stars spell out your name. Like in a science fiction drama. Romance roll in. Like a flower in the summer. You always keep me guessing. Forever my wonder. Hope you start undressing. All my dreams until the end of. You are a cinema, I could watch you forever. Action, thriller, I could watch you forever. You are a cinema, a Hollywood treasure. Love you, just the way you are. A cinema, a cinema, a cinema. A cinema, a cinema, a cinema. Never know what movie you're playing. Never know what movie you're playing. Never know what movie you're playing. Never know never know never know. You are a cinema, I could watch you forever. Action, thriller, I could watch you forever. You are a cinema, a Hollywood treasure. Love you just the way you are. A cinema, a cinema, a cinema. A cinema, a cinema, a cinema"
let this last forever,"The lights blur in the sky. The sun starting to die. As we're coming to light. A retro for the fade. No fear we are brave!. This night is gonna save us!. When the wind is in your hair. I just stare. For a second I don't care. I just stare. As the sun leaves and leaps through my hands, I think. Let this last forever. Let this last forever!. Oh, oh, ooh, oh, oh, oh. Let this last forever. Let this last forever!. Fall back to the ground. Spellbound by the sound. Surrender me now!. No need to be scared. True love's gonna get us there. And start to whirl around us!. As the sun leaves and leaps through my hands, I think. Let this last forever. Let this last forever!. Oh, oh, ooh, oh, oh, oh. Let this last forever. Let this last forever!"
cinema (feat. gary go) (skrillex remix),"I could watch you for a lifetime. You're my favorite movie. A thousand endings. You mean everything to me. I never know what's comin'. Forever fascinated. Hope you don't stop runnin' to me. 'Cause I'll always be waitin'. You are my cinema. I could watch you forever. Action, thriller. I could watch you forever. You are my cinema. A Hollywood treasure. Love you just the way you are. My cinema, my cinema, my cinema.... Get up, get down. Three steps down. My DJ gonna break it down. Get up, get down. Three steps down. My DJ gonna break it down. Get up, get down. Three steps down. My DJ gonna break it down. Get up, get down. Lose that sound. Drop the bass. Stars spell out your name. Like in a science fiction drama. Romance growing. Like a flower in the summer. You always keep me guessin'. Forever my wonderful. Hope you start undressin'. All my dreams and take me under. You are my cinema. I could watch you forever. Action, thriller. I could watch you forever. You are my cinema. A Hollywood treasure. Love you just the way you are. My cinema, my cinema, my cinema.... Get up, get down. Three steps down. My DJ gonna break it down. Get up, get down. Three steps down. My DJ gonna break it down. Get up, get down. Three steps down. My DJ gonna break it down. Get up, get down. Lose that sound. Drop the bass. You are my cinema. I could watch you forever. Action, thriller. I could watch you forever. You are my cinema. A Hollywood treasure. Love you just the way you are. My cinema, my cinema, my cinema"
run to me,"Everyday I say a prayer. I need your love. I want you there. I long for you and no more loneliness. Inside my dreams. you're like a drum. your sound is good. like the beat of my heart. so take a ride. and fly me to a star. run to me run to me, baby. yes I know that you need me now. run to me run to me. I don't know how. run to me run to me, baby. 'cause I know that you want me now. run to me run to me. somehow. On the sea or on the air. everything will take you there. I don't know why. I need your love to share. So take a boat or take a plane. don't leave me here don't let me go insane. I'm only asking to see your face again. run to me run to me, baby. yes I know that you need me now. run to me run to me. I don't know how. run to me run to me, baby. 'cause I know that you want me now. run to me run to me. somehow. You're my lover. my one and only dream. I run for cover. don't leave me waiting here. You're my pleasure and you're my pain. You're givin' me emotions. You turn me round inside. and light my flame. you know that I'm your lady"
no matter what you do,Tell me what your spirit says. Show me what you pray. Teach me every single part. I'll be your guide. You are a prisoner. Looking for to be.... You can change your face. But can't change your mind. No matter what do you do {x7}. Tell me what your spirit says. Show me what you pray. Teach me every single part. I'll be your guide. You are a prisoner. Looking for to be.... You can change your face. But can't change your mind. No matter what do you do {x8}. Tell me what your spirit says. Show me what you pray. Teach me every single part. I'll be your guide. You are a prisoner. Looking for to be.... You can change your face. But can't change your mind. No matter what do you do {x4}. Tell me what your spirit says. Show me what you pray. Teach me every single part. I'll be your guide. You are a prisoner. Looking for to be.... You can change your face. But can't change your mind. No matter what do you do {x8}. Tell me what your spirit says. Show me what you pray. Teach me every single part. I'll be your guide. You are a prisoner. Looking for to be.... You can change your face. But can't change your mind. No matter what do you do {x8}
