any kind of guy,"Here I am. There you are. Why does it seem so far?. Next to you is where I should be. Something I want so bad. Know what's inside your head. Maybe I can see what you see. I gotta keep on believin'. That everything takes time. I'll make up any reason. To make you mine. If you're stayin' or leavin. I'll follow your lead. So why keep pretending. Open your eyes. I can be what you need. Any kind of guy you want, girl. That's the guy I'll be. Turn myself upside down (Yes, I will, Yes, I will). Any kind of guy you want girl. You know I'll agree. Turn your whole world around (Yes, I will, Yes, I will). Any kind, any kind,. Any kind of guy you want. You decide, change your mind. I will be there. Won't you try. One more time. Be my any kind of girl. You decide. It's alright. I will be there. You seem so. Hard to know. Say goodbye, say hello. Then you say that it's time to go. (Now it's time to go). Changin' my point of view. Everyday something new. Anything to get next to you. I gotta keep on believin'. That everything takes time. I'll make up any reason. To make you mine. If you're stayin' or leavin'. I'll follow your lead. So why keep pretending?. Open your eyes. I can be what you need. Any kind of guy you want, girl. That's the guy I'll be. Turn myself upside down (Yes, I will, Yes, I will). Any kind of guy you want girl. You know I'll agree. Turn your whole world around (Yes, I will, Yes, I will). Any kind, any kind,. Any kind of guy you want. You decide, change your mind. I will be there. Won't you try. One more time. Be my any kind of girl. You decide. It's alright. I will be there. Let me know if I'm getting through. Making you understand. If it's wrong, I'll try something new. Don't look away. 'Cause I'm here to stay. If it's a game. Then I'm gonna play. Any kind of guy you want, girl. That's the guy I'll be. Turn myself upside down (Yes, I will, Yes, I will). Any kind of guy you want girl. You know I'll agree. Turn your whole world around (Yes, I will, Yes, I will). Any kind, any kind,. Any kind of guy you want. You decide, change your mind. I will be there. Won't you try. One more time. Be my any kind of girl. You decide. It's alright. I will be there. (Bring it back). Any kind, any kind,. Any kind of guy you want. You decide. It's alright. I will be there"
worldwide,"Oooh. Ohhhh.. Wait a minute.. Before you tell me anything, how was your day?. 'Cause I've been missing you by my side. Yeah. Did I awake you out of your dream. I'm sorry but I couldn't sleep. You calm me down. There's something bout the sound of your voice. It ain't easy to keep on moving city to city. Just get up and go. The show must go on. So I need you to be strong. I - I - I - I never, never, never as far away as it may seem no. Soon we'll be together. We'll pick up right where we left off. Paris, London, Tokyo. It's just one thing that I gotta do. Hello, tuck you in every night on the phone. Hello, tuck you in every night. And I can hardly take another goodbye. Baby won't be long. You're the one that I'm waiting on. Hello, tuck you in every night on the phone. Whoaaa whoaa. Girl I'll be thinking about you worldwide,. Worldwide, worldwide. Girl I'll be thinking about you worldwide,. Worldwide, worldwide. Girl I'll be thinking about you. Yes, I may meet a million pretty girls that know my name. But don't you worry, no. 'Cause you have my heart. I - I - I - I never, never, never as far as away. As it may seem. No never. Soon we'll be together. We'll pick up right where we left off. Paris, London, Tokyo. It's just one thing that I gotta do. Hello, tuck you in every night on the phone. Hello, tuck you in every night. And I can hardly take another goodbye. Baby won't be long. You're the one that I'm waiting on. Hello, tuck you in every night on the phone. Yeahh. Girl I'll be thinking about you worldwide,. Worldwide, worldwide. Girl I'll be thinking about you worldwide,. Worldwide, worldwide. Girl I'll be thinking about you. Whoaa. Wherever the wind blows me. You're still the one and only girl on my mind (baby). Paris, London, Tokyo. It's just one thing that I gotta do. Hello, tuck you in every night on the phone. Hello, tuck you in every night. And I can hardly take another goodbye. Baby won't be long. You're the one that I'm waiting on. Hello, tuck you in every night on the phone. Whoaaa whoaa. Girl I'll be thinking about you worldwide,. Worldwide, worldwide. Girl I'll be thinking about you worldwide,. Worldwide, worldwide. Girl I'll be thinking about you. Worldwide. Yes I may meet a million pretty girls that know my name. But don't you worry 'cause you have my heart"
big time rush,"Oh oh oh ohh. Oh oh oh ohh. Oh oh oh ohh. Make it count, play it straight. Don't look back, don't hesitate. When you go big time. What you want. What you feel. Never quit and make it real,. When your all (big time!). Hey! hey!. Listen to your heart now. Hey! hey!. Don't you feel the rush?. Hey! hey!. Better take your shot now. Oh, ohhh.. Oh, ohh!. [chorus]. Go and shake it up, what you gotta lose?. Go and make your luck. With the life you choose.. If you want it all,. Lay it on the line.. It's the only life. You got so you gotta live it big time. Oh, oh, oh, ooooh. Oh, oh, oh, ooooh. Step it up, get in gear,. Go for broke, make it clear,. Gotta go big time. (ohh heeey). Make it work, get it right,. Change the rules overnight,. (gotta dream big time). (ohh-ohh). (hey! hey!) give it all you got now.. (hey! hey!) isn't it a rush?!. (hey! hey!) finish what you start now.. Oh, ohhh.. Oh, ohh!.. [chorus]. Go on shake it up, what you gotta lose?. Go and make your luck. With the life you choose.. If you want it all,. Lay it on the line.. It's the only life you got,. So you gotta live it big time!. Look around,. Every light is shining now,. It's brighter somehow.. Look around,. Nothing's really as it seems. , Nothing but dreams.. You and I,. Gonna make a brand new sound,. Like we own this town.. (like we own this town). We can fly,. Now our feet are off the ground,. And never look down.. Welcome to the big time.. All the pretty people see you. Walkin' in the sunshine,. Welcome to the good times.. Life will never be the saaame!.. [chorus]. Go on shake it up, what you gotta lose?. Go and make the luck. With the life you choose.. If you want it all,. Lay it on the line.. It's the only life you got,. So you gotta live it big time.. Oh, oh, oh, ohh,. Oh, oh, oh, ohh,. If you want it all,. Lay it on the line.. It's the only life you got,. So you gotta live it big time!!!"
boyfriend,"Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Have you ever had the feeling. Your drawn to someone?. [yeahh]. And there isn't anything they could of said or done. And everyday I see you on your own. And I can't believe that you're alone. But I overheard you girls and this is what they said. (Looking for a looking for a). That you're looking for a boyfriend. I see that, give me time now you know I'm gonna be there. Don't be scared to come put your trust in me. Can't you see all I really want to be is your boyfriend. Can't fight that. let me down you know I'm coming right back. I don't care at all what you've done before. All I really want is to be your. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Let me take a little moment to find the right words. [to find the right words]. So when I kick it you it. Ain't something that you've heard. [something that you've heard]. I don't know what kind of guy that you prefer. But I know I gotta put myself or worse. See I think got the kind of love. That you deserve and I heard. That you're looking for a boyfriend. I see that, give me time now you know I'm gonna be there. Don't be scared to come put your trust in me. Can't you see all I really want to be is your boyfriend. Can't fight that let me down you know I'm coming right back. I don't care at all what you've done before. All I really want is to be your. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. If you tell me where, I'm waiting here. Everyday like slum dog millionaire. Bigger then the twilight love affair. I'll be here. Girl, I swear. That your looking for a boyfriend. I see that, give me time now you know I'm gonna be there. Don't be scared to come put your trust in me. Can't you see all I really want to be is your boyfriend. Can't fight that let me down you know I'm coming right back. I don't care at all what you've done before. All I really want is to be your. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. Your boy boy b-b-boy b-b-boy friend. All I really want is to be your..."
till i forget about you,"Get a call on a random afternoon. I pick it up, and I see that it's you. Like my heart, you go breaking the news. You say, it's over, it's over, it's over. Heading out 'cause I'm out of my mind. All my friends are gonna see me tonight. Staying here till the sun starts to rise. And I'm, I'm gonna, I'm gonna, I'm gonna. Dance hard, laugh more. Turn the music up now. Party like a rock star. Can I get a what now?. I swear I'll do anything that I have to. Till I forget about you. Jump up, Fall down. Gotta play it loud now. Don't care,. My head's spinning all around now. I swear I'll do anything that I have to. Till I forget about you. Till I forget about you. You thought I'd be here on my own. Waiting for you to knock on my door. Since you left, I don't wait by the phone. I'm movin', I'm movin', I'm movin'. I found a place where I can lose myself. And just leave your memory on a shelf. See, I'm fine.. No, I don't need nobody else. 'Cause I'm going, I'm going, I'm going. Dance hard, laugh more. Turn the music up now. Party like a rock star. Can I get a what now?. I swear I'll do anything that I have to. Till I forget about you. Jump up, Fall down. Gotta play it loud now. Don't care,. My head's spinning all around now. I swear I'll do anything that I have to. Till I forget about you. Spending money like it don't mean a thing. I'm going crazy. Now don't even think. Losing my mind. It's all I can do. Till I forget about you. Dance hard, laugh more. Turn the music up now. Party like a rock star. Can I get a what now?. I swear I'll do anything that I have to. Till I forget about you. Jump up, fall down. Gotta play it loud now. Don't care,. My head's spinning all around now. I swear I'll do anything that I have to. Till I forget about you. Till I forget about you. (Till I forget about you). I'm gonna forget about you"
famous,"Do you want to. Ride in a big limosine?. Tell me, do you want to. take a little bite. of the fame machine?. If you wanna be discovered. End up on the cover've. Every star studded. super market magazine.. You can do this. Stick right to it. It could happen tonight.... You wanna be famous!. You wanna be the one. who's living the life!. You wanna be famous!. You wanna be the one. who's taken a free ride!. Do you want to. Cut to the front of the line?. Baby do you need to. See your name in light. Just like The Hollywood sign!. Com'n we gotta work harder. Fight the fight together. Take it to the top. We got the winning team. It's your moment. You can own it. It's the American dream!. You wanna be famous!. You wanna be the one. who's living the life!. You wanna be famous!. You wanna be the one. who's taken a free ride!. All day. All night. The camera's on. and it never lies. Your under. The spolight. Twenty-four seven til. the end of time. Whoa,Oh, You wanna be famous. Whoa,Oh, You wanna be famous. You wanna be famous!. You wanna be the one. who's living the life!. You wanna be famous!. You wanna be the one. who's taken a free ride!. You wanna be famous.... Your song is on the radio. Hot rotation video. Bright lights, fan mail. Papperazzi on your tail. Tour bus, Private jet. Thinking Big. Ain't felt you yet. Just working You can't forget. Taste small then just walkin it. Ain high never rest. Put your passion to the test. Give your all never less. Famous means. That you're the best!"
boyfriend (feat. snoop dogg),"Your boy-boy-b-b-b-b-b-boyfriend. Your boy-boy-b-b-b-b-b-boy. (Snoop Dogg). You need a boyfriend and I can be that. Holla at me, hit me on my video chat. And let me reach out to you and give you feedback. It's gonna be us till the end so please believe that. Yeah the world is all ours and the sky's the limit. And you can be my boo and everything that goes with it. I can lift you off your feet like a flight attendant. Imma send this car for ya, is you ridin' in it?. Have you ever had the feeling you're drawn to someone?. (Yeahh). And there isn't anything they could of said or done. And everyday I see you on your own. And I can't believe that you're alone. But I overheard your girls and this is what they said. That you're looking for a boyfriend. I see that, give me time you know I'm gonna be there. Don't be scared to come put your trust in me. Can't you see all I really want to be is your boyfriend. Can't fight that let me down you know I'm coming right back. I don't care at all what you done before all I really want. is to be your. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. Let me take a little moment to find the right words. (to find the right words). So when I kick it you it ain't something that you've heard. (something that you've heard). I don't know what kind of guy that you prefer. But I know I gotta put myself for worse. See I think got the kind of love that you deserve and I heard that. That you're looking for a boyfriend. I see that, give me time you know I'm gonna be there. Don't be scared to come put your trust in me. Can't you see all I really want to be is your boyfriend?. Can't fight that let me down you know I'm coming right back. I don't care at all what you done before all I really want. is to be your. Your boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy. If you tell me where, I'm waiting here. Everyday like slum dog millionaire. Bigger then the Twilight love affair. I'll be here girl I swear. (Snoop Dogg). So we should down the ride or do I gotta slide. I know you need a boyfriend and I can be the guy. I help you open up even if you're shy. She might be the one. I see it in her eyes. I see it in her swag. She be on the fly. Gucci bag, Chanel purse, I need her in my life. I'm the one for her and she's the one for I. This could be paradise if we do it right. That you're looking for a boyfriend. I see that, give me time you know I'm gonna be there. Don't be scared to come put your trust in me. Can't you see all I really want to be is your boyfriend?. Can't fight that let me down you know I'm coming right back. I don't care at all what you done before all I really want. is to be your. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. Your boy boy b-b-b-b-b-boy friend. All I really want is to be your"
love me love me,"Love me, love me. Say you're gonna love me. I know you're ready to go. I'm ready to go. Jaw drop. Heart stops. We eye lock. I must be dreamin'. Don't hit the alarm clock. Under the lights coming alive. She's ""thriller"" tonight. One dance, two dance. Is not enough. You got that glow in the dark. So I'm not giving up. I'm reading your mind. You know I'm a psychic. Why you tryin' to hide it, hide it?. CHORUS:. Love me, love me. Say you're gonna love me. I know you're ready to go. Love me, love me. Say you're gonna love me. Don't leave me out on the floor. I'm saying whoa. Don't tell me 'no'. Love me, love me. Say you're gonna love me. I-I-I'm ready to go. I'm ready to go. Love me, love me. Lo-love me, lo-love me. Love me, love me. Lo-love me. I'm ready to go. Can't stop, won't stop. We party rock. You got them red velvet lips. Sweet like Betty Crocker. So call the doctor. 'Cause someone needs to take your temparature. You're getting hotter. Under the lights coming alive. She's ""thriller"" tonight. One dance, two dance. Is not enough. You got that glow in the dark. So I'm not giving up. I'm reading your mind. You know I'm a psychic. Why you tryin' to hide it, hide it?. 'Cause when I rock. You roll. You're losing control. And if you got that feeling. Throw your hands up in the air. CHORUS. You be Juliet. I'll be Romeo. What you're waiting for. You know you wanna go. Don't say goodbye. 'Cause we just said hello. Say you're gonna love me, girl. 'Cause I need to know. Ready?. Go go go go go go go go go go go go go go. Ready?. Go go go go go go go go go go go go go go. Let's do this. CHORUS. Love me, love me. Lo-love me, lo-love me. Love me, love me. Lo-love me. I'm ready to go. . Letra revisada por: @SmileOfLogan"
city is ours,"Rollin past graffiti walls. Billboards lighting up the block. Everyone of us on a mission(oh yeah). Got a whole crew by my side. Cars beep beep when they pass us by. Get ready to get down to business (mmm hmmm). We go up open the door. All the girls scream. ''there they are''. It's packed from wall to wall. And everybody is calling. Here we come. It's almost time. Feel the rush. Now hit the lights. We gonna get it all started. Because the night is young. The light is out the door. Today was crazy but,. Tonight the city is ours. Live it up. Until the morning comes. Today was crazy but tonight,. The city is ouuuurs [2x]. My my look how we roll. Was it only a month ago. Everybody said we were dreaming(oh ooooh). Now we're here like. ''yeah we told you''. Still far but were. That much closer. And there ain't no way that. We're leaving(oh noooo). We pull up. Open the door. All the girls scream. ''there they are''. It's packed from wall to wall. And everybody is calling. Here we come. It's almost time. Feel the rush. Now hit the lights. We gonna get it all started. (get it started). Because the night is young. The light is out the door. Today was crazy but,. Tonight the city is ours. Live it up. Until the morning comes. Today was crazy but tonight,. The city is ouuuurs [2x]. We gotta believe. It's destiny coming. So night after night. We'll rock the whole. Place out. As hard as it seems. I know if we want it. Then it's gonna. Happen somehow. Because the night is young. The light is out the door. Today was crazy but,. Tonight the city is ours. Live it up. Until the morning comes. Today was crazy but tonight. Because the night is young. The light is out the door. Today was crazy but,. Tonight the city is ours. Live it up. Until the morning comes. Today was crazy but tonight,. The city is ouuuurs [4x]. The city is ours"
windows down,"Throw it up. (woo hoo). Yeah, yeah. You're pretty baby. But you know that. Wish I could bring ya. Across the map, yeah. I can feel it in the air that it's on tonight. I don't really care if it's wrong or right. Petal to the metal baby holds me tight. Anything you want I can get that girl. If you're with that girl. Everybody knows that I want ya. If you want me baby show me. Roll the windows down let your hair flow. Let it all go tonight. (party people). (woo hoo). All the windows down (woo hoo). When I'm rolling through your town (woo hoo). Saying yeah, yeah (woo hoo). Saying yeah, yeah. You drive me crazy. But you know that. Feel the breeze girl. Let's take a lap, yeah. I can feel it in the air that it's on tonight. I don't really care if it's wrong or right. Petal to the metal baby holds me tight. Anything you want I can get that girl. If you're with that girl. Everybody knows that I want ya. If you want me baby show me. Roll the windows down let your hair flow. Let it all go tonight. (party people). (woo hoo). All the windows down (woo hoo). When I'm rolling through your town (woo hoo). Saying yeah, yeah (woo hoo). Saying yeah, yeah. It's on tonight. It's on tonight. It's on... tonight. (woo hoo). All the windows down (woo hoo). When I'm rolling through your town (woo hoo). Saying yeah, yeah (woo hoo). Saying yeah, yeah. (woo hoo). All the windows down (woo hoo). When I'm rolling through your town (woo hoo). Saying yeah, yeah (woo hoo). Saying yeah, yeah. (woo hoo). All the windows down (woo hoo). When I'm rolling through your town (woo hoo). Saying yeah, yeah (woo hoo). Saying yeah, yeah (woo hoo)"
