everything i own,"You sheltered me from harm.. Kept me warm, kept me warm. You gave my life to me. Set me free, Set me free. The finest years I ever knew. were all the years I had with you. I would give anything I own,. Give up my life, my heart, my home.. I would give everything I own,. just to have you back again.. You taught me how to love,. What its of, what its of.. You never said too much,. but still you showed the way,. and I knew from watching you.. Nobody else could ever know. the part of me that can't let go.. I would give anything I own,. Give up my life, my heart, my home.. I would give everything I own. Just to have you back again.. Is there someone you know,. you're loving them so,. but taking them all for granted.. You may lose them one day,. someone takes them away,. and they don't hear the words you long to say. I would give anything I own,. Give up my life, my heart, my home.. I would give everything I own. Just to have you back again,. Just to touch you once again."
if,"If a picture paints a thousand words,. Then why can't I paint you?. The words will never show the you I've come to know.. If a face could launch a thousand ships,. Then where am I to go?. There's no one home but you,. You're all that's left me too.. And when my love for life is running dry,. You come and pour yourself on me.. If a man could be two places at one time,. I'd be with you.. Tomorrow and today, beside you all the way.. If the world should stop revolving spinning slowly down to die,. I'd spend the end with you.. And when the world was through,. Then one by one the stars would all go out,. Then you and I would simply fly away"
"baby, i'm a want you","Baby, I'm-a want you. Baby, I'm-a need you. You're the only one I care enough to hurt about. Maybe I'm-a crazy. But I just can't live without.... Your lovin' and affection. Givin' me direction. Like a guiding lightto help me through a darkest hour. Lately I'm a-prayin'. That you'll always be a-stayin' beside me. Used to be my life was just emotions passing by. Feeling all the while and never really knowing why.... Lately I'm a-prayin'. That you'll always be a-stayin' beside me.. Used to be my life was just emotions passing by. Then you came along and made me laugh. And made me cry.... You taught me why.... Baby, I'm-a want you. Baby, I'm-a need you. Oh, it took so long to find you, baby. Baby, I'm-a want you. Baby, I'm-a need you"
make it with you,"Hey have you ever tried,. Really reaching out for the other side?. I may be climbing on rainbows. But, baby here goes.. Dreams they're for those who sleep,. Life is for us to keep,. And if you're wond'ring. What this song is leading to. I want to make it with you. I really think that we can make it girl.. No, you don't know me well,. In ev'ry little thing only time will tell,. If you believe the things that I do.. And we'll see it through.. Life can be short or long,. Love can be right or wrong,. And if I choose the one. I'd like to help me through,. I'd like to make it with you. I really think that we can make it girl.. Baby you know that. Dreams they're for those who sleep,. Life is for us to keep. And if I choose the one. I'd like to help me through,. I'd like to make it with you. I really think that we can make it girl."
guitar man,"Who draws the crowd and plays so loud,. Baby it's the guitar man.. Who's gonna steal the show, you know. Baby it's the guitar man,. He can make you laugh, he can make you cry. He will bring you down, then he'll get you high. Somethin' keeps him goin', miles and miles a day. To find another place to play.. Night after night who treats you right,. Baby it's the guitar man. Who's on the radio, you go listen. To the guitar man. Then he comes to town, and you see his face,. And you think you might like to take his place. Somethin' keeps him driftin' miles and miles away. Searchin' for the songs to play.. Then you listen to the music and you like to sing along,. You want to get the meaning out of each and ev'ry song. Then you find yourself a message and some words to call your own. And take them home.. He can make you love, he can get you high. He will bring you down, then he'll make you cry. Somethin' keeps him movin', but no one seems to know. What it is that makes him go.. Then the lights begin to flicker and the sound is getting dim. The voice begins to falter and the crowds are getting thin. But he never seems to notice he's just got to find. Another place to play,. Anyway got to play, anyway Got to play.."
aubrey,"And Aubrey was her name,. A not so very ordinary girl or name.. But who's to blame?. For a love that wouldn't bloom. For the hearts that never played in tune.. Like a lovely melody that everyone can sing,. Take away the words that rhyme it doesn't mean a thing.. And Aubrey was her name.. We triped the light and danced together to the moon,. But where was June.. No it never came around.. If it did it never made a sound,. Maybe I was absent or was listening to fast,. Catching all the words, but then the meaning going past,. But God I miss the girl,. And I'd go a thousand times around the world just to be. Closer to her than to me.. And Aubrey was her name,. I never knew her, but I loved her just the same,. I loved her name.. Wish that I had found the way. And the reasons that would make her stay.. I have learned to lead a life apart from all the rest.. If I can't have the one I want, I'll do without the best.. But how I miss the girl. And I'd go a million times around the world just to say. She had been mine for a day.."
take me now,"I need, baby I need your love right now. And I want, baby I wanna show you how. C'mon, you know that we've waited long enough. And now it's time. Time to be lovers.. I tried, tried to be only one with you. And it's hard but baby it's worth it all for you. And it hurts, makin' me wait for you this way,. I can't go on.. So c'mon and.... Take me now, take my love. Make come true the feelings I've been dreamin' of. Take me now, take me fast. You can trust in me,. Our love will ever last.. I know we haven't known each other long. But still something so right just can't be wrong. Besides, it ought to be up to. Me and you.. When it's time, time for each other.. I live, live for the day we're made as one. Look back, back over all the things we've done. But now, baby I need your love right now,. I can't go on.. So c'mon and.... Take me now, take my love. Make come true the feelings I've been dreamin' of. Take me now, take me fast. You can trust in me,. Our love will ever last.. Take me now, take my love. Make come true the feelings I've been dreamin' of. Take me now, take me fast. You can trust in me,. Our love will ever last."
lost without your love,Lost and all alone. I always thought that I could make it on my own. Since you left I hardly make it through the day. My tears get in the way. And I need you back to stay. I wonder through the night. And search the world to find. the words to make it right. All I want is just the way it used to be. With you here close to me. I've got to make you see. That I'm lost without your love. Life without you isn't worth the trouble of. I'm as helpless as a ship without a wheel. A touch without a feel. I can't believe it's real.... And someday soon I'll wake. And find my heart won't have to break. Yes I'm lost without your love. Life without you isn't worth the trouble of. All I want is just the way it used to be. I need you here with me. Oh darlin' can't you see.... If we had love before. We can have it back once more
too much love,"Too much sorrow, too much pain. Too many reasons not to go back again. Living without her is too much to bare. But when we're together, too much nothing to share. But too much love, I've never seen. Too much love, I don't know what it means. Not enough caring, too many lies. Sooner or later, one too many goodbyes. I got no reason for hanging around. When all my possessions start to weighin' me down. But too much love, I've never known. Too much love, I need some of my own. [break]. But too much love, I've never known. Too much love, I need some of my own."
angel,"Angel, you're no angel. So how'd you get your name?. Pleasure, that's your measure. Your butt's to wild to tame. Sometimes you even scare me, baby,. And I don't scare to easily. But, Angel, you're no angel. When you're alone with me. Places, you go places. To tear up where you've been. Faces, you wear faces. To hide the mood you're in. Sometimes you get your halo out. For all the world to see. But, Angel ain't no angel. When she's making love with me. When I think I know ya, baby,. You come on like a stranger. Angel, ain't no angel. But she's heaven sent to me. She's no angel. But she's heaven sent to me"
