what is it about men?,"Understand once he was a family man. So surely I would never, ever go through it first hand. Emulate all the shit my mother hated. I can't help but demonstrate my freudian fate. My alibi for taking your guy. History repeats itself, it fails to die. And animal aggression is my downfall. I don't care 'bout what you got I wanted all. It's bricked up in my head, it's shoved under my bed. And I question myself again: What is it 'bout men?. My destructive side has grown a mile wide. And I question myself again: What is it 'bout men?. I'm nurturing, I just wanna do my thing. And I'll take the wrong man as naturally as I sing. And I'll save my tears for uncovering my fears. For behavioral patters that stick over the years. Cause It's bricked up in my head, it's shoved under my bed. And I question myself again: What is it 'bout men?. Now my destructive side has grown a mile wide. And I question myself again: What is it 'bout men?. Ooh It's bricked up in my head, and it's shoved under my bed. And I question myself again: What is it 'bout men?. My destructive side has grown a mile wide. And I question myself again: What is it 'bout men?. What is it 'bout men?"
calling all my lovelies,"I got too many girls on hold for you to be so bold. Too many on my team for you to act so mean. You say you wanna go and have fun, well you ain't the only one. If I ring, don't let it ring too long or I'm gone. I got Aleshia waitin', Aisha waitin'. All the Aisha's waitin' on me. So why you contemplatin'? Playa hatin'?. If this is how it's gonna be. I'm calling all my lovelies (calling all my lovelies). 'Cause I can't get a hold of you. Since you ain't thinking of me (since you ain't thinking of me). Oh, look what you making me do. Honey pie, I'm far too fly to be on standby. Sendin' me straight to voicemail, suga, what the hell?. Oh, you ought to be ashamed, playin' these childish games. I don't get down like that, tell me where you at, hit me back. I got Aleshia waitin', Aisha waitin'. All the Aisha's waitin' on me. So why you contemplatin'? Playa hatin'?. If this is how it's gonna be. I'm calling all my lovelies (calling all my lovelies). 'Cause I can't get a hold of you. Since you ain't thinking of me (since you ain't thinking of me). Oh, look what you making me do. Pick up the phone, pick up the phone. 'Cause all this loving needs a home. Oh no, look at what you started, baby. Now I'm left here broken hearted, baby. There's a pain in my chest I cannot explain. I told myself I wasn't gon' cry. But somebody's gotta come dry these eyes 'cause. Hi you've reached Halle Berry. Sorry you can't get to the phone right now. But if you leave your name and number, I'll get right back to you. I'm calling, calling, calling, calling all my lovelies. 'Cause I can't get a hold of you. Oh, since you ain't thinking of me (since you ain't thinking of me, baby). Look what you making me do. Pick up the phone, pick up the phone. 'Cause all this loving needs a home, oh"
depression and obssession,"Depression and obsession doesn't mix well. I'm poisoned and my body doesn't feel well. I hate her, inside and out I feel my stomach turning. Make out hill, where we met. We let our lips do all the talking and now I'm hooked and. Depression and obsession don't mix well. Hollywood motels. Hell, I think I'm just obsessed with you. Depression and obsession doesn't mix well. Hollywood motels. Hell, I think I'm just obsessed with you"
immortals,"They say we are what we are. But we don't have to be. I'm bad behaviour, but I do it in the best way. I'll be the watcher of the eternal flame. I'll be the guard dog of all your fever dreams. I am the sand in the bottom half of the hourglass. I try to picture me without you but I can't. 'Cause we could be immortals. Just not for long, for long. And live with me forever now. Pull the blackout curtains down. Just not for long, for long. We could be immortals"
on & on,"Hold me close til I get up. Time is barely on our side. I don't want to waste what's left. The storms we chase are leading us. And love is all we'll ever trust. Yeah, no I don't want to waste what's left. And on and on we'll go. Through the wastelands through the highways. 'Til my shadow turns to sun rays. And on and on we'll go. Through the wastelands through the highways. And on and on we'll go"
revenge,"I think I, I think I finally found a way to forgive myself. From mistakes I made in my past. I think that's the first step, right?. You agree?. I've dug two graves for us, my dear. Can't pretend that I was perfect, leaving you in fear. Oh man, what a world, the things I hear. If I could act on my revenge, then, oh, would I?. Some kill, some steal, some break your heart. And you thought that I would let it go and let you walk. Broken hearts, break bones, so break up fast. And I don't wanna let it go, so in my grave I'll rot. I've dug two graves for us, my dear. Can't pretend that I was perfect, leaving you in fear. Oh man, what a world, the things I hear. If I could act on my revenge, then, oh, would I?. Some kill, some steal, some break your heart. And you thought that I would let it go and let you walk. Broken hearts, break bones, so break up fast. And I don't wanna let it go, so in my grave I'll rot. In my grave, I'll rot. In my grave, I'll rot. In my grave, I'll rot. In my grave, I'll rot. In my grave, I'll rot. In my grave, I'll rot. In my grave, I'll rot. I'll rot, I'll rot, I'll rot"
tightrope,"The sun started falling, when you woke up. My feet weren't covered, when you started getting dressed. The sun started falling, when you woke up. My feet weren't covered, when you started getting dressed. The sun started falling, when you woke up. My feet weren't covered, when you started getting dressed. Forgive what's said in fear. And all I ask of you is hear. The girl with the golden heart. I killed from the inside out at dawn. The sun has only just arose. Cannot heal all the hearts that I've broke. The boy with the broken heart. His goal is to rip everything apart. Don't leave this town my dear. Don't leave here for the day. I'm on the ropes again. I need you as I am. Oh, oh"
what is it about men?,"Understand once he was a family man. So surely I would never, ever go through it first hand. Emulate all the shit my mother hated. I can't help but demonstrate my freudian fate. My alibi for taking your guy. History repeats itself, it fails to die. And animal aggression is my downfall. I don't care 'bout what you got I wanted all. It's bricked up in my head, it's shoved under my bed. And I question myself again: What is it 'bout men?. My destructive side has grown a mile wide. And I question myself again: What is it 'bout men?. I'm nurturing, I just wanna do my thing. And I'll take the wrong man as naturally as I sing. And I'll save my tears for uncovering my fears. For behavioral patters that stick over the years. Cause It's bricked up in my head, it's shoved under my bed. And I question myself again: What is it 'bout men?. Now my destructive side has grown a mile wide. And I question myself again: What is it 'bout men?. Ooh It's bricked up in my head, and it's shoved under my bed. And I question myself again: What is it 'bout men?. My destructive side has grown a mile wide. And I question myself again: What is it 'bout men?. What is it 'bout men?"
where's my mind,"With your feet on the air and your head on the ground. Try this trick and spin it, yeah. Your head will collapse but there's nothing in it. And you'll ask yourself. Where is my mind?. Where is my mind?. Where is my mind?"
why we lose,"With your feet on the air and your head on the ground. Try this trick and spin it, yeah. Your head will collapse but there's nothing in it. And you'll ask yourself. Where is my mind?. Where is my mind?. Where is my mind?"
