...baby one more time,"Oh baby baby. Oh baby baby (wow). Oh baby baby. How was I supposed to know?. That something wasn't right here. Oh baby baby. I shouldn't have let you go. And now you're out of sight, yeah. Show me how you want it to be. Tell me baby cause I need to know now. Ooh because. My loneliness is killing me (and I). I must confess I still believe. (still believe). When I'm not with you I lose my mind. Give me a sign. Hit me baby one more time. Oh baby baby. The reason I breathe is you. Boy you got me blinded. Oh pretty baby. There's nothing that I wouldn't do. That's not the way I planned it. Show me how you want it to be. 'Tell me baby 'cause I need to know now. Oh because. My loneliness is killing me (and I). I must confess I still believe. (still believe). When I'm not with you I lose my mind. Give me a sign. Hit me baby one more time. Oh baby baby (wooah). Oh baby baby (yeah yeah wow). Oh baby baby. How was I suposed to know?. Oh pretty baby I shouldn't have let you go. I must confess. That my loneliness is killing me now. Don't you know I still believe?. That you will be here. And give me a sign. Hit me baby one more time. My loneliness is killing me (and I). I must confess I still believe. (still believe). When I'm not with you I lose my mind. Give me a sign. Hit me baby one more time. I must confess. That my loneliness is killing me now. Don't you know I still believe?. That you will be here. And give me a sign. Hit me baby one more time"
toxic,"Baby can't you see?. I'm calling. A guy like you should wear a warning. It's dangerous, I'm falling. There's no escape, I can't wait. I need a hit, baby give me it. You're dangerous, I'm loving it. Too high, can't come down. Losing my head, spinning 'round and 'round. Do you feel me now?. With the taste of your lips, I'm on a ride. You're toxic, I'm slipping under. With the taste of a poison, I'm in paradise. I'm addicted to you. Don't you know that you're toxic?. And I love what you do. Don't you know that you're toxic?. It's getting late to give you up. I took a sip from the devil's cup. Slowly it's taking over me. Too high, can't come down. It's in the air and it's all around. Can you feel me now?. With the taste of your lips, I'm on a ride. You're toxic, I'm slipping under. With the taste of a poison, I'm in paradise. I'm addicted to you. Don't you know that you're toxic?. And I love what you do. Don't you know that you're toxic?. Don't you know that you're toxic?. Taste of your lips, I'm on a ride. You're toxic, I'm slipping under. Oh, the taste of a poison, I'm in paradise. I'm addicted to you. Don't you know that you're toxic?. With the taste of your lips, I'm on a ride. You're toxic, I'm slipping under. With the taste of a poison, I'm in paradise. I'm addicted to you. Don't you know that you're toxic?. Intoxicate me now. With your loving now. I think I'm ready now. (I think I'm ready now). Intoxicate me now. With your loving now. I think I'm ready now"
oops!... i did it again,"Yeah yeah yeah. Yeah yeah yeah. Yeah yeah yeah. Yeah yeah yeah. I think I did it again. I made you believe we're. More than just friends. Oh baby. It might seem like a crush. But it doesn't mean that. I'm serious'. Cause to lose all my senses. That is just so typically me. Oh baby, baby. Oops!...I did it again. I played with your heart,. Got lost in the game. Oh baby, baby. Oops!...you think I'm in love. That I'm sent from above. I'm not that innocent. You see my problem is this. I'm dreaming away. Wishing that heroes,. They truly exist. I cry, watching the days. Can't you see I'm a fool. In so many ways. But to lose all my senses. That is just so typically me. Baby, oh. Oops!...I did it again. I played with your heart,. Got lost in the game. Oh baby, baby. Oops!...you think I'm in love. That I'm sent from above. I'm not that innocent. Yeah yeah yeah. Yeah yeah yeah. Yeah yeah yeah. ""All aboard"". ""Britney, before you go, there's. Something I want you to have"". ""Oh, it's beautiful, but wait a. Minute, isn't this...?"". ""Yeah, yes it is"". ""But I thought the old lady dropped it into the ocean. in the end"". ""Well baby, I went down and got it for you"". ""Oh, you shouldn't have"". Oops!...I did it again to your heart. Got lost in this game, oh baby. Oops!...You think that I'm sent. From above. I'm not that innocent. Oops!...I did it again. I played with your heart,. Got lost in the game. Oh baby, baby. Oops!...you think I'm in love. That I'm sent from above. I'm not that innocent [2x]"
sometimes,"You tell me you're in love with me. Like you can't take your pretty eyes away from me. It's not that I don't want to stay. But everytime you come too close I move away. I wanna believe in everything that you say. 'cause it sounds so good. But if you really want me, move it slow. There're things about me you just have to know. Sometimes I run Sometimes I hide. Sometimes I'm scared of you. But all I really want is to hold you tight. Treat you right, be with you day and night. baby all I need is time. I don't wanna be so shy, uh-uh. Everytime I am alone I wonder why. Hope that you will wait for me. You'll see that, you're the only one for me. I wanna believe in everything that you say. Cause it sounds so good. but if you really want me, move it slow. There're things about me, you just have to know. Sometimes I run (Sometimes) Sometimes I hide. Sometimes I'm scared of you. But all I really want is to hold you tight. Treat you right, be with you day and night. All I really want is to hold you tight. treat you right, be with you day and night. Baby, all I need is time. Just hang around and you'll see. There's nowhere I'd rather be. If you love me, trust in me. The way that I trust in you. Oh, yeah. Sometimes I run (Sometimes) Sometimes I hide. Sometimes I'm scared of you. But all I really want is to hold you tight (hold you tight). Treat you right, be with you day and night (day and night). Sometimes I run Sometimes I hide (sometimes). Sometimes I'm scared of you. But all I really want is to hold you tight treat you right,. be with you day and night (day and night). All I really want is to hold you tight. be with you day and night. baby, all I need is time"
criminal,"He is a hustler, he's no good at all. He is a loser, he's a bum-bum-bum-bum. He lies, he bluffs, he's unreliable. He's is a sucker with a gun-gun-gun-gun. I know you told me I should stay away. I know you said he's just a dog astray-ay. He is a bad boy with a tainted heart. And even I know this ain't smart. But, mama, I'm in love with a criminal. And this type of love isn't rational, it's physical. Mamma, please don't cry, I will be all right. All reason aside, I just can't deny. I love that guy. He is a villain by the devil's law. He is a killer just for fun-fun-fun-fun. That man's a snitch, unpredictable. He's got no conscience, he got none-none-none-none. Oh-oh I kno-ow. Should've let go, but no. 'Cause he's a bad boy with a tainted heart. And even I know this ain't smart. But, mama, I'm in love with a criminal. And this type of love isn't rational, it's physical. Mama, please don't cry, I will be all right. All reason aside, I just can't deny. I love the guy. And he's got my name. Tatooed on his arm, his lucky charm. So I guess it's okay. He's with me. And we hear people talk (people talk). Trying to make remarks, keep us apart. But I don't even hear. I don't care. 'Cause, mama, I'm in love with a criminal. And this type of love isn't rational, it's physical. Mama, please don't cry, I will be all right. All reason aside, I just can't deny. I love that guy. Mama, I'm in love with a criminal. And this type of love isn't rational, it's physical. Mama, please don't cry, I will be all right. All reason aside, I just can't deny. I love the guy"
i'm a slave 4 u,"I know I may be young. But I've got feelings too. And I need to do what I feel like doing. So let me go and just listen. All you people look at me like I'm a little girl. Well did you ever think it'd be okay for me to step into this world. Always saying, ""little girl don't step into the club"". Well I'm just tryin' to find out why cause dancing's what I love. (Now watch me). Get it get it, get it get it. Get it get it, get it get it (Do you like it). Get it get it, get it get it (This feels good). I know I may come off quiet, may come off shy. But I feel like talking, feel like dancing when I see this guy. What's practical is logical, what the hell, who cares?. All I know is I'm so happy when you're dancing there. I'm a slave for you. I cannot hold it. I cannot control it. I'm a slave for you. I won't deny it. I'm not trying to hide it. Baby, don't you wanna, dance upon me (I just wanna dance next to you). To another time and place. Oh Baby, don't you wanna, dance up on me (Are you ready?). Leaving behind my name and age(Let's go). (Like that). (You like it). (Yeah). (Now watch me). Get it get it, get it get it. Get it get it, get it get it (Do you like it). Get it get it, get it get it (This feels good). I really wanna dance, tonight with you. (I just can't help myself). I really wanna do what you want me to. (I just feel I let myself go). I really wanna dance, tonight with you. (Wanna see you move). I really wanna do what you want me to (Uh Uh Uh). Baby, don't you wanna, dance up on me. (I just wanna dance next to you). To another time and place. Oh Baby, don't you wanna, dance up on me (Are you ready). Leaving behind my name and age. I'm a slave for you (Like That). I cannot hold it. I cannot control it. I'm a slave for you (It just feels good). I won't deny it. I'm not trying to hide it (Baby). Get it get it, get it get it. Get it get it, get it get it. Get it get it, get it get it. Get it get it, get it get it. Get it get it, get it get it. Get it get it, get it get it. I'm a slave for you (Here we go now). I cannot hold it. I cannot control it. I'm a slave for you (Here we go). I won't deny it (Yeah Yeah). I'm not trying to hide it (Yeah). (Like that)"
womanizer,"Superstar. Where you from, how's it going?. I know you. Gotta clue, what you're doing?. You can play brand new to all the other chicks out here. But I know what you are, what you are, baby. Look at you. Gettin' more than just re-up. Baby, you. Got all the puppets with their strings up. Fakin' like a good one, but I call 'em like I see 'em. I know what you are, what you are, baby. Womanizer, woman-womanizer, you're a womanizer. Oh, womanizer. Oh, you're a womanizer, baby. You, You, You are; You, you, you are. Womanizer, Womanizer, Womanizer (Womanizer). Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. You got me going. You're also charming. But I can't do it. You womanizer. Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. You say I'm Crazy. I got you crazy. You're nothin but a womanizer. Daddy-O. You got the swagger of champions. Too bad for you. Just can't find the right companion. I guess when you have one too many, makes it hard. It could be easy, who you are, that's just who you are baby. Lollipop. Must mistake me as a sucker. To think that I. Would be a victim not another. Say it, play it how you wanna. But no way I'm ever gonna fall for you, never you, baby. Womanizer, woman-womanizer, you're a womanizer. Oh, womanizer. Oh, you're a womanizer, baby. You, You, You are; You, you, you are. Womanizer, Womanizer, Womanizer (Womanizer). Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. You got me going. You're also charming. But I can't do it. You womanizer. Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. You say I'm Crazy. I got you crazy. You're nothin but a womanizer. Maybe if we both lived in a different world. It would be all good, and maybe I could be ya girl. But I can't 'cause we don't. Womanizer, woman-womanizer, you're a womanizer. Oh, womanizer. Oh, you're a womanizer, baby. You, You, You are; You, you, you are. Womanizer, Womanizer, Womanizer (Womanizer). Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. You got me going. You're also charming. But I can't do it. You womanizer. Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. You say I'm Crazy. I got you crazy. You're nothin but a womanizer. Boy, don't try to front. I, I know just what you a-a-are. Boy, don't try to front. I, I know just what you a-a-are. Womanizer, woman-womanizer. You're a womanizer. Oh, womanizer. Oh, you're a womanizer, baby"
lucky,"This is a story about a girl. named Lucky.... Early morning, she wakes up. Knock, knock, knock on her door. It's time for makeup,. Perfect smile. It's you they're all waiting for. They go.... ""Isn't she lovely,. this Hollywood girl?"". And they say.... She's so lucky, she's a star. But she cry, cry, cries in her. lonely heart, thinking. If there's nothing missing in my life. Then why do these tears come at night?. Lost in an image,. in a dream. But there's no one there to. wake her up. And the world is spinning,. and she keeps on winning. But tell me what happens when. it stops?. They go.... ""Isn't she lovely, this. Hollywood girl?"". And they say.... Chorus. ""Best actress, and the. winner is...Lucky!"". ""I'm Roger Johnson for Pop. News standing outside the. arena waiting for Lucky!"". ""Oh, my God...here she comes!"". Isn't she lovely, this. Hollywood girl?. She is so lucky, but why does. she cry?. If there's nothing missing in. her life. Why do tears come at night?. Chorus"
"i'm not a girl, not yet a woman","I used to think I had the answers to everything. But now I know. That life doesn't always go my way. Feels like I'm caught in the middle. That's when I realize. CHORUS. I'm not a girl, not yet a woman. All I need is time, a moment that is mine. While I'm in between. I'm not a girl. There is no need to protect me. It's time that I. Learn to face up to this on my own. I've seen so much more than you know now. So don't tell me to shut my eyes. CHORUS - repeat. But if you look at me closely. You will see it in my eyes. This girl will always find her way. CHORUS. (I'm not a girl) I'm not a girl, don't tell me what to believe. (Not yet a woman) I'm just trying to find the woman in me, yeah. (All I need is time) Oh, all I need is time. (A moment that is mine) That's mine. While I'm in between. I'm not a girl, not yet a woman, not now. All I need is time, a moment that is mine. While I'm in between. I'm not a girl, ooh. Not yet a woman"
everytime,"Notice me. Take my hand. Why are we. Strangers when. Our love is strong. Why carry on without me?. Everytime I try to fly. I fall without my wings. I feel so small. I guess I need you baby. And everytime I see you in my dreams. I see your face, it's haunting me. I guess I need you baby. I make believe. That you are here. It's the only way. I see clear. What have I done. You seem to move on easy. Everytime I try to fly. I fall without my wings. I feel so small. I guess I need you baby. And everytime I see you in my dreams. I see your face, you're haunting me. I guess I need you baby. I may have made it rain. Please forgive me. My weakness caused your pain. And this song is my sorry. At night I pray. That soon your face. Will fade away. Everytime I try to fly. I fall without my wings. I feel so small. I guess I need you baby. And everytime I see you in my dreams. I see your face, you're haunting me. I guess I need you baby"
